Great 	 hotel great find consider Manhattan , love Broadway part reason come NYC , stay . close broadway theatre ( especially Gershwin , & quot ; Wicked & quot ; play .. one block away ) . room small great travel alone spouse . would recommend hotel child room single twin bed double twin bed . , rate great although hotel restaurant , find expensive cheap place eat , need walk around explore find something appeal . 
 Jul 31 2009 	 room make human -- maybe rat . 	 room small depressing start cry see . room even open luggage floor put dirty suitcase top bed . jail cell window look wonderfully horrible ally . do not recomend hotel anyone , stay somewhere else . 
 Jul 23 2009 	 Great Location Nice Room Great Service 	 take Subway Penn Station . stop one block form hotel . pleasantly surprised hotel seem " quiet " street . plenty place eat nearby . little disappointed restaurant hotel Japanese since favorite type food . front desk person friendly room ready 3:00 check - in . bell hop bring bag room we . elevator small handle three us bag . room small bed comfortable . air conditioner loud suppose block noise . bathroom small small sink ( small room size ) . hotel excellent location , convenient theater Times Square . disappointed hotel serve coffee morning . find little store around corner serve breakfast sandwich coffee $ 4.00 . also , pub street serve excellent variety beer . checkout fast convenient hidden charge . come back future ! 
 Jul 3 2009 	 need .. nothing 	 pleasantly surprised value hotel , clean everything need include tv free wireless . room , single bed tiny - 5 ft wide 6 foot long include bathroom . bed fit wall wall air conditioning loud foot bed . room right elevator much noise - front desk would not change room 9 am could not sell . free printing file send front desk . 
 Jul 1 2009 	 Fabulous Find 	 two room : one 2 queen bed one 2 twin . clean , quiet comfortable . staff friendly ready assist way . 
 Jun 21 2009 	 yes room tiny would stay sure well earplug ! 	 stay one night month WJ teen daughter . got $ 139 rate Hotwire ( beat Theatre District ! ) . know review room would tiny - sink like camper sink ! move faucet way wash face . 2nd floor streetside room , know might noisy earplugs daughter sleep Ipod anyway . noisy ! next time ( would go back ) will try get room high floor , sure would ' ve make much difference . plus side , location PERFECT , 10 minute walk Broadway show , feel safe , place clean . nice towel linen . get take italian Maria Pia across street , good . 
 Jun 19 2009 	 Satisfaction depend room get ! 	 HORRIBLE first night stay , place great stay . check - in , make we wait bit say room & quot ; not ready yet & quot ; even though well past check - in time . wait big deal , another guest came turn room key give new room key . immediately call we give we guest 's old room key . know , someone already complain ! room literally size bedroom closet home . one full size bed tall chest drawer tv way top , nothing else would fit . room small bed push wall right side tiny space walk around left side . place put 2 carryon size suitcase keep bed foot sleep . size even bad part . heat terribly high ask come low . come say go turn . go bed night still hot heater make knock sound night . like hammer hit heater night could sleep . good news next morning immediately go complain cancel rest stay good look Hilton across street , could , say would move we another room immediately . second room perfect . big size , comfortable , normal temperature quiet ! second room make positive review site make sense . staff friendly ' m glad move we immediately . location awesome ! couple block Times Square surround cute place eat . 
 Jun 1 2009 	 excellent value money . 	 say Washington Jefferson Hotel perfectly situate visit New York City . especially 's first time . could easily walk main site hotel , would recommend buy Metro Card use subway bus service available . yes get wrong subway line bus ( will not tell many time ! ) end wonder hell , be half fun . really good way ' discover ' New York . ok , back hotel . yes room small , be clean be comfortable . tiny wardrobe ( also contain safety deposit box ) dress table . much way storage , adequate brief stay light packer . the bathroom tiny , shower good . word warning though , sit ' the throne ' face literally inch wash basin . good , especially down one two Vimto 's ! one room back hotel , natural light . honest , light ( two lamp ) room not enough compensate lack daylight . positive note , room quiet , decide stay put . I would stay hotel , would recommend friend . would ask room daylight . * * warning * * every restaurant add tip bill ! not tell still expect tip top ! find practice rather annoying underhand . know US strong tipping culture , not tip mean discretionary reward good customer service ? exception couple restaurant , good customer service scarce . 
 May 28 2009 	 great hotel first timer 	 hotel clean location fabolous . within minute times square , rock fella empire state building well worth stay . hotel nothing special first room back poor lighting . staff friendly accomdating move we room face front however location light sleeper warn . get noisey hotel main street 8th Ave . overall well worth stay first time New York however personally ' ve do tourist thing would stay financial district . reasonably price clean facility really good near . not eat Linda 's Cafe far go Cosmic Diner instead much much well food well price . 
 May 21 2009 	 great location friendly staff basic clean . 	 recently stay Washington Jefferson Hotel New York . hotel fantastic location 5 min walk Times Square right beside theatre although basic , clean staff friendly . also feel safe walking around area . actually find hotel Trip advisor prepared room tiny one criticism people , pleasantly surprised , double queen room find fine , sure lucky room , 3 adult share although ' castle room comfortable enough . would say great value money . 
 May 9 2009 	 great money ! 	 location price , place great . be locate right near theater district lot little restaurant nearby . room basic - pretty tiny - 's hardly space wall bed , be clean comfortable . hotel staff friendly feel safe walk back hotel even night show . overall , 's great deal . 
 Apr 15 2009 	 clean local convenient - great location value money 	 daughter visit NYC daughter 21st birthday present . wj great location , close Times Square without hustle buslte square disturbing sleep . room tiny - however clean , maid service excellent . towel sheet change request . eat Hotel , though always look busy . satff helpful friendly . location great move around NYC , handy subway always Taxis around . walk town central park low mid town Macey 's , take subway Soho . concern safety walk use subway fine , feel safe . stay enjoyable would stay 
 Apr 3 2009 	 Great Hidden Gem 	 stay hotel 4 night March 4 night . hotel locate broadway / time sq ( even 2min walk ) . every night always feel safe walk hotel . room clean crisp , fresh towel every day , exactly right size length stay ( go single ) . staff .. ok ... conversation start , include morning & quot ; hello & quot ; . show room tell . can not fault place ! -- -- -Tips -- -- -cosmic Diner 52nd 8th ave . - great place meal , frendly staff , good price GREAT meal . remember - charge $ 50 per night security deposit room , budget ! ! ! land Newark - Get bus port authority 41st & amp ; 8th , $ 15 one way 5 - 10min walk hotel ... beat $ 60 + taxi ! ! 
 Mar 19 2009 	 Lovely Time . 	 Great Location . like block half time square $ 10 cab ride Penn Station . we end see broadway show like three block hotel . I boyfriend decide take quick trip New York City . book hotel night cheep ( NYC ) $ 100 night . arrive 9 am checkin 3 pm . front desk hold luggage use 1 pm call cell phone let know room ready early . room rather small nice comfy bed . gentleman front desk give we lot direction suggestion place way get city . return later early evening gentleman take bag room ask we think dinner . say want fish volenteere get us name place good area . return paper nice place well phone number , good get , direction hotel . impressed . , impressed customer service ! would stay heartbeat ! 
 Mar 12 2009 	 gret location service 	 rough time try book hotel vacation wife NYC . hotel expensive hard choose stay . WJ Hotel conveniently locate close Broadway ( one block ) ; Times Square ( 9 block ) Subway station ( three one close - by ) . get 3 since flight get delay end non - street facing room turn tiny poor floor plan . however , next day receptionist change we street - face room tremendously large easily walk around ( bear mind NYC hotel small room compare place ) . everything clean staff friendly helpful . definitely stay next visit NYC . 
 Feb 19 2009 	 get great deal fancy NYC hotel 	 great deal $ 135 son get $ 100 . see would noisy , corner room . room small clean nice hard bed . 
 Feb 16 2009 	 Clean - matchbox sized room hobbit size wardrobe ! 	 well let us start positive . hotel great location , Times Square heart Theatre District ' ve got say unlike other , find staff pleasant helpful , example french lady check hotel time we inform reception staff not dollar person would struggle pay cab ! whilst boyfriend look amusement , porter offer pay cab pocket lady could repay later . trust kind think ! also great little restaurant road look tacky ( bright yellow sign outside ) get full local obviously know great inside . with regard room , bathroom modern nice flat screen tv ipod docking station room , however little touch detract fact absolutely tiny hardly big enough move - 5 & quot ; 3 ! stay hotel friend 's wedding dress not even fit wardrobe literally hip height pointless reason ! nowhere put suitcase inch free floor space . boyfriend sit bed ( way 2 twin despite we book double ) order could negotiate way around room ! way could got ready room once . I stay NYC hotel know room small - ish kidding say one take biscuit . ok base clean , seriously , would nice somewhere hang clothe ! pay £ 500 4 night time year friend choose get marry , although nice see NYC Christmas , think would chose visit different time year spend money well class hotel ! 
 Feb 6 2009 	 Shoebox size room unfriendly staff bed bug ! 	 arrive style Washington Jefferson hotel Limo feel like VIPS , get hotel reception different story . on book inform we would need credit card hold $ 250 watch movie etc , luckily boyfriend one ( not ) . inform we , neither we not credit card could'nt afford cash . once room though seem ok would'nt spending long . bed comfy minimal space bed wall , like shoebox . bathroom small barely space move . my mum sister stay partner , complain form bed bug bed could'nt stop itch . the plus room wide screen tv , suppose compensate size room . the temperature room ridiclous , nearly pass last day , pack case underwaer . the lift break one day rush fix , hotel staff pay attention lift we , interested . never get ask holiday go anything . I would definitely go back NY summertime would definitely go back hotel . would overbear summer heat , would pass shoebox , would probably heat . hotel staff world . 
 Jan 17 2009 	 great location 	 arrive NYC Tues . afternoon . arrive hotel around 2 pm , room available check . previously inform hotel celebrate anniversary , upon entrance junior suite , find bottle wine await we . queen size bed comfortable , temp room . bathroom roomy enough plenty hot water pressure shower . room locate ground floor two window bedroom one bathroom . staff pleasant accomodate . will definately stay ! 
 Jan 16 2009 	 great .. definately stay 	 wj excellent hotel budget traveller . superb location .. agree little noisy , hey , NYC ! peace quiet want , be wrong city ! use ear plugs night be fine . wj everything want great stay Manhattan .. * * comfortable * * huge * * bed ( deluxe room - 387 ) . nice , warm bathroom powerful shower gorgeous , thick , white towel . staff friendly , welcome polite . we great time hotel definately stay . 
 Jan 11 2009 	 nice tiny noisy 	 visit begin Dec. peak tourist time . fourth trip NYC 4 year far tiny room high price . first room ( Room 101 ) size walk closet near elevator delivery area . know hotel receive delivery middle night constantly awaken constant noise delivery hotel staff talk right outside room . two night request different room honor . move even small room ( ! ) , quieter 5th floor . overall room clean , without closet room put luggage . staff polite accomodate , especially bellman London . we pay $ 249 / night Hotwire . Hotwire rate 3 star , AAA give 2 star . room high time year people sightseeing , shopping , see rockette show , Rockefeller Christmas tree , etc . would visit NYC time year due high cost . would stay wj , much low price . 
 Jan 7 2009 	 definitely return ! 	 other say , room small , room warm ( window open easily big deal ) , clean , comfortable , safe area lot great restaurant around . not stay luxury hotel not spend time room , be look luxury hotel , stay elsewhere . be Rick Steves type traveler , will love hotel . staff nice helpful . great south african restaurant right across street ( good chicken soup ' ve ever eat ! ) great afghan food block away 9th . pay approx . $ 200 / night well worth money . 
 Jan 2 2009 	 think great 	 Overall , hotel nice , newly renovate , staff friendly well locate . 5 star ( ? ) ... room really small . upon arrival , request upgrade addt ' l $ 30 night . length stay ( 1 week ) , room entirely small function . junior suite , however , normal sized room ... bathroom huge step standard room ( feel like RV ! ) ... shower head die - powerful ... perfect way end long day . location great - 4 block Time Square . Starbucks & amp ; McD 's 2 block . wj close enough major attraction , far enough not hear traffic . discover & quot ; Cosmic Diner & quot ; .... deliver room 24/7 food decent fairly price ; 2 sandwich , side fry , 2 soda & amp ; dessert $ 30 . weary House Brews next door ... cheap ; 2 burger fry $ 35 . vend machine bottled water hotel must ask staff ice . husband , give ' thumb ' . 
 Dec 30 2008 	 excellent choice 	 hotel great . staff friendly helpful . room small , comfortable . bathroom roomy . great location NYC , close everything . fantastic italian restaurant directly across street . make hotel first choice future visit NYC . 
 Dec 20 2008 	 Service make minor issue 	 leave visit entirely impressed . yes , room small , NYC . yes cheap , cheap NYC conveniently locate . room though small comfortable , bed decent , bathroom nice , fresh rose room . make stay special service 1 - 2 staff , every single person encounter kind beyond helpful . get great advice eat , great direction . not mean standard restaurant suggestion , literally hotel staff research online , come room phone number several restaurant , offer make reservation . type hotel concierge , bell desk staff genuinely help . restaurant attach , separate owner , possible get drink hotel , next door sport bar . overall room warm . question ( complain ) bring we air conditioner . find crack window 2 inch trick . bath nice enough place put stuff , little difficult maneuver around , cabinet instead closet -- typical small room like european room . room long enough worry , price right , would stay . feel service par high end higher priced hotel , bell service , hail we cab , greet we every time leave return . Kudos London bell boy , great host . 
 Dec 9 2008 	 nice hotel ! 	 hotel excellent value Times Square neighborhood . 2 people spend 2 - 3 night , hotel sufficient . yes , room small .... CLEAN nicely decorate . elevator old marble floor , nice lobby furniture friendly staff make tiny room . internet not & quot ; high speed & quot ; every time hey , free . the heat issue , every hotel Manahattan stuffy warm ask . window open easily , able adjust . 's nice deli corner 8th 51st , even remember take coffee 2nd day ! irish bar nextdoor serve good brew decent food well . surprisingly nice & quot ; boutique & quot ; style hotel . 
 Dec 9 2008 	 Great Location 	 spend weekend ( Sat Sun ) NYC Christmas shopping , Van Gogh exhibit moma , city nightlife . end Washington Jefferson Hotwire less $ 450 ( inc taxis / fee ) night . great location good value money pay . pay $ 450 night ( like another reviewer ) , overall rating would lower would base value dollar pay . the hotel lobby update marble sport modern look . elevator small , stair also available . staff polite helpful . store luggage arrive noon . also arrange car airport early Mon morning . friendly . the room ( 385 ) small , expect . bed comfy comforter excellent sheet . 3 - 4 foot either side bed , open radiator window - side . would recommend family point , great on - the - go couple girl weekend . small desk chair , well small wardrobe ( inc . safe iron ) .The noise level ok . late night traffic early morning garbage delivery stop . get anywhere city norm . bathroom update marble . tiny , one - room affair . , need . great fluffy Frette towel , quality toiletry , phone ! coffee room lobby . early morning caffeine fiend need run corner diner coffee jolt . sushi restaurant next door , several bistro / bar street , city find perfect food ! location super . right near heart city theater , concert , shopping , museum , sight seeing . walk everywhere want go -- maybe be sleep well ! would definitely return wj recommend friend price point pay . pleasant surprise great weekend getaway we ! 
 Dec 8 2008 	 horrible Hotel experience ... actually one bad ! 	 really look forward long weekend getaway ... honest , hotel take happiness trip . think $ 420 . night , would least get room large enough put luggage even store ... , room , could regulate heat ( literally burn ) . heat old steam heater could turn .... leave evening , thought , come back find luggage hot could burn ( sit NEAR , next heater ) . mattress sooo hard , stay night . trying make good horrible stay , ask move another room room , ask queen size bed ... thing , except able turn heat , freeze ! 29 ' night , 40 ' day .... snow Saturday night . shower / water pressure great , shower soo small head high , head get drench , could not really bathe rest body . ... include , soda / bottled water machine , complimentary coffee , coffee even purchase . literally , want anything drink , walk block ... whether morning , night , middle thenight . personally , hotel web site make much ... travel lot year many time Bermuda , Europe , etc . hotel one disappointing one ever . never stay , learn big lesson acquire info read review hotel . usually , not take time one ! never ! 
 Nov 12 2008 	 cheap - bad 	 stay four night early October 2008 . like many little concerned review cite small room etc . good ... room small US standard good NYC . bathroom also small ( allow wife stay bed long get dress ! ) Window mount aircon unit little unpredictable view uninspire ( onto internal courtyard ) . location little scary night . ... good ... hotel staff friendly helpful ( New Yorkers meet ) . big bed ( standard ) flat screen tv . good cross - section guest - airline staff , business people etc . scaryness location head reality - provide take normal sensible precaution people . location great - short walk Times Square etc spoilt choice eatery 9th Avenue . take opportunity talk local see really friendly - go stay room day ? ! hotel room NYC expensive ( high class room Dupont Circle DC later trip less pay NYC ) wj provide good , clean safe base short trip . not look forward stay New York see necessary evil move Washington DC . wife already make plan return two year time probably stay wj similar - Waldorf Astoria little league ! PS : lift / elevator - everything ' ve read true ! walk time ! 
 Oct 13 2008 	 AMAZING 	 stay Washington Jeff . 3 night . great rate , great location ( 3 block Times Square , 5 block away moma , surround great restaurant ) , recently renovate , free wireless room . pleasant surprise . 
 Oct 13 2008 	 solid choice Midtown Manhattan price right .. 	 well , point elsewhere , room small . quite small . however , 's fault will find mid - range hotel NYC will not mark alone . now 's way , wj not bad hotel . room clean comfortable , staff friendly location we unbeatable . subway around corner , open NYC local area ton restaurant choose , along short walk Times Sq , Columbus Circle , Port Authority Bus station etc . , be look nice , central location reasonable comfort ( space ) get hotel reasonable price , certainly would not pass . room nice walk shower roomy powerful - something like hotel ! two negative - small slow lift ( old building , surprising ) free wifi unreliable ( great , great connection drop every minute ! ) .if price right , would stay however . 
 Sep 1 2008 	 great location safe single mom child 	 recently stay WJ hotel pleasantly surpirse . I nervous reading review online , everyone perception different . nothing great thing say hotel , staff , room , location overall experience NYC . take 8 yr . old son Yankees Giants game even take show ( Lion King , GREAT ) . nervous small child get around town .. everything walk distance well say hotel staff . recommend hotel friend difinetly stay ........... thank wj hotel make trip NYC well ........ 
 Aug 24 2008 	 great hotel - great location ! ! ! 	 return wknd NYC stay wj friend . book thru Expedia get great deal - $ 608 flight Toronto LaGuardia 2 night wj . tax everything ! request room two single bed get ! extremely surprised cleanliness update hotel . yes small NYC . room cosy two people two suitcase . washroom petite extras amazing ! flat screen tv wall , iPOD docking station / alarm clock , desk , small armoire , comfy bed extremely comfy linen AC unit ! ! ! absolutely love ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! warn old building hallway narrow elevator TINY ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! mean two people two suitcase ( max ) tiny ! ! ! short walk Times Square also subway stop even block away ( right 51st street 8th ave ) .If would like get wine room , liquor store 8 avenue south 51st street east side street . warning : canadian , not sell beer / liquor store . wine liquor sell & quot ; liquor & quot ; store beer sell drug store pharmacy like place . Duane Reid big chain remember correctly one close hotel . if want nice little eatery , walk 51st 9th avenue . way ( north south ) lot great place . quick cheap breakfast go Renaissance 99 9th ave north 51st street . word advice - want really see NYC without 100 's people way - GO END AUGUST ! ! ! ! ! ! ! ! ! ! ! ! ! ! NYC two time - month May month September - well time visit ! TIPS EXPERIENCES NYC:1 - subway fabulous way get around city ! bit scary first time attempt figure go = look ! amazing ! $ 2.00 ride get ride card machine inside station . also , take time figure line train . learn hard way . ' express ' train ' local ' train . express train stop certain stop even though list stops line map . 2 - want amazing mexican restaurant amazing experience ? check La Esquina SOHO.3 - Times Square - Great photo experience way tooooo crowd frustrating people ! 4 - look crosswalk sign cross street . People not seem wait light change NYC . walk across street - driver bad nightmare . easily get catch flow crowd busy look around not realize walk thru move traffic ! ! ! ! ! ! ! ! 5 - not take HOP on / HOP red bus Grayline . waste money busy . get loop , make sure lots time not plan hop b / c start top level seat will not get one first stop ! horrible service bottom level not worth ! walk / subway well way get around ! 6 - Taxi 's - take ! super cheap super fast ! ! ! ! ! ! ! 7 - not know city , make sure get really good map city . ask new yorker find subway stop liquors store could not tell we anything ! ! ! ! ! ! ! ! ! ! 8 - Century 21 - lot patience time stand crowd , otherwise head ache.9 - Magnolia Bakery ( SATC ) - ok cupcake - great bull & amp ; # ( % go thru get store get cupcake really worth ! stand line get get , area cupcake 6'x6 ' woman turn monster ! end getting push around getting cover ice b / c polite standing get cupcake order enter store - UM ! seem free get cupcake ! ! ! ! ! ! ! 10 - Check greenwich / soho / west village area - great art vendor ! ! ! ! 
 Aug 1 2008 	 bad room Worse Management 	 get room WINDOW a / c unit , ( yes window unit ! ) not work . could not fix not another room . go another hotel midnight hotel less hour will not refund money . even part ! terrible manager , not even apologize offer discount . hotel good spot near broadway receptionist nice , worth $ 300 / night . spend extra $ 100 get real nice hotel . 
 Jul 28 2008 	 great 	 friend book hotel thru Hotels .com . request 2 room 2 bed , do not get . say request part . arrive one room go try squeeze we . finally gave find we one extra rm . us king size bed . 4 women travel together much preferred bed . room extremely small , mirror room inside bathroom . bathroom also small . addition room actual closet dresser like thing house item , drawer either . staff front desk friendly accomodating . belboy etc . deserve tip . also bump flight hotel able assist we either . ! hotel bad couple nite big deal . oh , good part restaurant across street , Vice versa , incrediblly good . enjoy . 
 Jul 24 2008 	 good bad 	 mixed feeling hotel . book priceline get decent rate . room though small - and mean small - two people can not pass . estimate 7x10 . small dorm room college . bed queen like sleep brick pillow limp - barely stuff . not shower door open get hot ceiling start drip . 3 be husband allergic reaction need ice bring swelling face hotel not . ice machine , vend machine . go 24 hour rite aid get ice pack . elevator tiny condusive someone would wheelchair . I say convenient location - just block away times square . clean hotel front desk staff nice helpful . cosmic diner 8th right hotel good food good price open 24 hour . 
 Jul 23 2008 	 Nice hotel 	 choose hotel NY not easy . one fair price still clean fresh . review say room not big , sure - be huge . , ' m european , pretty much standard sized hotel room ( stay standard double ) . bed , desk closet floor space . could not suitcase open floor still get around not NY enjoy view suitcase hotel room ! ! location ok - 's close Times Square 's pretty much block nearest subway . area quite calm , well calm Manhattan . Personally would choose another hotel go ny next time , be would prefer stay Soho West Village , not mind location - hotel clean nice , staff helpful price fair ! 
 Jul 12 2008 	 AWESOME LOCATION 	 amazed negative review hotel . stay Washington Jefferson three time w/ 3 different room type . standard queen bed small , would spend little deluxe . go cheap , can not complain end small room . also stay 2 twin big enough husband . book deluxe w/ 2 twin , last time , find arrive upgrade deluxe 2 queen ( room 336 ) roomy . room face 51st kind noisy , may want ask room back side . although , keep mind view side building . hotel block , C , e line take anywhere ( Central Park Time Square one stop away ) . also take line Canal Street South Street . Rockefeller St. Patricks 3 - 4 block away . e line also take Jamaica Station link JFK airtrain . find could get airport 45 min $ 14 piece rather around $ 60 taxi . hotel also hold luggage arrive check - in 3 , check - out 12.the bed not like home , not stay not comfortable . ' ve not experience dirty room either . clean . 
 Jul 8 2008 	 nice stop 	 depend taste room size , nice place stay . room small , find okay need . spec : closet , little wardrobe / locker thingy ; fridge ; tiny ironing board ; tub , etc . really , room big enough bed small amount luggage . quaint , clean . gym , also tiny enough bit sweat . I guess good word sum little hotel compact . deal , nice stay great side street theatre . add bonus diner , drug store grocery store walk proximity 8th avenure , great little pub next door . we would stay . 
 Jul 7 2008 	 great place stay heart NYC ! 	 read small room , bit nervous . however , two kid spouse , pleasantly surprised room ( 2 qn bed- room ) . room clean linen spotless 4 - 5 star hotel quality . location awesome , within walk distance action spot . hotel super friendly courteous .. one note : front desk manager ( Arbel ) could use training customer service skill ( smile , greet show help patron .. etc ) .. -We definitely consider stay hotel . 
 Jun 28 2008 	 definitely stay 	 would defintely stay , fantastic location , walk distance main attraction subway . helpful staff , clean , quiet room comfortable bed . little pricey get pay . 
 Jun 25 2008 	 great location New York 	 Ok review say room tiny hotel - yes - excel area . boyfriend book deal fly next day NYC keen somewhere place centrally activity . location place perfect ... noisy near busy street , yet couple block Central Park north hotel couple block south Time Square . New York quite small walk easily Macy be around 33rd 51st hotel situate . bathroom / shower hotel delight , decorate high standard clean fresh . room fine , flat screen tv , ipod speaker plug fav tune whilst get ready hit town . even hairdryer , iron ironing board . , rate quality room can not go wrong . plus location key - not stay room long great city explore around - enjoy - recommend ! 
 Jun 18 2008 	 clean room terrible bed 	 bed room firm top mattress wooden platform , boxspre . make bed extremely uncomfortable sleep , even sit . since room book primarily place sleep walk trip around city , bad night 's sleep bed provide take toll resilience . comfortable bed high list expectation , hotel you . that say , room nice clean , despite be tiny size ( small room ' ve ever see ) . free wifi work well room nice 32 & quot ; flat screen tv . shower pressure great bathroom general much nice stylish hotel ' ve stay , whatever worth . also , despite hard mattress , soft headboard make sit bed little tolerable blanket sheet good quality . other small complaint headboard right someone else 's door slam uncontrollably , wake we multiple time throughout stay . window view brick wall next building , air conditioner ( would not work hard cool small room ) right foot bed , make little hard regulate temperature sleep . overall , room not bad , price , would personally want stay unless put proper bed . 
 Jun 17 2008 	 Great Location need know . 	 keep mind first stay NYC hotel . great location near theater time square . hotel staff nice helpful . room clean small ( may norm NYC ) . wireless internet free , reception on / off slow ( might due location room ) . five night , awaken twice 4:30 garbage truck . overall , good value hotel area . lot resatutant entertainment within block . decide location important . 
 Jun 16 2008 	 Great Hotel ! ! 	 stay hotel one night , really good find ! reasonable price NY hotel , room quite small modern nice bathroom . could not ask anything well . pleased . 
 May 13 2008 	 great little hotel 	 find little diamond N . 's luxury , be big , be really nothing special 's good value money , be clean great location . 12 - 14 hour N 's good come & quot ; home & quot ; warm shower , clean towel , good bed big tv . read room pretty small take superior room . good invest money ! eat breakfast restaurant neighbourhood . ( 8th street ) like american movie 60 's love it . for eat lunch / dinner also recommend restaurant 9th street . e g & quot ; Island burger & quot ; thairestaurant 9th/51st ( could 52nd ) 
