Fantastic 	 stay auberge 3 night November . great experience start finish . breakfast include room rate sufficient enough get we start day . we room 5th floor , room great . comment room & quot ; jacuzzi & quot ; much small bath ( shower fine ! ) .it great base stay Montreal . Old Port bit touristy , be easy enough find good restaurant dinner . 
 Sep 15 2009 	 lovely room poor soundproofing 	 stay one night one loft apartment ( 601 ) ; huge space , well equip , complaint accommodation . however occupier apartment we arrive 1:30am seem havng loud party dancing 3:30am . despite , would stay . service friendly helpful . 
 Sep 15 2009 	 great experience 	 hotel great ' french ' experience old part Montreal . location , building , staff , restaturant , roof top terrace cocktail lunch , main restaurant , basement restaurant room reminiscent harbourfront type hotel France . quaint aspect make hotel little quirky ( early morning train go past dock , early morning trash collection , rental car beng double park 20 minute busy traffic lane park valet ) . however , thing part experience - love . even get chance use high school french amusement staff surprise much could remember . great little hotel , good location away central Montreal . Loved would return time Montreal . 
 Sep 9 2009 	 somewhat dissappointing 	 number problem stay one night . awful time climb stairs hotel ( rail ) . fellow park car not show fifteen minute husband sit fume double park ( auto zone mean us park ) . arrive , ignore we . pointedly ask know wait . room , unique brick stone wall , slope . could roll pen across floor . view , supposedly river , like port car park several story . day hot . air conditioning . take walk historic area around corner decide good look restaurant see hotel . reservation seven . waiter take order . eight oclock come back & quot ; verify & quot ; order . later find order go 8:05 ! meanwhile one soup arrive . rear end get tired hope go walk dark . luck . restaurant chic attractive . hope fire waiter . still make husband quite irritated . tell least & quot ; Parisian & quot ; experience . breakfast basement really charming . food excellent . decor unique . like . 
 Sep 6 2009 	 great staff jazz food 	 room clean bed comfortable , bathroom jacuzzi . Room expect however . expect view Port request room high ( 5th floor high floor ) . put 1st floor , comment bellman , say probably due & quot ; special rate . however even 5th floor not think see water due tall tree block view except rooftop restaurant . window suppose open filthy . could open , have clean ! train track across street tree line median long freight train come 4 6 a.m . however ' m pretty good sleeper bother much . area delightful touristy ... ' m tourist enjoy . many many restaurant available , restaurant lounge hotel good food also . great jazz duo guitar bass play 6 - 9 Thur Fri Sat ... complementary glass wne cheese every evening guest . entry hotel 4 step ramp anyone disability . arrive 8 p.m. cab driver drag suitcase step lobby check - in easy Matthew take room . hotel personnel extremely helpful ... make arrangement on / off bus tour arrange pick tour company hotel . highly recommend hotel many way , wish could high since first floor could hear delivery truck early morning plus heavy rock music bar next door 3 a.m. , drunk argue laugh loud enough could hear . 
 Aug 29 2009 	 great place stay would definitely recommend 	 partner stay 4 night good hotel stay trip Canada . help bag soon get door greet friendly staff desk check . get Saturday night thought could noisy due surround bar we stay 2nd floor fine . room cosy , spacious tastefully decorate . criticism could possibly make little house spider everywhere ! breakfast amazing , though first morning ( Sunday ) not think prepare we appear early ! still , much choice buffet menu choose really tasty . also get wine cheese every evening , shame could make two evening four nice . also , computer could use free lobby could print free good service able use . the location good , ok busy area , convenient get place want safe walk around night . overall , really good place stay leave happy stay . 
 Aug 22 2009 	 wonderful boutique hotel great location 	 love hotel -- be exactly kind like : small big room great service staff wonderful location . room face river perfect . concierge help we restaurant reservation suggest fine place not think . two problem : wi - fi not work room ... come Saturday night -- Saturday night summer 's firework night Montreal , hundred thousand people head Vieux - Port area ... take we hour get hotel . so be fly , not come late Saturday ! 's hotel 's fault -- lovely place . also like restaurant , Narcisse Bistro , be well . 
 Aug 13 2009 	 never glad leave place . 	 stay Loft Apartments Auberge du Vieux - Port suppose highlight trip , especially expensive place stay holiday , unfortunately whole experience leave bitter taste mouth could not leave fast enough . in fairness check fine , disappointed arrival apartment find not sufficient crockery party pot pan lock cupboard not key access . ask apartment king two double , tell concierge give , arrival apartment reality two king sofa bed . eventually couple hour check crockery etc unlocked eaten , settle watch tv log onto internet , except could not , various reason numerous go not get internet promise many time concierge stay . additionally young family stay we love loud music , endure music , child run around we loudly late night , value good night sleep look elsewhere . needless say time check concierge neither friendly welcoming arrival , never glad leave place . 
 Aug 11 2009 	 lot room fun location - Vieux Port Lofts 	 wife traditionally stick brand name hotel - want avoid risk find miserable limited vacation time , especially something essentially control . two young child , one 3 1/2 seven month old , like extra space . stay Vieux Port Lofts , find 's abundance extra leg room . hotel : overall , hotel nice atmosphere , check easy friendly accommodate staff . arrive taxi airport love old cobblestone street drive get . know be stay tourist - central , pretense visitor enjoy charm old city . hotel right center - kitschy restaurant , post card shop ... name it . the loft part hotel , short walking distance away . someone walk we bag room . one drawback stay historic loft small kid elevator , lot stair . would not recommend space be bring in - law . ( mine would complain , make ) . also , stay loft , bellhop doorman - be give set key nondescript entrance , see stair ( mention lot ? ) .overall , helpful staff concierge . friendly easy service through . about ROOM : stay room 605 , true two bedroom roomy living area ( complete dvd player , pack Dora episode ) ; be also small ( er ) kitchen , well lay 1400 square foot space ... many friend NYC apartment half size place . room clean ( although kitchen bathroom little date - nitpick since thrilled kitchen amenity ) . space also charming , e.g . lot expose brick , lot light , not noise issue ( response previous post read hotel ) . think picture furnishing hotel 's website little mislead - stuff feel like be stay Three - Star time share , oppose swanky SoHo loft . hotel staff set pack play little one . also , take advantage washer dryer one floor we . stay three night , overall - love . return Montreal , will look stay . space make place feel like home away home - price perfect . be leave tomorrow Quebec City stay large suite Fairmont Hotel Frontenac . , be pay one night Vieux Port charge we three . can not wait compare value ! 
 Aug 10 2009 	 Great Service ruin Early Morning Freight Train 	 wife book room three night romantic getaway suggestion friend . arrive , Frederick greet we outside huge smile help we unload car . good concierge ever pleasure dealing - always smile , friendly , ready whatever take . whenever see we , inquire visit , ask anything could . front desk staff equally helpful , assist restaurant recommendation / reservation help we plan day explore Montreal subway , bus foot . Valet parking include unlimited in / out privilege . we arrive time nightly wine cheese guest reception restaurant . ticket guest receive one generous glass wine take table outside Rue de la Commune overlook port , roof terrace . additional glass wine available purchase . everything advertise website . room face port two large window twin glass panel open fully allow cool fresh air night . bed comfortable place old brick wall . bathroom large pedestal sink ( shower stall quite small ) . flat panel tv room , cd player mini speaker ( front desk library CD 's available guest ) , high speed wireless internet . we go bed first night pleased choice ......... shake sleep 4:00 a.m. loud squeaking , squealing , screech sound metal metal come slow move freight train immediately across street hotel 20 meter window . train continue pass 20 minute , make sure fully awake . like scene straight movie & quot ; Cousin Vinny . & quot ; second , short train come 6:00 a.m. make sure night 's sleep completely disturb . scenario repeat time three night , prevent we get even one good night 's sleep . ruin would otherwise excellent stay . perhaps room side hotel would well choice , want room view port . hotel warn guest potential considerable disturbance room location take account make reservation . want room view plan sleep night , well - advise bring good earplug . Bleary eye lack sleep , make way breakfast include room . fine selection hot cold meal - french toast particularly good . service breakfast little spotty , food tasty . return Montreal , consider hotel , get room face Rue Saint Paul . 
 Jul 20 2009 	 beware obnoxious loud club next door ! 	 husband plan 2 night romantic stay hotel . valet parking make easy check ... nuts time day , think around 2 pm friday . upon enter lovely room , notice bed kind lean funny , break wobbily . oh well , be beautiful , go worry . could hear violinist playing & quot ; La Vie en Rose & quot ; outside window .... fave song recent wedding ... ahh ... take soak large whirlpool tub ! yay ! ! ! ... hey , 2 jet ' sort ' work ... oh well .... fun , not matter . wander t - shirt pack touristy area Vieux Montreal , lovely dinner Narcisse hotel . lovely meal , lovely service , thank Charles ! return room . violinist STILL play ( 6 pm ) La Vie en Rose / Memories / Twinkle Twinkle Little Star montage ..... ( be know ) . PLAYED NON stop almost midnight right OUTSIDE WINDOW ! ! ! ( noisy Rue St. Paul side ) .. oh , get noisy . club next door start get hop around midnight . go club ? drunken teenager ! ! ! hang outside street carry hour . needless say , call desk offer move we 5th ( 2nd ) flr , side . say thank . 30 ft vertical change not going cut . leave morning go Burlington VT instead . next morning , desk staff say ' do not stay weekend summer ' thank head .... never . 
 Jul 17 2009 	 amazing location big space 	 April 2009 , friend decide take trip Montreal . much research , decide stay Auberge du Vieux - Port . 4 girl total enough room . stay superi room 2 queen size bed . place great kitchen , dining room big living room . downside 1 washroom , manage . love brick wall amount space provide we 4 girl . love location ! exit , exit right street 2 step away restaurant shop . another thing not like fact place not elevator .. hard pull suitcase 3 flight stair . other .. love would go back . maybe time husband . = ) 
 Jul 14 2009 	 great hotel around - back soon ! ! 	 stay terrific hotel three night honeymoon . hotel staff excellent -- kind incredibly helpful . room beautiful , large , immaculate -- like picture website . ( mattress feel brand new . ) night go downstair bar complimentary glass wine cheese . morning go downstairs complimentary breakfast -- french toast particularly delicious ! hotel offer free wireless room . valet parking pretty much necessary , fairly price . location perfect explore Old Montreal reasonable walk Jazz Festival downtown . thank Michael , Matthew , Frederick perfect honeymoon Montreal . 
 Jun 11 2009 	 let us double book room 	 stay hotel couple year ago decide stay superior loft time well . get hotel reception area crawl bug . top , concierge lie us maintenance problem occur day could not contact we . turn 's maintenance problem , ' ve double book room beer festival , people arrive we get room , though 's first come , first serve . manager UNAVAILABLE , staff incredibly RUDE . one staff member actually nerve ask we keep calm / quiet would kick we refuse we service . ever decide stay hotel , back - up ready . 
 Jun 1 2009 	 enjoyable hotel stay ever remember 	 staff outstanding . bostonexpat mention concierge Michael . overstate caliber man . valet gracious . feel staff enjoy work hotel . great location ... great view . make rainy cloudy weather . 
 may 26 2009 	 would definitely stay 	 husband stay three night May ' 09 . river face room 5th floor - room exactly advertised hardwood floor , expose brick , modern bathroom . room large comfortable , fantastic view river / Vieux - Port . live city busy street , minimal street noise not bother we , worth mention two morning , train pass directly front hotel rather early morning fairly loud , even 5th floor window close . early morning noise , not one bad thing roomthe hotel fantastic restaurant outdoor , street level seating , go late spring / summer , make sure drink roof top bar , great view relax atmosphere . one perk stay complimentary wine / cheese offer every night hotel bar 5 - 7pm . two night stay , also live jazz music bar . as poster mention , location great visit main site Vieux - Montreal abundance dining option nearby meet price range . be look close nightlife Crescent St / St . Catherine 's hotel probably not , want stay charming hotel , great service , fantastic location Vieux - Montreal , highly recommend hotel . 
 May 4 2009 	 pleased ! ! 	 stay particular hotel April 30/09 May 2/09 . pleased choice hotel . employee helpful prompt make stay comfortable . hotel old feel love . everything walk distance , shop , restaurant Notre Dame Basilica must see . 
 Apr 19 2009 	 love hotel even well service 	 stay Auberge du Vieux - Port 04/17/09 04/19/09 wonderful stay . hotel fit expectation boutique hotel , price not bad . important though service vip moment check . chief concierge , Michael , one helpful concierge ' ve ever come across twenty country . make stay pleasant . 
 Apr 13 2009 	 Perfect choice surprise getaway . 	 choose Auberge du Vieux Port base friend 's recommendation surprise getaway husband 's birthday . perfect choice . 2 night . price include dinner parking reasonable . front desk parking valet gracious accomodating . wine / cheese offer evening , along live jazz night . many attraction within walking distance . return another time . 
 Apr 8 2009 	 Valet Drive Car Garage Wil Reimburce Work 	 wife arrive , room we dirty clean room service yet , move we small still nice room . figure , happen , fix problem well could . later night go stairs dinner , manager stop say problem car . tell would bring around , 45 minute later . hotel drive new Lexus parking support cause damage back left side car . , figure happen assure would pay repair provide estimate . morning receive call say send check cover damage . work hotel chain 3 month try resolve problem effort part correct . fair , hotel beautiful short walk great spot . however look hotel nothing com pair ability manage 's service . decide stay , bring car , expect senior manager support additional service need may want certainly trust anything tell rate , refund room charge . would say like live beautiful condo slumlord landlord . 
 Apr 7 2009 	 Loved ! 	 huband stay Auberge du Vieux - Port late August 6 night & quot ; mini - moon & quot ; love . also choose hotel location Old Montreal love surroude area . the concierge valet pleasure - enjoy see interact stay . always greet we happy provide advice suggestion , go , eat . also bring bike able store back room . room wonderful . stay room third floor overlook water . bed comfortable sheet lovely also . everything clean well appoint . breakfast delight every morning . love crepe croissant wait staff nice also . wine cheese time , nice treat stay . also eat dinner restaurant food delicious . overall experience wonderful love . feel like & quot ; home & quot ; night stay would definently stay . 
 Mar 24 2009 	 Great Service Great Hotel 	 spend pleasant weekend Auberge de Vieux Port mid - March . room present website – stone wall , wooden post wooden floor give unique romantic character find typical high - rise hotel . hotel within walk distance downtown attraction key building . walk train station thirty minute , along way pass Notre Dame convention centre . supper hotel restaurant excellent , enjoy jazz duo play weekend . also several restaurant cater range taste price St. Paul Street , directly behind hotel . price also present , surprise checkout time . the room come Jacuzzi tub , unfortunately build one . ( well , two people could fit small . ) prefer firm mattress , find bed comfortable . the negative noise street level easily drift window , warn prone retire early . however , strike we attentive service , outgoing , enthusiastic friendly attitude hotel staff , make one pleasant stay hotel visit . 
 Mar 9 2009 	 good hotel ' ve ever stay . Hidden Gem 	 get back lovely weekend Auberge du vieux port . travel way Pennsylvania , great experience hotel . locate center Old Montreal . location could perfect , street behind hotel line little shop many excellent restaurant . street front hotel host port , great place walk around . arrive staff friendly continued offer help service extent stay . room gorgeous , tall ceiling brick wall . european charm expect . bathroom also extremely clean update . strong critic hotel , often time find something wrong , however nothing complain one . include breakfast delicious prepared order , complimentary wine cheese 5 7 charming , especially jazz band play weekend . hotel walk distance cathedral activity Old Montreal . also walk distance downtown , main shopping area . highly recommend hotel would consider hidden gem . 
 Jan 23 2009 	 good location loft ok know expect 	 location excellent want old port area . easily walk restaurant . ' 10 minute walk metro . staff pleasant helpful . enjoy stay . but thing aware ' thinking stay loft . apply loft ( apartment ) number 603.The loft inn , two block rear door inn . someone help get bag back . elevator . ' figure whether everybody build guest inn . appear permanent resident , inn own one apartment building . loft # 603 consist one large ( maybe 25 foot 25 foot ) room , reasonably large bedroom , small bedroom , bathroom , entrance hall kitchen . wall expose brick stone ; pipe electrical cable expose . fireplace ' work , neither tv large room . tv large bedroom work string extension cord door plug outlet large room . WiFi work pretty well . light inadequate : one person sit next table lamp enough light read comfortably , other find light little dim reading . cord lamp bedroom run wall , inside wall spot several foot away emerge plug outlet . beyond strange ; fire hazard . get noisy . people downstairs party include child play hockey hall . someone upstairs rise day 6:30 , flushed toilet 15 20 time , woke child get start practice Morris dancing . ok , exaggerate little , hear every flush , foot step ( muffled ) conversation . luckily , exception party night , people go bed fairly early ' really find noise bothersome . the large bedroom glass door , reduce privacy . water heater enough hot water two shower . housekeeping make bed change towel day . if ' cook loft ' kitchen , breakfast inn ' $ 10 ( include room would stay inn . ) breakfast excellent service prompt courteous . we arrange hotel transportation hotel airport back ; reliable pleasant . however , tell hotel trip hotel would $ 101 include tax tip , trip hotel would somewhat less . pay trip return airport , bill $ 232 include tip . ' 20 minute way ; ' bet cab would quite bit less . comparison , overprice New Jersey roughly equivalent round trip $ 100 include tax pretty generous tip . 
 Jan 5 2009 	 lot charm - quirk 	 lovely auberge lot go : brilliant location heart vieux Montreal ; large attractive room bare beam , expose brick , hardwood floor , large window - look river . ensuite bathroom dream : wonderfully spacious well equip abundance fluffy towel quality product , shower lashing hot water separate jacuzzi tub . fabulous ! breakfast good . continental breakfast buffet lay , together menu service include full english breakfast , omelette , pancake etc . also enjoy excellent dinner one evening hotel restaurant . quirk ? mention guest , seem under - staffing . although courteous , friendly ultimately responsive , front desk staff person also responsible answer phone taking reservation - mean quite wait incoming outgoing guest . arrive , room extremely cold , part due faulty thermostat help faulty window sealing allow frigid Montreal air whistle . brick wall beside window also crumble place , result small pile dust brick fragment windowsill floor . also express disappointment front desk mean make coffee tea room . time return room afternoon , portable heater wait we , together appear brand new coffee maker - complete coffee , cream etc . 's service ! , experience would recommend . 
 Nov 6 2008 	 high Point travel 	 pleased outset hotel . truly one high point 5 state 1 province tour Northeast . staff remarkably attentive , although , think , time hotel short staffed expect . still never get ounce attitude front desk , valet , maid , bar restaurant . attentive need . addition room nicely decorate , clean comfortable . wine cheese hour delight , breakfast delicious ... really . hotel we one good aspect trip Montreal . will go back Montreal stay . 
 Oct 21 2008 	 reservation give away 	 big favor call hotel arrive late . ' , give away blame online booking system . happen we even credit card deposit guarantee . ruin trip Montreal totally . 
 Oct 21 2008 	 exceed Expectations ! ! 	 return spend four night Auberge du Vieux - Port FANTASTIC time ! ! ! check September 22 September 26 , 2008.the main part hotel locate RIGHT Rue de la Commune directly riverfront romantic horse draw carriage stroll day . across street wharf bateaux - mouche dock bike path begin . around corner Jacques Cartier Square ....... check - in know advance would stay one off - site Lofts . however , moment check - in , know excellent experience ! Fredrique escort we ( ( carry luggage ) ) loft around corner Rue de Vincent EXCELLENT location . our loft 119 year old building . lofts BEAUTIFULLY & amp ; rustically renovate warehouse ...... open ceiling , expose brick , water pipe , etc ...... next door fantastic italian restaurant ( ( Galliano 's ) ) two delicious dinner . although loft ( ( # 604 ~~ HIGHLY RECOMMENDED ) ) six flight stair ( elevator ) , would want ever stay anywhere else ! # 604 900 square foot . please see scan get complete idea extraordinary loft ! side room overlook Rue de Vincent four floor ceiling , double window . wall expose stone use brick . WORKING fireplace , wood provide ! although need , loft air condition heating work great . not time prepare meal kitchenette well equip need ....... microwave ....... frig .... everything .... two dining table ~~ formal & amp ; informal . furnishing soooo comfortable welcoming . take look fantastic bed ! ! ! ! wireless , cd player , tv , closet space , bath ~~ great . comfortable couch easy chair ..... desk ....... excellent lighting ..... king size bed linen LUXIOURIOUS ! ! daily maid service ..... bath linen great . at night , view loft breathtaking ! sit couch , could see beautifully light dome Marche Bonsecours street ...... we , Rue de Vincent bustle quiet ...... never bother noise entire stay . right next door loft washing machine & amp ; dryer need use it . everything PERFECT ! ! ! ! ! pay $ 169.00 night ! stay main Hotel , entitle free breakfast ..... cost we $ 10.00 GREAT ! also , Loft Guests extend breakfast privilege 11:00 . late sleeper , work perfectly . as explain previous reviewer , breakfast serve cozy restaurant Hotel Desk . service always excellent . never feel rush , food always complete plentiful server always friendly , professional delightful . selection include omelet , egg , waffle , pancake , assorted bread & amp ; croissant , cereal , muffin , fruit , etc ... Hotel Staff Auberge du Vieux - Port always extremely friendly helpful . LOCATION ! LOCATION ! LOCATION ! ! ! ! ! ! not rent car not need one .... much within walking distance four day nearly enough time scratch surface . one morning , take tour Bateau - Mouche ..... relax wonderful ..... another morning , rent bike can Roule ....... bike Marche buy picnic sandwich , cheese , etc & amp ; drink ....... bike along Lachine Canal Parc eat picnic lunch bank St Lawrence River bike back ! ! ! thirty Miles , tell , soooooooooooooo worth ( 58 & amp ; 60 year old not - too - miss experience . ) teach Sisters Congregation de Notre Dame de Montreal ( New York ) really enjoy Bourgeoys Museum Bonsecours Chapel . even husband ( episcopalian ) impress ...... one night , buy ticket light show Notre - Dame Basilica . call : & quot ; Lumiere Fut & quot ; little cheesy spot , overall , FANTASTIC show ! Basilica ( Celine Dion marry ) gorgeous day SPECTACULAR night . do not miss Pointe - a - Calliere Museum ( Museum Archaeology History ) ~~ well do . montreal proud extremely important history Pointe offer great introduction over - view it . although french , Old Montreal completely bilingual everyone meet extremely friendly fun . live San Diego want return Vieux Montreal ...... unforgettable trip ........ 
 Oct 8 2008 	 Lofts - EXCELLENT 	 stay loft restaurant could please . room fabulous , people nice , view fantastic . noise level low street restaurant , October . loft middle & quot ; place & quot ; . other go stay hotel ( Hilton , Sheraton ) disappoint take Tripadvisor recommendation stay Auberge du Vieux - Port . can not go wrong staying - 's know stay . 
 Oct 1 2008 	 Greet staff get prepared argument almost everything 	 disappointment begin end . the unhelpful disintereste arrogant staff watch we spiral ofcontrol without help give idea visit local attraction eat local restaurant . avoid breakfast , take way long , run supply anyway treat real & quot ; bother & quot ; ignore be take valuable time day . & quot ; deluxe & quot ; room trash pickup 5 am morning outside window . hope like lot morning noise . the hotel take course 101 welcoming guest , especially tourism make people feel special happy choose stay hundred place stay montreal . in retrospect , choose another place friend recommend . sad , completely ruin trip Canada . 
 Sep 14 2008 	 simply Superb ! 	 book small hotel large city never previously visit , one never know choose wisely regard location , cleanliness , amenity , etc . must look 100 place Montreal planning would spend 35th anniversary , auberge du Vieux - Port absolutely perfect choice . excellent linen include robe , high end bath product , multiple breakfast choice crepe & amp ; omelette 's ( include ) addition buffet evening cheese glass wine ( also include ) . fact small hotel old building elevator rare treat ! location ideal easy access rest city via subway bus hotel , heart Old Montreal , part town simply walk enjoy . old aspect building preserve , like stone wall , everything else date . room , immense jacuzzi tub plus separate shower , face river , actually glad since street tend busy therefore noisy time . disappointment rooftop restaurant ; on - line picture make look like place special event dinner 's really place stop one drink , multitude wonderful restaurant near hotel . 
 Sep 13 2008 	 Beautiful Hotel Lovely Staff 	 originally think would lofts street , wound stay top floor main hotel back room overly Rue St. Paul . suite exactly advertised terrace wonderful ( curry chicken salad quite refreshing hot summer day ) . Frederic greet we door always delightful . hotel , excellently locate old town walk everywhere.the breakfast include varied enough get tire staff always willing try meet special request . check easy thoroughly enjoy stay . the restaurant menu bit limited , food not disappointing ton restaurant near . 
 Sep 12 2008 	 absolutely delightful 	 charming old - world boutique hotel , Auberge du Vieux Port ideally locate view St. Lawrence River . husband spend five night Deluxe King room beautifully decorate . artwork bedroom , corridor also bathroom tasteful unique . particularly like hardwood floor , expose beam stone wall room . robe , slipper umbrella include . staff especially accommodate friendly . Michael , exceptional pleasant concierge , suggest restaurant well sight always ask opinion place visit . really go way helpful , concerned considerate . arrive September ' get rooftop breakfast , service end August 31 ; however , breakfast low - level restaurant nice . nightly wine cheese cocktail hour 5 7 pm include price — a nice touch . even live music . I reserve room phone want check parking . discover would well make reservation online . apparently person speak fail include request separate shower . however , issue resolve quickly satisfaction . lovely room . although follow problem ' affect rave review hotel must mention . tell car would underground garage . ' use car stay . ready leave originally tell Daniel would take ten minute get car . half - hour later , wait lobby luggage , Daniel , mostly amiable stay , suddenly become annoyed instead apologize delay rather curt ask much long ' wait . car retrieve discover park , underground garage , outside tiny lot . eager get road ' question . suggest anyone wish park hotel find exactly put car . conclusion , overall experience positive highly recommend hotel anyone look delightful place spend time Old Montreal . 
 Aug 21 2008 	 Dishonest ! 	 unfortunately , never actually chance stay hotel ... , ask ? well , receive $ 200 gift certificate hotel wedding present . finally find weekend use ( 1.5 year later , grant we one & quot ; extension & quot ; ) ... discover hotel would long accept . simply policy certificate expire 1 year ( 1.5 year beg ) .to think hotel actually take $ 200 payment service , place arbitrary deadline redeem ! terrible ! would not business business ever ! 
 Aug 13 2008 	 Amazing 	 beautiful , small , quaint boutique - type hotel charm surround Old Montreal . service ( especially Michael ) , room , restaurant ambience hope . full concierge service , full breakfast include stay , wine cheese jazz music include , turndown service even monogramme robe umbrella room . ' river - view ' room little noisy night , perk make worthwhile . would highly recommend hotel anyone . 
