great 	 spend 3 night hotel November 2008 refurbishment provide feedback site hotel contact assure problem rectifice agree stay visit year . true word problem sort return fabulous 4 night stay hotel . room excellent view Empire State Building , clean spacious door staff extremely helfpul , pleasant informative especially Tarek . I defintely stay future . 
 amazing hotel ! 	 Affinia amazing hotel stay whilst trip Big Apple . centrally locate , yet far enough hussle bussle . be far Grand central station ( attraction self ! ) get tube train easy . also Chrysler building doorstep . room could see Empire State lovely surprise . the room beatifully decorate , feel luxuary . bed ... wow bed ! ! comfortable , much look forward get end busy day .. pillow also good . bathroom also gorgeous ( seem odd say ! ) clean . housekeeping keep room immaculate , not see spot dust . bed change make every day . room service - poor not bother . food yuck - like cook 3 hour previously sit hot plate waiting bring , also expensive worth . instead go Scottys cafe open 24hours day locate short walk hotel ( go main enterance take right , cross road look leave will see , blue yellow ) . location ideal , short walk sight . walk hotel normal tourist site central park , Rockafeller . Empire State cool , yet Chrylser building Rockafeller building give amazing view Empire . empire build nightmare quee ! ! queue get , queue get security , queue get lift 80th floor , queue get another lift 86th ( observation ) get queue get . think spend 3 hour total queuing leave plenty time ! ! also Staute Liberty - make sure pre reserve go observation deck ( 2 week advance ) want go crown need reserve least 2 MONTHS advance ! also make sure cruise Hudson world yacht - amazing food amazing view ! hotel really good value money chic , classy brilliantly locate truely unforgettable experience ! 
 13 night Shelburne ... want leave ! ! 	 get back 2 week stay Affinia Shelburne . take husband New York surprise 50th birthday want more . stay queen suite 15th floor fantastic view Empire State Bldg New York skyline . fantastic balcony ( proper sized balcony , sit drink sunset watch city 's colour change ) heaven ! ! room spotless staff helpful especially Jada front desk jolly doorman ! ! location fantastic . New York 3 time far good location . safe walk around night problem walk fact everywhere New York with . even though Rooftop bar close go look view breathtaking . memorable birthday back next year stay Shelburne ! ! 
 everything expected 	 stay Shelburne 12 night good friend 50th birthday . picky real clean freak . have book standard room upgrade 15th floor suite ( balcony ! ) arrival . fabulous experience . hotel modern , clean quiet , plus great location . staff deal helpful , kind friendly - concierge houskeeping . great kitchen , load space include huge closet , bathroom lovely . spend age internet look reasonably price hotel NYC tick box - Shelburne . would stay recommend everyone . fabulous girlie birthday holiday NYC - thanks large part Shelburne . 
 lovely NYC experience 	 daughter stay Affinia Shelburne two night Thanksgiving Holiday . prior stay read trip advisor review want make sure could get room 2 bed . contact hotel directly tell request could make guarantee . notice assistant general manager respond trip advisor review decide contact request directly . e - mail answer day please guarantee room two bed . upon arrival greet extremely friendly doorman follow one pleasant reception clerk ever meet . wonderful treatment continue entire stay include every single person come contact ( housekeeping , maintenance staff hall , bellman , check ) . find extraordinary . travel NY many time meet friendly people every single person . room clean , bed comfortable nice workspace . restaurant next door ( get without go outside ) yummy breakfast . plus excellent location . would hesitate stay . 
 business model seem base generate repeat customer ... 	 fact : Booked Priceline reasonable price . greet front desk friendly helpful . notice small grafitti wall upon exit elevator floor . long something like wall 3.5 star hotel ? bad oman think . that nothing compare TOILET BRUSH , ( hopefully fall maintenance cart ) , hallway outside room . informed front desk take time remove , guess not bother . long would something like hallway 3.5 star hotel ? enter room use shower . exit shower happen look ceiling notice large 16 & quot ; pizza size miss piece plaster bed , loose material still attach . would real 3.5 star property room service ? think not . first call mention hole meet bad already shower use room approach . later call make front desk switch different room . . 30 minute initial TOILET BRUSH HALLWAY mention . Brush remove employee bring new room key . later mention problem Priceline meet denial Hotel . ( photo hole bed denial seem poor strategy . bottom line : not bid 3.5 star Priceline MTE may end here . the hotel seem mostly fill tour overseas one time Priceline buyer . stay away 
 Nov 2 2009 	 ideal location touch luxury 	 ideal place family trip , equally locate 42nd st Times Square vicinity without cost . hotel modern , great amenity , staff friendly informative . room adequate , one bedroom suite pull sofa living room tvs room make appropriate family 1 - 2 teen . also kitchenette fridge microwave come handy use ( restaurant leftover make great breakfast ) side , bathroom small , shower curtain glass partition sufficient prevent water splashing floor . certainly could 1 person use shower another brushing tooth without get wet . the hotel pricey get great internet deal . restaurant roof top bar - $ 12 glass red wine ! get good bottle dollar liquor store end street . use hotel restaurant room service surround food store also expensive , Manhattan , expect . become savvy shopper , buy fruit snack evening ride subway Grand Central - marketplace must ! also walk alot , keep use taxis minimum , able see New York discover gem tour book . also great way burn extra calorie good food New York offer . overall - great experience , great view Empire Stare Building room comfortable environment . would definately visit . 
 Oct 30 2009 	 good .... ! 	 nice , clean , nice staff . room remodel mostly small . really enjoy stay strongly believe room coffee maker , especially since coffee shop readily available . really like gym window open . 
 Oct 28 2009 	 good service little poor . 	 book room direct hotel . good rate NYC . mess room etc manager call , Andrew . great . sort , give we free lunch RARE , fab & amp ; send we free warm cookie child love . service member staff far warm . safe , good , clean place lie head day ny . 
 Oct 27 2009 	 amazing hotel ! amazing location ! 	 stay mom 6 night amazing ! first arrive lobby nice check fast . then arrive room really impressed room size really big bed big plasma . during stay staff helpful polite . I will recommend hotel anyone ! 
 Oct 26 2009 	 would definately recommend 	 suite 10th floor fantastic view Chrysler Building ( great night ) . nice quiet night . room spacious , clean , well equip , hair dryer , iron , kitchen etc huge bedroom . bed comfortable ! ! large bathroom lovely Aveda product . clean every day , even wash do we ! . anything ask deliver promptly . recommend complimentary walk kit - useful . perfectly locate , quiet friendly area 5/10 min walk Grand Central , Fifth Avenue , Times Square etc . would definately recommend .... 
 Oct 23 2009 	 ok New York - Nothing Top 	 nothing fancy hotel & amp ; money give NY , ok.+ side : huge bed , adequate bathroom , good location ( walk grand central ) - side : slow lift , expensive internet , view 
 Oct 23 2009 	 Slice Heaven NYC 	 family recently stay Affinia Shelburne first trip NYC . choose hotel much research read many positive review post site , expectation already quite high ... stay Affinia Shelburne nothing short exceptional ! moment arrive , quite late evening , feel like & quot ; home away home & quot ; . upgrade spacious 2 bed , 2 bath suite separate living room kitchenette , two teenager daughter , absolute godsend ! furnishing modern , whilst still comfortable bed make we feel like sleep clouds- fact remark sleep well Shelburne home ! aveda bath product nice touch view room- East River one direction , Empire State Building another , magical . the staff extremely professional , front desk people , housekeeping doorman ( girl think cool ! ) . make lasting impression we , though , friendliness every staff member encounter willingness whatever could make stay memorable possible . on morning , eat breakfast Rare , onsite restaurant , find pleasant , relax way start day ( serving huge ! ) evening , place buzz atmosphere enjoy couple great family dinner stay . the location Affinia Shelburne perfect we , residential area Manhattan , away craziness Times Square ( although many major attraction leisurely 10 - 15 minute walk away ) . public transport convenience store close feel safe walk hotel day night . David team fabulous job Affinia Shelburne . already recommend hotel numerous family member , friend colleague intend travel NYC future . fact , amazing experience , hope return & quot ; home away home & quot ; soon possible ! 
 Oct 20 2009 	 Fantastic renovate hotel great location 	 spend many hour day research accomodation ( usually ) read alot trip advisor review glad take time choose Shelburne . arrive 1230 , expect room ready ( check - in 3 pm ) happily complete paperwork , bag store begin explore city . 10 - 20minute walk Times sq/5th Avenue / Central Park . the hotel recently renovation , tasteful furnishing throughout pleasure come home every night . room spacious come refrigerator stock mini bar item , hair dryer , Aveda bathroom amentitie - shampoo / conditioner / moisturiser . tea / coffee facility room , however ' m sure could get housekeeping . starbuck within 2 block anyway need . towel nice thick too . our studio room # 820 great view Empire State Building . neighbourhood quiet big city issue sleep window open worry walk home night . take advice reviewer eat Scotty 's breakfast time ( 336 Lexington , past 39th Street corner ) . great egg , omelette & amp ; pancakes.etcdinner - hotel bar / restaurant RARE nice burger plenty drink . 's popular bar local get busy 7 pm . groovy atmosphere well worth time long day walk . Fagiolini 's ( Lexington & amp ; 39th ) - great little ItalianEl Rio Grande ( 37th Street Lexington & amp ; 3rd ) - nice tex mex huge choice fantastic marguerita . bar well go drink . Third Avenue alot restaurant convenience store . the hotel friendly staff throughout , include bar staff April Concierge . knowledgable assist we restaurant recommendation great result . would definitely stay would hesitate recommend friend . location perfect necessary shopping close . could say one small thing might let , & quot ; Affinia & quot ; pitch . read several unfavourable comment part service Trip Advisor prepare . ask memory pillow never see . not priority not bother chase , explanation provide hotel . shortage walk kit well , perhaps tune ipod . ( way make stay negative one though ) . also use hotel SUV car service ( 4 people ) JFK efficient comfortable $ 10 yellow cab . thank memorable time NYC . happy stay . 
 Oct 18 2009 	 complaint 	 enoye stay , helpful pleasant staff . room comfortable good size . only downside opposite linen cupboard bit noisy outside room area use hotel staff . would return , nice quiet area close reataurant coffee shop etc 
 Oct 18 2009 	 nice stay Mid Town 	 good price Xmas time stay . nice room cool staff . central , mid - town location walk distance Grand Central al sort Manhattan goody . good time ! 
 Oct 18 2009 	 Perfect hotel trip back East ! 	 hotel meet expectation . book early , rate great Manhattan . 1 bedroom suite high floor view Chrysler building bedroom East River living room . perfect three us room spread . ' ve stay hotel NY would come back NY minute . location good , . room quiet exception air circulate bathroom . close door fine . restaurant meet need dinner arrival . housekeeping staff great ; friendly accommodating . 
 Oct 18 2009 	 great stay 	 nice comfortable hotel give we good possible basis family - holiday . definately come back . 
 Oct 15 2009 	 Excelent place stay 	 visit NY City frequently business . Affinia Shelburne great place stay , trendy comfortable space , nice top floor bar , good restaurant . room spacious small kitchen arrange catering . refurbish , place brand new . locate Murray Hill , residential place close corporate mid town . even though neighborhood agreeable , remarkable weakness subway station close hotel . 
 Oct 15 2009 	 wonderful way stay NY 	 stay hotel one bedroom deluxe suite 3 night last weekend wonderful . front desk staff helpful , concierge . the hotel obviously refit recently look lovely . not put corridor little worn looking - room public area beautiful . suite clearly recently newly carpet , furnishing good . suite bedroom huge double bed , big dresser , big footstool , two bedside cabinet large wardrobe . lounge large settee , two chair desk , plus yet another large dresser storage . three coffee table include one ' tray table ' . lounge bedroom large flatscreen tv . kitchenette small , nice cooker glass . bathroom quite tiny do not much surface area well appoint good shower , heat towel rail sink . all room variety lighting option ( desklamp , dim stand lamp , ceiling lamp etc ) cdplayer / radio / clock bedroom well iron board+iron , safe hairdryer . criticism although 2x glass 2x wine glass , crockery cutlery room - however housekeep helpful ask , sure would received immediately . it wonderful stay would never take single room suite NY . price cheap however although ask much would extend stay couple night , prove expensive short notice . the location great opinion . hotel locate corner Lexington 37th ( 37 38 ) walk everywhere ( even Ground Zero ) . Times Square take 15 minute foot think perfectly adequate do not use taxi go airport . great location , great hotel , great staff , great suite - stay ! 
 Oct 15 2009 	 great hotel great customer service 	 arrive home 6 night Affinia Shelburne NY . unsure location ( 37th Lexington ) booking , glad stay . close Grand Central Station easy walk distance area Manhattan . the hotel update , modern style furnishing clean , really stand make fabulous place stay staff ! ! everyone wonderful , willing help accommodate . we issue elevator noise room ask move , ... problem ... take care touring . treat well always greet smile ever approach desk . we would gladly stay . 
 Oct 14 2009 	 great value money - love every minute stay 	 third visit New York city hotel keep get well . give room 9th floor nice unblocked view window . could even see river . room sparklnig clean spacious . queen size bed , desk comfortable chear . 32 & quot ; flatscreen lot channel personal favorite - refrigerator . also little room chaiselong . bathroom seemd newly renovate quite large . nice decor clean . save litle environment one could hang one towel staff know could use another day . a point problem light call frontdesk . helpful lady promise send technician 5 min later technician come fix problem . talk much staff always smile helpful towards people help . one minor thing much wardrobe storage plenty space suitcase . the location ideal . away noisy Times Square close Grand Central Station great food market Grand Central . 
 Oct 13 2009 	 Affinia Shelburne 	 hotel well price 4 * hotel could find certainley disappoint . locate Lexington Avenue quite close Grand Central Station easy get around main place . the hotel newly refurbish clean modern far date comparison hotel pop to . the staff really freindly helpful would definately recommend hotel other . 
 Oct 12 2009 	 Excellent Hotel ideal New York Location 	 recently back 3 night Affinia Shelburne . New York numerous time past 15 year prove good hotel . standard room New York standard large . 2 double bed allocate requested bonus not always happen . arrive early check immediately another bonus . staff friendly , helpful efficient , expecially Doormen . elevator slow somebody inform around corner could use . room 5th floor offer excellent view Empire State Building . room modern great deask good sized tv . room clean furnishing high standard , even mum comment hard please , although would like Tea Maker room . Rootop Bar excellent touch allow chill long day sightseeing . location excellent , less 10 minute walk Grand Central Empire State Building . perfect location aware noise Times Square offer bit authentic New York Stay . 
 oct 9 2009 	 Rocky start -- fine finish 	 arrival , schlep luggage hotel 5 step check - in . doorman / bellhop interested chat girl go bar . confusion type room reserve . check confirmation printout ( always take ) resolve satisfaction . room ( bedroom plus living room ) make one week stay comfortable . 's great location easy nearby transportation . restaurant downstairs reasonable good food . 
 oct 9 2009 	 Excellemt Stay 	 get ready depart Gem Hotel would remiss not comment past 7 day spend . hotel , staff neighbourhood excellent complaint whatsoever ! despite may read other forum hotel exceptional return . buy seven day NYC Transit pass travel throughout city bus , subway ferry get to tell way go . get experience fantastic city people . LOVE NEW YORK Affina Shelburne ! L & amp ; LHamilton , Canada 
 Oct 8 2009 	 great value central location 	 recently remodel hotel charming neighborhood . able walk many location include Times Square , Empire State Building , Rockefeller Plaza , Grand Central Station ( subway ) . 
 Oct 6 2009 	 friendly helpful staff 	 first time New York . staff Affinia Gardens give wonderful direction , insight city . hotel central , easy come back quiet get middle action . Lisa 
 Sep 26 2009 	 good staff excellent location 	 location really good one weekly rate deal get internet . first queen bed room ' ve get 11th.floor small ( surprise , New York std . ) air conditioning device annoying , blow straight face , complain front desk ` show much interest situation ; say sell ! opportunity speak directly day manager , gentleman kind we , understand situation act promptly get we well accomodation , get happy ! nice modern decoration . internet access main lobby expensive ! recommend hotel people like Mark ready walk extra - mile help foreigner concrete jungle . 
 Sep 22 2009 	 disappoint outcome ... could great not 	 hotel definite pro con , many reviewer mention . couple pro : even small room ( ) big New York standard , staff quiet still courteous helpful , rate reasonable . lobby spacious pretty , computer . ( kind spa - like aromatherapy thing go scent - wise , sister love , little much . ) not try restaurant fitness center , look perfectly acceptable . not venture pool Affinia nearby , be nice option . some con : slow elevator , lot noise renovation ( room next door we , ) coffee maker . also , told & quot ; Affinia & quot ; request ready wait ( not , never show repeat request . ) ' m tear location . yes , be walkable Times Square , 30 Rock definitely stroll . really convenient Grand Central Empire State Building . close green line subway . guess depend close ' action & quot ; want be . so go fully aware type detail , tripadvisor , high hope Shelburne could exceed , use gift certificate charity auction . certificate issue hotel , invite recipient & quot ; special guest & quot ; Shelburne . not specific mean exactly , $ 1000 value , seem like could really nice weekend . let say , kind enough tweak term right away , let we check day early specify , also let we add extra day reasonable price . point , experience HOT . initial contact manager , David , ask would include weekend & quot ; special guest & quot ; ( word , mine . ) manager say room $ 500 value ( two bed ) first 2 day full value certificate . meal , extra , drink bar . okay , expect hear , surely $ 500 room surely would nice , right ? wrong . arrive , stick we one small room , across elevator , right next room contruction . ( one morning , pleasantly rouse sleep drill ; next day , shop vac . ) bathroom vanity ridiculously tiny , shelf anything , back toilet keep toiletry handy , great three people . realize pretty much right away $ 500 room . quick check online put room $ 250 ( large , suite - like room go $ 369 . ) REALLY irk see online room say max 2 people booking , stick three we . room coffee maker , lovely granite pantry kitchenette ( manage squish drink snack around honor bar item . ) yes , fit fine , imply certificate . , family , would complain quite vigorously , friend not want move make fuss . compare room experience New York ( i.e . room walk around bed , room luggage , etc ) one pleasant decently sized inclined want move . go along make friend happy , get steam & quot ; special guest & quot ; line , Affinia amenity ever show , even repeat request . never deliver paper promise . also , part expect least & quot ; hi , ? & quot ; phonecall , welcome note , nothing . keep hope Affinia & quot ; complimentary & quot ; kit would show maid point . internet would compe . would remember invite we & quot ; special guest weekend & quot ; offer we drink breakfast . never . even peep . Affinia long way go reach level service boast . visit New York frequently Affinia chance win new customer , fail , actually fall quite flat . experience , Kimpton property still win hand . really feel like Shelburne shut we away closet , despite promise weekend offer ( $ 1000 value , foot . ) not want rush back place treat fairly . 
 Sep 21 2009 	 Perfect location great value - luxury 	 point view , hotel good location leisure traveller Manhattan could seek : Midtown East , close everything Empire State Building ( 5mins walk ) , Macy 's ( 5mins ) , Grand Central Station ( 5mins ) , Fith avenue , Madison Avenue , Central Park , Rockefeller Center , Times Square etc ( 10 20 min walk ) . location . 1 asset hotel . lobby modern nice , room semi - modern except bathroom kitchenette entirely new nice . cleanliness almost always good , service ok . we spend 5 night Deluxe one Bedroom Suite 14th floor ( 16 floor total ) happy . great view quiet NYC great two small kid . room 50 - 60 sqm living area large sofa bed separate bedroom , plus kitchenette bathroom . room size large NYC . good solid hotel perfect location , also give competitive rate , expect luxury go there . we would definitely go . 
 Sep 17 2009 	 Superb value 	 speak highly enough Affinia Shelburne . arrival , everything go perfectly , friendly efficient front desk , high level staff attention cleanliness , large room excellent decor . three year old love it . it be quieter part city we mean sanctuary . neighbourhood thing need subway close . pricing competitive too . five star way . 
 Sep 17 2009 	 Nice hotel good midtown spot 	 stay Affinia Shelburne 6 night birthday last week August . Booked basic Studio suite - big size room NYC standard - huge King Size ( UK super king 6 ft wide ) comfy pillow top mattress duvet- although 3 pillow - another one standard would good - although call housekeeping . fridge / mini bar plenty space bottle water - tho coffee maker standard - could ask request i d rather room . Aircon work great compete 90 degree heat outside ! internal facing room - view sleep - quiet apart guest night do not appear care bang door enter room - people rude guess.bathroom compact completely functional . housekeep good - clean room early day . big tv lot channel - even HBO ! internet rate expensive lobby - 50cents minute - cheap chain offer free day . check - in simple - helpful friendly enough - pick hotel give wonderful customer experience Affinia Chicago 2008 staff friendly chatty could not enough help - ( highly recommend you re go CHicago similarly style room ) - quite great customer level New York maybe that s NYC attitude ? hotel good bet - clean , newly refurbe quiet - look busy day night streets Manhattan ! would recommend would always consider Affinia group seem upgrade hotel provide good product . lot dining option near - Scottys 24hr Diner 38th good breakfast place never disappoint . even food concourse Grand central 42nd good bakery/ pizza option look decent snack . Gordon Ramsay 's Maze restaurant hte London NYC hotel good - real fine dining experience . cheap good fresh eat could not fault 5 Napkin Burger 45th Ruby Tuesday Times Square.didnt eat hotel restaurant Rare ( mainly burger , salad ) recommend 5 Napkin burger go instead . 
 Sep 16 2009 	 nice ... convenient location ! 	 stay hotel 5 night . room really nicely sized , separate area fridge / micro sink ! bed comfy ! bathroom bite small ... clean nicely decore . long desk , tv really great ( flat panel extend ) . extra chair lounging . closet nice , hanger type could actually pul use ! disappointment request high floor get floor 5 view except side building . gift shop market ( unlike Dumont ) . walk 34th Murray Hill Market ( call delivery ) . restaurant RARE ok ... take , nothing special . overall , love hotel ... really nice ( elevator need update ) . would nice hotel small gift shop area water , drink .. etc -- 's New York ~ you find somewhere close . door man really nice well ! : ) last least .. pay interent , pay $ 62.95 week . would nice hotel offer free wifi , hotel area , understand hotel not . 
 Sep 16 2009 	 wonderful experience 	 stay Affinia three night ( although originally plan 2 ) celebrate birthday . three room , 2 regular room queen bed 1 one bedroom suite , room fantastic . service wonderful , especially Paul one night doorman , concierge wonderful recommendation . flight Sunday end getting cancel come back hotel accommodate . give we penthouse suite price originally pay room first two night instead increase price . room tasteful spacious , bathroom terrific . shelburne perfect location get everywhere , one beautiful residential part town . would definitely come back , plan December . usually stay one W hotel , wonderful amenity service well price . if want keep small grocery room , can not beat Grand Central Market Grand Central Station . fall LOVE store . wonderful pastry , meat , cheese , premade meal heat room microwave , flower . Lexington past 42nd street . 
 Sep 13 2009 	 Great Hotel Great Location 	 stay hotel five night love , room modern great bed funky furniture , staff helpful , great location , find good restaurant area . wife dissapointe hotel one comfortable , great soap . would recommend anyone go New York . 
 Sep 11 2009 	 excellent location large clean room staff friendly ! 	 brilliant hotel ! say , really enjoy stay Affinia . room lovely , double bed bathroom . neat tidy , generous size . housekeep friendly use room service bring timely fashion great staff . location perfect . couple block away Central Station , Times Square , Empire State Building , Madison Avenue , Fifth Avenue . use limo service get back Airport . great compare shuttle service use land . we back next visit New York . 
 Sep 11 2009 	 really Good Hotel . would highly recommend . 	 first trip NYC really not sure expect . book trip online review recommendation research review basically cross finger hope good . Affinia Shelburne nice hotel great location . within walking distance great site first time New York visit want visit . Chrysler building , Empire State catch subway nothing well Grand Central Terminal . everyone one employee friendly accommodate moment arrive . offer map recommendation site restaurant . husband expect & quot ; New York attitude & quot ; never ever encounter . room right size bathroom enormous . view rooftop nearby building , great New York rooftop garden . incident occur problem bathroom . call guest service report state would send someone right . go ahead leave two hour later problem correct . call within five minute someone handle situation , situation handle housekeeping needy call , correct problem . negative would say originally responsive proactive handling situation . outside incident great stay . would definitely stay . location 99.9 % service excellent . would review tell problem noise staff always comfortable relaxed . mention location landmark Murray Hill neighborhood fantastic . would also stay able visit Scotty ' Diner . scotty ' Diner locate block south hotel one favorite place . food classic diner fare service extraordinary . 
 Sep 9 2009 	 Great Location Large Clean Rooms 	 stay Affinia Shelburne 5 night think location terrific , room large clean , excelent maid service , Simon front desk great - other friendly get Simon answer question , pleasant . April conceirge desk also terrific - spend lot time get help we figure go - great patience ! ! ! problem hotel restaurant service great - first experience good go back second time - waiter slow efficient thought would try last day breakfast ( eat breakfas ) waitress slow even though tell hurray not - spend time chat another waiter - ignorne client - wary - hurray - think eat . 
