pricy 	 forget many time ' hotel . location convenient we . this peaceful hotel ; ' big busy , however well locate restaurant , bar , disco , shop etc . like Sheraton Hotel room refurbish , clean cozy . overall service staff decent , great , due language barrier ' fully bilingual . staff member would require refresher course customer relationship . overnight interior self - serve parking $ 20.00 , park nearby exterior parking lot less $ 10.00 . food quality price venture local restaurant vicinity , choice variety remarkable . M & amp ; L , Ottawa 
 Oct 16 2009 	 wonderful hotel staff ! ! ! 	 hi , name tsering would like share wonderful experience sibling stay hotel three night . when first arrive gentleman front desk take great care we problem check in . the check - in fast professional . the moment enter room give we feel home , request fridge prior arrival . room spotlessly clean smell fresh . what like swimming pool well maintain also design deepness pool perfect guest , matter kid level deepness deep really enjoy swimming pool . the location prime reason choose hotel come attend Holiness Dalai Lama 's public talk hold Bell Centre walk distance . overall experience hotel memorable whenever drop Montreal near future definitely stay hotel . 
 Oct 14 2009 	 Perfect stay ! 	 hotel perfect spot , handy everything want see . clean staff always clean something - the hallway room . room quiet relax along really comfy bed ! staff friendly helpful well . would definately stay ! 
 Oct 8 2009 	 wonderful Find terrific price 	 book Sheraton Le Centre Montreal Hotel minimal expectation , primarily due pay less $ 100 1 night room Hotwire . however , girlfriend exceedingly impressed property due many factor , include terrific locate ( central Old Montreal Mont Royal ) , modernly design guest room , free wi - fi laptop , reasonably price parking ( $ 20 cad / night ) nice pool exercise facility , overall staff curteousness . would return hotel heartbeat pleased stay . 
 Oct 8 2009 	 stay bed ! 	 staff friendly helpful . room recently renovate comfortable . bed well ! hotel locate downtown near shopping , be easy get around use metro BIXI bike share . 
 Sep 28 2009 	 great stay 	 nice stay Sheraton downtown Montreal . got room 9th floor . little small ' m use comfortable . love pillow ! ! put ice machine next service elevator weird . 's part hotel guest see . nice pool hot tub . this great downtown location . can not miss . 
 Sep 27 2009 	 nice romantic getaway 	 decide enjoy & quot ; staycation & quot ; sort travel Ottawa Montreal instead head south -inclusive second wedding anniversary . decide try Sheraton downtown Montreal stay Sheraton city enjoy stay . upon arrival mention Gold Member receive complimentary upgrade 30th floor , king room , gorgeous view Montreal Mont - Royal - perfect watch sunset . room recently renovate , luxurious bedding , clean modern decor . room quiet , manage sleep least 9 am every day , late night early morning interruption . complaint would lack mini - fridge room . stay multiple night would nice able stock cold beverage & amp ; snack . hotel walk distance Old Montreal , Mont - Royal & amp ; St - Catharines street . 
 Sep 15 2009 	 Luxury Sheraton 	 take short break ( Monday Friday ) whilst visit family Toronto . arrive hotel foot VIA rail station short ( 4 - 5 minute ) walk away walk reception , hand email book hand room key recording detail credit card . take 3 minute way 34th floor high speed lift . amazingly quick check despatch room . room 3421 corner Club room . open door gasp pleasure . room beautiful , modern spacious . wardrobe plenty big enough marble bathroom large well . shower good toiletry provide first class replenish daily . plenty towel well include face cloth . hair dryer safe wardrobe . easy chair , desk , internet access huge tv . decoration room great comfortable . bed extremely comfortable adorn 4 huge soft pillow . room clean expertly daily staff courteous smile lot . club Room 37th Floor fabulous well staff smile helpful . buffet breakfast plentiful replenish continuously . fresh coffee ground coffee well . hor d'oeurves 5 pm bonus not want eat late well quite variety well . bar ground floor lively also conference hotel interfere we way , worry club room might get busy we find seat , never case . nice pool , whirlpool , sauna outside sun area 6th floor never crowd always clean . fault could find hotel , dig deep , mirror desk dry hair comfort little awkward would like flat pillow neck problem ( tell dig deep ) . checkout simple check queue . concierge fine well , used came ask . 30 minute walk Old Montreal St Catherine Street shop behind hotel . Metro VIA rail station close . , highly recommend ia stay hotel like polite , discrete , friendly professional staff great room great view Club facility . worth every penny ! oh , another unexpected bonus , catch end film festival treat expert outdoor display acrobatic , music activity absolutely free ! 
 Sep 13 2009 	 beautiful room terrible service 	 spouse stay property two night little getaway . book room reward stay one night regular rate follow night . even arrive problem reservation . information reservation incorrect we book two room one night . good thing call ensure everything correct arrive . strike one . when arrive property look like nicely maintain large scale hotel ; large lobby , large lounge restaurant area , connection shopping area etc . check process fine feel staff polite . two convention hotel understand staff may rush / tired etc . , first impression customer service count great deal , suck up . since ' m SPG member upgrade SPG ( 31st ) floor hotel . room spacious beautiful linen lovely view downtown Montreal Mount Royal . money Sheraton chain spend worldwide reservation good investment room really quite nice . my issue stay service receive . part renovation room hotel nice flat screen television area allow HDMI vga hookup laptop television . since prefer Starwood group hotel aware property feature bring proper cable along watch movie laptop television . problem get audio function interface work call front desk help . 20 minute general maintenance worker come room try ' fix ' problem . get everyone know type interface work send someone without proper expertise fix issue ! never get problem resolve . be also probably good point tv , capable produce high definition picture , connect high definition channel . my second issue extremely early knock door get delivery hotel bill lack coordination hotel reservation . since one night reward stay regular rate stay hotel keep separate folio , get separate invoice , even though expressly ask combine call advance arrival upon arrival . hotel visit , stay many worldwide , invoice arrive middle night , typically slide door . property , however , staff feel necessary knock door wake us delivery invoice 7:50 Saturday . know early riser may great inconvenience , suppose romantic getaway could sleep late thing pace . addition inconvenience , awoken hour later housekeeping harass additional time morning housekeeping even though ' do disturb ' sign door . would like note early morning knock door bill early housekeeping arrival happen second morning . as part getaway want take sight attraction Montreal offer . call concierge learn hotel carry discount ticket Biodome . indicate go pick ticket come right . arrive concierge 's desk , one encounter third issue stay . wait 20 minute someone show help we . speak bell captain another lady say nothing could assist would wait . understand staff entitle break , know go away minute , leave sign indication return . concierge return tell wait brush we state ' other stuff ' be not available . good excuse sole function provide guest service . our fourth problem stay rear head arrive back hotel afternoon . key work room door long . since reservation amalgamate , like request twice , key ' functionality expire get re - magnetized . , would mild hindrance , add annoyance already experience . our fifth problem final bill . since reservation amalgamate charge incorrectly certain item , namely internet parking . charge double internet charge valet parking , even though use self park option . call hotel leave confirm extra charge remove . ( aside self parking vs valet : use self park save buck valet self park house parking structure part hotel . ) needless say , experience really sour lack good service . hotel really end give Starwood chain bad name Montreal . stay . look beautiful room bad service , hotel . 
 Sep 12 2009 	 could not ask nice hotel ! 	 husband , another couple return three night stay Le Centre . room immaculate , comfortable beautiful view city 28th floor . room plenty space put away lot clothe ( not travel light ) . although charge internet room trouble connect public space . breakfast restaurant serve promptly , never wait table , offer extensive menu lot healthy choice . the concierge helpful suggest lovely bistro ( Laloux ) .The day check discover leave expensive new purchase room . amazement housekeeping staff promptly turn hotel Federal express we within day arrive home . 
 Sep 10 2009 	 terrible experience 	 give room 3621 , room last Club Room vip floor , room noisy wake 2:00 call get room change another one 35th floor less noise . anyway tell we mechanical room righ top . question : not fix ? 
 Sep 8 2009 	 pleasant surprise ............ 	 wife arrive Montreal celebrate anniversary Friday afternoon Labour Day long weekend 2 night stay . choose hotel location fact gym pool . thank great review comment TA , book hotel approxiamtely three week arrive request upper floor room since new recently renovate . check breeze staff friendly speak we english realize not speak french . grant 30 floor room starwood club member floor ( member ) . room immaculate look like recently renovate . bed invite comfortable crisp white sheet nice comfy duvet . view amazing ! room equip 37 ' flat screen tv brand new arm chair matching table . room ample storage space safe iron closet . bathroom absolutely spotless necessary lotion , shampoo 's towel need . hotel really quiet hear neighbour round small child hallway leave hotel . map direction easy obtain front desk lobby . decide use hotel 's self - park $ 20.00 per night . ( parking minute ) .So check sometime around 4:00 pm Friday opt drop bag room head enjoy late afternoon sunshine downtown Montreal . grab map go . turn corner hotel find Stanley st . head towards St. Catherines . 50 yard hotel indoor parking $ 13.00 night . want kick look chose hotel parking however end think make right choice give allow come go vs spend $ 13.00 staying put . walk shopped St. Catherines street visit Eaton centre find wine beer store buy goody later . after hour walk decide stop beverage Guido 's Angelina 's italian restaurant . restaurant open St. Catherine 's grab table right rail watch hustle bustle long weekend Friday rush hour . drink watch people around we look like great pasta pizza decide early dinner order pizza gaze onto street sun start set city . food relatively good place main drag . arrive back hotrel 8:15 pm decide try pool . ' ve read many comment scream kid take however not experience either two visit pool area . enjoy hot tub ( finally hotel real hot tub oppose luke warm tub ) enjoy swim pool . 5 kid pool part well behave . swim tubby head back room order movie call night . Saturday wake enjoy Starbucks coffee hotel provide head breakfast Cora 's ( around corner ) . every Cora 's wait line 20 minute seat . enjoyable breakfast head 25 minute walk Old Montreal . sun shine warm walk cobblestone street enjoy every minute beautiful town . wale harbour front area find wonderul rooftop patio look port drink . restaurant / bar call Narcisse offer great view area . we leave Old Montreal head back hotel grab car take tour Montreal particular Mt . Royal . drive beautiful area Montreal . town Mount Royal remarkable amazing look area stop take picture city include great shot Olympic Stadium . tour head back hotel another fun enjoyable swim hot tub ( 6 - 7 kid pool around 4:30 sit afternoon ) . head back room start get ready go dinner enjoy glass wine . head around 7:30 pm make way Cresent st explore restaurant menu 's search perfect spot . one recent review hotel recommend Enzo 's gret place eat however get place close good . we walk spot restaurant great upper outdoor patio overlook Cresent st get busy busy night move on . the restaurant call Pino 's fabulous table ever well dinner experience . food wine couple excitement Saturday night warm Labour Day weekend amazing . throughly enjoy entire evening start finish . joke stop one many club close however far full ( tipsy ) sweat dance floor night . love walk back hotel ( 10 minute ) turn night . check breeze go pleased satisifed excellent two night stay beautiful vibrant Montreal . 
 Sep 8 2009 	 lovely stay 	 be sure sheraton universally consider 4 - star , advertise book ( indeed , say 3 - star TripAdvisor ) , however room modern nice bedding furnishing . nice pool / amenity . handy location . not impress long lineup check - in , rest stay lovely . 
 Sep 7 2009 	 good hotel downtown Montreal 	 nice room huge bed , great view . newly renovate room , nice decor . clean , nice bathroom . great location want right downtown , convenient parking . the staff courteous friendly . complaint . I lucky enough get room bid 4star hotel downtown Montreal Priceline . would stay price right , generally prefer stay Sherbrooke Ouest visit Montreal . 
 Sep 6 2009 	 great stay ! 	 book priceline really impressed room . put basic room 18th floor . awesome view Montreal . room recently renovate modern decor . overall fairly small , ok travel solo . bed quite comfortable , although not seem like king size bed ( like small queen size ) . Bathroom modern clean . I impress would stay . 
 Sep 5 2009 	 excelent accommodation 	 stay 2 day enjoy Montreal & quot ; downtown great time . location around corner busy street metro area room clean , confortable , soundproof service excelent . definetely stay . 
 Aug 29 2009 	 great stay ! 	 stay three night . excellent location . room clean comfortable . great bed ! really impressed way hotel run ! far staff go well manage property . A+ 
 Aug 25 2009 	 lovely hotel 	 hotel modern appearence room spacious clean . 26th floor great view city . club class room complementary breakfast club lounge , ok , nothing shout , staff sometimes slow refill food especially busy . club class business traveller assume would business people plus other , like , pay extra nice room honeymoon , therefore adult . find opposite , full family breakfast like kindergarden . old child ok young one run around , scream etc not appropriate carry hot drink etc . the pool facility nice nowhere get change pool full kid mess around not go . bar area plesant relax although price dear side . the hotel eat option not great , restaurant not actually open 4 day many fantastic place within 5 - 10min walk . Hard Rock plesant Enzo 's italian great place eat , typical italian great food service . subway far tourist info center around corner , open top bus free casino bus go . bar / eatery show live UFC well usual football . the shop downstairs basic , could much well stock hotel size . Taxis plentiful require one airport . 
 Aug 17 2009 	 great location nice view strange mix client 	 spend week hotel stay club floor room nice internet free platinum member . platinum member prepared pay outrageous $ 17 / day ( tax incl . ) internet access - quite slow ( slow watch video ) . avoid go downstair use free wifi , though may like option . concierge speak time ( german think , remember name ) - know city well extremely helpful . the room newly renovate batroom nice . bedsheet crisp clean . flatscreen also nice . view room ( look onto Mt . Royal ) fantastic . we never order room serivce , even though expense accont , moral fibre pay $ 18 + tax + tip + ROOM delivery FEE ( ! ? * % ! ! ? ) hamburger . thing not good ( sometimes ) lack attention part certain staff memeber . example , club lounge platinum floor , often people clearly not belong hang . one afternoon , group dubious look teenager comfortably instal treat sound colourful language tossing food . nobody ask room number platinum card , though everyone take notice - staff include . one family young child even leave . group see later night , drink bar , make large scene two barely able walk . understand not form card access lounge . hotel great location within walk distance many sightseeing place well metro . 
 Aug 16 2009 	 Nice Place 	 come back 3 night stay .. book priceline $ 80 night . use self park option ... $ 25 / day ... $ 15 wifi throughout room ... free within lobby ... speed incredibly slow .. forget download movie / t.v show . 30min walk Old Montreal ... 5min subway ride ... subway locate minute away hotel .. $ 2.75 subway . staff friendly ... need extra creamer coffee .. deliver within 10mins ... a / c work great ... ' m light sleeper hotel thick wall seperate room ... could hear thing ... 5 min walk bell centre ... drink / snack .. head esso next bell centre .. mount royal 30mins walk .. uphill ... wear comfy shoe lady ... shopping / dining rue st . catherine ... min walk hotel .. nice hotel .. would stay . 
 Aug 8 2009 	 wonderful stay ! 	 pleasant experience stay , time arrive leave 4 day later . take suggestion another reviewer ask renovated room upper floor . room beautiful , view . staff always friendly helpful . really enjoy pool , exercise room outdoor patio warm , sunny afternoon . four we , actually less expensive take taxi $ 10 Old Montreal rather metro . able get car valet parking key visit St. Joseph Oratoire / Mont Royal Parc Botanical Gardens Olympic Parc . also well able explore local Farmers Markets get tourist area car . loved hotel , bring snack drink pricey locally . Booked Priceline $ 85 night ! 
 Aug 5 2009 	 Standard Sheraton 	 Standard Sheraton - nothing fancy , clean , good amenity , basically expect Sheraton . close metro shop Ste Catherine . good location 
 Jul 25 2009 	 Great Staff High - Value Great Location Comfortable Room 	 Staff attentive , room locate 28th floor comfortable 2 adult , include flat - screen tv , centrally locate - 1 block Saint Catherine St. , many din option nearby , 5 min walk underground mall . site gym adequate , pool pack kid get way casual swim / lap . everything work - out end . hotwire room rate less $ 90 / night period 9 night - high - value - great rate ! wi - fi connection free throughout lobby / bar area - otherwise $ 15 charge room - go downstairs - money well spend drink bar lobby - go figure ; - ) 
 Jul 24 2009 	 Decent hotel 	 decent hotel . do not except great . room nice . amenity good . location good sightseeing . landmark closeby . dining option great hotel . , lot good restaurant nearby . billing issue hotel staff do not resolve . luckily , sheraton corporate customer service enough take care . overall , good hotel . 
 Jul 13 2009 	 great location 	 go Montreal night meet friend choose Sheraton find great rate Starwood website ( $ 135 ) . location good - easy find drive city . get early ( around noon ) able check . hotel room leave category book upgrade suite great ! travel 5 month old nice extra room we hang baby sleep . self park option - $ 20 . good deal city / hotel parking IMO . pay $ 40 w back December . staff courteous - decide bring pack & amp ; play call front desk one send we ... 10 minute . location great - right downtown . easy walk action Ste - Catherine across street Bell Centre . sure stay . 
 Jul 12 2009 	 good stay family 	 $ 100 / night via Hotwire , Sheraton great deal . request renovated room ; clean bed super comfortable . although know hotel busy Jazz Fest , never hear neighbor -- great soundproofing . bathroom excellent showerhead eco - friendly two - flush Toto toilet . far service amenity go , umbrella always make available drizzly week . Concierge Maria especially helpful venture outside city proper . pool attendant friendly toddler . ( pool beautiful wide variety plaything child . ) , would expect Sheraton . one complaint $ 14.95 cdn charge high - speed internet . wi - fi almost standard business - level hotel heart city ; sad see hotel lag behind regard . 
 Jul 11 2009 	 Pleasant surprise 	 starter let preface review state give employee discount make room extremely affordable ( $ 79 / night 50 % meal ) . notwithstanding , starwood status immediately upgrade starwood preferred floor . must say , regardlss price , business hotel prove quite nice . take partner Montreal memorial day getaway make hotel & quot ; home base & quot ; . staff great moment check . pool area nice , despite scream kid . not pleased cleanliness pool ( hair ... etc ) serve 's purpose ( partner love swim ) . restaurant decent breakfast , room service time . room nice , bed comfy bathroom clean . also eat tarwood lounge upstairs good well . parking underground dub & quot ; bowel hell & quot ; temp 90 . overall hotEl W boutique - y hotel centrally locate u get good deal u satisfied ur choice . 
 Jul 10 2009 	 Nice hotel great pool location - but 	 child friendly ! ! 2 year old ask Concierge dinner location , send we restaurant appropriate toddler ! find credit card company restaurant investigation fraudulent charging card get cancel ! ! thankfully second card ! anyway room lovely , king bed comfy pillow soft . able park come go pleased without pay everytime come back . close restaurant shop ... 15 - 20 m walk old Montreal ... 
 Jul 8 2009 	 average hotel good service great location 	 get back Montreal great time jazz f . Sheraton standard hotel - clean , great lobby / concierge area , great view ( stay 29th floor also go Club Floor breakfast / hor d'ouvres ) . compare sheraton stay , say room comfortable / nice one . bedding sheet look old , decor general . average definitely nothing complain , little shabby . the service good location great - heart city close Place des Arts ( jazz festival ) . also 20 - min walk Old Montreal - walkable city all . it fine hotel , nothing fancy , expect . 
 Jul 2 2009 	 AWESOME stay 	 I ve montreal 4 time stay 3x .. everything always wonderful .. recently renovation ... look nice , bathroom seem big . reason room look small mini bar fridge maybe be not do nevertheless still nice location GREAT central.pro : price ( get priceline ) indoor pool jaquzzi , location central everything .. even allow we check earlycon : parking fee , stupid parking attendant , 
 Jun 30 2009 	 great location 	 Hotel nice hotel . great location . room comfortable . great bed clean white sheet cover . 20.00 park , 17.00 get online . 
 Jun 23 2009 	 disappointing Sheraton 	 stay property not sure .... ' ve read review can not relate . Granted 's locate close shopping , remember 's downtown hotel . 's hotel gear conference 's feel get . nothing special , pay great . Front desk attentive , however SPG Platinum member treat differently . sure , upgrade nice room come away feeling , everyone be treat 's cardinal no - no business environment be . colleague 's Hilton HHonors member could not believe not separate SPG member non member . quick review certain thing . lobby bar ; $ 10cd tap beer ( LaBatt 's Blue ) . lobby restaurant ; breakfast $ 23cd 2 egg , meat , bread , potatoe coffee juice . , customer option pay , first day go outside hotel morning meal pre - dinner drink . in room internet price ? sorry , day age 's wrong especially ' ve stay Sheraton 's receive free . another knock hotel . Wifi , well first two day attend conference , not work spotty well . ask , response receive working . , customer service perspective , positive eye . just let know bring every point hotel management . also , not look compensation observation one business owner another . fairness , hotel plenty umbrella hand rain . bed , outstanding view give not great . office building across kinda make hard enjoy view everyone ability look . recommend hotel . get $ 100 night might say yes , property , would say . 
 Jun 15 2009 	 great service nice hotel ... would return ! 	 nice hotel . thing work room lack minibar . reason give hotel 5 star , people hotel wonderful mean everybody ! food main restaurant bit pricey , good , however would serve 3 year old daughter full portion free . hotel probably mile away old city . daughter find walk route old city feel safe must . plan walk would take Rue Peel — despite tell go Rue Peel feel safe . hotel locate BLVD Renee Levesque . good knowledge good way walk old city take right Rue University , cut Rue McGill ( go way old city ) Rue St. Jacques . feel safe walking 3 year old . hotel also block away Rue St. Catherine nice shop . forget ask concierge get underground city need rent baby equipment help ! ( get great stroller visit city ) . one last thing , need work wifi connection . bit spotty hard connect . 
 Jun 7 2009 	 outstanding service accomodation location ! 	 Montreal , highly recommend hotel 's staff treat like royalty , 's location proximity downtown club , restaurant , shopping , etc . 's beautifully renovate room comfortable bed ever find ! 
 Jun 5 2009 	 fabulous 7 - day stay posh hotel 	 book , read review regard hotel somewhat nervous upon arrival pleasantly surprised . hotel clean , pleasant , update , luxuriously appoint . Le Centre Sheraton recently remodel room . present SPG card check - in upgrade King guestroom overlook St. Lawrence River . elegant tray fancy bottled water bowl chocolate almond yogurt raisin place console await arrival . room spacious , tastefully decorate extremely comfortable bed , 35 & quot ; plasma TV , lovely bathroom trim marble . entire staff quick courteous check - in associate , knowledgeable concierge , maid service friendly first rate . fantastic maid service ensure room spotless entire stay . hotel perfect downtown location easy access airport . arrive via Le ' Aero shuttle bus ( $ 25 canadian roundtrip ) first drop - off . vast variety restaurant fabulous shopping step away well Metro station . first visit Montreal plan return soon stay Le Centre Sheraton ! 
 Jun 2 2009 	 Great Staff central location 	 stay Sheraton Le Centre Montreal Hotel Memorial Day weekend enjoy stay . room locate 32nd floor beautiful view downtown Montreal Mont Royal . room service good ( delicious cheeseburger ) ; concierge helpful ( get we ticket La Ronde amusement park ) ; room clean . pool slightly dirty ( hair bottom pool ) attendant jovial . would recommend property . 
 May 30 2009 	 comfortable hotel worth stay . 	 visit Montreal Memorial Day Weekend stay Sheraton Le Centre Montreal Hotel total 3 night . book hotel via priceline get decent deal . Sheraton clean comfortable hotel friendly staff . pool hot tub nice locate 6th floor . Sheraton fancy new hotel like Westin Montreal can not beat Sheraton 's awesome location . Sheraton locate 2 block St. Catherine & amp ; Cresent Street . want go night hit downtown club right . important note hotel link directly Montreal underground tunnel nearest tunnel entrance 2 - 3 block away . parking bit expensive hotel suggest park one many parking lot near hotel . pay $ 10 3 day 2 night ( Friday , Sat , Sun ) parking lot near ( can not go in - out lot ) . Metro / subway Montreal good really need car city unless plan venture outside city . want rent car , car rental place locate directly behind Sheraton . food , many option Montreal eat hotel . thing like hotel cost business center . however , think bring laptop get free wireless lobby . overall , would totally stay hotel . 
 May 27 2009 	 ok Better 	 Sheraton Montreal ' large hotel recently undergo renovation lobby room . check : friendly fast . front desk staff helpful accommodating . room : room 22nd floor renovate sure call hotel directly request renovate room . room junior suite really two adjoining room , one small bedroom bathroom one live area second bathroom . room clean bathroom well stock toiletry . complaint would wall paper thin , prepared hear neighbour ! location : fabulous location — walk distance great shopping restaurant close Old Montreal . Club Lounge : club lounge access fair . breakfast continental buffet appetizer serve nightly consist pub style fare sausage roll , spring roll , cheese cracker , chip pretzel etc ... one soft drink complimentary alcoholic beverage additional . view club lounge lovely staff bit stuffy . pool rooftop patio : Sheraton lovely indoor pool whirlpool well small exercise room rooftop patio order room service to — a great feature warm summer day ! Valet : valet service joke . extremely expensive , need car go person ask . hotel stay , pay valet call room car wait arrive lobby . also find valet staff rude . other amenity : amenity include bar restaurant , gift shop , spa room service concierge . overall : bad hotel , hotel area well . visit Montreal several time per year would recommend Fairmont Queen Elizabeth - Gold Floor Square Philips Hotel instead . try Marriott Residence Inn , hear great hotel well . 
 May 26 2009 	 Sheraton new life wonderful renovation ! great stay ! 	 stay Memorial day weekend getaway . Ingrid FDR great - friendly , cheerful , efficient hit right SPG platinum note without prompt .as SPG platinum member upgrade Jr. Suite renovate SPG floor great view Mount Royal . suite two normal room one nice sofa , club chair , corner table coffee table place bed . living room full bath . the renovation include alll new soft case good , new carpet drape , FANTASTIC new Sheraton bedding package . I love color scheme quality material use high . bathroom totally renovate look work great . full line Shine bliss bath product bathroom . new flat screen tv 's tech panel build dresser adjacent desk . plenty lighting option four brand new lamp room . the new bed rival Westin Bed comfort high quality white sheet , two duvet ( one light heavy fiber fill - the one use sleep ) four king size pillow sham . I sleep well new bed deep mattress right amount firmness I . club lounge ( available SPG platinum member Club Level guest ) change . very good spread cocktail time breakfast . alcoholic drink quite generous price charge . coffee tea self serve free , soda .. still great view lounge Monday lounge young architecht go lounge blueprint -so lounge might renovate soon . Link Sheraton plan later year . there free wifi lobby / bar area club lounge . club lounge two computer terminal printer use club guest . I pleasently suprise see folio slip door 100 % accurate since stayed & quot ; pay age & quot ; ( great promo we ! ) rate provide second third night discount . all together add great stay ! 
 May 19 2009 	 newly renovate 	 addition convenient location ( walk distance shopping tourist attraction ) grand foyer , Sheraton 's recently renovate room help creat fabulous stay . tell room renovate less two month prior stay , believe tip - top shape room . everything clean . love bathroom decor ... get loofah ! room service provide good food , although wait staff hit miss far personality go . 
