every 	 book 4 night think would King Superior room . hindsight check reservation email carefully , state King Interior . something would go , say email miss that . on arrival , give room 2nd floor right back hotel , room big nicely furnish clean . view back courtyard . suppose call King Interior ! time day , go discuss disappointment room , 's location , view lack fairness Hotel , offer we alternative , upgrade cost even room sister hotel road . praise Staff that . sadly , initial contact / room Hotel make mark we want . leave Hotel consider refund accomodation pre - pay bill go walk . let consider room put we ....... view , small , 2nd floor back corner HotelWe go Marriott , couple block near Union Square $ 70 cheap Orchard Garden 2 night $ 2 cheap 2 night , able secure room much large , 19th floor wonderful view even well furnish . even throw Exec Lounge facility couple day . back Orchard Garden , eventually agree refund last 2 night accomodation accept promptly move Marriott . for initially pay room Orchard Garden initially give we , value money . yes accomodate room , not stay long enough sleep . read review need take account alongside previous guest review . 
 great hotel 	 like reviewer write : lovely hotel , comfortable bed , friendly staff great location . 
 Oct 6 2009 	 Comfortable Modern ' Green ' Hotel 	 modern & quot ; Green & quot ; hotel - room separate bin bottle , paper , trash , etc . everything seem clean well maintain . front desk staff friendly attentive . bed clean comfortable , especially comforter . housekeeping staff almost bit attentive ( careful using & quot ; Disturb & quot ; card - one side say & quot ; please clean room early ! & quot ; ) hotel small - lobby lounge area , front desk restaurant . room also dvd player , not expect . Free dvds available rent ask front desk - huge selection though . room service extremely expensive get - would recommend . otherwise , hotel experience generally good . 
 oct 4 2009 	 nice experience 	 arrive Labor Day weekend . Bay bridge close . we find helpfull friendly staff hotel conveniently locate . room clean , size expect . breakfast , choose buffet . choice really ok . service correct staff friendly . just one negative : price parking . otherwise : outstanding 
 Oct 3 2009 	 Terrific Hotel experience 	 love everything Orchard Garden . location perfect within walk distance China Town cable car . area busy totally safe walk around night . staff Orchard Garden go way make stay pleasant . request give we beautiful room high 7th floor overlook Bush Street really get feel big city experience surround skyscraper look street traffic busle pedestrian . good size upscale - decorate room wall wall full length window , luxurious bed bed include fluffy white cotton comforter , two upholstered chair table , flat screen tv , stock refrigerator , large modern bathroom white terry robe closet . complaint hotel charge $ 40 day parking plus tip ( $ 135 3 day ) bellman deliver car . parking garage half block street could easily park car much less unload luggage curbside front hotel . breakfast dinner small hotel restaurant nice good food . highkly recommend . 
 Sep 30 2009 	 Excellent hotel location 	 Orchard Garden Hotel superb great need San Fran . location excellent - next door Chinatown gateway , walk distance ( 5 - 10 min ) Union Square , minute away cable car / bus stop . room provide adequate space big bathroom , comfy bed , flatscreen tv dvd player free Wifi . dvd library Reception old movie may idea bring might fancy movie one night . this one clean hotel ever stay . also eco friendly hotel separate waste bin recycle . staff friendly helpful - give we advice restaurant , travel direction , always greet smile professionalism . con hotel fridge kettle room , however coffee / tea pod make machine - brew without tea / coffee pod hot water drink herbal tea . there another hotel road call Orchard Hotel ( old hotel ) . give direction taxi , make sure state Orchard GARDEN ask drop chinatown entrance gateway , everyone know next door hotel . drop hotel taxi drive realise end walk 10 min downhill . 
 Sep 27 2009 	 clean comfortable hotel friendly staff . 	 stay 4 night September 2009 , great experience . hotel staff friendly helpful . clean staff amazing job . love fact ' green ' hotel harsh chemical use cleaning . thank everyone Orchard Garden making stay pleasant one . 
 Sep 23 2009 	 Location .. Comfort .. welcome Loved ! ! ! 	 absolute perfect location ! gorgeous room Super comfy bed ! friendly staff stay sure recommend ! love ! ! ! ! 
 Sep 22 2009 	 green nice 	 hotel definitely one well place stay . stay big name hotel hill , definitely nice change . environmentally sensitive people , oasis , toxic cleaning material , great organic biodynamic , local , food . nice wine selection . friendly , unpretentious staff , free internet ( oppose expensive add business hotel ) , mention friendly staff ? come back . may become hotel choice stay city . 
 Sep 11 2009 	 orchard garden like barren orchard 	 review read intriguing wife try 2 night . review could not truth . room clean that s end . 45 dollar night park , kinda ruin cheap rate entirely . thing save hotel location . upon check , tell upgrade , ' m really scared room book look like upgrade room tiny . lounge , bar tender do not want get liqueurs top shelf b / c , well , do not feel like . lunch breakfast offer room b / c economic condition ? do not hotel massively overcharge service ? would think keep service drop other . free internet nice , almost slow 56k dial . maybe I ve become hotel snob , would recommend hotel unless really tight budget do not car / rental car . 
 Sep 11 2009 	 great new boutique hotel San Francisco business district 	 choose Orchard Garden proximity address business meeting San Francisco business district expect much place sleep . pleasantly surprised . Orchard Garden stylishly decorate , staff friendly efficient , service way snooty pretentious , restaurant / lounge work well wifi internet free allow multiple device ! apparently also eco - friendly - great bonus . locate adjacent Chinatown cable car business district . back ! 
 Sep 10 2009 	 surprisingly small tariff great experience 	 Sept 7 - 10 , 2009we spend three night find attractive rate Expedia . never hotel previously , always skeptical urban - boutique , particularly San Francisco , hotel . not want re - do smallish , skid - row hotel Tenderloin , refer & quot ; low Nob Hill . & quot ; even well section San Francisco , could not help notice lack street cleaning increase homelessness . happily , hotel practically brand - new well - maintain . everything seem work properly . light work european fashion -- card - activate light system reduce waste electricity . water pressure showerhead strong . safe mini - fridge . bed offer restful sleep . as urban hotel , park bothersome expensive . luckily , Stockton - Sutter garage across street offer secure relatively cheap parking alternative . several coffee shop restaurant nearby . Starbuck 's diagonal hotel open 5:30 . hotel morning coffee service lobby , complimentary newspaper . I really like Orchard Garden Hotel especially price location . 
 Sep 4 2009 	 define good boutique hotel 	 stay great week 2008 . search another place try 2009 , find well combination price , location quality , return another week 2009 . disappoint overall presentation property remain superb see location could well . anything staff even friendly last year continue deliver high level service many small way . I would agree another reviewer air conditioning output could improve upon water flow shower head bit low could part connect green initiative detract significantly overall stay . room WiFi great plus allow use iPod touch search tourist info restaurant . bother look elsewhere future hotel choice San Francisco . 
 Sep 3 2009 	 say ..... 	 far good hotel USA ever stay . cares & quot ; view & quot ; backyard window . one sound busy Bush Street hear . room front sound proof accord hotel staff . breakfast basic rather expensive . cold hard boil egg , bread , coffee tea juice bottle course cereal . additional high price extra order . stay hotel 3 night . dinner food great , choice limit , go french restaurant Restaurant de la Presse opposite entrance Bush Street . one remark sound proof quality room . one moment look like neighbour really inside room . normal conversation could understand every word ! ! ! lucky quiet neighbour shout laugh loud put tv set maximum ! well go room without connect door . the hotel extremely & quot ; green & quot ; award , . free WiFi , work fast time . a special compliment porter , prove helpful good tip . 
 Sep 1 2009 	 little gem 	 small modern boutique hotel joy . perfectly place 20 yard China Town Gate Bush Street within easy walk distance Union Square transport link rest San Francisco . staff efficient friendly public are hotel clean , bright modern . room extremely comfortable furnish high standard . beds linen among well ever experience . highly recommend , like lettuce ' little gem ' also green , commendable environmentally friendly policy . 
 Sep 1 2009 	 Exceptional 	 stay summer 5 night . hotel green make mind sleep well . check quick professional . ask tour since time SF limit . front desk book 3 moment not ask tip . impressed insist gratefully accept . room clean . not view do not matter sleep . bathroom decent size facility good shape . room kind small not bother perfect refuge hour hour tour . the location next Chinatown gate easy get cheap meal walk distance Union Square . would definately recommend place would stay ever venture SF . 
 Aug 31 2009 	 good hotel beware negative 	 positive : location ; cleanliness ; style ( find everything tastefully decorate ; comfortable bed etc ; nice rooftop terrace bring drink food bring bar lobby good selection specialty mixed drink . so - so : small room ; bathroom slide door latch ; low flow shower . negative : impotent climate control system window open . get back hotel around midnight cool breezy evening , albeit warm day . room ( # 808 ) warm stuffy . remember , european system key need slot power light A / C . turn everything . lower set temperature . cool air appear come vent , accompany considerable fan noise , clearly enough good . next hour lay swelter periodically go window vain hope find something open maybe catch breath fresh air . luck . able open window , would ' ve turn stupid thing save ton energy ; instead kept go entire night toward morning room become bearable . it silly find swelter suffocate San Francisco ! ! ! ! 's would recommend hotel friend . GREEN people friendly . go to on - demand climate control system , need make powerful enough quickly bring room comfortable condition go energy saving mode . 
 Aug 27 2009 	 Excellent option great location 	 easy walk distance Union Square , bit hidden gem . be fairly recently open bit hippy green eco thing go , unobtrusively 's nice enough feel place . quality food restaurant good indeed - must - try , frankly excellent value . couple minor niggle speak staff must say niggle sort quickly professionally - unhappy anything , say word really bend backwards help resolve . can not iterate enough good respect . room fine , clean , spacious . travel baby , make sure negotiate cot seem occasion may charge supplement , depend book . summary : location excellent , price good , restaurant excellent , Staff excellent ... ask ? 
 Aug 26 2009 	 friendly comfortable convenient 	 stay week teenage daughter . location convenient sightseeing shopping ( within walk distance PIers Union Square ) .The orange lavender- scented shampoo hair conditioner great , although two occasion , clean person leave we two bottle shampoo conditioner , two conditioner shampoo . I would recommend hotel friend , maybe much big family young child quiet ambience . 
 Aug 26 2009 	 fantasticcleanfriendly highly recommend ..... 	 arrival Orchard impressed service receive . nothing much trouble bag disappear check . arrive room time . hotel GREEN whilst may important traveller may appeal other . room immaculate wife pernickety cleanliness little concerned may meet high standard . need worried , room surpass expectation . turn service offer night stay . would stay visit San Francisco would hesitation recommend other . 
 Aug 26 2009 	 great place 	 great place stay . nice staff . great location . clean room soft bed . stay every time SF 
 Aug 26 2009 	 Green Luxury 	 Orchard Garden truly make eco - friendly travel delight . aesthetic soothe beautiful . staff top notch friendliness , patience , knowledge area . room luxurious comfortable sort green amenity like organic bath product , recycle bin in - room , smart thing hit US tourism - key card activate electricity room actually . location wonderful easy access San Fran offer . stay 6 night could move ! gold star - completely satisfied hotel . 
 Aug 26 2009 	 friendly homey comfortable experience 	 second time stay hotel return October . truly impressed . convenience , could not well . condo one block away car park . Condo rent second choice . tell many friend already hotel . go mention friend come town . be hard find place stay nice price right . 
 Aug 25 2009 	 great hotel excellent location 	 family 4 - mum , Dad teenager age 16 & amp ; 19 returned spend 9 night hotel delight . room quiet , clean & amp ; comfortable ( bed brilliant ) bathroom provide herbal ' eco ' toiletry large fluffy robe - nice touch . staff great - welcome ( almost everyone San Francisco ) , nothing much trouble . particular art front desk really helpful advice go good way get , nothing ever much trouble . eat breakfast couple morning , one evening meal - food ' root ' good . location excellent - stride ChinaTown Gate . walk lot problem find way around . also use various transport - cable car ( experience ) , bus , tram etc - transport system excellent . on first full day take 5 hour city tour Dylan 's City Tours . 13 us small tour bus , Dylan great guy feel like travel family friend - highly recommend . also take another tour Carmel Monterey Great Pacific Tours . small tour bus 11 passenger lovely tour guide , Mary . tour include lunch Carmel lovely restaurant save we waste limited time look somewhere eat . also give we opportunity chat fellow traveller . most memorable thing probably Alcatraz - definitely miss , line comment see previous reviewer book travel . pre - book visit Alcatraz sign say sell next 5 day . previous reviewer refer 50 's diner not suit - probably Lori 's love . ' m sucker old music enjoy feed jukebox , point food service excellent . much preferred Sear 's highly recommend find dark although food good . if tired evening not want walk far , turn leave hotel walk block half Belden . several little bistro along lane nice atmosphere . eat Cafe Bastille ( parisian ) b-44 ( Catalan ) would recommend . also lovely lunch one day Pier 39 - Fog Harbour Fish House - clam chowder , swordfish , crab cake etc . - superb . also love italian district around Washington Square , North Beach lot great place eat . if mechanical / technical fan party , Cable Car Museum worth visit . 's museum , be also wind room provide power whole system . 's hot noisy interesting . we love San Francisco - climate ( warm - need sweater evening jacket whilst ferry ) , people ( welcoming ) , sight , place eat , hotel ... really everything place ! 
 Aug 22 2009 	 wonderful place great service ! 	 want add excellent review place . get back 3 night part 6 day California trip . hotel clean ( room space ) , lovely rooftop area plan table / chair , experience really great service . whoever front desk always willing give we tip , look restaurant , etc . also , green - hotel , seem novelty , be always nice feel like be kill environment : ) . great location well- couple block Union square , right next Chinatown , near Ferry building , etc . LOVED ! 
 Aug 20 2009 	 perfect location 	 think 2 big plus hotel location fact nice hotel ! walk around San Francisco 3 day not find another hotel location prefer Orchard Garden Hotel . perfect balance everything : nice clean tasteful boutique hotel not big small , fantastic location 's close transit ( walkable BART huge plus get airport ) restaurant / cafe / bar 's overly busy noisy area . would not want stay hotel within block 2 Union Square . kind traveler would not suit would kind could feel comfortable large chain hotel . one thing really appreciate free wi - fi room . think early reviewer hotel suggest book directly hotel get well room . think reviewer may correct . book 2 1/2 month advance Expedia get small room possibly bad location not pay less other . check mid - afternoon not like get last room available . still , room not small happy clean well - appoint . bathroom quite large nice bath product . right beside housekeeping room ( anyone access housekeeping room could hear ) view little natural light even still , not bad - not spend much time room ! staff , great anytime need . one night time concierge recommend fantastic restaurant we closeby : E & amp ; Trading Company . good go twice ! recommend lamb , satay appetizer plate Russian River Pinot Noir ! reservation recommend least hour advance go weekend . speak restaurant , also eat Trademark locate lane way north Bush west Kearney ( east Kearney ? ) . laneway 5 restaurant row get top mark atmosphere . remind dining experience France . go pretty good food fabulous atmosphere also go E & amp ; super tasty food . another eatery good across street call Cafe de la Presse . 's good brunch . brunch , one daytime concierge recommend Sears also diner start & quot ; L & quot ; can not remember go touristy 50 's american style diner not suit we ' m sure many people would like type place . friend live outside San Francisco take we top Macy 's Cheesecake Company locate . 's super busy restaurant vast menu . even though be Macy 's , be open late , accessible private elevator . dessert - cheesecake - can not comment food portion large draw huge crowd must pretty good could another tourist attraction ? night time view terrace good part recommend view . one tip take Powell - Hyde cable car cable car matter . not try get first last stop many people queue hop . could wait 40 minute get conductor will not let many people get . walk next stop much few people wait . will get right away ! wait Powell Market get 100 people form queue tell wait would 45 minute get . discreetly ask conductor could walk next stop discreetly say yes . get right away ! oh another nice thing hotel ... leave luggage check hour retrieve bag doorman / porter tell we maid notice leave ipod dock room ! really appreciate honesty . husband would pretty upset lose ! anyway , husband really great time San Francisco ( first visit we ) . be pretty city even many tourist attract , not feel crowded busy . Orchard Garden Hotel definitely add stay - want bad hotel bad location ? go book . will not regret ! 
 Aug 18 2009 	 Excellent Hotel - thoroughly Recommend 	 stay 3 night last part Honeymoon . can not recommend hotel enough . room spotlessly clean , wonderfully decorate comfortable . Maid service excellent . location hotel perfect union sqaure right edge China Town . cable car block away leisurely 20 minute stroll pier . staff hotel could welcome helpful . be not sure stay would like usually book hotel recommendation Orchard Garden Hotel totally exceed expectation . would recommend hotel other ever get back San Fran definitely stay . 
 Aug 14 2009 	 Excellent Boutique Hotel 	 love hotel . centrally locate edge chinatown financial district . muni BART block away . hotel also free internet , really norm hotel day . four five star hotel area offer useful amenity . Orchard Garden green hotel , retain feel luxury hotel plenty space . 
 Aug 14 2009 	 great location clean friendly personnel problem whatsoever 	 stay Orchard Garden Hotel week business . breakfast buffet high quality excellent food . server good . room somewhat compact , problem much nearby day night . chinatown literally 50 pace away , yet hotel clearly part Financial District . lot nearby restaurant choice fast food fine dining . Nearest BART station 4 block away , easy walk . rate little expensive , probably end save money not rent car not miss one entire stay hotel location central business , entertainment , dining . everything hotel clean efficiently run . personnel super job . 
 Aug 13 2009 	 winner -- clean professional 	 room whole property outstanding . clean , clean ' ve see . thing disappoint perhaps room ( 2 dbl bed ) could tad big . quiet room 8th floor . bathroom outstanding cleanliness , size ease use shower sink faucet good ' ve see anywhere . notice fluctuate shower water pressure relatively minor annoyance really . counter size excellent . bed outstanding well ... comfortable ... sleep well . price hotel cafe seem bit high , food great , service could bit fast , overall bad . lobby staff efficient friendly , eager answer need . parking ( valet ) $ 40 / day seem high hotel guess be go rate day . would easily come back hotel . 
 Aug 8 2009 	 great location friendly staff ! 	 stay Orchard Garden base review read TripAdvisor right ! location within walk distance pretty much anything . staff GREAT helpful restaurant suggestion anything else need . bathroom little small & quot ; complaint & quot ; ( want call ) . 
 Aug 4 2009 	 Service INCREDIBLE ! ! ! 	 choose hotel San Francisco surgery read hotel accomodate people disability . not sure limited would surgery know need place could handle need . from get go , service hotel stand . offer arrange wheelchair also offer handle arrangement need . staff incredible ! professional extremely helpful ! bed cozy room clean nicely decorate . enjoy energy conservation think hotel offer . also evening turn service nice . can not say much view , view building street know , noise non existant . read lot review noise problem many area hotel . problem , never troubled noise . side hotel honor bar room . 's small broken refrigerator different type price drink . example , soda $ 4.00 . want pay 4 buck hot soda ? display room suppose snack ( price well ) empty . bring staff attention , advise middle find new vendor handle honor bar service not work item miss . 's problem except not even vend machine ! want drink , either bring order restaurant . bit drag nice hotel . think need get rid honor bar completely add vend machine hotel . 's certainly service customer charge $ 4 hot coke . overall , think nice hotel ! 
 Aug 2 2009 	 Brilliant Hotel 	 partner stay hotel 5 night July 2009 . room excellent ; clean spacious . floor roof garden quiet . the staff helpful . we eat hotel comment food . the one discrepancy bill ( mini bar ) quickly sort out . car parking many hotel SF problem ( expensive ) - not car not affect we . 
 Jul 31 2009 	 Perfect Location Great Customer Service 	 Loved hotel . staff attentive accomodate . room sparkle clean . location great . Beds heaven . not hesitate book . great value . 
 Jul 31 2009 	 perfect ! would def recommend ! 	 although stay one night , great ! locate right next Chinatown gate , could not ask well location final night San Fran . love fact green business well- many hotel go length green . bed fabulous extremely comfortable fluffy bedding . service great- question need take care . wireless access room printer available downstairs business center convenient . ~4 blocks BART ( montgomery st station ) . clean well keep hotel . 
 Jul 31 2009 	 little luxury hotel 	 ever little Hotel good well large luxury Hotels , . always something nitpick every stay ' ve SF , nothing praise hotel . defiantly recommend hotel anyone go SF . thank . 
 Jul 25 2009 	 great hotel great location 	 wife experience traveler find hotel & quot ; Gem & quot ; . room clean tasteful modern furnishing well spotless bathroom . location great , within walk distance many interesting neighborhood site San Francisco . another plus hotel wonderful staff , especially front desk , helpful eager please . additionally , hotel reasonably price exceptional value . 
 Jul 23 2009 	 extremely Rare Gem 	 want feel right home perfect location special amenity personal touch SF stay & quot ; Orchard Garden Hotel & quot ; . simply amazing wonderful place stay . what make special unique wonderful experience people . they make feel extraordinarily special welcome minute pull car curb . from Art Davis front door Jane , Aya , Quinn , Troy , Marilisa , Nestor , Kelly , Crystal , Marie , Beth front desk go far beyond hotel staff ever stay anywhere world . yes mention name becuase wonderful , special unique way . the Orchard Garden Hotel seem hire good personality people hotel industry keep . wonderful group top bottom carry guest stay . simply put good group people ever experience hotel probably organization . they exceptional .......... word can not describe warm , courteous , helpful much want make stay special possible ... another hotel experience even come close experience stay Orchard Garden Hotel ................ 
 Jul 21 2009 	 new favorite place stay SF ! 	 love stay Orchard Garden Hotel . let check hour early , upgrade top floor room . bed THEE comfortable bed ever sleep . robe comfy not want take . hard leave room . front desk staff super friendly helpful . never great service hotel . location perfect easy take muni across town . close major shopping area , union square , many great restaurant ~ expensive expensive . highly recommend hotel anyone stay SF , especially not know city well . :0 ) ( pay advance make rate even big deal ! ) 
 Jul 20 2009 	 great hotel great location 	 hotel centrally locate Bush Street right next Union Square cable car line . new hotel room decorate high standard . bed comfortable , plenty space room two Queen bed , bathroom large gown toiletry supply . opt breakfast include disappoint . excellent choice continental breakfast hot breakfast prepare pay extra . tip : check online rate daily change daily . ask exterior room , street view , prepared noise street . great french restaurant ( mostly serve americanise good food ) across road National / Alamo car rental shop two block Bush Street . overall , would highly recommend hotel . 
 Jul 17 2009 	 right ! 	 lovely boutique hotel right next Chinatown close BART MUNI stop . really appreciate & quot ; greenness & quot ; hotel - allergy often bother harsh chemical use hotel clean laundry . eco - friendly bath product also nice touch . everything hotel great - comfortable bed , huge bathroom nice comfy robe . not much view , not come SF stare hotel window not problem . issue light A / c control room key . take awhile figure turn A / C still leave light , alternatively stumble around bit middle night trying find key activate light . however , like idea , suspect slow learning curve . hotel bit pricey , think worth factor area proximity area visit . 
 Jul 13 2009 	 Honeymoon pit - stop city 	 second hotel stay Honeymoon California . last leg trip look basic , local hotel heart San Francisco tour city . hotel clean ( eco - friendly HUGE plus ! ) , staff beyond helpful , absolutely complaint . would recommend anyone look comfortable stay big city . nearby alley - way full great , trendy restaurant real highlight we . would definately go back . 
 Jul 8 2009 	 comfortable perfect 	 family get back SF really enjoy stay Orchard Garden . staff front desk bar housekeeping top notch friendly . happy hour root fun , great fry ! ! roof top nice place sit chat ( cool ! ) love location ! walk across street Irish Bank Pub casual dinner drink . they serve food 10:30 ish , bar open later . two block away Kearny Bread Cocoa great cup coffee wonderful pastry . shop couple block away find store like . area look feel safe . 21 year old would like lively night life near hotel suit fine . sure take sweatshirt jacket . turn windy cool time . long pant well short . 
 Jul 6 2009 	 fabulous location terrific value . 	 nice hotel locate heart downtown San Francisco , edge Union Square intersect China Town . end utilize cable car run California , two block walk . ( much less crowded cable line . ) staff nice valet parking invaluable . not eat restaurant ( many dining choice ! ) , look welcoming . everything room perfect , nicely appoint bathroom , comfortable bed . WIFI service reliable . we would not hesitate stay . 
 Jul 4 2009 	 Ideal 	 spend three night June . want somewhere central within walk distance main attraction transport SF . hotel corner Bush Grant , right next China Town gate . stay corner room eighth floor . two side window either side bed , well main front window look onto Bush St . mean room bright airy . pale green decor also welcome soothe . spotlessly clean - dust anywhere . one day leave room see maid scrub door another room - never see ! staff friendly welcoming always acknowledge enter exit building . helpful check hour wait need airport . hold onto bag even arrange taxi pick we front door exact time request it . this green hotel evident number way . separate bin different type recyclable waste , plus not print receipt check . ideal location load place eat nearby , result never get sample hotel offer food - wise . the negative thing say hotel room near top , room we outside patio area . unfortunately last two night sleep disturb inconsiderate guest we constantly re - arrange patio furniture 3 am . sound metal scrape concrete directly head good thing good night sleep . not detract experience much though would definitely stay next time be SF . lovely clean hotel highly recommend . 
 Jul 3 2009 	 new crisp clean boutique great stay overall ... 	 stay two night , love location close many many world - class shop wait take money clothing sort good stuff . ; - ) staff top - notch , room ultra - clean modern , a / c work wonderfully hot weekend , location perfect . I try food / beverage offering , like little rooftop garden nice place go night look view city . stay many 5 - star property past , say property on - par service wise even well , size hotel & quot ; right & quot ; personal service - every night almost feel like come back high - end personal residence . tip - like jean , go G - Star store street .... not even walk Chinatown , foot away ... oh , book direct hotel will give good rate nice room location . 
 Jun 29 2009 	 Fabulous Experience 	 travel family ( two kid age 7 9 ) . staff welcoming greet we chocolate ( always big hit kid ) . room common area extremely clean spacious compare hotel SF . Rooftop area lovely . staff helpful suggestion . location perfect - easy walk transportation . long day , free DVD library perfect winding . 
 Jun 24 2009 	 fuss muss . 	 nice hotel w/ clean comfy room , service @ minimum pleasant . 
 Jun 23 2009 	 great stay help planet bonus ( Green Hotel ) 	 Orchard Garden nice hotel , room , service , amenity make competitive good boutique hotel San Francisco . top , wonderfully & quot ; green & quot ; hotel -- serious committment sustainability reflect design operation . not sacrifice comfort benefit -- help planet nice & quot ; perk & quot ; stay 
 Jun 23 2009 	 Perfect city break hotel ! 	 delighted hotel choice , location second none , staff helpful friendly , room spotless modern , price reasonable . 
 Jun 20 2009 	 Great Hotel 	 wow ! ! love room , love location love service . everyone helpful room spotless . review read bed , say bed may comfortable ever sleep ! ! ! ! location central convenient everything . can not comment food since never dine hotel . back ! ! ! ! 
 Jun 18 2009 	 internet price location accomodation good 	 really want like hotel . unfortunately , many little thing add . two room family could not put we floor . temperature difficult regulate . room never vacuum . housekeeping keep forget bring washcloth conditioner bathroom . , btw , set anything . & quot ; spectacular rooftop garden & quot ; quite bit wishful thinking part ! 's windy strip cement top hotel ( metal patio furniture ) view hotel window next door airconditione unit . never see single person . internet price good pass location walk distance Union Square , Orpheum , China Town ( next door ) cable car . room quiet , servicable clean enough . bed quite comfortable . would not stay unless tight budget . oh well , give green shot ! 
 Jun 13 2009 	 wonderful friendly place saty - certifieddleed building ! 	 locate heart San Francisco - near Chinatown gate within walk distance many sight . breakfast disappointment , croissant across street Cafe du Presse worth go . room good size , scrupulously clean , wastebasket recyclable . altogether high rating - go friend enjoy stay . would recommend hotel anyone , include famile , Staff outstanding . 
 Jun 13 2009 	 would recommend hotel anyone stay San Francisco . 	 location perfect foot travel many city site . service fabulous , friendly , helpful , courtesy staff . room comfortable view roof top garden city daytime nightime awesome . hotel definitely must visit San Francisco . 
