go 	 stay four time past 3 year , recent Thanksgiving weekend . unless special occasion warrant well hotel , place stay go Vegas . property nice room huge , clean , relatively nice , cheap . real complaint separate $ 10 nightly resort fee tack check . cover free wi - fi public area , pool gym use , parking . include fee rate like hotel ( even bump rate ) make optional not need use amenity . seem kinda bait switchy . anyway , good - to - know stuff : - join free member club , mail coupon , time get we $ 25 nightly rate Thanksgiving oppose $ 59 rate otherwise . still pay resort fee though ! - wall thin . first 2 time stay , people walk room we keep we awake night . since request top floor noise not problem . - Marilyn 's Cafe good . walk small , smoke - fill casino get though . little pizza / hot dog place decent , too.- kitchen area sink , stove , fridge . without pot pan , good stove ? provide microwave instead . - parking challenge night . might park far away walk dimly light lot and/or pathway get build ( never feel unsafe though ) . - not expect perfection . old school television room slightly fuzzy every time ' ve stay . always manner patchwork bathroom , like poorly fix tile , visible screw hold vanity together , loud vent , etc . last time , remark lack padding carpet ( seriously , like walk cement ) take offense sign bathroom warn we would charge take towel ( kinda low rent tacky opinion ) . may thing , , box spring look like see well day ... lot traveler ! - room lay like big open box . sleep , living , kitchen area together bathroom separate . prefer suite sleep area separate privacy homey feel . , Tuscany still good value though . will back ! 
 Bogus charge bill 	 overall ok stay . room huge stale smell . the bad experience check 3 bogus charge refund one right away hassel tell would refund 2 ( long distance call never even make ) ! get credit card bill never refund 2 charge ... ridiculous . 
 Oct 26 2009 	 Fantastic experience ! ! ! 	 first trip Vegas , book online skeptical bargain price . exceed expectation . great location , food , staff , pool casino . clean ! friendly ! can not wait go back . already recommend family & amp ; friend . 
 Oct 25 2009 	 21bday 	 can not afford strip do not want hustle bustle stay . cool lil casino Teq . bar block away strip across famous Lawlry 's steakhouse rom massive mean massive 
 Oct 25 2009 	 Awesome 	 great stay - close strip - yet far enough away . 
 Oct 24 2009 	 relaxing Sept 09 	 experience property - relax , great strip every staff person encounter friendly accommodating . ' m ready go back book next trip decemberin reading review , sound like peple part 800 group pretty upset , sound like mad travel coordinator charge $ 99 night current rate much low . even travel coordinator book 11 month advance , follow negotiate well rate start drop . ere 's example early post one 800 group upset show exaggerage . & quot ; assign room close Los Angeles front desk amount request reminder pre - pay reservation make 11 month early would sway getting move room close casino . & quot ; 
 oct 22 2009 	 nice hotel large room . 	 first stay Tuscany Suites return Las Vegas stay . check smooth walk room enjoy landscaping fountain . room three story building spread property easy get . pleasantly surprised large size room quiet comfortable . restaurant service good casino kick butt . nothing new . like charge much internet room . 
 Oct 21 2009 	 great room great location great price 	 stay Tuscany late January 2008 play woman 's hockey tournament . one three tournament hotel , think cost $ 60 / night . cheap ! nice fridge & amp ; micro , work fine , table eat seem absolutely lovely . room big furniture comfy . bed bit firm . my caveat internet connection spendy ( $ 12 / night ) try use tv , slow ( ' m talk type one letter wait 10 second appear ) unusable . thankfully , front desk take charge bill complain . it like 2 block Strip , be quiet totally doable want walk strip play slot . nice ! 
 Oct 21 2009 	 nice rooms 	 room hotel HUGE extremely clean . kitchenette , sofa ( pull bed ) , chair & amp ; desk . room feel like big ! bathroom glass shower separate bathtub . bed comforable . enjoy casino much also . mexican restaurant good cafe ' great breakfast . everyone nice stay next trip Vegas . 
 Oct 19 2009 	 terrible experience- Manager could give hoot ! ! 	 return stay Tuscany . upon enter room take aback musty smoky smell . carpet dirty stain dinette table . immediately need take shower meeting friend . try exit shower stall , realize something wrong . door would not open , matter hard push . start call husband , realize have step coffee . stick close 20 minute ! ! ! husband return hard time try open door . apparently replace stall door handle one fit . come fun part .... last night stay end night bit early long drive home want get much needed rest . , around 4 morning pound door someone tell we evacuate . exit unit stand outside guest . turn false alarm . try fall back asleep , bit difficult waking circumstance also people unit we sound like come ceiling . call front desk ask could check bit later ( morning ) sleep interrupt . transfer hotel mgr 's ext left voice mail . never hear back . alarm go morning exhaust due early fiasco call front desk ask possible we stay extra hour could try get sleep . transfer hotel manager 's ext , leave voice mail . not hear back hour , call . finally shower get dress assure check normal designate time . go front desk ask speak manager . came tell receive message , not know want call back ... ? ? ? ? ? ? ? wait hear back . share aforementioned complaint not seem concerned . even ask come room check shower door worry someone ( possibly child ) could get trap . give card said & quot ; hope will try we & quot ; ........... would ? ? ? ? 
 Oct 19 2009 	 great room resort without casino hassle . 	 room well casino property full living room area wet bar , refrigerator . Liked room separate casino not trek mile casino property arrive final room destination . amenable staff w/ attitude . great pool area . delicious dinner @ Tuscany Gardens . friendly casino staff service quick . really gem property . need update furniture put flat screen tv room make perfect , pretty good . 
 Oct 14 2009 	 could anyone complain 	 brother stay tuscany six night september.the room perfect -- large , clean , comfortable , quiet , well light , convenient . four people could stay one room comfortably -- get along ! pool look spacious well keep . casino small , friendly helpful staff . restaurant casino serve decent , reasonably price food . walk strip every afternoon & quot ; see sight . & quot ; eight minute walk , top . ( unless decided stop hot dog beer 2.50 watering hole halfway . ) final comment . girlfriend , picky hotel room , would take heartbeat . price , could room . 
 Oct 14 2009 	 big room small price 	 stay tuscany 2 month ago can not say bad word place . get room cheap rate two night . suite MASSIVE shower bathtub . room also air condition . many block suit around hotel ground advise remember trail particular door easy get lose . breakfast hotel restaurant great plentiful . 5 10 min walk main strip price room would insane splash strip hotel rather make short walk . perfect short stay vegas 
 Oct 10 2009 	 great hotel price . 	 parking problem . room locate several building hard locate right building . security lock building operate room key . need wastebasket . one locate bathroom one kitchen cabinet -- convenient . locate east strip . 
 Oct 10 2009 	 Nickle Dime Vegas 	 mixed bag . charge compulsory ' resort fee ' $ 10 per night ' cover amenity offer hotel ' . build price structure instead offer unrealistic price bait unwary ? suppose cover parking , etc strangely not cover wi - fi , say ' only cost $ 13.99 per day ' ! place stay 8 night trip US not offer free wi - fi ! ! surely ' resort fee ' cover this . the guest laundry swallow coin not work , would not return coin . front desk seem reluctant refund money . the breakfast restaurant separate hotel walk smoke - fill casino get . staff inefficient slow . on plus side , room quiet , clean spacious , location convenient , Strip major road . 
 oct 9 2009 	 lot like . 	 stay 4 night Tuscany Suites place lot going particularly look good value want close Strip ( without put nonstop frenetic craziness ) .as other say , room huge separate kitchen area bathroom separate water closet . furnishing functional nothing fancy . wife describe & quot ; something might find cottage . & quot ; tv standard screen limited channel , really come Las Vegas watch tv ? big room surprise Vegas hotel ' ve ever could open window way ! since low mid 70 's keep window open whole time not fuss AC . king bed firm comfortable . unlike high rise tower dominate Vegas , Tuscany make compound 16 three story building . curvy pathway nicely landscape 's even fun walk pool , casino , fitness center , etc . 's peaceful could forget be Las Vegas look see Strip hotel tower . speak pool , two . main one free form large jacuzzi . second lap pool also jacuzzi . well maintain . location property would likely consider 3 - 1/2 star place . Becuase compete like Wynn , Venetian , Mandalay Bay et al . 's tough get kind rating . the casino small comfortably quiet . usual slot table game . drink service good staff friendly . one exception bartender work Monday Night Football party . seem cater friend ignore rest bar . not bother go lounge that . we eat 24 hour coffe shop ( Marilyn 's Cafe ) twice mexican restaurant ( Cantina ) . staff extremely pleasant go way make sure everything okay . food good . also upscale italian restaurant not try . on check recieve coupon book BOGO restaurant along slot card incentive , free drink coupon goody . consider extremely reasonble price room , couplon book turn good value great value . the good : great location - 2 block strip window open way good water pressure shower pretty peaceful way . free internet common area . mostly friendly staffthe good - room Building L overlook vacant lot .. ambient noise street . ( guess 's . price pay leave window open . ) charge internet room . none major issue , hotel control first two . would ( probably ) stay . 
 oct 8 2009 	 Relaxing 	 close enough Vegas action far enough away enjoy quiet time . nice amenity , clean , comfortable bed , pillow small flat . extra large bathroom privacy toilet . small kitchen w / table chair . staff pleasant helpful . good food drink . 
 Oct 8 2009 	 Hidden Gem 	 ' ve stay Tuscany twice . room quiet spacious mini kitchen . not go casino get room access quick easy . small fix charge per stay - $ 9 think - allow enjoy pool , free wireless around pool conference area secure parking premise . weekday rate also ridiculously low . great value money . 
 Oct 1 2009 	 stay top floor 	 last night stay 11:00pm 4:00am someone something jump / pacing floor NON stop floor would creak everytime walk , sound like large adult pacing . call security 4 time ( 4 time ) still nothing do . stay place great price , location decent ( walker ) husband . almost like appartment complex , room spread . get lucky close pool / casino / resturant slide door room nice . casino good paying . 
 Sep 23 2009 	 ' ve apartment small room ! 	 also large group 800 people ( many review ) little shocked review staff . nothing pleasant , helpful people attend we . check , maid service , door man , employee site restaurant casino . room massive extremely clean hotel close strip . definitely worth room rate per night $ 99 group arrange . yes , utensil , cookware , dish go along electric stove . bet need though , front desk would sent right ! Vegas ! stay hotel room cook anyway ? stay home ! yes , would not walk strip hotel night alone . be couple block , yeah .. kinda creepy . hey , would not walk alone anywhere Vegas ! hehehe 
 Sep 23 2009 	 incredible facility money ! 	 stay Tuscany 2 night . room HUGE ! like small apartment . pool beautiful ground well keep . staff incredibly friendly helpful ! casino staff make play fun ! food good expensive . close enough strip walk , far enough away enjoy facility rest chaos strip . can not say enough good thing place price right ! ! : ) 
 Sep 17 2009 	 remarkably quiet drop breadcrumb room . 	 book Tuscany Suites Casino part event 800 people . property fairly new , unlike many Vegas headliner hotel , small side . 's conveniently locate east Strip Flamingo , behind Paris , Planet Hollywood next Platinum , loom . one Tuscany 's draw casino separate , adjoining building . therefore one spare cacaphonous ring racket slot machine , etc . encounter Vegas property . & quot ; main & quot ; build one register find several meeting room , bar , high - end italian restaurant fairly good quality ( osso bucco enormous tasty accompany appetizer , bread , etc . ) . room 15 small , outlying building 2 - 3 floor identify letter . herein lie rub . signage hotel particularly helpful , front desk staff obviously familiar lay - out place give superficial , fast direction . xerox map little help either . first - timer , confuse vexing find build entrance close elevator . room spacious . bathroom loose faux - tuscan tile floor , separate bath shower , plentitude towel , good toiletry , etc . room 's art work neither Tuscan Vegas theme . might Amalfi coast , 's stab . 's sink , 2 electric burner , mini - fridge room microwave ( mine ) . however little use since not one piece cutlery , plate , cup , glass ( unless count - groan ! - flimsy plastic one ) provide . couch easy chair low practically take crane get . , many hotel , woefully inadequate lighting work read sundown . key card good one 's building room . therefore , invite someone another building room , obligate meet building 's ( correct ) entrance . housekeeping staff exemplary . patio outside main building & quot ; misted & quot ; pool good - sized . 's good snack shop adjacent pool Casino adequate 24 hour restaurant . dismay learn hotel 's on - line rate event significantly low convention rate pay . may fault envent organizer . Caveat emptor ! 
 Sep 14 2009 	 Stayed Liked 	 stay weekday May 2009 $ 18 Hotwire . time around , not see Hotwire description match property , find $ 22 rate online ; however , $ 10 - per - stay resort fee add ; still well deal per - day resort fee elsewhere . review photo speak , want say encounter front desk staff , maids engineer ( replace battery free room safe ) positive stay . perhaps due slow day , perhaps due polite . be budget - minded like , consider get $ 4 24 - hour pass local bus . even arrive car , may find convenient use frequent service Flamingo two stop Caesar 's Bellagio , half - hourly service Koval get Circus Circus , Fashion Show Mall Mandalay Bay . one night , ride Flamingo bus way east play $ 2 blackjack surrender Longhorn pick grocery Wal - Mart . tip : concerned security , make sure four outer door particular building lock properly close . consider , though , hotel , anybody enter hallway . finally , check Tuscany 's fitness center second pool / hot tub ; would expect hotel charge twice much . 
 Sep 13 2009 	 bad service overide good point ! 	 find hotel staff , especially front desk rude , spiteful , lack basic customer service skill . large group stay hotel own hotel would grateful convention 800 people want stay hotel would make sure know happy accommodate . group rate $ 99 . per night not bargain stretch let math ... 99.00 multiply 800 = 79,200.00 multiply 5 night = $ 396,000.00 course accounting money spend casino , restaurant , bar , etc . could go back time would stop group go ! front desk staff hotel good lesson treat customer . good thing simply outweigh staff 's horrible service . 
 Sep 13 2009 	 stay get low room rate ! ! ! 	 worth rack rate . large convention felt pay much $ 99 / night 5 night . while pool restaurant good , room mediocre front desk staff need major customer service training . we book pay year advance request non smoke King size room . check remind request tell order . enter assign room discover two double bed king request . we complain person fromt desk staff rudely tell King room available whatsoever nothing could , upgrade , meal comp , discount ... nothing ! ! ! ask see general manager ( Trish ) tell story . request inform King become available . walk back double room notice available King clean . walk right call front d room phone . Realizng bluff call , manager begrudgingly tell we switch room . situation take 2 hour resolve ! great room deal Vegas day ! much well joint ! ! ! 
 Sep 12 2009 	 reasonable Rates Lacking Previous Luster 	 spend nite Tuscany Sun Labor Day weekend since rate much well could get strip . ' ve time think room show age . large kitchenette huge bathroom carpet fray clean would like . try check 2:00 ( check - in advertised 3:00 ) tell could early check - in $ 12 extra . say would wait . woman front desk say would take care paperwork since come back 3:00 pick key not seem make much sense neither early check - in fee . also pay additional $ 10 & quot ; resort fee & quot ; check - tell use pool , fitness center , etc , none use . can not figure not include price room since not appear optional . hotel locate couple block strip . parking free convenient car . 's bad walk day would not want walk without husband evening . one bright spot Tuscany Tuscan Garden Restaurant . good reasonably price italian food . ' ve eat even not stay hotel always please . hotel guest , get coupon $ 20 bill $ 40 restaurant happy use . , tuscany bad place stay be look inexpensive hotel , want kitchenette , not mind strip . 
 Sep 12 2009 	 cheap clean ... perfect 	 Vegas two day solo business trip want spend $ 200.00 per night sleep conference hotel . see $ 19.00 per night , plus taxis fee make $ 35.00 per night . ask quite roon give one room build quite . price clean , large studio apartment microwave , stovetop , refrigerator , coffee maker , hair dryer , iron board shampoo . fitness center pool also excellent . eat two restaurant food good reasonable . would hightly recommend . 
 Sep 11 2009 	 good holiday ever 	 return tuscany suite . good stay ever never vegas visit would return vegas ost definitely tuscany . hotel exactly need room perfect facility exactely expect . book tour hotel everything spot book show ticket hotel half price booth amazed get ( front row jersey boy ticket saturday night amazing } minor problem hotel sort straight away thank make 50 th birthday good eat hotel number occasion use coupon excellent meal service well do 
 Sep 8 2009 	 never stay . ever ever ever 	 hotel manager , Tricia Johnson , inhospitable , inflexible , unwaivering , unhelpful , passive aggressive hotel manager ever encounter 55 year life . assign room close Los Angeles front desk amount request reminder pre - pay reservation make 11 month early would sway getting move room close casino . finally , work group executive , allow move acceptable room location . spite awful woman she . the hotel generally ok , room big food good . sad positive attribute overwhelmingly overshadow awful , awful woman . avoid place stay somewhere value customer service hotel manager give darn customer service . 
 Aug 29 2009 	 unbeatable value money ! 	 service hotel good , rate pay , really could not complain ! ! ! ! massive room seat area $ 23- $ 67 night ! room clean well maintain , hotel generally . the issue room travel large group time walk 10/15 min get room . block also secure front door way go visit friend room unless come stair open door you . the price food restaurant good value quality food acceptable . the location hotel ideal seclude hustle bustle strip , yet still walk distance action . 
 Aug 24 2009 	 be easily offend receive twice much pay . 	 quite vacationer 's review hotel , spend 2 week figure have able write justified review . move Las Vegas , apartment live ready move 2 week already move ( come time school ) need low budget place stay . thought , price room unfair . book place $ 39 night , easily $ 80 $ 90 / night place day age everyone try make buck , ESPECIALLY Las Vegas . get coupon no - string - attach free food drink day check . ground tidy serene , room huge , pool great ; feel like getting pay whole time . 's thing , pretty much entire hotel staff friendly Vegas & quot ; littlest effort possible & quot ; approach pretty much everything except Marilyn 's cafe , staff awesome . honestly , really could not care less , ' m 21 really not need anyone anything long not inconvenience way , not . guest see 2 week stay mostly couple family young child , rowdy drunk kid anyone like . another review mention something lack security , never pull without see security bike . 
 Aug 20 2009 	 Spacious Serene 	 stay Strip , look alternative place would offer relaxed atmosphere , yet close enough action strip ... Tuscany Suites great choice . room clean , spacious extremely reasonable ! $ 39 night ( Sunday Friday ) palm tree greenery give tropical feel . close Terribles Ellis Island -- two great place eat & quot ; play & quot ; . terrible offer many freebie ( breakfast buffet , dinner deal midnight steak egg ) , shirt , hat , etc . spend even small amount time machine . many great deal ( food coupon free play ) purchase American Casinos book . truly enjoy week Vegas shoe string budget ! 
 Aug 20 2009 	 brilliant 	 stay Tuscany always impress quality hotel . room huge . parking outside room perk . ground well maintain . value hotel can not beat near strip . food restaurant excellent really good value . staff friendly helpful . watch cab driver try long haul take long route . airport cab cost £ 14 inc tip . 
 Aug 19 2009 	 POOR CUSTOMER SERVICE ROOMS 	 get injure hotel due negligence one follow 30 would reccomend stay hotel , lack security lot yound drunk people 
 Aug 16 2009 	 thing happen 2days 3nights stay . 	 stay third floor hotel two day three night . one friend stay third floor structure . another friend stay first floor structure . actual thing happen short stay there.-overflowe toilet friend 's room - one two key work friend 's room.-Key didnot work neighbor 's room , end change thi room . ( opposite room mine ) .-my room clean bed set second day , freind 's room clean bed set up.-one friend stay first floor , loudy noise resident 's step upstairs ( second floor ) bother lot.-overcharge bill . book hotel directly website friend . stay build floor period . check time . total amount ra oom charge different . overcharge lot rate book . complain front desk friend room charge fix rate book . experience thing would recommend anybody stay there . positive side stay huge size room friendlyness people . 
 Aug 15 2009 	 Hotel take service can not walk walk 	 make reservation online month arrive . tuscany web page deal good pass , around $ 20 night . check reservation desk lady take credit card incidental , charge night 's stay $ 100 deposit without inform charge hand . want option pay cash use different credit card . use two different credit card . also cause wife stress charge . opinion could avoid break charge charge . strike one . the room average . small suite size . mini kitchen clean . wait luggage send via fed ex . call bell desk tell we box arrive . call fed ex confirm deliver sign 5 hour early . notify bell desk deliver , find bring room . hunt box ' m try enjoy vacation ? strike two . my wife hungry decide go Tuscany 's ' the Cantina ' mexican restaurant . hostess tell we would seated soon . sat look 5 empty table half eat food . 10 minute pull aside bus boy clean one filthy table . sit wait another 15 minute receive water menu . eat food , wonder waitress disappear . pay bill use 2 1 coupon ( thankfully ) , ask hostess leave tip . tell service embarrassing . strike three ! ! next night play nightly Tuscany poker tournament . Richard run nice friendly room . treat everyone friend . classy guy . tournament take wife Marilyn 's Cafe inside casino . simple meal tasty make wait 10 minute pay bill due cashier one staff know make milk shake . strike four . oh yeah , pool enough chlorine fume remove eye brow . strike Five ! ! 
 Aug 9 2009 	 Room Renovations Better other 	 spend total ten , count ' em , * ten * night Tuscany , primarily annual convention attend last year . ( see previous review . ) much change casino , besides swap slot , elsewhere common ground . however , update room leave we mixed feeling . the sofa , chair bedding replace fine . however , kitchen area renovation hit miss . faux marble countertop instal good . however , come cost formerly full - sized refrigerator replace small version fit countertop . also , microwave use available request . fortunately , problem acquire one . complaint would regard fitness center discover trip . besides fact ' large , underutilize space , many moderate - sized dumbbell – 20 35 lbs . – miss , effectively cut workout option . however , laundry room , locate building , nice convenience . if like idea space Venetian ' want pay premium , ' find Tuscany low - key alternative whose off - Strip location close many Strip property upscale italian " sister " . 
 Aug 8 2009 	 Avoid - Style without Substance 	 Lots glitz sparkle beneath surface nice hotel . staff spectacularly unhelpful rude . room look pretty not clean , furniture wear , mattress thin , sheet thin , bathroom fixture flimsy , wall ceiling thin hear ceiling creak every step person upstairs . also beware hide fee charge hotel hit check . internet access $ 14 day ! ! ! plus charge $ 11 & quot ; resort & quot ; fee PER DAY whether use service ! ! ! 
 Aug 8 2009 	 roomy comfortable 	 stay hotel twice boyfriend really like place . room huge spacious . parking convenient check - in easy . would definitely stay . 
 Aug 4 2009 	 Great Location Basketball Team 	 recently take high school level basketball team Vegas national tournament . critieria hotel off - the - strip accessible , relatively inexpensive , nowhere near & quot ; seedy & quot ; part Vegas , reasonably nice room , decent pool . tuscany fit bill well . price excellent ... $ 21 weekday $ 50 weekend . pleasantly surprise large room bathroom . ' ve get 4 boy sleep room , be nice large bathroom toliet behind separate door . stove top cooler room microwave . live space spread . upon check - in receive coupon book . one coupon , buy - one get - one free entree restaurant , prove valuable we . restaurant average quality run daily special make relatively good value . bottom - line ... say get pay ... receive much . 
 Aug 1 2009 	 nice secret vegas ... 	 stay building room 102 pleased large suite . room clean , smell nice , comfotable bed nice linen large bathroom . arrive early check 8 am $ 13.00 . impressed nice place price . really great value compare hotels strip . locate around corner Paris hotel short walk strip do not mind heat . also plenty taxi available outside lobby . can not comment casino do not gamble . go nightlife , Jet , Tao Rehab Sunday . good location . staff nice , beautiful lobby ground keep green . stay . 
