Great 	 Great hotel , excellent location ( centrally locate New Delhi ) , close Connaught Place . hotel 's interior visible glass lift add excitement . room excellent , nicely do up . the thing need bit upbringe bell staff , still give taste legacy . would certainly recommend stay hotel , though slightly over - price . 
 love stay 	 stay bussiness trip company . I throughly enjoy stay there . the service excellent hotel staff helpfull . breakfast complimentary . room nice one tv , comfertable bed pillow , mood light many . 
 Aug 21 2009 	 Chic Place .. 6th stay year 	 one classy elegant trendy hotel ever see business travel . Meridien take starwood do tremendous change approach . spg win card always that s start stay hotel . early work early year swanky atrium sexy bar nero aand cut comp station atrium sip illy work room get boring u hotel couple day . staff amazingly helpful take care elderly people notice couple girl atrium ... touch it . their new indian restaurant monsoon one meal colleague enjoy . indian family entrance happy child allow that s great news two lunch meeting there . good fitness centre amatra help stay fat freeIts beautiful clean stylish hotel staff make feel home u alone . one imp thing internet good . would recommend business traveler definitely . room brilliant clutter free lot space thing good 
 Aug 18 2009 	 still problem 	 stay hotel whenever Delhi experience irritation . # 1 : hotel send limo airport PA inform . would expect hotel ask flight schedule . differentiate well well . # 2 : security check step . love surrendder swiss knife show lack discretion . swiss knife lethal weapon . 200 kg man lethal weapon . # 3 : return gym cut short work . BLASTING Indian Techno music even request low volume . guest use time . 
 Aug 14 2009 	 one favourite hotel 	 stay quite time , say hotel always class apart .. great service , great food , excellent room good location . else could traveller ask ? ? hotel lobby expansive beautiful . checkin always quick room always right .. overall great hotel superb facility .. 
 Aug 4 2009 	 beautiful hotel great location ; style substance time 	 walk hotel greate visually stunning city hotel . staff generally helpful attentive ( though note comment later ) . hotel cater well business leisure traveller . room spacious tastefully decorate . 10th floor great view Delhi . view outdoor swimming pool . not use , look nice . however , often pigeon sit around edge drinking ! ! hence 4 star ' Cleanliness ' . breakfast buffet - style tasty . mixture indian western dish , hot cold . one thing find quite annoying coffee use tasteless instant . ask proper coffee say would take 10 minute cost . bother cost , rather 5 * hotel well something basic . eat dinner one hotel restaurant - 5 * hotel average over - price . one afternoon 3 we drink lovely hotel cafe . take photo tell not allow take photo inside hotel ! not give reason ! ! staff almost 100 % fantastic . however , incident leave sour taste mouth . day check - out hire private hotel car take 3 us airport . next morning , check - out , go desk arrange car bring round front . Annoying quote high price . could explain could explain not contact early . ledger write booking desk , next name original quote price cross new price write . challenge . two staff speak Hindi clearly not realise understand make disparaging comment . tell understand Hindi look shock go pretty silent ! principle , treat manner , refuse pay high price . respond say would make way airport . ask take manager suddenly car bring round front pay price quote night . two mind whether recommend hotel . however , 5 * hotel need hold high standard hotel low rating . give lot great 5 * hotel Delhi , would suggest try instead . 
 Jul 21 2009 	 middle everything -- nowhere 	 hotel locate right center civic district , within walk distance Connaught Place short ride Beaux Arts building . real bustle energetic chaotic Delhi , probably place you . the room excellent -- apparently recently renovate . room service attentive housekeeping diligent . general service courteous competent . provide complimentary water , important Delhi . the swimming pool , however , clean , even many people use . many pigeon crow use bird bath -- leave stuff next rim . the hotel something tout next main gate nag visitor visit emporium . tout really make frustating time -- get point exit hotel 's main gate enter gate escape particularly eager tout . finally , business hotel , Le Meridien provide free internet connection ! pricey hotel , though admittedly rate much different neighbor , charge another 12 usd wireless internet per day . 
 Jul 20 2009 	 thoroughly enjoyable stay 	 stay hotel associate day meeting everything went plan . complaint all . the room comfortable size . perhaps complaint wardrobe rather small bar hanger rather high . also bedroom slipper save pack those . I club level room shower rather bathtub ; associate bathtub , would like warm soak end hard day relax . shower stall however & quot ; rainstorm & quot ; shower come top . water pressure sufficiently generous make feel clean rain . also shower hose . there four apple Red Delicious variety food good tempt snack . review apple dessicate case . an odd incident receive different newspaper every day . four day national paper one day iht.the bar 20th floor offer splendid view Delhi . will realise surprisingly green low - rise be . I would like comment seem compulsion tip - seeking . reason quite simple : poverty . indian serve waiter driver monthly salary low cost room . ask apparently worldwide average wage bill hotel 27 - 28 % ; India , 10 % . arguably , mean indian worker underpaid . also hear comment less efficient , something would tend agree with . consider backhand compliment hound tip . think wealthy . perhaps Asian oppose Anglo never experience hounding even . 
 Jul 17 2009 	 good hotel good service 	 stay three night business trip feel service let hotel down . the hotel centrally locate contemporary design set apart hotel Delhi . also room fairly spacious ( dark ! ) facility like restaurant , bar gym really good . however , service would expect 5 * hotel pay kind room rate . problem book confirmation , change room hotel car service . overall leave impression convenience staff come guest requirement . 
 Jul 13 2009 	 Fine - world ? 	 great place want hotel help forget India . colleague travel , come India rare treat , disappointed attempt showcase anything indian . less hotel tourist business traveler . thank goodness thermostat room work properly . airconditione rest hotel cold friend leave dinner get jacket . someone Southeast Asia , get pay , never understand Delhi hotel able charge . 
 Jul 3 2009 	 highly recommend 	 stay two night temperature 42c city - much feel like oasis . read previous review assume modernization past , issue , experience one good hotel ever stay . Decor superb import italian glass tile everywhere . room excellent shape , large , beautifully do . try restaurant bar ground floor - Monsoon one top indian restaurant Delhi recommend one indian friend , bar excellent selection ( albeit somewhat pricy ) . excellent breakfast buffet morning include room price . as previous comment , everyone indeed expect tip , hotel . staff accommodate provide late checkout without even ask . car service 2000irp , 4X taxi , well worth 1 hour trip modern air condition car . only downside , morning restaurant staff seem act cool hence get attention somewhat problem . front door staff somewhat slow react request taxi dress casually . location excellent business leisure . 
 Jun 29 2009 	 blow away service product 	 go wedding night stay day . htoel staff lovely friendly happy help anyway possible . clean beautiful . even Tom Jerry play tv screen lift lobby : ) 
 Jun 21 2009 	 Nice Business Get together 	 conduct Business get together esteemed client friend get Master Card Certification . enjoy hall nice dinner buffet arrangement . ambience great . wonderful evening . one great place conduct business get togethersrajjp132375165 
 Jun 19 2009 	 Meridien Mistake 	 disgraceful hotel - quite manage claim 5 Star hotel , know . allow sport Le Meridien brand - absolute disgrace . first , airport pick - up fail arrive spite book phone call confirm . still try charge we check - out . the check - in staff arrogant rude fact majority staff hotel include lady duty manager rude unhelpful . every member staff want tip - quite know offer form service . even room attendant wait return room try obtain tip . perhaps hotel could pay people money stop harrasse customer . the keycard fail operate , obtain replacement also fail operate . ask reception staff come we keycard open door . fail keycards regular theme stay staff blame we keep mobile phone rather accept card rubbish . everything expensive car hire food yet nothing worth money . add insult injury staff expect tip ! pay staff Mr Le Meridien stop beg . restaurant staff slow ineffective - forget order , slow deliver food / drink seem disintereste . however still eager tip . security joke - would sometimes get search , sometimes . wife would never get search . luggage get scan ! complete shamble . the room dimly light would get bright enough get ready . air conditioning next useless floor room creak loudly walk everyone wake . noise neighbouring room toilet make wonder bedsit cheap part town . a fruit bowl four apple dry sahara desert - long ? come Le Meridien - damage brand . on positive note , location good shopping get around . two fantastic hotel nearby - shangri - La Ramada - option next time unlike Le Meridien . 
 Jun 17 2009 	 fantastic hotel 	 great hotel - amazing service . restaurant top floor offer great view . room comfortable . 
 Jun 16 2009 	 Good Stay 	 stay business trip one night . impressed design & amp ; bold statement hotel make . service , courtesy impeccable . right business traveller . renovation work go , hotel leave note say sorry small teddy , kind nice .... spend much time hotel good stay . 
 Jun 13 2009 	 enjoy chinese restaurant 	 Good Hotel , excellent room . 
 Jun 10 2009 	 lovely atmosphere 	 lovely atmosphere .... lobby great interact colleague , silent music good 
 Jun 9 2009 	 well delhi 	 well available hotel delhi . locate heart delhi . near caunnut place india gate . per reputation room execellent service prompt . breakfast include package tasty . love sit coffee shop 24 hrs eat something sip beer time . india gate walking distance . lot internal change happen since last visit . 
 Jun 8 2009 	 Good Biz Hotel 	 favorite biz hotel DelhiNewly renovate , big size room bathroom , good breakfast could little well housekeeping notice insufficient cleanliness last stay 
 Jun 4 2009 	 Businness @ ease 	 Good Business Hotel . worth statye hotel give good facility . 
 Jun 4 2009 	 awesome 	 great experience . hotel could deliver experience . 
 May 20 2009 	 Great Business Hotel + bonus able walk somewhere 	 stay business hectic trip . nice location , actually able get walk somewhere unusual 5 * India . pool area disappointing though . service etc first class 
 May 14 2009 	 God know ! renovation ? 	 stay renovation repair work property go . although problem noise visible dirt , area hotel visited cramp & quot ; camp - like & quot ; condition . hence overall dining experience spoil . printer / Xerox business center not work , hence bill , go road - side Xerox vendor Delhi way meeting . front - office staff courtious . despite fact SPG member ask good room , give room right front barricade make renovation work . preferred guest could give something well keep mind loyalty represent ! 120501264 
 May 11 2009 	 Location Food 	 Location great Business traveller . breakfast spread excellent taste wonderful . breakfast room get crowded small hotel size . new club room fantastic . 
 May 10 2009 	 gem Jewel Crown 	 Le Méridien know stylish hotel , one Delhi exception . service good , driver wait airport refreshing towel cold drink car , attendant serve drink Royal Club , nice welcome people . lobby literally awesome , hip . desk staff , check - in check - out service peculiarly impersonal . room cool , mood lighting view India Gate ( request time booking ) . bathroom amenity well ' ve ever see , include even band - aid , shaving kit toothbrush . recommend spa hesitation : treatment fabulous , staff reception interested even make small error booking , discover late , take age get correct wholly unapologetic mistake . shame . location perfect , comfortable 10 - 15 minute walk India Gate amazing Presidential Palace green quiet neighbourhood city million . pop Shangri - La next door indian cuisine ( Meridien 's indian restaurant refurbish indian food ! ) . shangri - La bland food ... let us say ' ve well indian food Africa ! , would much like stay Meridien ! 
 May 10 2009 	 good stay 	 stay one business trip . good hotel . good room . good food . especailly business centre service prompt helpful . 
 May 10 2009 	 Cheated Hotel Management 	 recently stay Le Meridien New Delhi unequivocably bad experience ever 5 - star hotel.1 ) account mishandle hotel staff result unjustly charge around 100 usd international phone call hotel request make provide alternate credit card number along copy front back card , hotel 's payment system antiquate staff claim could process credit card previously provide upon check - in without take copy front back card ( highly unsual suspect practice , make even wary wallet steal suspect either around hotel ) , despite fact hotel put 250 usd hold card card otherwise perfectly usable.2 ) prior charge new card number , hotel present folio breakdown charge even provide total balance . staff receive faxed copy front back new card , proceed charge card without verification total charge . request folio front desk upon check , present credit card receipt show amount staff charge new card , tell request see bill , & quot ; late & quot ; , card already charged- fait d'accompli . I try dispute charge still hotel , staff uncooperative escalate dispute superior , numerous phone call email , still credit back aformentione charges.3 ) minor note , property also feel 5 star standard . specifically , despite negotiate equivalent price Oberoi Taj Mahal ( previously stay within Taj group stay India ) , choose Le Meridien final night India experience & quot ; modern & quot ; 5 star hotel country . however , upon check - in , front desk staff fail inform two important fact , deluxe room give fail feature bathtub , would expect five star property , day dining establishment undergo construction cause alot noise locate courtyard middle property around room situate . I would warn potential guest Le Meridien New Delhi , feel management quite board practice . 
 May 6 2009 	 excellent value 5 * * * * * HOTEL 	 superb hotel lovely lobby .. beautiful room light mirror .. classy coffee shop .. superb 
 May 4 2009 	 great hotel 	 great hotel . very good location , close cp.staff courteous well room clean n good . have gud disco nice restaurant . thumb . 
 May 4 2009 	 experience ! ! 	 good comfort amenity . problem stay spa operational . Hope must rectify also . 
 May 2 2009 	 place 	 shiny glass building heart Delhi cynosure hotel . class full luxury . 
 May 1 2009 	 great location good breakfast 	 hotel probably one good location New Delhi . the interior really good , great lobby foyer . Staff efficient . like place breakfast . really good stuff really helpful staff . recommend business leisure . 
 Apr 28 2009 	 value money 	 nice interior . value money . well stock bar . good health club . 
 Apr 27 2009 	 Excellent Business Hotel 	 Excellent Business Hotel . incredible staff . trendy beautiful room , light suit mood sooth per situation . Good Restaurant overall value money business hotel . 
 Apr 27 2009 	 Fine hotel - good Delhi 	 manage stay one night weekend away work week , expensive room rate manage get basic room average hotel room delhi . outstanding location minute centre delhi main shop area , great interior like contemporary design italian lighting hotel ideal . do use pool , look outstanding.worth stay experience.resident restuarant fantastic great evening entertainment local music . 
 Apr 22 2009 	 Flashy room 	 right heart delhi . well design room excellent view . service fantastic . get spoil like maharaja . food good lovely night club . 
 Apr 19 2009 	 Class Interiors 	 Loved ambience interior place . unlike 5 star Hotel property India . you may feel India . upholstery , seat etc lounge , banquet wait area plushroom nice , though bath tub loo alet ( rm . . 927 non - smoking floor ) .service excellent . food nice . Menu Room service much wide Le Meridien propertie India . overall nice experience 
 Apr 17 2009 	 Decent ... could well 	 excellent location ! great facility could package well . service need improvement . 
 Apr 16 2009 	 great stay right heart Delhi .... 	 since live delhi rarely get chance stay hotel city last month check le méridien new delhi one night conference .... hotel locate close center city & amp ; number shop & amp ; restaurant nearby .... stay exceed expectation every point .... platinum status spg really helped upgrade great suite spg floor & amp ; also offer free breakfast lounge .... dinner coffee shop great buffet spread .... little bit work go hotel seem either get way disturb guest .... great experience .... drive hotel number time & amp ; never really think one well hotel delhi .... different opinion .... 
 Mar 31 2009 	 nice hotel much well trip adivsor rating 	 recently spend two night Le Meridien New Delhi think fantastic still renovate hotel without price shop . room nice new stay 12th floor quite nice view india gate street . hotel food nice expensive , breakfast okay . hotel little bit remove action still extremely close everything . great place stay . even currency exchange rate well available airport . highly recommend 
 Mar 29 2009 	 bad great 	 stayed two night Febuary 09 , upgrade executive floor . hotel okay feel room small bathroom tight . moodlighte fun . exec lounge good good selection breakfast afternoon tea . staff attentive except pool gym staff . pool available repair , outside patio area cover pigeon ... good central location . 
 Mar 20 2009 	 Fine Business traveller place acceptable condition 	 stay Le Meridien three day annual business trip India last week . rep book place first strike pricing . last year 4 - 5 Star Delhi hotel cost around 200 - 300 euro night . pay 5500 INR total 81 euro night include breakfast . really good deal ! ! 1 . arrival INDIRA GHANDI INTERNATIONAL : ask rep arrange pickup hotel . Sadar driver wait exit take care luggage . want change money ( could watch shoulder see change calculate amount tip ) . annually travel India since almost 15 year decline offer lead Thomas Cook booth told bring Rupees already . story & quot ; two poor Children & quot ; came tell care advise drive hotel quickly possible upon arrival would decide tip . stay quiet ask . upon arrival give 50 Rupees . defintely advisable give tip India . 2 . arrival LE MERIDIENThe arrival similar security check airport 20 year ago . luggage bring lobby pass metal detector handsearche afterwards . handluggage also search . pass security area ( make sense 11/26 incident Mumbai ) walk boutique style lobby fairly empty late night.3 . checkin : Starwood Preferred Guest give room 12th floor & quot ; Starwood Preferred Guest Floor & quot ; . checkin fast efficient , luggage bring room within three minute close door room.4 . ROOM : look recently renovate , light coloured wooden decor may everyone taste , & quot ; mood light & quot ; behind bed well - but least try bit different wannabe colonial style Delhi hotel Taj Mansing , Park etc . tv 46 inch plasma ton channel . mini bar well fill relatively cheap ( approx . 1,20 EURO soda ) , Room service work well seem easily disappointed indian - style tip European . room clean big enough two . light bath bit dark also pretty well design everything good shape working order . loved rain - shower .... control panel light , alarm A / C ( necessary last week temperature around 25 degree outside ) bit confusing work pretty well one understand work . good experience . room safe little 4 - 5 star hotel gadget room make stay nice . 2 Newspapers day , printout german newspaper ` front page , fresh fruit bottled water complementary every day . direct view room India Gate Red Fort.5 . breakfast : breakfast complementary complete . cooking station provide fresh egg , omlette etc . ( plan bit waiting time ) , juice fruit fresh , choice continental / English breakfast buffet war rich . aware : ` seat french breakfast style - sit long large table stranger opposite next come alone breakfast room . nothing unusual travel France .... FAZIT : Positve : - excellent value- well equip , maintain room- clean safe place- good breakfast- excellent location ( right within government district , close Connought ) Negative : - still construction go ( bar & amp ; cafeteria build ) - greedy staffI definitely come next year . 
 Mar 10 2009 	 Best Hotel Delhi 	 good hotel ever ! amazing breakfast buffet , amazing indian restaurant 2nd floor . service , staff , decor top class . hotel would stay return Delhi . highly recommend ! 
 Mar 7 2009 	 Oasis Tired traveler 	 first stop & quot ; Heart India & quot ; tour ( 14 people ) . arrive 6 -- delay flight harrowing ride -- first many -- airport , please clean bed hot water . Le Meridien far more . the staff , except & quot ; lady & quot ; business center , rude seriously think complainig front desk , accommodate -- & quot ; Disturb & quot ; sign first morning honor . the room spotless ; breakfast outstanding . the hotel great charm , bonus . & quot ; marriage season , & quot ; could see firework display throughout city . 
 Feb 26 2009 	 Disappointed 	 husband stay end 3 week trip India . lobby area construction , noisy 9 pm . could not access shopping arcade . switch room late night , information not communicate day staff next day , require several conversation different people . while front desk staff friendly , unhelpful suggestion / direction major tourist location . always backup car enter hotel . definitely gear business traveler . centrally locate , would check hotel next visit . 
 Feb 22 2009 	 nice hotel good standard 	 building room nice . gym good , outdoor pool disgrace health hazard ( dozen pigeon ) .staff generally helpful . food ok . good option Delhi quite international 5 star . once one accustom Delhi hotel price , rate acceptable . worth bargain hard . 
 Jan 8 2009 	 fine business hotel 	 hotel perfectly fine . nothing special ( except service good ) . room clean everything function properly . restaurant good . gym pool fine . not much soul character . fine business , be look taste India , not much . 
 Nov 9 2008 	 Bon Jour Meriden 	 well start good thing property location . locate right right heart New Delhi , amidst lot greenery well proximity almost Delhi 's tourist hot spot . well connect airport well railway station . get hotel fall world experience step pristine white lobby . highly courteous staff , excellent room reasonable price highly recommendable Indian Specialty restaurant PAKWAN , high point ultra luxurious 5 star deluxe property 
 Oct 30 2008 	 ok arrive business service rip 	 want get nice room relax assimilate first trip India . business meeting New Delhi daughter go university semester great visit . first several upsale hotel get extra room key front desk . explain home Delhi apparently not suffice . room nice . hotel within walk distance landmark India Gate national museum . Metro system easily accessible well . food first level buffet good affordable . great place morning coffee . eat chinese restaurant top hotel nothing get excited convenient room . hotel renovation efficient clean . spa experience disrupt drilling life go on . I indian Spa experience . simple stress reduction massage . reservation discussion , agree 60 minute massage . spa call room see could arrive 30 minute early . consider make reservation 8 hour early mildly annoying . check Spa , earnest female clerk insist really need 90 minute massage . insist 60 minute would fine . much discussion behind counter ask meet & quot ; doctor . & quot ; meet doctor prescribe int external problem 90 minute necessary apparent issue . amuse agree sign several release 90 minute , , doctor . I actually love 30 minute leg reflexology deliver remarkably talente chinese masseuse . never touch knee fantastic . awoke absolutely refresh . amazing . synchronize massage involve two people interesting will not . probably personal preference mine reflection oil , talent handle masseuse pair . the bad annoyance print 10 page thumb drive presentation business center , one page blank . cost 23.00 dollar american total rip - off . handle woman could Vogue magazine . unable provide receipt hurry . think Doctors wife . 
 Oct 6 2008 	 Great Hotel ! Service excel ! 	 stay LeMeridian Delhi 2 week business May . excellent stay -- many nice touch would expect 5 Star Hotel . Airport TransfersHotel arrange pickup . meet concierge airport help find car , cold towel bottled water wait . courteous driver , point site along way make suggestion thing might want see tripFront desk / ServiceSmooth , efficient friendly time interact . person meet staff friendly , greet , smile . feel welcome everyone ! RoomsThere two color scheme room -- - one dark , one light . people issue dark room , like . bed comfortable , bathroom large functional , light good . room service least twice day -- bottled water restock time . evening , receive cheese desert plate room service . weekend , give new book gift . hotel laundry one point -- issue prompt service . internet connection work wonderfully switchboard issue call get hour night us.breakfast / LoungeIncluded rate -- either executive lounge main restaurant . nice depend mood -- - option main restaurant , quieter lounge . lounge still omelet station . food excellent case . lounge also happy hour snack offer different veg / non - veg option day . restaurantsthe main restaurant great food -- - pasta could beat . everything menu also available room service . indian Restaurant top floor also excellent great view . concierge / Travel DeskThis one area disappoint -- - not exactly sure want , not get many suggestion . seem staff hesitant help I . shop Lots option hotel iteself many price point willing bargain . find good option service jewelry Manoj Padma Gems ( forget , either suite 13 14 ) . even custom pendant ! 
 Oct 6 2008 	 Typical Le Meridien ... 	 spend Eid holiday India fly Delhi Dubai commence Golden Triangle tour . exterior Le Meridien Hotel quite date interior reasonably renovate . lobby room resemble Le Meridien style , since old building many part include upper floor restaurant tired look . check - in check - out slow service level generally poor , stay 5 - star hotel Jaipur Agra guess 's good simply low expectation . incident annoyed include : a. specifically ask check - out time check - in receive subsequent call nap ask exactly question ; b. call arrange wake - up call 6:15am call back 5 min later confirm be 5:45am ; c. complimentary water room ( typical Le Meridien ) ; d. check - out , front desk staff hand bill envelop without look say & quot ; thank stay we etc & quot ; . think extremely rude . on plus side , room clean comfortable . also food quality great . try 2 restaurant room service content standard . location hotel also advantage close central attraction . overall quite decent accommodation . 
 Aug 8 2008 	 great hotel 	 5th stay hotel , enjoy stay much previous time . I pick airport , room rate include airport transfer . offer cold towel well bottled water . check smooth Starwood Preffered Guest desk ( gold member ) .The room 16th floor , nice view India Gate . the room nice 42 & quot ; plasma screen , desk , armchair complimentary water well bottle wine ( decent well ! ) revamp lobby floor moment , Brasserie modernise well Eau bar . tell finished week . the indian restaurant 1st floor excellent , ask waitress suggest local indian dish fantastic . service top notch hotel . price August correct , get ridiculously expensive high season . common trend India day . 
 Jul 25 2008 	 Nice spend extra money Imperial 	 two largely unsuccessful Delhi stay , decide spend third stay five - star hotel . spring Imperial first night , use credit card reward get Meridien room second night . nice hotel , room modern clean , large tv cool light , bathroom fixture , etc . shower excellent , hot water whenever try . order mediocre cheeseburger ( beef , finally ! ) room service lunch go bistro restaurant dinner , excellent roghan josh cocktail , reasonably price . minibar fairly cheap , spring thing . reason , give complimentary bottle wine room , find quaffable . bed comfortable , sleep well . alarm wake call wake planned morning . workout room small , able get treadmill run . bad : checkout take 15 minute reason , despite hurry catch flight . unacceptable expensive hotel . indeed , check - in take time , stand directly front desk 3 - 4 minute anyone even acknowledge , irritate . restaurant option unimpressive , be adequate , expect 5 - star hotel . finally , enjoyable stay , hotel really astonishingly pricey get ... pretty ordinary room would perhaps $ 120 US . be unlikely unhappy stay , recommend pay extra $ 50 stay Imperial Orberoi ; see extra money go . 
 Jul 18 2008 	 awsome service 	 hii stay Le Meridien New Delhi , service amazing room luxurious comfortable.receptionsist Ms Chandni helpful great empathy lovely place famiy.will visit 
 Jun 9 2008 	 love bedroom 	 one night spend Delhi make flight back London fancy luxury . think room impressive feel nice relaxed need . love different colour scheme could select light change . Bathroom mosaic tile . would definitely return hotel Delhi splash 5 * 
 Apr 29 2008 	 Classy Contempory ! ! Slept well 	 great experience long flight , good airport welcome convinient drive hotel . classy good room size comfortable bed . sheer luck olympic torch hotel .. feel great proud see . cause extra security little restriction every see olympic environment . sport lover enjoy . got choice pillow exceptionally good interesting sound sleep day . room service good chinese restaurant operational . would feel grreat value money .. stay 
 Apr 23 2008 	 shangri - La next door much well ! 	 mostly business hotel -- look like old - style Embassy Suites . ( know -- atrium style walkway around room ) . be quite intimidating be afraid height . hotel interior dark . gym small , poorly equip . supposedly temporary . however , be also open business traveler use . ( 7:00 - 8:00 pm stay ) .The room bright enough , clean . bathtub , shower . mediocre food , mediocre service , decent fitness facility -- mere $ 450 per night . 
 Feb 20 2008 	 Hotel without Soul 	 book room spg.com Gold member . room charge across level sky high day peak season Delhi . since , book club room airport transfer way . driver name page board wait airport arrival hence start good . hotel , lobby like huge hall extreme end reception desk . mind nice design . reception , greet staff call Mayank ask tired . long flight transfer connection say yes . finish check - in formaility staff concern say room occupy early morning would wait hour . however , would offer room agree pay previous night room charge . around 7 am morning ! although request early check - in make booking staff reception refuse budge show policy hotel . ask could go Club lounge wait say would possible allocate room . hour long wait lobby finally get room # 1215 greet strong smell tobacco smoke although request non - smoking room . immediately call front desk report displeasure insist room change . answer flat ' no ' . explanation room wooden floor hence room smoking facility . could believe ear . reputable hotel worldwide switch ' no smoking ' policy one turn ' full smoking ' . short stay one night would make comment room decor , mood lighting ( live taste ) , bathroom ( without bathtub ) , room service , lounge service , etc . one word mediocre . Delhi excellent hotel , like , Taj Mahal , Oberoi , Taj Palace , name , one place right bottyom list 5 star hotel indian capital . 
 Feb 11 2008 	 Good Business Hotel 	 hotel part starwood chain hotel . clean , modern hotel right centre Delhi within walk distance India Gate , Indian Government Complex Connaught Place . room modern , spaceous , clean well equip . 20 floor look inner court yard . not room top floor afraid hight look rail courtyard frightening ! aside , not call Starwood 1 - 800 number want arrange pick airport . operator ask country Delhi recommend pick phone airport upn arrival . , ever Indira Ghandi International , know phone . phone hotel arrange pick send driver , be free . 
