great 	 4th trip Vegas , 1st stay Mirage . will not last . bed heaven . bathroom little small american standard . complaint . give BLT wide berth , deli well option . liked fact security Lifts night , hotel do away . location strip great , much clean end , lot less hassle . enjoy great stay Mirage without fear . 
 mostly good 	 stay last 3nights 5 day stay , first 2 night four Queens obviously room definite improvement , hotel large time easy find way around . definetely use bell - hop take bag room , quite hike lobby plus go casino . BB king open good . store room elevator pricey , $ 6.59for large bag chip ... stock get want munchie . pool area nice . secret Garden well worth time , dolphin amazing , purchase photo take entry $ 23.00 , seem like good souveni time get shove drawer first day back . love excellent . 
 absolutely wonderful experience 	 husband travel Las Vegas twice year . opportunity stay Mirage first time ever absolutely pleased stay . room recently renovate beautifully outfit large flat screen tv , dock station ipod , iphone mp3 player , work station seem wire anything , guest robe , safe minibar . lucky book visit $ 15 resort fee start cardio center amenity free we . husband absolutely enjoy spa facility Mirage . use sauna , full gym , jacuzzi tubs related amentie well worth 3 day package $ 35 . BB King Blues Club fun additional Mirage . food wonderful live band awesome . check - in smooth . arrive 4:00 get room right away . room type want , King - Smoking , not available high floor go Queen - smoking pleasantly upgrade strip view room close elevator ! every staff member encounter helpful friendly exception one person player Club counter . 
 Mirage gamble ! 	 travel Vegas parent 79 & amp ; 83 yrs young . wanted & quot ; central & quot ; location , nice accomodation ... solid 4 star receive Mirage . everything good room ( book deluxe view ) recently update .. food ( parent love buffet ) entertainment service . nice casino also gamble slot near tropical area bright air flow nice - feel like smokey casino ..... complaint arrive around noon wait 4:00 pm ck .. room ready early hope . would happy return hotel recommend ! 
 Fun Sun 	 beautiful room , good service , great show , good food & amp ; great pool ! ! ! 
 right well vegas 	 reserve King non smoking room strip view , arrive leave king smoke two queen bed non smoking . take two queen . room modern , tv large flat screen , bed ( even queen ) extremely comfortable . one great thing fairly large safe room . pool area large beautiful ( unfortunately temp high 50 's F get use pool ) .The clean staff great job . room spotless . never see always come wonderful job . when play tv notice could check hotel bill . see charge $ 30 taking item fridge . since even open fridge complain take amount bill . make sure look bill . one negative room door soundproof . could hear everything go hallway . another issue though room wi fi , $ 15 charge 24 hour use . perhaps big negative hotel casino . get old . distinct smell smoke get hotel , feel dark less appealing . eat Buffet breakfast . rather plain , acceptable price pay . also eat steak restaurant name Stacks . expensive good steak ever eat . could cut fork . highly recommend . entertainment , chance see Beatles Love . fantastic experience . performance less acrobatic dance normal Cirque . dance Beatles music magic . to sum nothing terribly wrong MIrage next time think try another Hotel . 
 Exceeded Expectations 	 great hotel good location bang middle strip . check simple & amp ; wait 5 min . room 19th floor different set lift different area hotel wait second lift come . room ( room 103 ) really spacious massive flat sceen tv ( time watch ! ) & amp ; massive Queen Size bed not even realize share anyone big ! bathroom nice & amp ; shower adequate . Room & amp ; hotel spotlessly clean & amp ; bed make daily . ring UK room phone ! ! rung home couple time without realise cost we $ 20.00 per minute ! ! yes 20 dollar per minute ! outrageous & amp ; room list much phone call . Carniage Deli hotel great breakfast & amp ; cake ' Cravings ' Buffet & amp ; good value money . Beatle ' Love ' show well worth see . pool good & amp ; clean & amp ; warm ( go Nov ) first trip Vegas & amp ; visit hotel stay , one good , although like look MGM & amp ; would stay next time change . will not disapointe stay - not use room phone ! 
 Nov 17 2009 	 Excellent Hotel Perfect Location Vegas Strip 	 stay hotel May 2009 pre - package deal include flight Toronto . pleased choice - could not pick well hotel term value location . - hotel room fairly spacious ( nice bathroom ) clean - bed heavenly- location prime central strip , allow easy access food entertainment- pool awesome - quite large well - keep . ( get early get good sunbed . ) - hotel restaurant great include & quot ; California Pizza Kitchen & quot ; & quot ; BLT Burger & quot ; . little pricy average hometown casual eating joint ( ~ $ 30 2 people ) food delicious portion big - might even consider splitting meal deal look cheap Vegas ! ; ) - casino never well ; Roulette decent - break even 3 hour ! bottom line : hotel great . would recommend anyone . would not think stay anywhere else visit Vegas . & quot ; not fix ai not break ! & quot ; 
 Nov 17 2009 	 fantastic stay Mirage 	 stay Mirage 3 day girl ' weekend October . check breeze assign room prefer bed type , although much view . please size decor room . plenty space 2 girl pack LOT stuff ! housekeeping wonderful . never see , excellent job , give we new toiletry daily leave we extra towel . while hotel , eat Onda Ristorante , Carnegie Deli , California Pizza Kitchen . drink Kokomo 's Lounge , breakfast Starbucks & amp ; Roasted Bean . please experience . Onda Ristorante - $ 39.99 prixe fix menu delicious ! service impeccable , leisurely dinner & amp ; bottle wine . would go back heartbeat . California Pizza Kitchen - Refreshing cobb salad looong flight East Coast . exactly need recharge . great service well . Carnegie Deli - long wait want breakfast regular breakfast time . little $ $ wanted spend breakfast , get big portion . chocolate cream pie / coconut cream pie slice quarter pie . YUM ! drink Kokomo 's Lounge good , $ 12 cocktail , find Venetian well . must GO see lion , tiger , dolphin Mirage . worth admission charge . stay long want . take many picture , camera battery die ! tiger beautiful recently get two little cub . wonderful experience convenient . friend want hotel pool Mandalay Bay far strip . enjoy sit pool briefly Mirage . lot kid around enough space everyone . pretty multiple hot tub , cabanas , bridge , etc . mirage great hotel first time trip Vegas . central location , be easy navigate , not take 20 minute get room . 
 Nov 16 2009 	 clean room comfy bed 	 check quick easy . hotel room nice clean . Mirage offer several bar restaurant option . pool awesome great service outside . 
 Nov 15 2009 	 Outstanding 	 wife stay Mirage Oct. 31 Nov. 2 . second stay year . case , room complimentary , would pay regular rate come . room recently renovate , excellent . good sized , nicely furnish , great bed , flat - screen tv . room common area clean well - maintain . bathroom nicely renovate . complaint - minor one - bathroom relatively small , standard tub / shower combination . new hotel , course , large bathroom separate tubs shower . overall , however , would give room excellent rating . casino comfortable , good selection game gaming limit . five dollar table game available time day , plus we since high - roller . availability low - limit table game keep we site would otherwise go search cheap play elsewhere . location good , tram access Treasure Island , short walk Wynn , casino mall . good selection restaurant site , include California Pizza Kitchen , deli burger restaurant . starbuck well . be total coffee snob , second coffee shop retail pavillion ( way pool ) . line nearly long first thing a.m. selection muffin roll well starbuck . service bit disappointing . need pick ticket Jay Leno tell front desk go Concierge . concierge say handle ticket tell we go Terry Fator box office 3:30 , . one , ask business center . tell come back 4:00 , . still one . call front desk tell open 4:30 . explain run - around get , front desk tell we go box office ( Beatles & quot ; Love & quot ; ) . front desk say go directly side ticket counter ( ahead everyone stand line ) . desk say would call ahead let know come . tell - suffer numerous dirty look folk stand line - ticket counter call . nevertheless , accommodate issue ticket spot . service casino also spotty . difficult find wait staff casino floor order drink . find case every casino ' ve visit year . all , excellent property one definitely visit . highly recommend . 
 Nov 15 2009 	 ok 	 hotel club music loud even 9th floor could hear it - also construction & amp ; drunk - would not recommend hotle see city great ! 
 Nov 14 2009 	 2 bedroom hospitality suite - spacious / not ugly like website ! 	 girl friend stay august . awesome suite - spacious . arrive - room be not ready ( arrive 9 pm ! ! ) ... last ppl decide check late - suffer ... top - finally make room guest bathroom pee toilet - eww ! ! ! ask clean ... problem stay.the room great - date website do not justice . newly renovate , plenty space , 2 1/2 bathroom . stay 5 girlfriend - yes capacity - be starve university student - give we break ... pick place cuz enough room 6 us sleep do not break bank , 2.5 bathroom - plenty place we shower / do hair / make etc . awesome time . place be not luxurious place strip - fit bill we .... def go to return ! 
 Nov 14 2009 	 huge disappointment - deal good true ! 	 travel Las Vegas lot business pleasure . 7 week ago MGM Grand . stay play often , MGM Mirage send great offer vip room rate , etc . decide leave baby boy hubby 3 night take one great offer celebrate birthday week late friend Vegas . offer MGM Mirage include offer property , good value get time Mirage . property decent Saturday rate fight weekend , look like nice place . surprised arrive walk small , bad hotel room ' ve ever encounter Vegas . have hear room redo year ago , one desperately need redecoration ! walk front desk room long have arrive early ( around noon ) room ready 6th floor , pretty low not care much view stay good room city , take . king room , basic King , not even small sit area like MGM . ugly orange half / chair half / sofa ? nowhere put foot . bathroom worst . be small bathroom ' ve see Vegas . bath amenity not include bath gel body wash , soap small have run one bath . old white tub stain right next toilet . sink room anything bathroom claustraphobic . I pay resort fee 15 dollar day ? MGM not . 2 bottle water welcome , guess , part resort fee . bad thing encounter smell ! know awful disinfectant / too flowery scent really old motel ? room smell like cheap one grandma use get kid . electronic mini - bar look like fridge outside . open sure jostle something accuse take something . luckily , everything still there . after pay resort fee , really upset pay internet ! happy say need spend one night . call vip service Mandalay Bay able get decent rate Sunday Monday night . cancel tomorrow Monday , hold $ 300 debit card will not get back 30 day ! use card MGM time not hold fee long . try get another room Mirage , want King Tower small suite . call front desk put touch casino marketing , one send offer 1st place . explain room use ask could get different room . put hold young lady rude ( talk someone gamble MGM / Mirage 's get good room rate , know well cop attitude ! ) say room , know right people front side look choose different room . offer pay suite , say wanted suite would pay regular rate . weekend , FIGHT weekend , much can not even think it . so 's deal- offer fantastic rate , know portfolio type room / suite be use . give low type room available , know ask well room . gouge money . nice way treat MGM Mirage Players Club player ! come money play damned play . back management . unable find well room Sunday Monday ? fight tonight , know thing book . People pay lot money room tonight . tomorrow , leave , Monday ? Monday rate low . girl not know know room suite available Sunday Monday- log website speak ! room low type available , bad view . lie KNEW tower king available . story seem change , quite confused . put hold talk & quot ; supervisor & quot ; already huff . it seem like bait switch , Player 's Club people get MGM Mirage deal email- be usually great deal . MGM , mandalay Bellagio good deal always kind respectful . never stay Mirage , take hotel offer . grateful lady vip service mandalay able secure nice room decent price next 2 night . one night will not kill . bit take aback call say cancel reservation tomorrow . not even ask , could fix . , think , girl check not go freeplay info . ( suppose get $ 25 towards table game slot . ) impress . 
 Nov 14 2009 	 perfect location first time visitor 	 hi , second time visit Las Vegas . first time stay TI love location Center Strip . location book time Mirage . overall perfect choice first time visitor . get special rate 300 $ 5 night amount money perfect . get room highway view : - ( 17th floor . first plan give we 2 queen bed room , check able change king size bed . check friendly fast , problem . room large clean . room look renovate . negative thing bathroom ; small compare room size . I highly recommend Mirage first time Las Vegas visitor . ' m sure good option hardcore gambler . 
 Nov 13 2009 	 comfortable central little rowdy . 	 return spend six night Mirage ( get good room , car flight deal BA fly direct LV ) . check around 9.00pm swift efficient little charmless . offer Strip view room non smoke 19th floor . room large two double bed good condition , refurbish uncompromisingly modern style . smart bold , dark wood , chrome , glass faux leather would describe plush luxurious . however , bed comfortable experienced , terrific . 42 & quot ; flat screen HD tv iPod docking station . complimentary daily bottled water nice touch . trace old decor , door wardrobe , wonder complete make . bathroom . small , plain functional . look like half bathroom refurbish ( nice vanity area ) , half leave original . go replace taps new modern one , leave old shower head ? need replace , spray everywhere except need ! light magnifying mirror work either . sufficient towel , small side . toiletry smell great ( lime ) shower gel , shampoo , conditioner body lotion , rather unpleasant bar exfoliate soap dry skin . buy shower gel local pharmacy . House keep okay find plain view hair bathroom , probably belong previous occupant check ! get Strip view room intend bed midnight ( ! ) , get ear plug double glaze poor ( original ) half hourly volcano show sound like freight train heading room ! room quiet otherwise hear little noise guest corridor adjoining room . we breakfast several time buffet . little wait time run efficiently . selection mind boggle good quality , prompt , friendly service . think good value 10GBP per head , even fairly poor £ / $ exchange rate . Europe would expect pay nearly double spread like . weekend breakfast buffet become ' brunch ' price go 13GBP head fail spot difference week day buffet . the swimming pool area beautiful lush tropical landscaping water fall . massive free form pool , small circular pool ' adult ' pool call ' Bare ' secluded area away main pool . luxurious cabanas rent high season would good choice sun lounger lay unimaginative row row close formation would hell . breakfast Paradiso Cafe pool one morning relax comfortable almost twice price buffet ( food ) worth . cook breakfast arrive almost cold plastic crockery take edge experience . service little lax . also try coffee shop breakfast delicious muffin danish pastry takeaway too . we dine BLT ( gourmet burger restaurant ) disappointingly ordinary Carnegie Deli , excellent , massive portion engage staff . dining outlet require reservation , continual queue fairly fast move . think dining option small seating capacity compare restaurant visit stay . the free parking good , hike smokey casino get guest lift . hotel shopping arcade ordinary public area lack WOW factor hotel . hotel location brilliant , right thick action . maybe hotel rather rowdy occasionally rough , especially night . we go see Bette Midler - fab - u - lous ! Cirque de Soleil 's KA MGM Grand . spectacular thought LOVE , see Mirage three year ago well . also dine Michael Mina 's Nobhill Tavern MGM Grand superb ( fall taste menu $ 45 per head , bargain ) , Wolfgang Puck 's Postrio ( restaurant , cafe ) venetian pleasant nothing special SW Steakhouse Wynn truly exceptional ( remortgage pay bill - astronomical ! ) .check also quick efficient friendly . mirage top location think getting leave behind despite 's recent room upgrade , new hotel arrive old one seem refurbish , extend improve try keep . stay Bellagio last time fantastic , another league ever return , head Wynn Palazzo even new Aria Mandarin Oriental due open December . 
 Nov 13 2009 	 mirage - definitely worth price 	 staff friendly . room great bed soooo comfortable ( consider vegas bed get wear quick ! ) . careful go buffet - extremely pricey- $ 37 . will not go buffet . dolphin tiger part hotel nice well . 
 Nov 11 2009 	 love time walk door could not wait come back ! 	 Mom decide make trip vegas week long getaway . find awesome deal online flight accommodation . welcome awesome bell boys cab pull door . luggage promptly take cab . check quick also . ask 2 room queen bed . get decide trade king size room room 2 queen bed . problem . change we . wait elevator not long either really nice . room gorgeous exactly like picture internet show . clean inviting . bathroom good also . especially like soap shampoos conditioner . view back hotel right not spend much time room sleep . Cravings Buffet exactly like say . craving fulfil . can not find anything eat picky . kind thing eat . never go hungry . love . order room service quick , delicious elegant . not eat restaurant . go secret garden see animal . love . recommend go Freemont street Vegas . also go Hoover Dam love . see Bette Midler show awesome . awe strike . also love go see bunch hotel . love Mirage go back Christmas year . 
 Nov 10 2009 	 rip $ 10 per day resort charge 	 book 3 room 5 people ony pay ahead cc send back email saying & quot ; way non disclose $ 10.50 per nite & quot ; resort charge & quot ; = thievry start even get . 
 Nov 8 2009 	 great hotel 	 stay Mirage September , find good price booking Thomas Cook suprise . fly American . the room good size , bed massive , 2 wardrobe , bathroom huge seperate bath shower nice . great view volcano strip . the hotel also good size , be not big , walk MGM glad be not stay ! pool nice ( although water pretty cold ! ) find get open shortly afterwards easy find sunbe . it also great location strip , important walking . would definitely stay again . the bad side find one smoky casino , end week eye would start water walk start get sore throat , prefer gamble hotel . 
 Nov 7 2009 	 thing good 	 first trip vegas arrive mirage 4 pm find struggle open heavy door suitcase find rather strange automatic door . proceed quick check . offer free upgrade , although offer penthouse $ 60 night decline . walk long walk elevator right casino , guess standard every hotel vegas . give nice king deluxe room overlook part strip pool . room spacious bed amazing . yes bathroom could big modern clean . House keeping could fault . eat Cravings buffet morning happy choice although feel keep ask waitress tea , orange juice etc . beware price go $ 10 weekend . also eat california pizza kitchen lovely BLT burger ok nothing special price . miss Love , Cirque de soleil , amazing worth every penny would pay see it . we generally go pool around 3 pm problem get seat generally quiet . nice sit Dolphin bar beside pool , beware high price drink here . visit hotel strip would recommend visit ferrari collection wynn , watch Bellagio fountain Eiffel Tower night volcano mirage . monrail system godsend run late although bit pricey . we happy Mirage whole , location excellent , ever think hotel like MGM New York New york offer well facility , although comment room . 
 Nov 7 2009 	 sleek update modern 	 recently stay Mirage Deluxe Room , first time . usually stay venetian , price good pass . recently update room , sleek , earth tone color , 50 + inch flat screen tv , wonderfully plush bed , big bathroom , great soap & amp ; shampoos .... can not ! business traveler happy well . excellent location well , right middle strip . short walk cab wherever want go . 2 Thumbs ! ! ! 
 Nov 7 2009 	 's mirage ! 	 stay Mirage 7 night 3 people late October . mainly book hotel due great location disappoint ' prime location ! upon arrive within around 10 minute check way room . minor hiccup fact book request 2 room , 1 king - sized bed however , still clean give 2 room 2 queen sized bed , not believe issue though . room clean spacious & amp ; housekeeping come everyday change towel linen etc . regard bathroom somewhat small however adequate . view room back hotel look onto road mainly not plan sit window anyway Vegas ! find staff within hotel helpful , instance one day problem one lamp 5 minute inform reception someone fix . facility within hotel good shop , bar restaurant eat night . people state restaurant expensive personally ' believe case one experience – BLT Burger , Carnegie Deli , California Pizza Kitchen & amp ; Samba Brazilian Steakhouse . british Pounds meal work around £ 15 - 20 include drink think pretty cheap . issue may find eat mirage pretty much queue everything & amp ; take 20m+ ' never experience seem norm strip . bar mirage also good Rhumbar & amp ; revolution lounge good atmosphere however , take plenty $ $ $ like ' drink beer ' pay around $ 12 - 16 drink . stay mirage also go swimming pool good look picture definitely great Vegas . also visit Secret Garden Dolphin Habitat , must say let upon enter tell Dolphins rest day ' get see much . overall Mirage may lack top décor like close hotel however , great place stay enjoy . volcano really good see night certainly different . really comment casino ' really gambler ( lol ) always seem busy though slot certainly fun . ' sure ' know need walk casino get room must admit become somewhat tiring towards end stay hotel visit norm . return Vegas would consider stay mirage however understand ' introduce resort fee honest ' likely upgrade stay across road Venetian Wynn . tip : ~Try see one Cirque du Soleil show – see KA & amp ; fantastic ~ Bally 's ( hotel ) Jubilee show also fantastic ... true Vegas Glamour ~ also trip Grand Canyon amazing shop around good deal . ~Also underestimate big strip ! ' early twenty walk really take toll foot ! try shuttle bus something taxi often stand still . 
 Nov 6 2009 	 's ` ` good '' Mirage 	 search Trip Advisor find good hotel choice strip please read on . I stay majority major Casino Hotels Strip find Mirage hotel choice . great service employee front desk act like welcome guest . room fine , try Tower Suite rate allow - huge fun stay . good bar place eat - California Pizza Kitchen embed Sports Book , fun eat watch giant screen , craving buffet food really good buffet , need quiet bar great drink try Rhumbar . eat Carnegie Deli wait food long due many customer wait staff cook . perhaps could seat few people able handle customer well . Carndgie Deli downside week postive Mirage outweigh negative expierence . like watch sport Mirage good sport book Las Vegas hand '' down . the pool great long hour casino hotel . if choose stay somewhere ther Mirage please huge favor stay Flamingo - bad across board . have fun safe travel ! 
 Nov 6 2009 	 absolutely one good hotel ever stay . 	 second stay Vegas , first time Mirage . really blow sock . HOTEL ! ! take plane early morning DC change plane Dallas , Texas . flight get delay , luggage hotel yet . however could check around noon , offer room 4th floor end hallway . quiet walk ! ! however room superb . spacious room comfy bed nice LCD - TV.I go walk strip two hour later get back fresh . luggage arrive ' baggage claim ' ask bring upstairs . arrive room , bellboy take shortcut arrive even front . ' minor detail love it . all personel friendly well . book helicopter ride Grand Canyon arrange couple minute . also , extend stay extra night , offer really nice rate . then go swimming pool , amazing well . big pool , sufficient chair & amp ; towel . however drink bar super expensive well entrance one bar . one big no - no club inside . get ticket guy lobby work Mirage , state get free entrance midnight . show night tell pay 30 dollar entrance fee . think outrageous go somewhere else . but end : top notch hotel 
 Nov 6 2009 	 hotel perfect every way ... 	 vegas six time pleasant hotel experience ever ! every aspect hotel perfect . could think one thing could complain . room clean roomy . maid service excellent room do promptly ; regardless time leave room day . lobby ground around hotel gorgeous impeccably keep . staff friendly , courteous , helpful . hotel conveniently locate within walk distance shop restaurant . would definately stay hotel next trip vegas . 
 Nov 5 2009 	 Fine 	 stay 3 night hotel , cold period ever ( 49f ) , brrr . hotel fine , get check first pass casino . friendly staff . room newly decorate Strip view . friend stip - view , view good ( quiet ! ) long queue breakfast dinerbuffet , long . buffet great , Hilton LAS much cheap much / big / good . advise , go , queue . go SPA Bellagio : go ! ! great , clean , cheap : pure relaxation ! ! 
