value 	 go LA stop two night & amp ; three day Beijing . lot look Inter - net select suitable & amp ; pocket friendly hotel Beijing . location main consideration . Agent help we get cute little Hutong Hotel pretty close attraction Beijing . 110 usd per day inexpensive hotel Beijing standard thinf worth every usd.nice room , fairly big , traditional chinese decor , hand - craft furniture , goodly bathroom modern amenity , hotel want . must make special mention Reception Staff , simply fabulous -- cooperative , helpfull , & amp ; extremely pleasant & amp ; importantly , nglish speak . they make shortcome , any . it offer Chinese & amp ; Continental b'fast ok sumptuous . Free Inter - net & amp ; cosy little bar , forget small courtyard swing etc.though centrally locate , main road narrow alley lead . mean walk 2 - 300 get main road get cab bus . minor irritant , consider many plus point . extreme winter may difficult breezy corridor . 
 SWEET HOTEL 	 third hotel Beijing . hotel absolutely fantastic ! ! ! everything good , especially people ! everyone good job work hard genuinely nice helpful . room beautiful Chinese . amazing get lot fun . 
 Aug 11 2009 	 wonderful boutique hotel real antique chinese furniture 	 hotel gem middle Beijing hutong ! room arrange around inner courtyard , design unique feature . bed maybe comfortable compare you´d find Sheraton , look room beautiful . roof terrace overlook hutong . reception arrange day trip , driver etc computer internet free use lobby . Breakfast Chinese ( dumpling , noodle , cake ) .highly recommend like experience hutong life . 
 Jul 16 2009 	 highly recommend 	 hotel review say , clean , comfortable , safe , convenient , charming decor location traditional alley neighborhood . couple additional comment / thoughts:1 . staff terrific , particularly Sharon . hotel manager also friendly , excellent english.2 . chinese goverment paranoid swine flu . public health nurse visit every hotel check guest . bad cold kindly persuade allow staff check temperature . fever get free beer . fever , hope , go cart hospital quarentine 5 days.3 . free wifi convenient internet service lobby think twice cart laptop around.4 . excellent breakfast buffet.5 . hotel give good exchange rate . much well airport elswhere . recommend change enough money get hotel airport ( 80 - 120 yuan ) .6 . carry hotel card taxi driver helpful ensure get ride . problem traffic congestion low fix meter . be go take hour get across town many waive . unusual try 5 - 10 taxi accepted.6 . subway convenient , safe , cheap ( 2 yuan ) . learn use . combination taxis 's subway work great.7 . hotel really within walk distance anywhere . save leg tourist attractions.8 . Ghost Street - many restaurant , atmospheric , delicious food.9 . tipping discouage except perhaps western style hotel . tip particularly helpful waitress fall tip her.10 . watch money exchange various street vendor . Summer Palace give change Taiwan bill , virtually worthless , look similar yuan note . make sure Mao 's face bill.11 . Hou Hai Bar Street alot fun , mostly lovely promenade around lake many club , restaurant . seldom public intoxication.12 . bed @ double Happiness hard give extra mattress think . need western style hotel , soft bed , Park Plaza Waifujing good , comfortable.13 . peke acrobat disappoint expensive , save money . 
 Jun 16 2009 	 stay one hotel China ... 	 make double Happiness ! stay twice Mid - may 2009 far excellent hotel China . come conclusion several reason : ( 1 ) location : hotel locate one Beijing 's Hutongs ( alley neighborhood ) . give chance experience chinese cultural close . street ( alley ) fill great restaurant , street food , little market people go everyday life . hotel also close metro station walk distance Forbidden City . one warning : taxi driver might trouble find sure bring phone # get direction necessary . ( 2 ) staff : staff amazing ! speak english well everything could make stay memorable inlcude booking tour great wall , arrange train ticket , provide direction teach Chinese . ( 3 ) room : room spotless decorate traditional chinese furniture ( classy ) . room arrange around several outdoor courtyard great relax long day site see . additionally , hotel provide excellent breakfast something everyone . look hotel Beijing , absolutely choice . 
 Apr 28 2009 	 traditional China experience ... unlike other 	 really enjoy hotel . typical chinese feel . definitely something will not experience Holiday Inn , Crown Hotel , etc .. hotel modern look , hotel chinese courtyard ... beautiful make really feel like China . hotel clean , quiet , small staff polite patient . answer tourist question give we direction get place . even get 1 free tour great wall four night stay ( do not know one time promotion though ) . recommend learn subway system early trip , taxis hard catch late night , especially native . subway would get home much quick . food cheap right block ! free wireless , can not beat ! downfall : walk main street tired shopping since old structure , plumbing system not great ... , love ! 
 Apr 23 2009 	 memorable experience good location 	 want experience unique memorable thing visit China hotel certainly give we . moment enter Dongsi Sitiao alley , become immersed daily life people live . stay five night March Happy Family Room ground floor ( plenty big enough three people ) . thing like hotel : decor ( bland hotel decor ! ) ; location ( short walk main street Dongsi Beidajie , 20 minute walk wangfuje Dajie Night Market ) ; free wireless internet access ; quaint bar area ( could go relax end day , buy drink , chat traveller watch cable tv ) ; proximity local restaurant underground . Felt safe ( Police Station alley ) . get Dongsi Beidajie , turn right hotel , walk 350 m . want go Dongsi underground station , turn leave reach Dongsi Beidajie walk 250 m – entrance beside Wu Supermarket ( good visit want pick supply ) . use underground time – really cheap ( Yuan2 single trip ) , frequent really easy use ( automate ticket machine english option ) , directional signage Chinese Pinjin . hotel breakfast 7.30am-9.30am okay – want provide possible area improvement would . also use laundry service quite reasonably price next day service . find really great restaurant close love . get Dongsi Beidajie , turn right 10 m , cross road crossing ( good luck ! ) , turn right walk 50 - 75 m . ' know name restaurant , ' miss – three big window patron cooking food . think good fun good value . depend traffic , hotel 45 - 50 minute taxi ride Beijing West Railway Station , catch overnight train xián . 
 Apr 2 2009 	 Unique lovely 	 spend 2 night Double Happiness Hotel would happily stay long . room really unique ( like stay standard chain hotel ) , decor traditional style room come central courtyard . place really seem history - information sheet room tell we previous occupant , include editor one first chinese encyclopedia ! location handy - subway 5 minute walk away ( Dongsi ) , meaning get pretty much anywhere central Beijing 30 minute . restaurant road also serve we one good meal ' ve ever eat : ) staff friendly speak good English . rate extremely reasonable amazed offer minibar service not charge Earth . sample hotel 's & quot ; Happy Bar & quot ; also really nice - comfy sofas pleasant environment . worried room may get cold night large window side face courtyard not problem - heating seem effective bloomin freeze outside ! , lovely - ' ve ask half stay ever go back Beijing ! 
 Mar 14 2009 	 great experience 	 stay parent 3 night last November ( Thanksgiving break ) . two deluxe room , actually big enough 3 we . nice decor , impressed . give choice two difference rooms- themed room next ( one person , small ) another room ground floor ( 2 bed little decoration ) . choose downstairs room friend happen well room downstairs . one friend complain bed soft ok mine . staff friendly helpful . friend complain first room small move huge room follow morning . although rennovation go stay , minimally affect . Breakfast ok , not expect luxurious buffet . thing parent not like shower - unsteady pressure temperature ... hot water run every 2 mintue , come back boil hot 2 minute later . minute walk away nearest subway station , 's police station 20 - step away hotel . safe place , be quiet night . will definitely recommend other ( already ! ) . 
 Feb 7 2009 	 love Hutong area 	 different hotel experience . room decorate interesting chinese furniture silk . 2 bed - one enclose canopy silk , convert seat day . we superior room - reception turn . balcony overlook hutong . polished wooden floor pleasant , winter feel little cold . central heating , order get room warm rely heavily air conditioning unit . one quirkiness bathroom door . bathroom comprise modern shower wash basin . short bamboo shutter take place door - need comfortable room partner may within earshot ! two child we - 9 5 . love room , ability split half curtain . tv satellite , watch odd english film evening . we love Hutong , fact right middle neighbourhood . mean outside centre Beijing . catch taxis everywhere . trip , eg Forbidden City , 10 minute ride cost 10 yuan . taxi driver find hutong without difficulty - especially show address hotel business card . however , taxis happy drive hutong due narrow . breakfast fun . buffet various chinese pastry , noodle , dim sum delightful . evening , restaurant not open - explore local restaurant Hutong . the staff always helpful - often write address destination taxi driver . we Beijing 4 day great time . would much recommend friend want unique Beijing experience . 
 Dec 24 2008 	 force think like place 	 reserve queen - size bed room 4 night , end stay 1 night . room second floor , door window expose outside . room really make summer , cold December Beijing even though set room temperature highe . hotel staff talk walk outside wood deck corridor , keep we awake . as book service , Expedia refuse refund last one four night reservation even though request make 24 hour checkin . 
 Dec 8 2008 	 memorable 	 stay Yueweizhuang 9 night wife 2 kid end nov08.room clean well keep , staff polite helpful.the clean even bring extra plate fruit room see kid enjoy fruits.my kid love place , ! 
 Nov 20 2008 	 Loved ! great traditional courtyard hotel ! 	 friend stay Double Happiness Courtyard Hotel 3 night 29 Sep - 2 oct 08 2 week trip across China first city hotel love ! not want stay normal western hotel experience anywhere courtyard hotel real charm though 500 year old , really modern facility like bathroom exceptionally clean . wooden deco silk blanket great keep traditional feel place . we book standard twin room pleasantly surprise arrive morning standard room fully book upgrade honeymoon suite ! laugh since 2 gal great big room ! stay 2 night last night move double room book suite . honeymoon suite big really red deco ( red traditional chinese colour marriage ) wonderful . traditional bed curtain friend bit claustophobic sleep spare single bed instead room . even double bed room spacious . modern bathroom room phone classic . free WIFI work effortlessly room . robe slipper provide well . big courtyard quiet get good night 's sleep . breakfast buffet small resturant front amazing , 15 - 20 choice small place range western : bread , crossiant , cake , muffin , cereal etc chinese food like porridge , dumpling , noodle , rice . variety drink , tea , coffee , milk , soy bean , juice . service reception resturant excellent . write fax email Jeannie reception week arrival help we get train ticket xian overnight sleeper bed get book quickly handle fuss deposit require , pay we first , give credit card detail guarantee . collect ticket pay reception arrive ( though eventually miss train due bad traffic get refund ! ) . also safe storage room check store luggage . Staff speak good English well always ready help , need booking tour , glad help organise too . the hutong safe , police station 100metres hotel well small police post near start hutong . lot little shop buy snack fruit main street shop . convenient take taxi main st well . overall , love place , service environment . picture website accurate well . definitely stay come back recommend friend & amp ; family . 
 Sep 22 2008 	 amazing hotel olympic ! 	 wow experience Beijing Olympics hotel make even well . it charm traditional chinese courtyard hotel lovely carve wooden furniture silk bedspread . room great double bed , worried hard mattress sleep well . peaceful away noise city . room a / c comfortable humid heat . the staff friendly helpful request , available 24 hour desk . free internet lobby wireless room . the hutong locate bit daunt first basically dark one way alley find completely safe even late night problem get taxi back long address chinese - hotel card . also quite close Dongsi station subway great get around easy use . would stay . 
 Sep 17 2008 	 love 	 stay Beijing Double Happiness hotel 2 night September 2008 , prior trip North Korea night return trip . love . warning - preference flashy multinational hotel near main sight , full european american guest , double happiness may . hotel 's location one hutong ( alleyway ) put right middle local colour . walk street lot little shop restaurant , people cycle past carry manner article bike . although main sight central Beijing bit walk away , 's metro station ( Dongsi ) within 10 min walk . Beijing metro system piece cake use 2 yuan single journey distance . hire bike see sight . reception point cycle shop end street . hire 20 Yuan per day . the hotel quirky intimate , outside courtyard tinkle fountain . room chinese style - maybe bit kitch , fun . single room ( different room visit ) raise chinese bed chinese tea make facility , mini bar / fridge , air con complimentary toileterie . room perhaps not spacious give design courtyard setting , bit dark , clean comfortable . room TV , show chinese station . I find hotel 's service faultless . arrive 11 long flight UK immediately check friendly helpful reception staff , speak excellent English . similarly second visit , arrive 9:45 . hotel full previous night , not room ready time . rather ask come back later , receptionist ask wait 5 min whilst send maid clean room ! reception staff also extremely helpful arrange trip Great Wall . remote part wall , would pick 6:30 follow morning . even though breakfast not start 7:30 , lady run dining room give packed lunch take . even bring coffee wait step outside pick . free internet access via couple pc beside reception bar . wifi access available , although not use it . Suffice say , impress Beijing Double Happiness hotel find excellent value . part trip also spend night Novotel Xingqiao Beijing . although marble line , 4 star , centrally locate , mutinational hotel , not charm double happiness staff could not care less . 
 Aug 28 2008 	 Great Olympics 	 really enjoy hotel . free internet free breakfast great . room quiet , clean spacious . flat screen tv floor ceiling marble bathroom . hotel locate Hutong central Beijing - walk distance metro probable 10 minute taxi ride Forbidden City . Beijing Olympics meet parent compete athlete also stay . 
 Jul 21 2008 	 authentic terrific hotel 	 stay hotel 4 night sightseeing Beijing . photo hotel see web accurate . ' family room ' good size room two double size bed . locate main courtyard , separate ( quiet ) area one room . huge balcony . mattresse hard consistent hotel stay - China Japan . breakfast buffet ok . large dispenser bottle water use freely . feel safe neighborhood - police station door away . pro : Charming , traditional hotel live ' among local ' get real flavor people . staff speak English well helpful accommodating . computer small lobby use free check e - mail . although room traditional , bathroom modern update . con : big issue face get taxi driver take we . issue airport , although driver try drop we end street , ok circle around block ( one - way street ) . however , shopping visit local sight , taxi driver seem reluctant take we - ' m sure . would try bargain get we pay set fee 50 - 80rmb vs. actual meter cost 10 - 15rmb . couple time go Hyatt , doorman help we . so , look experience local flavor , great choice - disappointed . 
 Jul 5 2008 	 charming traditional hotel 	 be look experience real Beijing life will not disappoint Double Happiness . be build traditional Hutong , nestle amongst , tiny cafe , bakery , video bicycle repair shop , hairdresser , supermarket , manner weird wonderful little place . head right main door will find delicious street food sample baker end street . the staff be smart , helpful excellent English - compare staff big hotel stay . 
 Jun 3 2008 	 one way 	 stay Double Happiness Hotel six night May , book Chinese Travel Agent know trust implicitly . we live Beijing around year six year ago idea hutong hotel familiar something look forward . live hutong area - hutong year early . know Beijing , speed change , demolition reconstruction , almost unbelievable . two metro line , seem six , maybe miscount ; much Beijing small hutong ' alley ' ; area Dongsi one two remain . area Gulou ' gentrified ' , widened street , bar , restaurant souvenir shop tourist . the hotel attractive , different stay demand five - star comfort . say , room reasonable size , bathroom shower clean efficient , air - conditioning work . suspect interior decoration furnishing ' foreigner ' box enclose bed , brilliant laqueur paint hanging would get corporate entertainment centre . courtyards small quiet , away noise hutong . take care upper floor stair slippery wet - weather . say , something hugely reassure red lantern door , move water feature good luck , raucous unpredictable bird - cage . the breakfast , small room front door , adequate although probably look elsewhere lunch dinner . internet seem work quickly enough extra cost ; young reception staff work hard universally helpful cope every possible variant english language . there two thing need aware . hutong seem continuous change exception . destruction construction continue seven day week long hour ; pile detritus much length hutong . secondly , hutong , defintion , narrow , difficult vehicle day , one - way . check taxi driver know way not sure pick front door . say , new metro stop minute away two main road . 
 May 27 2008 	 big thumb ! 	 little nervous walk hutong house hotel , see place fall love . room charming , breakfast quite substantial , employee amazing . go way make we feel comfortable . even print information Great Wall trip . please expect Grand Hyatt , hotel character plenty interesting guest sit chat . end drink couple olympic athelete bar one night ! four star stay Shanghai could come close wonderful time . 
 May 2 2008 	 love hotel 	 love little hotel ! stay Beijing several time stay hotel expensive , none nicer friendly . set hutong ( alleyways ) upon arrive boyfriend keen - stay day change mind completely . location great , close subway , great shop restaurant ( 2 really good chinese korean hot pot / barbecue within 3 minute ) . wafuje ( big shopping street ) easy walk . decor traditional - think futon - bathroom - especially shower - nice room good sized clean . free internet nice breakfast - combination chinese Western ( try steam dumpling spicy sausage ) . middle bustle Beijing sit 250 year old courtyard full flower singe bird amazing . we go back . 
 Apr 23 2008 	 room like picture 	 could find website run hotel , book Sinohotel website . credit card need hold room . pay 420rmb . use U.S. credit card payment , request check - in . rate include small all - you - can - eat breakfast buffet . two free internet computer lobby , speed slow . quaint little courtyard hotel locate one remain hutong neighborhood Beijing . hutong narrow lane populate local house , among local people bicycle pedal cart . although quaint historic location , 20 minute walk near ( Dongsi ) subway station . picture Sinohotel website show colorful courtyard hotel , room traditional chinese furniture . unfortunately , stick far corner hotel , far beautiful courtyard , room one historic bureau rather fill traditional furniture picture . , employee show we room know operate heating unit , figure determined heat work . fix heat , problem hot water . get hot water , find shower faucet impossible set anything freeze scaulding . tell we need anything dial 9 , find phone . also find in - room safe , advertised . although room clean , give place low grade problem isolate corner hotel . request move courtyard room , tell full due Easter ! get courtyard room , not suffer problem , may satisfied . read review site say bed hard , feel case . note elevator , many room first floor . book Sinohotel website , also offer reasonable tour like $ 20 all - day tour Great Wall Ming Tombs . stay , move closeby N. E. Courtyard Hotel , much nice . see review . 
 Jan 1 2008 	 beautiful traditional hotel 	 really enjoy stay hotel - staff really friendly go way make feel home , room decorate traditional chinese furniture 's lovely courtyard centre decorate lantern . 's also free internet access breakfast include price , good value money . not stay be look luxury business hotel stay want experience something autentically chinese . hotel locate residential area local restaurant shop near . setback room little cold , experience overall great . far good hotel stay Beijing . 
 Sep 27 2007 	 Traditional Chinese Hotel 	 hotel provide basic service room rate quite low . room clean big enough toilet function well . love declaration traditional chinese style . reception staff nice , helpful friendly . exist subway near next year olympic , new subway station go foot around 10 minute Hotel . locate lane two police office . therefore , safe enough tourist . 
 Apr 9 2009 	 Escelente luna de miel en un tipico hotel chino . 
