decent 	 hotel old large room . get kitchen suite , family great addition ( eat inside ) . need space want low cost hotel , great option . 
 Sep 18 2009 	 Run 	 like many day , travel business , need budget conscious . not help stay overlapped NY Open . would read review see picture eastgate not expect anything terribly new , hotel far bad shape review see would indicate . would not minded fact 's date clean . unfortunately . even close . bed .... 's want call . ' ve sleep airport waiting area comfortable . can not wait get give thing disinfectant level cleaning . bottom line , even NYC well money . 
 Sep 16 2009 	 excellent choice small group 	 ( 5 friend ) take advantage weekly rate great value accommodation receive . size room good . lounge dining area furniture abit date , bedroom big clean . 2 bedroom , 2 bathroom apartment . lounge sofa bed could use sleeping quarter . also fully functional kitchen microwave apartment . the hotel breakfast , trouble quick meal go eat nearby . also check sushi restaurant next door really tasty . the hotel computer downstair 24hr reception . ' see facility , need . location great , close grand central Chrysler building . take we 5min walk . the reason get 5 * room overbooke stay ( June ) . put 1night 1 bedroom apartment change follow day . nominal amount compensation give , would prefer get choose room first place . sure happen often . 
 Sep 13 2009 	 Good Cheap Hotel that s okay ! ! ! 	 hotel locate 39th street close un building chrysler , block away times square walkable . walk night buzz . place eat locally breakfast , supermarket corner . hotel basic get pay , clean , main even wash pot we woz nice ( yes tipped ) . room studio could breakfast apartment . everything fine , nothing flash , date need spruce modern decoration . cost £ 320 4 night great . would go back recommend , sure mile central park bit away walk new york feel safe anytime that s what s great.had smash 4 night touristy stuff . definately 24hour lifestyle , see many people jog everyone talk mobile walk starbuck coffee street . even see bloke reading book whilst walking- mental funny.staff fine hotel , anywhere , people helpful other great stuff . wud recomend anyone budget want safe nice accomodation . 
 Sep 7 2009 	 good hotel could better 	 Eastgate Tower conveniently locate near Midtown Grand Central – 42nd St Station walk distance many attraction . hotel fine . room spacious , feature noisy air conditioner go 24/7 . great view Manhattan . staff O.K. , could little friendly . 
 Sep 7 2009 	 Calm comfort reasonable price 	 please stay Eastgate Tower . & quot ; junior suite & quot ; quite spacious include kitchenette - rarity downtown Manhattan . find price quite reasonable compare similar hotel . our complaint would steep cost wireless internet connection . hotel offer complimentary free wifi nowadays . fortunately find free hotspot connection street less block away not willing pay . 
 Sep 6 2009 	 Excellent hotel brilliant location 	 boyfriend stay eight night Eastgate Tower Hotel definitely like hotel . room spacious tidy 's important location brilliant . service ok noice room etc . grocery store cafe place ( Starbucks ) situate close hotel . there guest computer internet connection downstairs . unfortunately price use internet quite pricy . not worry . need check email always go BurgerKings net cafe may find every . location ecxellent . 15 minute walk Empire State Building also Grand Central Terminal nice subway connection close . also one reason hotel good people want explore city stay nyc.eastgate Tower Hotel not new hotel city definitely great choise normal traveller . great couple family . I happy recommend hotel everybody travel New York City leisure . would choose hotel ! 
 Aug 31 2009 	 fantastic value heart Manhattan 	 stay Eastgate 7 night August . other say room enormous ( think large two bedroome wimpey house first home ) . travel husband two teenaged son two bedroom suite . mean anyone suffer Jetlag could go sit sit room whilst other sleep . cool ( hot humid NY ) , clean , quiet . room could bit smart , carpet look brand new ( certainly less month old ) , bathroom well clean day , sheet change every day . we use laundry room basement 6 washing machine four dryer – could leave clothe clean . the location mid town great , area tourist think think New York . 7 day pass subway / bus become expert catch uptown / downtown bus end block . bus clean , air condition , stop schedule , bus time . we ask question reception first day , give we bogus advice ( recommend taxi go somewhere 3 block away ) – use tripadvisor . apart , Eastgate perfect . get $ 200 night deal include internet , value get price could beaten . also check mexican restaurant Singuel 3rd avenue 40th – good meal 16 night US . go last night – wish could go . 
 Aug 28 2009 	 good place visit New York need renovate ! 	 room spacious calm ( New York ! ) . spend two hour clean , dirty . hotel deserve renovation . 
 Aug 24 2009 	 new york new york get love 	 stay eastgate hotel new york room small nice price good careful recive bill stay pay charge . returen home recive call go limit charge card .i call bank turn hotel put charge high bill state . would think bill state pay visa send bank . well guess leave must spin wheel see charge check I m happy . 
 Aug 24 2009 	 Excellent Hotel Great Value Location Fault 	 first trip New York hotel great need . great location , 5 min walk Grand Central Station subway get anywhere . 10 min walk also get time square . the room clean , maid make room change bed towel every day . hotel staff helpfull answer question . hotel could well price . only thing I d say need internet available $ 14 24 hour . 
 Aug 21 2009 	 great value great location 	 5 day stay NYC look affordable room city stumble upon Eastgate Towers . after read review tripadvisor , book room $ 120 / night . on arrival , staff friendly , explain restaurant closed remoddeling give we tip nearby place eat . Checkin fast friendly . the room big , nice little kitchenette ( microwave , fridge , coffemaker stove ) - importantly - clean . room decor little date , mention reviewer , not bother we all . hotel staff helpful friendly stay . the location great - restaurant , shop & amp ; deli be locate around corner . Grand Central , also near metro , 5 - 10 minute walk . conclude : great place stay be look affordable room great location New York - would stay next time . if 
 Aug 20 2009 	 huge appartment 110 m2 / 1200 ft2 	 family 4 stay great appartment hotel ( think junior suite ) . large livingroom , large bedroom , bathroom kitchen . ask ? walk around New York day lot room four we relax . deli around corner , fill fridge watch lots baseball evening . love hotel ! New York : - ) 
 Aug 6 2009 	 great place stay ! 	 stay Eastgate 7 night . book hotel positive review Trip Advisor . reviewer mention , décor little date , room big , clean . bed comfortable , bed clean fresh . kitchen great bonus , especially coffee pot big night ! also great able use laundry . hotel conveniently locate , cheap cab ride Times Square ( ' young – ' want walk ) . diner corner 3rd Ave great breakfast . need much help staff , Betsy helpful booking trip Niagara . ' definitely stay Eastgate , especially since rate good . 
 Jul 28 2009 	 Great Location Value . 	 book reservation online see web special offer $ 149 / night hotel . wow , else get good hotel deal NYC ? course check review TA hotel , even mostly positive review , still bit apprenhension . hotel conveniently locate near Grand Central Terminal subway station . area bustle plenty shop shop . friend book 1 - bedroom 2 Qn bed suite . suite spacious ( think one - bedroom apartment convert hotel ) . even half - bath dining area . space know . kitchen area equip coffee pot essential dish ware . furnishing bit date worn . bed comfortable . importantly , suite clean ( important ) .The service fine perfunctory not bother we since need check - in out . I would definitely stay keep offer good deal . 
 Jul 24 2009 	 Great Value huge room ! 	 thoroughly enjoy stay Eastgate Tower ! room spacious full kitchen helpful save us lot money thing like breakfast snack . room clean slightly date . maid service every day friendly unintrusive . furthermore , location great - central still quiet enough sleep soundly ! also great restaurant surround area well value quality compare central restaurant . 
 Jul 17 2009 	 Huge room Great price 	 stay hotel 3 night last week . think good deal size room . stay 2 bedroom/2bath . decor little outdated nothing bad . great location . walk Times Square several time . Grand central short walk . great . think employee deal kind . great stay . 
 Jul 16 2009 	 stay away ! 	 hotel run , location good , staff unprofessional , charge 500 usd instead 149 usd pr night , rate confirm book . conplained say sorry , obvious mistake , could not anything . never ever stay hotel ... 
 Jul 1 2009 	 good hotel location big room ! 	 family 4 stay last week . little nervous go check 3:30 , room still not ready . give late check - out people we , well , be fine not someone wait . arrive 10:45 , early flight , check luggage go explore . come back 2:30 , room still not ready , check 3 pm say another 1/2 hour . husband happy . tell need non smoking floor one daughter allergy . book 1 bedroom suite , upgrade we 2 bedroom/2 bath suite ! well , make wait . also make sure clean well know allergy . love pillow , sleep like rock every night , maybe day ! ! nice 2 bathroom 2 teenage daughter , love bed room ! McDonald 's , Dunkin Donuts , grocery store drug store right corner . nice fridge microwave leftover , plenty . restaurant go bring something home . know hotel not huge lobby , restaurant bar area , large room location make . not much anyway . not usually like eat hotel restaurant anyway . like away Times Square , 15 - 20 min walk we , far walk subway . would definitely stay ! 
 Jun 29 2009 	 staying 	 doubt first book , happy location value $ $ $ . stay sure . first time visitor US Australia . big expectation meet ... except flight ... ( do not fly united ) ... eastgate exceptional honestley could not fault thing . could walk anywhere staff fantastic . first trip US , weary , would stay sure already give + + + + service traveller head ! ! ! ! 
 Jun 28 2009 	 convenient family 5 	 love 2 bed room privacy 2 bath room . Suite big , even 5 we . thing , 3 comfy seat watch TV . suite really another couch . cost wireless internet rip fortunately free wireless network receive . price pretty expensive , hey , New York . hide cost upon check out . convenient location & amp ; feel safe walking around evening . 
 Jun 26 2009 	 Shabby . welrdly Detached Staff . 	 ok , check review time , often strike certain people complainer . ' m go sound like one , 's usual style . pick hotel good rate , especaily suite . stay Affinia Gardens March love . ( chain . ) hotel : check - in weird . never cite agree - upon rate number day stay . ask room upper floor . assign smoking floor without tell . room smell like stale smoke . furniture shabby . wound leave little early -- night morning schedule check - out . call tell , tell would able show print bill statement night -- mean never see room rate -- check - in check - out ! think maid service sloppy . ( Smudgy , streaky toilet rim check . ) 's little thing : day age people travel laptop equipment , really GOT offer little in - room safe . . also really hate pay internet service every day , call , get new password every day , etc . we like fall asleep quiet , gentle music really appreciate iPod docking station least CD player bedside . here . ok , sound really whiny . 
 Jun 25 2009 	 Excellent hotel family five . 	 travel New York three teenager find two - bedroom suite Eastgate Towers excellent alternative get two room standard hotel . get good price online . note review , decor bit date furniture bit worn suite clean huge , large two bedroom apartment Manhattan . upholstered furniture good shape . great kitchen refrigerator milk juice , coffeemaker , microwave toaster . use oven stove . really like Murray Hill neighborhood quiet residential feel . literally Manhattan even Brooklyn use bus second , Third 42nd ( M104 M42 ) well subway Grand Central . ( get unlimited ride MetroCard learn use bus subway save foot leg . ) Nearby Frontier Diner Daniel 's Bagels provide basic meal support neighborhood . little interaction staff . seem friendly helpful other . hotel charge internet use . 
 Jun 25 2009 	 not stay - dirty room unhelpful / unpleasant staff 	 not ! stay welcome family celebration check arrive . per review photo , expect hotel outdate term decor fine , though Hotel 's website photo not give . we stay Junior Suite good aspect size room big two we nice know hotel room quite small . not fine uncleanliness . carpet need good vacuuming , full dust everywhere , wall unfinishe around aircon unit worst still ....... HAIRS bathroom shower wall BELONG US ! ! quickly ask reception change room tell nothing else available could move we , not even offer re - clean room . attitude complete disinter . some family stay 1 bedroom suite little clean sofa bed need use tear filthy . ask change , tell could not , suggest swap not need use , staff member not even offer swap we bring lift another floor take back room ! ! helpful / attentive . also , arrival tell restaurant close take meal require room . we cancel book hotel day transfer different location follow day . 
 Jun 22 2009 	 great room . great service . great location . great trip ! 	 read review booking still bit apprehensive . need . stay great . room gigantic ( relative NYC hotel room price ) . like little apartment city . room clean , comfortable spacious . feel like get quite deal pay . hotel close bus subway stop , be also within walk distance theater distract 5th Avenue . feel safe time day coming go . there not much need we interact staff , general checking , question , helpful kind . plus , let we store bag check - out since flight not leave late , sight - seeing want do . so great . great experience would recommend hotel anyone go city first - time return trip . 
 Jun 15 2009 	 good true 	 revelation . think could find fantastic accomodation New york price . everything need even staff want help . ideal viste sights.for breakfast try Scottys block away . 
 Jun 12 2009 	 simply awesome 	 review lot hotel New York , come across one . not seem correct , rate get location , hear everyone New York expensive small room . case here . we pleasantly surprise find room nice large , kitchenette fridge , stove , everything need want stay . great . also king size bed tv . shower good , bathroom clean . nice quiet , situate close grocery store short walk Grand Central . actually walk Times Square well , 15 minute away foot . it great base tour Manhattan , incredibly happy hotel meet expectation , thank everyone post review sway we book hotel , well worth . 
 Jun 6 2009 	 excellent value especially good family young child 	 Excellent location short trip , especially 12 10 year old not like walk ! close small convenience store cafe / restaurant . use subway easy far away Grand central station thus make easy get tourist attraction . staff helpful especially irish doorman ( apology wrong title ) . good facillitie within room especially easy catering breakfast . would stay , hopefully long vacation . 
 Jun 3 2009 	 outstanding family stay 	 appartment rather Hotel room travel three young child ( 4,3 1 ) . searcing find place good rate , even staff surprise . room spacious , ( stay Junior Suite ) even crib . facility clean kitchenete excellent . Plenty Dining option family close , MacDonalds , Pizza Shop Convienence store within 200yds . hotel resturant close due refurbish not posse problem . per plenty option close . pharmacy within 300yds . 
 Jun 1 2009 	 one word : amazing 	 read review think , & quot ; well good people say . & quot ; well guess - . big room , work A / c unit , secure , quiet , great staff . happy choice . great location , great rate ... else say ? eastgate highly , highly recommend . 
 May 24 2009 	 convenient budget lovely staff 	 stay 5 night recently large room . 's great cooking facility , fridge , microwave , gas hob ; pot , crockery cutlery provide . decor up - to - date , cupboard could spring clean , overall great hotel want explore Manhattan . Grand Central close 's easy hop train elsewhere . people not want eat morning noon night , hotel great . mother - first trip US - impressed staff ; offer post letter , hold luggage couple hour extra charge leave airport , generally genuinely friendly . 
 May 21 2009 	 Ticks Boxes 	 stay hotel New York notoriously small intrigued option come . upgrade King size suite 20th floor - room huge ! ! ! bed really comfy clean . furnishing bit tired fine , kitchen area impressive coffee maker ( supply always replenish ) , toaster , microwave full cooker . fridge freezer brilliant keeping beer water nicely chill ! ! ! also iron iron board ample storage space . bathroom bright good shower plentiful hot water . pleasant staff , great location diner , restaurant deli 's abundance close . good selection bar close , short walk Grand Central subway . two party move 25th floor last night due leak bathroom 5th floor .................. huge 2 bedroome 2 bathroom apartment ! ! ! one bedroom 2 queen one king , also large dining area , living area large ktichen . would definitely give try next time - really huge 
 May 21 2009 	 good accomodation nice location . 	 ironically first thing say fantastic food available Frontier diner , 50 meter East 39th street , door leave . breakfast good always , hotel restaurant refurbishment . hotel not mention book always annoy I . my second observation staff poorly inform come local advice . receive lot incorrect information plenty contradiction various member staff reception , watch . location central good , 20 min walk Empire State Building . bathroom nice clean , small quite functional . room okay , nice quiet . bed comfortable maybe tired pace New York ! cleaner spot , towel do etc . internet expensive here . shuttle bus run airport taxi $ 50 flat rate . do bus vip tour 48 hour pass . find poor tying ( afterall pay ) actually , would say limited use explore NY could travel around far well public transport . 
 may 18 2009 	 ' nice warmer ' welcome ' . 	 Shelburne Murray Hill Hotel turn we away , arrive 12 hour travel realize , ask smoking room , tell ' smoking room hotel ' ( see separate review hotel ) , call Eastgate ask , could accommodate we . Donna , manager charge , could understand helpful . she even bother paperwork , make sure get room quickly possible even call , settle ask everything ok , need anything . the smoking room 3rd floor , view , room large , clean nicely furnish , separate sit area desk . 3 build - in closet , enough room two people . the bathroom small , sufficient size clean . we fresh bed linen every day room sparkle clean . bed comfortable . the room little kitchen good supermarket right around corner . the non - smoking room great - separate living room be high floor , even view . when get , ' let lobby fool , small ( need large lobby ) .It affordable place convenient location quiet , even ' face front 39th Street right outside window . the subway 42nd street acceptable walk . Hertz Rental car next block . I frequent traveller service important . People like Donna make feel right home ! thank back ! ! 
 may 16 2009 	 great place stay NYC 	 read review say thing , great location & amp ; date decor right , gem . family friend ( 3 adult 2 young child ) stay @ Eastgate Apartments June 08 really want good location , close public transport attraction affordable price . book 2 bedroom apartment must say huge , originally residential block . every box tick look NYC . Decor date , lift slow staff fantastic location probably good value Manhattan tourist . planning trip back NYC next 12 month book EGT . 
 may 12 2009 	 tower 	 review rating not high , 's relative thing . stay two night Eastgate Towers 2 teenaged daughter . two find suite hotel price NYC astounding , find one completely comfortable , relatively close major area fairly accessible subway rare . 's fully functional , completely devoid atmosphere style . room anything , overly spacious give spartan furnishing . walk one bedroom suite , think somebody might removed furniture empty . everything look touch worn , dirty . full kitchen roomy , though could use lot work . wireless broadband good , $ 13.95 day , feel bit gouge . fitness room claustrophobic , like room , fully functional 4 different cardio machine , dumbbell , universal style workout station . staff accomodate , clean staff good job . 's parking immediately adjacent building will save money go two door Icon garage . be 4 block 42nd St / Grand Central subway stop . lot restaurant neigborhood . overall , fantastic value . not think be get Grand Hyatt , even Residence Inn . 
 May 11 2009 	 good value good location 	 Hotels expensive New York hotel like good location , mini - kitchen make meal real find . room massive , bed massive ok decor not go win award care room clean . the kitchen save we cost breakfast every day delicious Wolfgang Puck coffee supply replenishedIt midtown location abut 10 minute slow walk subway ( either 33rd 42nd Grand central station ) .The staff helpful , room always keep clean we money well impressed . great place people New York see New York spend load money fancy boutique hotel . 
 Apr 27 2009 	 Excellent Value Hotel 	 back ny - stay 5 night Eastgate . book 2 room complaint . would certainly recommend it . we pay € 1,200 total room 5 night . not think could get well value . room huge keep clean . maid around every day . Location v. good also . plenty bar restaurant around . one thing would say area restaurant seem finish take people 10:00pm . hope quiet night around hotel Friday could get restaurant 10:15pm . go midtown get one . other pleasant stay Eastgate . 
 Apr 21 2009 	 Great Hotel Families Manhattan 	 stay 9 night easter family - 2 adult , 2 child ( 7 & amp ; 4 ) . plus : great location , 10 minute walk Grand Central . 1 bedroom apartment - 2 queen size bed bedroom , galley kitchen basic utensil ( use prepare breakfast keep beer cold ) , good sized living area . front desk helpful , toaster lack towlel - call reception itms deliver 10 minute . Doorman helpful getting taxi , help luggage , Minuses : Furniture / decor bit date price Manhattan space mean care . area need bit close clean attention ( pot & amp ; pan , blind , bathroom window ) neat freak concern . room service / restaurant , plenty option nearby . 
 Apr 20 2009 	 Awesome value Excellent service great price ! 	 totally pleased service quality staff . every one go way helpful friendly . Location awesome , short walk TimeSquare . we stay studio suite , galley kitchenette , small sufficient . great way save breakfast cost ! always hot water , suite clean , though bit date style furnishing . TOTALLY recommend Eastgate ! 
 Apr 15 2009 	 Great Value Great Service Great Location 	 Eastgate Hotel come pleasant surprise . choose budget thrill discover . large 1 bedroom apartment 1 half bathroom kitchenette 22nd floor . decor fraction tired pale insignificance myriad benefit . apartment spotlessly clean wonderfully comfortable . excellent heating , good shower bathroom daily room service . manager total professional follow rank staff great . nothing ever problem request deal swiftly competently . love location - 1 min 3rd Ave bus Bloomies , 3 - 5 min Grand Central Staion bus subway direction . frequently walk Park Ave catch bus Met Gugenheim Lincoln Center . loved accommodation would stay . 
 Apr 3 2009 	 Great Stay 	 book eastgate price alone look review find review pretty spot describe hotel , decor pretty drab room big really clean , clean everyday , staff really helpful polite , still restaurant eastgate , turn leave hotel nice little deli corner third ave breakfast , alot eat place within walking distance . empire state grand central station chrysler 5 min walk aswell . ideal hotel tourist nice hotel cheap enough pay ( hotel majority time NYC anyway ) also safe deposit box free charge hsbc bank across way eastgate plenty cash machine . 
 Mar 7 2009 	 perfectly locate tourist 	 review say , not expect fine luxury Eastgate Tower . instead , expect simple , functional hotel polite staff , large room , clean facility . find location excellent : easy minute walk Grand Central terminal , well touch major tourist attraction . inside room , large bed , two sofas , small kitchen bathroom , plenty wardrobe space . much like move apartment New York day . sure , lack fancy reception facility expensive hotel , size room convenient location envy other . 
 Mar 4 2009 	 fantastic space 	 Ww stay eastgate last july week , 2 child , husband . our 2 bed suite ideal , sure furniture little worn , lobby tiny , eat facility , however value space comfort amazing . great location , real residential area manhatten dagastinos shop around corner upmarket grocery store , plus delis , drugstore , mcdonald , newsagent , drycleane within minute walk , try chinese drycleaner never know clothe could fold neatly reasonably price , also nice pedicure / manicure /massage facial salon beside hotel - v reasonable .... excellent value round . 
 Mar 2 2009 	 great price good location -- oh ache back ! ! ! 	 husband stay hotel around Christmas thoroughly enjoy visit : good location , clean , spacious room , parking garage next door , friendly staff . however , visit past weekend ( Feb 27 - March 1 , 2009 ) different : first room smell strongly smoke ( no - smoking floor ! ) second one offer we slightly well , nonsmoker , could definitely tell smoking room . room seem go downhill since last visit : comfy armchair remove , wastebasket except kitchen bathroom , liquid dish soap leave dish ( find take swig milk glass ! ) . issue somewhat minor could probably overlook , especially price reasonable . however , real dealbreaker ? mattress extremely hard , discover go bed late Friday night . not mean uncomfortable : mean hard ROCK ! -- kind like sleep park bench , floor . restrospect , ask new room ( ! ) late , unpacked stay . leave Sunday , pain mattress . I not know hotel new management , definitely seem shabby Christmas . not think could recommend hotel anyone , although certainly sing praise return Christmas trip . too bad , thought find favorite affordable hotel frequent visit NYC.As aside : love Ethos restaurant Third Ave . Sarge 's Deli , also third -- minute walk distance hotel . 
 Feb 28 2009 	 Best Bargain Manhattan ! 	 Hotel Stimulus Package Location ! love NYC enjoy visit NYU student whenever , sag economic environment combine incredibly high cost college keep visit wonderful city minimum . pleased discover perfect place stay visit daughter : Eastgate Towers hotel . recent stay Eastgate wonderful . despite busy weekend ( President 's Day / Valentine 's Day ) hotel staff attentive friendly . 2br unit immaculate quiet . location perfect . good part eastgate price . pay $ 140 gem ! since daughter enrol NYU , stay Manhattan occasionally New Jersey . eastgate without doubt good hotel bargain area . 
 Feb 28 2009 	 huge room amazing location comfortable . definitely back . 	 stay Eastgate Tower Hotel three member family 2006 . 1 bedroom suite . like much trip 2009 cousin ( six people total ) , decide book ! time 2 - bedroom suite , like little apartment Manhattan . one bedroom two queen bed , one two twin bed . one tv , apart tv living room , couch turn huge sofa bed . we stay 22nd floor request high floor ( staff amazing polite ) . elevator fast , be definitely slow . kitchen huge help breakfast dinner , instead going eat . suite also two bathroom , big advantage six people room . the hotel close Grand Central , 's diner restaurant everywhere . breakfast first day Frontier diner 39th 3rd . be also d'agostinos 38th 39th buy stuff cook suite . overall pleasant experience , will definitely try stay next time price not high . first bit high , book another hotel . curiosity check week , get $ 195 / night rate hotels.com 's amazing date type room get . 
 Feb 19 2009 	 Eastgate Tower never disappoint 	 second stay . phone ahead book get generous discount return ( never hurt ask ) . arrival find extra cost have upgrade top ( 25th floor ) , give room like apartment , suspect build use apartment block , large . warm , spacious , well service westward look window spectacular view . would appear review hotel slow lift problem , lift speedy need know . coffee machine work , excellent american coffee every morning . Breakfast obtain welcome Scotty 's diner Lexington Avenue E39th , 2 block away . aware , hotel breakfast meal facility , get whole New York choose . Times Square 15 minute walk away , walk Madison Square Garden ( see Knicks ) 7th Avenue 34th Street 20 minute . feel safe walk around Manhattan Cardiff Swansea definitely London , be still big city keep wit . small negative would 's little way , bad , find pizza place open 1.30am around block 2nd Avenue , lot & quot ; local bar & quot ; like fdny bar second black sheep 3rd , even brilliant chill lounge lexington . 
 Feb 17 2009 	 good location clean hotel friendly staff bad . 	 book hotel Priceline $ 81 + tax . bit concerned hotel came categorize 2.5 star Priceline standard . reviews Tripadvisor , however , positive decide panic see place . firstly , hotel literally two block Westin W Tuscany east side Manhattan . neighbourhood safe clean part city . hotel not close subway Manhattan & quot ; close & quot ; relatively thing subway 10 minute . hotel convert apartment building room kitchen livingroom area . suite king size bed basically bachelor apartment . furniture ( note ) old could replace . room hotel everything would find regular hotel . plenty towel , toilettrie , pay per view movie , individually control heat / ac , etc . bathroom old clean well stocked . snuck peak fitness centre second floor universal weight machine cardio . bad . checkin staff REALLY friendly . tell hotel local restaurant part greeting . say , Manhattan room would consider huge ! hotel give cubby hole call room . since place apt , will much happy size , especially be travel family / child . kitchen definite plus be go city long period time . I rate 4 really great price City . however , hotel standard go , probably 2.5 3 star property since really need update . definitely would hesitate recommend place anyone look stay Manhattan . 
