great 	 2 day return another 7 . location could not convenient 's 5 minute walk Gloucester Street tube station Picadilly , Circle , District line . good , reasonable restaurant nearby grocery store Gloucester Cromwell . staff nice helpful . breakfast great . call continental , include egg , bacon sausage , baked bean , toast , sweet roll , cheese , meat , juice , etc . thing miss fresh fruit . stay two different room , quite nice . really like refrigerator . two non - smoking floor request ahead . not try wifi computer internet access lobby , 1 GBP 20 minute . guess like crisp sheet firm bed find everything comfortable clean . 
 Mar 2 2009 	 reasonably price 	 stay Park International mini break February 21st feb 24th . choose hotel stay time find excellent . must admit even time disappointing , little old need upgrading update . twin room give 4th floor away hectic Cromwell road traffic . bathroom big enough two people clean . bed comfortable even pillow high opinion . floor creaky times . mini fridge room prove useful night need cold drink . LCD Plasma tv room . continental buffet breakfast remember large selection food beverage . the hotel centrally locate , couple minute walk Gloucester Rd tube station museum ; 15 minute Harrods Hyde Park . 
 Feb 28 2009 	 will not go back well . 	 pick hotel location stay area , hotel want fully book choose one . the reception area staff good part hotel . give room 5th floor right front door thehotel , ok thought , air con rubbish constantly boil , want window open air could not sleep traffic noise . breakfast not worth get , not even table everyone run food two morning go down . Ww not go till 9 breakfast serve 7 - 10 still run clean cutlery . reakfast staff slow would think dead expression ever . room clean basic . small bathroom shower pressure crap , especially long hair wash . N ot far tube ideal like use . millenium glouster much well much difference price . 
 Feb 24 2009 	 ok quick stop ! 	 find hotel everything need two night stay London . the location really great , especially travel Heathrow . get piccadilly line straight airport Gloucester Road tube station along circle district line pretty much central London . hotel conveniently locate 2 min walk round corner station also . the area around hotel also perfect trip London . numerous coffee shop , burger joint , restaraunt newsagent come handy see close by . the hotel staff find polite helpful upon arrival . check problem inform breakfast time etcWhen get room not bowl amazing , generic hotel room overly spacious still comfortable everything need stay ( tv , Coffee Tea , Kettle etc ) main issue hotel bathroom . open door smell completley horrific ! must severe drain issue cause bathroom stunk rotten egg ! do not time say anything make quick dash completley forget get back evening . even though smell bad drain bathroom not report front desk bad , simply do not time , staying long do would certainly become problem . overall find hotel comfortable , convenient friendly helpful staff .... would recomend 2 - 3 day stay much long ! 
 Jan 14 2009 	 great value money ! ! ! 	 stay Park International Hotel 6th 8th Jan. read mixed review go ahead book 2 night Hotel . unlike review partner fabulous stay , staff friendly helpful , room clean bed comfortable price 61 pound .... bargain ! , good London think ! . also location awesome ! 2min walk access tube network ( Gloucester Road Station ) , easily get centre London 15min Heathrow 45min without change line . I read review regard credit card charge think guest may mis - inform . upon check offer pay $ canadian british Pounds . exchange rate good opt $ . good thing amount slip , amount bank statment , hiddden bank charge . ( know exchange rate increase decrease whenever ) .Overall really enjoy stay return London know book 
 Jan 12 2009 	 shockingly bad 	 service receive shocking . 1 . arrive midnight sit hall half hour check ( first could not find booking , apparently problem computer ... ) .2 . give room heating ( freezing ) , go back reception desk ask another room ( slightly warm ... possibly 15 c ) .... 3 . .. go bathroom toilet dirty ( ! ) . since point already 1:30 morning , exhause go bed cloth keep warm . the next morning , complain overall standard , dismissive apology reimbursement discomfort make . , basically care customer . 
 Jan 1 2009 	 beware check - out scam US visitor 	 stay Park International , Cromwell Road , London . upon check ( 12 December ) receive bill GB Pounds . pay Master Card . receipt give amount GB Pounds also US Dollars , think bit strange . get home checking . although bill GB Pounds expect pay GB Pounds normal Master Card bank conversion rate , hotel arrangement use US agency charge US Dollars ( conversion fee ) . scam use exchange rate 7 percent high bank rate ( 1.55 vs. bank rate 1.48 12 Dec ) . ' m sure legal , be surely unethical . overcharge US $ 65 , consider client US pay credit card , expect get pretty good take scam . 
 Dec 28 2008 	 Affordable Room Nice Area London 	 be look decent hotel reasonable price , hardly well Park International . room clean quiet ( 3rd floor back , away Cromwell Rd ) , snug typical european size . staff friendly address , keen go way assist . free breakfast buffet satisfactory . mostly , like location . tube brief 2 minute walk east , ready take anywhere London . 's shopping area close , complete grocery , drug store , restaurant . feel like walk , Hyde Park , Kensington Palace Harrods near . highly recommend take afternoon tea Orangery ( adjacent Kensington Palace Gardens - pass fruit scone ! ) . , pleasant experience . 
 Dec 14 2008 	 decent quick stay . 	 mother stay Park International 2 night October 2008 quick trip London . price , feel like hotel right . room 2 twin average sized Europe , decent en suite bathroom tub / shower , mini - fridge , small tv . decently clean , need renovation . hotel smell old musty , London general old . hotel staff helpful , public area nice , breakfast pretty good . 5 minute walk Goucester Road Underground station , convenient . close city center ( one stop Victoria Station ) nice , well . nice little cafe shop center Underground station . Park International definitely anything fancy , be mainly go day see sight , want somewhere 's decent well locate , would recommend hotel . 
 Dec 5 2008 	 great Spot Gloucester Road 	 great hotel clean , affordable , large room bathroom London . request room 218 back hotel overlook large courtyard . super - quiet away heavy traffic Cromwell Road outside . 
 Nov 10 2008 	 bad Hotel ever ! ! ! ! ! 	 friend book & quot ; Kingsize & quot ; Room Park International Hotel stay 3 Nights ! Kingsize room ? do not think , big bed tiny room like . be big girl thank gos , cos would not able fit around bed ! ! ! be not expect luxury place be not even clean . room old smell damp , staff uncooperative , accident leave behind money , key voucher envelope - take we one week constant phoning even get someone could understand we , another week key get return - without Euro 's voucher ! mention , return Money , actually charge postage ? ? ? ? check , tell room include Breakfast first morning ( absolutely terrible way - good thing juice ! ) , second morning went chase across breakfast room scream woman say have not pay - oh god mortify ! be not worth anyway , bite common decency curtosy would not go astray ! could complain day hotel - stay Hotels almost every European Country far worst ever . 3 Star ? ? would not give 1 Star ! 
 Oct 27 2008 	 beware basement room 	 make book online sometime travel single room 4 day . room allocate stay , low ground floor , small uncomfortable . room short time trip time , request ( night ) change - tell ' ( real reason give ) . one uncomfortable sleepless night , feel like subway hear feel every train pass district line . early next day request change ' see staying room remainder stay - prepare move another place . time suitable single room another floor find . apart place okay , get pay - something well subway . 
 Oct 9 2008 	 average hotel 	 Park International hotel ok overall . quad room , not terribly small . even though hotel update , still & quot ; old & quot ; feel . air conditioning phone working room take call front desk get fix . location great , 3 minute walk Gloucester Street tube stop connect 3 important line head London . we breakfast one morning alright , include book hotels.com pay . free continental breakfast , would quite good . would recommend hotel people not look luxurious modern hotel , somewhere decent sleep explore London . 
 Oct 1 2008 	 nice hotel price location 	 Stayed Park International business Earl 's Court . area town fill expensive , shabby tourist hotel . Park International definitely average . refrigerator room , nice . 2 block Tube halfway two supermarket . package include breakfast , try offering & quot ; Hampton Inn & quot ; fare taste . staff extremely helpful really go way make stay successful . problem room safe fix quickly bring iron room quickly well . price right , would definitely consider stay . 
 Sep 29 2008 	 bad great OK 	 book three room Park International trip see football ( soccer ) match London -- 2 twin room king size room 4 night . stay king travel partner stay twin . king room small , even single traveler - I ' m use room business class hotel US room quite bit small not plan spend great deal time room ( not ) , work fine . twin room much , much small would not comfortable stay one . , prepare close quarter . breakfast not great manage trick . certainly nothing special not stay food . price room reasonable - I compare several hotel good bargain area , time . hotel clean room make every day satisfaction . room safe not work clerk front desk not much help regard . hard time regulate room temperature - it cold trip room consistently warm . open window help traffic Cromwell Road loud enough wake early might want . good thing Park International location - very convenient Gloucester Road tube station , Harrods , many tourist attraction . find convenient location base travel . restaurant across street around corner , close tube station . will return spring plan stay general area , doubt will return Park International . want something bit nice Park International would pinch , will not first choice . not expect luxurious stay expect small reasonably price ( London ) room great location . 
 Sep 14 2008 	 average 	 hotel adqeuate exactly describe . considerably cheap hotel research London , get pay . London expensive city every regard . hotel central tube couple minute walk addition two grocery store minute away . be also convenient Internet cafe directly across street . the hotel clean room always clean every day addition new sheet towel day . I allergy usually act Spring around cigarette smoke , hotel bother mine really bad . last day stay constantly cough blow nose hotel . consistently clear leave hotel go . allergy asthma not think would recommend stay . , seem like room smoking room turn non - smoking . when go back London , think would pay extra money stay different hotel - 's huge holiday Inn block away much new modern . 
 Sep 8 2008 	 would not stay Park International 	 stay three night . not expect wonderful expect clean . hallway smell kind musty . room , carpet wear dingy ( spill dirt ) room teeny . top sheet bed . duvet cover sheet try really hard think whether clean change arrive . location good . quick walk tube station not want hang room . next time , would spend extra money well experience . 
 Aug 19 2008 	 Park International - convenient adequate 	 family ( 2 adult , 1 child ) stay Park International week August 2008 . base price TripAdvisor review , expect hotel & quot ; fine & quot ; & quot ; fabulous & quot ; . room moderately price London standard ( US ) . expect : convenient , adequate . room triple comfortable king single . room clean everything working order . note anyone bad back limit leg mobility : bathtub wall high US standard require bit high leg lift get . room face busy Cromwell Road window offer good noise protection . keep window shut problem room 's air conditioning work well . staff helpful . geographically price - wise , Gloucester Rd area Earl 's Court ( low budget hotel eatery ) South Kensington ( high budget hotel eatery ) . nearby Gloucester Rd underground stop give convenient access District , Circle , Picadilly line . bus ( tour bus public ) stop nearby . I would recommend Park International traveler want decent room convenient location . 
 Jul 25 2008 	 nice surprise 	 stay May 2008 4 night Park International Hotel , Kensington pleasantly surprise find quite reasonably price Hotel middle London . 's nice neighbourhood many affordable restaurant close . also 2 large supermarket within 5 min . walk distance . Glouster Street Tube also 5 min . stroll away . hotel old , nicely maintain real english feel . pay little stay room king size bed ( aptly call Kingroom ) . fridge quite large . Tee Coffee make facility room window actually open . room street , traffic noise not affect we 3rd 4th floor . bathroom quite small everything perfect work order clean . Buffet breakfast include price quite sufficient . staff whole friendly helpful . would definitely stay . 
 Jul 12 2008 	 need update 	 first room basement real window , dirty worn carpet , intense smoke odour . tell room . return desk tell leave unless another room could find , move 3rd floor room adequate . need update overall . appear mostly frequent student group tour group . 
 Jul 6 2008 	 Perfect single traveller 	 enjoy stay much . single room -- tiny , part charm . cozy , clean , comfortable quiet ( room overlook quiet residential street behind hotel ) . staff encounter friendly helpful . hotel good neighbourhood close Underground . build old , well keep , clean quite modern . internet cafe directly across street . breakfast decent -- croissant , cold cut , cheese , yogurt , cereal , etc . overall , good value , consider hotel 's good location within expensive city . would definitely stay . 
 Jun 23 2008 	 great stay price ! 	 London day trip . frequent visitor London . 4 star hotel Gloucester Road neighborhood usually stay booked . warily book accomodation 3 star property , pleasantly suprise . room , average size european standard , quiet , clean , AC work exceptionally well . bathroom clean spacious , plumbing work adequately . breakfast selection quite good , offer standard continental fare , egg , bacon bean well . great location , 2 block Gloucester Road Underground stop . 
 Jun 17 2008 	 ok Hotel - A / c 	 Hotel old air conditioning work properly . try fix finally admit hotel old many ac work . try avoid fourth floor A / c work one third floor work great . ( brother room 3rd floor . , hotel provide we great place stay . Loved London ! ! 
 Jun 11 2008 	 Good Value Kensington 	 stay single Millenium Bailey 's last trip , room bathroom small okay stay . therefore , book King Sized Room price Park International say , much well . 
 Jun 8 2008 	 okay hotel short stay 	 okay say one . single room , small . could walk around could open luggage . good part air conditioning tube ride Heathrow walk Lancaster Gate , feel good . staff helpful . room clean . nice location . 
 May 28 2008 	 Good Location Pricy London 	 expensive room trip - decide share room Mom save money . triple room ( # 050 ) locate basement view . bit disappointment . room nice size - double bed main part room twin bed alcove near bathroom . also tv , small fridge , alarm clock , tea / coffee maker hair dryer . the furnishing not stylish not run see . room fairly quiet except first hallway right next fire door lead elevator . head bed near door pleasure hearing slam people come go room . could also hear faint rumble Tube every enough keep awake . the bathroom look like recently renovate - bright clean nice size , particularly bath tub . Breakfast include busy morning . offering egg , baked bean , mushroom , sausage , fruit , pastry , cereal , cold meat cheese yogurt . try croissant wishing still Paris , stick cereal next 2 day . mom husband tell offering fine ... great , ok . the location seem pretty good - couple block Gloucester Rd . Tube stop within walk distance grocery , Harrods , Victoria Alberts Musuem ( great cafe ) Natural History Museum . many restaurant , bank post office also close . believe also walk distance Kensington Palace Hyde Park though never time walk direction . internet access lobby - one pound 10 minute . expensive helpful pinch . see plenty place could get hour one pound shop around need while . lastly , must make mention challenge reserving room . search date hotel 's website find special rate available . could find hotel 's cancelation policy anywhere site make reservation without know would able cancel necessary . , email hotel ask cancelation policy . first email back simply state must reserve online get rate . reply fine still need know cancelation policy . tell could cancel 24 hour prior stay . satisfied answer price , make reservation 4 night . month later ( still nearly month prior arrival ) make change reservation cancel first night . time inform book Advance Purchase Rate could change cancel . needless say , happy . several email , include resende first email send , manager relent allow we cancel first night . despite change , entire amount 4 night write charge slip check . explain stay three night ask change amount . everything work fine end ... say , make reservation online , well aware could booking non - refundable/ non - changeable room ... even tell differently . rate triple room three night taxis end 390 pound . 
 May 20 2008 	 sorry park international us 	 decide rebook early book hotel park international good review get . it look fine get come back late night husband notice cockroach walk roomdoor . kill go . another one bathroom decide report staff . he seem suprise take cockroach away tell we never happend . promise usthat would report room would extra clean . of course sleep well , think cockroach . morning nothing ask decide ask clerk desk could speak manager . ask ( wait till guest go ) tell complaint . check computer mention . thing could give we different room . next room small really hot . when go checkout question ask , creditcard . get home decide send email ask least discount . get email back tell we handle well thing could offer we 25 % discount next stay . well will not stay still bad feel this . we pay 220 pound two night . 
 May 7 2008 	 Great experience ! 	 location hotel good part . close Underground also bus transportation . walk distance Harrod 's , Kensington Palace , museum . cute restaurant area also . hotel clean basic . still breakfast ( include ) good concierge answer endless question helpful ! would definitely stay visit London ! 
 Mar 7 2008 	 okay hotel - great location 	 Booking hotel online quite easy , reservation people helpful . need large room , two adult two adult child . recommend room queen bed two single great room size - wise . downright spacious . hotel 's location fantastic . breakfast busy , good . now less complimentary point . hotel staff part okay , overly helpful , . refrigerator room never work , leak long area smell musty . room also never feel quite clean . like icebox . know British keep room cool Americans radiator stone cold . mention front desk staff , assure would take care . not . lastly , not let night concierage talk thing not want . 's personable , ' m still little resentful overpaid cab ride Victoria Station base recommendation . $ 20 . also try talk we take Gatwick Express say could go cab airport ( one recommend ) 75 £ . stick research time spend 40 total ( cab train ) . visitor often rely advice get concierage , need able trust . deal , location unequale convenience within city . 
 Mar 7 2008 	 excellent - Stay Next trip 	 stay Park International five night ( Feb. 26 - March 1 , 2008 ) . book on - line advance , receive reasonable rate . pay 62 pound weeknight 87 pound Friday , Saturday night . walk street , weeknight rate go 129 pound . choose particular hotel want hotel british ambience . hotel staff polite helpful ( afternoon would return room would clean , restocked pjama would fold place underneath pillow ! ) . although check not 2 pm , allow noon . want safe , clean neighbourhood good price , Park International South Kensington great choice . want retain north american ambience , please note Holiday Inn next block . love hotel definitely make & quot ; home & quot ; next time visit wonderful city . 
 Jan 28 2008 	 small bedroom ! 	 location good , close Gloucester Road tube , waitrose supermarket , internet cafe etc . however , room tiny say least . single room , single bed could nearly reach wall . unable lay ( small ) suitcase side bed ( give idea ) .However price good , one perhaps expect more . the check service concierge good . service breakfast poor . 's self service buffet . complain lack hot water cup tea , receive shrug ( could English first language staff ) .If stay , would either pay ask large room ( spy large one open door ) , accept £ 60 odd night cheap anywhere London , spend anytime room , except sleep . 
 Jan 25 2008 	 exactly look . 	 mum visit London mid - Jan 2008 stay Park International Hotel . come across hotel travel website much research location proximity show go see , decide go ahead book . tourist , simply need place lie head night not expensive . Park International certainly meet need . stay 2 night mid - week total cost £ 180 good rate location time year . day arrival , arrive 1 pm even though check - in till 2 pm , room already wait we . room basic comfortable . twin room 2 single bed , tv ensuite bathroom . also , enough storage space clothe . bed comfortable sleep find temperature room perfect . long journey , could think eat sleep . inquire whether hotel bar food , . meal available breakfast morning . however , helpful suggesting place could lunch . breakfast morning lovely . everything could ask . cook breakfast include sausage , scramble egg , mushroom bean . toast , croissant scone well 2 different type cereal juice tea coffee . eat fill every morning certainly keep we go sightseeing day ! day leave , flight not 9 pm checkout 10 am . however , leave bag hotel small charge £ 1 per bag , find excellent . could go finish shop without lug suitcase around day ! bad thing notice ( not think hotel could really blame worth know ) , first evening , ask concierge book us taxi bring we theatre . cab sit ready we arrive 10 min early escort we hotel umbrella rain heavily . delight driver friendly show we sight way . however , obviously know tourist charge we £ 20 could 15 min journey ! course pay hail taxi back night cost £ 12 ! , not ask hotel book , go onto road hail black taxi . , would definitely recommend Park International Hotel planning visit London short trip . location excellent - far Kensington / Knightsbridge West End , Tube around corner , easy get anywhere want go ! 
 Jan 14 2008 	 Location location location 	 great hotel great location ... great price ! manage book king room right $ 150 New Year 's holiday boyfriend . expect , base picture description review . staff friendly room clean . location great , couple block underground stop . the drawback ... breakfast adequate . wall thin . could hear conversation room next we like people room we ! , neither would deter we stay . location price , be well place stay . 
 Jan 9 2008 	 Excellent Location Great Value would stay 	 wife travel London way back home trip Egypt book hotel LOT research Trip Advisor . think many negative review hotel people unrealistic expectation hotel London provide . stay many city hotel range Omni chain , Four Seasons , Hilton , InterContinental , way Holiday Inn Comfort Inn . Park International not Mandarin Oriental certainly well maintain , comfortable hotel good sized room ( speak comparison american hotel ) decent staff . location brilliant , short walk Gloucester Road tube stop thus make entire city available . Kensignton neighborhood can not beat term class ... every car drive street high - end one . upon request bucket ice , concierge stand door within matter minute , fridge room stock drink goody grocery store block away . I love London , would totally stay hotel . be look good value good neighborhood , would reasonable choice . stay , realize many hotel have look myriad discount hotel site either next door , across street , matter minute away charge much Park International . deal ! 
 Jan 8 2008 	 Great Location uninspired . 	 Park International Hotel Kensington , quite simply standard respect . outside building hint 4 star experience , inside realize get payfor London . compare hotel London , think Park pretty decentvalue number little detail could make hotel much hospitable . stay three night business September staff member greet show kind hospitality . the room small , typical british standard clean simple bathroom room . internet connectivity room , use internet cafe side street work alright . I would suggest eat many restaurant side street bad service food one try . walk towards subway eat one local pubsas alternative . the include breakfast decent like everything hotel , nothing ordinary . park great location London close tube station choose hotel . if get uninspired service mundane room , look good value particular location Park would fair choice . hopefully , work thing bit good potential . 
 Jan 8 2008 	 Ho hum 	 dollar weak , decide 3 star hotel coult afford go able also enjoy sight . hotel really 2 star . location wonderful , short walk Underground within walk distance many famous museum , park , etc . however , lodging bare bone . front desk concierge adequate ; job not go way exude much warmth offer information beyond bare minimum request room wear tiny ; plumb loud , ; hairdryer , vend machine lamp break . clean enough . look basic hotel great location , one trick . not expect much . 
