money 	 location great ! service awful ! room large New York standard . 
 Best Hotel Best Location 	 positive review hotel real . take negative review folk can not please matter . stay hotel twice stay numerous hotel NYC , say one well far favorite . really like small apartment heart Times Square . never spend big buck restaurant since small kitchenette bring buffet food store nearby . satisfied Hilton Hhonors Gold member , get free breakfast every morning , make terrific deal . hotel ever consider visit NYC . 
 oct 22 2009 	 Priceless view Times Square -- terrific tourist hotel 	 return NYC business trip stay Sheraton Manhattan Doubletree Suites . 2901 , corner King Suite commanding view Times Square ( exactly ball come ) . 01 room , i.e . 2701 , 2801,2901 , etc CORNER suite view directly south living room ball drop New Year 's Eve . corner another view north side Time Square corner living room well bedroom . view really amazing MUCH nice anything ' ve ( even high end suite either Westin , Marriott Marquis W -- neighborhood ) . view really hook view important , would hightly recommend Doubletree . the location busy directly Times Square suite fairly spacious . suite clean 42 inch LG LCD living room old tube style tv bedroom -- sort odd combination view . Checkin breeze Hilton Diamond guest literally hand key low lobby . VIP checkin treatment Hilton Diamond member real nice benefit . deal & quot ; regular & quot ; front desk can not comment anything there . this hotel nearly hip trendy W across street solid good value -- astonishing view Time Square . area busy ( 24 hour per day ) window provide high level sound insulation blind nearly black sleeping . if want stay Times Square want little room offering would highly recommend Doubletree . 
 Oct 21 2009 	 wonderful location spacious suite annoying lapse quality 	 ' ve stay hotel average twice per year since become Doubletree Guest Suites ; originally , Embassy Suites hotel . primary attraction location room suit two television , large bathroom , modify wet bar include fridge microwave . ( one we want nap , example , be possible without disturbed . ) plenty storage room , work space , outlet recharge computer , camera , iPod battery , etc . despite suppose upgrading room , furniture decor look date bit worn . new HD flat panel television living room , signal standard definition , widen fit 16:9 ratio screen , make everything rather distort - look . in - room wi - fi frustratingly slow recent visit , hotel intermittent internet connection problem stay , something never experience previous visit . redecoration main lobby like -- think look hideous -- bar flat screen instal , since 's sleep , willing overlook lapse taste . one thing find annoying guest would put room service tray outside floor hallway , would sit literally hour , often overnight , retrieve housekeeping . will likely continue stay , be open find another hotel offer similar amenity without slip quality . 
 Oct 20 2009 	 Great Hotel Great location 	 book hotel , read countless review trip advisor . reason choose one . can not fault hotel anyway whatsover ! location - amazing ! right centre times square , close 5th av , rockerfeller centre much ! busy location get plenty siren cop throughout night - , hustle bustle ! say though - get plenty sleep well soundproof . floor 20.check in / check - quick - nice cookie , staff always helpful . ( one bit grumpy live wiith ) lift - great - never wait fastwe not try restaurant bar well overprice good service.room - clean , spacious well lay . room service overprice not use phone . $ 25 5 minute call home ! ! ! ! ! ! security staff friendly helpful.all , never trouble free stay hotel , anywhere ! choose king suite times square view - well worth . 
 Oct 17 2009 	 start spread news ... 	 Doubletree Broadway ... finally , renovation , lobby restaurant open prime time business . located heart Broadway , doubletree great place stay business fun ! Hilton standard ( especially doubletree warm cookie ) make place stay , albeit bit pricey . gym & quot ; cozy , & quot ; free weight ( dumbell ) , machine , cardio equipment - make good place burn calorie eat cuisine available NYC . fortunate enough room adjacent Broadway , heavy curtain ensure light Broadway keep night . occasional siren , street noise minimal ( high floor ) . restaurant also bit & quot ; cozy & quot ; size property , breakfast buffet great ! aware arrive property , enter hotel security ask check ( else would walk suitcase right ? ) . enter lobby walk elevator enter real lobby check recieve warm chocolate chip cookie ! staff great realtor say , three thing , & quot ; location , location , location . & quot ; 
 Oct 16 2009 	 large room Theater District 	 use Hilton Honors point stay free king suite . typically stay Bryant Park free free . time square location property convenient Theater District . walk door 1/2 price ticket booth front . pedistrian area times square walk around take photo great ease . room typical Doubletree suite room nothing special . travel alone obviously adequate space . small family could easily stay room without much trouble . tile shower wall crack several location one light switch barely hang wall . internet access 12.95 24hrs . bad terrible ; although free . Checkin easy give warm cookie . doorman another issue . stand nice uniform look professional ... stand . everyone arrive leave hotel deal luggage hail cab . go doorman actually two , interact guest offer great customer service . first contact individual property . bad guy wear costume . 
 Oct 15 2009 	 service upon arrival Daniel friendly inviting -- nice start stay ! 	 clean room comfortable bed ! ! ! front door service quick friendly -- taxi time hold door place luggage taxi . staff helpful find perfect restaurant location dinner . 
 Oct 14 2009 	 could stayed long ! ! ! October great time stay DGS Times Square . 	 mom celebrate birthday Times Square wonderful experience . enjoy two play , good food , surround ' not miss ' site , shopping , etc ... within walk distance dsg hotel . much transportation pick , good rent car cost quite lot money park garage . subway definitely adventure thank goodness nice people kind help figure one take direction . taxi constantly pounce horn , like movie ! would really recommend Times Square small child .... quite bit hustle - bustle . one highlight Michael greet we arrive first night tucker follow night come back daily excursion . always give we wave big smile ask day go . Michael answer question give we tip tell plan next outing . laughed tell take rickshaw Empire State Building back instead ride taxi ( mom 80 ! ) Michael even yell Happy Birthday we ! go beyond every day . dgs fortunate gentleman serve public . add , room clean fresh every day . maid friendly pleasant us hallway . gentleman street level also kind . would ask room ID key card ensure guest enter hotel make we feel safe . not want forget concierge desk ready answer , map , offer make ticket restaurant arrangement , etc . , one bad thing say . enjoyable time Times Square . thank Michael smile charming way . 
 Oct 14 2009 	 nice accomodation location still steep price though ... 	 City one night see two Broadway play . choose hotel 's smack - dab middle Times Square easy walk right theatre . first time stay Doubletree ( Hilton ) Suites , pleasantly surprised . nice / sophisticated hotel lobby , pleasant people desk nice big ( NYC ) room , even though look kinda & quot ; Times Square & quot ; grimey outside . not let appearance deter . room appear newly update , clean , comfortable - free WiFi . likely stay ! 
 Oct 13 2009 	 Great Experience ! 	 know say LOCATION .... fantastic starting point see sight NYC . staff excel service knowledgeable . everyone friendly doorman housekeep tasty warm cookie registration add bonus ! suite spacious , clean parent love luxurious king mattress . even find pull sofa comfortable . subway station nearby , staff top . stay future . 
 Oct 12 2009 	 can not imagine stay anywhere else .... 	 return 3rd NYC trip . time stay DoubleTree Guest Suites . first time chance - next 2 time choice . room large , clean comfortable , , course , location great . however , good part DoubleTree excellent treatment receive time entire staff . everyone lobby security , desk staff , concierge , housekeeping , restaurant staff ..... combine make visit NYC pleasant . specifically , Daniel desk helpful help we arrange boarding pass . breakfast hostess Oct. 9th , 10th , 11th ( not recall name ) kind clear discrepancy breakfast package . waitstaff attentive accomodate . concierge staff patient helpful every request . every employee pass hallway elevator greet we friendliness respect . request make extra blanket miss wash cloth fill timely manner . typically find spirit good service alive well NYC . however , DoubleTree set standard . person ( ) responsible service training deserve raise ! may sound corny , level customer service receive inspire . although , less expensive place stay Times Square , great value . 
 Oct 12 2009 	 Perfect Hotel New York City ! 	 amazing hotel right smack middle Times Square ! great decor , amazing room , spectacular view ... hotel stay visit NYC ! love staff ! great staff willing assist guest new NYC ! amazing FITNESS CENTER ! 
 oct 9 2009 	 girl weekend good place stay 	 first time visitor perfect hotel easy walk ( across street ) grayline bus tour , Lion King ( 2 block ) , Carmines ( & lt ; block Lion King ) . everything right . even crave chinese 1100pm fromt desk direct we nice litte Chinese Restaurant Pearls block away . room fridge microwave get water market block away carry water . one thing find later see Ground Zero 2009 Sept need go 3rd floor McDonalds see actual site due curtain around site . hotel great location near Broadway show room 4 stay 1 room great view ! get king premium view get good view . request high floor actually get one need get premium view book accoorde several other elevator . hotel close time square / on time square . could see ball room . could hear noise room . perfect thing would ask change . 
 oct 8 2009 	 Ahhhh - tum NYC 	 must perfect time visit NYC ; hot , cool , bright clear sunny sky location Doubletree perfect brief 2 day visit . able & quot ; bar hop & quot ; Central Park , enjoy wonderful & quot ; Conversation & quot ; MoMA , really touristy thing take Duck Tour ( conveniently pick practically outside front door hotel ) . Broadway show & quot ; get to 's & quot ; , within walk distance dozen good ny offer . restaurant ! Wine Bars ! shopping ! say go ! enjoy ! 
 oct 8 2009 	 fantastic stay ! love Doubletree Times Square 	 ' ve stay hotel twice past year absolutely love time . first , location fantastic - right middle Times Square ! room large spacious , especially NYC standard . everything clean lovely . view room also amazing . continue stay Doubletree Times Square visit NYC . highly recommend hotel ! 
 Oct 8 2009 	 great hotel great location 	 NYC alot ....... stay various hotel - far best . People great . location right middle Times Square room overlook Times Square ....... could not ask well expereience . 
 Oct 8 2009 	 heart action ! 	 heart Broadway district hotel . right across street discount theater ticket booth . not need take cab anywhere ; feel close enough walk destination . food pretty expensive nearby , find diner local get 6 block away . room high ; view great . aware , bright light light night long shine room ... price pay great view . room clean comfortable . not eat hotel greatly enjoy warm chocolate chip cookie available anytime day . would definately return hotel future visit . 
 Oct 8 2009 	 Smack dab middle action yet . 	 boyfriend go birthday trip NYC past August . would never New York , want show frenzy light endlessly people spectacle TImes Square . Doubletree Guest Suites corner 47th St. & amp ; Broadway 6th Ave split , half block away form ball drop New Year 's , perfect fit location , plus get HELL deal Priceline hotel round trip air , make decision super easy . first thing want point hotel entrance street level & quot ; 1st lobby & quot ; right next subway station , anytime come uptown would hop right entrance hotel , nice long day explore Met , walk around Central Park , etc . second thing want make clear treat well staff really ' ve first thing say . concierge fantastic , staff check in / out counter friendly helpful , room keep beautifully . beautiful place come back night take break crush heat humidity NYC late August ( never , fun ... sweaty , somewhat irritable fun time ) . AC pumping , bed soft warm , tv bedroom well livingroom area . fridge microwave , safe work , plenty closet & amp ; drawer space , bathroom really nice ample room two people get ready together . never feel crowded . well , except leave hotel , hahaha ... view window gorgeous could see way Central Park small swath clear space sky scraper . want say 32nd floor , hear street open window . , way , really nice feature many hotel seem neglect day : window open . also , warm cookie check nice touch : ) oh , free internet & quot ; 2nd lobby & quot ; ( get int hrough street level take elevator check - in lobby 3rd floor ) also helpful ... kinda bum daily rate use internet room like $ 12 , MEH , would go lobby . 
 Oct 8 2009 	 Broadway Lights Good Times 	 , Mother , Sister 10 year old Daughter stay hotel 4 night . never visit big city prepare trip view trip board friend review . book Double Tree base location want take New York light hustle bustle ( hotel ) well suite accomodation rate . preference provide . arrive hotel 11:00 around check time , though greet doorman direct check luggage ask check back within next two hour take room give brief review room accomodation close eatery convenience . hotel staff always accomodate . room clean toiletry replenish every day ! room quiet , even though look Broadway . wait go back ! ! ! downside front lounge area small leave enviroment lounge look two night rainy evening , well pool . 
 Oct 7 2009 	 Doubletree Great Hotel ! 	 third stay Doubletree highly recommend look proximity Times Square , theatre district , subway , large , quiet space get away . stay Doubletree Times Square 9/26 - 10/4 . room # 3506 , fresh , appear recently update two extremely comfortable double pull couch . check early . room quiet housekeeping service excellent . refrigerator microwave excellent addition . bathroom spacious double sink . concierge security friendly helpful . lack free internet absence flat screen bedroom notice miss spend little time room . also , Hilton Honors member , give free buffet breakfast , imagine pay $ 24.95 per person , especially since wait staff could well describe surly inattentive . otherwise , buffet include chef prepared omelet , french toast , waffle well excellent variety breakfast item absolutely great way start morning . 
 Oct 6 2009 	 wonderful location hotel 	 stay 4 night end September . room lovely big great seperate lounge area . 21st floor incredibly quiet even though right Times Square . manage check early handy . staff helpful welcome cookie delicious . stay quite hotel NY certainly good location big space . would hesitate stay . 
 Oct 5 2009 	 love location hotel 	 travel two sister & amp ; two niece long weekend first visit Big Apple . hustle & amp ; bustle Times Square hotel oasis calm & amp ; quiet . staff friendly & amp ; accomodating . loved cookie check - in & amp ; delicious martinis lobby bar . room 41st floor offer great view & amp ; billboard etc . room definitely good size female get ready theatre , shop etc . problem get taxi whenever require . would stay hotel return visit . 
 Oct 3 2009 	 huge room heart City 	 spend one night quick girl 's getaway . could not beat location -- directly across street TKTS booth , definitely utilize . right middle Times Square really convenient Theaters & amp ; restaurant . stay 29th floor & amp ; partial view Times Square . room huge NYC standard well worth price space & amp ; location . clean & amp ; modern accommodation . would definitely stay . 
 oct 1 2009 	 Amazing Hotel Experience 	 travel w / six friend celebrate 40th birthday research stay , rely heavily review make decision . disappointed ! two suite 7 us minor problem w/ one room ( ie refrigerator work ) problem fix timely manner . check ask adjoining room w / double bed ( king size bed next door ) able change room 2 day trip . every request promply address . front desk staff friendly helpful ! ( Diana wonderful asset - deserve raise help much ! ! ! ) use consierge eat restaurant can not comment , location hotel AWESOME ! theater many attraction closeby able drop package way next attraction . TImes Square hoot lot shop . subway stop step front door bus stop close door right across street depend direction . Broadway close across hotel decrease car traffic however area outside front door become congested w / foot traffic ... love 's everyone . hotel clean bed comfortable ( king size double ) . ' m try hard find something negative say thing say wish internet would free suite ( two place hotel get free access though ) free coffee lobby also would nice ... 's folk ... everything else A+ . oh mention wonderful diana front desk ? ? definitely stay ! 
 Sep 29 2009 	 could not ask 	 friend spend 4 night hotel fashion week girl trip completely satisfied . pro : Super Comfy BedsGreat Service ( concierge , front desk , maid service ) Fantastic Location ( right near subway station Times Square ) Clean New Looking RoomsQuiet ( 37th floor ) Beautiful LobbyExcellent Security ( check room key night ) con : location congest , centralize 
 Sep 28 2009 	 would love go back ! 	 Excellent hotel , large room nice new furnishing , wonderful location see sight , guest friendly , great martinis lobby bar ! concierge helpful reception staff . 
 Sep 26 2009 	 expensive smart Central Clean super - efficient 	 stay clean , super efficient hotel . premium king 42nd floor sofabe luvingroom comfortable . security good , location great . drawback : Super Douper expensive even book 10 month advance . 
 Sep 24 2009 	 good service double tree metropolitan lexington avenue 	 hi , want say double tree hotel lexington ave 51st great . treat we great . service point . staff , bell boy , receptionist kind helpful . even clean lady friendly accomodating . ask extra towel supply right away . def want recommend hotel future traveler . service make trip enjoyable . 
 Sep 21 2009 	 good staff great location 	 Stayed attend USOpen . clean comfortable accommodation friendly staff . can not beat location center Times Square , close everything . look online ticket Wicked Friday night , good seat so - so $ 130 piece . see hotel Concierge use broker get we great seat show $ 50 . 
