great 	 stay hotel 3 night friend . incredible . staff amazing , room beautiful , breakfast lovely get special offer quite reasonable cost wise . like everywhere else San Francisco , climb uphill bit get , really good location centre city . 
 Oct 17 2009 	 Amazing Hotel Brilliant Location helpful friendly service 	 Husband stay one week end september / begin October . book base review not disappointed . first visit San Fran find quite hard get bearing catch BART , eventually get need . hotel excellent location , 2 block Union Square ( go cheesecake factory lunch - opinion , good value meal ) , literally corner cable car stop . China town 5 minute walk away , Westfield shopping centre . our room big large bathroom . could not fault anything . clean housekeeping excellent job . bed huge ( compare standard double back home ! ) actually comfiest bed ' ve ever sleep ! stay room basis not get breakfast option , however , eat Roxanne 's ( corner , next hotel ) Cable Car Cafe ( Powell street , almost opposite entrance Roxanne 's ) . cable car cafe good value money - Bagels , crepe healthy option good . reception staff always friendly concierge brilliant - ask restaurant recommendation couple time spot . ( excellent Pizzas visit Uncle Vitos , opposite corner intersection - not look invite , good pizza ' ve ever taste ) .wireless internet free adequate need . be also laptop reception print modest fee ( handy want check - in online print boarding pass ) .If want travel bit cable car work well busy tourist . find easy enough use 7 day muni pass catch bus f - line wherever want go . we could sit sing praise hotel day , would make review long boring ! short , want great hotel , great location , great staff first choice . overall , find San Francisco quite expensive place ( maybe Sterling not strong use ) gem worth pay one . 
 Oct 10 2009 	 soooo comfortable well appoint 	 can not remember stay nice place . staff pleasant , hotel perfectly locate purpose . room soooo comfortable , wish could stay week . 
 oct 8 2009 	 wonderful staff 	 enjoy hotel staff wonderful . second trip San Fran- time move daughter 560 Powell grad school Academy Art . hotel right next door . staff helpful everything especially Bell staff . 
 Oct 7 2009 	 lovely hotel well locate 	 choose Orchard Hotel base review tripadvisor . hotel everything good say previously . room bed comfortable front desk personnel pleasant . 
 Oct 5 2009 	 excellent experience 	 first time stay SF use Orchard , excellent . large room ( SF centre ) , comfortable bed , quiet ( SF centre ) excellent room facility . tastefully furnish , well maintain , excellent housekeeping staff etc . the two negative parking expensive ( reasonable SF ) nearby garage ( Valet available ) coffee room substandard quality . other , highly recommend hotel , would happily stay . 
 Oct 5 2009 	 Good Hotel 	 SF visit age relative want downtown could savor little San Francisco atmosphere . orchard comfortable bed , friendly helpful staff telepathic service . great location . able squeeze shopping Chinatown Fisherman 's Wharf nearby . problem slow dinner service Daffodil Restaurant discount bill make wait food good . mother sister stay comfortable suite wife double small adequate . like top - tier SF hotel , price breathtaking comparable place . would recommend Orchard return . 
 Oct 5 2009 	 hardly imagine well hotel heart San Francisco 	 hotel simply good 2 week trip . good comfortable bed long time , clean spacious room san francisco . staff friendly helpful . location perfect , cable car right corner . next lot good restaurant . contrary review see , hotel room quiet out - of - the - odrinary noise downtown bug girlfriend . highly recommend anyone wish great place start explore san Francisco 
 Oct 3 2009 	 Great Place - Great Value 	 friendly staff . excellent location . good value money . 
 Oct 3 2009 	 Great Hotel Great Location 	 stay Orchard two night August . check - in freindly efficient . room spacious ( downtown San Francisco ) , well appoint ( although must time swap CRT tv flat screen ! ) comfortable . bathroom bright pleasant , large shower stall tub . room back hotel , view , nice quiet . location great , couple block Union Square neighbouhood seem perfectly safe . although cheap hotel area , certainly compare favourably other stay price bracket certainly consider stay next time visit fantastic city . 
 Sep 29 2009 	 great Anniversary ! 	 stay base review . agan TA user not dissapoint . room well expect . delightful stay ! 
 Sep 29 2009 	 good hotel great location 	 stay part honeymoon , disappointed . hotel fabulous location explore San Fran either foot tram . Union Square waterfront within walking distance , great selection shop , bar , restaurant convenience store . the hotel clean well maintain . room good size , bathroom . plenty room put away belonging . we eat breakfast hotel include rate . fairly basic , good pit stop head day . hotel bar room use breakfast , ' really much ambience evening , good nightcap way back . honest , many great bar restaurant doorstep , probably want go elsewhere anyway . the hotel offer great dvd rental service , good ' relax room long day explore city offer . staff helpful welcoming . 
 Sep 27 2009 	 well convenient choice San Francisco 	 find hotel TripAdvisor . web rate excellent pay advance reservation stay three month later . staff helpful hotel locate downtown , five minute walk Union Square Market Street close tram stop , convenient . would recommend take breakfast restaurant Powell Street well hotel , although service good well . room upper floor good view downtown building . not make opinion first impression reception desk , room large well - equip . good choice San Francisco . 
 Sep 27 2009 	 Disappointed cleaning 	 hotel centrally locate block uphill Union square , cable car pass outside . much , park $ 40 / night + tax per night , $ 25 alternative block Bush St . people reception / door friendly accommodating . overall enjoy stay Orchard , although somewhat mixed pleasure . 10th floor room good size pleasantly quiet busy city . however room clean standard expect . fridge mini bar filthy ( apparently separate company responsible ) , carpet hoover , wine glass room simply rinse put back , coffee replace . notify reception , go great effort correct it . we use laundry service , tumble dry delicate top ruin . 
 Sep 26 2009 	 would stay heart beat ! 	 please choose stay Orchard Hotel . accompany husband attend meet Marsconi Center . able walk daily able get around S.F . easily hotel 's location . bed wonderful , room quiet , room clean , breakfast hotel reasonably price good . feel fortunate choose place spite unfamiliar . 
 Sep 26 2009 	 Great Hotel - Friendly Staff 	 spend 6 night Orchard part honeymoon . contact hotel beforehand arrange flower champagne room arrival surprise wife concierge sort ready we arrive . check hotel give we voucher discount eat restaurant chocolate bottle wine hotel accompany flower champagne nice gesture . room top floor ( 10th ) though be great view even . room fine , plenty space , clean everything need . well stock mini bar even reasonably price , dvd player room selection film borrow reception want relax room . bathroom large , modern good range toiletry provide . negative thing find take shower morning leave run several minute get hot water though fine time day get hot water straight away sink . reception , concierge housekeeping friendly helpful whenever need anything pass go . hotel deliver newspaper every room morning free charge prove helpful used see event go city day find couple thing way otherwise probably would not know . location great , couple block walk Union Square , cable car run right past hotel 's far catch bus anywhere else might wat go city . not like hill though ' ve indulge Cheesecake Factory Macy 's last block walk hotel Union Square short steep . overall really enjoy stay would definitely go back Orchard ever make back San Francisco . 
 Sep 23 2009 	 excellent hotel provide friendly high standard service great location . 	 hotel great stay , staff extremely helpful friendly standard service provide exceptionally good . overall hotel provide good value money along great location . highly reccomended . 
 Sep 22 2009 	 Excellent Hotel 	 wonderful stay . room king suite 9th floor overlook Bush Street , great view . spacious suite nice furnishing comfortable bed . little street noise noise room , pleasant surprise consider busy part town . hotel staff accommodate pleasant . location perfect - 2 block Union Square , Powell cable car right corner , walk distance many fine restaurant . definitely stay return . 
 Sep 22 2009 	 great hotel great location San francisco 	 travel Ireland San Francisco wife . book first three night accomodation Orchard hotel . Location fantastic Union Square right cable car line . hotel boutique style friendly feel . room spacious well equip free wireless broadband every room . while hotel offer breakfast find roxanne next door provide much well offer great athmosphere . the orchard good stay end trip california . 
 Sep 21 2009 	 Great experience 	 Orchard great find San Francisco . room comfortable clean . staff superb . bed comfortable find many year travel . location central safe night . highly recommend Orchard . 
 Sep 19 2009 	 Nice hotel middle downtown S.F . 	 terrific service front desk folk - they go beyond make happy . light sleeper . front hotel hear cable car back hotel early morning trash collection noise , course beyond hotel 's control . otherwise fantastic eco - friendly , trendy , new hotel beautiful clean large room large bathroom . easily walk Union square world - class shopping hotel . also far walk Fisherman 's wharf ferry building not mind walk hill . otherwise take street car . comfy bed , free wireless . able get incredible special price , even full price , cost extremely reasonable downtown S.F . picky hotel would definitely stay next time . 
 Sep 17 2009 	 great location big room particularly San Francisco clean comfortable . 	 four we stay 4 night , location great , close Union sq , China town Powell St cable car ( although everyone go full try walk hill stop two ) . room good size , comfortable bed good quality linen . staff friendly car valet efficient , comment breakfast take option . daughter work San Francisco definitely happy stay future visit . 
 Sep 15 2009 	 central location good size room 	 hotel central location financial / shopping / china town area oppose beach area . view well area area local non touristy restaurant . hotel room bathroom large tastefully decorate modern style way . hotel staff really friendly helpful 1 computer reception use internet , email print boarding pass . load restaurant nearby - Scala Francis Drake hotel posh meal Louis Dinner breakfast Powell Street one block . nice coffee shop corner Powell California ( Illy coffee ) fancy light breakfast . get BART Powell Street walk ( less 10 min ) Montogomery Bart quite near area slightly nice one come into . there steep walk whichever option choose ! overall good hotel central siteseee location brilliant city . 
 Sep 15 2009 	 Perfect location friendly staff 	 want enjoy good part San Francisco , well home base Orchard Hotel . be within walk distance Chinatown Union Square . Powell cable car stop within 50 foot entrance , take Fisherman 's Wharf . staff friendly , room ( King suite ) huge , clean , quiet . hotel pricey , well worth . never stay anywhere else San Francisco . 
 Sep 13 2009 	 can not wait come back 	 husband spend 6 glorious day San Francisco one reason wonderful time Orchard Hotel . pick Orchard Hotel base review read one time everyone get right . moment check know make great choice Orchard . location wonderful . cable car stop corner Union Square 3 block behind hotel hill . could not beat location . room clean spacious everything need comfortable stay . robe hang closet , safe , good quality toiletry , nice soft towel comfortable bed wait we . refrigerator stock use anything charge . walk street liquor store stock soda , water , etc put stuff refrigerator . each time husband go come back greet staff name nice . staff make point always ask okay , need anything need direction , suggestion eat , tour , etc . hotel restuarant , Daffodil . can not rate restaurant since not eat beautiful inside always people eat breakfast , lunch dinner . the price hotel competitive receive first timer 's discount . I know everyone different experience could never rate hotel way not good experience . highly recommend Orchard Hotel anyone go San Francisco ! start plan next trip back SF even leave Orchard Hotel top list accomodation ! 
 Sep 9 2009 	 great Comfortable Stay ! 	 previously stay Orchard Hotel six year ago pleased stay , hope Orchard able maintain level excellence time make book recent trip San Francisco . not disappointed . room rate reasonable ( opt breakfast San Francisco pack wonderful place eat ) , room clean , plush , spacious , comfortable , location perfect . although spend stay San Francisco away room , happy return room every night restful sleep wake receive paper outside room door . bathroom equip amenity , plenty counter top space , lot space move around get ready morning . also enjoy watch dvd night turn night . the staff friendly helpful . provide we direction several place interested eating , give we coupon use shop around Union Square , schedule car service us morning departure . I highly recommend stay sure reserve room next time San Francisco ! thank Orchard Hotel wonderful stay ! 
 Sep 2 2009 	 great location comfortable hotel 	 well look 3 night get really great deal . room comfortable large bed , coffee maker , good tv pleasant , clean bathroom . masse character great location Union Square ( albeit pretty big hill get - not SF ? ! ) internet access free useful copy Chronicle appear every morning . a good stay . 
 Aug 25 2009 	 four star accomodation reasonable rate 	 though lobby hotel nothing write home , room give tastefully appoint super comfortable bed nice linen . bathroom also adequate . location great , within easy walk distance Union Square . look comfortable , clean , upscale posh place , look . 
 Aug 17 2009 	 would stay 	 's green ! energy - efficient building , Cleansers , bathroom product , food selectionseasy access place want see first 3 day stay SF . Staff WONDERFUL , Room GREAT , ... accidentally find Trip Advisor - previously think 4 place - glad stay . 
 Aug 15 2009 	 Great Hotel great location ! 	 small upscale hotel great location near downtown San Francisco . service provide staff friendly excellent . everything room first rate excellent working condition . 
 Aug 14 2009 	 Great Location clean room 	 Great Location . easy access everywhere . spend 3 day SF location make easy see city . request high floor give room top floor . clean spacious room . would definitely stay next visit . 
 Aug 14 2009 	 great room hotel location staff 	 much enjoy hotel room . great location close shop , cable car stop , Chinatown . nice area walk . 
 Aug 13 2009 	 great experience way around 	 great find . nice value , young woman reservation could help get great deal well ask SF . perfect location , nice deal breakfast , everything fresh . staff friendly . nice room . love all . the fitness center really fitness center 3 machine weight oh well 
 Aug 13 2009 	 Excellent hotel great value 	 place near perfect much cheap hotel area . room big clean bed super comfy . favorite little touch like free internet computer lobby print boarding pass . staff front desk nice helpful . great experience would stay area ! 
 Aug 13 2009 	 Close Union Square clean free DVD rental 	 stay hotel 5 night . comfortable stay . room huge modern . bathroom clean new . clean service provide twice day . bed comfortable . staff friendly nice , tiresom . big lobby . possible borrow dvds free reception watch room good sound system . free high speed internet ( fast ) . guess negative side possible open window room . air condition silent good though . 
 Aug 10 2009 	 can not wait go back . 	 wonderful 6 day stay Orchard Hotel July . perfectly locate , easy access public transportation , great restaurant nearby , easy walk distance gallery . museum ( Modern Art Asian ) , chinatown store . hotel great pleasant extremely helpful staff , room quiet relax bed fantastic long day take City . 
 Aug 8 2009 	 Exceptional Service 	 husband travel San Francisco stay Orchard Hotel accompany son wife . son schedule brain surgery UCSF . postpone surgery although book room Orchard Hotel 's website special price , call cancel room . son still go UCSF consultation , would accompany . Manager , Jane , hotel , give husband gift certificate amount pay ( 9 day ) future use . keep son 's reservation , shorten 4 day give leftover fund use hotel ..... credit $ 400 use towards restaurant , spa , etc . , estimation , well possible service ever . expect use gift certificate future totally compassionate understanding situation . Orchard Hotel make fan ! ! pleasantly surprise attitude care hote 's staff ! ! make difficult situation much easy we ! ! 
 Aug 7 2009 	 Excellent Location Value Comfort Downtown San Francisco 	 husband stay week mid - June 2009 love . price extremely reasonable location . room large downtown city hotel room ' ve stay . room clean , comfortable bathroom especially roomy . complimentary in - room internet access appreciate , many city hotel like charge extra convenience . staff friendly accommodating . never eat hotel restaurant many great option within block two hotel less expensive . on - the - go time go Cable Car Cafe Lori 's Diner quick breakfast morning hop cable car Muni explore rest city . hotel centrally locate convenient everything could possibly want San Francisco via walk public transportation . streetcar locate literally 10 second away hotel entrance easy access city . would definitely stay . TIP : buy Muni Passport unlimited ride public transportation save LOT money get around city . include unlimited ride cable car ( cost $ 5 one - way otherwise ) well unlimited ride Muni system . http : //www.sfmta.com / cms / mfare / passports.htm 
 Aug 4 2009 	 luxurious Boutique Hotel 	 Stayed Ochard honeymoon . great location . walk anywhere take Cable Car stop right corner . like boutique hotel room small charming . great resturant lougne . the staff helpful . would love re - visit stay . 
 Aug 3 2009 	 great hotel great value wonderful service ! 	 wife good experince stay Orchard . probably impressive thing staff . check , go smoothly , leave money clip lay counter realise have leave way room . time get back desk , doorman already way room money clip . staff 's resturant recamendation also helpful shuttle service back airport . overall great experience nice room service ! 
 Aug 1 2009 	 Orchard Hotel clean nice conveniently locate tourist area . 	 perfect place stay San Francisco . complaint would business center , lack , slow internet . 
 Jul 31 2009 	 fabulous hotel great value 	 can not wait stay . hotel nestle great location , walk distance many thing Union Square China Town . staff friendly , room clean spacious , can not beat price . 
 Jul 27 2009 	 exceed expectation 	 book Orchard reading review dissapointe , spring summer rate great value compare hotel area . king room quite spacious extremely comfortable bed especially love fluffy towel bath robe . hotel staff friendly helpful . location perfect cable car practically stop door although sometimes be full get , quick walk Market Street pick cable car turnaround hop F - Line get Fishermans Wharf . if bring car valet parking quite expensive cheap garage area self park . 
 Jul 25 2009 	 ok night 	 hotel fine night business financial district . not exciting , offer everything business traveler need prime downtown location far good restaurant . would first choice tourist , business convenient . 
 Jul 24 2009 	 Workers really happy . 	 enter lobby Orchard , see trophy honor hotel ' be one good place work S.F. & quot ; must true , staff , without fail , happy help , cooperate , work problem , need , etc . act one really enjoy job . room spotless . upgrade luxurious suite amenity ... even two tv . warning : robe luxurious wife want buy ( $ 130 Us ) . drawback Orchard walk uphill BART . go back , course , breeze , something consider intrepid traveler good shape . lot restaurant nearby , include China Town . ask front desk favorite , find exceptional dining Boulevard Oriental Pearl . Sears popular breakfast spot , food common , service poor crowd . skip trolley car ride take mural walk 14th Mission . 
 Jul 23 2009 	 fantastic - spacious clean friendly hotel 	 main objective hotel San Francisco centrally locate easy access Union Square main site . intend spend 3 day SF exploring not want spend fortune hotel , ( especially honeymoon ) want somewhere nice . Orchard Hotel meet much . hotel lobby bit small expect , front desk friendly check quickly . ( standard ) room spacious bathroom brand new huge city hotel room . 8th ( 9th ? ) floor , well traffic not hear thing outside . match expedia offer see $ 135pn , think bargain room . dine restaurant one evening food delicious , evening wine 50 % cue $ 100 2005 Swanson ! check get back airport pick hire car hotel quickly grab chaffeur drive we style , similar price cab ( $ 40 ) .A fantastic hotel business leisure , great price ! 
 Jul 23 2009 	 efficient comfort 	 stay Orchard attend trade fair Moscone Center , ten minute walk away . hotel model efficiency , one crisp check - ins check - out ever experience . room spacious , bathroom big enough swing cat - immaculately clean , nice linen . ask high floor reservation request , assign top . overall first class experience . 
 Jul 19 2009 	 absolutely fantastic - not stay anywhere else 	 stay three night beautiful suite Orchard Hotel , could please . room beautiful , huge bathroom . hotel central , quiet , reasonably price . well , not nickel dime small stuff . internet free charge . make xerox send fax , not charge . whole list movie available free front desk , play dvd player room - big hit kid . well : staff terrific ... helpful , courteous , efficient , speedy , good advice . true everybody , include Bell desk , Front desk , maintenance housekeeping . will back ! highly recommend . 
 Jul 19 2009 	 Hotel trifecta ! excellent hotel great location incredible value ! 	 arrive little early , yet room ready us - match see hotel 's website , exceed overall expectation , term size , comfort , cleanliness style . staff encounter friendly professional . not require transportation arrangement concierge service , desk staff prepare assist anything need - able check bag bell room check enjoy sight leave airport . location can not beat - Union Square , chinatown public transit within easy walk distance . nothing like come back great room long day sightseeing ! 
 Jul 19 2009 	 ideal explore San Francisco 	 stay 4 night explore city pleased stay . hotel ideally locate road Union Sq step trolley car stop . old building full charm thick sound proof wall ! king bed comfortable bathroom huge . price € 80 per night really great value not mind fact breakfast not include . Lori 's diner hill great breakfast 50 's style diner .... full atmosphere . hotel offer car parking 46 dollar per day pick hire car third day next stage holiday Yosemite time discover cheap parking . road hotel , Stockton Garage Sutter Street . though street hotel entrance parking street ....... drive past hotel entrance enter garage right hand side hundred yard away . charge 26 dollar 24 hr stay 15 dollar park 5 pm 8 am next morning ! city garage also seem charge 45 dollar per day . make stay Orchard even well value . 
 Jul 18 2009 	 Nice Hotel - Excellent Location 	 book Orchard Hotel website , pre - paying save ton money great hotel step Chinatown Union Square . room spacious nicely appoint . bathroom huge ! inconvienice fact free internet access imite one computer per room . definately stay next trip San Francisco ! 
 Jul 16 2009 	 pleasant surprise ! 	 embark premier journey San Francisco not sure look . orchard good value seem good location tolerable amenity . upon arrival pleasantly surprised . location absolutely prime- block Chintatown , block downtown shopping , cable car around . perfect traveler go w/o rental car like . staff friendly prompt , even supply room dvd player front desk library choose . room even come robe amenity ( smell AWESOME ) . complaint would mini fridge room continental breakfast , value room cast , be worth walk 2 black starbuck breakfast instead . 
 Jul 15 2009 	 comfortable hotel 	 stay hotel 2 night preferential rate . comfortable pleasant small thoughtful touch not see lot hotel like example dvd rental free . be also right next Union Square . 
 Jul 15 2009 	 lovely boutique hotel great location comfortable room . 	 Orchard Hotel great place stay , 2 - 3 block action Union Square . perfect comfortable hotel , good staff . excellent cocktail lovely bar / restaurant DJ 
 Jul 15 2009 	 Nice Hotel close Union Square 	 nice smal hotel Union Square couple block chinatown . nothing fancy nice room , great staff , convenient nice end town . definitely stay . also , price right accomodation . 
 Jul 15 2009 	 Wonderful Visit 	 wife rate Orchard one good hotel ever stay . bed comfortable . room quiet even though face road . never wait elevator . great location - very close Union Square without crowd Union Square . try Uncle Vitos italian corner ! . friendly staff . welcome alternative chain hotel . well run comfortable . favor stay ORCHARD HOTEL . 
 Jul 15 2009 	 fantastic fantastic fantastic ! 	 Orchard Hotel good experience recent 4 week stay U.S. numerous city . conveniently locate , super helpful & amp ; friendly staff , beautiful room & amp ; comfortable bed grateful long haul flight prior arrival San Fran . highly recommend traveler fantastic stay fabulous city . 
 Jul 14 2009 	 Great Hotel 	 Great Location , Great Price , Great Service . the bed / linen especially plush comfortablea+ 
 Jul 14 2009 	 top place stay 	 stay Orchard hotel wife recommend anyone size style room also location close shopping union square right next hotel stop street car 
 Jul 14 2009 	 great hotel 	 brilliant hotel - great value money . stay recent trip SF five night . brilliant location explore city - really central right middle main shopping district . our room spacious , incredibly clean really luxurious . staff friendly , efficient helpful . I can not fault place - DEFINITELY stay next trip SF . 
 Jul 14 2009 	 Great Value Location 	 large room , comfortable bed , large bathroom , clean , friendly helpful staff . return next trip . 
 Jul 14 2009 	 Best Value 	 pleasantly surprised boutique hotel . friendly helpful staff , location close everything , downtown , Chinatown , cable car Fisherman 's Wharf doorstep . 
 Jul 14 2009 	 stay bed ! 	 wonderful bed ! perfect location , could walk everywhere . staff freindly helpful . great value fo price ! 
 Jul 14 2009 	 Lovely Gem 	 stay Orchard Hotel beginning trip celebrate 25th Anniversary . perfect way begin . street , idea lovely hotel behind door ! check , surprise delight , tell upgrade suite . gift await we help we celebrate anniversary . room lovely , importantly , comfortable ! bath clean roomy . although front hotel , road noise never issue ! great view . we enjoy complimentary breakfast - try scone - every day different none disappoint ! order nice side ham accompany meal one plenty 2 . fruit delicious - fresh . great way start day . find staff friendly accommodating . hard leave Napa ! lovely stay definitely back ! 
 Jul 13 2009 	 great location classic hotel 	 spend five night Orchard . be well away panhandler sex show Market Street two block Chinatown . ferry terminal Fishermans ' wharf walkable bus closeby . staff always responsive , houskeepe great . got good deal Southwest Air site less $ 100 / night . great place family couple . 
 Jul 11 2009 	 terrible service 	 well spend two night hotel , come first night tell king bed available . make reservation expedia say king bed . much say , honey moon feel kinda wierd sleep two different bed . ok one night .. cause reception say next day go get king bed .. think get one .. ! next day , tell still king bed available .. want could move different hotel . could offer we bed . hassel figure could one night .. ask kind compensation , maybe breakfast .. get lousy coupon bagel coffie , gla milk , pay 3 dollar extra .. oh god ! tell receptionist thought outrage . say think well ! well could expect ordre expedia , cause 3 . partner ... wow ! enough say ! 
