quite 	 stay 4 night Thanksgiving holiday slightly apprehensive base review . however , find Landmark almost perfect every regard . hotel beautiful , spotlessly clean , terrific public area lounge . unable check immediately flight arrive quite early , leave bag go explore London . upon return , room ready bag already deliver , kind reception staff member show we personally room . book low price , queen room , large ( swear bed large queen ) two armchair , desk , two large window overlook Marylebone Road , lovely bathroom nice amenity . issue road noise ( could barely hear odd ambulance go ) . service impeccable -- repeatedly order ice deliver within 5 minute every time . as location , bit beat track ; however , nice neighborhood number excellent restaurant within walking distance ( try Veyna excellent North Indian / Pakistani also marvelous experience ultra - sophisticated Orerry Marylebone High Street - also great shopping ) . convenience Tube station key , station also contain number food drink option coffee kiosk not want pay Landmark price . concierge service outstanding well . I book hotel via Expedia get good rate . give location , level service , beautiful public area excellent room , would highly recommend Landmark anyone travel London . 
 FANTASTIC ! ! ! EXCELENT HOTEL 	 come hotel back entrance , ( accross station ) staff carry bag reception , greate lovely receptionist . upgrade delux room executive room . our bag carry room we . place rack . staff EXCELENT thus hotel ! room fantastic ! big bath room fantastic ! breakfast hotel even super , staff bring amazing ! hotel fantasic , beautiful . and right accross station . I definatly return . Super hotel , super staff ! 
 Oct 17 2009 	 nice expensive 	 great old hotel one good one London , prepare pay big buck everything . breakfast price 30 EUR definitely worth cost . try pub breakfast Marylebone station instead £ 9 . 
 Sep 27 2009 	 everything price ........... 	 disappoint - room stunk stale cigarette smoke ( hotel allow smoking room ! ! ) £ 10 swim , £ 10 kettle ( tea / coffee making room ) £ 23 continental breakfast - rip top block £ 200 debit card 5 day , without ask tell checking . never 
 Sep 13 2009 	 big room london .. expensive breakfast 	 limit choice .. love location , quiet central .. room huge ! ! nice decoration even Tv really eightie ! sofas need upholstering ! rest great .. attentive staff .. 
 Sep 13 2009 	 Lovely Hotel 	 book stay Lastminute.com get bargain ( £ 150 night ) .arrival hotel friendly , check deal promptly , upgrade think family room . 2 double bed room size flat . sofa , 2 armchair table - word spacious . the thing say hotel ( lovely - clean , bright ( 4 double window ) comfortable , lack tea / coffee make facility . get coffee room service would cost £ 5.00 per person think bit extravagant pop cafe road instead . like coffee bed morning bit disappointing . our room first floor , peaceful , could barely hear road noise outside sleep really well . all hotel beautiful , staff friendly location central . afford splash restaurant atrium look amazing ! ! wonderful indian restaurant couple street away call Cinnamon Spice great food drink include come less £ 35 two . 
 Sep 7 2009 	 Outstanding 	 outstanding Hotel look great day even well evening palm tree excellent effect ! Sunday Brunch fantastic vast sellection food , free flow champagne good service . evening dinner outstanding . palm tree light winter garden restaurant live piano player atmosphere great . again selection food , wine service 5star . the room large , large room see hotel , two t.v ` comfortable . bathroom also large bath spacious powerful shower ! entire experience Landmark one would love repeat would recommend one look something special ! ! 
 Sep 1 2009 	 beautiful hotel hide charge 	 arrive Landmark Hotel , lovely hotel grand . room clean , large complaint . hotel good position tube station back . pick Hotel pool , know book £ 10 day use pool , would expensive morning swim go sight seeing . also son take lap top internet charge £ 14.99 day . breakfast £ 25 day cafe corner sell brealkfast £ 5 . fault hotel , complaint extra charge . 
 Aug 30 2009 	 great stay 	 stay one - night trip London recently . due work commitment cancel week - long wedding - anniversary trip Europe attempt salvage time leave . hotel excellent . upgrade massive room huge bathroom . love fact overlook tea - room , bar restaurant = great view . room spotless , elegant , quiet . spa good . location excellent , right opposite station . would definately recommend hotel can not wait return . 
 Aug 23 2009 	 Disappointing Disappointing 	 take advantage special rate £ 327 Suite ( standard room £ 190 ) . always like decor interior hotel boutique appearance . however , disappoint small size suite retrospect hotel compare good hotel London would like flat comparison . course take trouble enquire could probably discover suite sub standard advance although previous occasion , ask view room , tell whole hotel full . take cue original put - off ! would churlish deny Winter Garden excellent restaurant good service pleasent ambience one would expect top end hotel one ! give late 3 pm check request , although kind rate one would expect less . somehow hotel not manage deliver suggest , price , acceptable . 
 Aug 22 2009 	 Exceptional hotel 	 Catching contribution Tripadvisor , want share excellent memory stay Landmark . occasion company seminar regret along romantic getaway rather ! pass door enter world refinement , spacious , bright elegant . forget Marylborne road rush hour . volume , architecture , decoration , atrium palm tree ... set refined relaxing atmosphere . room exceptionally large London hotel ( many deception room size London , enter room Landmark amazed ) . also elegantly furnish decorate . room sit area ( sofa , coffee table ) . colleague enjoy suite . bathroom also roomy , bright shiny bath shower , perfectly catered amenity . checking go well , fast smooth . staff nice professional . take care food via seminar , experience restauration site ( regular client ) ; keep busy could enjoy swimming pool spa . wait go back leisure trip ! 
 Aug 17 2009 	 really great 	 lovely stay . travel husband , 6 year old 2 year old . family room 2 double bed ( cot 2 year old ) . room really good size sitting area . bathroom large , clean , completely new . staff great , efficient friendly . everything tasteful high spec . room quiet . location excellent.the 3 small complaint would would 1/ coffee make facility room 2/ even though be pretty epensive stay , still pay extra use swimming pool , bit much.3/ bed little bit hardhowever , would definitely stay ... ' m feel flush ! 
 Aug 13 2009 	 Excellent hotel 	 stay hotel several time business find one good hotel visit . staff amazing - always friendly polite concern . room beautiful large . dine fantastic . fact enjoy much next week come stay - holiday - instead business actaully see London sight ! look forward stay much indeed - especially use Spa ! remember date stay date review probably right ! 
 Jul 26 2009 	 spa - make weekend 	 Fantastic Hotel . beautiful building . staff helpful . ice cake spa . lady call Sarah perform 90 min full body massage divine - thank Sarah . would definitely return . pleasant stay . 
 Jul 25 2009 	 Rude service 	 stay sort football team stay . take picture hotel security person came ask leave . say guest argue back photographer square fight . left go round front desk get back hotel . room smell smoke hardly natural light . never . 
 Jul 23 2009 	 would definitivly stay case get good offer 	 like & quot ; english , victorian style & quot ; house room , hotel . interior luxurious , room big beautifull , staff little english ( respectfull , nice , little distant ) gusto - hey , England ; ) tv last century , not watch much tv anyhow ( especially travel rather sightseeing ) stupid use tresor , nothing steal not fear stuff kind hotel anyhow ... internet expensive ( 15 GBP ) even & quot ; business area & quot ; ( reception tell ) pay , big problem , tv.the bath room beautifull large , supprised toilet small room compare room / space . normal price room hotel start around 700US $ /540EUR+ night , whole lot money , afford get 50 % discount ( like ) , absolutely worth spend good time London stay here . btw , use Tube / subway lot hotel deirectly Marelybone Station , much nicer , use taxi London 's crowd street - opinion ... 
 Jul 13 2009 	 Fantastic 	 struggle find hotel one night break London , many year ' ve always stay Conrad Chelsea ( Wyndham ) Cavendish Jerymn St . fully book spend hour try find alternative . disappoint Landmark . room great size , clean , fresh , wear sheet carpet etc . choose champagne room leave chill mini bar ( call check we , however partner later point card table explain ) reception staff helpful , even send second bottle slight confusion , regrettably inform mistake ! ! location spot , can not think hotel 's close good tube station , also , taxi 's centre £ 9 , nothing complain door door service . pricing hotel think two instance fine , yes breakfast £ 22 £ 25 , yes consider egg bacon price lot , point go rate London hotel , ' ve pay nearly double .. be one thing expect , problem could note hotel parking fee £ 40 6 hour , feel , give price room , expensive , Conrad Cavendish £ 20 's .. Vinci Park lane also similar pricing , £ 40 pluck air , relative value give hotel service .. non guest 's car could understand , be pay large sum money room spend even dinner / drink / room service , last thing need eye popping car parking price say venue . I also note charge use spa / gym . ridiculous ! 
 Jul 12 2009 	 Excellent — Caveats 	 recently spend five night Landmark , part , extremely pleased . room huge bed comfortable ' ve encounter hotel . bathroom luxurious entire hotel spotless . downside , tv virtual relic ( price , one would expect flat - screen unit ) many staff member seem either inexperienced ungracious : one concierge personality piece dry toast , front desk difficult time explain wait 12 hour erroneous 45 - pound breakfast charge remove bill . 
 Jul 11 2009 	 great hotel Wembley event 	 Landmark fantastic hotel front , especially visit London Wembley event . marylebone station doorstep offer direct route Wembley run frequently . chelsea football team stay play FA cup final last . 
 Jun 30 2009 	 look back 's hard imagine well place stay 	 Landmark Hotel wonderful many different level . hotel apparently build Ritz , developer decide different site . since not stay Ritz , can not imagine would better somewhere else . prefer travel busy place oppose heart . Landmark across street beautiful Marylebone Train station Tube anywhere . walk Baker street , private park , shop Wax Museum . room luxurious well thought . spacious , comfortable , nice bedding , superior staff . cute little bar night , Mirror Bar great place late night pop ! food excellent . breakfast morning , wonderful choice basic special dish . ( Note Management : Sylvia 5 - star plus service person ) great hotel staff know guest . great hotel . base price Europe , place steal ! 
 Jun 28 2009 	 Superb staff 	 Staying Landmark fantastic experience partly amazing building mainly result absolutely wonderful staff . moment enter hotel warmly greet every single member staff come across . seem genuinely concerned whether good time . highly unusual particular & quot ; luxury & quot ; hotel stay . nothing much trouble staff couple fantastic surrounding make totally memorable visit . would like thank every member staff congratulate people charge staff recruitment training great job . 
 Jun 28 2009 	 Coffee would nice ... 	 stay last night treat may partner . hotel well locate right beside Marylebone station , check - in efficient friendly . our room bog standard ' Superior ' room , well appoint everything one could want ... Apart Coffee make facility . big bug - bear , recognise type people stay will not mind much pay £ 13 ( plus tip ) two room service coffee morning , us bit budget . want room service order , not least option kettle couple sachet tea / coffee . eat Wintergarden evening , stunning setting , attentive un - fussy service . would probably recommend afternoon tea , rather dinner , somewhat overprice ( although food well average . please not serve solid butter , though ) , owe architecture , lend intimate , romantic setting . ask smoking room , past disappointed standard room , reek stale smoke , however trace Landmark - credit housekeeping staff . breakfast include price , hotel laft we note evening , suggest might like take breakfast room , hotel full occupancy . choose , take chance downstairs , plenty room . lot breakfast choice , ask Maitre ' choice include price . say unsure , would check , let we know . not , companion opt ' continental ' breakfast ( cheap option ) . also order egg benedict . continental choice somewhat limited , would like pay full price ( £ 22 ) fruit , choice two cure meat , pastry muffin , cereal . fruit lovely , price , would never pay amount unless include . , love time Landmark , would eat agin - standard live price . 
 Jun 26 2009 	 Perfect hotel ... could ask 	 Stayed last night deliver expect . true 5 star hotel . room , food , service experience good . I tend agree wifi pricey , breakfast ... frank ... every good hotel London . my room luxurious court view . room service prompt excellent quality . someone mention place pricey £ 140 .... ! could get place normally silly amount money .... get 3 star city sort money ! pay £ 400 plus live life make ..... 
 Jun 21 2009 	 Read review TripAdvisor 	 Three we , father , mother 16 - year old daughter , stay three day Landmark wedding . book large room could stay - large , fine view two side . know expect , look review TripAdvisor site . , breakfast lunch / dinner across road Marylebone Station ( 20 second away ) local area , not use minibar , not order anything bar room service ; expect tea coffee kettle room . take morning paper . employee hotel pleasant helpful , check - in -out easy , room hotel clean quiet . problem - though three we , room set two - bathroom include two face towel two bath towel , two glass toothbrush , etc ; bulb toilet went ( replace quickly inform front desk ) ; long walk lift room . all - in - all , location quality hotel make minor inconvenience . wedding excellent . fine hotel . 
 Jun 20 2009 	 5 - star luxury 	 huge , hulk hotel lavish exquisite wonderful heart London ' Marylebone district . first put little enormity size get hang , wonderful . check , ask want upgrade deluxe room 20 GBP night … and take . , room large perfectly comfy . bath tub large walk shower … a true luxury rarity London , even upscale hotel . service courteous polite . basically , place exactly expect 5 - star hotel … problem ' anything expect . service flawless ' personal . sometimes , want luxury … you also want little personality . plus , LOVED new Two twenty two restaurant . eat lot suprisingly , expensive . stuffy either . 
 Jun 1 2009 	 beautiful hotel great staff lovely bar 	 stay one night ( Saturday ) . lovely hotel visually room / staff / location perfect stay london , want avoid west end hotel fancy somewhere Mayfair . great location , close Marylebone high street Regents Park . 
 May 25 2009 	 family 1 # hotel london 	 good london family .. take word london many time room landmark well ... spacious kid u need spacious .... family room huge like suite hotels london .. good value money .. vey nice staff .. return costumer moment tell charge extra bed way agree pay wen book online ..... love big homey luxurious hotel soooo warm winter u feel cuddle u .. new home away home .. thing bother u need take taxi ride 5 min get anywer .. u get mark n spencer little shop oppisite anything u need .. kid u definatly need thing ... truely recommend hotel family . 
 May 21 2009 	 wow ! 	 absolutely love hotel ! got great deal last minute lastminute.com ( London ) & amp ; beautiful luxury hotel . loved room & amp ; restaurant & amp ; store across street . experience fabulous service concierge well server dinner . highly recommend place . 
 may 17 2009 	 decent hotel family 	 spend sometime London see historical site young child . Landmark Hotel offer large average room ( London ) nice setting . food bit british kid , enjoy . Landmark centrally locate attraction Tube stop . expect , Landmark & quot ; value & quot ; hotel , expect pay dearly . I say , pleasure deal & quot ; british stuff upper lip & quot ; hotel unlike many find Mayfair . 
 Apr 29 2009 	 superb hotel 	 couple minor gripe hotel list first.1 - Shower . shower awful , either scald hot freezing cold , way could get suitable temprature it.2 - TV . minor point least expect 2009 decent tv . one room look like survivor 70s.3 - Gym / Pool . pay top money place would expect leisure facility build price . case pay £ 10.00 per person use pool . gym etc . say leisure facility first class . other point place amazing . 5 * good grand scale . stay satndard double room good size spotless . ' White Company ' toiletry real plus . staff incredibly professional helpful could enough you . the Winter Lounge stunning Mirror Bar perfect place one last drink meal ( quite expensive would expect ) .I would give place 9/10 recommend everyone , certainly one good hotel stay . 
 Apr 1 2009 	 Fantastic Stay fantastic hotel even well service staff ! ! ! 	 nothing add . fantastic experience moment book check even . 
 Mar 28 2009 	 Excellent hotel price could give free WiFi breakfast 	 book luxury hotel one night brother host wedding reception . standard double room £ 140 exclude vat , little pricey even London , opt stay convenience . the staff service faultless , right checking ( escort room ) pre - dinner drink exceptional dinner service . room average size overlook Winter Garden , atrium area . one party stay hotel night we move room - restaurant atrium serve fish room stank ! tea coffee room , call housekeeping borrow iron . bed firm fit lovely white cotton sheet . another nice thing upgrade brother new wife Bridal Suite extra charge . we not try fitness suite / pool , far could tell information room , would cost we £ 10 day use . however , sort price think could give tea coffee make facility , access WiFi ( £ 14.95 day otherwise ! ) throw bit breakfast . otherwise cost £ 25 eat bacon egg restaurant , quick trip across road Marks Spencer anywhere Marylebone Station something eat drink . I would recommend hotel wedding , stay , money object . 
 Feb 7 2009 	 great location 	 wife London last January long week end . several time decide change hotel , usual could not find well deal Landmark . let share point view . room large clean special London 's standard , touch old England . second location unbeatable walking distance commercial center city subway across street . and last least book early get competitive rate . hotel fit budget , place stay London . 
 Jan 23 2009 	 Great - get high standard room 	 ' ve Landmark twice . family , stay Family Room . second time go friend , stay Superior Room ( basic choice ) . want spend much money , hotel . Superior Room horrible . small normal room Holiday Inn . however , want spend lot money , get deluxe room , suite etc , enjoy stay . fantastic hotel , spend right amount money . 
 Jan 6 2009 	 huge disappointment - overprice noisy sleep unhelpful staff 	 stay Landmark night wedding bridesmaid , wedding night husband . consider one London 's expensive hotel , massive disappointment . on night , function hotel , decent night ' sleep option . first night noise bad could hear , feel throb floor vibrate furniture . complain ask move another room , take hour achieve , thump music function room could still hear . the room key fail work two occasion , locked room twice , huge inconvenience , especially lead wedding trying get ready calm environment . second time key fail work , desk staff tell we have make mistake room unoccupied , even though book luggage ! make stay stressful . to add insult injury , hotel refuse let friend also hotel guest buy we breakfast gift , staff really unhelpful . also , check - in , staff available help we luggage , take bag , 5 star hotel one would expect . they also charge quite high price internet , day age ridiculous . 
 Jan 2 2009 	 luxurious expensive extra 	 enjoy two night visit five star property , third year . ' superior ' room spacious well equip . hotel carefully manage staff friendly competent . might see location centre public transport link excellent - include Underground station outside door - hotel within 15 minute walk well end Oxford Street . building include atrium garden restaurant general feel luxurious . none come cheap - room sometimes well discount - extra overprice , especially relatively poor internet access ( e.g . in - room WiFi ) . recommend traveller know London well tight budget . 
 Dec 12 2008 	 Landmark - slightly Disappointing Stay 	 stay Landmark business November 2008 . excited hear good thing hotel . stay horrible , overly impressed location hotel . arrive early London hope early check - in . hotel full night therefore luck . understandable - issue . get check later day , room second floor immediately lobby overlook Marylebone . extremely loud close street ask move high room overlook atrium . staff accomodating find different room . room quite large , relative London standard bed quite comfortable . the location convenient Marylebone Station ( directly across street ) block Baker Street station access tube appreciate . what lessen impression hotel actually happen business colleague . arrive back hotel first full day work key not work room . go front desk get new key go back room . open door , find room quite disarray . bathroom ceiling remove many fixture strew across floor bath sleeping area . none belonging move , inform would work do room day go . complain room request work do . call front desk ask occurrence time tell bathroom pipe replace plan assign different room would get belonging pack , would send bellhop assist she . this lack consideration forethought hotel management disappointing . management not offer upgrade compensate inconvenience . hotel reputation quality service Landmark , would expect well . 
 Dec 9 2008 	 always joy 	 wife stay Landmark many time last 10 year . also stay business occasionally although ' ve also try Ritz , dorchester other keep come back . we go couple friend city break stay Executive room second floor overlook Marylebone station . ask two room together look outside , . like atrium view room darker . we great time friend love . room , always huge , beautifully appoint spotless . reception staff brilliant friendly . take bag we rear hotel although room not quite ready room eventually get key , fuss , do . we B & amp ; b package Champagne always be probably good thing else end feel breakfast price bit steep . hey , be 5 star hotel one world ' great city not time . I notice remark poor service honestly sort know mean . not poor really sometimes experience wait food order occasionally year ' ve stay , 's rare never really stop we come back . Winter Garden fabulous afternoon tea breakfast there . afternoon tea great value ( £ 35 head ) remember keep give plate plate sandwich , cake scone well pot pot tea . also champagne 's good value really age get thoroughly stuff ! good bit always see someone famous visit exception ; Jasper Carrott ( ironically live 5 minute live ) breakfast table away . last time Engelbert Humperdinck . truly one world great hotel ' ve travel stayed suppose 5 star not even come close . great location , especially we always arrive train Marylebone rear hotel . not even get wet 's canopy station hotel . 's also 15 minute walk Oxford Street , Regents Street etc . 
 Dec 3 2008 	 fabulous hotel throughout 's complimentary tea coffee ? ! 	 stay Landmark last Saturday night two friend , would rock concert want somewhere spacious , also luxurious crash ! ' ve actually stay hotel use Regent . thing improve since , especially spa . even standard twin room Landmark suppose large hotel room London right . room lovely big enough sleep four , two large king size bed bathroom incredibley nice spacious . big disappointment five star luxury hotel would least expect complimentary tea coffee bedroom nothing ! really annoyed , mini bar price rip - off ( often ) almost hotel free tea coffee make facility , even Travel Lodges budget hotel chain , Landmark , consider one good hotel London ... ? despite one major thing miss room , find bed comfortable room pleasant . toothbrush razor free really nice bathroom toiletry . indulge spa next morning great , £ 10 charge use swimming pool , gym facility ( unless book treatment ) . pool area relax quiet outside member club , hotel guest use day spa guest , rarely get point many people . man woman 's change room separate steam room unisex sauna pool . would disagree reviewer say service poor , staff friendly helpful time we , guess different people opinion . would stay Landmark , next time expect put tea coffee make facility charge ! 
 Dec 1 2008 	 Liked Landmark 	 fringe London 's West End hotel locate close marleybone station . Landmark hotel grand affair stunning restaurant / atrium area reception . hotel traditional style service . whole find staff pretty good , amazing . try hard see really interested . whole quite typical London . room receive grand , overlook atrium king size bed , marble bathroom , settee , desk ..... large . bill Landmark pretty large also ! overall would say good stay would definitely return . 
 Dec 1 2008 	 Perfect every way - well almost ! 	 stay Landmark enjoy two delightful stay think time share view . location fantastic - immediately outside concourse Marylebone station opposite & amp ; convenience store . moment walk hotel experience feel opulence luxury . contrary review site well look pleasure serve we ! reception staff restaurant staff ; room service door staff - highly professional thoroughly courteous . executive room second floor superb . spacious , beautifully appoint spotlessly clean . absolutely complaint . bathroom huge bath , & amp ; sink large walk - in shower . minibar well stock ( expensive £ 10.20 G & amp ; ) request iron ironing board sort within 5 minute call housekeeping . the minor complaint breakfast Atrium Winter Garden could serve warm overall could not complain quality quantity despite £ 28 per head price tag . buffet excellent time add full english breakfast well set - up journey home . thoroughly enjoyable stay certainly return ( ! ) 
 Oct 30 2008 	 say Landmark poor service ? 	 really perplex review rate poorly Landmark due inefficient service . experience everyone extremely polite , helpful , respectful considerate , anyone would expect old - fashioned 5 - star hotel . opinion , Landmark one good 5 - star choice London . firstly , tend less expensive hotel caliber , especially book agency eg lastminute . secondly , practically attach tube station even shelter cross road station one get wet rain . thirdly , 10 - minute ride Paddington , thus great Heathrow Express . lastly importantly biggest standard room ever see city hotel . executive suit place like Claridges , instance , small . problem internet connectivity . wireless mon - fri , business centre consist one computer extremely overpice . , really . Landmark great place stay , like traditional luxury , full golden , palm - tree , thick carpet , middle - eastern japanese tourist grandeur . 
 Oct 17 2008 	 never againthe experinece terrible 	 experience terriblestaye one night never . overprice everywhere specially food , breakfast slow service £ 25 ! ! ! . 
 Oct 13 2008 	 beautiful hotel awful service 	 Landmark beautiful hotel convenient setting ( handy Heathrow Express , shop cute Marylebone , Regent 's Park , Bond Street , etc ) really look forward stay . arrival not disappointed , check - in quick painless ( although get name wrong check - in form & amp ; welcome note room ) , room great . room large & amp ; comfortable , great bathroom , overlook enclose central courtyard ( Winter Garden restaurant ) , please complimentary bottle champagne arrival . the problem not really start go restaurant . food dinner wonderful , take long time take order service slow . food lump metal , offer replace meal decline , charge . breakfast buffet real smorgasbord , something everyone , service ridiculously slow silly mistake - one guest table order vegetarian omelette specifically say not want meat plate . hot breakfast deliver well everyone else 's ... bacon ! send back remove bacon plate send straight back , extraordinary . we ask table clear first course , ask clean cutlery hot breakfast arrive , want bill ignore staff good ten minute . the hotel lovely , get food lovely , service restaurant disappointing really let rest hotel . 
 Oct 12 2008 	 ok short staybut special 	 Landmark hotel great atrium breakfast and/or dinner . aware : price breakfast 25 Pounds , buffet average . the room spacious ( London room ) , staff polite little bit reserved . I find disappoint enough warm water 8.00am take shower . apparently warm water facility sufficient multiple people take show time . 
 Oct 11 2008 	 awful service - simply not care 	 book one night stay Landmark Leading Hotels World service membership special celebration , contact hotel advance check detail . first contact ( repeat ) email , receive & quot ; office & quot ; auto - response , seem rather strange . phone due nature enquiry say would call back . not ( twice ) eventually write - , response . could cancel choose stay elsewhere . hotel suppose 5 star service quite awful - seem recur view ' ve read review . ' ve write matter principle receive kind hold reply , week ago still receive proper response . conclusion : not bother ; even London find well level service price . 
 Oct 8 2008 	 great stay Landmark 	 upon friend 's recommendation reading review , book stay Landmark seven day wife eight year old son . love . spacious room , big bathroom , warm room cold december . staff keptour extra baggage charge travel italy 5 day , come back one night top quality experience . never see anything magical electric London Xmas time light eager excited shopper . every meal good food matter restaurant choose . far different school day early 1980 . course return money leave . phew & gt ; great memory 
 Sep 24 2008 	 Great Hotel Great Service Great Location 	 stay May 2007 , want somewhere special celebrate 5th wedding anniversary . we excellent Atrium Suite , furnish high standard extra would expect top hotel . room spacious , clean fabulous view . the staff helpful unobtrusive bar lovely , serve wide range drink comfortable seating . , staff helpful attentive . the location ideal great base explore London , tube Marylebone train station across road . breakfast food general pricey , good quality serve lovely atrium , airy great relax in . all , great hotel experience , would definitely stay would recommend . 
 Aug 28 2008 	 lovely hotel ancient time worth 5 star 	 overall impression quite ok . 's old English hotel nearly feel past time . stay personnel extremely hansome helpful . room large well equipped . two major negative point fact window open overall cleanliness room . daughter manage find toy leave former guest behind curtain ! use extra seem quite expensive . hotel focus mainly rich Arabs hotel full stay Ferraris ligne front entrance . 
