Great 	 Hilton away great business hotel , Thanksgiving weekend , perfect hotel location go mutliple play . NYC many time , convenience time fabulous . hotel perfectly locate middle everything well well run , good service . lovely high level room . one small , encounter rude breakfast waiter big hurry get shift 11 , odd exception . 
 Sep 29 2009 	 would recommend hotel ? New York minute ! ! 	 stay one week ( 9/19 thru 9/26/09 ) celebrate 30th wedding anniversary . time step taxi , treat royally staff . doorman bellhop friendly courteous , give we exact direction check - in ( lobby 21st floor ) hold luggage . check go room , luggage deliver within minute . bellman quick ask room meet satisfaction , ask stay , point sight visible room window , offer advice area eatery ... exceptionally friendly . we arrive hotel early , early check - in not problem long room ready ( ... not ready , could check baggage go sightseeing meantime ; set - up situation ) . front desk staff friendly accommodating . the room amazing -- - 35th floor , Lower Manhattan view , Empire State Bldg Statue Liberty right . room & quot ; Hilton clean & quot ; roomy . bed super comfortable . location hotel exceptional . step 42nd Street be action hustle - bustle Times Square area . subway access -- - Times Square station 1/2 block east Port Authority station 1/2 block west . Times Square proper 1 2 minute walk . location , Manhattan beckon call . another nice aspect hotel availability Hotel Concierge . use service several time never meet anything friendly , helpful attitude sound advice direction . I can not speak value since stay cover Hilton HHonors program ... another aspect Hilton get high mark . many thank Hilton Times Square staff ! make stay pleasurable one location help make week memory last lifetime . 
 Sep 27 2009 	 Location 	 stay Hilton Times Square 1 night 1 September catch bus Massachusetts early next morning . , handy Penn Station & amp ; Port Authority Bus Terminal . return 6 night stay 5 - 11 September . wonderful location . could see Times Square 28th floor window . walk 2 minute . good size room , usual Hilton standard bed & amp ; fixture . staff friendly & amp ; store main luggage whilst Massachusetts . negative rather expensive ( australian view ) internet access . free access like many hotel New York suppose . saw 3 great Broadway show stay , within minute walk , include fabulous Jersey Boys . must see show like 1960 & amp ; 1970 pop music . we really enjoy stay New York & amp ; Hilton Times Square . 
 Sep 14 2009 	 RUN HOTEL ! ! ! ! ! 	 HORRIBLE Hilton ' ve ever stay . will list Positives first : Room ' ok ' - location ' great ' .... 2 thing would never make come back Hilton Property . rude people horrible service ' ve ever encounter ! ! ! ! Hilton need send ' mystery shopper ' hotel stay week observe horrible place . would immediately remove ' Hilton ' logo front . will not bore every detail - suffice say - experience traveler - horrible staff service ever travel . Hilton member - stay Hilton Avenue Amercas . RUN Hilton ! ! ! want stay right atTimes Square area - try Marriott Marquis , Crown Plaza Times Square Doubletree . stay hotel ! ! .... unless ... love horrible , rude staff ... love horrible service . go ahead .. stay enjoy . ... will never back Hilton ever ! ! 
 Sep 12 2009 	 Rude Ripoff Manager 	 stay four day ... good thing location . employee barge check fridge content , phone maid service , Manager agressive ask double charge $ 15 internet fee , charge extra $ 15 use i - Touch .... say bad read fine print . get charge every IP address .... many pensioner know , put hand . way , not eat Applebee 's , expensive .... wine Hotel bar $ 10 per glass .... good grief , tourist rip - off rear ugly head . thank lot Manager Lowe . 
 Sep 8 2009 	 good view room excellent location 	 's excellent Hilton hotel center NY - Times Square around corner , subway . view window depend want see course - mine could see statue liberty empire state . the room spacious far ny standard , clean look new . pro : phisically locate center everythingclean pretty Hilton - levelcons : - see cockroach last day , inside table : ( 
 Sep 6 2009 	 good location would stay somewhere else next time 	 Stayed weekend . staff unfriendly , room run bit shabby . expect . top heating not work properly either . got cheap deal room otherwise would find somewhere else . suppose view times square room , press window .. 
 Sep 5 2009 	 great location service 	 college - age son NYC 1 night stay hotel . great central location , half - block general melee Times Square still smack middle theater district . subway stop step away hotel entrance take we US Open quite easily express train . taxi driver bite trouble find entrance . front desk staff great , cheerfully accommodate request late checkout , offer 1 pm 2 pm say ' m Gold member . bellman store bag retrieve promptly happily , doorman quick hail cab we . use Reward coupon , since rate time seem quite high . gold membership give breakfast coupon do not opportunity use . room large NYC standard . downside & gt ; concierge lounge . shower strong -- take quite long time rinse soap hair . curiously , many large hole sheet . 
 Sep 3 2009 	 order work capacity bellman must ` ` not know / do not care '' pat . 	 call hotel advance stay ask question . answer receive null void actually stand desk . if call hotel transfer & quot ; Accounting & quot ; - leave message . never go call back . do send faxes hotel advance stay . one know talk actually stand desk . even name - talk via phone 4 time previous 24 hour - perfect blank stare negative shake head . do ask question staff member answer word & quot ; No . & quot ; expect explanation , offer alternative , acknowledgement question . & quot ; & quot ; word choice limited vocabulary . do request early check - in . even be write reservation confirmation - people desk & quot ; not know ; not care . & quot ; ( * know never guarantee . know first come / first serve , etc . - however , printout receive not expect tell every time check , & quot ; name list . & quot ; happen personal reservation reservation friend come next day . love , , told & quot ; give cell number , call room ready & quot ; glimmer hope someone actually go helpful - 4 hour later still receive phone call ( 2 hour past schedule check - in time ) - tell , & quot ; ' ve check bunch people already , least another hour room ready . & quot ; request foam pillow . , even 's printout receive back Hilton- get hotel & quot ; not know ; not care & quot ; can not believe nerve ask . , & quot ; plenty pillow bed - need ? & quot ; ( Allergy evidently non - existent planet people escape . ) make special request . staff live not know - not care - dare ask ? ! find dry cleaner . give clothe dry - clean . tell & quot ; 9:00 - 5:00 & quot ; receive periodic phone message , & quot ; clothe ready . . . & quot ; actually lucky receive within 36 hour . . . .in interim period , ask not receive back yet , tell , & quot ; not know leave message room , whoever lie . & quot ; order coffee restaurant afternoon . turn pot breakfast not know make . not accept cold cup coffee , glad microwave . possibility make fresh pot nonexistent . the location okay . room nice . room service food good ; restaurant ffood . helpful people hotel bellman ground floor . enter actual hotel facility , another world entirely . individual & quot ; typical New Yorkers & quot ; - actively rude grossly unaccommodate . it personal belief whoever make assignment among Hilton employee , gather rude incompetent worker place one facility . next time will go back New York Hilton always receive excellent service HiltonHonors level care . this HiltonDishonors well . 
 Sep 3 2009 	 somewhere would stay 	 strange hotel , strange guest coming go noisily time night , dirty grout shower unhelpful staff level ( wait half hour bell - hop help heavy case abandonne ground floor ; desk staff surley unhelpful etc . ) - overall big disappointment , stunning rooftop view . 
 Aug 20 2009 	 WOW ... great hotel room location service . 	 place ! . inside rather uninvite entrance greet buy porter take bacgs reception floor 21 . check efficient nad roomhad amazinfly comfortable bed view die overlook NYC al empire state building right . restaurant bar weer pricey expect take advantage excellent food serve & quot ; & quot ; restaurant , staff extremely polite food lovely hot prompt attentive serbvice . staff happy give advice tip local place eat drink visit . 2 min walk time square theatre . 10 min central park Empire state building . subway end block really great place . 
 Aug 19 2009 	 Perfect location perfect holiday 	 excellent hotel decent size room . kid view empire state building time square equally fantastic though . hotel around corner thing would want see short trip Big Apple , include times square , madison square gardens , 5th avenue central park also sightsee bus pick point . would recomend wait get ticket bus base weather wet despite cover still damp . however useful go island get ferry statue liberty ellis island . we breakfast hotel come HH card good quality kid really enjoy . cocktail bar little small fine kid wer not go would go drink . ice skate central park ablast well worth - kid also like 'cos apple store across road ! ! would also recommend hard rock cafe Times Square - cheasy good atmosphere great staff . would also recommend stretch View marriot buffet service . worth ride elevator 86th floor ! ! ! would definitely recommend hotel particvularly kid want easy base break also staff hotel could do make we feel welcome . 
 Aug 12 2009 	 Good Spot ; so - so Service 	 pick hotel since take good friend NYC see premier Harry Potter . figure location , Hilton Brand name , status Hilton would great experience . location great - right heart Times Square . able walk everywhere ! ( ( Love Walking ) ) . view okay . bit hassle take elevator ground floor 14th connect elevator guest room . make go hassle . rate high - expect NYC , keep mind . the staff good . nothing great stellar . try make special request prior arrival easy . sort surprised . able . room ok - small standard . gym terrible . go . breakfast morning buffet really bad selection item fresh could . trouble movie one afternoon quickly fix . probably well hotel area superior service . good though , service thing probably impressed . 
 Jul 31 2009 	 good location lack element 	 stay six day transatlantic crossing QM2 . hotel ideally locate explore New York . room fair size clean tidy upon arrival . check efficient although staff interact polite friendly ; lack enthusiasm . concierge helpful booking dinner 4th July firework go way find something suitable we . facility room one would expect ; disappointed find room rarely make well afternoon . sometimes would return day shopping find room still clean bed make , despite leave tab door handle etc . day leave room not make . complain do sure would address , disappointment say least . feel quick change cruise party stay , personal touch miss . location good thing experience , fair would put stay . Hilton hotel stay much well experience . 
 Jul 29 2009 	 Excellent hotel great location 	 stay Deluxe Double- room large facing towards downtown . view fantastic much well 42nd Street . evening turndown service nice . staff efficient friendly . hotel relaxed feel Hilton NY close . tourist could disadvantage business people . room spotless clean within hour departure . would stay hotel . 
 Jul 29 2009 	 Nice hotel except fire alarm ! 	 stay Hilton Times Square two night . location could pro con . heart Times Square great first time tourist , be avoid area , especially weekend . street incredibly crowd take forever walk back hotel ! hotel fine . room spacious clean . real issue fire alarm go 3x 's second night . complain desk clerk check , since & quot ; prepaid & quot ; could take mini bar charge $ 4.62 ! contact Hilton Guest Service get reply manager quickly . however , offer refund future upgrade breakfast . help return , I m sure . hotel ok . 
 Jul 26 2009 	 one favorite NYC hotel 	 nice hotel right middle manhattan , close restaurant shop etc . like stay large modern room . try one around time Sq Hilton much large room Westin W. downside charge 13,99 internet , free . 
 Jul 18 2009 	 Room view peaceful oasis high Times Square 	 stay 19 year old daughter six night reward stay use HH point 3 - 9 July . allocate room top ( 44th ) floor complimentary breakfast due hh status , hence judgment value money . room clean , spacious great downtown view Hudson Empire State Building . breakfast vary plentiful , although hosting leave something desire - one go way seat , perhaps 's way operate . not eat meal hotel , sit bar time watch baseball . drink around price would expect major city centre ( around $ 16 glass wine soft drink ) . reception / front desk staff universally pleasant , concierge helpful one occasion ask assistance . housekeeper meticulous manage work around erratic pattern room . windows dirty mention previous post , watch Macy 's 4th July firework room end switch year East River Hudson fantastic view one barge leave . great sit bed go dark downtown / New Jersey city view lay front we . this really great spot & quot ; tourist & quot ; stay , even Times Square busy occasion . much within walking distance ( Grand Central Station , ESB Madison Sq Gardens , lovely Bryant Park outdoor reading room , Broadway , etc ) . could not well serve subway - almost line run nearby get downtown , able take 7 block away citifield watch Dodgers V Mets game - special express return mean back Times Square within 30 min game end - know get large number people away stadium quickly . week long subway pass around $ 27 fantastic value money , not use taxi except JFK back . we great food Battery Park Cafe , good indian meal Chelsea / Gramercy Bombay Talkie another good meal Harbor Lights South St Seaport . TGF convenient first night food consistent tgi location make really pricey . also set Sardini 's finding full ended quieter Angus McIndoe restaurant door good - suspect timing miss pre - theatre crowd . lunch Rock Center Cafe , excellent service expensive share entree ( even much food ! ) daughter love hotel location , happy review right hotel oasis tranquility bustle Times Square , think would spend much time get around stay uptown originally plan . 
 Jul 17 2009 	 fabulous location - really helpful 	 go ny honeymoon & amp ; could not choose well hotel - location us superb , room clean , spacious comfortable , staff pleasant , welcome helpful , would definately choose destination & amp ; hotel - advise friend use hotel - opinion us - fave holiday far 
 Jun 19 2009 	 good experience 	 June 12 - 16 stay , nice size room , clean , friendly , attentive staff , great location various subway train . watch pen win Cup bar Friday night . can not think anything negative say hotel . book last minute travel $ 145 nite , treat differently anyone else far could tell , access theatre district real plus . 
 Jun 15 2009 	 top spot top hotel 	 stay first 4 night round world holiday , could not ask well start ! obviously cheap option , pay location Hilton name . service exceptional - staff attend need , treat 4 year old really well . one stage husband ask Concierge information turn around see check staff ' entertain ' little one could listen need know - service ! remember name remainder stay , give colour book make feel quite special . the second day start rain , ask , offer complimentary umbrella duration stay - another little service point impress guest . the room roomy enough 3 we ( 2 queen bed ) luggage ( 8 week worth ! ) clean well care for . our view spectacular - keep curtain open night well entertain Times Square light . the location great - despite middle , remarkably quiet ( mind , high room sure low room ) . spend quite time decide stay New York want Times Square location ease get around not want compromise base price . many choice , become little daunting certainly end choose well . love stay Hilton Times Square would not hesitate recommend anyone aware cheap option get pay . already provide feedback travel agent positive experience , future reference . do not put lack presence entrance ( like husband initially ! ) - look beyond find real gem ! 
 Jun 12 2009 	 Perfect Tourist ! great First - Timers ! 	 ' m fan Times Square area - choose friend travel first - timer , feel need get true tourist experience . hotel fine . clean , spacious room , friendly staff , neat view city , perfect location anyone plan theatre ' tourist ' stuff . heart tourist area , prepared onslaught tourist tourist trap . inside calm quiet , step sidewalk 's chaos . highly recommend hotel , account location , be unlikely would personally stay . 
 Jun 12 2009 	 Great 	 stay three night June use Hilton Honor point . staff efficient helpful . handicap accessible room 43rd floor clean comfortable . also fine view city . location great right 42nd street - entrance valet parking 41st street . we one dinner hotel restaurant . great service fine dinner - pricey upstate New York standard probably line New York City price . complimentary breakfast base Hilton Honors level . nice buffet could order menu charge . actually pay breakfast would go somewhere else . $ 50 breakfast two seem like lot even New York City . 
 Jun 5 2009 	 give zero service far 	 stay yet , book Priceline name treat like dirt ! not want room available manner pull site Hilton ! call hotel request rolloway room . assign 2 bed . inform put rolloway dbl room .... that s cool . dispute . ask could request king instead rollway could put . first lady desk ( wish would gotten name ) emphatically state request would come Priceling . bull know . bed request make hotel . even pay rollaway ! money ! update review stay . know manager .... front desk clerk ( say absolutely Fabulous ) & quot ; shop girl & quot ; would definitely fire ! 
 Jun 4 2009 	 excellent place 	 upgrade recieve champagne strawberry get engage . great hotel ! 
 Jun 1 2009 	 Great Location Nice Hotel Clean Quiet 	 room upper floor . hotel room clean quiet . great location want close Times Square . subway step away . good value . would stay . 
 may 31 2009 	 great deal Priceline 	 bid $ 115 /night Priceline - Room nice & amp ; quite roomy - bed comfortable - location great ! 
 may 25 2009 	 nice hotel - great location 	 stay hilton times square Mar . 27 - 29 . stay hotel 3 yrs row . got great rate $ 125 priceline , less half pay last year . minor issue check - in put we handicap room since book priceline guarantee room , necessarily regular room . complain get move regular room wait 4 hrs get room ready , little annoying . room nice size clean . hotel location convenient Times square around corner . would stay especially get rate . 
 May 16 2009 	 excellent visit new york 	 4nt - I love hotel- beautiful suite - incredible design quite comfortable . staff professional . everybody speak english spanish . location great visit time square , 5th av front port authority bus terminal . would recommend hotel 
 May 11 2009 	 great hotel price 	 end book one night via priceline . price ( mid 100 's ) one good hotel deal ' ve NYC . use live NYC know well . hotel 's location ( basically Mdm Toussaud 's Times Sq ) great . near subway , near Times Square , can not really well location . room good relative hotel ' ve stay NYC . modern , bright , clean . highly recommend hotel price NYC . pay $ 200 / night - would place one could stay . ' m rave hotel due room size , cleanliness value . 
 May 8 2009 	 Great Trip Great Hotel . 	 stay honeymoon , location great around corner form times square , hotel could fault , large room ( stay 39th floor ) . 
 May 5 2009 	 great hotel 	 hotel near hussle times square cozy comfy . perfect long anniversary weekend . room great , yeah window bit dirty yes , could see great view . staff accomodate . discrepency mini bar tab fix , question ask . concierge get we GREAT last minute seat Wicked ( hefty price ) also recommend great restuarant anniversary dinner . GREAT hotel get great deal trhough priceline . ( hint : name price ) 
 Apr 28 2009 	 stay heart action 	 Hilton Times Square busy 42nd street . room start 23rd floor tend well view many NYC room . room also big compare hotels city . try bar restaurant . would return , especially could get good deal . 
 Apr 16 2009 	 great hotel let rude staff breakfast buffet 	 good location , fabulous room . welcome helpfull front desk staff . what shame let breakfast buffet staff ! unwelcome downright unbelievably rude sloppy service , however food reasonable . good stay hotel obviously breakfast elsewhere . 
 Apr 13 2009 	 mixed feeling 	 , return form weekend break Hilton Times Square . mixed feeling positive side . first , hotel Times Square near . 41/42 street west side midtown - 7th 8th avenue . planning get room face real time square , forget . well book Marriott Marquis Doubletree Guest suite . secondly , drive hotel , valet parking 41st street . use navigator lead 42nd street could see tiny entrance hotel crowded area . leave turn drive way end 42nd street near Park Avenue return - something easy New York . eventually find hotel go check lobby level . give connect room - one king bed 2 double . room quite spacious hotel actually brightly decorate . bathroom small . amenity available many item could obtain housekeeping well . housekeeping excellent also staff restaurant complimentary breakfast fantastic . fornt desk kind enough honor Diamond status give we late check . overall bad stay might chose tihs hotel return New York . 
 Apr 12 2009 	 great hotel great location great view recommend . 	 hotel excellent , clean , tidy ideally locate make New York City offer . 1 - 2 minute walk centre Times Square , noise hotel . staff friendly helpful . room spacious , enough store extra suitcase take one need buy . room clean , clean towel everyday , clean bedding . fantastic view empire state building hotel window , need go Rockerfella view day night hotel . restuarant opposite Time Square entrance call BBQ Dallas , great place meal , value money , not eat much day though go evening meal . if look hotel make New York City , it . you midway city offer honest within walking distance , catch train statton island walk way back . walk central park catch bike taxi back . shop close Macy 's , Century 21 , Bloomingdales . find New York Pass good way get around , save money 6 day . 
 Apr 9 2009 	 Waste money 	 start good thing , location . stay high floor . could look outside dirty window . room quite small expect NYC . bathroom small door not open way . everyhe ( except tv ) look outdated . breakfast expensive . go room go two different elevator , convenient . would stay , well hotel pricerange . check Sofitel NYC , 100 time well ! ! ! 
 Apr 4 2009 	 meet expectation 	 good location . boring comfortable . room plenty big . good view high floor , window filthy . breakfast nice compe hhonor . expensive hotel , constant sale pitch - everytime one leave elevator- view time share annoying . 
 Mar 20 2009 	 ideal location NYC short stay 	 go 4 night break take concert , stay St Paddy 's Day . hotel regular Hilton , ideally locate 100 yard neon Times Square . hotel not offer much way facility , room large comfortable . Slept well . bathroom little date tub quite small generally complaint . lift efficient , room high floor view across city river . window dirty give traffic activity outside may unavoidable . not eat restaurant many alternative nearby . $ 26 breakfast seem little pricey . lovely meal Restaurant call Ruth Chris 51st St . absence pool dissappointing although apparently norm NYC . Macy 's Empire State build 15 min walk . get hotel JFK easy ( albeit use public transport return leg ) . airtrain JFK Jamaica ( $ 5 ) , MTA ' e ' train Jamaica Port Authority ( $ 2 ) , walk 50yds 42nd St - lot cheap taxi airport shuttle . Broadway show : discount theatre ticket buy outlet call TKTS Times Sq , horrendous queue . find last day conceirge Hilton get discount ticket show try first . Paddy 's Day . over - hype thought . huge never end procession first 30 minute less repeat . really spectator sport . bar price bit naughty $ 7 drink , expect . 4th Paddy 's Day US , Florida Hawaii far well entertainment . 
 Mar 12 2009 	 great ! 	 room great spacious , ig bed comfy mattress . location fab . price bite high breakfast include time square ! 
 Mar 1 2009 	 Great Hotel comfortable well locate . 	 stay weekend trip . Hotel 's location good , 5 minute Lincoln Tunnel , valet take car , room top movie theatre complex 42nd street . staff attentive helpful . room furnish well , bed huge comfortable . could not hear sound . bathroom top notch , love shower work tall people . hotel half block either direction subway , put New York . Times Square theatre 5 minute walk . fitness room lot good equipment . 
 Feb 20 2009 	 Excellent Hotel First Time Visitor 	 arrive Feb 10th 1.30pm flight London please room ready meaning could go straight explore . Great Location , Times Sq / Broadway 2mins hotel door . ( surprisingly little street noise despite mixer ) 5 min walk Rockefeller 10mins Central Station . much Empire State Building . room spacious King Bed exceptionally comfortable . having read many review small room New York hotel one . overall good value money would definitely go back even though bathroom floodie last morning asleep . hotel deal issue immediately move we another room even though check . offer free breakfast gladly receive . 
 Feb 13 2009 	 terrific Choice 	 truly hotel want want something right smack middle Times Square . locate 42nd street 7th avenue 8th avenue . prime . consider 's central location hotel push back tall hardly noise . staff polite . ask extra pillow get five minute . room large room area price range . king size bed wonderful white sheet comforter . comfy chair ottoman desk desk chair . lead flat screen HD tv , mini bar Crabtree Evelyn shampoo . would stay . 
 Feb 11 2009 	 Excellent Around 	 stay use Hilton Honors point , can not comment value money , two - night stay pleasant . room , 31st floor , quiet ( hardly traffic noise ) large expect . enjoy watch movie large high - definition screen . arrive taxi need help luggage , make sure taxi drop entrance 41 St. taxi drop entrance 42nd , complete absence attendant , help luggage dolley use . proceed dolley hotel , attendant spot shaprly ordered halt . evidently , think try avoid tip . explain happen , understanding say taxi drop entrance . summon bellman . 
 Feb 9 2009 	 great location 	 nice hotel perfect lcoation . fair price NYC good bed ever ! 
 Feb 8 2009 	 Forward Revolution ( Bad Service ) 	 's lot thing say hotel . basic really good . room clean large Times Square , security lobby night staff qutie polite . when travel , expect certain thing . must crazy , one thing bartender acttually tend bar . we arrive Friday night five hour drive DC ( Baltimore traffic time ) . arrive later expect well dinner hour . still , happy New York City , heart civilized , intellectual world . we decide stop bar , 10 pm cocktail . bartender , bore marked resemblance Kim Il Jong sigh , look watch moan could still serve we . order chocolate martini . 's really drink , spouse love . go . get peculiar concoction include shave ice maraschino cherry . not proper all . after half hour , set search Dear Leader , find hang reception desk faithfully ignore proletariat bar look though would like start man rampart recruit Jean Val Jean . moan would bring tab : $ 35 two really spectacularly bad chocolate martini . we go walk Times Square , course glorious way true world class city . around midnight , return ... Comrade Bartender still duty , lead revolution customer ignore . idea look studiously watch two hour early . perhaps anticipate sudden announcement , not though close last call . we flee across Yalu River room , spotlessly clean excellently maintain . complaint might , housekeep truly excellent . except bleach . use way much bleach sheet . skin itch slight rash morning , really not happen since mischievous lad 1970 . we think perhaps would give hotel bar / restaurant second chance . yet , arrival clear although Dearest Daniel double not duty , ill humor european clone . clearly , hotel bar / restaurant excel customer replusion thus alleviate responsibility revenue generation . we check reception Hilton Honor point , tell book Orbitz , will not give point . shall see . wandered Marriott Marquis get half ticket happen upon Blue Fin W , true New York fashion excellent , spotless flawless service . I suppose be particular mindset unbearably hostile alcohol fond fellow human being , Hilton may place . housekeeping excellent , always unique enough make compelling right . enjoy convivial beverage friend show , may place . 
 Feb 8 2009 	 Weekend Getaway 	 boyfriend go Feb 2009 weekend getaway use Hilton reward point 2 night stay . stay standard king size bedroom . positivethe room clean spacious two people . bed comfortable supply many pillow . room large desk , stock fridge include alcohol , snack sodas , coffee maker , 37 inch lcd tv , lounge chair . bathroom good size . plenty counter space sink , large magnifying mirror , plenty towel two people , good sized shower / tub sufficient water pressure hot water , complimentary crabtree evelyn bath product . NegativesThere negative make 5 - star stay . toilet extremely noisy . noisy could hear people flush , , right leave . supply one bathrobe . food price ridiculously high . $ 20.00 pancake .... not think . complimentary breakfast , however unsure relate fact reward stay . hotel 's fault , party go room across we wake middle night loud music noisy people cycle . TipsThere deli across street call Pax could get good breakfast lunch item reasonable price area . eat Applebee 's next door . lazy one night decide order food go less stellar made bit sick . 
 Feb 6 2009 	 surprisingly pleasant 	 Times Square seem like would come noisy room . case Hilton Times Square , even hotel lobby exist second floor . entire place surprisingly seclude quiet , despite location , employee responsive polite , despite corporate & quot ; Hilton & quot ; name . room palace , deliapitated mismatch like hotel price point star rating . would stay , somewhat surprise . 
