3 	 husband stay 3 night . location good . lobby probably 20 sqm . staff polite welcoming . the room : really really small . bathroom : really really small . bed : really really small soft 's 2 prepare cudle night long will sink midle . view . so , try another hotel . amount money shoreham cost will find hotel , also well locate ( well ) bed actually sleep . it take white wall funny lamp modern luxury hotel . would recommend . 
 Oct 21 2008 	 keep look well equal less 	 stay 1 night attend conference St. Regis . room second floor overlook air shaft HVAC duct work . tiny room , bed take whole room not bad . modern design , grey / muted color scheme glass wall bath room . well hotel NYC price depend ny well location . 
 Oct 9 2008 	 Great Location Great Hotel ! 	 book line expedia get great discount book flight time . book base location review time . mostly want Boutique expereince pay boutique price . it well expect ' ve decor . ' m pretty sure upgrade room big room . I would definately recommend shoreham friend . think next time go back want stay different area city otherwise would go back ! ! ! 
 Sep 24 2008 	 great location 	 stay Shoreham Aug / Sept one week . perfect location everything want city , especially shop ! friend room plenty space - bit worried small room review read . downside - staff , not expect help find restaurant give tip really . go back 
 Sep 23 2008 	 great place 	 stay husband night last week . we really enjoy stay , first time NY Hotel great place walk distance lot interesting place , : MOMA , Central Park , Rockfeller , Times Square , Broadway , 5th avenue , on . the room small true ! room one queen bed wich small hotel , th less expensive . room small NY , city never sleep , not want spend much time room ! ! ! staff great realy nice help we make reservation restaurant . coffe machine really great handy , use time . 2 computer free internet acess anda printer , great want check email ou something else . this boutique hotel funky mood , mood hotel like this . we not bring plug convertor USA plugs teh hotel lend we one . the bathroom small tha shower huge , 2 people can bath time . our room really quiet , can´t ear anything , great hotel fully booked.every mornig news paper door . new magazine week & quot ; time - NY & quot ; recomend hotel funky people first timer NY want great location , middle crowd ( ' m go tell everybody stay time square much noise people eat every hour day night ) 
 Sep 16 2008 	 overprice many flaw 	 hotel recommend business colleague . probably never stay . first room get small go back reception hand key saying unless get big room , would move . end room 201 large still modest $ 500 per night . air conditioning 1950s variety ; stainless steel sink small virtually useless hot water . tv 15 channel ESPN work entire 3 day . restaurant noisy lousy food . wireless internet never work ( go round corner starbuck internet connection ) . positive , staff nice seem realize joke hotel . plus great location . money , avoid place . 
 Sep 3 2008 	 absolutely love Shoreham ! 	 go NYC friend celebrate birthday . decide stay Shoreham . excellent experience . share two room queen bed . know hotel constitute two separate building next , join lobby / reception area . we room section . room similar different : one much large , design somewhat regular compare . bathroom one extremely small . othe hand , room exquisite design size rather small . bathroom big beautiful . room nice , think NYC , room usually small little bathroom ... two room nice NYC price pay , good . ice machine floor wake . call room service ice minute . Forgot ask extra glass , ther minute well . offer bruch / buffet breakfast menu breakfast . friend take brunch & quot ; la carte & quot ; breakfast . price NYC , breakfast enormous good ( ' m picky food ) .One thing miss coffee / espresso machine near lobby : free coffe , really good one ( also tea warm water ) love Shoreham book next time NYC . 
 Aug 18 2008 	 horrible hotel ! ! 	 recently stay Shoreham hotel business . normally stay Dream hotel , sell . listen hotel suggest ! ! get Shoreham 430p check Front Desk Agent could not find reservation . advise confirmation number , tell hotel sell name be not system . ask speak manager advise meeting . finally argue agent , finally agree look confirmation number . agent take reservation mispelle last name ! ! rude agent tell room be not ready would housekeep work ASAP . take redeye NY , work day want sleep . sit lobby 45 minute room ready . be not offer free drink apologize . upon enter room , small . be not able sleep noise outside ! ! sound like window open yet window . call front desk see could change room & amp ; tell hotel sell out . the food bar area room service horrible . wait 30 minute breakfast . egg cold room service waiter rude ! ! Complaining tip $ 3 ! ! call travel agent thankfully able move hotel , next day ! ! would never suggest anyone stay hotel . dump , staff rude worth $ 25 per night ! ! 
 Aug 3 2008 	 would stay 	 husband stay Shoreham 3 night . quite pleased hotel . hotel modern looking . carpet hallway look clean . room look clean ample space move around read review get bit scared would small . shower good . problem water temperature read another review . hotel pretty quiet like . never see anyone floor mostly elevator . cappacino station 1st floor favourite part . get hot chocolate , latte , coffee , tea , etc . help morning wake we rush get day go . grab something drink morning walk whereever tie we get something eat . the first night find noise street quite loud seem window open although window , rest night sleep find , probably dead tired . we not get bathrobe room - Superior Queen . think room not get read get . housekeeper inconsistent towel bring . first time , bath mat , next not replace one face cloth next night get 0 face clothe . not big deal else would ask . would recommend hotel definitely . first time boutique hotel love . would nice try other . cappicino station AWESOME & gt ; nice treat . 
 Jul 18 2008 	 great value 	 spend entire week Shoreham NYC business . hotel charge credit card ADVANCE full amount stay , mean cost 7 night bill one day arrival . particular annoyance credit card maxe . complaint actually reject , manager deny advance charge . room service fine . however , minibar never actually restock 6 day stay . leave notice guest room drink bottle wine put back minibar empty . at least item take bill complaint . the problem seem many business people need come NYC , able pay $ 500 night accept sub - standard service dark small room . 
 Jun 1 2008 	 clean modern boutique hotel great service 	 stay Deluxe Luxury Queen room 4th floor , dream - spacious , modern clean . walk room , greet 3 piece fresh chocolate design plate ( pre - wrap chocolate ) along handwritten note hotel manager , nice touch . also , since celebrate friend 's birthday , call ahead request small card particular inscription leave room upon arrival , nicely do . request 60 Thompson Soho , reply boutique hotel could not it . the bathroom luxurious , 3 shower head , although 3 day stay , always variable - temperature water . would go hot cold lukewarm back hot - quickly scald freeze , water temperature never stay constant . first think guest flush toilet , not explain range temperature frequency change . also , 3 shower head simultaneously , drain rate fast enough water begin accumulate rise shower . shortly arrive go Bar afternoon cappucino pick - I - up , return room , turn service 2 brownie bedside ! housekeeping always quick respond need ( ice extra sheet ) .The free internet lobby floor come handy want confirm subway direction Brooklyn Museum - 2 computer station 1 printer , although printer service . the elevator small , 2 fit 3 people 3 suitcase comfortably , never overcrowded , nice boutique . also helpful display floor let know elevator ( sometimes little thing make big difference ) .The midtown location convenient . go dinner Friday night though , take 5 minute bellman hail us cab - many come way . overall , clean , modern boutique hotel great service . 
 May 29 2008 	 always lovely dependable 	 shoreham small property hotel great midtown location . always stay NYC 's convenient accessible . room minimal soft white color design . room calm serene feeling . be really quite challenge make work midtown shoreham succeeed . front desk staff helpful ( attitude ) housekeeper quick efficient room . 
 May 28 2008 	 Funky hotel great NYC location ! 	 stay great . find room spacious clean staff helpful friendly . free internet , gym use cappuccino machine 24/7 . also , bed pillow well ' ve ever sleep hotel . hotel trendy modern fabulous location close Central Park Times Square . highly recommend ! 
 May 24 2008 	 disappointing 	 first room give one two cockroach wait , dirty , change another one small without bath . room small uncomfortable . main light entrance room work never replace stay . view brick wall two meter away . room table fill nice Bose sound system huge tv set . : place work room , place write anything else sleep watch tv . hotel pure design , unpractical . bad whay call & quot ; Business center & quot ; . wifi room , call find place check internet could leave laptop home . & quot ; course & quot ; , say , proudly . actually two computer hallway separate elevator gym , lot people want use ugly pop music blast loudspeaker . besides , connection always break printer 's cartridge ink never replace 10 day stay . must lot nerve call two computer & quot ; Business center & quot ; . eexpensive hotel , much well alternative available price . suming : design , unconfortability , bad service cockroach . not go . 
 Apr 28 2008 	 four night Shoreham 	 6th time New York City another couple never . shoreham modern trendy hotel beautiful decor comfortable bed . location terrific , block 4 subway stop easy walk various hot spot . the free coffee bar New York time great touch hear offer free fitness center ... would not really know that . I stay different hotel everytime go NYC . , lot good thing say hotel , must add least favorite experience . theory traveller spend little time hotel room New York City size not issue . however , size room point inconvenienve discomfort . bind get small room book boutique hotel room Shoreham , small . really maneuver get around side bed , one large bag , option . the bar beautiful high price , great pub 6 door east 55th . so far good hotel stay Hyatt Grand Central want boutique style hotel , check Benjamin . if alone want trendy room good location book Shoreham , people friendly place nice . party large one look elsewhere . 
 Apr 27 2008 	 Excellent Location 	 stay Shoreham three night April 2008 . location hotel excellent , W 55th 5th 6th ave . however , room small , like NYC . room seem even small , due small window view fire escape / alley . little light even mid - day . room clean , clean promptly staff upon departure day . complementary coffee / tea / and hot cocoa machine nice long day . not offer champagne upon check , like advertise , like couple check we ..... disappointing . positive weigh negative get good deal room via hotwire , would likely stay large near hotel next trip . 
 Apr 24 2008 	 nice stay Shoreham 	 Shoreham daughter recently . hotel excellent location tastefully decorate . front d people warm helpful especially Debora Laura ( not know whether spell name right ) . highly recommend . love go back . 
 Apr 10 2008 	 guarantee Return Guest - Loved Stay Shoreham 	 first review ' ve ever write hotel . travel New York experience make even well stay Shoreham . 's nice , modern friendly place stay heart Midtown Manhattan . everything within walking distance ( Time Square , Central Park , Rockerfeller Center , MoMa , Broadway show , Restaurants , Shopping , etc . ) . love fact locate quiet street allow we sleep whole night . even liquor store conveniently locate around corner hotel . staff helpful frinedly . room unlike place ' ve stay ... massage chair , huge walk - in shower , comfortable bed importantly clean / modern . husband go back May / June plan stay trip . can not say enough good thing hotel . 
 Apr 2 2008 	 love Shoreham ! 	 great , chic hotel . love spa suite . room bed comfortable , furnishing color scheme quite cool , location directly midtown 5th 6th avenue perfect . could not ask centrally locate ! 
 Mar 20 2008 	 short great stay ! 	 one night visit NYC please clean , soothe atmoshpere Shoreham . would recommend anyone ! 
 Mar 3 2008 	 Loved ! 	 really like hotel . book hotel last minute meeting schedule decide tired usual suspect - major hotel chain - book Shoreham - figure lose one night stay . surprised comment concern lack personal touch service . suprise check vm work find leave message day arrivial welcome look forward stay . check breeze offer glass champagne water upon arrival . room typical size New York - small size - thoughtfully lay spotless . loved ijoy chair ! bed extremely comfortable . aveda amenity bathroom quite roomy . self serve espresso machine free wifi rock . Decor modern would like flower dust ruffle . great location wonderful service ! 
 Jan 22 2008 	 Loved Shoreham 	 nice little hotel tuck away W. 55th street ... close Madison Ave , Central Park , Broadway show Rockafeller Center ! great Mid - town location get anywhere uptown downtown . short cab ride subway ride everything . like building not scream & quot ; HOTEL & quot ; set like chic mid - rise NYC condo ! love ! hotel quiet clean ... room sleek contemporary comfortable ... love 45 inch plasma tv ! 24hr expresso bar Loved ! room small hey that s ny baby . lot style cozy end invite setting . perfect couple weekend city girls/ boy get - a - way shopping trip . return NYC probally summer definitely return Shoreham ! 
 Jan 4 2008 	 much design ! 	 think would try Shoreham change usual hotel NYC . 's good location relatively quiet street decor impressive acquire taste . designer take old hotel give great makeover quite constrained work . lobby strange , unobtrusive street , nice idea mess low ceiling weird . room small little soundproofing could hear conversation next door . 's flat screen tv massage chair room generally quite uncomfortable dark window look onto & quot ; light & quot ; well need blind closed privacy . bathroom stainless ( ! ) steel look trendy bit industrial . opposite toilet huge frosted glass window blind . feel uneasy sure light people nearby room would see enough detail glass embarrassing ! bathroom cold indeed . almost storage space case stay open floor throughout stay , make room feel even small . overall , hotel trendy ok short stay would not want spend much time room . annoying thing lift - lift call button pillar middle lobby away lift cause certain degree confusion disorientation . 
 Dec 27 2007 	 Wonderful - could not ask 	 hotel magnificent . beautiful decor , friendly staff . reserve single Queen , arrive son ask double bed upgrade we charge Penthouse room . wonderful first time experience NY sightseeing well work office NY . informative go . always courteous helpful . highly recommend hotel . bed extremely comfortable . wifi reception excellent . new movie additional charge . within walking distance many attraction . 
 Dec 23 2007 	 Nice Hotel Awful Service 	 arrive 1 am delay flight take 30 minute check , despite one person front queue two people work reception desk . I tell would change room second night refuse . tell would pay extra stay room despite book print . end pay different rate . predictably , electronic room key work drag bag downstairs again . the room , however , fabulous . fact two bedroom suite plasma screen tv . also live room another one . bedroom nicely decorate full gadget ! bathroom great shower several jet . also nice bath plenty space beside basin clean . suite also little study well internet connection good . , hotel room outstanding large Manhatten . location also great . course , pay think room around $ 600 night . 
 Dec 21 2007 	 personal touch 	 book expedia room view , call week fly ny make sure everything ok . upon arrive hotel see 15 people wait lobby , simply go modernish restaurant face street late lunch . doorman take care bag hour lunch approach front desk check . first issue come credit card read system , room ready even though 4 pm check time advertise 3 pm . , cold concierge give we room key , bellman help we room , upon arrive clean . go back lobby bellman sort find catch uncomfortable position listening manager talk one front desk people . bellman try get manager 's attention enough time already go enough say make girlfriend realize personal touch hotel whatsoever . manager realize wait , turn strange smile direct we another person front desk . lady finally help we get clean room quick efficient , though realize level stress lobby make we uncomfortable . lucky travel around world always leave tip employee , specially maid , run uncomfortable situation , decide write review online hopefully true honest sincere service become reality . people run uncomfortable situation , also service start respect , something manager evidently towards employee . to make long story short , messy delay check , strange behavior lobby , good restaurant , good drink , good location . still , would recommend hotel friend . 
 Nov 26 2007 	 great stay 	 three we stay 7 night Thanksgiving week deluxe 2 queen room . room big , bathroom small . room face another building could not open shade , not big deal . room hot even though cold outside , turn AC time time ( ' m glad AC work , would miserably hot ) . location excellent , half block 5th Ave . staff friendly two computer lobby convenient use . feel pay $ 16 continental breakfast hotel way expensive got , go Cafe Europa block half away . choice place eat nearby well . we would definitely stay . 
 Nov 24 2007 	 Small Room Clean 	 two we stay Shoreham Hotel Nov 16 - 23 , 2007 . Superior Queen room small clean , room space take comfortable queen sized bed . bed leave little space move room . give idea : 9 pace door window , turn left , 5 pace wall . one chair park beneath narrow table surface ( 18 inch wide ? ) , bed table surface . pull sitting , path door window block . end reposition bed bathroom , parking suitcase , not really much room anywhere else room suitcase . small closet right enter room . contain iron , iron board , safe store valuable . bathroom small stainless steel sink drain slowly call engineer fix stop pipe - come immediately fix problem forthwith , think , start plug , let go major issue . heating cool work perfectly , problem . 2 handheld phone room , one bed , narrow table ledge . 
 Nov 16 2007 	 bad ` ` Luxury '' Hotel ever ! get sleep ! 	 hotel truly awful . bathroom floor marble FREEZING night . heater bathroom . moreover , bathroom door close ( hinge break ! ) , cold air float bedroom . bathroom right next bed , cold keep awake hour . I turn heat bedroom maximum , still able warm bed ( next bathroom far heater side bedroom ) .I call guest svcs slipper walk bathroom floor ; forgot respond . hour , finally fall asleep , wake 3 hour later room somehow heat roasting temperature , sweating . turn temp back bit , slow respond . further problem room : 1 . front door ( hallway ) close without slammed . 2 . bathroom door will not close . 3 . bathtub , shower stall even curtain . shower head middle wall , flood whole bathroom ( bedroom b / c door not close ) use . 4 . sink tiny , slant downward , water spill onto floor . I get three hour ' sleep despite eight hour try . get Room 210 , IMMEDIATELY change room check hotel . 
 Oct 4 2007 	 mixed review -- would not stay 	 small boutique hotel -- snapshot good bad : Good:1 . comfortable bedding2 . clean3 . try trendy 4 . nice workout room size hotel ( except can not control temp hot ) 5 . champagne check - in 6 . free coffee / cappucino machine nice7 . nice locationbad:1 . small bathroom ' ve ever see ( travel 45 trip year ) . seriously put toothbrush 2 . hot hall , workout rooom3 . need loud techno music breakfast ? 4 . breakfast bar tiny little footstool chairs.5 . can not adequately control room temp.6 . privacy & quot ; business center & quot ; two pc 's hall7 . check - out staff unfriendly8 . tiny desk size ironing board -- hard iron business shirt it.overall -- nice location , odd place . plenty choice ny . 
 Oct 2 2007 	 little piece heaven 	 Modern hotel good location still affordable room rate ( be relative ) . step away Pennisula Hotel , 5th Ave .. great selection restaurant block . Superior King w/ bath tub great shower , flat screen tv , plenty closet space short stay . bed heavenly ... bed lovely ... young daughter enjoy much used launch pad ! staff helpful friendly . elevator efficient . fancy swiss coffee maker provide free coffee / tea / hot chocolate lobby floor around clock . able fill daughter 's milk bottle need - convenient ! ! ! also couple computer lobby guest free charge . also deliver New York Times daily free charge ... yes , pay room , defintely worth ! 
 Sep 25 2007 	 great stay Shoreham 	 return three night stay hotel , two teenage child . location FANTASTIC , arrive upgrade room , small queen bed room , suite , bath room small , however neccesitie . child 's room upgrade give single queen sleep , get upgrade large room two queen bed . hotel bar look lively however busy get real taste atmosphere . staff reception helpful . child enjoy free use internet , overall convenient pleasant stay would return go back New York . hotel huge sky scraper , however good size , real view bed room window , especially children look well , room always quiet , bed comfortable , good bed linen air conditioning great . also free coffee machine 24/7 . think good value especially upgrade . 
 Sep 8 2007 	 Fantastic Hotel Stylish 	 look number hotel get great deal Shoreham Travelzoo . it first time New York hotel ideally locate Fifth Avenue . room modern flat screen tv . the continental breakfast great staff . very friendly check in\out ! return ! ! ! ! ! ! 
 Sep 4 2007 	 Great Weekend Shoreham 	 read mixed review bit apprehensive hotel . however experience turn positive . check efficient busy Friday Labor Day . ( husband ) book superior king good rate ( breakfast include ) happy find room pleasant reasonable size NYC . room massage chair ( wonderful way relax walk sightseeing ) bathroom tub good shower head . well side hotel great room rate lot satisfaction room . extra perk also add favorable opinion .. daily New York Times , free coffee bar , really terrific staff always smile helpful pleasant . always pleasure go breakfast drink bar chat staff . guess must wide discrepancy queen king room make difficult know get add mixed review see . 
 Aug 20 2007 	 two night enough . 	 city son ten day July , see school may go next year . unfortunately , give type room book , guarantee two bed . hotel expect sleep bed son one night move room two bed next day . unacceptable , make reservation another hotel room two bed . one locate time square , not mind , much cheap . at Shoreham , share bed son one night , give room one queen bed pull sofa . glad already make reservation somewhere else . next morning let front desk know leave room acceptable , tell front desk staff supervisor we pay 7 night would stay , would confirm general manager . furious leave cell phone number still get reply . neither charge 7 night stay , give sort reimbursement 2 night spend room book . 
 Aug 14 2007 	 wonderful ! love hotel .... great staff ! ! ! ! ! ! ! ! ! ! 	 wonderful experience . friend come back spend 3 night . staff go beyond ... especially Sorin . room would book ready arrive , upgrade ( additional charge ) penthouse suite balcony incredible view . hotel IMMACULATE ! ! ! ! speck , spot , grain dust anywhere . food wonderful ... delicious artfully present . every member staff helpful ... lounge comfy ... fresh orchid everywhere ( even bathroom ) .... shower huge 5 shower head ... cushy slipper ... latte , coffee , tea free ... would go back heartbeat ! ! ! ! truly hidden gem NYC ! ! ! ! 
 Aug 9 2007 	 many well place stay NY money 	 10th anniversary - DH never do anything romantic ( 2 kid ) looooooong time . easy - going , snob . live Westchester decide rather spend weekend fly somewhere exotic , would enjoy NY tourist , nice hotel , good restaurant , broadway play . shoreham offer spa package , book call ask specifically book package king superior room , still get spa package deal , champagne , chocolate , body scrub whatnot spa treatment . 1st thing , book us junior suite . king bed . uncomfortable we , obese , petite , , point , specifically request king . call front desk robotically politely inform room available not want anyway . view . Shower run water floor ( add lip door prevent - cost 25 buck . ) shower awesome though ( many head suite ) although would give jacuzzi ( tell call book first place ) KING SIZED BED . ) free breakfast continental , hot menu . bar nice , bar staff nice evening , snooty morning . not get chocolate bath spa stuff . spa treatment across street nice little place , nice . SPoke concierge ? Hideki 4 - 5 time , first time checking , promise would make right , include miss package item . promise female manager whose name escape would call . call . call many time . call mystery woman . also , OVERCHARGED shoreham 's valet parking lot next door . charge 145 , tell 45 / day . 1 1/2 day . figure 75 top , right ? recieved tiny box Lindt truffle 45 $ back parking , never hear . respond review , know mill , hope people will not complain , avoid SPECIAL PACKAGE . be ROOM NEW YORK CITY . next year spend little go spend weekend Ritz Carlton Battery Park LOVELY similarly price . oh well , 11th anniversary special , right ? ? ? ? 
 Jul 20 2007 	 Great Hotel 	 hotel great location , walk distance theatre . staff friendly free water , champaigne , coffee , hot chocolate . hotel clean modern decor feel . hotel anyone . 
 Jul 18 2007 	 Great Room Service Bait Switch room placement 	 really want enjoy experience Shoreham . highlight : great location near 5th Ave Shopping , Excellent Bar Delish Room Service . good selection inroom movie Nice Flat Screen tv.drawback seperate reservation call ahead sync tell compe well room turned give less valuable room . also sheet uncomfortable internet wireless WORK.Everytime call help tell one could help . this disappointing Hotel tout internet / tech savvy ! 
 Jul 16 2007 	 less expect 	 plus side , bed fantastic staff nice . unfortunately , however , find Shoreham Hotel disappointing . small room face little dingy light well loud air conditioner compressor center . lobby , like room , decorate cheap stylish furniture . room 6th floor feel dark noisy . on day arrive , hotel overbooke unable give room arrive early . give credit card leave luggage , assurance room would ready return . unfortunately , still room available 4:30 clerk explain overbooke . point already check many hour ago ask think innovatively give we room . result , upgrade large room . 
 Jul 16 2007 	 great stay 	 great hotel . stay 4 night room always back new arrive back everyday . staff helpful friendly . room great layout bed comfortable . bathroom small much time really spend . want big bathroom would suggest ask since many different room layout . also , free coffee / hot chocolate / expresso machine GREAT . love free WiFi well . stay . 
 Jul 11 2007 	 Good centrally locate hotel 4 star 	 spend 4th July weekend Shoreham win bid Priceline.com . Priceline categorize hotel 4 star small room one queen size bed shower without bath tub would , mymind , disqualify 4 star put close good 3 star hotel . view 4th floor window facade adjoining building . say , shoreham first hotel ever stayed offer champaign check - in process . location great particularly want avoid havoc Times Square area . bed extremely comfortable , air conditioning work great room quiet . Courtesy coffee / capacino / cocao bar bottled water along great tv nice touch . summary , Shoreham surpass many similarly price hotel ' ve stay frequent NYC visit . 
