great 	 choose hotel location - near Green Park tube . go back . service mediocre - sometimes good , sometimes standoffish helpful . room really disapointe - corridor small lot step pain . overall well worth avoid unless get great rate not plan spend time room . 
 Sep 2 2009 	 Service smile ! 	 perhaps critic hotel use large corporate type hotel , mew hotel room bind small . regularly stay either Flemings directly opposite Green Park Hilton dependant price available . O.K . Flemings tad stylish , one thing hotel friendliness staff . three day stay two room work £ 300 cheap fleming include dinner one night , full breakfast buffet oppose plate one Flemings , would hard press tell difference qual ; ity hotel . ideal location West End theatre gallery make ideal choice . would something eyesore derelict building corner . request book front room note supply . another troublefree smooth stay excellent breakfast dinner . keep good work 
 Aug 31 2009 	 Superb hotel money 	 friend stay Hilton Green Park Hotel weekend , forn 2 night 1 promotion , hotel superb ! ! ! ! lovely clean comfortable room staff friendly helpful . breakfast wonderful would highly recommend hotel anyone like value money deal . 
 Aug 30 2009 	 great hotel great location great service ! ! ! 	 stay 3 night deluxe room good size . clean . Alright 's Hilton Park Lane hidden gem . location fantastic , right heart Mayfair across road Green Park 15 minute walk Piccadilly . staff friendly make feel like right home . could not fault breakfast , really good spread ! fault hotel parking , near 10 minute walk £ 40 per night . great could negotiate special rate guest hotel . hear guest complain room size little bit , stay deluxe room . be well worth money . stay another 3 week ! ! 
 Aug 28 2009 	 good hotel ! 	 hotel bad Hilton ever stay ... wall thin feel like sleep hallway . 
 Aug 25 2009 	 Shocking 	 genuinely one bad hotel stay . embarassment name Hilton London ... ludicrously expensive base upon 's excellent location . thing go . arrive note public area small shabby overall ambiance 1 star good . good start . get room ( use word & quot ; room & quot ; advisedly ) room single quite literally unbelievable . right roof really low ceiling . tiny ( small none capacious bathroom home ) shower room basically enlarge cupboard . utterly reject room demand something big stating get room youth hostel would demand something else could even contemplate selling . obvious first time happen quickly get another room .. queen room size normal single . choice accept extra £ 10 late , uncomfortable night wake admire view fire escape rubbish strew vacant lot beyond .... celubrious .. .... oh god ! never stay . nightmare see bill become & quot ; nightmare elm street & quot ; 
 Aug 3 2009 	 FIrst come first serve ! 	 pre book pay 3 night hotel hilton website boyfriend . arrive around 23.00hrs stated booking , tell double room give away really busy unfortunately ' first come , first serve ' situation . give we two single bed room cupboard size . exactly romantic wknd away ! book room prepay , acceptable tell first come , first serve . poor behaviour hilton , expect much well . otherwise , location breakfast good get regular double room 2nd 3rd night fine . got 50 % refund first night mess . 
 Jun 28 2009 	 could fault ! ! 	 honestly can not believe bad review . return 2 night stay , husband plus sister law brother law , two room complaint either . deluxe room , great size en - suite really big . everything would expect , large comfy bed , pillow good hotel recently , air - con , wall mount flat screen tv , tea coffee make facility etc , could want ? ? location fantastic , central , set side street problem noise . ok , several building knock one , undulate corridor add appeal , 's modern tailor make hotel building , far character ! breakfast lovely , usual english etc , preferred waffle pancake make order . would return ? without doubt we would 
 Jun 28 2009 	 Shoebox 	 first stay european hotel , first reaction SMALL ! ! ! ( approx 7'x12 ' ) compare hotel room US , single room Hilton Green Park hotel less half size . bathroom close normal size , though . single twin bed bit stiff ( shorter usual ) otherwise comfortable . enough pillow pillow selection . much room suitcase . flat screen tv wall - mount plenty large . tea / coffee selection excellent include shortbread cookie . love room electric hot water kettle . great business travel . internet local phone call free . gym , great park nearby . B & amp ; b rate include breakfast , so - so ( not expect omlet like Embassy Suites ) . Marks & amp ; Spencer around corner Green Park tube stop . convenient . great location . would stay . 
 Jun 18 2009 	 Fawlty Towers 2009 	 family stay Hilton Green Park ( say , Fawlty Towers ) 6 night . hotel good location Mayfair , near Ritz Green Park , staff pleasant enough breakfast good fresh . everything else awful . hotel seem 3 - 4 townhouse cobble together - without gutte barely renovate - leave random group step middle upstairs hallway zero sound - proofing . first room end 4th floor hallway 2 yo us stroller would maneuver stroller 3 - 4 time get randomly place step arrive room . door room begin long , narrow dark hallway open dark , albeit large enough , space overlook dingy back building . water shower seem indecisive , switch hot cold every second . extra roll toilet paper never replenish . floor room , outside door we creak loudly disturbing . also , eventhough end hallway , much noise outside door , feel like people come room day long . halfway stay , internet access cease work finally move another room , husband tell staff front desk would call service provider ascertain problem . day nonsense , move room hall original room . time , light front hotel ( half moon street think ? ) five time noisy door room open straight live space foot traffic main hallway feel happen room ! wish first room long interior hallway hindsight muffle sound little bit . also , one 3 window room close way feel draft hear outside traffic ( jack hammers road work corner ) night one bathroom mold around pane . problem water temperature , time , least internet access . oh , yes , bed horribly soft definitely bottom - of - the - line . floor incredibly squeaky , could hear people upstairs outside room clearly . also mention problem fire alarm cause go several time stay , middle night . , later , invite cocktail reception & quot ; special guest & quot ; ( sure everyone stay hotel ) paper invitation door , follow plead call front desk . tell staff member calling would attend , start beg we come . totally unprofessional ! top , daughter 's hand get catch hotel 's revolving door one lobby ( 4 - 5 staff ) could figure . stand around dumbfounded sight - one doorman / concierge , even attempt turn door hand stick glass frame , totally illogical effort free ! ! ! luckily , husband know unlock revolving door whole thing almost swiftly except fact several trip make staff member back forth kitchen bar order determine get ice sob daughter 's hand afterwards . GM later come room find could we tell we watch video footage learn event transpire . fairness , much could , fact mention video occurrence watching seem little odd . hindsight , experience stay mind make stay Hilton Green Park seem like episode Fawlty Towers . we never stay hotel . worth . 
 Jun 15 2009 	 Pleasant Surprise 	 look hotel near Park Lane , could accomodate 3 person reasonably price . hotel fulfil requirement . the room large enough three us sofa convert double bed . room well present clean tidy . bathroom functional perfectly adequate . curtain not keep light wake early . good A / c room . breakfast include quality much higher big Hilton Hotels . we would definately try book hotel . 
 Jun 3 2009 	 well expect previous review 	 Hilton / Green Park Priceline last day London , nervous reading review . however , turn great . room actually spacious London standard , quiet , comfortable bed . location convenient . , 3 block tube , 1 block Green Park . nice & quot ; hidden & quot ; street nearby ( Shepherd 's Lane ) several pub , drug store , restaurant choice , etc . staff helpful , allow we check early , keep luggage check - out time we leave follow evening ( cost except tip ) .We stay Sunday evening , typically busy time , may contribute quiet atmosphere . hotel busier , could understand noise might problem . complaint : hall old , narrow , need updating . room carpet either soil wear around perimeter tear several location , everything else quite nice . price pay , definite bargain . 
 Jun 2 2009 	 could well 	 read comment hotel scared go ! ! ! ! ! location great : front green park , 10 minute walk Piccadilly Circus . the staff really nice . we 4 2 room ( 1 double bed ) .The design correct nothing great . the bed however really bad ( soft side keep fall night table ... dangerous ) 5th floor ( 6 ) .The corridor noisy like talk room ! ! ! bathroom simple clean . the breakfast good . air conditionner every room curtain window ...... free internet connectionWe pay 129 £ per night breakfast include may 2009 would say correct quality price , Hilton , expect ! ! Hilton buy many hotel London order ready Olympic Games ? not know , fore sure , not design Hilton ! ! ! 
 May 21 2009 	 BEST HILTON STAYED 	 hotel ideally situate underground two minute walk Green Park Underground . however room small Hilton room sleep bed tad short . would however like praise clean always spotless well present . pay buffet breakfast one occasion slightly dissapointe . never cook breakfast without sausage trust store avail food . staff pleasant helpful . not think would stay although would not put anyone . 
 Apr 29 2009 	 Great Hotel 	 stay day somehow end suite . great , top floor end plenty space ! living area attach sleeping area , giant dressing room , large bathroom . almost much space amount time actually room . not many restuarant nearby walk little . also tour not stop hotel , walk another Hilton take ten minute . far price , make lacked location .. ' m sure would return London December ! ! 
 Apr 25 2009 	 could room small ? 	 not Hilton give property one budget brand name -- Hampton Inns , something -- stop diminish Hilton brand like ? room hotel tiny . & quot ; Diamond & quot ; upgrade room could small , air condition ( uncomfortably warm ) , paper - thin wall , overlook filfthy vacant lot . aggressive effort empty room check - out time , maid ignore & quot ; disturb sign . & quot ; 
 Apr 11 2009 	 right price - real gem 	 stay two night bargain price £ 127 two . perfectly situate - close shop - reasonable walk theatre close Buckingham Palace . yes , room small , really go London hotel stay room ? breakfast , fab include price . 
 Apr 6 2009 	 Practical Lodging Business Travellers 	 hotel definately mistake destination . simply book sleep , go work eat breakfast . useful amenity room way small enjoyable . room service often leave low level hallway 24hrs even though cleaner pass right . anyone disturb small place definately not book single room . bird nest big . breakfast serve every morning actually one highlight . 's typical english breakfast North Americans would delight . due proximity entertainment find hotel convenient short trip work . we find Picadilly Circus Oxford Street short walking distance Hotel . as local restuarant try two nice place short walking distance : Le Duca - Italian Restaurant La Boudin Blanc - French RestaurantMost advanced palate would enjoy offering . french Lamb Ratatouille amazing . overall not plan spend time hotel . drop bag come back exhausted , not think cramp quarter . 
 Apr 3 2009 	 nice quiet hotel convenient location 	 stay briefly 1 night recently visit London . hotel well locate walk around London tourist ' spot ( e.g . near Buckingham Palace ) public transport ( near tube station less 5 minute ' walk away ) . hotel side street , , quiet night , suit we fine . Green Park road hotel 's street , , pleasant walk morning . our double room not huge adequate comfortable enough need . bear mind hotel central London , size room perfectly acceptable ( 2 large suitcase we ) . shower good plenty hot water usual complimentary refreshment toileterie room . temperature control room excellent . we breakfast include booking try buffet breakfast . reasonably decent breakfast , though nothing outstanding ( nothing really bad either ! ) .All , complaint would hesitate come back . 
 Mar 28 2009 	 Nice Hotel 	 stay night visit london concert , great location , walkable main tourist sites.room slightly small guess that s london , twin available nice stay 
 Mar 26 2009 	 Excellent Location 	 stay 2 night either side holiday . central , work great Heathrow & amp ; Gatwick Express . walk everywhere easily , great . find hotel ' priceline ' £ 70 odd night , would pay much though ! room quite small , clean powerful shower . noise either stay . staff lovely . booking include breakfast ( steep ) , Tesco Metro & amp ; starbuck around corner great . 
 Mar 13 2009 	 great location excellent service nice room 	 Green Park Hilton fabulous location . step away tube , grocery store , Pret Starbucks . stay four day happy accommodation . get really good deal Priceline , well worth every penny spend . room , huge size , seem right two we . front staff extremely pleasant helpful , even let we check bit early . breakfast eat restaurant , offer pre - fix menu 19.00 pound ( dinner ) . first floor , apparently right lounge / restaurant , could hear music play throughout day night . faint , every could really hear beat music . one thing somewhat disappointing wireless internet . website states room high - speed internet room . box internet wireless , pay , believe approximately 20.00 pound per day . could buy card , , 15 minute 5.00 pound . quite expensive , although still less expensive call home everyday . would stay location . 
 Feb 23 2009 	 great hotel - 	 back Hilton Green Park nothing good thing say hotel . first thing remember nice Hilton , glamorous high - end . look kind experience , try elsewhere . if look hotel give great service , nice comfortable room ( bit small side ) , GREAT breakfast location ' beat – . Green Park Tube step away charming Shepherd ' Market . Oxford St. 15 minute stroll St. James , Jermyn St. Piccadilly Circus . stay number hotel area find great place stay . Room G33 large fold sofa , flat screen tv look onto ventilation shaft . plenty light everything comfortable . must mention Kareem , concierge team . work hard ( last minute reservation etc ) came fly color . become London hotel choice . 
 Feb 13 2009 	 great location - shame everything else ... 	 really ' like write negative review , although one major problem hotel , many little problem add make bad stay . want make clear ' normally moan , believe bad stay comparison many London hotel , want tell experience honestly . room : standard room , ok – quite small big enough two people . pretty clean , bathroom ' smell particularly clean sheet etc . window curtain dirty though . room first floor overlook kind air vent , probably kitchen , however noisy . , first night room awful – a / c room hot – turn radiator early day , temperature still really high . noise corridor continuous – group floor 4 am door slam people scream corridor – several call night reception vain – nothing do . we move room 4th floor last two night – even small dirty bed – remain room service think ! bed really hard uncomfortable . awoken Sunday Monday morning 8 am workman scaffold outside room – lie we ! ! small noise , heavy crash drill , impossible sleep even earplug ! hotel undergo installation air conditioning , work constantly occur hotel . breakfast : Saturday breakfast really good , feel organise control . huge choice variety everything fresh . however , breakfast Sunday Monday bad – hardly choice really poorly stock . wait 20 minute table , even though breakfast room ' even half full – enough staff serve clean , food seem fresh . sign lift warn queue , experience could easily sort organisation well management . hotel staff : generally friendly , feel many problem control – hotel management need address issue , ignore feel happen . I book long weekend romantic getaway , sightseeing weekend , guess expect / want room many tourist would . great location , day sleep hotel , good base . however . stay many Hiltons , one far bad – real embarrassment London hotel , poor example Hilton brand . live expectation , really ' feel deserve 4 * rating . leave trip feel really disappointed poor view Hilton – hotel could good moment – well hotel money would recommend hotel London visit . 
 Feb 11 2009 	 can not beat hotel ! 	 come back London , stay Hilton , fantastic ! staff really friendly , could not enough we , polite , pleasent really helpful . room really nice , clean , well stocked . not need take anything apart clothe , maybe straightner ! provide shampoo , conditioner , shower gel , soap , handwash , hand cream , shower cap , flannel , towel , hairdryer , tea , coffee , hot chocolate , biscuit , free charge . fab ! Breakfast provide morning really nice . could full english , cereal , cake , toast , yougurt , fruit , almost anything . the location hotel ideal , 2 stop away Victoria Station tube . close thing , Big Ben , Houses Parliment , Buckingham Palace , Oxford street , Knightsbridge . 2 3 stop tube place . go O2 arena , train go straight Green Park O2 without change . not need use taxi 's weekend . Cant say enough good thing hotel , go back ! doubt ! 
 Jan 29 2009 	 great location competent hotel good overall value 	 small hotel convert townhouse . many facility . reasonable room . great location nothing complain 
 Jan 28 2009 	 cosy friendly hotel 	 small , friendly , cosy hotel situate side street Picadilly mean exceptionally quiet hotel set heart London . room front even disturb traffic noise . staff service excellent . comfortable room bed . excellent breakfast . however , evening dinner restaurant leave lot desire . crab avocado tower wet tasteless , teryaki beef overdone beef tough . shame restaurant comfortable decor table arrangement good . guest appear evening meal . stay 3 night honour reward point . disappointing executive lounge honour guest . also bathrobe complimentary slipper provide . surprising number point use stay Waldorf Park Lane Hilton . 
 Jan 28 2009 	 small comfortable room good location easy Tube access Heathrow 	 need inexpensive place stay one night , easy access Heathrow catch morning flight US . course , could pick airport hotel , fun would ? instead , pick London Hilton Green Park . offer January sale rate GBP 55 include breakfast single room Saturday night , steal central London location . with easy access Green Park Piccadilly Tube line station easy connection London Heathrow GBP 5 . fast ( 1 hr ) great lot luggage , since not transfer hotel literally five minute walk station , pretty convenient . as describe review , Hilton Green Park row old house turn small hotel . , hotel corridor full step stair , great difficulty walk - case , ask room easily accessible . book single room , . small room single bed duvet , private bathroom combine bathtub shower , small work desk , flat screen tv . room feature safe pay internet access . fourth floor view roof top towards Shepherds Market . window slide fresh air . notice airconditione unit vent - would something check stay summer ! overall , room comfortable enough short stay . possibly Hilton hhonor silver member , bottle still water waiting - glass , bottle unceremoniously plonk side table . the reception staff friendly overly service orient seem check lot weekend guest low rate . breakfast buffet nice . good selection , early Sunday morning , busy . ( sign lift state hotel expect breakfast really busy therefore extend opening hour buffet . ) location good : easy access Green Park station bus Piccadilly . shepherd Market restaurant bar right behind hotel well , quite not - so - touristy dining option . Tesco Express mini - supermarket nearby Marks Spencers Express Green Park station , want buy something eat drink room . 10 minute walk Bond Street , Burlington Arcade across Green Park Buckingham Palace . Hyde Park 15 minute walk . I probably would rate hotel four - star , particularly suited business travel , would stay price right . all , not expect luxury , want comfortable , reliable room good location , good hotel . 
 Jan 26 2009 	 fair deal 	 Excellent location . quiet , yet central , heart Maifair London . around 10 minute walk London 's main attraction , : Piccadilly Circus , Oxford Street , Buckingham Palace Knightsbridge ( Harrods ) . two minute walk Green Park subway station . 4 star hotel locate old building , pretty well maintain . expect top standard might little dissapointe , hotel bit Hilton 's usual standard , definitely average standard Central London , price ( around 160 GBP / double room / night ) . room small , clean , nice well equip bathroom ( standard double roon , qeen size bed ) main problem could actually hear people walk room we ( sound like old wooden celing ... ) . excellent hotel stuff , friendly helpful . v|ery good english breakfast ( 5 star standard , 4 star hotel ) . hotel cheap , overall rate seem fair , give location . possible problem travel summer period might air conditioning , work time stay ( & lt ; service & gt ; label air condition switch wall ) . double check booking . would recommend hotel look perfect location Central London , good service standard , almost fair price ( give air conditioner working ... ) 
 Jan 23 2009 	 let standard room 	 good location , helpful staff good standard breakfast . however room 4 star standard . carpet dirty edge round , window would shut , heating could control , standard lamp work decoration mark . letter room refer imminent refurbishment programme . yes book good deal , remain suspicion give poor quality room bargain customer - way get repeat business . 
 Dec 14 2008 	 great location good hotel - excellent value 	 Hilton Green Park nice hotel right center everything - step green park tube station - side street mayfair not look like generic hotel . quite reasonable cost service one need . room smallish sufficient - bar nice oodle restaurant right neighborhood , not want eat . staff curtious . perfect london hotel ... home away home . 
 Dec 8 2008 	 good location - slightly disappointing ! 	 stay 5 frined festive reunion London . hotel centrally locate easily accessible city main attraction . room clean , comfortable standard size London . diamond member Hilton one 3 room book upgrade , look ordinary slightly spacious . the reception staff concierge team extremely welcome helpful . a problem experience Food Beverage staff , namely staff serve breakfast . since learn staffing problem morning clearly evident . service poor standard generally low Hilton . Sarah duty manager excellent deal party extremely professional manner . overall hotel central warm friendly atmosphere . 
 Dec 3 2008 	 great hotel great location exceptional staff 	 8 we stay birthday celebration London . location beat , great part London lot within walk distance amazing restaurant street behind hotel . the standard room well decorate , clean & amp ; bed really comfortable . room quite small expect London . we comment friendly & amp ; helpful staff include check - in , concierge , barman & amp ; waiter . buffet breakfast excellent . also great snack lunch hotel feel overpriced . criticism would high bar price alcoholic drink . we would recommend hotel . 
 Dec 1 2008 	 Good Perfect 	 stay Hilton Green Park business function combine short visit London partner . we find hotel clean room ( De - lux ) spacious London standard nicley decorate modern style . bed great large flat screen tv.price quite high , beware : give price include VAT ! unusual add quite bit finish cost . pink corridor decor bit odd , toilet public area order mean long wait outside disabled toilet reurn room drinking bar . my gripe bar total lack british beer- something expect London hotel region know 's great real ales- Imagine go Germany getting offer Stella ! poor . bar price also bit steep even fopr London , mysterious & quot ; Service Charges & quot ; add drink purchase bar- penny add up . the breakfast include price excellent , short wait even busy weekend times- top mark ! staff helpful service little slow , forgot bring bag room wehen arrive , room service take age , seem understaffed . the location great however . so , conclusion : sort beer hide charge , speed service good hotel great location , cheap one . 
 Nov 30 2008 	 great location central London 	 stay husband one night last week , use Hilton reward point . arrive Heathrow early morning though wait ( comfortable ) lobby , able check much early expect , grateful . our room tiny , enough room bag available floor space , also clean reasonably well appoint . fine one night . intend room service dinner time way would get tray well . 's pity hotel sometimes give less attractive room be use reward point , way know whether be worth go back be spend hard cash . say , get exactly expect satisfied . hotel good job maintain Hilton standard historic georgian terrace offer good value great location . 
 Nov 3 2008 	 ` ` Great Location Friendly Staff 	 husband stay Hilton green location . hotel quiet street . staff afficient friendly . breakfast good . room huge clean tastefully decorate . location perfect opposite green park short taxi ride west end theatre area london . I would hesitation reccommende hotel anyone 
 Oct 17 2008 	 Research Carefully get Best Value Vacation dollar .... 	 mix consensus review . feel : like location look place lie , may place . someone enjoy spoil enjoy extra little comfort , may good choice . nine day business/ pleasure stay property , disappointed ! UK , expect small room , try keep open mind . true enough , UK traveler may find place acceptable . standard hotel room England small , old , dreary , outdated . love character London ' old victorian brick building , however , end sightseeing day prefer come & quot ; home & quot ; sleep nice soft bed , option turn ac , sleep night away without awaken 30 minute bottle clang outside windows 3 a.m . mid summer , really need ac . choice sleep warm room , tolerate street portable ac noise night . ( air conditioner hilarious ! big washing machine , portable , dryer sized lint hose hang open , unscreened window . ) either way , make restless night sufficient job cooling . believe food tray pick promptly leave hall four hour rot . bag garbage several season pile leave clean outside courtyard & quot ; view & quot ; . surprised report insect rodent . issue absolutely nothing character .... many issue creak floor board not even funny ! ask assistance Concierge booking tour . wait 25 minute , informed would give time wind current duty walk bar glass wine . ask come get ( 15 step away ) time . two glass later , concierge . go back , another group . quietly slip note detail tour want ask call room chance . call never come book Internet . be sure check bill , find number charge not . remove check ticket find write " pay cash " . charge automatically rung room charge , careful opt pay go . sure would happen take step . little inconvenient wade check time , eventually straighten , okay . there Executive Lounge ; small cozy little bar area lobby . suite available fairly nice , however , Diamond member upgrade noticed benefit recognize form . standard room particular property really bad US expectation . small ; sheet , towel blanket wear become threadbare . aesthetic aside , basic , want pay fortune sleep hot , noisy room knobby sheet ? think scatter good review leave lucky enough place suite , UK traveler . research vacation , take review account . always plusse minus , along vary opinion . see , really take chance . room book pay company business trip . opt take chance collect reward point later use . would even disappoint use precious reward cash stay . the location fantastic . important , may willing sacrifice comfort . breakfast good , feel , good value . shepard Market around corner lovely place spend evening . really wish could think positive thing add . for US traveler , London trip lifetime . exchange rate , go expensive room much value . many property price range . use reward point , would look carefully choice booking ; may find level reward expect particular Hilton . lock stay Hilton property , Park Lane Hilton street would MUCH well choice opinion . 
 Oct 1 2008 	 Great 	 Excellent hotel . great location top service , use near future . 
 Oct 1 2008 	 Great Hotel 	 stay partner one night concern , read review . I need not worry . the hotel delight . staff courteous efficient . breakfast perfect . location perfect . room huge tastefully decorate spotlessly clean . I can not believe thing people find complain : creaking floorboard ? notice old building ? .I call character , victorian house ! highly recommend . 
 Sep 30 2008 	 Excellent hotel convenient London sight 	 can not believe bad review . mum stay Green Park 10 year least year love ! staff could helpful pleasant especially Gil , one concierge . the location second none 5 min Piccadilly Buckingham Palace 10min Harrods . want ? 
 Sep 30 2008 	 good location small room date 	 Hotel room small , need update , old style . room hot , keep window open . bathroom also old style . hotel need face lift . get room maze . ancient decor . the location good convenient tube . price good deal really Hilton standard . 
 Sep 12 2008 	 leak Celing Hot Noisy 	 ok think might 1st time give terrible rating deserve ... proslocationthe ConsOn night 4 ceiling centre room start leak fire alarm , drip quite lot , wake husband .. call reception 1 am come throw towel floor solution .. say room may safe fear electricity issue water leak right near light fit and/or cele cave spare room .. leave listen drip water . get move next day last night even small room ! credit we one night stay . scary think big issue old hotel . room TINY step , creak hot , air conditioning fan provide .. bed comfortable . no fridge ! Room noisy , face street 1st floor . Woken every morning garbage truck 3 am , noisy also hear drunk till hour especially sit night . bathroo - toilet make horrible noise flush , like go explode .. make flush toilet middle night difficult . toilet roll arm reach toilet .. stupidist design ever see .. soap dish holder either . we book work 's hilton club member 4 5 star hotel expect lot , disapointe would never recommend stay . reception staff ok , breakfast ok . for money - stay elsewhere . place need major redesign upgrade major repair ! 
 Sep 2 2008 	 good well 	 hotel good location staff quite unpleasant especially breakfast room talk look could kill maybe morning people.we stay Friday night early hour Saturday morning glass recycling wagon come round keep we awake quite awhile maybe room back hotel would good idea.on whole hotel clean reception good staff dining area want good dose customer relation ! 
 Aug 21 2008 	 nice toiletry ! 	 disappointing . long drive France arrive tired hungry give key room fifth floor small adequate - carpet stain . decide quick drink quick dinner . expect London price think £ 7 glass warm white wine bar little excessive . dining room atmosphere , table arrange around room leave large open area middle . menu limited uninspiring , order Thai burger - sound okay thought would least quick . wait hour - offer we bread keep we going come aioli tapenade would enjoy . burger , eventually come , obviously frozen , bap . sweet chilli sauce come bottle - salsa , least look real , save grace . sad meal . waiter , clearly trainee , tell we reason hour wait 'd lot room service order ! staff try need training need . back room ten minute fire alarm sounded - go . husband go reception check everything alright tell not even know go fifth floor . the bathroom turn little well - thermostat shower break - water run scald hot freezing cold . Crabtree Evelyn toiletry lovely - hairdryer blow cold air . not bother breakfast - go Selfridges instead . it get point awful laughing hysterically not funny . not holiday need somewhere comfortable relax , nice meal prepare next day - simple requirement sadly hotel fail provide . fantastic location , even , definitely will not stay . 
 Aug 6 2008 	 Great Location - Good Stay 	 read bad review hotel may contribute low expectation lead pleasant stay . ' m also Diamond HH Member hotel really not help much . club / concierge floor include breakfast ( think would least could hh member ) .i small room 4th floor double bed large swamp cool A / C unit actually pretty good job cool room ( mention outside temp around 70 - 75f ) . little trouble check think somewhat unorganized overall LOVE location . take train direct to / from Heathrow ( Piccadily Line ) Green Park walk couple block hotel . Hung park waiting room highlight great day . 's map / guide call ' MAPEASY ' ' ve really start like travel Europe . 's waterproof / stain resistant , addition popular sight , locate great pub restaurant ( Dublin one also great ! ) . enjoy couple histiric ' pub crawl ' London hotel great location ! ! happy Travels ! 
