Great 	 family & amp ; stay past week . room good size 2 double bed ; 2 side chair ; desk ; walk closet ; kitchenette bathroom ! room clean front desk staff helpful / friendly ! location superb ( 2 block Central Park ) several local eatery within 1 block ! negative street noise throughout night ( window close must thin ) . price though - great find NYC ! ! 
 great family Holiday 	 Excellent hotel . close popular attraction . 
 Room Size vs. Price Location well 	 go NYC always prefer stay Salisbury Hotel people earth hospitable . room quite large NYC price reasonable especially consider location . also love breakfast . always stay December see rockette Christmas decoration . leave tomorrow NYC . 
 Nov 18 2009 	 great value great location . 	 hotel nice find . locate block Central Park minute away Times Square . like good get money . sure not modern hotel around , decor date price right . room clean spacious bed comfortable . come LCD television nice touch . room face back , though view not exciting nice quiet . staff efficient friendly . also inexpensive Continental breakfast worth every penny . would stay hotel ? heartbeat . great location , great value , good staff , could ask . complaint high speed internet ten dollar day . 
 Nov 17 2009 	 great location 	 second time ' ve stay hotel . choose time need suite would accomodate 5 - 6 people . suit large small fridge , sink microwave . location great - walk distance Central Park , 5th Ave , Radio City , even Times Square , Broadway , etc . take subway SOHO Met , even walk back Met Central Park . get continental breakfast hotel $ 6 , still bargain . negative : bathroom need get renovate , date still clean , front room pick noise street . suite time bedroom back , bedroom quiet . still recommend hotel large family group 4 . love location . 
 Nov 14 2009 	 unbeatable combination location comfort price 	 one night Salisbury demonstrate value : reduce rate parking neaby , polite efficient check - in , upgrade suit , large bedroom comfortable bed , flat - screen TV 's , kitchenette , good breakfast city $ 6.00 . small complaint : bedroom air - conditionner bit noisy . $ 143.00 plus taxis . return . 
 Nov 13 2009 	 great location great room 	 friend stay Salisbury late October 6 night . suite huge - large living room comfortable furniture , small breakfast nook , bedroom two nice size comfortable bed bath . lot closet space ! ihotel great location comfortable . recommend hotel traveler appreciate old hotel need room service . many restaurant area would shame waste time eating room . kitchenette / breakfast nook microwave , refrigerator , coffee maker storage cabinet wihch make breakfast snap allow heat great restaurant leftover next day . love hotel definitely back . 
 Nov 13 2009 	 Salisbury . plain . 	 nothing special hotel good location pleasant staff . room big ( NYC ) place clean , little dated . good value money . 
 Nov 9 2009 	 great hotel great holiday ! 	 girlfriend ( fiancee trip NYC ! ) stay 10 - 15 September . meet brother girlfriend stop New York round world trip ! could fault hotel , yes decor little date , add character hotel . would not right ultra modern minimalist ! reception staff concierge extremely polite , whether 6 be 11 pm helpful courteous , make sure tip , great job ! room MASSIVE ! ! book 1 bed suite king bed , get 1 bed suite 2 double , massive inconvenience brother partner use sofa bed living room . room everything could possibly need short break , mini kitchen ( sink , fridge , microwave ) fine , bed extremely comfortable , bathroom look like decorate 70 's add character ! a / c welcome delight day heat , although tad noisy sleep fine ! living room really comfy sofa 2 comfy armchair , flat screen tv ( great Sunday Night Football ! ) selection tv channel great , something everyone . expect street noise overlook W 57th busy street even 12 - 1am 's still pack die couple hour overnight 5 - 6am 's busy . noise not bother we , add atmosphere expect not problem . $ 4 continental breakfast great ! might everyone 's cup tea , eat cereal , bagel , muffin , donut , toast , croissant pastry , tea , coffee , juice great start day ! location also brilliant , 1 min walk W 57th subway station , across street Starbucks Carnegie Hall , next door Pizza restaurant , either end street Duane Reade convenience store also great little supermarket 5 min corner 57th 7th , 5 min away Central Park , 5 min walk 5th Avenue , 10 min walk Times Square , literally slap bang middle Midtown Manhattan , 's sightseeing , be great base ! look around hotel pick one 's location , not disappointed ! be already plan next trip , time 10 night , Salisbury , everything need ! would definately recommend hotel anyone look go NYC ! 
 Nov 6 2009 	 great location acceptable hotel 	 choose Salisbury grab great rate . since , see great rate appear . location near Carnegie Hall Lincoln Center perect everything . much much much less expensive alternative perfectly acceptable . room large New York comfortable . ckloset space amazing . one mild irritation ws thta internet cost $ 10 day . 
 Nov 4 2009 	 good location noisy 	 hotel great spot - close subway , Central Park 5th Ave . however currently next door large hole road currently also repair . consequently , normal city noise magnify often work night road . building site will not finish time next 6 month like sleep , prepared use earplug find another hotel . one see well day - room bit tart - nothing save old bathroom . want make tea bring hot water jug . coffee maker room . microwave small fridge complete ' Kitchette ' list website . internet available room - US $ 10/24hr period . available hour 1/2 hour . 
 Nov 3 2009 	 Great Value Location ! ! ! highly recommend ! 	 stay Salisbury Hotel October one week . book standard double room amazing rate . hotel locate midtown New York City sight nearby . easily walk Times Square , Central Park , MoMa , Metropolitan opera etc … .. two subway station locate 3 - minute stroll away . room huge , spotlessly clean comfortable . also find lot information NYC book magazine room provide hotel . room 17th floor face 57th street . think much noise consideration fact right inside Manhattan . early review report elevator slow . experience long wait elevator . breakfast 6 $ good deal , although really healthy side . staff friendly helpful ! great stay Salisbury Hotel . great base explore amazing New York City . would definitely stay already recommend hotel friend ! ! 
 Nov 3 2009 	 great money 	 stay Salisbury Hotel begin October 8 night . great location - central close subway etc . room good size plenty closet space little kitchenette handy . yes room bit date clean . staff reception varied . helpful other plain rude . dig resurface road front 9 pm 6 am ( unbearable noise ) , guy front desk tell & quot ; get earplug & quot ; explain light sleeper may need room back . even though hotel control city roadwork , basic manner still require ! ! ! roadwork go 3 night eventually move back room . breakfast not great . $ 6 much choose end cereal room . set love hotel read many great review . good value money bit bad luck ( roadwork ) rude front desk staff result we like stay . New York exciting place world budget Salisbury Hotel great mean end . thing recommend inNew York are-1 . Sunday Stimulus Buffet Brunch Tavern Green ( need book ) 2 . good burger ever Burger Joint ( Le Parker Meridien hotel ) 3 . View Lounge Marriott Marquis Times Square . revolve bar 48th floor . go sunset take 90 min go full circle4 . Top Rock - great view queue unlike Empire State Building5 . New York Duck tour fun6 . do not bother Hop hop ticket . get metrocard ( $ 28 ) unlimited ride subway bus 7 day . 1,3 5 day also available.7 . boathouse Cafe Central Park great . 8 . museum History New York wonderful . 5th 103rdwe also day trip Southampton . easy get Long Island Railroad well do summer . Eventhough Columbus Day W'end quiet . nice place though . we Boston day . get 7 am Bolt Bus , arrive 11 am whole day Boston . get bus home 7 pm . exhaust day well worth do not lot time love Boston . ever get back New York certainly look Salisbury could get great price would stay 
 Nov 2 2009 	 good hotel great value . 	 junior suite . wife sofa bed two girl share one double bed boy share . room spacious clean although forget empty bin previous occupant one would expect although big deal overeall scheme thing . ideal low budget big family want explore ny . fantastic time . take bottle opener night anywhere near 15th floor look rear hotel keep curtain shut . ugly fat naked guy & quot ; perform & quot ; appartment 14th floor opposite . creepy ! report reception go deal ( somehow ? ) . hope ! unpleasant . keep curtain shut great time base . great value . 
 Oct 29 2009 	 great locatio 	 stay 2 - 7th oct part 40th b'day trip . Taxi hotel easy get , follow sign & amp ; cost $ 55 include tip . check easy & amp ; quick tell breakfast include although not book breakfast never try like cook breakfast . find small diner 7th Ave breakfast really good . 1 bed suite & amp ; huge , 2 queen size bed & amp ; small .bathroom fine . think room abit chilly could not work heating come radiator not spoil stay . lot info available room local attraction . apartment opposite provide we ' show ' go italian door meal lovely . location great central park & amp ; subway near . eat great place & amp ; even find ethiopian restuarant 10th ave . book car hotel Newark airport ( fly Vegas ) , time & amp ; give we white stretch limo extra cost 1hr drive traffic , cost $ 78 plus tip . would definately stay visit . 
 Oct 29 2009 	 central hotel 	 old hotel apartment . located West 57th St perfectly locate sight seeing attraction . Times Sq Central Park within 2 min walk . subway within 1 min walk . good restuarant / diner nearby . 
 Oct 29 2009 	 clean great location good price 	 Salisbury Hotel one street south Central Park 6th Ave 7th Ave easy walking distance Time Square , Theatres , Central Park . room big comfortable 2 double bed . little tired spotlessly clean . well reasonable size bathroom usable case room come closet safe enable live area clear luggage . Continental Breakfast $ 6.00 per head . hesitation recommend Salisbury . DC MJ Adelaide Australia 
 Oct 28 2009 	 good deal Manhattan 	 Considering price , one good deal NYC . pro : - hotel locate 57th street 6th 7th avenue , close attraction include central park . - 2 subway station locate near hotel 's lot line choose . - room spacious comparison NY hotels.- Rooms clean well equipped.- Rooms flat screen TV- Bathroom clean comfy- Rooms good air - con although bit noisy one- Breakfast one cheap town ( $ 4 per person ) - staff friendly , especially doormancons : could not find ... tip : ask room high floor face 57th street be light sleeper 
 Oct 27 2009 	 great value 	 comfortable lot space ( especially many bag will probably end trip ) . Central Park step . thing , Metrocard , will need . breakfast good not want go , healthy option . seven special day help hotel staff , always polite ready give good information available . highly recommend . 
 Oct 27 2009 	 Great Location ! ! 	 choose hotel base location & amp ; price not dissapointe . 10 min walk Times Square , 5 min walk Central Park . right opposite Carnagie hall . hotel bit old , specially bathroom , clean . bed confortable . Aircon unit bite noisy . Breakfast serve 3rd floor 4 dollar . tea , coffee , pastry , cereal , bread , good value . we get hotel limousine service back JFK 60 dollar , pirce taxi , leave NY style ! would certainly stay Salisbury next time get price get time . 
 Oct 27 2009 	 great location 	 hotel locate 2 block Central Park minute walk Time Square . lobby small fairly normal New York Hotel . bell staff courteous helpful . check female hotel receptionist rude clearly dislike job . book room online request king bed . female clerk tell we & quot ; online reservation not guarantee anything . & quot ; um ? tell we would willing wait hour could King bed . problem wait . room clean great shape age building . would recommend stay prime spot . go Broadway show ROCK Ages incredible ! ! ! ! ! ! ! ! ! ! 
 Oct 24 2009 	 GREAT location NEEDS DECENT DOUBLE glazing 	 good value literally 2 minute walk Central Park . room good size clean although closet smell fish ! staff nice friendly . $ 6.00 breakfast ok hotel must use plastic cutlery etc , could substantial . big gripe however noise - build work bad enough sound like giant angle - grinder well pass mid - night two night re - surfacing road night long bit joke . fact one lady advise put pillow round air conditioning unit attempt stifle sound ! stay Sheraton Skyline London night flight outside could hear plane engine charge room , nothing ! want no - frill hotel good location hotel fit bill . 
 Oct 23 2009 	 Excellent 	 well say ! could fault hotel . excellent location . hotel come recammende friend work . be NYC 3 day sailing QM2 . arrive little early check problem , bag be keep safe go explore . really please emailed hotel request high floor , get floor 17 , perfect . yes review hotel may need bit paint , pay , not really mind , not go NYC spend time hotel . room excellent , clean plenty hot water . pay $ 6 breakfast , everything could want . would defitnatley go back stay Salisbury hotel . perfect location fab meal @ Central Park restaurant call Tavern Green , WOW ! really wait get back NYC Salisbury Hotel 
 Oct 21 2009 	 Location Location Location 	 second stay Salisbury . one bedroom suite give four we , include two teenage boy , ample sleep living space . bathroom bit squeezy one person . location superb two block Central Park leisurely walk Broadway Times Square . breakfast provide rise price $ 2 $ 6 since last stay 2007 still represent good value convenience . pleased say lift seem work well although peak time get rather crowd . overall represent value money New York particularly good family . 
 Oct 21 2009 	 love hotel .. breakfast price rise .. Green Cafe next door good breakfast 	 frequent visitor NYC love Salisbury . however , recent stay discover continental breakfast price rise 4.00 6.00 . one get full hot breakfast Green Cafe next door . staff nice work hard provide high quality food fair price . back hotel Green Cafe . 
 Oct 20 2009 	 good location 	 stay 2 bedroom room 6 adult New Years Eve . great location time square . close central park . cafe near decent meal . close touristy stuff . 
 Oct 19 2009 	 great location value 	 spend 3 night somewhat quirky great value hotel . we one suit room massive , cupboard large NY hotel room ! not expect 5 star decor fitment hotel clean bed 1st rate . location could not well staff fantastic .... good value city ! stay away madman watch shop 3 door ! ! ! 
 Oct 16 2009 	 large room Great Location 	 old hotel room large , 2 closet ( 1 walk - in , 1 regular size , kitchenette include sink , microwave , large normal refrigerator . hotel offer continental breakfast $ 6.00 fee , reasonable . also clean . great location walk Rockefellar Plaza , Top Rock , New York Public Library , Empire State Building , Central Park , St. Patrick 's Catherdral , Grand Central Terminal , Bryant Park , Times Square , Carnegie Hall , FAO Schwartz , Trump Tower , Radio City Music Hall . fantastic place stay ! ! ! 
 Oct 15 2009 	 convenient location spacious room clean 	 hotel well position close Subway , Central Park , Broadway , Lincoln Centre , moma shop . reasonably price italian restaurant next door french cafe around corner . close supermarket ( 3 block ) drug store ( 1 block ) . large room ( two double bed ) small pantry include fridge microwave . safe room . room maintain daily . room clean ; bathroom old contain bath wonderful shower . room large flat screen tv internet access . room face back reasonably quiet night warm stuffy ( airconditione available ) . staff approachable helpful . would use hotel next visit New York . 
 Oct 15 2009 	 highly recommend price location room size cleanliness 	 absolutely would recommend hotel ! great location , spacious room , clean great price . not think get anything else NYC combination . book Expedia able get suite $ 255 queen room ( friend ) $ 207 ( plus taxis fee ) . friend able upgrade suite check - in desk charge read internet - wish know . hotel staff friendly accommodating . large flat screen tv room , small area living room microwave , coffee machine small refrigerator . furnishing large living room little & quot ; stark & quot ; absolutely satisfactory . vanity bath could slightly large storage . lot closet drawer space . super location two block Central Park Columbus Circle half block Carnegie Hall . not need super - plush accommodation want super price , lot space , good location , cleanliness comfort hotel - would say hotel anyone . 
 Oct 13 2009 	 Excellent Location 	 stay suite hotel . minute walk Times Sq Central Park , also subway 57th St rest Manhattan maximum 10 minute away . room face 57th St might find traffic noisey - hotel NY . breakfast ( throw free got - ordinarily $ 4 ) , cold boil egg , croissant , juice etc . ok want eat lightly morning go . 
 Oct 12 2009 	 great location 	 great value massive room , walk closet , large bathroom great location bootwould stay 
 Oct 12 2009 	 Location Charm Comfortable Beds 	 hotel fantastic . right middle New York perfect launch place New York pursuit . near major shopping attraction , step Subway , 15 minute stroll Times Square minute Central Park . 1 bedroom suite book perfectly suited tribe four ( kid 14 12 ) , plenty space kick back rub sore foot ! ! . staff front desk terrific , issue 6 night nasty little Porter / Bell Hop , expect tip simply breathe look direction . never sample breakfast room hotel , charge $ 6 pp , per day , can not rate , everything else great . staff front desk helpful give traveller advice make sure saw stand coupon voucher , use extensively . get use noise outside , vibe City , reflection hotel , place really not ever stop . cost , location , front desk extremely comfortable bed , need look anywhere else . 
 Oct 11 2009 	 's everything want NYC stay 	 Salisbury Hotel build 1939 . be change much since ... respect building room . 's modern . fine night ' stay . seriously , be New York City . be two block south Central Park , half - block Carnegie Hall , close several major subway stop short walk Times Square . want hotel fancy pool gym amenity ? fine - go spend $ 450 night . come on ... be New York . 's three rule golden night ' sleep come play:1 . room safe ? yes . not let peel paint door inside closet fool you.2 . room comfy ? yes . 's New York , upgrade free one - bedroom suite . big apartment miami beach.3 . room quiet ? NYC standard , pass . curtain bedroom not blot street noise , light sleeper get earplug . the room warm stuffy arrive window open . plus . the bathroom small bathtub remind home . there hdtv.the bed little stiff bedbug . it be clean . simple . affordable . near everything want NYC.Oh , continental breakfast go $ 6 October 1 , $ 4 - still bargain city $ 3.50 get caffe late Café Europa . what else want ? next door Angelo 's Pizza . Morton Williams fine grocer block west . Discount russian Tea Room . Carnegie Deli close . there be well , be much , much bad . save money nice meal stay Salisbury . 
 Oct 10 2009 	 Great Location 	 great location , subway stop top block . walk distance attraction .. central park , time square . subway easy use . hotel old hotel huge room NY city . 4 we stay suite go front / back enough room . continental breakfast $ 4 perfect . stay return . 
 oct 8 2009 	 Great Location 	 large , clean room , bathroom date . excellent location close subway Central Park . fantastic deli nearby get breakfast , lunch dinner ! 
 Oct 8 2009 	 nice place stay 	 hotel nice , clean & amp ; quiet . nothing grose stinky . room big nice . hotel new give feel characture . would stay . good location . 
 oct 8 2009 	 Best Hotel Money NYC 	 find hotel AAA guidebook 1986 . not stay anywhere else trip NYC . location price always meet need . 's close Central Park , Subways , right across street Carnegie Hall . staff friendly helpful . elevator slow peak time . , $ 4 Continental Breakfast could well . , continue stay Salisbury next trip Big Apple . 
 Oct 7 2009 	 Nice Hotel Near Central Park 	 stay hotel twice find location great - close Central Park , Carnegie Hall subway station . trip , first room double bed ask move king accommodate next day . good Continental breakfast cafe restaurant close . breakfast $ 6 , New York 's bad . eat across street Norma 's Le Parker Meridien 4 time one morning . salisbury staff helpful . Bellman efficient , housekeeping bit slow . breakfast room attendant courteous efficient . hear least three language speak hotel guest breakfast hotel frequent English , german , french tourist . construction go block noise issue . however , good , clean , safe spot stay New York . 
 Oct 6 2009 	 large quest room great location 	 large comfortable guest room small kitchenette . restaurant $ 6 continental breakfast offer . lot place eat nearby central location . nearby construction noise could problem . 
 Oct 5 2009 	 great location suite room many NYC apartment 	 stay Salisbury April 2008 attend Ring Met . Salisbury Park Central ( also stay ) close walk distance Lincoln Center , reasonable amenity , reasonable rate . empire , example , right across street Lincoln Center hot bar roof line around block 1 am noise go . trump , Essex House , & amp ; Ritz Carlton expensive , even small room , not discount . reviewer note , Salisbury bit fray around edge , example , water sink bar not work visit . however , try keep thing clean amenable guest . suite huge , would estimate order 700 sq foot , well lay . robuchon couple block away four season Jean Georges couple block direction . fact , every good restaurant except Bouley within easy walk distance . get excellent rate Expedia / Hotels 175 suite think great deal NYC go Met Carnegie Hall directly across street . 
 oct 2 2009 	 Rundown adequate 	 hotel great location , Midtown sight Central Park within walk distance , basically 's good hotel offer , despite somewhat exaggerated rave review other . we ' double double ' overlook 57th . noisy ( double glazing ) construction work side , lady front desk honest enough tell initially ask change room . not move anyway ( much hassle ) , eld daughter thrill see favourite tennis star morning set Flushing Meadows Parker Meridien across street . the room big , guest already say , handy kitchenette entrance . bed comfortable room clean , overall impression whole place need overhaul least lick paint . bathroom fitting look like have instal brother - in - law 1982 ! in - house breakfast ok - plenty eat huge choice - 4 $ mean eat quickly + cheaply get sight . all , stay fine , staff certainly helpful ( bell hop arrange transportation Kennedy Airport us good car / driver final afternoon ) already get well deal ( much ) well hotel ( low ) Manhattan would probably go back instead . 
 Sep 29 2009 	 nice great location 	 good location , close everything Central Park Times Square . subway also close . room big clean one comfortable king - size bed . room microwave oven refrigerator , refrigerator would nice have . breakfast good value 4 dollar , get breakfast deli price easily double one person . queue breakfast room 8 - 10 morning . one negative thing building site close hotel . luckly disturb first morning . a wonderful stay mind - blow city . happy spend night nice hotel . 
 Sep 28 2009 	 Great Hotel . 	 stay Salisbury 26th August 2nd September room 1505.we stay standard 2 double bed room . NYC many city standard room huge . 2 walk cupboard . one safe plenty clothe hanger . also iron iron board one cupboard . the bathroom spacious not trouble shower water pressure other mention . bathroom clean , plenty toilet roll complimentary soap shampoo 's .. kitchenette extremely handy . everything microwave fridge work . use micro every day heating water tea . utensils though , take long spoon , fork knife need to . there large flat screern tv sleeping , bad choice channel . also armchair , chest draw writing desk . small chest draw bed radio alarm clock . everywhere room clean . also clean every day . be aware window fully open . be young child make sure window lock air conditioning work fine . boon warm weather , even though rain couple day . one downside room face main road . build work couple hundred foot away . started start early . wake wife every morning . hotel fault mean . the bed hard comfortable extra pillow blanket cupboard need . the room door solid e heavy door chain go along 's lock system . feel quite safe . if need ice drink , ice machine 3rd floor along side confectionery machine . the lift extremely slow breakfast time . efficient time daythe staff efficient , friendly well service staff encounter NYC . go look Al . man could not enough help we . also extremely friendly efficient . day check allow leave bag hotel charge . not agree shuttle service order allow leave bag there . when come collect bag Al give daughter complimentary Salisbury Hotel bag souvenir . even take photo we upon request outside hotel get taxi . enjoy give man substantial tip . we not try breakfast . instead go Green Cafe door hotel . reasonably price food delicious . this hotel close everything . Central Park , Times Square , 5th Avenue name . get bargain money stay here . we can not say enough good thing without review turning volume . you will not disappoint stay . enhance stay NYC even know stay great hotel . we definitely stay next visit fantastic city . 
 Sep 27 2009 	 expect . 	 great location , subway close , pay $ 180 ( tax etc Expedia.com ) one night get one bedroom suite , 11th floor , spacious , bit date clean . internet 24 hour $ 10 . great value buffet breakfast $ 4 . got early check 1 pm useful come cruise ship . friendly service reception desk , guy bell desk helpful . join 15/15 Club stay eligible free upgrade suite , besides get point , 1500 point give one free night stay : http : //www.nycsalisbury.com / default.aspx ? pg = frequent - signup & amp ; rp = special_packagesdislike , nothing really , get expect money . 
 Sep 27 2009 	 great comfortable hotel businessman 	 travel annually City business conference return Salisbury year . room unusual old NYC hotel - they good size . good sized desk comfortable business chair room .. Micro + refrigerator room + great especially stay week want light meal . 2 major subway line 1/2 block away . Central Park 2 block away warm weather highly patronize work great experience long walk . many restaurant within walking distance . high end shopper walk east 57th towards Fifth Madison Aves . theater far 7th Ave . stay numerous hotel NYC , recommend hotel stay west Midtown . 
 Sep 24 2009 	 Great Hotel 	 Perfect hotel . arrive hotel 5 hour early come cruise . Al , Doorman , helpful checking bag getie we check early get key 2:00 . room large two room suite two flat screen HD tv 's two queen bed . room extermely clean well appoint . location great , across street Carnegie Hall , 2 block Central Park , within 15 minute walk Times Square . would recommend hotel anyone . 
 Sep 24 2009 	 huge room fantastic location 	 location brilliant travel small child want near park , 5th Avenue , Times Square subway . room outdated cleanliness could fault . much room family spread exhausted see sight . downside rude front desk staff check . despite book king suite , rather rudely tell request could met none available would two double . despite person check immediately we change king suite suite two double ! New York full incredibly friendly local certainly exception . hand , doorman last day brilliant , organise everything include limousine ride airport - huge hit kid . 
 Sep 24 2009 	 would stay 	 lovely hotel , room clean big New York standard . get disturbed night street noise , honest , expect New York . nice hotel access Central Park literally round corner , beautiful location . 
 Sep 23 2009 	 Great Hotel Fantastic Location definately back 	 score big time hotel . look Sheraton other luckily opt . 2 subway station within 100 yds main site , Times square 10 minute walk away , great continental breakfast ( bagel , doughnut , cereal , toast , coffee etc $ 4 ! ! ) yes , room bit date one small one ... 2 double bed , aircon , ensuite , kitchenette microwave , fridge sink well 2 huge walk wardrobe . far enough main drag noisy close enough walk easily eg rockefeller plaza , 5th avenue 1 block away , central park 2 block , also main bus stance greyline bus tour 10 min away time sq . eating , long weekend find Cafe Europa corner 57th/7th ( 100 yds hotel ) great breakfast , lunch coffee . go past europa world beat deli stock fridge snack may need . across europa Brooklyn Diner , great evening meal , one block 7th ave , try ' BenAsh ' cafe , traditional jewish / New York menu vibe , expensive ... well , expensive lot place around . PS , little tip , Empire State totally overrate , much well / less busy ' Top Rock Rockefeller plaza . also , do not pay fortune go liberty island , jump Staten Island Ferry ( Free ! ) go right past liberty island statue ( starboard side way port side way . get staten island , go round departure door trip back . total time , hr . Tip 2 , Staten ferry leave Manhatten , stay back boat great shot downtown skyline . everyone else jam front get photo way back . good holiday life , great hotel . PS try get Museum Natural history next Central Park .. 
 Sep 22 2009 	 exactly needed . 	 would hesitation stay . want see new york perfect place start . right central park . check easy , even though be early . room great excellent size . porter friendly helpful reception . order we limos brilliant advice . the breakfast need could not say bad word hotel.great stuff.as people complain noisy new york outside window ... grow pair ! 's new york ! 
 Sep 21 2009 	 close cheep . 	 Perfect place middle manhattan , close park , time square everything inside walking distance . 
