handy 	 stay airport couple time , select proximity airport . first time stay shortly Olympic Games . hotel practically empty service attentive , friendly occasionally haphazard . next visit arrive North Korea - probably enhance appreciation hotel ! bar , stay , virtually empty offer good international sport coverage TV . shuttle service airport work well . word warn : taxi driver difficulty find hotel , even show address Chinese . one evening use - ! - limit chinese help driver find hotel . 
 Jul 22 2009 	 nice place convenient airport not walk back mall 	 service exceptional , room fine , swim pool nice altho make wear show cap visit euromall - great restaurant - recommend blue frog ! not walk back - need taxi footpath . book airport shuttle next day convenient . really recommend proximity airport stay Beijing 
 Jul 14 2009 	 Service need improvement 	 stay two night ( weekend ) end business trip China . nice hotel comfortable room locate close Beijing Capital Airport . however , problem hotel service provide personnel standard . example : 1 . use airport shuttle disaster . book shuttle 9:30pm bring we airport hotel . shuttle arrive , call hotel 9:35 pm although mention van way , arrive 9:55 pm ( ~ 15 minute drive ) . day similar problem hence conclusion hotel staff able organize shuttle airport pick - up properly . 2 . level english spoken hotel staff poor . call hotel shuttle , could communicate even simple issue ( pickup point shuttle ? ) front desk people concierge . 3 . checking , charge 3 time daily maximum internet usage ( 3 x rmb 120 ) . mention immediately hotel less 48 hour . take least 10 minute convince front desk people finally admit error , correct apologize . summary , beautiful comfortable hotel would recommend anyone . remember annoyed hotel behavior hotel staff last year ( travel lot ! ) . hence , stay hotel particularly use hotel shuttle unpleasant experience induce lot unnecessary stress . 
 May 16 2009 	 great Find 	 Incredible Hotel ! beautiful lobby great room . downside distance downtown - 90 - 100 yuan taxi ride . , stopover travel , near airport . new hotel staff friendly help every need . charge internet access . restaurant good staff attentive ( even breakfast buffet ) . offer free shuttle airport good fitness center spa . hotel safe quiet . excellent place relax flight US . 
 Apr 30 2009 	 Nice hotel strange experience spa 	 transit Mongolia Frankfurt stay 1 day . true hotel quite industrial location , transit stay 's good location , far Airport . staff friendly , airport shuttle work well deliver Airport schedule . room also fine . problem lighten . manage understand switch various lamp . switch together , separately . however , strange ( would say , displease ) experience spa . room see advertisement offer foot massage , chinese massage oit massage 180 , 280 380 rmb respectively . phone spa ask foot massage chinese massage . spa manager persuade take foot massage chinese oil massage . lady come room 19.30 show menue another type massage rmb 520 . ask English stick original plan , later discover nevertheless follow one 520 . be ok , attribute linguistic miscommunication . overall , 21 , good specialist field , massage look professional . however , end disagreed charge room insist cash . Euro , instead 575 rmb ( 520 + service ) give EUR 75 . 's strange thing begin . call manager manager send room prostitute - look lady allow room 1st masseuse , . inspect Euro note , start offer sex service - ' another kind massage ' . imagine - massage bed dress underwear start happen front ! ! ! dress blue uniform even list price service description ... say ' no ' . ask ' why ' . say ' not money , order kick ' . say ' you charge credit card ' . say . start demonstrate br etc etc etc . clear not want service , call spa manager without permission allow room one prostitute look lady . shout ' leave call secuirity ' leave . raise bed dress front , look , . admit hotel management may aware outrageous spa worker become . calm , day extremely outraged , trust . throughout 10 hour journey Franfkurt thinking ... be unimaginable - 4 star facility thing happen . 
 Mar 28 2009 	 Nice Looking Hotel - Terrible Service 	 specifically book hotel close proximity Beijing Capital Airport . website also state hotel offer airport shuttle . airport shuttle , however , woefully unreliable . make reservation 6 hour prior pick ( require 1 hour notice ) . wait 60 minute representative hotel meet we . tell shuttle way delay due traffic , wait additional 30 minute finally give pay taxi . mind , way hotel see traffic . arrive hotel 15 minute later shuttle still front hotel . inquire situation , conceirge inform we responsiblity find shuttle airport - way around ! speak another guest ( frequent business traveler ) shuttle tell we simply take cab hotel 's inability incapacity coordinate logistic shuttle . fact , morning departure flight , bell boy load luggage shuttle . shuttle thereafter leave airport without US . unacceptable . eventually , hotel private van take us airport meet luggage . mess . service hotel terrible never stay . want stay close airport last night China minimize stress night return U.S. , stay instead heighten stress level . stay away . 
 Feb 9 2009 	 nice middle nowhere 	 need place stay overnight transit city China 's interior ( fly afternoon ) , way back U.S. ( would fly next morning ) . choose hotel location close Beijing Airport . . . less 10 minute ' away . pay 612 rmb include breakfast . Taxi fare Beijing Airport hotel 22 rmb . always dread get taxi airport short - distance ride ( i.e. , low fare driver may queue hour hope high fare center city ) , driver seem care . . . maybe provision cut front line go back airport short ride . taxi driver get little lost way , fortunately hotel 's phone number show could phone turn 2 minute away point phone call . the hotel nice modern ; clean , comfortable room high quality bed luxurious bathroom . Chinese New Year holiday ( Jan 2009 ) hotel eerily empty . suspect primarily business hotel business do CNY holiday ; people travel leisure cold Beijing January , , vacationer would opt stay middle industrialized area way airport . the staff friendly . . . fitness center quite nice - large big glass exterior window , free weight , 8 weight machine , 3 - 4 tread mill , couple ellptical machine couple stair climber . exercise machine individual tv build - in fan . fitness center also large pool ( though use ) .I ' m spa kind guy , special 60 - minute foot massage 99 rmb , try nice . only two downside hotel , neither big deal:1 . remote location midst industrial park type area ; shop restaurant nearby much anything see look want interesting leisurely stroll . , averse mini - bar source diet Coke candy bar , forewarned can not walk street convenience store.2 . english staff great ; message light phone blinking . . . instruction push button retrieve message . . . push button rang switchboard could figure want . . . eventually pick say word & quot ; message & quot ; interpret & quot ; massage & quot ; transfer spa & amp ; salon . go downstairs speak front desk think try tell phone break . Uggh ! ! ! later discern wife call . put blink message light 3 room phone rest stay ( overnight , cover light paper ) .The hotel offer free shuttle bus hour airport , use . one bus . tv usual assortment english channel find Asia . . . e.g. , CNN , CNBC Asia , HBO . 
 Jan 30 2009 	 yet 	 Hotel convenient Airport Internation exhibition center . actually second stay - first prior official opening . the hotel amenity would expect new property other mention extremely new staff not training would expect Crowne Plaza . business Shun Yi area mean stay room clean food bad . look see sight Beijing - spring Hotel downtown walk around 
 Jan 30 2009 	 poor service high price poor location 	 hotel mod con room fault not close airport taxi driver idea hotel service element there . the management must Chinese not understand western value inacceptable . charge western price expect western service . I overcharge 20 yuan something point member staff . could not anything authority ... remember spend nearly 1000 yuan stay 20 yuan ( less $ 3 ) call hotel manager hotel manager refuse remove $ 3 charge ! regardless wrong right , customer spend $ 150 unhappy $ 3 charge immediately remove . could pay principle . avoid place unless not mind getting fleece . 
 Oct 6 2008 	 great new airport hotel 	 Crowne Plaza Beijing Intl Airport Hotel openne July 2008 . side hotel brand new really gorgeous . side staff member struggle english . say , staff gracious welcoming , even provide tea check . several restaurant lobby bar , gym , business center , broad band room ( 120cny / day ) , etc - usual amenity hotel class . room quite comfortable , high quality linen , tv multiple english channel include CNN HBO , bath marble shower tub , bottled water course even water potable . free shuttle airport hour . ride take 20 minute . 25 cny taxi . good choice early flight worried traffic delay central Beijing . 
 Sep 21 2009 	 Sehr gute Business - Hotel Randlage 
