nice 	 husband sepnd three day NYC friend 's wedding ; Millenium Hilton chose hotel wedding party guest . first . plus : hotel elegant well appoint ; stay junior suite 21st floor , view Manhattan WTC construction site , well Hudson river - can not beat ! compare average NYC room , Millenium Hilton spacious room ; even bathroom large . bed comfortable . for minus : construction WTC site go overnight interruption - first night sleep ! addition unbeliavable construction noise , fact hotel facade completely open expose wind - strong gust wind - feel like window break . , despite comfy bed , sleep . thsi really ruin experience .... another ( small ) issue restaurant close 2 5 pm , time frame even room service - arrive 1:45 refuse service . minor point go local eatery , hurry get somewhare time spare . also , concierge recommend nearby italain restaurant fact close ( least know concierge ! ) would recomme hotel people bother loud , constant noise throughout night ; would suggest wait major contruction WTC ( couple year ? ) 
 Excellent Stay 	 happy stay Millenium Hilton , especially since get $ 130 per night Priceline Thanksgiving weekend . since holiday weekend , noise really issue we although jackhammere hour Friday afternoon . go day , see people would upset . hotel try make thing right - even check room , offer we sound machine earplug . think current price probably reflect noise inconvenience . the location fine easy take subway anywhere . Cortlandt Station right front hotel . also walk across Brooklyn Bridge , nearby . lot go area not really matter NYC since easy get part town . the tv remote annoying . first thought need new battery , turn hold certain angle change channel . would nice would something . small nitpick , love stay would happy stay . 
 Oct 20 2009 	 Great Value - Noise problem 	 find Mil Hilton great value . almost half price comparable room mid town . room clean , staff super helpful location super close subway . expect , construction Ground Zero distraction [ fascinating watch ] . view room spectacular . noise construction annoying awhile get use [ sort like thunderstorm go ] . short term problem . area around hotel seem safe night zoo midtown . several quaint sandwich place open get really fine sandwich bottle wine enjoy room . would stay . 
 Oct 19 2009 	 Poor Service make stay huge Disappointment . recommend ! 	 wife one night stay Millennium , quite frankly , hard see anyone would choose hotel option unless want view WTC construction . less twenty - four hour period hotel , Hilton manage to:1 ) take 45 minute check we in,2 ) completely incompetent cashier store -- could figure charge we aspirin ( let tell , stay bring plenty -- construction WFC start early ) , 3 ) send another room 's billing material we -- require we speak two different rep get correct material . but bad maid service check alarm clock room ensure . alarm go 3 -- good leisure travel . even clock pull wall alarm / stereo manage go another two time . final straw we consider Millennium suppose 4 diamond quality . add insult injury , notify management issue , weakly offer & quot ; comp & quot ; next time use hotel . really , like someone would pay experience ? tell year back sinilar issue Ritz Carlton -- spot offer free night dinner appologize -- think will use future . so total , many great hotel experience NYC , would ABSOLUTELY look ELSEWHERE -- MILENIUM COMPLETE DISAPPOINTMENT ' D never use . 
 Oct 19 2009 	 ditto bring earplug 	 recognize New York noisy , be high Hilton Millenium , construction ground zero pretty loud , even weekend . room clean business traveller downtown , location could not well . be bit overprice , hotel New York . 
 Oct 14 2009 	 Bring Earplugs 	 Millenium Hilton high tower hotel directly across WTC / Ground Zero site . room nice clean , view Hudson River / NJ incredible . however - buyer beware ... construction Ground Zero start around 5 am go incredibly loud volume - even Saturday ! get major discount hotel Hotwire , would not repeat - even rate . also , wireless internet , radio / cd not seem work . image beautiful large flat - screen tv strangely terrible . the location Lower Manhattan convenient Financial District , City Hall couple subway stop , really ideal term central location tourist . good restaurant night life nearby ( West Village would longish walk ) . room nice enough . lobby area small tiny bar . 
 Oct 10 2009 	 great hotel ... not mind little background noise . 	 great hotel prime location . locate near WTC , hotel feel central great shopping , restaurant tourist hot spot . nearby subway station make easy get anywhere city . staff courteous helpful direction restaurant recommendation . gym pool clean well maintain . room big ( NYC standard ) well equip . across street WTC , hear construction noise almost 24 hour day . bring bottle sleep pill noise might bother . live downtown Philly , ' m use sound city noise not bother much . overall ... great stay great hotel great value . 
 oct 9 2009 	 Millenium Hilton perfect private getaway ! 	 boyfriend go NYC together September . Millenium Hilton close enough everything grab taxi jump subway right across street . get early expect problem early check . staff amazingly polite helpful . night quiet 38th floor . much outside noise come night . hotel set way not hear people shuffle busy hallway . housekeeping polite keep place immaculate ! say enough nice thing stay hotel . memorable definitely stay ! be right across street Ground Zero could see room ! 
 Oct 8 2009 	 nice location great price ! 	 go NY honeymoon . stay hotel . nice hotel . much food restaurant around though . stay . 
 Oct 8 2009 	 would stay anywhere else ? 	 love Millennium Hilton ! book room Orbitz get 3 % Fatwallet cashback , combine Entertainment Book coupon code , save bundle ! call directly Hilton trip talk front desk clerk little volunteer bump we high floor room Orbitz give we . would definitely recommend stay floor 31 high , view spectacular 's almost noise ' round clock WTC construction site be directly across street . arrive hotel 9:30 morning go concierge ask keep bag check - in , said & quot ; check ? & quot ; really ? 9:30 morning ? extra charge ? ok ! Bellhop grab luggage go . impressed room . Hilton not let we yet . open door clean , fresh smell , spacious room . worry standard room would nice enough romantic getaway , absolutely . plush King bed trim , wall mount flat screen , even sofa chair executive desk , be . little interaction staff 4 day stay pleasant cheerful , always seem eager help . housekeep great ! security never question . lobby front entrance well light always doorman , even midnight . financial district mostly quiet weekend , even , NYPD officer post hotel Friday Saturday morning week 9/11 . thing need know location Millennium . be directly across street Century 21 discount clothing store ( could spend hour shopping , separate 3 story annex shoe ) . starbuck within walking distance either direction also Dunkin ' stand . Fulton St Subway Station step side door hotel , get right uptown . 's minute Chelsea Harbor Market plenty shopping Bodies Exhibition ( see ! be worth every penny ! ) . 2 1 coupon NY Entertainment book buy online $ 10 buck go . 's worth Bodies coupon alone . trip fantastic thank Millennium Hilton . will post trip report soon ! thank read ! 
 oct 8 2009 	 Excellent hotel location 	 want see Ground Zero , locate near Wall Street Brooklyn , great location . find good deal hotel ( $ 199 / night ) use public transportation everywhere . room large , clean , quiet , good ventilation great view ground zero . starbuck around corner nice . 
 Sep 25 2009 	 Beautiful Hotel Good Location 	 partner return long weekend New York . stay Millenium Hilton church street overlook site ground zero . hotel lovely . staff helpful reception door man . always ready help catch taxi need bag shopping . hotel situate opposite end Central Park ( walk one day quite tired ! ! ) apart site walkable ! hotel necessity could need include : hairdryer , coffee machine , air conditioning , extra towel , shampoo etc . forgot travel plug hotel even able provide one ( UK USA ) . hotel sort quiet area ( anywhere New York quiet ) . trip Times Square would cost 15 20 dollar include tip depend peak time . buy room travelrepublic.com cheap mile . beautiful view sea mention ground zero . Ground Zero still much rubble however 9/11 museum around corner hotel plan memorial look lovely . year complete view absolutely gorgeous . century 21 couple minute walk south hotel find designer brand knock price need fish thing . hotel quite close ( maybe 20ish minute walk ) Battery Park go ferry take Statue Liberty Ellis Island . I would say must go Broadway . go New York 22nd nov 
 Sep 22 2009 	 Disppointed . 	 spend one night Millenium Hilton , book Priceline . provide background , usually stay 5 star establishment . upon return room end long night , find bedsheet hair fit sheet pillow case . promptly somebody room change sheet . however , next set sheet also hair . follow morning , speak manager duty . state aware called & quot ; late night & quot ; complain sheet . state planned look matter housekeeping , company service sheet . plan anything remedy inconvenience . ask parking fee waive , reluctantly agree credit half . find disgusting , unacceptable guest book room sheet clean , possibly sleep already . staff Hilton . furthermore , wonder , odd couple travel New York City weekend return room & quot ; late & quot ; night ? manager 's response complaint unsatisfactory , tell plan ask staff person change sheet put . purpose ? also , noise construction quite loud , keep mind book room . 
 Sep 21 2009 	 average 3 star business hotel 	 return 4 night stay whilst business trip New York . the hotel actually opposite Ground Zero quite spooky , get good view room construction work new world trade centre . the hotel tip southern Manhattan , good location shop multiple store around hotel , notably Centurty 21 extermeley busy chaotic , definately good value . tribeca , Greenwich Village SOHO cab ride away Approx $ 20 . want go mid town Manhattan , need get Metro daytime , traffic make feasible get cab . the hotel 2 bar , bar ground floor , get busy . second bar level 3.Breakfast expensive hotel , would get much well value find diner plenty around hotel vicinity . the hotel decor seem tired would benefit makeover lick pf paint , room decent size clean . disspaointe house service refill mini bar 2 day , issue watne minreal water night . I ask reception this . the hotel decent gym nice pool , please note pool open 5:30am - 9:30am 17:30pm 21:30pm Mon - Fri day Sat Sun . a bit bizzare really want go swim weekday . overall , average 3 star price $ 299 / night . srevice pretty good , say New York . visit follow resteraunt , excellent . Jewel India Marinellas- Italian 
 Sep 18 2009 	 Excellent Hotel 	 time time get fabulous rate property Hilton website . weekend rate generally good , sometimes also apply mid - week rate business low . room spacious NYC , clean decorate contemporary , though cut edge , style . great view upper floor . nice indoor pool . Perfect downtown location easy access several subway line within one block . trendy hangout tribeca easily reach short walk . Millenium Hilton first choice looking accommodation Manhattan . price right , not look . 
 Sep 7 2009 	 Awesome ... 	 everything great . staff anticipate every need . view breathtaking . totally worth . well view hudson grind zero . room spotless well maintain .... inroom dine pricy good quick . I generally stay hilton pleasantly surprised . great shopping soho next century 21.one thing ... start construction ground zero really early may loud ... actually enjoy ... remind get enjoy New York . 
 Sep 7 2009 	 dream Come true New York City 	 first time ever NYC . summer & quot ; family & quot ; trip ( 19 year old son , 16 year old daughter ) . Millenium Hotel financial district - near tip Manhattan - across street Twin Towers . rent 2 room - one husband / son one myself / my daughter . bed luxurious unbelievably comfortable . rose morning walk Manhattan hour would get back hotel , would take shower pristene bathroom crawl cool sheet - truly paradise . keep room cool - hot outside lucky 5 continuous day sunshine . we visit Century 21 ( shopping plaza ) next door hotel . busy lot shoppe - quite understandable deal designer clothing / item good . kid love label ( Lacose , Tommy Hilfiger , Dolce & amp ; Gabanna ) affordable Century 21 . visit Macy 's really cool boutique reasonable ( daughter buy 2 pair gorgeous jean - $ 19 pair ) . jean home ( Canada ) would $ 49 + . outdoor restaurant / cafe price reasonable food good . we walk Staten Island , water could see Brooklyn Bridge - dream come true see site enjoy t.v . exciting see New York City & quot ; person . & quot ; purchase ticket Broadway play & quot ; Rock Ages . & quot ; everyone family enjoy immensely . feel happy afterwards . ( Anne Hathaway audience ! ) . Time Square beautiful busy - surprisingly busy thought would . visit Madame Tussauds wax museum . go crazy saw & quot ; Jon Bon Jovi . & quot ; visit Ripley 's Believe . enjoyable ! although ' m afraid shadow , decide take helicopter tour City . beyond exciting happy . ( although month arrive home , terrible helicopter / plane crash Hudson ) . fly Ottawa , Canada New York City . trip $ 5,000 total worth every penny ! aside , say people New York City warm friendly inviting . never forget special trip New York City . 
 Sep 6 2009 	 excellent clean hotel base right next massive worksite 	 Read review will see summary : nice clean room , potentially lot noise WTC reconstruction work , expensive breakfast , free internet / wifi , find cheaply hotwire / priceline / etc . I second . manage book $ 144 / night three night last minute hotwire . check 2 pm problem give room 53rd floor . stunning view river WTC site ( look construction interest ) . not bother noise bring ear plug , take sleep tablet , really think 's go issue . frankly Manhattan hotel suffer noise pollution sort , not like noise stay out . it be right next door Century 21 ( discount department store ) apart , not much tourist not let put - area amazingly well connect subway cab Soho not $ 8 - 10 . night quiet hotel well staff , great night come back place feel safe welcoming . Hilton hotel , expect polite discrete service aim primarily business traveller . 's home home good clean bed / shower / desk use base explore Manhattan beyond . 
 Sep 5 2009 	 not enjoy nickle dim . 	 17 - year - old daughter spend four night Millenium Hilton . get great rate Priceline , see Orbitz offering rate $ 140 / night . read cautionary review , request room high floor would not hear construction noise . 34th floor hear bit , not bothersome . bother , though , absence free wifi free internet use business center . even budget hotel offer free wifi day . could imagine would like pay rack rate find pay $ 9.00 per day wifi connection . also , ' m strange NY hotel , yet still stun breakfast price site restaurant . $ 7 bagel $ 8 glass juice not say & quot ; welcome & quot ; . 's good thing ' m originally New York know find great coffee shop breakfast $ 5.00 . upside , room clean spacious staff friendly . 
 Aug 20 2009 	 Quality hotel financial district 	 Stayed day August 2009 work . hotel nice staff friendly attentive . home clean decorate modern style . toiletry towel always restock fully day . WTC construction across street loud dirty , noise 6 pm . PATH station close get pretty much anywhere . much problem get cab . starbuck around corner interested . 
 Aug 20 2009 	 Excellent hotel 	 stay one week July , clean hotel , book standard room upgrade free junior suite ( corner room ) , super view ! ! ! staff friedly concierge help we find good offer diffrent attraction . possible little bit noisy ground zero building site , depend floor stay . one minus - parking expensive ! ! ! wake morning ( 7 am ) park street ( 9 pm-7am ) . business center expensive - print online borde pass reception save money . internet also expensive hotel , room find free wireless newtork outside building ! would definitely stay ! 
 Aug 13 2009 	 Excellent Hotel 	 stay Hilton brilliant one . staff excellent helpfull ploite . room property large side plenty room clean comfortable . hotel locate directly across world trade centre do not expierence noise even late construction work . room 26th floor offer amazing view city skyline . Locatin wise little way $ 2 ride subway time square journey time 10 min th station locate oppisite hotel perfect . NYC amazing expierence Hilton perfect Place stay . oh one little negative food noot bad good aviode place another . 
 Aug 6 2009 	 great view 	 generally would say Millenium Hilton save play . always know expect . bed comfortable usually good sized . bathroom clean time room . would classify business hotel especially since financial district . price - wise will not get well consider view face Brooklyn 42nd floor , confess , simply amazing . the hotel , would expect New York , busy obviously huge turnover make . entrance hall feel like Grand Central time therefore staff can not attentive might hope . besides domestic fight couple next door ( not hotel fault ) 3 am quiet stay even construction work go day night ground zero . well make sure room face wrong side . all enjoyable stay buzzle busy would like relax back hotel . location - wise downtown , would always prefer stay uptown . 
 Aug 5 2009 	 bad stay ever 	 room nice since suite great view noise unbearable ! noise 24 hour hotel reservation warn ! ! ! sure locate show hotel across street world trade center construction go 24 hour . front desk care able sleep ear plug suggest . seem like nice property otherwise noise truly unbearable fact warn make quite angry . 
 Aug 4 2009 	 Best Hotel NYC 	 great location , close subway , theatre , restaurant . amazingly decent size room , large bathroom view world . hotel staff extremely friendly fitness center perfect . highly recommend find good deal . 
 Aug 3 2009 	 PERFECT ! 	 hotel absolutely gorgeous new staff really ice cake ! shuttle service JFK Hilton Mil . ( umm 2 hrs- yeah ) leave bad mood figure go get bad ... second step Hotel staff INCREDIBLE ! room ready ( early ! ! ! ) nice immediately make terrible shuttle service . not one time staff wonderful , every time leave come back . give we tip tell cab driver could make 3 pm wedding late : ) hotel view incredible , room incredible . can not say enough hotel - go back - staying . oh view INCREDIBLE . corner room , city view . 
 Aug 3 2009 	 4 star 	 ' ve stay Millenium business leisure . hotel comfortable clean , comfortable room provide nice rest busy day city . ongoing construction slight annoyance recent visit , 8th floor room directly face construction continue late Saturday evening . exhausted though , quickly fall asleep . another visit year ago , 23rd floor room noise audible . this nice hotel continue frequent price 200 / night . feel bit isolate financial district , one quickly access train get anywhere want go . be particularly convenient Brooklyn . 
 Jul 30 2009 	 impeccable 	 hotel beautifully decorate , fresh clean . love location -- many good restaurant shop nearby . room bed comfortable roomy NYC standard . originally give room view & quot ; ground zero & quot ; Hudson River background . find depress request another room give room view Brooklyn Bridge problem . enjoy view stay mush . great staff ! one complaint leave breakfast come back room maid already strip bedding . 9am ! 
 Jul 29 2009 	 amazing hotel 	 return 3 night Millenium Hilton ... could wish well hotel location NYC.It 's right next door Century 21 minute Soho Tribeca . the hotel modern elegant ... elevator CRAZY fast convenient . I would recommend hotel everyone ! ! ! 
 Jul 27 2009 	 nice ! 	 Subway right door , get anywhere ! good service , quiet , printer front desk plane ticket ! great view financial center Hudson river . would stay . 
 Jul 27 2009 	 lovely room 	 first overwhelmed view Ground Zero . noise site noticable night drill dig not stop recall couple night go early hour start seem like hour later . however , get use ! hotel clean comfortable great coffee machine great big tv . bar 3rd floor relxe quiet drink evening . location hotel good stay NY sight seeing ideal jumping subway . one side keep awake Friday night group young man next room use loud , bang window , smoking shout . phone security twice go well 2 hour 4 am ! ! overall though good stay ! 
 Jul 25 2009 	 Loved ! ! ! 	 book room hotwire idea would get , could happy . view incredible , noise bother even though ' m light sleeper . love decoration , bed great . bathroom great . love ! ! 
 Jul 24 2009 	 Got engage New York 's Central Park ... 	 stay June 7th-9th weekend amazing . room great staff excellent . hotel locate right next one secret gem NYC , Century 21 . way could covince girlfriend time go NY weekend , marry since . 
 Jul 23 2009 	 noisy light sleeper 	 locate directly across WTC site historic aspect , jackhammer still go 10:30 pm night start 6:30 morning . light sleeper , forego & quot ; view & quot ; ask room away re - construction site . third floor & quot ; restaurant & quot ; less satisfactory . take 10 minute get cream coffee . wait staff morning lazy could not bother . food mediocre good . night staff hotel restaurant accommodating could not nicer arrive town - tired hungry . much accommodate pleasant breakfast morning staff . Time sit breakfast waiter ! good way start busy day business . 
 Jul 22 2009 	 great hotel sad view 	 stay lot NYC hotel , tour many previous life ( career ) . room spacious ! location , however , not know . obviously , business area , never really wander far south , be worth , take cab uptown every little show museum tiresome expensive . actually tourist thing location really not ideal . course , not really , 's lot offer nearby ; much new - hunger memorial ; new ferry station . view WTC site really sad . service pretty good . like Hilton franchise , pay every little thing , include internet decent tv . ask front desk sew kit replace button . refuse we extra coffee . husband kinda cranky - say 's benefit well coffee be limit one cup per person per day . hand , honestly think housekeeper well ' ve ever encounter . actual facility : primarily business property , regular clientele something important ten five sauna swim . although kinda teeny , often . beauty downtown Manhattan - relax midday , be like be private island . highlight : check - in , housekeeping , spacious roomslowlight : nickel dim , ask twice remote replace 
 Jul 21 2009 	 LOVE ! 	 fantastic time stay hotel 4 night June 2009 . friendly staff help bag check 18 hour travel Europe receptionist ask many question . time check never stop ! thank ! two thing point surprised , disappointed , breakfast pore tasty ( ! ! ! ) internet access expensive , $ 6 / hour think . perhaps ` spoil free wifi Europe … recommend anyone would like stay hotel great location FAB shopping Century 21 opposite side hotel . harbour 5 min walk . 
 Jul 15 2009 	 great view poor service 	 request early check try check 1:30 . tell room 52nd floor would ready 3:00 , could room low level . wait around 3:00 , endure long line check one staff counter , tell room still ready , put we low level anyway . unapologetic voice disappointment . try take dip pool leave dinner , pool close afternoon . ask several staff anywhere hotel could look ground zero , tell , even though great view 5th floor conference room exercise room . view may worth poor service though . breakfast dull expensive . try starbuck breakfast around corner . 
 Jul 12 2009 	 look ground zero - amazing experience 	 another business trip hotel meet expectation another metrolpolitan hilton . incredible experience look snow cover ground zero . construction activity stop weather sober impressive . 
 Jul 11 2009 	 Breathtaking 	 bring grandchild see July 4th Fireworks Hudson - could see gorgeous room ! $ 180 - 5 star - NYC - kidding ! ! ! spectacular . Gramma Grampa hero ! 
 Jul 10 2009 	 consistently Good 	 stay dozen time last two year , recently July 9 . hotel sit next old World Trade Center site completely renovate 9/11 . hotel sleek , modern comfortable . standard room small , comfortable . room decor also modern minimalist good way . light wood furniture ; glass top dresser desk ; large flat screen television . ' ve eat restaurant many time happy food . continental breakfast use well scale back little late , be ok . 's several year since renovation , everything still nice shape . noise sometimes problem continuous day / evening work World Trade Center site , room face direction . room end hotel face opposite direction quieter ( although view not nearly interesting ) . room also significantly big typical room face WTC site . ' ve stay four end room , seem hit miss get one . ' ve attach picture one big room , standard room , imagine something much narrow . staff courteous professional . one extra bonus hotel also right next Century 21 department store . definitely recommend hotel . 
 Jul 7 2009 	 Excellent hotel room value NYC 	 husband stay two night 4th July weekend . gold hhonor member , use point stay Hilton property NYC . choose hotel hope able see firework room . not disappointed . use point reserving line , offer opportunity select upgrade . choose upgrade check - in get King Jr. Suite city view . cost extra $ 49 / n bargain view ! 34th floor , ( room 3411 ) 2 room suite first room sofa , lounge chair , desk , honor bar flat screen tv bathroom ( great water pressure ! ! ) nice size bedroom king bed large flat screen tv . good part floor ceiling window spectacular viewsof Hudson River , Empire State Building WTC site . corner room , view really span Hudson one side Brooklyn Bridge . able see Macy 's firework Liberty State Park . clear night could even see firework distance around NJ LI . hotel locate downtown look nightlife closeby , would probably prefer midtown area ; however , want close everything ( many subway line within walking distance , 2 within block ) like peace quiet , great choice . opinion , get well value NYC . lovely hotel safe neighborhood . give choice free breakfast , free internet 1000 point gold member . choose breakfast , adequate continental breakfast . ( yes , previously mention charge $ 24 buffet high , perhaps NYC . ) also option upgrade ' real ' breakfast $ 6.50 . great food option NYC , want bit breakfast never bother buffet . look fitness room pool , never time use . look nice clean . staff encounter pleasant helpful . highly recommend hotel definitely back . P.S . - Century 21 department store next door . must experience like shopping bargain ! St. Paul 's Church move memorial tribute 9/11 also next door . 
 Jun 27 2009 	 Excellent Hotel 	 will not go . excellent hotel , professional staff , large room NYC , clean well - keep . housekeeping meet request ( extra tea day ) . even earn free breakfast restaurant -- over - price continental breakfast ( would pay $ 23 selection bread , fruit , cereal ? ? ) . honeydew melon taste restaurant ( try three day , always taste sour ) . problem phone every day never resolve . major warning future guest : hotel overlook former World Trade Center site . work site begin early end late ( work appear go around clock ) . light sleeper , able sleep . 23rd floor awaken day around 6:15 . not complaint work must go , merely warn future guest may desire quieter hotel . 
 Jun 25 2009 	 Decent property boring location Diamond benefit 	 think decent property quite new room pretty good Hilton . however disappoint concierge lounge offer breakfast drink voucher customary Diamond vip benefit . also WFC neighborhood pretty much shut dark many food option . nearby subway ACE 4,6 line . probably continue look well hotel stay frequent NYC business travel . 
 Jun 22 2009 	 outstanding value 	 $ 135 Priceline , outstanding stay Saturday night . noise , either internal external , 18th floor room ( perhaps construction Saturday night Sunday morning ) , one comfortable hotel bed ' ve year , clean functional bathroom add perfect stay we . 
 Jun 15 2009 	 otherwise nice experience mar poor service 	 great hotel , good location , well appoint room , service problem . arrive 4:00 pm dirty dish breakfast floor outside door ( still 7:00 pm go dinner ) . 10:00 pm realize forget prescription medicine call front desk find pharmacy tell none Manhattan open late offer hotel doctor $ 300 . ( ( ' m sure suppose help pharmacy already prescription ) . go Internet ( $ 14.95 ) find one short taxi ride away solve . 
 Jun 15 2009 	 superb quality great price nice modern 	 Stayed thanksgive 2008 price reduction WTC rebuild perfect . super quality hotel follow facelift great room size cleanliness . we upgrade high floor corner room , although still slightly hear construction , day NYC tire enough sleep right . view high hotel excellent , could see Statue Liberty , Jersey Brooklyn Bridge . we do not eat comment , close couple subway station heart shopping attraction like Times Square within 20 min , plus subway bargain . could PATH back Newark airport depart WTC opposite hotel , save small fortune compare cab ! 
 Jun 8 2009 	 Lovely Hotel 	 go Hilton weekend get - away . part plan include walk across Brooklyn Bridge block away . walk many block uptown , though tribeca next day , downtown financial district . ' ve live New York live Ground Zero many time room able look right onto site . spiritual sobering experience . hotel across street St. Paul 's , must - see . lot good shopping neighborhood . , park garage off - site hotel charge $ 55.00 24 hour $ 25 . be one minute ! ! Rip - off . 
