affordable 	 stay Allegro Chicago 3 day thanksgiving break . book hotel priceline cheaply worried quality hotel . well , worry disappear soon walk hotel . large room family , spacious , clean , modern looking . hotel employee friendly housekeeping lady great job everyday ! ! impress control quality hotel low rate . recommend place travel family , significant other , etc . 
 great 	 minus hotel provide free morning coffee Kimpton hotel . great place stay theater rate say morning coffee . the robe room take long time ( hour ) great place . concierge excellent . 
 different side Chicago 	 want try little different hotel mega hotel Wacker Michigan Avenue area , via travelzoo , find excellent deal huge room Hotel Allegro . super location Theatre district , hotel boutique hotel upscale & quot ; neo & quot ; urban feel . funky decoration lobby , loud ( loud really ) new techno - type music , fast paced feel good service greet door . reason dinge service Restaurant 312 corner connect hotel bad service one day , otherwise bellman , desk people , housekeeper security great . trendy look lobby seat area , complimentary wine service early evening complimentary continental breakfast morning . hotel also lot old / historic charm recently undergo large scare upgrade . room well however . suite , great seat area 60 's style couch light fixture , inroom bar , flat panel HD tv ( not work great ) table sit one office work . bedroom large kind sized bed ( comfy ) , high end pillow , sheet mattress , huge armoire hd tv . bedroom view building , nothing special , great & quot ; blackout & quot ; blind . bath awesome giant , two person whirlpool tub . high end fixture , funky flooring decorate . different feel sure . great time friend would say fit top 5 Chicago hotel sure . thing would tell management -- -turn crazy euro - tech muszak ... exepecte see Hans Franz work lobby least skinny white guy dancing . 
 Oct 27 2009 	 Great Hotel 	 stay several time always find clean comfortable bed . give choice breakfast free cocktail think nice touch . room small adequate . location great , close L train also close train station always & quot ; walk & quot ; Union Station . 
 oct 22 2009 	 place hang clothe ! 	 ' m fan Kimpton hotel one , like other , great style . not one good , though . first hotel room ' ve ever not anyplace hang clothe - closet , wardrobe , nothing . definitely bit issue town business jacket pant need hanger . reason alone , probably would not stay business . would definitely recommend Encore bar , though - great atmosphere really good bar food ! 
 oct 22 2009 	 Claustrophobic Paper Thin Walls 	 website hotel gorgeous friend come expect awed ... instead get probably bad room entire hotel . size college dorm room , bathroom less describe ' efficiency ' view ( way high 10th floor ) ... brace ... parking lot across street . make bad 2 step elevator hear night ding people go down . which bring next point ... 2 friend watch tv hour go management call room 4 time complain ' noise level ' . one point say ' we go ask leave keep ' ... great thing say guest ? especially guest listen elevator night . in summary , hotel consider 4 star . ' ve stay holiday inn much quiet , considerate big . maybe like yank chain buy priceline maybe therefore DESERVED bad possible room hotel not even cheap ! price point , would ' ve well put extra 50 pamper , insult . 
 Oct 18 2009 	 Good ol ' Bismarck Hotel Chicago 	 true American Classic . Stayed Bismarck ( Hotel Allegro ) couple time back early - to - mid 1990 's . like travel back time ... 1920 's decor room make one feel like step Fitzgerald novel . love place ... wish still 's old name vibe ... oh ! Capone know take Penthouse hole many day stretch . : ) 
 Oct 8 2009 	 Decent hotel know Chicago fairly well be go show 	 hotel fine get deal room . hotel locate heart downtown right theater district . 's much go part town night , 's good place be familiar city . want tourist stuff - stay near Magnificent Mile . 
 Oct 8 2009 	 nice hotel first visit Chicago 	 never Chicago research hotel since busy week end finally find one room available . pleased room service . view good city . also pet hotel fine bark dog leave next we one evening . get ready call desk owner return . also tell front desk complimentary coffee lobby . overall hotel fine like price SAT night . walk fine shop probably next visit stay close downtown . 
 Oct 8 2009 	 funky ! 	 old charm antique / boutique hotel , funky modern decor update . fun ! 
 Oct 7 2009 	 Hotel Allegro : nice location ideal business hotel though 	 pro : location , nice lobby set - up ; wine taste ( participate though ) ; comfortable bed ; good television ; nice fitness center . con : bathroom size ; sink set - up awful people wash hair sink ; coffee ; paper ; alarm clock come instruction complex -- not work properly ; thin wall ; room service never get right . 
 Oct 3 2009 	 enjoy good city good hotel ! 	 first visit Chicago idea good location stay , whether well gold coast , mag mile downtown loop many hotel choose ... think find good hotel good location ! stay Chicago ten night Hotel Allegro perfectly position , everything walkable - magnificent mile , navy pier , gold coast beach & amp ; & quot ; bean & quot ; short walk away . the hotel modern boutique feel , moment check - in staff helpful nice , never wait second lift room room though little small perfectly fine couple sharing ( Chicago much offer will not room much anyway ! ) decour room trendy huge flat screen tv definite plus ! special mention give conceirge , Mark help anything constantly provide we great place eat & amp ; drink suited taste 's interest - certainly improve already great holiday . we love Chicago & amp ; Hotel Allegro - ever come back Chicago , make sure stay Allegro . thank . 
 Sep 28 2009 	 Hotel Allegro - top service ! 	 fan Kimpton Hotels , however never experience top service Hotel Allegro . even visit , concierge Mark Kraemer advise we thing see , book ticket advance Second City . welcome warmly arrival , bellman check we come go hotel . staff personal interest making stay great experience . hotel next City Hall , business . large quiet room , use room service - the meal come quickly , include bonus fruit cup . enjoy pasta night ( 20 dollar three course meal ) 312 restaurant - the starter dessert wonderful , main pasta bit salty . complaint make - from start finish , want attentive service , place . thank , Hotel Allegro , great stay . can not wait return . 
 Sep 23 2009 	 Cozy size room comfortable 	 room really small , feel almost claustrophobic bathroom , work desk nice , tv great size , even though not HBO channel guide anywhere find . but share sentiment many , hotel obviously old building nicely renovate nice sheek modern feel . lobby second floor build new one we , lobby great . weekend wedding seem go time , relatively control non - intrusive loud . upon check - in front desk let know wedding put high floor would not bother we stay , much appreciate . Free Wine social hour 5 - 6 every day really nice touch . staff great , could ask for . for rate pay great location Chicago perfect . we fortunate enough car , really see whole city Chicago could park 
 Sep 19 2009 	 small room comfortable . trendy look 	 travel Chicago colleague conference . stay five night . hotel trendy look . room small ( especially compare hotel ' ve stay downtown Chicago ) comfortable . free continental breakfast ( pastry coffee available downstairs fee , voucher ) . free wi - fi access enormous flat - screen TV . fitness center small quickly become packed , especially early . fairly noisy night weekend , well weekday . would recommend travel sightsee , much business traveler . 
 Sep 17 2009 	 funky fun nice change pace 	 spend two night spouse mid - week . $ 100 / night internet special . typical small downtown hotel room , recently remodel high tech room stay . WiFi solid , desk dozen plug charge everything , etc . we walk take train everywhere- great worry traffic parking . easy access Cubs White Sox via red line . yes , decorate offbeat , want generic Marriott stay suburb . Kimpton Hotels everyone . would highly recommend . 
 Sep 7 2009 	 everybody complain ? ? 	 tripadvisor voyeur rarely post feel need time . return today Hotel Allegro want share follow tips.1.The hotel old nicely remodel , wall thin ( hear everything ) yes bathroom small , get room $ 83 dollar night , ? ? spend maybe 8 hrs day room . stay 1403 , room large , bed adequate , flat screen large . get great rate travelzoo.com.2 . parking horrible , really .. want $ 49 valet $ 45 self parking . city Chicago privatize parking structure meter not waste time look cheap parking garage . relative live city tell park Union Station , $ 10 24hrs weekend , $ 20 time . first night take cab hotel $ 6 , night walk , be really far , maybe 5 block . , either , way 's way cheap worth pay parking room . 3 . basically , good value price location great . go shopping State St buy beautiful piece Nordstrom 's Rack , H & amp ; , 2 Garretts State . 
 Sep 5 2009 	 Hidden Gem ! 	 Hotel look exactly like picture see hand . staff friendly . location fantastic walking attraction throughout city . there also wine hour every night 5 - 6 nibble Wii play great mix guest 
 Aug 31 2009 	 Star Attention Comfortable Hotel luxurious Amenities : 5STARS ! ! ! 	 read review hotel bit mixed . went expect bad come thoroughly please every intention stay Kimpton hotel every chance get . plan another trip back Chicago October stay then . the lowlight would definitely room , not huge . , anyone go historic building expect large room , expect much . many downtown hotel old small accomodation expect . good part make give . decor well do , designer trade give solid 5 star . retro feel . bed not great ... would definitely look mattress room 1006 . side bed lean leave great deal . still comfortable scoot toward middle . bed soft nice , smell clean . room positively spotless . within literally second turn a / c room incredibly comfortable Aveda toiletry excellent classy touch . lobby absolutely fantastic well do . wine taste much expect . approx . 15 variety definitely excellent choice . employee pleasant , helpful , go beyond call duty . I would recommend hotel friend family . well , get rate Trip Advisor via Expedia $ 119 night . major downside parking $ 45 per night . suggestion would park car use public transportation . regardless , hotel 's issue . parking high matter go , ... anyone complain ask much . 's moot point . city size option . 
 Aug 18 2009 	 great place relax Lollapalooza 	 boytfriend stay town Lollapalooza & amp ; sightseeing . get great rate Expedia.ca , happy value room . room quite small , especially bathroom closet , bed divine . room quiet right elevator . a / c pretty noisy though . concierge helpful , offer breakfast suggestion shipping package I . downside ? business center charge internet usuage ( minimum $ 8 15 minute ! ) printing , not appreciate . shuttle airport short walk El station . 
 Aug 17 2009 	 good hotel except breakfast 	 stay work trip , personal time business meeting . good hotel , excellent value , good location , Mark concierge 's desk worth weight gold . the downside : continental breakfast include room useless . first , can not serve 's one person serve entire hotel expect wait happen hit busy period . bad , ' m diabetic single remotely healthy choice , even healthy ( ) cereal . everything sugar - load and/or carb - load . yogurt , charge separately apparently not include continental breakfast . I discuss breakfast 's lack healthy option front desk . thanked say good feedback would pass along . basically , good hotel nice staff , make change , plan eat breakfast elsewhere ( bit pain ) . 
 Aug 8 2009 	 nice stay Hotel Allegro 	 stay 2 night - one come Chicago , second go Lollapalooza . hotel lobby adorable - trendy - boutique . little bit wait check , not bad . get deal room Travelzoo rate $ 115 night include valet parking - normally $ 45 night ! - quite saving . room adorable - cute - like music theme ( especially since Chicago music - bed comfortable . read lot review prior go , room small - not small . bathroom small - plenty room makeup , blowdri , hair product little counter top . problem regulate bath water though ... could user error . , would definately stay Hotel Allegro - keep mind 2 travel plenty room , king standard room . check Travelzoo - might find deal like . 
 Aug 7 2009 	 Superb hotel downtown Chicago easy access everything ! 	 good : rate get stay , really not know expect -- much inexpensive hotel low class , ' ve stay real dump over - inflate price Chicago . hotel , however , breath fresh air ! check - in easy quick . room much large imagine ( base review would see ) , though bathroom bit cramp two . hotel employee deal courteous always ready help . come back room first night , chocolate desk handwritten thank - you note general manager ! room nice quiet bed quite comfortable abundance pillow . free wine reception every evening 5 many wine try wonderful lobby / lounge could sit , relax , enjoy . hotel also good Green / Eco policy . hotel easy access theater district ( next - door Cadillac Palace , 5 minute walk Ford Center ) , dozen drug store 4 block radius case need supply 's anything ' ve forget . parking bit pricey , elect self - park block away . car need , hotel 5 minute walk every El - Train line Loop . Chicago public transport terrific inexpensive , especially buy $ 14 3 day unlimited ride pass . take perhaps 10 minute get Museum Campus via train / bus , 10 minute walk get Millennium Park Art Institute Chicago . 10 minute get North Michigan Ave Magnificent Mile District via train . 20 minute Wrigley Field via train . 312 restaurant attach hotel serve excellent weekend brunch , variety restaurant . everything experience hotel terrific . love it . the bad : parent Aunt difficulty acquire roll - away large wedding party stay hotel . parking expensive , downtown . find parking Millennium Park garage less half price , take cab hotel significant saving . be come back hotel late night weekend , neighborhood eerily desert super - quiet due real - estate office building empty . I LOVED hotel , definitely stay next time head Chicago 
 Aug 4 2009 	 clean comfortable room 	 be still Hotel Allegro , enjoy room much . be nice come back night long day clean room comfortable bed . ' ve stay another Kimpton Hotel Boston , similar feel one . I would definitely recommend hotel single double occupancy traveler . room stay would comfortable two people , although not know hotel big room could accommodate family . 
 Aug 4 2009 	 decent 	 hotel pro con . staff nice knowledgeable . big con free coffee room hotel . price small coffee 2.29 cheap go across street dunkin donut get coffee . room small nice . tiny bathroom one mirror difficult 2 female put makeup , hair , etc . another mirror cover sort antique substance attractive barely see . also one space outlet besides one bathroom . location decent walk distance lot area . wine taste great decor nice . bed well sleep hotel room . 
 Aug 3 2009 	 nice disappoint 	 go weekend Chicago family . note kid 6 13 . disappoint trip . like : nice staff , typical KimptonNicely decoratednice lobbyA couple block Corner Bakery , breakfastsdisappointe : free coffee morning unless special passhotel not provide kid 's kit upon check ( could see kid ) . get realize suppose get close check . could really use stuff beginning . room smallI specifically request room allow pet people family dog allergy give room pet movethey wine reception 5 - 6 icecream middle afternoon- time would there- least give free cup coffee ? ? hotel great romantic getaway vs. family . Kimpton disappoint provide thing promise advance ( e.g , floor without pet , kid 's welcome kit ) . also , room size minimal . finally parking & quot ; discount & quot ; $ 44 day- high 
 Jul 31 2009 	 comfortable nice stay 	 stay Allegro July 4 night business trip . room spotlessly clean bed great . read review say bathroom tiny , perfectly fine , funky , fun door . decor lot fun . 15th floor absolutely street noise . front desk staff friendly , even make desk , lovely man take bag bring room within moment arrival . within walk distance theater even walk one night way Navy Pier . people upset free coffee - 's Dunkin donut block away . definitely recommend hotel ! 
 Jul 30 2009 	 Chicago hotel perfect ! 	 Hotel Allegro wonderful - great room , chic upbeat , hotel staff gracious welcoming . spend two night one King room one Queen room . spacious Wi - fi free internet hook - up . king room close EL not keep awake night . the staff bellhop extraordinare concierge quite helpful . the room clean modern . hotel undergone renovation tune million dollar place anybody would want stay . 
 Jul 29 2009 	 excellent choice ! 	 Hotel Allegro wonderful . right loop , walk distance necessary El line . 5 minute walk either Orange Line ( Midway ) Blue Line ( O'Hare ) . 10 minute Red Line . neighborhood quiet night though - warn . almost shop restaurant close , not arrive late expect able grab bite area . comment though feel safe area return hotel night . great service front desk staff concierge . room service staff friendly efficient . room tiny beautifully decorate . complaint other room size - go Chicago stay hotel ? long clean really care big room . free WIFI sign Kimpton frequent reward program ( sign arrive ) , even log print boarding pass business center charge . 
 Jul 28 2009 	 Relaxed comfortable 	 stay almost 3 week great time . hotel clean , relaxed comfortable . also , excellent value money special rate pay . staff friendly helpful . room / bathroom good , would nice room coffee - make facility though . great location - close subway / el . would love stay ! 
 Jul 25 2009 	 great location cramp room 	 right heart Loop , hotel serve well recent convention . find room cramp , shift thing around fit everything storage space . furnishing cleanliness top notch service friendly enough . high speed internet work fine . would Chicago local government business location would ideal -- less two block government center . price high , maybe downtown Chicago . 
 Jul 20 2009 	 Disappointment Kimpton 	 location hotel great . easy walk restaurant , theater , shopping . decor charming , Kimpton Hotels . however , one seem short employee . stay Kimpton hotel normally get upgrade available . ask two bed make reservation online , check none available . call hotel directly make online reservation confirm request directly , could get one King bed barely enough room walk around . closet broom size . room tiny , small NYC room . two small bath towel , leave money note turn person request two fresh towel , get . offer free coffee room , lobby . one person behind counter run continental breakfast bar . voucher , still wait long time take care everyone ahead we . would fast walk Starbucks . also Chicago Tribunes free sale . even ask manager . decide spend Saturday enjoy Chicago , could get paper find go . great price , would prefer stay Hotel Burnham next time . close , much nice room . 
 Jul 18 2009 	 good facility attitude publish amenity lack 	 nicely furnish lay ( least high price room ) . attitude registration checkout personnel decidedly lack fact negative .. publish provision complimentary morning beverage deliberately withdraw replace fee - charge service . ( tell publication could withdraw hotel go ' green ' use ' supply therof ( redline evidently not consider option . ) . continental breakfast offer $ 200 room , hotel will not even give simple morning coffee ? expect Kimpton hotel certainly way Kimpton stay San Francisco . 
 Jul 16 2009 	 funky nice room little small 	 stay Allegro July 4th weekend ( 4th - 6th ) . location great , get great deal parking include ! overall experience good hotel clean nice ( bed comfy well ) . although elevator slow ( stay 19th floor ) .However , questionable service however - start parking situation tell valet include move car self part valet . good suggestion neglect give we parking pass get self park ( tell front desk b / c park not need ) mean run back forth time hotel self park ( not connect ) get everything iron . little frustrated tell guy 's first week . arrive early room available leave luggage front desk ( fine ) .... however check , say would send bag room 3 hour later still not . call front desk show ... tell front desk write wrong room number tag stuff almost give someone else . Asides mishap however , consierge helpful stay overall good . even help we print something check . next time want stay close Mag Mile however . enjoy Chicago lot would go back . 
 Jul 11 2009 	 great hotel attend theater . 	 8 year old daughter stay weeknight attend Mary Poppins right next door Cadillac Theater . could convenient . room bath clean although small decor bite funky , nice . bed comfortable . staff courteous concierge help we dinner plan . hotel nice wine hour WII game kid . would stay especially attend theater . 
 Jul 6 2009 	 close everything downtown 	 book room good 4th July weekend rate enjoy Kimpton 's usual good service interesting hotel decor . plan active closely schedule weekend visit & quot ; Taste Chicago & quot ; , & quot ; Blue Man Group & quot ; , activity Navy Pier . within short taxis ride Allegro . one hiccup plan relate stated hour operation restaurant . Front desk literature say 11 pm closing , actually close 10 pm . room service , however room really large enough enjoy meal arrive hour order . room clean comfortable . staff attentive efficient . valet car ride taxis destination . bit problem return one night many street close 4th celebration . would return , especially & quot ; special & quot ; rate . 
 Jul 2 2009 	 Funky Fun 	 ' ve stay lot Chicago hotel various reason , usually fun , live north town enjoy go city every friend visitor town . Hotel Allegro funky sort sophisticated , hip decor bright color , deco architecture furniture , flash fun whimsy . rate reasonable well hotel downtown , free wine hour loungey lobby guest . 's right theater district , block State Street shopping , Millennium Park , Art Institute -- great location . room kind odd shape , jog right open door , quite comfortable cheerfully decorate , cool mirrored desk admire . look window see El track directly outside window figured would get much sleep night , place good glaze window , A / c blower help eliminate trace train traffic noise outside . Hotel Allegro , view , good bargain price Chicago , great location fun , modern style . 
 Jul 1 2009 	 Outstanding Kimpton Hotel Top Notch Management Staff ! ! ! 	 Manager Jeremy Baker team professional commend ! everyone helpful . read room review leery , Premium King large ! sink small , ! room wonderful ! order pot coffee morning room service within 10 minute arrive pipe hot extra cream request . coffee bold wonderful flavor ! ! ! hat Jeremy staff ! ! ! definitely add Kimpton Touch keep come back ! highly recommend Allegro Hotel ! way , sangria wine night also fabulous ! : - ) 
 Jun 25 2009 	 nice stay visit theatre museum 	 nice hotel small adequate room . decor lovely . daughter spend 5 - night , see Wicked street use public transportation get around town . bit disappoint bar / restaurant open close 's kitchen without regard post hour . room description boast safe 's large enough accomodate laptop , bring mine . inform check - in safe every room ( mine ) . side note , surprise nearly shop many restaurant close 6 pm area ... even 7 - 11 . 
 Jun 19 2009 	 Nothing Special 	 stay one night business . check late around 11 pm check process smooth , except one tell fitness center reservation entitle free continental breakfast . check attempt charge call front desk . the room : small room , big flat screen tv , iPod docket station . bed average - nothing special . bathroom small , ventilation , tissue need touch paint rust show ( ventilation ) . closet hanger put suit chair . continental Breakfast : pay extra . lady servicing polite . include one cup coffee , one juice , one fruit ( apple , banana orange ) , muffin bagel . muffin stale bad refrigerator smell . offer yogurt pay extra ( $ 1.70 ) . want coffee yogurt , tell even not get stuff , would still pay yogurt . would come back hotel even though location ideal . 
 Jun 17 2009 	 need adjustment 	 go Merchandise Mart , ideal 3 block away . the good : let check earlier5 - 6 pm wine tastingfairly modern exercise roomthe badMusic loud lobbythey adverise complimentry continental breakfast , depend book may available . 
 Jun 1 2009 	 clean comfortable quiet great staff locale 	 new decor ( tje room wallpaper , art , carpeting specifically ) look quite photo . seem designer go avant garde result eccentric . however , make we chuckle . definitely would stay . king room similar size european hotel room . ( be spoil space US ! ) clean , comfortable , quiet . bed linen great , enjoy flat - screen little time spend room . staff exceptionally friendly helpful . allegro right next door theatre within walking distance other . also block picasso art piece . take blue line O'Hare . buy pass airport number day . use El bus . 's din / steak place call Ronny 's block two away decent food will not break . brunch Sunday serve heap portion , good cup ' joe . great stuff pizza , try Giordano 's . 's 7 block hotel . like jazz , check Andy 's -- also within walking distance . favorite thing trip -- even Art Institute -- T - Rex Sue Field Museum . go see ! speak critter , surprised see hotel allow pet ! lastly , get great package deal AA Expedia . hope hotel continue offer great deal future without package . 
 May 30 2009 	 hip hotel right downtown 	 3 friend fly Chicago check baseball park . half we fly O'Hare 2 Midway . us success take EL downtown walk 3 block find Hotel Allegro . great safe area pleasantly surprise never Chicago land late night . speak front desk know right place , & quot ; Pretty Woman & quot ; & quot ; Pulp Fiction & quot ; help we . member 's name tag favorite movie name . every worker super friendly help we find right way destination suggest one never think . can not guarantee lucky , get killer deal online 2 double bed $ 100 night . plus , receive card 2 free drink appetizer downstair lounge every night stay . location great , right near EL walk distance anything would need see downtown . 
 May 21 2009 	 Perfect Boutique Hotel 	 be Chicago want stay Loop , Allegro Hotel perfect . 's centrally locate , stylish room attentive staff . stay hotel 3 night please everything . bed comfy plenty fluffy pillow , large flat screen tv , radio ipod docking station bathroom hip clean . everyone come contact friendly helpful . last day , order room service meal perfect deliver time , kitchen call see everything alright . never kind follow service . ' ve stay Palomar DC , another Kimpton hotel receive exceptional service . definitely see Kimpton hotel next destination . 
 may 21 2009 	 Falls apart detail 	 second time stay . redecorate room since previous stay ... like overall . room also clean . however , room small make awkward 2 adult stay . also feel basic miss , coffee maker room . tell could get coffee lobby , bill $ 6 small cup banana . coffee also taste good would get gas station vend machine . staff somewhat friendly , never really felt welcome . also stick we room directly front elevator , , directly front ! big problem since , unlike hotel , wall paper thin everything . perhaps strange annoyance constant noise pipe wall . would shake water flow . also keep think hear bass unknown source music , conclude come pipe ! turn fan high drown ! could good hotel detail address , since location great ( block millenium park ) . 
 Apr 25 2009 	 practically Perfect every way ! 	 husband stay one night April 23 , 2009 . birthday . play ticket see Mary Poppins . ( hence review title ! ) LOVED hotel ! different ! clean neat . lobby amazing furniture room WONDERFUL ! know room small comfy king bed big flat screen tv . bathroom funny ! sink small really aim brushing tooth ! fixture fun ! silver modern . wallpaper circle FUN ! would DEFINETLY stay . besides right next DOOR Cadillac Theatre . walk 20 step hotel ! get $ 149 rate tax ! 
 Apr 19 2009 	 Smallest Room ever see 	 not mind step luggage clothe every time turn around , mean , Hotel Allegro fine . 
 Apr 13 2009 	 one Favorite Hotels 	 one favorite hotel . ' get great personality . lobby warm invite lot funky space relax . far room go , love one bedroom jacuzzi suite complete leopard zebra robe two flat screen tv ' . . service friendly wine hour nice touch . book special include two drink appetizer per night lounge . Delicious ! love location – walk distance theater great shopping State Street . favorite restaurant nearby include Siam Rice , De Cero taco bar , Walnut Room Macy ' . ' wait return ! 
 Mar 9 2009 	 like 	 boyfriend stay Hotel Allegro October 2008 . visit Chicago four time year ( favorite city ) . always stay downtown shopping , restaurant , site - seeing . we book weekend large convention along concert Chicago . difficulty book hotel weekend . know want stay Loop preference stay Hotel Monaco Kimpton hotel due proximity State Street shopping Chicago theatre . we fortunate get Hotel Allegro one discount site book immediately . first Impressions - due web surfing , learn park hotel parking lot across hotel . . $ 20 day perfect . ha ! later ! love boutique hotel surprise beauty Hotel Allegro . really beautiful hotel . love color dark woods decor . check fast efficient . front desk attendant fun . give hint pointer night life such . the room ... wow . tiny . take we five minute figure bathroom . think door bathroom closet door . bathroom tiny boyfriend joke could wash hand sink take shower . ok . say something else , get picture . the room clean television nice . linen clean bedding not look rancid . nice room weekend . never stay small room . we go evening happy hour / wine taste . fun mingle guest . all , would stay . relatively inexpensive . location pretty good . surrounding ok . 
