worth 	 fly SF extend family gather San Fran wine country . stay hotels world expect clean well appoint room japanese hotel chain . lobby impressive really look everything chip , scratch dire need repair update . room show light color carpeting extensively stain , lamp shade dirty stain , furniture bang . ask room change explain hotel go renovation would move room complete renovation project . well , two room later gave decide go condition room . try UPSELL we checkin two three top floor ' Nikko ' floor $ 89+/night . not realize unless upgrade - would get stick ! ! ! ! 
 Oct 19 2009 	 bad trip San Francisco Hotel Nikko 	 hope Hotel Nikko would nicer hotel . book room month advance could spend night run San Francisco Women 's Marathon . room small view . bathroom furniture nice , rug tattered stained , wall dirty mark , room smell musty . bed comfortable nice sheet pillow . the bad part someone start pound door hotel room 2 . try ignore , knocking continue . finally get check peephole see woman outside appear cry face bury hand . yelled door go away , wrong room . woman try engage conversation try get open door . not go participate BS yell door go away . start scream horrible person not care someone getting rape murder outside door . yeah , make want open strange middle night . immediately call front desk security come check thing . never hear anything back hotel / security . ask front desk couple different times incident , one seem know anything not seem particularly care . I hard time get sleep rest night realize someone try set rob hotel room middle night . never go back hotel , ever . 
 Oct 18 2009 	 Pet - Friendly Pleasant Staff Prime Downtown Location 	 book room site word & quot ; cheapo & quot ; name -- tell something level room get -- - probably worst small . still , clean bright good tv decent desk . pet friendly -- - mean charge bogus nonrefundable deposit kind . ( though sign paper stating would give worldly possession dog damage . ) think weight limit pet accept . location could well -- right downtown area , far tenderloin . several non - hotel parking choice surround block $ 25 include huge city tax . room tiny must fault light near enough bed turn without get ... bed cozy air condition quiet effective . other say , staff kind , though inexpensive room , treat we value guest . the Nikko awkward approach lobby -- , lovely peaceful . really enjoy stay . 
 Oct 17 2009 	 good service 	 get really good price hotwire turn ask baby crip nice man front desk frown bit : & quot ; well , book queen size room tiny . not think fit baby crip . book king room instead free charge . & quot ; Wauw . 's five star costumer service . rest hotel four star : - ) way .... nice concierge find microwawe baby food . 
 Oct 14 2009 	 great place San Fran tour 	 & quot ; Nikko Floor & quot ; room , believe slightly large standard room . fine 4 we . come free wifi , great breakfast buffet access health club pool . service fine location great . tops convenience , Starbucks Enterprise car rental right hotel . highly recommend . 
 Oct 12 2009 	 Prime Location near Union Square ! 	 Hotel Nikko locate heart Union Square area . be short ( flat ) 2 block walk Powell / Market BART station , make easy get SFO Oakland airport . also near Powell cable car stop , & quot ; must & quot ; tourist attraction . also short walk prime shopping restaurant . hotel quite large airy lobby area . however , room size vary quite bit size . king bed room tend cozier 2 double bed , spacious accommodate bed . room service hotel also quite good , ' ve always find staff courteous prompt . travel agent Eden Exploration , would definitely recommend Hotel Nikko client leisure business trip San Francisco . 
 Oct 12 2009 	 like place ! 	 overall much like hotel . feel location great starting point area city . SF feel like anywhere stay city would fine also consider small SF anyway . way read review really expect show Japanese style , really ' find way . yes influence someone drop ' tell anything ' guess Japan Airlines own place . check inNo problem arrive pretty late , around 11:30pm . front desk clerk friendly efficient . RoomGood size room , 1030 believe , king bed , desk , dresser , fridge chair . also large window see city side hotel . BedI like bed pillow horrible . soft give support . bad wife go get towel put pillow extra support . bathroomit huge nice . full tub shower . never problem hot water also like pressure . enough room 2 we get ready . fridgesmall mini bar fridge room . want open put drink ' want set sensor charge . tvnice big flat screen tv bunch channel . also asian language channel . InternetWas pay . end use cell get good coverage Verizon room whole time . CheckoutEasy quick . give we bill right away way . OverallWe like place get great rate Priceline . even rental car one day able find parking spot outside hotel . ' bet often . 
 oct 8 2009 	 San Francisco Honeymoon 	 Though Hotel Nikko show wrinkle , hotel make blemish phenomenal courteous staff . never feel like impose anyone hotel . concierge , attendant Imperial Lounge , waitress / server ANZU helpful engage without invasive . offer upgrade suite nice , though could afford . can not say enough people Hotel . 
 Oct 8 2009 	 great location ok room 	 location Hotel Nikko great . service check fantastic . one bath towel room request . also towel bar housekeeper always leave we one . furniture date somewhat damage , everything clean . bathroom nice ( minus one miss towel bar ) stand shower great . hotel step Union Square cable car . 
 Oct 8 2009 	 nice nice ... 	 Hotel Nikko nice , quite spectacular have imagine / hope splurge local event . Bay Area resident , pay hotel want top . nikko satisfie , not leave one wanting ... 
 oct 8 2009 	 GREAT HOSPITALITY 	 quick note express delighted stay Nikko Hotel . travel extensively work . basically live hotel always annoy un - smiling face desk desk staff treat give charity . satisifie way client greet Nikko Hotel Teresa . friendly accomodating . GREAT EXPERIENCE ! ! ! 
 Oct 7 2009 	 Nikko great place stay San Fran 	 book Nikko pool turn great choice around . room nice - upscale ( see pic ) - clean decent size city . location hotel nice - near union sq . 's near waterfront close cable car , bus , trolley etc . lots place eat close ( try Sears breakfast ) . also Union Sq hop place - lot bar , club , shopping . go upscale hotel nearby would pay lot . one hint - not get cable car end line - get block - line ! . restaurant inside Nikko good food . little pricey good . LOVED use whirlpool tub pool long day sightseeing hiking hill San Fran . refresh we next day . lot homeless people around hotel / union square area . one concierge not friendly not seem super knowledgeable area other good . front desk ALWAYS friendly nice helpful . get 9:30 room we . Booking Expedia think would make we wait til 3 . view though . wonder book direct would side city view ? build look . oh - site car rental great deal - cheap parking hotel rent airport . take shuttle hotel rent need . 
 oct 4 2009 	 friendly hotel staff classy setting help make stay memorable 	 many positive point four - night stay ! appreciate friendly staff throughout hotel : front desk , concierge , maid bellman . sleep well fluffy queen bed . build quiet . although room close elevator , hallway noise bother we . room soundproof ; not disturb talk plumbing noise either . room 21st floor bit cramp , good view . health club good deal , cost $ 10 entire stay . indoor swimming pool shallow , exercise room change area spacious well equip . trip enhance excellent service receive , hotel 's classy interior , like close Union Square . 
 Oct 1 2009 	 Nice Hotel Close Union Square 	 stay Hotel Nikko part lastminutetravel.com package - ' m sure hotel portion come , room probably less $ 100 / night . hotel great location , close union square shopping ! get room 20th floor able check upon arrival morning ( nice surprise ! ) . semi - view look right left . otherwise face another hotel ( close , not feel closed ) . room simple comfortable . toiletry amenity would expect . decor fine - nothing write home certainly offensive . interaction staff check - in check - out . totally uneventful , 's good thing . the hotel good temperature control never get hot cold , also quiet despite fact room across elevator . nice hotel , would stay - lack personality small boutique hotel , make price accessibility . 
 Sep 30 2009 	 Excellent Stay 	 book large group Hotel Nikko weekend . lovely stay . hotel treat guest well , even provide extra ( event planner ) . easy walk travel anywhere , 3 short block Powell Street Station , hubby easily walk Alcatraz Tours ( Market Embarcadero , flat ) baseball game ( Market 3rd , thank Trip Advisor Forum ! ) . San Francisco unique city , Hotel Nikko unique well . asain theme , feel understate elegant . buffet breakfast ANZO excellent . recommend special stay . btw , take group Teatro Zinzanni . good , though maybe bit long need . good value money . great performer . 
 Sep 18 2009 	 Nice hotel 	 Hotel Nikko good condition , clean room excellent location . ideally place Union Square short walk tram bus stop . 
 Sep 16 2009 	 Lovely Hotel centrally locate 	 stay night depart road trip follow day . Lovely Hotel ammenetie . flat screen tv , comfortable bed , centrally locate reasonably price $ 100 / night ( memory book advance ) hotel require great stay- starbuck locate front door , good conceirge service , walk distance major attraction - Union Square , China Town , downtown shop & amp ; car hire . try stay apon return San Francisco unfortunately book ! know give quality friendliness hotel 
 Sep 13 2009 	 love place ! 	 great room , great amenity . beautifully appoint hotel gorgeous lobby . staff professional friendly . care hotel sushi bar / restaurant . would recommend & quot ; go & quot ; want find good , affordable sushi . wonderful stay overall ! 
 Sep 13 2009 	 Fantastic Service Great hotel honeymoon 	 stay Imperial Club room Hotel Nikko . wonderful experience . room great view financial district bay . honeymoon , bottle complimentary champagne . service top - notch . hotel locate close cable car stop , within walk distance many tourist spot ( like walk ; really like urban hiking hill ) .Breakfast anzu great . good selection japanese western fare . room service also rather good . 
 Sep 12 2009 	 pleasant place stay . 	 stay Imperial Club room , next - to - top floor . room extremely comfortable clean , nice view San Francisco . bed extraordinarily comfortable , room nice lighting chair . bathroom big good shower . imperial floor lounge large window one see San Francisco harbor , continental breakfast serve , well afternoon wine / beer fruit cheese party . get coffee morning , good coffee , glass wine afternoon . room also come two ticket buffet breakfast Anzu restaurant . standard american breakfast , japanese breakfast , good . location close Powell Street BART station , Union Square , many attraction San Francisco within walk distance . front desk personnel , bell captain friendly helpful . would definitely return . 
 Sep 12 2009 	 accomodate hotel service terrific 	 many hotel travel , never stay accomodate hotel Nikko . everyone helpful . rewarding place stay . 3 especially helpul . Michiele , Annette Rick always ready help we whether arrange tour , answer general question , take time make sure question answer polite professional way . 3 person commend way perform duty 
 Sep 9 2009 	 probably pretty posh .... 5 year ago . 	 ok , get deal . busy weekend , get deal . great location minus wrong turn make latenight bowl & quot ; Tenderloin & quot ; ... avoid . basic room , be not spend enough time pay multiple & quot ; upgrade & quot ; offer . clean , nothing fancy , great bed . black paint around mirror new counter top qualify & quot ; renos & quot ; though . date , include carpet seam let go ... time Nikko spend money & quot ; 4star & quot ; rating . staff decent , previous review spot ... leave lots TIME check ! would still recommend place , do not expect real deal 4star . 
 Sep 8 2009 	 big mistake 	 wish take negative comment hotel seriously . like location hotel stay . many good hotel area , not make mistake . we get Imperial Club room make sure be small . get around 2:15 . tell we room ready definitely ready 3 . get cell phone number tell we will call we room ready . go concierge lounge wait call never happen . finally , around 3:15 go back desk see happen . soon receptionist see we , remember wait call . check see room available . still not room available even think official check time . ask we want upgrade suite $ 65 ? ! ! ! hotel , point would ' ve say will upgrade room since 's fault room ready . already pay much imperial level room not want pay decide wait . begin horrible service . night leave gym , see exit sign next door mistake think 's actual exit . since sign , idea door get lock behind can not open hotel key . stick small hallway lead Fire exit . bang door try get attention open door . luckily , cell phone call husband . call desk ask open door . wait quite sometime keep knock door nobody show . eventually one guest pass nice open door . hotel security never bother even call see ' m ! ! complain fact never call we confirm get , unprofessional rude . thought would apologize try fix future problem minimally add sign would say & quot ; door lock behind & quot ; , guess even lot expect Hotel Nikko ! 
 Sep 7 2009 	 excellent customer service every aspect . wait go back 	 great location view particular floor24 . helpful staff.would go back . 
 Sep 5 2009 	 recommend Hotel Nikko San Francisco ! 	 Hotel Nikko perfect & quot ; City & quot ; hotel stay . staff Awesome ! mention location hotel ; walk distance great shopping , nightlife restaurant ! 
 Aug 31 2009 	 good location 	 select hotel tripadvisor . close shopping , bus . walk Wharf take bus back . walk Chinatown , italian area Wharf . San Francisco safe woman travel . try Johnny Folley 's Thurs , Fri Sat 9:30 . great piano bar . mad Piano 's entertaining . go Asia SF . great food , fun entertainment . prepare walk . lot see . rent bike Golden Gate Bridge trip . return ferry . go Francines Wharf great view lovely dinner . hotel entertainment Lorna Luft . great show . 
 Aug 24 2009 	 stunningly stylish elegant comfortable . 	 stay last two night holiday , book Hotwire get good deal . offer upgrade ' fantastic view big room ' . well , room not big see San Francisco , view fantastic - corner room overlook downtown San Francisco distant glimpse Bay building . love cool , marbled elegance bathroom , huge flat screen tv enormous bed pillow - top mattress forest pillow different size colour . shame powder milk charge internet access , four star hotel stay similar respect ! staff efficient friendly . not eat , expensive , location good find hundred place eat cheaply internet cafe around not want pay charge . Loved would go back chance arise . 
 Aug 22 2009 	 good location 	 good location minute walk Union Square , Cable Car BART Powell Street Station . room average size rating reasonably fit look little tired . view 17th floor overlook city ok tiny glimpse Bay Bridge . maybe well view high looking towards north . concierge front desk staff extremely helpful polite . tea coffee make facility room irritate Starbucks downstair entry low foyer . mini bar room fully stock room stuff - electronically tag move anything get charge account - irritating . would use . 
 Aug 22 2009 	 Good Discount Hotel 	 Read review . hotel nice new , get little ragged . base review , spend $ 20 extra per night upgrade large room . pushy upgrade . ask . upgrade room adequate size clean . furnishing , nice new , show age . carpet , well vacuum , stain . linen nice , bed comfortable . wall thin , lucky floor - mates quiet . $ 10 per stay extra health club ( exercise room , pool , steam sauna ) recommend -- facility spacious well equipped . starbuck hotel open early ( post hour 5:00 , open much later ) , be another one block away Powell & amp ; ' Farrell . save $ 15 per day parking ( & amp ; privilege ) use garage ' Farrell & amp ; Taylor one block away . eat hotel restaurant plenty great one direction . location hotel great . would disappoint pay $ 128 rate ( include upgrade ) get Hotwire . 
 Aug 22 2009 	 good value nice room however staff great 	 book two room hotel we two young child ( 10 8 ) ask close ; however arrive people reception overwhelmed although reservation confirm request put we 2 room different floor .reception concierge facility absolutely averagethe room however nice clean noisefree ok kid .breakfast nice overall price also good.one big minus guy hotel bar unfriendly bar lack charm . 
 Aug 19 2009 	 hectic Good Choice Downtown San Francisco 	 stay Nikko last night San Francisco trip . normally not stay large & quot ; business conference & quot ; style hotel , find great rate ( 187 / night ) Club Floor room think would give try . nice stay cut chain hotel Check prompt efficient ( time least ; later night long line ) , lovely girl check we also print boarding pass we end long shift . think Club Floor would exclusivity , think almost everyone hotel staying floor ! almost comical group get elevator , everyone reach key club floor room . rate , expect & quot ; Grand Central Terminal & quot ; kind feel lobby public area . room nice , entire design bit sterile . king bed bathroom great . view ok , partial bay view much block Parc 55 hotel across street . complimentary wine cheese happy hour 5 - 7 , head dinner around 4:30 , ask attendant could perhaps one glass early nibble cheese much stuff already . advise . grant , stretch , would touches like would really remember . free internet access , printer , lounge well . Turndown service offer club floor room , get chocolate fortune pillow . bad part stay definitely breakfast restaurant , avoid cost unless include everyone room . one breakfast include stay , one cost around $ 25 terrible . several reasonable breakfast place within walk distance hotel , would well choice . pool jacuzzi standard hotel issue except outdoor terrace lovely . use health club steam room . sorry picky , pretty good place . will not disappoint long not expect true uniqueness quaintness . 
 Aug 19 2009 	 amazing hotel ! good place ' ve ever stay far ! 	 love hotel much ! boyfriend book room last minute www.orbitz.com get special discount . hotel book previously ( Red Vic ) utter disappointment arrival decide stay . get taxi hotel ... could not believe luck ! staff friendly efficient - book room time . room immaculate - bed incredible ! completely cover luxurious white pillow . ensuite bathroom spacious - bath shower absolute pleasure . key card make we feel secure safe stay . we get use beautiful pool sauna facility stay minimal cost . downstair bar lovely - always give we free drink ! starbuck downstairs nice touch ! coffee bun breakfast ! yay ! Staff kindly help we bag - even let we store hotel go bus trip day ! call we taxi always give we information go see . we stay far long first anticipate ! romantic , clean , spacious , bright hotel good possible location ( walk distance Union Square ! ) will never forget : ) 
 Aug 19 2009 	 GREAT 	 stay Nikko hotel San Francisco 4 night August 2009 . hotel quite big well mange . room 19th floor , small , great view , fantastic clean bathroom ( include bathtub shower , glass wall , dirty sticky curtain ) comfy bed . premise yopu e Starbucks coffee , pool / spa / fitness center ( 10 usd fee apply , pay justone time , matter long stay ) . pool nice , WOW , nice . crowded kid unmannered parent splash dive big DIVING sign , would well , guess . parking trather expensive ( 45 usd per night , self parking much price , privilegie ) . location fantastic , central everything , restaurant ok , ' m fan japanese kitchen : sushi bar little menu western kitchen Japanes name , say chichis . like hotel , like location , maybe furniture room bit ruin scratch , alltogether stay nice pleasant . 
 Aug 18 2009 	 truly exquisite every way -- star star star star star star staf star 	 Nikko San Francisco absolutely gorgeous service beyond belief . lobby decor breathy , contemporary , eastern , minimalist -- stream run around , less ! room top notch georgeous . staff could professional . trip , can not imagine stay anywhere else city . 
 Aug 12 2009 	 Great Hotel Centrally locate 	 spend three day Hotel Nikko San Francisco . cute hotel , locate close shop great restaurant . staff friendly accommodate . room clean , cute , nice . entire hotel book , not stop staff courteous helpful . highly recommend hotel . 
 Aug 5 2009 	 excellent choice worry 	 recent trip New York & amp ; San Francisco one concern choose good Hotel , centrally locate , 4 star , reasonable price , internet access , two queen size bed , walk distance main street , etc . base opinion Tripadvisor feeling read Hotel web page ( travel often across Europe know many Hotels ) , NIKKO select San Francisco ' 5 day stay wife teenager daughter ( 3 adult sharing room , something usual US , much Europe , almost non exist behaviour Spain ) .In principle focus Superior Room reservation process ( thru internet ) realise small increment price double room Imperial Club Floor also available . club locate top building , floor 22 , 23 24 . price include complimentary breakfast three people ( $ 60 total value ! ) , access exclusive facility , newspaper , free internet , Gym , etc . , back home , proud say make right decision , expectation meet , doubt , Hotel NIKKO fully satisfied requirement . staff personnel truly professional , level , include personnel Reception Desk ANZU Restaurant ( use breakfast every day ) also super efficient concierge staff ( special credit Mr. E. Cerrillos ) specific information , necessarily typical tourist information , require . clean Hotel , one block away Union Square Cable Car stop Powell Street , one block also huge SFO Shopping Centre , good breakfast high quality food include delicious fresh fruit ( huge & amp ; sweet strawberry , never taste life , even though plenty Spain ! ) . also important note , major rental Car brand around corner , plus huge parking garage ( 4 - 5 floor ) front Hotel ( $ 15 per night leave 09:30 a.m. , convenient facility Rental Car office close 18:00 19:00 good case , early decide pay visit day either San Jose ( HP Pavilion , great place fun ! ) , Silicon Valley , Monterey , Sausalito , Sonoma etc return after - hour need park somewhere vicinity ) .The price Imperial Club room Hotel NIKKO ( mine 2209 ) depend date actual occupancy , usual everywhere , case something like $ 258 per night ( plus local taxis ) 3 adult decently balanced ( cheap , would say ) compare similar Hotels big capital Europe . course , current favourable rate Euro US Dollar also help . bathroom include spacious Shower cabin Bath tube , plus flat tv set embed mirror . plenty clean white towel , problem . safe box Pioneer Stereo Receiver plus 5 - cd player ( even 3 cd easy listen music ) also available inside room . , future opportunity visit San Francisco , waste one second time look accommodation . simply come back Hotel NIKKO . say well Hotels town . might other probably similar high quality price . pretty sure take risk go straight safe & amp ; good decision : Hotel Nikko . thank ! . 
 Aug 3 2009 	 Fabulous Experience - Excellent Customer Service 	 return 6 night stay Nikko convention . initially read review TripAdvisor , concerned stay book room Hotel Prescott instead . bad IDEA . hotel bad check check flee Nikko . everyone Nikko incredible front desk staff business center housekeeping . everyone whatever could accommodate we make sure pleasant stay . upgrade 23rd floor fabulous view wonderful room . comfortable , clean functional . hotel pack convention attendee entire time , staff not skip beat get first class service entire time . attend several reception food always good . sure try asian restaurant second floor . food incredible . sat bar visit bartender make great drink excellent recommendation food . go back San Francisco , regardless whether business pleasure , would definitely stay Nikko . 
 Aug 3 2009 	 good hotel Union Square ! 	 husband , teenage daughter stay Hotel Nikko . location central everything include transportation . Bart block half away . famous Cable car block half away . many great eatery choose . shop ( great teenager ) superb . happy choose Nikko . the Hotel Nikko clean beautiful . staff friendly , polite helpful . room large spacious . long day walk shopping wonderful come back large comfortable bed . extremely pleased service receive Nikko . highly recommend hotel anyone look stay great place . shop around online price ( thank travel advisor ) get week 's stay $ 900.00 . hotel pool hot tub ( husband enjoy . ) small one time fee $ 10.00 use pool . well worth . like travel light , hotel provide great bath amenity . bathroom tub separate shower ( wonderful relaxing . ) stay 16th floor view City visible since Union Square densely populate hotel mainly see hotel roof . hotel home great restaurant ( expensive ) jazz bar . great day shopping sight seeing . this hotel must stay ! 
 Aug 2 2009 	 Great Location - would stay ! ! 	 stay honeymoon follow recommendation friend 's travel agent . room lovely large .... minimalist style . comfy bed . 's entrance starbuck lobby fab little sandwich shop across road . locate 5 min walk Powell Street Shopping centre . would definitely stay . 
 Aug 2 2009 	 Nikko superb ! ! 	 stay Nikko 2 nigth upon arrival see 2 different type room choose junior suite . it beautifull luxurious . we instal thing go go shop neighbourhood . when come back find letter room management lucky day want contact reception ... upgrade ESSEX SUITE .. wow , unreal , like appartment big , kid love toilet wich clean behind ! ! ! ! ! ` room clean staff friendly ! 23th floor acce facility free intercontinental breakfast floor . so visit San Francisco : advise : stay Nikko ! ! ! going stay 2 night end trip California 14th August look forward stay ! ! 
 Jul 30 2009 	 1 Star Pretending 4 	 not arrive lounge closing time expect even glass wine take room ; not expect room service serve ; every penny pinch ; management unresponsive dismissive ; travel lot , expect common courtesy minimum ; expecf ! spend $ 4 - 500 night actual service - orient hotel 
 Jul 29 2009 	 Hotel Furnishings Look Little wear 	 book room Priceline grateful excellent rate $ 80.00 able get . location near Union Square perfect enjoy stay . feel furnishing -- especially lobby -- could use update . room small clean hotel staff helpful . Most hotel stay recently free wireless service -- hotel ! rent car trip city Hertz Rental Location across street convenient . 
 Jul 29 2009 	 4 star okay 	 stay last week . room small , clean . fridge microwave . internet extra 14 dollar day . , good concierge service . convenient location . 
 Jul 23 2009 	 ok price pay . 	 opinion hotel , base recent stay last weekend , almost mirror TA opinion write far ... will keep review short . location ... absolutely excellent . not stray far & quot ; tenderloin & quot ; district ( whatever call ) , problem safety concern . definitely lot homeless people nearby , major urban downtown area , simply reality . issue that . hotel ... average . price pay , OK . priceline room , read TA review , pay $ 30 upgrade large room , high floor . glad . pay upgrade Imperial Level ( club level ) . ' m sure room nice , decline $ 90 upcharge ... stay $ 30 bump . high floor , quiet , pretty nice amenity . minibar robe . , price , bad . great either . give one example ... furnishing . another reviewer note early , furnishing dinge worn . note , stutter typing & quot ; & quot ; twice . mean , underscore worn furnishing . could not believe . hotel stay , ' ve read similar comment dinge furnishing , time simply chock bad review nit - picky people , expect much . case Nikko , least room . side table , next read chair , scraped scratch like could not believe .... exaggerate make point . try relay experience . one last thing ... cleanliness . little spotty . perhaps disappointing part , take correct elbow grease care housekeeping . Desk , table , dresser wipe properly , etc . , etc . summary , get good price , small upgrade , can not go wrong choose Nikko . pay full rack - rate price , not land Imperial Floor room , will probably disappoint . 
 Jul 16 2009 	 Guess get lucky upgrade ! 	 read ok - to - not - so - great review Hotel Nikko , quite opposite . Hotel Nikko great location right downtown San Francisco restaurant shop block two away . Valet handle parking , since several bag we , take advantage bell hop enter hotel without struggle bag huge box wine ( parking garage , take escalator second floor reservation desk ) . woman desk upgrade we Imperial Club room 24th floor , though pay $ 170 standard room Tuesday . idea . not ask , pay , boy , luck . floor - to - ceiling window face downtown San Fran ocean distance . room mini - bar , cd system , flat - screen television , free wireless internet . bathroom massive bathtub glass shower . be even small television screen embed mirror ! pretty nifty . Imperial Club access quite treat . Club Lounge locate 23rd floor , 5pm-7pm , serve beer , wine , cheese , cracker . good continental breakfast serve morning . would definitely stay Nikko , consider review , look like stay one Imperial Club floor make experience much well . 
