know 	 well , hotel real pleasant surprise ... make reservation caution ... seek great value watch budget two day NYC Holiday experience . usually stay Omni Bershire Michaelangelo , rate still steep recession . park hotel 's official lot instruct ( self park ) one block hotel . hotel 's entrance say .... artsey unique little signage . lobby small adorable decor steep music . staff accomodate help we get early , matinee ticket Wicked . room turn entire one bedroom NY City apartment spectacular view 6th Avenue 57th Street . & quot ; suite & quot ; hugh high ceiling crown molding , closet large NYC hotel room fully appoint kitchen . suite clean immediately feel home . know performer Carnegie Hall love hotel . oh yes ... Carnegie Deli deliver suite . the hotel entire bank washer dryer guest get ... soda machine cost 85 cent ! ! ! ! property well locate one wonder folk across street live multi million dollar condo not sell move Buckingham . explore area city direction find former Coliseum Columbus Circle treasure . check huge sculpture & quot ; Somebody & quot ; lobby , can not stop laugh . 's fun watch reaction shopper first gaze upon formidable male sculpture . back hotel ... Director Front Office , Sandra Arias GEM ... simply leave hotel unsatisfied let know need help . 's live like NYC millionaire recession budget get ... can not miss stay . 
 Great Location not mind sleep Noise 	 love NYC . many time . keep simple . close $ 300 / night , would expect able sleep . oh ! ! sleep pullout couch son , wife daughter bedroom . turn , put we 4th floor , face 6th ave . take word , busy avenue . window latch quite right , regardless , need double pane window . beyond loud 24/7 . room sauna , heat shut open window increase noise level . bed spring basically cushion / padding . Marvin , lovely gentleman helped bag bright spot . location great long 17th floor face nothing resemble activity . sad turn way first time take family together NYC . 
 Sep 1 2009 	 Gina 's helpfulness 	 hotel many time past year . staff friendly helpful . past visit Gina extremely good we select wonderful room . sincerly , Judith Adelman Birmingham , Mi . 
 Aug 30 2009 	 great price great location great room great stay ! 	 wonderful time Buckingham pleasantly surprise size room amenity . hope stay next visit New York City ! 
 Aug 29 2009 	 Service smile 	 visit NYC sister law 50th party 8 could enjoy Buckingham . front desk staff friendly , efficent , knowledgable go extra mile even request . room large size design feel . mircowave , coffee , iron , small kitchen ( stove top ) refrig . central everything several subway location within block two . block 5th ave would expect pay much value worth visit . 
 Aug 29 2009 	 warm friendly staff overall good value money 	 third time stay Buckingham Hotel New York . great location ! warm , friendly staff . great service value money . 
 Aug 27 2009 	 thank excelent staff ! 	 I´d like thank everyone hotel fantastic stay ! location probably good tourist , everything need step Hotel . the room big , soft jazz music elevator make feel really NYC ! ask Sandra excellent staff ( special thank Claudette ) help , ! 
 Aug 26 2009 	 place really nice 	 need place stay house paint - fume paint aggravate asthma - daughter suggest say , since close apartment place small . moment walk hotel , really pleased . staff friendly room clean lot space . call downstairs ask place eat helpful . extremely happy stay would stay . 
 Aug 24 2009 	 love place ! ! 	 annual vacation 10 - day stay NYC , ' m pretty picky stay -- place ! first year Buckingham . ' ve read many review hotel nothing less excellent rating ! anyone give hotel anything less 4 5 star , spend much time Manhattan Island . hotel room $ 300 / night NYC usually shoe - box two twin bed , pancake pillow , 150 square foot live space , simply , dark depressing window view brick wall . walk suite Buckingham , first word & quot ; think want live here . & quot ; room huge spacious , location perfect hotel hold lot charm . far cleanliness , sheet change daily ( snow white fresh ) , bedspread duvet also change daily , kitchenette pristine update . importantly , staff nothing short friendly accommodating . request ordinary staff see everything take care smile utmost courtesy . reserve deluxe suite little money , still unbelievable deal NYC ! ' ve spend amount money ( even ) hotel not get one - quarter service room . deluxe suite 800 sq foot space ( full living room , kitchenette good - size bedroom bath ) . suggest go extra $ $ $ /night peanut . worth stay nothing less wonderful . 10 day , still not want leave ! ! reserving room next year check tomorrow . 
 Aug 24 2009 	 Great Staff ! Great Location ! Fun Time ! 	 get back California great trip New York ! apprehensive pick hotel internet - especially read less complimentary review - , contact hotel e - mail , decide give try . Buckingham Hotel perfect we . greet door friendly , helpful staff member ( Marvin ) help we unload luggage take room wonderful start New York adventure . , welcome friendly front desk staff include Sandra Arrias correspond e - mail . Sandra staff member give we restaurant suggestion , parking information , direction several time throughout visit really help we . 5 woman travel together - we visit New York first time - want comfortable , safe , convenient economical place stay ! ! two room ( 16H & amp ; 14c ) perfect - lot room spread relax chance . not much cooking refrigerator microwave available quick breakfast wonderful . room certainly modern & quot ; glitzy & quot ; comfortable clean want bed comfortable bed ever sleep hotel . addition , location hotel beat . step subway , block Central Park , couple block tour bus stop short walk Rockefeller Center Times Square . several night past midnight always feel safe comfortable come hotel . ever opportunity return New York , definitely stay Buckingham . 
 Aug 24 2009 	 good hotel stay 	 hotel offer good access major attraction moma , LIncolin Center , Upper Westside , upscuale shopping entertainment . 
 Aug 22 2009 	 Perfect spot 	 really enjoy stay Buckingham . get really good rate Travelzoo location could not well . room lot character , clean spacious , meet need really well . 
 Aug 20 2009 	 nice hotel 	 find nice hotel . room nice size . quiet . staff extremely kind , friendly helpful . thing not like cabinet bathroom close toilet . 
 Aug 19 2009 	 ask Renovated room ! 	 three year agao stay Buckingham could not wait stay ! location fabulous ! recommend many people travel NYC . suite ( 3 year ago ) hip , modern , update lot space ( especially NY ) . much disappoinment , room stay far hip , modern update . room clean ( thank ! ) however , back 50's-60 's decor . ask renovated room , front desk vague .... pretend know talk . disappointing . end stay original suite ( lot space ) see & quot ; nice & quot ; room way . aware parking garage blatantly rip aware much owe hand money . learn hard way ( trusting ) overcharge $ 20 would give back . stay ? ? ? ? guarantee one renovate room , call ahead sure get one .... great ! 
 Aug 13 2009 	 Great Service prime location would stay anywere else ! ! ! ! ! ! ! ! ! ! 	 hospitality treatment staff remarkable . would recommend anyone visit NYC stay hotel location phenomenal . 
 Aug 11 2009 	 Fun Time 	 really enjoy stay ! nice staff awesome location ! love stay ! 
 Aug 5 2009 	 great location great hotel 	 great place base NYC experience . block Central Park , hotel convenient great deal . stay many time would continue enjoy experience . 
 Jul 29 2009 	 ok would stay 	 price expect . parking garage 150.00 3 night ! outrageous , room 167 night . bathroom awful , shower barely drain . nice room kitchen , buy cereal could store food drink . bed awful . bouncy . Kinda far away everything close subway 2 block central park . 
 Jul 24 2009 	 good location 	 stay Buckingham visit New York first time last October . yes , hotel old property thing expect old building ( electric wiring give spark room , example ) . need balance fact room really spacious , be great kitchen available want save money , location perfect . walk Central Park , 5th Avenue , Time Square - whn want go afield 's subway station end block . could not well base explore New York . staff Reception friendly welcome happy advise go get . 
 Jul 22 2009 	 nice people public area - room dump 	 stay Buckingham one night recent family trip NYC . pick hotel ' ve stay number time Affinia hotel positive experience . hotel well locate people public area nice . room ( 4c ) however , dump . dirty , paint update many year , furniture look like pick street ( throw away . ) bathroom dingy handle break shower door . pull - out sofa partially break barely usable . also blanket room pull - out sofa . oh , plumbing noise bathroom next door seem locate right behind headboard bed surprisingly loud . I ' ve make comment directly hotel questionairre send check receive response date . 
 Jul 19 2009 	 Warmed hotel initial disappointment 	 recommend friend expect modern classy place . foyer date staff friendly helpful . stale cigarette smell hallway almost enough make leave stay . 90 year old father enjoy cosy comfortable bed 11 year old son suffer sofabe really cover coil ! however , location fantastic kitchen save us lot money everything need . staff fantastic really make stay pleasant . get use smell even manage sleep coil . great want bit room , separate bedroom ability prepare meal . back next year . 
 Jul 17 2009 	 great suite amazing service ! 	 ' m glad find hotel ! affordable , large room exceptional service . great location ! 
 Jul 17 2009 	 Elegance near Park 	 great stay Buckingham . tuck away corner 57th 6th ave . warm color invite upon enter foyer . 2 day , staff always professional , prompt importantly , flexible need extra thing room . business conference spacious clean 24 hour access . 1 bedroom suite adjacent live space kitchen roomy well . 1 block central park , nice get small piece nature among concrete steel city . Great Hotel . 
 Jul 15 2009 	 Buckingham Hotel Service Impeccable 	 whoever responsible hire Staff front desk General Manager share secret rest world . friendly accommodate true sense service industry lose sight entail . Lisa Sandra commend . 
 Jul 12 2009 	 could not well ! 	 write living room 1 - bedroom deluxe suite Buckingham . 8 night , one go . lobby staff extremely helpful , housekeep responsive problem question ' ve . whole place clean , nowhere near shabby many review lead expect . 1br suite form 2 room measure 20x22 foot , plus front entry hall ( full - sized closet ) , smal kitchen , small bathroom . suite actually queen - sized bed living room ( instead sofa bed , actually great sleep LR ) , along 2 bedside table , 2 upholstered chair , dining table 4 chair , large entertainment center ( plenty drawer space ) desk chair . also sound system , dvd player , large tv . bedroom king size bed , 2 night stand , large dresser ( 8 drawer ) , another tv , two full - sized closet . kitchen 2 burner stove , microwave , small sink , small refrigerator , 4 - cup coffeemaker , toaster . be also iron / ironing board , hairdryer bathroom . floor parquet & quot ; tile & quot ; , except bathroom kitchen , nice ceramic stone tile . a / c , chilling , adequate , efficient , be enough hot water good shower pressure . bathroom small side , ' ve manage , be stay 2 teenaged girl ! toiletry include soap , shampoo , conditioner replenish daily , dish wash liquid kitchen ( housekeeping dish ! ! ! ) . bed linen fine ( clean , probably 280 thread count sheet , fiberfill duvet , eight plump pillow 2 bed ) towel thick clean ( not smell like smoke ! ! ) . hallway slightly dark , adequate lighting ; darkness charcoal , purple , gold color scheme . & quot ; street noise & quot ; 8th floor room , blackout shade addition sheer drape window ; NYC run 24/7 , be always go noise , bother , pair earplug trick , not noisy ! 2 elevator work well ; ' ve never wait minute lift . ' ve couple small issue small appliance ( toaster set smoke detector , iron leak water around base ) ' ve replace day report . Maintenance even arrive replace lightbulbs housekeeping report burn ; turn one teen unplugged lap recharge phone ! Location reported- 5 min Central Park South , 10 min Columbia Circle , 10 min Rockefeller Center , 20 min Times Square . neighborhood safe , plenty 24 hour delis , grocery store , lot cafe - type place , several & quot ; family & quot ; restaurant , several large hotel & quot ; high end & quot ; restaurant within 5 - 10 minute walk . hotel block Carnegie Hall . subway entrance across street , bus line block , block , around corner , etc . pay average $ 175 per night ( plus taxis ) early July . husband use exercise room say be fine- extensive stationary bike , strider , set free weight bench , weight machine , several treadmill . not business center not need ; plenty & quot ; unsecured & quot ; internet access available room . , nobody turn sheet night , overprice restaurant lobby ( although breakfast order deliver room $ 10 ) , none & quot ; poshness & quot ; Hilton Sheraton , pay hundred less ton space , kitchen fix breakfast , real place spread live . will return Buckingham every time come back NYC . 
 Jul 11 2009 	 great 	 layout level amenity studio suite exactly hope would . appreciate space lack fussy detail . unnecessary extra : functional kitchen boon , attention general comfort furnish , cleanliness maintenance clearly hotel 's main focus strength . tea coffee supply keep top toiletry good quality drown fragrance . unpretentious strong art focus lobby elevator helped define mood staff calm polite without obsequious . feel good choice make feel pleased choose Buckingham . 
 Jul 9 2009 	 good price date well maintain . Kitchen joke . 	 stay week two night book stay hotwire . attract hotel location square footage room , along fact come kitchen . travel teenage son , look save money eating meal , choose instead spend dollar nightlife . kitchen small , could not fully open fridge door - kidding . hit wall ! kitchen fully equip . call front desk ask bring silverware sharp knife . also sponge washing dish hot pad hold hot pan . clearly kitchen well suit someone want toast bagel coffee morning nothing else . the sofa cigarette burn back cushion bathtub 's finish come . outlet room , trouble find available one plug cell phone . Wifi available 2nd floor . bright spot fitness center , much well hotel come sauna . , along 2nd floor lounge recently remodel . rest hotel date well maintain . sleep sofa thin mattress have ever see . bed ( queen sized ) comfy . ventilation not good either . lobby always comfortably cool , could never get room comfortable . always warm matter set a / c. Bottom line . location great - right across Carnegie Hall Director 's Guild Theatre , probably would not stay . 
 Jul 5 2009 	 Suite like home away home thank Buckingham 	 1st time hotel book telephone Australia .. suite 15th floor ( 15e ) like home away home . the suite amazement huge , kitchen / lounge full cooking facility 2 convenience store closeby . ( 1 around corner liquor store well ) kitchen also full size fridge . bed comfortable size room excellent . the bedroom completely separate rest room . hotel get bit age furniture reflect bit , tired squeezy hotel room you . the Hotel 5 minute walk Central Park 20 minute walk Times Square . subway line within 5 minute walk . the Hotel restaurant huge selection closeby . the cab fare JFK hotel $ 45 usd . cost hotel reasonable ( suite ) $ 187 plus tax . definately recommend hotel base value money . 
 Jul 3 2009 	 pro con 	 pro -- - hotel great location . staff friendly helpful . room spacious pretty clean . con -- -- bed uncomfortable , ( small cheap mattress -- -could feel spring ) light not work , single pane window -- hear every car pass . Hallway smell like smoke . take cold shower one day . the room first put we funky , mildew type smell -- -and could see ceiling leak attempt paint cover . request move another room accommodate we -- -the new room well -- -but kitchen -- -but fine not really need . think check get money back -- -but figured would hassle stick stay . ever come back New York . stay Buckingham . mislead internet photo -- -We stay one newly renovate room impressed . old apartment build new carpet paint -- -- real picky money ok deal -- -- hindsight 20 - 20 . would rather pay little stay somewhere nice . 
 Jun 11 2009 	 one bad hotel ' ve ever stay . 	 arrive , impression quite good . receptionist friendly , lobby small , nice . get room , hand , awful ! probably one lucky people , end non - renovated room . paint wall , overall look like middle building site . stay short , luckily outside time . 
 Jun 6 2009 	 Buckingham Hotel New York New York 	 great place . room extremely comfortable , spacious clean . staff professional . everyone make feel like glad stay . location great everything could possibly need wonderful stay within walking distance . would recommend hotel anyone . 
 Jun 3 2009 	 Bed Bugs ! ! ! 	 stay one night . room infest bed bug . suffer bite ankle arm . leave early next morning book room Hilton . 
 Jun 1 2009 	 price bargain 	 see negative review space know reviewer tale . stay Buckingham May , 26 , 27 & amp ; 28th . experience wonderful , particularly term price , $ 160 per night . Manhattan term , hotel quality , steal . ' m author three publishing appointment right 57th Street . starter , location escellent . location also perfect midtown , Lincoln Center , Central Park theater . ' m also ex - NYer move away , enjoy able walk everfywhere need go . the hotel 's book agent put exactly want ( high floor , 14th , overlook 57th ) room clean , well light comfortable . kitchen fully equip , utensil clean . Maid service excellent , quick efficient . check , check complete within 5 minute . everyone encounter front desk , day night , right ball , pleasant able answer question . airport van stop 6th instead infront build depart JFK , doorman quick help large bag . tiny glitch , coffee maker not work ( hotel 's fault ) . mention replacement minute . this old building , , NYers , asset . room like old fashioned studio apartment , NY term . bus service immediately nearby , subway also . area safe 24/7 . oh , yes . 's 24/7 Duane Reade drug store across street night grocery around corner 6th Avenue . Most criticism hotel space seem people not know expect NY hotel would happy big touristy ( much expensive ) location . . needless say , negativce recount other part experience . 
 Jun 1 2009 	 Horrid Bathroom good location size ... 	 hotel small lack basic service ( can not buy bottle water hotel ) . room suppose suite though . get small room , couch sight would not consider suite , small kitchen , wich plus , since travel child . size large side hotel ' ve stay Manhattan , bathroom , oh , bathroom ... horrid little place . outdate , creepy , broken tile , tiny toilet , really , awful feel like word not enough describe it . on side , good location get great deal hotwire pay $ 129 stay . 
 may 24 2009 	 call $ 200 motel 6 may insult motel 6 cheap old 	 stay many NYC hotel range $ 150 - 300 per night past 6 month since move away NYC . definitely bottom list : everything obviously cheap , bed headboard , bedding , carpet , paint wall tell cheaply do , crack visible , closet door fall hinge . top , bathroom simply disgusting , title floor look dirty stain allover , vanity cheap ever , toilet look like sth see public place , hotel room . smell weird , bathtub knob make squeak noise . Ac unit loud turn . positive : staff friendly , get reimburse night not stay , little late manager available evening help , end stay miserably one night . close park , park central probably cheap . spacious , may bad room fill cheap furniture . call suite hotel , misleading ! 
 May 8 2009 	 could not sleep wink 	 stay hotel five year ago nice room , clean acceptable bed relatively well isolate window face street . but time ! ! Luckily check change hotel right first night . the room big , mean living room . bedroom , end spend time tiny , stinky bed literally fall apart . bad mattress sheet feel like polyester plastic skin . cleanliness questionable . everything top poor isolation window face back build aircon machine make airplane engine- like noise not sleep wink without nightmare airplane . I would rather stay well appoint small room proper bed bathroom noisy suite fall apart . amount money possible mid - town not waste money ' over sized ' nightmare . 
 May 4 2009 	 ok ... know get 	 Buckingham former apartment building consequently typical hotel go know , may well enjoy it . the pro : great location 57th 6th , close Carnegie Hall ( hotel music theme decor ) , Central Park , subway , moma lot restaurant . also get deluxe suite get apartment large living room kitchen ( small typical NYC kitchen . ) be great be multiple day . the con : really , really noisy location 57th cross - town thoroughfare plus bus service lot construction go . ( jack hammer midnight one night . ) limit technical infrastructure computer ( not bother get modem unit ; be useless ) electrical outlet room . tech knowledge support staff . pokey bathroom disintegrate tile , bad mattress bed . tv reception screw ( get weird selection speciality station mainstream station . ) oddly , despite problem , good time enjoy location . room vary significantly . friend stay see 3 room altogether different layout , comfort condition . advice , book deluxe room . make move not like room . leave computer home . bring ear plug . 
 Apr 18 2009 	 recommend 	 location good . be like small apartment . however , otherwise , room worth : uncomfortable bed , small bathroom , cheap furnishing , strong odor cleaning fluid room , amenity hotel , room internet . price , would far , far well Hilton . 
 Apr 11 2009 	 Bargain Century 	 Bargain century Midtown Manhattan ! ! corner 6th ave W 57th st , 2 block central park , Subway outside door , & lt ; 1 mile Times Square . pay $ 204 per night ( internet special ) 3 night 12/16 - 12/19 2008 basic room . check give complimentary upgrade corner suite ( 11 g ) large — huge ny standard separate bedroom , kitchen , live room / dining room . furniture reasonable though bed could use update , could bathroom . good water pressure , excellent front desk staff , importantly — in middle everything . 
 Mar 5 2009 	 great hotel Location Staff ! 	 stay hotel 3 night February two friend mine . travel often NYC try stay different hotel year . think could one would gladly go back . boutique hotel , big lobby lot amenity hotel , walk distance everything could need . suite - executive suite - big enough live , especially Manhattan . place ever go co - op , ' m ! big kitchen NY standard , stainless steel appliance even dishwasher , dish cooking serve . dining area full sized table could easily fit 6 two leave , could 10 people . large living area queen sleeper couch , leather arm chair , tv dvd player , vcr , wireless speaker , write table work desk . ample lighting , beautiful window . two closet , safe one , small makeup dresser outside king size bedroom - also tv armoire . bathroom large tub , sink , toilet , window , another makeup area . our room corner room , noise 57th street 6th ave , New York . staff friendly professional , bell man especially helpful we . lobby small , New York , nice know someone check come safety . 6 pm , must use room key access elvator . midnight , must use room key access front door well . lack valet parking small inconvenience , know park first 56th 6th , okay . could pull past hotel drop luggage friend drive around parking . midday take 15 minute . dining option abound , 57 café great breakfast , Brooklyn Diner west 57th fun , little eatery nearby take quick meal always Jekyll Hyde right 6th fun . get cab pretty easy time take one , one night walk back theater . walk bloomie great shopping along way 5th Avenue . there internet access room , could go lounge 2nd floor business center close . , love price excellent . highly recommend ! 
 Feb 11 2009 	 Smoke Mirrors -- Caveat Emptor ! 	 Booked & quot ; special Winter rate & quot ; $ 159 standard suite shock find deluxe suite non - smoking ! pay $ 179 + lot tax . 's deal ! 
 Feb 9 2009 	 Great Space Value 	 reservation different hotel weekend , day arrive New York see rate $ 159 executive one bedroom king suite Buckingham Quikbook . although hotel fairly mixed review TA , always interested try property space musical history hotel . book amazing rate ` disappoint . walk huge apartment , immaculately keep nicely decorate . full kitchen new appliance include full refrigerator , cooktop stove oven , stainless steel dishwasher , microwave , toaster coffee maker . also cookware , flatware dish . full dining table chair , queen size sofa bed , large bedroom plenty closet space . also 2 television , 2 dvd player , vhs stereo system wireless speaker . spacious bathroom ` contemporary , charming crown molding , new fixture , abundant towel , great water pressure plenty hot water . love New York pie - a -terre . front desk staff talkative extroverte check check . great experience ` definitely return . 
 Jan 22 2009 	 great hotel ! Great Location ! 	 stay Hotel Buckingham 3 night 29th Dec ' 08 – 1st Jan ' 09.we get hotel early , check , reception take bag we go wander . ' believe close Central Park hotel , literally minute walk ! great location great amenity nearby – shop / pharmacy opposite , several restaurant great little deli / café nearby ( come hotel turn leave , go road , turn leave right ) cheap delicious , breakfast aswell pizza one night .. forget cheesecake ! yum ! go back hotel check room ' ready still , ' concerned go head back central park , lady reception offer upgrade we free ! never ask , make fuss surprised , thrilled ! room 15th floor , incredible . apartment lounge area , dining room , kitchen , bedroom bathroom ! really enjoy stay Buckingham , single problem , incredibly clean comfortable , great heating central heating system friendly help full staff , top off … . perfect location . the thing point New York city never sleep … it ' also city never let sleep , quite lot traffic noise hotel , ' put stay ! 
 Dec 9 2008 	 fail live expectation 	 web site mislead - studio suite suggest site - particular , kitchen fit cupboard ( huge problem , web site suggest ) table work - big problem ; suitable business trip . table side - table stereo high work event uneven move attempt work . sit bed computer work - satisfactory . web site also advertise free internet access room ( see change business centre ) important ( specifically request email booking ) . luck . offer huge clunky modem insane sum per night - try not work give . much help front desk advise obtain internet access near hotel - end find USP block . & quot ; Business Centre & quot ; - call - one computer could access assistance business hour ( useless business meeting / conference day need use evening ) - theoretically wireless available people seem access unable access ( sure - manage get ' free city access ' NBC hold computer window room odd angle , unreliable use time ! ) . room couple old fashioned power outlet work - helpful computer / phone device power - unplug stereo etc plug computer . not fuss size , honest advertising would nice . decide take bath relax one night discover plug fit properly water pour fast go . pipe noisy need avoid use bathroom night . incredibly noisy - know 's expect level 5 opposite main street window fitting nothing help . heating / cool system also noisy . never see & quot ; complimentary New York Times & quot ; might ok use base holiday ( location excellent good cupboard space luggage / clothe ) avoid visit NY business purpose hope work room evening . 
 Nov 12 2008 	 love space ! 	 stay Buckingham 1 Nov - 4 Nov 2008 . excellent suite room , load space , kitchenette area , lounge area sofa bed easy accommodate 4 people . great location 57st 6 ave . 2 block away Central Park , heart everything ... would book . 
 Oct 13 2008 	 good value definite problem 	 Buckingham Hotel conveniently locate heart Manhattan midtown , short walk many attraction , transportation , Carnegie Hall , restaurant , 5th Ave Madison Ave . shopping . good value hotel overprice midtown area , overall pretty good selection . having say , several problem . first problem complete absence loading unload zone guest . arrive guest must stop ( PARK ) metro bus zone run risk either run bus ticketed & quot ; New York 's fine & quot ; . even consider leave car bus zone run hotel register since come back traffic ticket , tow - away car . to make even bad , hotel VALET parking minimal doorman assistance . , leave family luggage sidewalk hope bellman appear go find parking garage , garage affiliate hotel one block away , Manhattan 's complicate traffic pattern one - way street , take long 30 minute get busy traffic time . a well way follow : approach Buckingham Hotel area drive north 6th Ave , turn right 56th St . garage discount rate Buckingham guest first driveway leave 56th St. Park schlepp luggage hotel ( pack light use roller bag ) . approach registration desk lone bellman may try finally assist , ignore : little , late . once arrive lobby , prepare darkest lobby hotel business , absolutely sunlight little illumination kind . look like nighttime even high noon . other problem : restaurant , snack bar , coffee shop , bar . must bring snack drink neighborhood deli ; pleasant thing 2 . plan ahead : may want soft drink snack nighttime , purchase afternoon . room refrigerator ice cube tray . misfitted bedlinen ongoing problem several stay , housekeeping staff try squeeze double bed sheet onto king sized bed , lead crumple uncomfortable mess . the hotel business center even computer guest check e - mail . may use one secretary computer 9 - 5 PM M - F ( ) cost $ 8 30 minute . accord front desk , hotel plan provide business center . 
