strip 	 ' ve palm business many time , first time stay . previously stay across street Rio Gold Coast . guess travel department get good rate , put trip . the bed comfortable , hd tv room , bathroom nice . complaint amenity . hotel locate strip , plenty , even want walk hotel across street travel strip . several trendy club ( include Playboy club ) . club scene , pay $ 20 Ketel one outrageous , hey , Vegas ! fantastic view club , locate top hotel , be worth it . the restaurant ok ... like Mexican one , cafe slow service , food be ok . good value buffet . 's small strip hotel buffet 's 's enough selection tasty food satisfy anyone . there be also food court frozen yogurt stand ( similar Pinkberry NYC ; serve however much want , put whatever topping want , pay per ounce . ) be also movie theatre hotel , enough table show , catch flick . think palm cater young crowd strip hotel to . I not stay previously room rate high comparable hotel , travel department would pay difference . however , get palm good rate , definitely worth . Vegas hotel vie business , good buy . palm worth pay premium , creme de la creme like Wynn Bellagio , right price , be great deal . 
 Oct 8 2009 	 Center Party 	 great access amazing club , beautiful pool , beautiful people , great bed , modern room good comfort . definitely place place party . 
 Oct 8 2009 	 never ! 	 stay hotel ! room dirty service horrible . family stay Fantasy Penthouse suite- Penthouse , la creme de la creme , except even close . arrive , one bed two queen bed room , blood . blood ! complain , housekeeper change sheet like normal . top , housekeeper put wet , damp sheet bed . call Front Desk complain , clerk assure housekeeper thing receive compensation . basically , accuse pour water bed receive compensation . first , ' m Penthouse suite . pay thousand dollar . look compensation . secondly , pay much level quality obviously receive . pay quality instead get Motel 6 room blood wet fluid sheet . , contract , roundtrip service airport . provide hotel flight information ahead time . limo arrive . however , inquire status limo return , limo book result hour fight concierge . bad Vegas experience ever ! never ! 
 Sep 28 2009 	 nightlife 	 be young enjoy party scene , will love hotel week - end . noisy casino area close elevator go club . excellent room , comfortable , nice strip . good selection slot machine . forget buffet , worth price . okay service . small food court open later night get snack meal . good selection different type restaurant . need housekeeping frequently casino slot area cocktail server far time , even non - busy time day . check carefully hotel bill charge someone charge pool . look . great room compe 2 night . 
 Sep 12 2009 	 ok worth hype 	 Strip ; stay Palms Tower , believe old wing . room average . basic well much else say beyond . know idea Vegas want spend time casino oppose room ; Vegas hotel make room sterile bland ( e.g . Venetian Bellagio ) . hotel popular club : Playboy Club Moon Rain good concert venue : Pearl . eat Little Buddha : food good service . Mint Bar upscale well serve food since can not smoke eat place . overall guess people come casino , restuarant club .. since reason stay room 
 Sep 12 2009 	 way loud possibly sleep 	 guess probably know get , foolishly decide accept free room & amp ; slot play offer Saturday Sunday night . one two loud party take place floor . one right next we ( ' m make ) actually bounc door . party loud enough , drunken 21 - year old exit room frequently feel need make much noise possible scream creative way . go past 5 . also non - smoking floor , hallway smoky casino , even two large ash tray outside elevator - 's nonsmoke floor , ? ? ? really hate wet - blanket , & quot ; get lawn & quot ; type , eventually choice call security ( help ) .Sunday night little bit peaceful still loud sleep night . I fair , know go 's party type place . last time stay ( maybe 4 year ago ? ) little loud , nothing like this . the room actually pretty nice , housekeeper , must tough job place like would imagine room get trash time , good job . employee friendly . the buffet pretty good ( run orange juice brunch , ? ? ? ) .The casino actually one good town mid - roller like . go back though will not weekend . 
 Aug 29 2009 	 cautionary tale 	 literally rob people . nothing wrong room hotel . last month 2 people poison rob one evening . one . take place Moon / Ghost bar - find lessee tenant Palms . stand bar Diet Coke leave lie curb mile away , hour later wallet empty . legend , get Diet Coke order , something else instead cause first blackout ever life . professional look matter , can not say yet , confirm active criminal Palms property . know certain , Colas not cause blackout . Alcohol never do either . careful folk , desperate time . big city street smart good evening . advice stay Casino floor see , go club Vegas , protect obvious shady character lurk floor . make sure keep friend close . Palms Hotel see happen intervene , fail . hope help least one person . 
 Aug 24 2009 	 AMAZING ! ! ! 	 second stay Palms fiance good time . get hope upgrade get , king old tower king Fantasy Tower ( difference night day ! ) . room fabulous staff super friendly . bed die , lovely soft room quiet , not hear whisper ! GRA not great let detail slip , aside staff excellent , highlight pool love , N9NE Steakhouse 24 hour cafe great convenient . love Moon nightclub little dissappointe Playboy club Ghostbar , skip will not miss much ! would definately recommend Palms friend would go back heartbeat . 
 Aug 20 2009 	 LOVED Palms ! ! ! 	 everyone super Palms ! bed comfortable plush hotel Vegas . quiet .... unbelievably quiet ! wild party hall train sound loud roar night long ! ( one hotel problem , be separate post ! ) buffet cheap good , although week visit quite good March . price go considerably , well worth would say . anything $ 100 day Palms fabulous give extra comp -- free drink , buffet , etc . try palm ! highly recommend even though lobby little smoky . bed cushy mattresse Euro linen ... separate shower fabulous bathroom ! remember . never try cheat we anything , charge we quote -- be important ! 
 Aug 19 2009 	 Palms- Ultimate Vegas experience 	 recently complete fourth stay Vegas , choose stay palm good & quot ; Vegas vacation & quot ; choice ' ve make yet . travel group 11 people , include girlfriend . everyone early mid 20 's . everyone satisfied room ; clean , large , include everything need . the hotel great job cleaning room . room service excellent , fast , reasonably price . we go Ditch Fridays pool party Friday awesome experience . get early enough get chair near pool , hung day . drink great atmosphere even well . occasionally certain pool party Vegas , & quot ; trashy & quot ; vibe ... well Ditch Fridays not . lay back , classy fun ... look vacation . the restaurant palm great . food court , Sbarro , Nathans , etc . nice option . 24/7 cafe pretty damn good ... lot option , reasonably price , food good . decide & quot ; nice & quot ; dinner last night , choose Alize Palms . top level give patron spectacular bird 's eye view Vegas . choose $ 45 price fix option ... food pretty good ... great steak ever , solid . issue , enjoy chocolate souffle dessert , find appear hair something plate . inform waiter , take plate literally examine flashlight . get vibe not believe actually find food . anyway , take 3 trip table actually APOLOGIZE . claim bristle chef 's brush ... take $ bill anything . disappoint unprofessional . would dine . stuck make feel welcome . dine fanciest restaurant New York City time , never receive disrespectful service before . alize negative aspect Palms . enjoy gambling option . many $ 10 roulette & amp ; blackjack table , look vacation . look gamble thousand dollar ... gamble fun ... palm cater high roller , casual gambler . as nightlife , TOP NOTCH . go club Palms 2 separate night . previous trip , disappointed . Ghostbar & amp ; Moon great option . make Rain time , also good club . drink price consistent club Vegas .... music good , club pack , great energy . opinion , nothing beat hang outdoor section Ghostbar , enjoy drink good company . really feel Vegas experience Palms . all , great trip would definitely stay palm . can not wait next Vegas trip ! 
 Aug 7 2009 	 Dance - hall hotel 	 stay 3 night Palms hotel . negative side:1 ) welcome : non - existent . info whatsoever hotel , key - card hand we . 2 ) room : way expensive look lack luxury . Old fashioned tv , nothing available make coffee tea , large bathroom almost nothing . way room decorate give impression management decide put little almost nothing broken.3 ) hotel : be get nasty : Palm not hotel , 's dance hall . party place . nice teenage kid might think stupid US law forbid participate party , 21 ! Friday send pool 10 o'clock morning ( ! ! ! ! ) pool - party last day bunch ' security gorilla 's ' . later day even harass another bunch gorilla 's try reach lift go upstairs : ' People young 21 not allow ' . hotelguest ! ! ! experience difficulitie reach room long cue ground floor people wait visit club . loud dancemusic day long . stay 25th floor . daytime dance - music come pool area . evening loud dancebeat come different club , last day till 4 o'clock morning . loud conversation people return room party keep we awake six morning . 4 ) ' Acces fee ' : pay dollar day ' access fee ' . something internet . stupid . visit almost 15 hotel US , never see . think 's simply rip - off ( like water pool , $ 8 dollar bottle ) .5 ) Pools great hotel guest allow make use . close early ( 5 p.m ) close day private party . information give closing time , simply send away yet another gorilla . 6 ) room clean : planning room clean efficient . first day stay room cleaning arrive 6.30 evening , dinner . bathroom use , people present room , houseclean leave , result clean do . 7 ) number gorilla 's earpiece quite threaten palm . nothing look angry stand way . give feeling be welcome . 8 ) attitude : palm arrogant place . employee arrogant Palms stress every time 's hotel exclusive . scratch thin layer gold 's simply morter brick appear . become classy exclusive mentioning ten time day . earn . never achieve behave arrogant . palm mile away exclusivity f.i lot european asian hotel , simply hotel really know service . palm not clue . on positive side ? everything bad , thing average . finally learn live . Management Palms make choice . moment seem want make money pamper party - people offend hotel guest . family last stay Palms . bad hotel ' ve 3 week stay US . 
 Aug 5 2009 	 1st time vage 	 amazing hotel ! hot girl ! club amazing ! room amazing apart find comdom beind wardorbe next teh bin . huess throw not make bin ! non less amazing place stay . linda strip everything happend need take taxi everytime leave hotel . that s $ 8.00 + ride depend traffic . would say try get place strip like MGM wynn walk everything price would much . get greyhoud teh plam $ 20.00 becarefull money sucker hear acsent take ride think stack luggage . ! pay $ 99 night 2 doulbe bed bargin can not complain soever . location bit teh central strip . ( strip mean everything happend ! ! ) 
 Aug 1 2009 	 Great Place Bachelor Party 	 stay Palms bachelor party get away 10 friend , great time ! fact another friend mine well two year later . ghost bar unforgettable experience . Wish could give detail happen Vegas stay Vegas . 
 Jul 26 2009 	 clean place stay ! 	 stay 2 night explore Las Vegas . arrive 1:30 morning get room , not look around , go sleep . next morning , noticed room not clean . dusty big smear look like barbeque sauce ( hope ) wall tv . room rate reasonable not spend much time room , deal cleanliness issue , stay next time go Vegas . 
 Jul 24 2009 	 Awesome 10 day ' m definately go back . 	 can not say good hotel . want good place stay Vegas , . decent room fantasy tower good service staff . party animal , look . 4 excellent bar / club 's unique experience , open ' till late stay hotel - free entry / queue jump ticket etc . great pool party be every Friday summer totty galore . spa great , excellent facility include outdoor pool , sauna , plunge pool , massage etc even superb restaurant lunch fancy it . the downside - pool luchtime forget sun lounger will not leave . stay 10 day 5 friend never tired place . 
 Jul 22 2009 	 low quality hotel rude staff bad location 	 stay 6 day palm husband business trip . good thing say hotel . first problem come check - in , ask non - smoking room get room discover smoker ( everything include pillow smell really bad ) . go downstairs complain change room tell actually hotel fully book non - smoking room leave . choice go back smelly room survive night . unfortunately next 2 day tell story .. non - smoking room available . room quite big really outdated . also chance visit Playboy suite palm - must say price pay worth . suite look like 80 's , quite worn . location - well , strip , need cab anywhere want go . nothing around hotel . food - try room service breakfast . yoghurt parfait good recommend pancake . although big , taste like something artificial , could finish even one . try japanese restaurant locate downstairs food quite good . one staff - relate problem - check - out ask leave postcard desk buy stamp . man front desk say problem problem cashier , want leave 10 dollar cash take care later . probably cheat we ! ! ! postcard never come .. recommend hotel . choose stay hotel locate Strip . 
 Jul 20 2009 	 Super ! 	 surprise comfortable room , nice interior . get room 50 $ night good deal . room superb : ) also get 10 $ playing slot machine . althought hotel main strip , bus , take minute strip , bus stop outside hotel . I would really recommend hotel ! 
 Jul 19 2009 	 Fantasy Tower much well 	 write review month ago stay palm not impressed , feel like could Holiday Inn Courtyard Marriott . stay last week nightly rate good pass . time put Fantasy Tower ( Palms hotel , Palms Place ) , whole different experience . large room great view , plasma TV 's , jacuzzi tub bathroom , etc . . . experience would stay palm would request Fantasy Tower . food cafe good although service really slow friendly . gym spa great staff friendly . 
 Jul 17 2009 	 great place young lad / girl 	 room Palms provide free PokerStars play WSOP . room apparantly around $ 200 night , get 2 comfy queen bed , reasonable double wardrobe , tv limited channel & amp ; nice en suite bathroom . the reception staff friendly approachable sort check query without fuss miscommunication . as casino , fairly small compare other strip , not matter stay palm , well thing Rain night club , pool & amp ; spa ... quality place go , gamble , get cab across street onto strip play Bellagio MGM , big casino floor cardroom . Rain awesome , one attraction hotel , would not recomend hotel family , couple traveller 35 hotel mostly full 21 - 30 year old guy gold digger girlfriend ! far hotel go , nice , clean , friendly fun ! 
 Jul 1 2009 	 great place ! ! ! 	 take wife birthday , Vegas 5 time last 8 year , palm place still young young heart . great bar , crazy pool party Friday , top notch service . would go back heartbeat . place kid , Hope help . 
 Jun 25 2009 	 Robbed Staff leave Hanging Management 	 stay Palms weekend boyfriend stay additional day business . excited look forward funfille experience . room nothing write home little outdated good size bathroom fairly large . arrive 11:30am Friday able check early positive whole experience . Saturday night come back pool sunglass face since hand full . put sunglass iron board use shelf small item . next morning go brunch unexpectedly run FedEx Kinkos not time go back upstairs get sunglass . upon return get ready go pool realize miss course room clean . rob cleaning staff . search belonging make sure call security . expensive sunglass particularly upsetting . security arrive interogate we like thief outright tell we 99 % percent tourist find item leave basically take we seriously . fill incident report tell would hear something investigation effort within 24 hour . not hear anything boyfriend go downstairs noone hotel know incident could locate incident report form fill . 2 day try figure happen noone know anything responsive . basically ignore . make matter worse next 2 day cleaning staff would clean room ( assume hear theft report ) . top boyfriend go business dinner towel since get back pool hear key door someone walk . assume clean staff ( maybe return scene crime ! ? ) question check hotel ... checkout day several day . annoying part even knock .. walk right . hotel fine want springbreak / lowclass experience otherwise would recomend hotel anyone unless looking also not mind treat like annoyance something godforbid happen hotel like . 
 Jun 23 2009 	 avoid Casino food ! 	 & quot ; Deceptive gaming practice slot club ! & quot ; finally make palm check Maloof brother venture .. overly impressed casino area , expect Strip like quality . I go slot club get player card tell & quot ; five time point & quot ; day .. Wahooo1 lady sign say need 1500 point get $ 25 free play . slot point adjust already machine reflect 5 time value . return machine seem somewhat well encounter Strip stay Mirage . take get 1200 point put another $ 60 figuring would achieve 1500 point require get $ 25 free slot play slot club employee tell . drop $ 180 finally go get $ 25 THOUGHT earn .. wait line 25 minute , get counter say gentleman counter , finally get 1500 point require least get $ 25 slot play . put card machine say .. bad news .. 354 point ! five time value point worth next nothing ! ! ! tell deceive tell joined slot club slot machine show 1780 point ! , tell .. & quot ; good news .. enough point get cap ! balance point get cheque { incidentally expire 24 hour } sixty eight cent ! ! Con ! ! .. friend come join Wynn later day , look forward go Ghost bar , call room tell Palms experience go Lavo strip instead . always want check palm hear good thing year back . beyond disappointing ! send review Palms hotel .. reply .. class . JFZ 
 Jun 11 2009 	 Palms want play lose 	 Palms nasty beat . blackjack want trespass . tell like skill level blackjack want tourist give away money . dirty group people . 
 Jun 8 2009 	 Twenty Somethings 	 get great deal website stay Thanksgiving $ 50 night , worth get . room good , clean , large bathroom , view neighboring tower strip . casino area fairly lame , house cineplex food court mall - ish feel . mostly young clientele ( target tattoo parlor premise ) think really 19 - 21 yr old college kid would like first time Vegas experience , really anyone else . 's far walk strip old vegas cab . past midnight seem lot single lady play slot , directly path room elevator . take mean , observation . overall good value , first time Vegas place kid roadtrip ( vehicle ) . 
 Jun 8 2009 	 rich Celeb ... 	 nice hotel . room comfy clean , nothing complain there . do not room service , room long enough . my bad thing staff lil snooty . palm great place people money , celebs , average person may find & quot ; hype & quot ; . famous club , Hart Huntington tattoo spot , famous name place average person stay . location suck strip , however offer shuttle . mall shopppe hotel small medium size casino , tattoo shop , club . would peg family spot , & quot ; see & quot ; spot sttictly good time . over cool , do not like , celeb money dish really cool room , would enjoy . love VIP 's . next time would stay strip . 
 May 26 2009 	 impressed ! ! ! ! ! ! thank SECURITY ! ! ! ! 	 Stayed Palms May 11 15th . book Travelocity month prior call palm confirm reservation . immediately woman desk inform us room upgrade Fantasy Tower & quot ; charge & quot ; . upon arrival staff excellent friendly . inform us free pass club ( Ghostbar , Moon Playboy Club ) . we sure go , staff escort we elevator room . room clean , huge bed , new flat screen tv 's . settle , head casino drink . bartender friendly outgoing . follow day head pool . first impression good Security search we , bag pocket alowe food , drink towel . understandingly want spend money bar . sit pool , end sit bar meeting seemingly nice & quot ; folk & quot ; KY . order couple drink bar , guy ( KY ) distract us friend hand bartender credit card . next thing know , credit card driver lisence go ! immediatly ask bartender . reply & quot ; put front & quot ; . search around notice one & quot ; gentleman & quot ; KY go . bartender promptly inform Security within minute CCTV tape review sure enough one fine & quot ; good ole boy & quot ; swipe ! did'nt take long bartender Security find casino . everything return : ) thank guys ! ! ! ! 
 May 23 2009 	 Great Place much Cig Smell Air '' 	 stay Palms Tuesday Friday . service outstanding , friendly people everywhere go . I book room airline get bargain basement rate $ 59.00 per night . reason , check , room upgrade . room king size bed huge . everything super clean . day , soon walk front foyer casino , smoke smell hit . ' terrible . strange , though , air evening much easy tolerate . maybe ' run type ventilation day . reason , ' stay . casino air quality improve last year , ' go place . soon Friday come around , medium age clientle change . crazy party hardy 20 something infest casino . , ' fun see bunch drunk college kid prowl like Spring break . . do that . the spa absolutely , totally amazing . Lori ( Hawaii ) facial ( enzyme something ) skin wonderful . worth time money . allow extra time take advantage everything spa offer service ( steam room , hot tub , etc … ) be really ok away strip car not mind cab fare . be , get tatoo . great taste salsa drink mexican restaurant lobby area . nice food court , , be hungry need quick something . 
 May 20 2009 	 bad great either . 	 ' ve stay 18 hotel Vegas , hotel average . 's good walk strip . with Playboy Club still existence , Playboy Bunny picture every column casino , would think hotel would sexy , 's . cocktail waitress outfit reveal like Rio . the pool contemporary ( snobbish ) design , attractive . interior design buffet . the buffet great deal , however , unlike hotel strip . the room nothing special , although like bathroom . the spa fantastic , get free pass , rare strip hotel . the Playboy Club place sit around drink , $ 25 / hand blackjack - dealer bunny . get free pass stay here . I enjoy stay , periodically go back buffet , tv show & quot ; Real World & quot ; film , Playboy Club , expect , Hard Rock Hotel Planet Hollywood cut edge young folk . can not go wrong stay . 
 May 13 2009 	 Awesome experience 	 book two bedroom suite 3 friend Palms Place extended weekend trip . excellent service every staff member ! second limo pull , hotel employee already wait open door let we . front desk staff awesome , seem really enthusiastic treat guest smile . bell hop awesome , tell we everything go weekend . ' m really surprised people 's review . everything hotel top notch . good thing hotel - always something go . Ghostbar ( chill ) , Rain Moon nightclub , world 's Playboy Club . place great . afford bottle service , definitely get ! table 's party . downside Palms locate Strip . not downside though . love Palms , could stay , never visit Strip still amazing time . definitely go back ! 
 may 12 2009 	 worth hype 	 get Vegas early Saturday morning ( check time ) decide head pool room ready . mind super amped Vegas stay @ palm ready good time . make way pool look 5 chair sit together . ask nice lifeguard chair reserve say one not say reserve open . ask would able get we 5 chair we say , could get we 4 could rent cabana vip section - hmm ok well much cost ? $ 500.00 . um ok , well thank , take 4 chair . make due put bad taste mouth . spend good 4 hour pool good time . room . husband non smoking room king size bed . view pool nice could hear music conversation come pool ( 11th floor ! ) could also hear music club . surface room ok , alot ' old ' look expect bed comfy . room clean would like , piece glass hair clip floor little concern . bathroom nice surface shower awful ( flood floor turn ) fan air bathroom shower . casino nice give young fun vibe , smoky . let place . would stay hotel unless vip suit give we free . ghostbar cool , worth pay get ( thank goodness able line jump get free ) . think need put love back room especially since strip , want keep people happy stay somewhere strip . curious know tower room look . 
 May 12 2009 	 joke . Room receive represent we ! 	 book 3 month advance 2 bedroom suite Palms . hotel send we web link could view room . room book hip , modern stylish include bar . even 600.00 night excited . arrive room shock . stylish room think book actually decorate moss green 1990 's furniture . seek manager tell give room new tower away hotel book . room give we old plain old . could upgrade we room would cost additional 500.00 ! needless say decline option . pool head & quot ; Ditch Friday 's & quot ; pool party . 20 look hook drunkest person find , place . pool DISGUSTING people entertain . basically spring break . least trashy fun people watch . later evening start ready hop freeze cold shower . ring manager . send engineering dept argue 20 minute nothing wrong water temp . finally insist measure temp one shower suite , agree 18 degree temp difference . fix issue leave tub fill black dirty boot print . housekeeping arrive away . happy report boot print gone clean pathetic regard . one bother vacuum still hair bathroom floor . & quot ; suite & quot ; plasmas , iPod hook up , little furniture . light nonexistent leave room dark . positive point bed . comfy make nice sheet pillow . overall bad hotel stay Vegas . casino small , dark dull . staff particularly friendly . hotel good bar ( ghost bar ) club ( rain ) find Bunny lounge Moon joke . good snack Little Buddha rest food selection subpar . could recommend casino anyone . money well spend Caesars MGM . 
 May 10 2009 	 lucky start ! 	 first stay palm lucky start . we great deal ( $ 109 $ 30 food credit , $ 30 spa credit , $ 25 gaming credit free vip entry club ) .on check find would goiven $ 50 food credit , upgrade Grand Suite ! living room , seperate bedroom , cloakroom , jacuzzi bath bathroom . Decor ok , hippest fine . also TV 's ' old ' style - free upgrade not complain ! housekeeping could well - room clean , fridge not clean previous guest . use spa , nice , good massage facial ( package $ 145 credit apply ) . not time use pool look nice . play slot little , first win - $ 20 , well lose ! eat Little Buddha , good usual , buffet breakfast . Buffet small , ok breakfast . overall quiet ( Playboy club , Ghostbar casino quiet ) , midweek even quiet . assume be get upgrade . 
 May 8 2009 	 Palms - Average 	 would consider palm amongst " middle road " casino Las Vegas general visitor ( Las Vegas lot these - decent accommodation , okay casino , bad & amp ; good dining option ) . would definitely give slightly high mark fall " young party club crowd " . palm 2 great thing go : great nightlife / party scene ( 2 nightclub & amp ; 2 nightlife style lounge – property 1 ) really awesome suite ( willing drop $ 2,000 + night ) . 2 factor - it average hotel average visitor . the regular room : spacious comfortable bed - nothing really wow ' though . the casino : somewhat old & amp ; outdated – carpeting look fade machine welldine option : Food Court - Blah , Buffet - AWFUL , Gradunos - pretty good mexican fare , high end restaurant ' chance eat $ $ $ - although hear N9Ne & amp ; nove amazing . staff : fairly FriendlyI would stay casino hotel give heavily discount / free room . 
 May 8 2009 	 Good Bad 	 trip start little shaky . upon check - in front desk staff welcome happy . check dirty room palm tower couple call front desk housekeeping tell room available ( yeah right ) , general manager give call upgrade we room Fantasy Tower . naturally , right thing do . the new room nice clean . update large Palms Tower . loved pool area , bartender extremely friendly hospitable . get jammed pack early sure life guard host help chair . People allow save chair , sorry . would throw towel side . not depend waitresses drink . 's much easy go bar . music fun energetic , owner new tattoo parlor spinning music Saturday awful . make Rain , Moon Playboy Club . nice good time . one regret check Ghost Bar . the hotel strip , honestly feel need leave . food Cafe decently price great late night munching . mexican restaurant brunch okay , can not beat $ 14.95 price drink margherita . one main complaint would upon check - in tell $ 50 food credit use hotel . ' m sure miscommunication happen , assume include pool area . course not voucher outlining rule food credit . upon check - out tell not use food credit pay food purchase pool area . apparently manage own different company ? buyer beware . contact general manager couple time , neglect respond concern . clearly give [ -- ] . thank professional hospitality customer service Scott ! helpful room , clearly falter else . sort response would fine . despite set back , pleasurable stay . will stay somewhere else next time . many hotel place see . Viva Las Vegas ! 
 Apr 11 2009 	 far strip ... 	 stay 4/7 - 4/10 . follow tip review site , ask room upgrade check - in , tell could upgrade fantasy tower additional $ 25 / night . since get good rate originally Orbitz , agree pay difference . worth , even $ 25 upgrade , total room cost $ 84 / night . fantasy tower room modern design comfortable . let bed ... guest say hotel good bed Vegas ... well think bed great , bed average . gripe casino lack $ 5 minimum bet table day really busy . also think selection slot machine meager compare Vegas casino 's . upside drink service gambling table good . far dine hotel , N9NE steakhouse expensive good steak . menu la carte . Tip side enough 2 serve separate dish make share easy . way save buck save room dessert . Dessert probaly good part meal . also dine 24/7 cafe . great food great price . eat twice . also try Bistro Buffet dinner first night . bit well Golden Corrall seafood night . wide selection , food appear fresh taste adequate good , minimal staffing restaurant night , always wait someone carve dessert station . overall , dissapointe Buffet . try club casino know . instead opt table gambling evening take cab strip experience hotel . , hotel well worth $ 84 / night spend . would pay much room . large drawback hotel proximity strip . first time Vegas , stay hotel . pay little extra stay strip . within walking distance everything well worth . look nightlife pool , hotel probaly good bet . however want convenience shopping , dining , Vegas show , well gambling along pool nightlife , stay hotel Strip well option . save room , money spend cab fare day hassle use cab worth . staff overall helpful good looking . use concierge . also note Rain nightclub open weekend . one interested go , however stay week miss opportunity . casino also smokey , bother , stay one large expensive hotel high casino ceiling well ventilation . 
 Apr 10 2009 	 um think . 	 get great deal stay , particularly upgrade suite . suite nice , really impressive particular way . close pool early ( although hotel Vegas ) .On positive note , hotel staff generally extremely helpful friendly , one exception . impossible find waitstaff casino . ' m sure much gamble get drink , never make limit . one waitress find try order , rudely told & quot ; ' m accept order time . & quot ; never get drink ! also would not recommend breakfast buffet . not expensive , also really not good . 
