give 	 spend Saturday night hotel , must say big mistake . a West end show , romantic dinner night great area London spoil hotel . although staff pleasant helpful , room tired / antiquated bathroom / pathetic toiletry / dirty windows / tatty net curtain / filthy window runner / mini bar ( 4 star London hotel ? ? ) breakfast awful ( hotel try charge , prepaid B & amp ; b term / bad stain carpet / basic bed pillow - miserable room . I sure Health Safety regulation , ever fire corridor outside room stay , occupant would perish window could open all- secure mean obvious screws window frame . 's hotel like give London bad name - room two star well - stay expect 4 star ! 
 Sep 22 2009 	 Nice Hotel ... Great Location ! 	 girlfriend stay 2 night part tour Europe ... arrive London morning problem check hour early . right street shop restaurant could ask . plus Tesco 's want grab grocery save $ $ $ . internet joke , let we use office pc check flight print boarding pass , appreciate ! must get one remodel room room fairly update clean . all 's great hotel stay everything access ease ... especially Kensington Gardens / Palace 
 Sep 19 2009 	 Excellent Accessible Room hoist 	 stop late June 09 take time write review . hotel choose tell Mencap overhead ceiling hoist people disability need . go relative complex disability would able go holiday anywhere without form hoist . actually , young man holiday many many year could never find hotel overhead hoist . the accessible room disabled person brillient overhead celing hoist many well think feature make easy access eg door wardrobe , touch pad opening door , good lighting , tv remote also operate light switch . even fridge ! accessible room single ( single bed ) . go fellow carer would greatly benefit height adjustable bed , also bed rail person remain safe whilst bed , make packed pillow . accessible room large enough , would benefit slightly larger/ adjoining room next door ( fellow carer share ) intercom two room . we find room clean , well lit , good furnish ( read people 's review happy ) staff prompt , attentive , helpful . I wish priase Copthorne Tara take lead cater people complex disabiltie whilst many hotel , London , throughout UK not hoist . pity pricey would appear discount accessible room hotel discount web site 
 Sep 17 2009 	 not know fuss .. hotel decent even good . 	 kinda worried read review , company book hotel colleague -- usual , not really choice matter . get pleasantly surprised , check ( take minute , literally -- though 11PM ) get room -- # 766 . clean ( include bathroom ) , heater / air conditioner work well .. really , complaint all . after read review , immediately call hotel ask room not face tube station behind hotel , be get . ( comment people complain : read review cheap make call request specific room , even long distance , be dumbass 's fault waken loudspeaker . ) two thing irritate though : £ 11 breakfast £ 15/24hrs in - room internet ! ! look breakfast nothing special ( regular greasy english breakfast complete boil tomato -- HELL would anyone boil tomato ? ! ) , opt walk three minute tube stop get pastry coffee couple buck . price in - room internet take cake though ... would pay £ 15 could use entire stay , price extreme say least , especially internet rate day ! one last thing still not get two separate tap sink , 's England , guess . : ) ( not get wrong , fully understand reasoning , be fine 's guy prefer house 'cuz be be use , hotel well .... come man , be 21 century ! : ) overall , like place , would stay need come back London . 
 Sep 15 2009 	 not want take Socks 	 choose hotel place lie head flight . gross . other say , lobby grand promise good thing come , however , stale cover perfume scent step onto second floor . room , wallpaper peeling , wall doorway bang . bed lumpy . small detail also hate separate faucet hot cold water . hanger attach shower curtain rod . strange guess want wash clothe sink ? location pretty decent - right near High Street . nice pub recommend guest service call Britannia short walk . cozy yummy . also , Muffin Man cafe / tea shop block away DELICIOUS . glad stay discover place . 
 Sep 15 2009 	 Location Staff make Hotel Winner 	 lovely stay hotel room 1256 . various people man concierge desk fantastic . filipe Da Silva especially helpful direction , suggestion , additional assistance forgot bring print London Pass confirmation receipt . another man ( whose name neglect get ) help phone card . ( never use one ! ) also help we obtain ( spur moment ) reservation B & amp ; B Bath . the hotel nice location ' beat . club level room clean comfortable though luxurious would expect 4 - star hotel . Club Lounge nice . great access internet - connect pc lovely continental breakfast morning . highly recommend hotel location wonderful staff . 
 Sep 15 2009 	 shabby tired bearable . 4 star . 	 stain carpet , pervade smell damp corridor . room small basic . wall thin everything could hear . bed definate lean one side . even breakfast mediocre . 
 Sep 12 2009 	 's 2 star 4 . 	 Decor naff . room really tired looking . give we room diable guest car park entrance get discount full tariff . pay full rate would furious . wake every morning sound plumbing . window dirty hard tell weather like . exterior building ugly think Joe Stalin must hand design process . car park £ 25 day discount staying hotel . like little comfort luxury holiday . find here . only save grace course fantastic location . 
 Sep 8 2009 	 Shabby worthy 4 star description . 	 hotel excellent location , block excellent shopping kensington high street tube station opinion , that s pretty much hotel go . fool picture website . Foyer big quite grand room far 4 star standard . serious need update . really feel like have step back time 80 's ! bathroom quite small , worn shabby . staff fine would not describe friendliest bunch ' ve ever deal with . if not plan spend much time room would go location alone get really good deal . 
 Sep 8 2009 	 great location tired decor 	 hotel real mix good good . 's excellent location , minute High St Kensington tube station , close shop restaurant . room good size time overlook railway ( find noisy early stay ) . bed bit soft liking , good selection pillow . air conditioning not efficient even set 16 degree , keep room warm . windows woud not open , could not get rid stale smell room . shower one powerful ' ve experience shower curtain discolour . decor date tired would not put stay . restaurant dark bit maze find way around ; breaksfast usual selection , nice scrambled egg prompt service . not eat hotel evening can not comment quality plenty special food offer include 50 % dine early . checkout disappointing - overlong wait due one person desk busy time morning . mix experience make difficult decide rate hotel - refurbish could excellent . 
 Sep 7 2009 	 Good Value Great Location 	 stay Tara Copthorne know room like . yes , tired , yes great bed . location fabulous refrigerator location good reasonable restaurant make decent choice hotel London . use Priceline book feel like excellent value pay . use name price feature Priceline book room . stay four night . I email request room upper floor smoking . give room floor 10 entire floor apppeare nonsmoking . room quiet . appreciated hot tea room morning . tv work great . nice shower super fluffy soft towel . small table chair room nice late night takeout dinner long day sightseeing . I suppose hotel amenity qualify 4 * room upkeep would expect 4 * . otherhand vacation stay several expensive place dump . experience Tara Copethorne seem like palace . 
 Sep 6 2009 	 outdate dirty room amazing staff 	 husband stay hotel recently . book hotel due location mostly positive review site . arrive property , pleasantly surprised find hotel live expectation . lobby look relatively newly renovate staff extremely helpful upon check - in . however , enter hotel room excitement shatter find room look like not update least 20 - 30 year . certainly mood - killer exciting week plan London . stay couple small historic bed breakfast previously trip other city update call modern hotel . furniture old use , television outdate , bathroom cover hair previous stay , room horrible odor make matter bad two large blood stain wall look like crime commit . also lot noise night train . not pre - pay room , would definitely try find something else city . location certainly could beat . convenient High Street station easily accessible walk around London . staff Guest Services desk absolutely wonderful ! go beyond offer helpful suggestion activity / transportation etc . certainly one complain public forum feel like need address . hope helpful other plan stay . 
 Aug 27 2009 	 not 	 please take someone tolerate alot thing . many other say , hotel lobby exquisite stop . read review think can not bad hotel , old smell come know . plus location , close High Street Kensington tube line . 
 Aug 27 2009 	 nice hotel good location 	 nice hotel , block form Kensington High street tube station . room ok size clean . room small fridge shopping close , handy . bed comfortable room clean bathroom clean nice . overall good value nice spot stay london . 
 Aug 26 2009 	 hotel nice location staff really stand 	 husband stay Copthorne Tara twice 2006 : second visit make enjoy first stay much . one amenity really stand we small , empty refrigerator locate room . enormous Marks & amp ; spencer terrific full - service grocery store less two block hotel , refrigerator 's easy stock milk , yogurt , fruit , etc . snack ( make breakfast ) . also large , well - stock drugstore ( Boots ) terrific sandwich shop ( Pret Manger ) within easy walk distance . business locate within High Street Kensington tube stop , find easy walk hotel tube even luggage hand . also , FWIW , High Street Kensington terrificaly convenient tube stop -- get virtually location Central London one two line transfer involve . hotel : , quite frankly , much nicer reasonably expect . one visit , room overlook Courtyard , visit , overlook tube track . surprisingly , tube - view room even quieter , quiet curtain terrific blocking light noise . second visit , ill large portion visit , get know room well . : ) morning desk clerk take real interest help , recommend british equivalent american over - the - counter medication make sure know reach Boots pharmacy . even offer call doctor one point -- end need , wow , reassure know someone look could help thing get bad . overall , love hotel , definitely hope return one day . 
 Aug 25 2009 	 Nice hotel good location 	 pleasant stay hotel . yes , bathroom bit date , towel clean lovely big . bed spotlessly clean comfortable , room . location good Kensington High Street short walk tube station . breakfast buffet good , flaw queue use toaster ask refill tea . maybe reason give pot tea practice hotel stay , someone like like morning cuppa ... ideal ! overall , happy stay would return again . not quite 4 star hotel lot go . 
 Aug 23 2009 	 Excellent value 	 book nearby & quot ; suite & quot ; hotel upon arrival discover , every respect , absolutely hideous . able tolerate staying , recall previous stay . go online ( four square inch & quot ; suite & quot ; hotel wi - fi actually work ) find cheap price website . make reservation , drive round , check roughly 20 minute later . helpful receptionist even able get high floor virtually notice . location price great ( although £ 25 day parking little excessive ) make fine base business travel . staff helpful well - train , & quot ; disturb & quot ; sign respected day ( much work in - room ) , request room make 5 pm cause problem all . the room perfectly nice , decent view high floor , food be great , in - room air - con excellent . top value highly recommend . 
 Aug 22 2009 	 great location great service 	 fine hotel great location one block High Street Kensington tube station . concierge extremely helpful well staff time include late night . room comfortable , shower amazing ( fabulous water pressure ) lighting room great . good Thai restaurant block good indian restaurant Abbington Street nearby . 
 Aug 20 2009 	 poor quality room - 4 Star 	 although location hotel excellent , quality room really 2 star good . carpet torn grubby , furniture chip worn , wallpaper dirty tear , skirt broken corner , latch door pull 's mount point , break wood leave splinter repair . bathroom old date . seal around bath sink dirty discolour , ceiling . tap dull old looking . bad shower curtain , afraid touch dirty mouldy . general quality room 1 star . towel bedsheet clean , although bed poor quality . upon arrival greet porter ' be wait someone ? ' despite fact case in - hand . breakfast battle get tea coffee - one morning ask three people coffee , still not arrive finished breakfast good 10 minute . steer well clear unless happy old tatty room good location . 
 Aug 18 2009 	 bad stay back - 4star hotel 	 stay 6 night . hotel definetly 4 star hotel . opinion 3 star high . room size ok , bathroom looked use . unfortunately bed worst . smooth - small ( twin ) . 2 night partner sleep ground get problem back scary smooth bed . say something positive : like breakfast . hopefully never stay . 
 Aug 17 2009 	 Nice Hotel 	 stay week - end Anniversary base concert go complaint . hotel great location minute walk High Street Kensington tube station . check receptionist train kindly upgrade Club room great . room spacious spotless clean . bathroom large clean . room overlook tube line stop run around midnight fair make little noise . get great sleep night not expect think big hotel would noisy not . breakfast buffet style load choice staff helpful prompt refill tea coffee . would definately stay future . 
 Aug 16 2009 	 Great Kensington Hotel 	 review say furniture room bit worn , mini bar price high , whole 10th floor room great . big hotel usually expect keep wait whilst check , problem . hotel handy theatre booking desk discount ticket prove much easy search internet short notice . excellent breakfast , good service round . I would recommend hotel anyone visit part London . 
 Aug 16 2009 	 distinctly average 	 stay hotel tube strike , obviously not put we right frame mind enjoy anything ! ! ! however , not overly impressed offering here . the hotel look like factory attractive outside . view room much well - estate old railway line . reception area fine big seating area 's nothing wrong room , be wow ! factor . we order late - night room service take age come call chase - think maybe lose order ! breakfast decent sheer number people feel like herd cattle wait make toast . and much grudge pay £ 25 park car overnight , never mind pay hourly rate want go anywhere day ! ! ! 
 Aug 14 2009 	 Disappointing 	 disappoint stay - 4 star hotel stretch imagination . everything need update , smell smoke bad room , , horrible breakfast , unfriendly reception staff . window do not open , air con noisy . lot little thing ruin anniversary . 
 Aug 11 2009 	 GREAT RESTUARANT / GREAT HOTEL 	 stay lonon tara three night end july . great hotel superb Brasserie Restuarant . place eat try fillet steak great . wine good make restuarant staff . pleasant courteous helpful guest . people like make hotel good . visit see mean . great experience arrival departure . highly recommend 
 Aug 6 2009 	 would stay 	 bit apprehensive staying hotel , read review trip advisor , pleasantly surprised . ask get free upgrade club room four night stay . room date decor , clean a / c work . find staff helpful , dine Bugis restaurant one night find excellent . enjoy nightly night cap hotel bar . location excellent . would stay Club room . 
 Aug 4 2009 	 do not hotel around well b\bs 	 three night stay , first night good , ciggy burn floor , fan window go time , small bed , can not open window , a\c belch night . rang girl desk say bed ok cou ; understand much english , speak manager nice helpful get we well room double fit two adult , still can not open window , a\c still purr away much sleep , third night much , breakfast ok , much leave 10 oclock , go home rest , next time 30 year marry go stay else ? ? ? ? ? ? ? ? , 
 Aug 1 2009 	 Great Location room need serious updating 	 choose hotel great location , walk distance Kensington Palace easy walk tube bus . location great ... struggle rest . hotel prime location , interior anything prime . room clean , bed comfy , everything else room tatty . bath / shower stain ( wear tear ) , furniture chunk , carpet become threadbare , decor original ( early 80 ? ) . hard picture every good hotel style . staff ok , help ask , hole place reception bar never feel welcome . get average service , great location , that s pay . need somewhere stopover , fine , want romantic break ... . 
 Jul 31 2009 	 good hotel location London ! 	 club room - fab view ! well worth upgrade club room ( guest tell room 10/11 not nice ! ) Quick check time - really fast efficient ( plus tired traveller ! ) everything need hotel ! shop sell everything ! cafe latte muffin access internet ( great check email send message back home book London tour line ! ) £ 1.00 x amount minutesA bureau d. exchange cash point place book theatre ticket ( really think everything ! ) taxi rank sit across road - wave cab drive right door ! leave hotel turn leave walk straight KENSINGTON high STREET ! ( usual shop unique shop pepper ! ) include Tesco supermarket provision ! Bill Wyman 's ( Rolling Stones ) cafe sticky finger minute away friendly atmos.and good music ! ( watch £ 2.50 service charge ) not tip twice ! turn right Kensington High Street keep walk reach Albert Hall , keep go reach Harrods Harvey Nichols ! nice brisk walk Summer plenty see route ! hotel busy incredibly peaceful relaxed big place . I stay back 80 's - nothing like present day - welcome surprise ! hide gem ! 
 Jul 30 2009 	 Thank Goodness upgrade Club Room 	 stay last minute trip Wimbledon decide upgrade Club Room get oen high floor . thank goodness that s quality fo upgrade room god know normal room like . Noisy Air Conditioning , funny smell room , let say good experience . private Club Room , joke . first day breakfast full , pappe main breakfast hall full scream kid , exactly want avoid . on return Wimbledon , 10PM , go club room coffee find place like tip . clean ; clean whole time . also ask change tv channel somethign question time tell ; t. the problem mainly occur lack english speaking staff . usual problem London . say speak english , unfortunately ; understand someone speak back they . if stay London , try Harrington Hall first , much well 
 Jul 25 2009 	 Nice hotel centre Bayswater 	 nice four star hotel heart Bayswater / Lancaster Gate London W2 , near Marble Arch , Oxford Street far Notting Hill , Kensington High Street Knightsbridge . hotel compact centrally locate . stay one night friend . room quality furnish roomy nice breakfast well do nice eat . sleep comfortable plenty towel though parking difficult . would recommend hotel anyone stay overnight west end see play theatre explore shop West end Whitleys Queensway near . 
