Beijing 	 march 2009 stay Beijing sleep Forbidden day Beijing . the place center city , nearby Tienanmen Forbidden City . this hotel good - clean staff quintly . when go back Beijing absolute stay hotel . 
 Sep 3 2009 	 fixture shabby carpet stain dark gloomy 	 book last two room ( travel another couple ) offer ' special & quot ; price . not realise room half floor room , mean mostly grind . end natural light try get short window . make room dark day almost need tourch ! feel pretty dingy 3 night ok . carpet also pretty dirty , power point fitting crack fit properly . would try place location ( great location ) definately half floor room even another short stay . room might well . bed also hard bad asian country . 
 Sep 2 2009 	 Location location ...... know rest . 	 3 word : location , location , location . the hotel 5 - min walk Tiananmen Square , Forbidden City major shopping / restaurant district . , opinion , beat . the room comfortable , quite standard : LCD tv , air con etc . 's internet access , husband could get free WiFi lobby . hotel restaurant / bar , free parking offer load info tour , show sight . husband pay little extra go private tour guide Great Wall Ming tomb . fantastic day guide fab . also book ticket Kung Fu show would definitely recommend . amazing ! ! staff amazingly friendly , helpful need would get we taxi etc . next hotel also charming little park connect two road . lovely stroll time , need . do not expect overwhelming hotel experience day Inn , know will comfortable , well inform one good location possible . not 's ? 
 Aug 8 2009 	 good quick stay Beijing 	 stay 3 night July . pay $ 45 per night Agoda amazingly good deal ! room clean , location perfect . 10 minute walk FOrbidden City Tiennamen Square . problem bed rock hard , not get great night 's rest , aside everything great . also able keep bag hotel desk day check . thank day Inn . 
 Jul 15 2009 	 great value great location ! 	 hotel recommend guidebook great value , right . rate around 70 US dollar , locate minute subway station several attraction , Forbidden City Tiananmen Square , famous street food location . one caveat cab driver hard time finding , variety place tell cab go nearby . room hard bed like will find hotel China . breakfast buffet , include room price varied substantial . room small , sufficient . staff front desk moderately sufficient help question . charge 20 RBM / hr internet so - so . get free wireless lobby . 
 Jul 15 2009 	 great value hotel good location 	 Nice hotel good value money . good central location near subway good link sight . quiet room good facility . 
 Jul 13 2009 	 ' ve get thief work 	 I´m live Shanghai last week stay hotel . cleanliness place was't really accurate . however , happen talk dirt , last day , 500 $ mobile phone dissapear drawer . it spanish phone i´m really use China . be not take . time report police flight , trust hotel security staff . week , answer ' ve get , watch video recording , 6 people enter room . house keep staff , one see phone . draw conclusion . 
 Jul 12 2009 	 worth get good deal 	 arrive last night record reservation , even though print confirmation dayinn.com site book . room give we tiny , old , stale . morning ask different room , new room give we exact little big . room would bad except pay y500 / night . since western hotel consider price , expect something much nice ( plus tripadvisor review ) . could stay chinese hotel would exactly quality half price day Inn . could get room much less , would worth . staff helpful patent we . overall , different Days Inns US . tv nice . walk main road get taxi . 
 Jul 11 2009 	 bad price 	 parent stay Nov 11 - 15 , 2008 could take sight Beijing . perhaps experience little biased base upon unpleasant arrival . fly Guangzhou ( comfortable temp ) freeze Beijing father leave behind suitcase winter clothing ! mention 2 we already sick seem flu . flagged taxi airport , great difficulty understand hotel despite map name write chinese . make call hotel show frustration , finally make 40 minute . overall , location pretty good extreme close proximity tiannaman square forbidden city ... would not know 's locate look like dark alley , extremely quiet . wangfuje also street away , remember check great cheap eat .. McDonalds also locate : ) not try take picture inside will yell ! first room place light work seem pretty dark inside room , ask manager switch room kindly oblige . second room not much well , least one small lamp work . like bright room , not expect place . think 1 2 lamp keep we fall top one another morning late night . room extremely cold ask turn heat , apparently law effect Beijing could turn heat Nov 15 ( day schedule leave ) . regardless , keep try manage get little heat come wall unit , extremely weak would leave day touring would not come back -20 f degree room . restaurant locate inside hotel , always venture eat tourguide . warn , local take advantage know foreigner , guess expect . family Chinese , speak cantonese dialect use . outside hotel , woman sell corn cob try price yuan dad hear accent . overall , day , would say pretty good bargain since primarily see couple main sight , 4 day ... would ' ve probably reconsider . hotel merely serve place shower sleep real amenity could see . 
 Jun 16 2009 	 Good Hotel Reasonable Price 	 spend three night hotel recent visit Beijing . get good price booking ctrip.com . Taxi charge 100 Yuan Airport include toll fee . driver little difficulty find hotel locate side street . walk distance Tiananmen Square , Forbidden City , Wangfujing Street Subway station . front desk staff helpful friendly . really impressed quality room . ( hard mattress area room need renovation ) . however use room sleep night busy schedule day time . breakfast buffet western chinese food really enjoy . consider price pay location , really happy stay hotel . 
 Jun 9 2009 	 Great Location 	 partner stay check website . 5 minute walk Tiananmen Square Forbidden City . 10 minute walk direction be Wangfuling Shopping Street . one warning : not use Taxi 's hotel , wave one front street , much cheap . also beware local front wait take bike ..... take long way want go demand lot money . threaten police . tell we price 3RMB get square demand 300rmb . staff bar friendly happy fantastic , buy one get one free ...... nothing much trouble . walk Shopping Mall pleasant Walking Street Market although stuff stall 
 Jun 2 2009 	 can not go wrong ! 	 use day Inn Forbidden City 's free internet type ! recommend hotel anyone visit Beijing . 5 minute walk Tiananmen Square Forbidden City . 10 minute walk direction be Wangfuling Shopping Street . ideally locate sightsee'er ! room clean modern . affordable . stay next time ' m Beijing ! recommend hotel one ! 
 May 24 2009 	 almost perfect 	 4 night last April . really like location , breakfast , size room , cleanliness , amenity . also flat screen tv , minifridge safe box room , two complimentary bottle water everyday room . far everything perfect . the complain related day buffet lunch Hotel ( good unexpensive : 48 yuan ) ; charge 28 yuan bottle Coke ( cost 2 3 yuan street ) ! decide lunch Hotel , check price beverage first , will bad surprise ( like ) .anyhow , recommend Hotel . 
 May 16 2009 	 Decent hotel right near several tourist high spot 	 spend 3 night hotel 4 - 29 - & gt ; 5 - 2 . ' ve re - read thru couple review generally agree ' ve read . room small hard bed , reasonably nice . fridge safe , altho never spot hair dryer . really right around corner tianamman ( sp ) square , forbidden city wanfuje ( sp ) walk street etc , nice spot independant traveler . find staff part reasonably friendly , include front desk , restaurant business center . probably would prefer sell tour ticket , never rude dismissive . book directly thru day Inn website think good rate around 500rmb per nite . include quite decent breakfast buffet ( western asian food , change bit day day . ) appreciate last include breakfast China hotel . also dinner room service hotel time fine . would steer away little convenience shop hotel , buy drink one multiple convenience store stand ( main ) street outside day Inn ( one restaurant face . ) also , problem check desk may partially due book thru day Inn website ( generally prefer booking directly hotel rather 3rd party . ) much lusher appear hotel around corner , would weigh price amenity day Inn hotel make decision . short , be pretty good , reason avoid , sure whether need make mad rush either . ( carpet oddly messy hallway . also two incident people - housekeeping , man try enter room . keep bolt room . ) 
 May 16 2009 	 great experience day Inn 	 wife spend three wonderful day day Inn . staff efficient courteous speak good English . hot breakfast good . location convenient , close historical place interest . tour efficiently arrange hotel staff . room clean adequately furnish , perhaps air conditioner could well place get draft throughout night . shall definitely stay Hotel next visit Beijing recommend highly . 
 May 15 2009 	 Location top Service 	 stay day Inn Forbidden City week . hotel difficult find not address chinese , even , Taxi - driver trouble find week . arrive , hotel look invite , reflect room . we book special rate , arrive tell old would get new rate . several discussion , finally tell would check book service end , receive initial rate . staff speak poor English , might enough , come problem , quite difficult . room might hygienically clean , carpet stain bathroom look invite . houskeepe good job though feel uncomfortable . try food . I believe couple buck , could gotten something well . 
 May 13 2009 	 Excellent Staff great location .... 	 hotel staff amazing , helpful always willing assist … stay 10 day choose budget room , nice n comfy small . room underground floor small window top , view . Room include : lcd tv 60 channel ( couple english channel ) , kettle tea bag , sugar milk . Hair dryer provide . safe room , small closet enough hang clothe . torch side drawer , free paper slipper , 2 free bottle water per day . bathroom ok condition inc complimentary toothbrush n paste , comb , shower gel shower , soap , shower cap . two shower head , removal rainforest type . mini - bar fridge , iron request one come iron board ( free charge ) . AC room ok work fine . bed really hard , ask another quilt sleep help lot . location really good , litteraly minute away Tinamen Wangfujing street . be careful bike taxi hang around , guy charge 300rmb per person per tour … avoid ! ! also head towards park near Tianmen square , careful chinese Art student ask come college view work , kindly refuse approach 2 girl story , guess kind scam … 
 May 5 2009 	 fantastic value great breakfast helpful staff 	 front desk helpful . arrange car Great Wall , provide recommendation restaurant , little thing make stay extra special . like good breakfast long day walk explore . buffet offer fresh fruit , mixture western local breakfast dish , helpful wait staff . omelet station excellent . location hotel great . close subway stop , Tian'an Men Square , Forbidden City , lot shopping restaurant . 
 May 4 2009 	 good location think price can not forget either ! 	 stay early March 2009 three night business conference city proper .. first , other mention , hotel small , & quot ; Days Inn & quot ; name may recognizable westerner -- cab driver likely know hotel .. however , fear .. print good map sufficient detail taxi driver use .. hotel staff pleasant try well accomodate need -- one note caution -- do business almost every corner Asia , note China still emerge getting use international standard & quot ; guest service & quot ; .. , mean ? ? be look flexibility -- say late check , early check - in ( without charge ) forget . -- not * want * help , system structure not yet support thing .. everyone friendly enough translate direction note could get around .. other mention single best thing place LOCATION .. honestly say excellent every measure .. be : 05 walk either wangfuje Tian'anmen East station .. make connection almost anywhere city .. taxis plentiful be right major roadway .. take : 10 stroll front Tian'amen Square take picture front famous picture Chmn . Mao ... tourist walk / shopping street Wangfujing : 05 away lot shop chinese / western restaurant find .. hotel : be fairly new .. property make two building . main building -- also house restaurant rest hotel service .. second building -- step away main building -- guest room .. one note hotel 's cheap & quot ; budget & quot ; room .. second small building so - call first floor .. however , one odd feature first floor room actually ground , thus window near ceiling small look ground .. kind like living house basement -- kind thing bother , check room .. not eat hotel restaurant many good place eat reasonable price around hotel , be want eat .. room : impressive price .. modern feature , excellent bathroom , great water pressure . Split A / C , firm bed goose comforter .. clean well maintain -- - standard good hotel .. Verdict : would stay again- question ask .. 
 May 1 2009 	 Great Budget Hotel Great Location 	 stay day Inn Forbidden City Beijing 4 day visit Beijing . hotel great . cab ride airport take 25 minute cost 75rmb . driver idea hotel locate . luckily , map hotel phone number , call hotel speak driver take we without problem . the hotel 's location good feature . 's 10 minute walk Forbidden City , Tienanmen Square , wangfuje street . also many place eat around hotel , also plus we since eat lot traditional food . check breeze . take 5 minute . staff front desk nice speak decent English . the room small , nothing really complain . two medium sized luggage manage fine . be vacation explore new thing , not let small room ruin . room wire internet , good connection . speed sort slow skype connection keep disconnect , free , really can not complaintheir breakfast buffet delicious highly recommend . serve western eastern food . think definitely worth $ 10 . overall , would recommend hotel friend family would stay budget . 
 Apr 5 2009 	 Location Location Location 	 husband spend seven night day Inn Forbidden City recently . wonderful holiday Beijing , help small part choice hotel : many people write , hotel less 10 minute walk Tiannanmen Sq . wangfuje Street , ideal vast city - visitor burn lot shoe leather ! check relatively smoothly . main hiccough book directly DaysInn.com , website say two breakfast per room include rate , upon arrival no - one hotel seem know . ideal debate long flight 8 hour time difference , facilitated show receptionist print - out . breakfast 68RMB per person otherwise . we brilliant week Beijing , eat wonderful meal ( one particular stand - out : restaurant call Source , locate Banchang Hutong , Dianmen Dong Dajie , would really recommend ) , enjoy great company , awe dynamism place . city contrast full culture . enjoy visit ! 
 Mar 3 2009 	 Great Location Helpful Staff 	 take sleeper train Beijing Friday night leave Sunday night , need room one night . despite arrive 8 am , able check we quickly . also help we arrange transportation Great Wall Mutianyu recommend good restaurant dinner come back . although unassume outside beat path , day Inn Forbidden City close many restaurant shop . be also mile half Tienanmen Square . the room small , closets hair dryer , one night , could not ask anything well . 
 Feb 23 2009 	 great location fantastic price 	 stay day 7 night February 2009 . must say , ' m impressed . well locate , half way Forbidden City Wangfujing Street ( 10mins walk either ) . per review read , taxi driver difficulty find place , even though name , address & amp ; location map Chinese . would give place 4 star rating . room clean , modern bathroom ; free broadband room major plus . reception staff always willing help , always least one staff member available good English skill . the buffet breakfast good yet slightly pricey , convenient . the next time stay Beijing , day inn definitely top list place stay . 
 Feb 17 2009 	 nice place stay away home . 	 nice time hotel staff nice . food good varie every morning except bacon . 
 Feb 14 2009 	 Love ! enjoy stay . 	 review Trip Advisor really helpful . book DayInn Hotel reading review site . would say , ' m satisfied . Hotel rate 3 star , would give 4 star . room cozy , clean , modern . bathroom spacious , like shower , new type rain thing ... reception big elegant five star hotel , give efficient service . buffet breakfast good , also recommend lunch buffet . be nice , pricey . place locate center busy district . convenient place tourist attraction like Forbidden City , Tiananmen Square , wangfuje shopping district ... walk distance , not worry , 15 min . walk . always take cab around . , cheap will not burn hole pocket . lastly , famous Peking restaurant & quot ; QuanJuDe & quot ; locate Wangfujing . ask reception help call restaurant advance reservation , sure seat reserve go ... else place always pack traveler will wait long line . overall , nice experience stay Forbidden City Days Inn Hotel . 
 Feb 10 2009 	 day Inn Beijing better day Inn US 	 family stay day Inn Forbidden City Dec. 2008.overall , would recommend hotel . I ' m use idea day inn US motel grade quality . well , particular day inn much well typical US day inn . be probably like Holiday Inn US.We total 5 room ( 2 twin ) vary size . space other . unfortunately , charge price . the location pretty good since 's close subway wangfuje area . for strange reason , female receptionist much helpful male one . opinion entire family ( 10 we ) . female receptionist seem willing provide assistance . if be look stay near Wangfujing area , would recommend hotel . need good basic hotel Beijing area , would recommend Ibis Sanyuanqiao . 
 Jan 10 2009 	 Great Location price 	 stay hotel March 2008 . cab driver difficult time find hotel entrance little awkward . address write Mandarin cab driver still difficult time find hotel . believe drag bag alley bit get front entrance . hotel great location . close Tianmmen Square Forbidden City . also within walking distance Wafujing . able take short walk watch flag raise Tiananmen square . the hotel staff helpful part . necessarily fluent English , could speak enough able get check . hotel room nicer expect . washroom nice . room small , not expect spacious room price . 
 Jan 6 2009 	 sonny courteous 	 family four , couple 2 toddler , day inn forbid ideal comfortable . walk distance wangfuje forbid , homey atmosphere friendly people hotel welcome respite every time one arrive day - long tour . bedroom warm cozy . bathroom exceptional spick span . 's broadband wi - fi . restaurant offer tsingtao yangjin beer , good nightcap . food superb bit expensive worth . hat SONNY -- take extra effort serve guide butler -- friendly courteous waiter restaurant . owe 14 rmb taxi ride . be asset hotel . keep ! 
 Jan 5 2009 	 fantastic location clean cosy 	 return solo travel 7 day day Inn Forbidden City Beijing . quiet yet far main road . location fantastic , minute walk WangFujing , Tian'anmen SQ , etc , subway station , bus stop bus go many place interest . nearest subway Tian'anmen Dong , take exit b . Turn leave , walk along Chiangan dajie , cross one main road , turn leave junction Nanheyen dajie , walk 1 minute , will see Inn leave . area safe . room clean & amp ; cosy . staff friendly helpful . overall , would say be beyond expectation . 
 Jan 4 2009 	 Great Location - Great Potential 	 day inn Forbidden City Beijing really good hotel , good people , excellent location really everything go it . so wonder can not rate highly . fact term value money hotel potential good Beijing class . many good point include great housekeeping , good location free internet . be not even really anything wrong either explain thing do not do . the thing bug basic easily fix issue . example1 . prepay week stay ( trip adviser site ) confirmation money receive booking confirm . turn allow check pay 500 rmb bond . fly 16 hour travel train cab hotel 6.00am morning do not cash . pay credit card . instead rave review arrive hotel 6.00am get room immediately , instead negative experience . leave able get credit reverse easily , however could handle much well advise early . uncommon ask copy credit card would happily agree , require cash good practice.2 . ( base review ) specifically book deluxe room view adjoining Hutong . however one tell reception room available check . tell would move later day available . week still room start . perfectly comfortable room , small . bathroom almost big bedroom . basically say something going happen someone ensure happen . also book system able record request front desk staff know requested.3 . European New Years Eve ask front desk locally could go celebrate . tell do not know foreign tourist be not major market . ironically ring another hotel use previously Beijing give we list activity also arrange New Year trip we free charge ! surely must central visitor information record thing could post lobby . even well task member staff good english keep date offer alternative guest look thing . sell people tour commission could even make hotel money . do not get start promote overseas market ! 4 . room service problem pay price plus additional service charge . however adjoining cafe / restaurant also 10 % service fee anything order , even soft drink . thought could build price item , however price already pretty steep compare adjoining restaurant . glass local beer effectively cost 30rmb service fee , yet bottle ( maybe three glass ) 25 - 35rmb many local restaurant little 5 rmb shop next door . do not even breakfast 68rmb pay meal two nearby . main course evening ( 150 - 190rmb ) would cost we pay two course meal drink another restaurant ( 130rmb ) .5 . try take taxi forecourt often quote high price set . example trip drum tower two taxi drivers forecourt want 50rmb fee . walk flag one outside pay 18rmb meter . seem small scam driver park foyer charge foreigner excessively . so would recommend day Inn Forbidden City other ? yes , guess good place good team . people ideal . I would stay need .. 
 Dec 24 2008 	 great location 	 hi ! stay hotel couple day , location definately good , spend two day visit place within walk distance hotel . hotel new well maintaine , neat clean . the thing negative hotel size room , quite small , hardly place walk 2 - 3 luggage , bathroom nice big proportion room . 
 Dec 22 2008 	 Perfect location lovely cosey room 	 stay hotel year ago , still brand new LOVED , one favourite hotel stay ever . compare budget hotel one ... fact , one two day budget sightseeing get comfortable fluffy duvet , watch news flat screen tv , lose track time not leave hotel lunchtime , not even regret . instantly feel like bedroom home , decorate style like hotel , crisp white linen , clean neutral carpet , flat screen tv mount wall , glass shower door , big mirror ... functional minimalist kitch mouldy top . add small room , big enough one person , perhaps bit cramp couple . this personal extension work trip , move much posher Raffles hotel road day later ( work 's expense ) stay miss day inn much cosier ! occasional language problem grow pain early day hotel , ask plug adaptor ( UK plug ) first evening not one not understand ... not move forget : later evening , several hour later , knock door , source one ! quite touch eagerness , actually . also , book room internet call directly Dubai confirm booking , not understand . need not worry , arrive show printout booking , well . room service friendly swift ; internet access room free , breakfast bit uninspire price , not mind , plenty eatery area . the location perhaps good , right top forbid city well food street , upmarket mall etc - reason fancy hotel like Raffles Grand Hyatt locate district day Inn get experience area budget . highly recommend ! 
 Dec 16 2008 	 Loved Days Inn Forbidden City 	 return Beijng Days Inn Forbidden City place stay ... walk distance Tiananmen Square , Forbidden City wangfuje Street 's great spot visit Beijing ... staff nice , english friendly will feel like home . 
 Dec 10 2008 	 good location small room 	 location good . 5 - 10 Minutes walk either tiananmen wangfujing . close subway TianAnMen Dong , 5 minute away . the location quite quiet . however , construction site right next Window start work 07:00am . move room side building ok.the budge room basically ground level small window near ceiling . mean room quite dark . room also extremely small . still ok value . plus side , room safe could fit 13 & quot ; notebook . the hotel ok shape . staff friendly . breakfast good , RMB68 exactly cheap . I sure would stay . next time may stay day Inn Joiest . 
 Dec 8 2008 	 can not beat location 	 hotel perfect location see Beijing . easily walk Forbidden City Tiananmen Square . hotel adequate day inn new property ( open 2007 ) already fall apart . shower leaky mildew carpet room stain . ' ve stay many bad place seem like cut corner maintenance upkeep . staff helpful decent English . hotel breakfast $ 10 person family four walk street morning nearby dumple restaurant eat well $ 10 total . can not well location likely well price . travel family would likely stay . spouse would likely look elsewhere . 
 Dec 6 2008 	 nice comfortable ! 	 stay day Inn 7 night October / November 2008.i pleasant stay hotel . we standard double room 3rd floor , nice view hutong window . our room nice , modern , normal size . one queen bed , big , comfortable . the flat tv - screen offer 2 english channel , 60 channel chinese . everything room clean , except floor , many hair floor bed . hotel offer slipper , use hair floor problem . Breakfast include , pay every morning , little expensive , big selection worth , pay around 70 Yuan per person . staff nice speak english , great want ask something . book tour Great Wall reception , not remember price , quite cheap . tour fun , have 1 ½ hour wall , little . would recommend hire cab private tour wall instead . the reason trip China , actually mother 's 50th birthday ... birthday , staff leave really nice birthday cake room , get real surprise get back room evening discover cake ! : - ) definitely recommend stay att day Inn hotel , nice 5 minute Wang Fu Jing Street 10 minute Forbidden City . always cab outside hotel street ... complaint hotel deposit hotel want first day check , not know normal China , think little strange . staff say deposit one day 115 yuan , ask 1.000 yuan deposit stay , be 115 per day , really not understand . give 1.000 yuan deposit , fun , could spend money vacation ... back check , go home , could not spend ... really stupid , least think ... thing not like hotel , be go stay hotel bring extra yuan deposit .... ! not think be go regret book hotel , be great , disregard deposit ! 
 Nov 24 2008 	 Expectations meet 	 stay 4 night wife , find pleasant surprise perfect location right near Tiananmen Square / Forbidden City Wangfujing shopping district . the hotel quite modern clean , staff helpful overall exceed expectation 5 star hotel . room ground floor slightly small quite cosy , everything look new modern everything need ( less ) . problem room window face rear hotel fact Hutong area . , morning quite noisy could open curtain otherwise people could see in.overall enjoy stay could recommend well place . 
 Nov 24 2008 	 good location good hotel 	 stay day Inn Forbidden City November 2008.the location really good , 10 minute walk Forbidden City Tiananmen Square . the hotel good . * room hot heater . we ask staff adjust , nothing do . we turn heater room central heater enough keep room hot . open window breath . * construction right front room worker use work 3:00 make lot noise ! * shower bathroom mess - water entire bathroom flor , box leaking . * carpet dirty . * Breakfast not include expensive offer . 
 Nov 23 2008 	 great staff 	 near tiananmen square forbidden city . room could little bit big bathroom door bad . the staff friendly helpful . 
 Nov 20 2008 	 good location great hotel 	 look day Inn try go upscale pretty hotel . problem look already 15 year old . much love China ( spend last 2 holiday ) seem ability make new thing look old use ( see new terminal 3 ) . sure related material use , poor clean mass people use facility ... back hotel : pro : - prefect location : 5 min Tienanmen 5 main shopping areas- 3 min subway stop- nice building- friendly staffContra : - mould tile corners- poor cleaning ( possibly material fault ) underneeth sink- dirty plasic - mat shower- heating , need heat aircon ( blow face top bed ) - construction site front hotel ( first room change wake 7 ) - carpet stain quite places- door close properly toilet ( 4 cm gap ) , roommate share bowel movementsAs say change 2 room , clean remark valid . feel well material ( easy clean / mantain ) hotel could got 5/5 , close eye cleanliness . I feel 
 Nov 4 2008 	 Super location 	 really good hotel ! recommend ! Pro 's : super location near forbidden city tianmensquare , ATM available lobby , friendly staff lobby , bike rent , shower good , clean room . Con 's : expensive breakfast ( go close mall breakfast ) hard bed ( ask staff extra blanket lot soft ) stay day inn two time : first time budget room second time deluxe room . room identical layout , difference daylight budget one ground little window . 
 Nov 3 2008 	 Great Location 	 Excellent locaton . helpful staff . good price . the buffet breakfast good , lot fruit . coffee strong . try get early ( 7 8 good time . ) else , might get table . room stay first week second floor . late afternoon , get stuffy hot . ask maintenace people fiix air conditiont , tell we AC shut room central control . could help we . the next week , take trian Xian ( please beware not ever go 2nd class . nightmare ; 6 bunk bed stucke small room , people room we loud rude . shine shoe 1 foot away face . one man take clothe except underware walk back forth . washroom facility train scary . ( dirty smelly water . stay Xian 5 day ( polluted city . ) follow week come back Beijing stay day Inn rest vacation . time , room well , price .Bty , visit Beijing , please make sure tissue toilet paper time . washrooms restaurant provide toiliet paper . 
 Oct 29 2008 	 Excellent Hotel 	 great hotel , good service , clean room - small comfortable .The hotel good area , minute walk Tiannamen Forbidden City staff kind always posible find least one speack good English . service desk good smile .De breackfast tasteful , 's necessary start day good feeling . I reccomend every one , great experience convenient price . 
