love 	 hello , stay Soho Grand one time fantastic experience . room noisy first day ask change room give one 15th floor great view . staff nice helpful left good tip ; ) go back January book there . relation quality - price : excellent . 
 Dec 30 2008 	 Love first sight .... 	 walk Soho Grand first visit back 2006 sneek peek lobby tell self next visit New York definately go stay . arrive early one sunday morning October get room immidiately , big room ever stay view definately well ever have . a swift curtious checkin , great consierge desk porter doorman always attentive . loved design , review say it´ starting get run say it´s design become beautiful age , belive add great character Hotel , even though it´s 10 year old comfortable , stable feel , like sit grandparent , might late design it´s & quot ; homey & quot ; .My concern actually lounge look nice seating horrible , also think reccommend bottle wine party 8 make sure one bottle also reccomend next bottle , house wine , twice expensive first bottle . strange customer friendly . swede love breakfast Grand Continental breakfast joke , 4 cokkie croissant jam .... please .... maybe that s . Loved definately stay , great hotel . almost forgot mention housekeep great well , good cleaning room . 
 Nov 17 2008 	 hotel interior look little tired 	 second time stay Grand , Dec. ' 05 first love comfort room . time find hallway look litle worn . excellent staff , friendly . Expedia rate hotel 4 star , would say 31/2 . travel NYC every month business , take advantage Hotels city compare one . overall , & quot ; Grand & quot ; grand , hope read seriously take look hall . 
 Nov 13 2008 	 classic gotham 	 Hotel price Manhattan seem go quite steadily , happy find decent deal Soho Grand . be intend spend time around Soho , location good , par like 60 Thompson . atmosphere hotel dark moody , nice way - dimly light interior classic & quot ; Gotham City & quot ; type feel . room small expect , quite convenient . nothing notable , except able fit hand half way gap room door . mean hear everything hallway clearly , thankfully room end though . one thing unplease wireless internet , unbearably slow time work . work several evening actually far well hook cellphone laptop , wifi completely jammed . service hand friendly door , could always find several bellhop open door hail cab , well front desk . overall would gladly recommend hotel anyone look nice accomodation near Soho , several fairly similar option price range , really depend kind price be able find . 
 Nov 3 2008 	 Awesome Design little worn 	 LOVE NEW YORK ! go lot .. love stay SoHo . fiance 's birthday year want go bak NYC special weekend , want sure create new memory & amp ; tamper old , spectacular one previous year . ... book SoHo Grand thinking would great location .. good reputation fair price . Well- walk & amp ; immediately wow'e vintage touch & amp ; unique design . impressed . give Champagne check & amp ; front staff amazing accomidate us finish prepare roo ( 10 am . ) get room , find typical NYC tiny hotel room . impressive- expect . trudgd ... soon , smell cigarette smoke start come room , know not allow NYC ( * floor call Non Smoking ) . call front desk & amp ; tell could not handle question , someone would call back . hour & amp ; half later , call back . leave dinner call . thing -- one could help .... would get back & amp ; make kid promise someone would call back . get back dinner , room SUPER hot & amp ; smell smoke enough keep we fall asleep . still call back manager . next morning get & amp ; call .. time say would change room us & quot ; problem & quot ; -- 3 guest call get someone listen ? would say 's problem . manager not apologize lazy response offer discount relief awful first night spend @ hotel . next room big & amp ; temperature comfortable . mini bar hot -- come & amp ; change whole thing different one take 45 minute ... still request ammenitie prt & quot ; Grand Guest & quot ; program show ( Ipod player , newspaper , pet fish fo weekend ... hey- offer ! ) check Sunday -- mention room change disruption & quot ; stay ? & quot ; take credit card & amp ; say goodbye . ask speak manager lack response uncomfortable stay -- offer little assurance thir communication team address would not happen -- nothing we , poor sap endure 2 night city @ hotel . get home -- irritated & amp ; . room cheap mean ... frankly much well service & amp ; stay low cost hotel Manhattan . -- try one time write letter manager . pen email almost identical descripion say service industry & amp ; hear client receive treatment like -- would want know make right customer . manager called & amp ; leave message return call . -- get voice mail . message , state clearly would availble reach -- course -- call BACK & gt ; ' m sorry SoHo Grand drop ball bigtime . would reccommend friend -- much capable hotel money youwill spend SoHo Grand . 
 Nov 2 2008 	 confused checkin Great Hotel 	 arrive , check make way room ( drag bag bellboy seem thin ground ) . arrive room discover group guest still inside . a phone call downstair lead confusion . irritatingly ask come downstairs rather immediately come find we remedy situation . we assign send find new ( upgrade ) room , however non - smoking room stank stale smoke . complain show two room . final room neither smell smoke contain guest take it . follow protract checkin wonderful stay enjoy everything else hotel . zoe check - in manager helpful genuinely sorry mixup . 
 Nov 1 2008 	 shower bottled water .. 	 be right . wash bottled water stay Soho Grand ... grant , may ridiculous standard come hotel room ( include function plumbing prompt responsive staff ) . however , Soho Grand certainly fail providing . stay October 30 , 2008 , wake get ready important client meeting discover water come sink faucet murky brown color . next , try shower , find water also brownish color . I promptly call front desk , say someone would immediately address problem . nearly 10 minute response , call back , staff reassure someone would address situation . , several minute , call front desk ask transfer another room could shower . , staff tell neighborhood problem nothing could done correct problem . staff connect room service , explain situation , send four glass bottle ice cold Saratoga water . I truly grateful opportunity shower bottled water ; however , hotel staff clearly lack understand good address problem . first , neighborhood problem ( thus hotel 's control ) , please tell rather tell waste time wait maintenance . second , go provide water wash , may well send something not come directly Arctics room . overall , disappointing ( retrospectively hilarious ) experience . 
 Oct 18 2008 	 Awesome quintissential New York great location 	 husband stay day one work trip . first trip New York adult hotel simply wonderful . great architecture , great decor , love main bar , styilshness place . room right , good size New York apparently . lovely high bed , good facility room . hotel great location explore Manhattan , north south . love shopping Soho , bit something everyone interesting art gallery , fashion , food etc . 
 Oct 13 2008 	 Fabulous Hotel ! ! 	 book hotel Lastminute.com honeymoon . read review email request high level room . allocate superb corner room 7th floor . we could fault hotel . staff unbelievably friendly - especially doormen nothing beyond . always friendly hello goodbye . able get taxi 's drop hat ' in know' . the gentleman duty bar / lounge area stay brilliant . know place go give great advice local amenity . ' m sorry do not take name write let hotel know ( work Tuesday & amp ; Wednesday ) . welcome receive lovely honeymoon receive bottle bubbly gorgeous strawberry dip lovely jar melt chocolate . thoughtful touch . the room be not huge ( none New York ) immaculate facility need ( add bonus ! ! ) bathroom cool clean toiletry nice indeed ! bathrobe provide , flat screen tv , dvd player , hairdryer include ( would expect ) also provide umbrella use - cool ( thankfully need weather amazing ) huge bowl shiny red apple lobby ensure get least vitamin ! ! , lucky enough go back New York , would DEFINITELY stay hesitation recommend other . 
 Oct 12 2008 	 awful amenity terrible price gouging . 	 begin ? short - change twice checkout . told deduct $ IOO deposit credit card fact deduct $ 150 . complain suddenly & quot ; find & quot ; extra money . pay amentie cash , short - change yet $ 8 $ 36 dollar bill . yet return credit card deposit . room - service bill total ripoff . charge $ 5 delivery charge mandatory tip . space bill & quot ; additional & quot ; tip . not add additional tip , room service man give filthy look . 40 watt bulb reading lamp next bed , enough read . call ask strong bulb , say not anywhere hotel . tv horrible . terrible picture , stick wide - screen distort everything make people look fat . book three night , leave one night sleep friend 's sofa instead . 
 Aug 26 2008 	 Great Location . ok Hotel . 	 recently 4 night stay Soho Grand . third trip New York time want stay Soho area . previous visit stay Lexington Ave . area Soho much well place stay many shop , bar , restaurant club within stumble block hotel . know New York hotel expensive push boat little order get luxurious , top class hotel Soho area . Soho Grand put category . first impression good . check - in fast glass champagne check nice touch . arrive room question give correct room type . pay upgrade . room small , expect . bathroom okay , luxurious thing Malin + Goetz product . curtain Blackout blind wear tear . bed comfortable room clean . view building site . ask change room , hotel full thing could offer would take downgrade , well view , available follow day . decide stay . bar really good vibe price expensive standard . use concierge obtain area map comment Front door guy always welcome friendly . overall , enjoy weekend New York love stay Soho area . probably would stay Soho Grand . think , money , much well quality . 
 Aug 25 2008 	 bad service - go 	 Soho grand historically receive horrible review , multiple stay hotel , experience never bad . however , last stay , find service terrible , actually OFFENSIVE . reservation mess error make staff , solution we pay mistake reserve another room full price . , guest service person unbelievably rude , hung call 66 Thompson Mercer Hotel see could switch hotel late evening ( unfortunately , book ) . absolutely , circumstance would ever , ever recommend go hotel . believe rumor - terrible ! 
 Aug 18 2008 	 stylish base explore New York poor value 	 New York last stop round - the - world trip , think would splash & quot ; boutique & quot ; hotel recommend Ypma 's generally good Hip Hotels decide go SoHo Grand . overall experience pretty good : staff friendly , efficient helpful , surrounding nicely decorate sticky New York street June . however , room honest fairly small reasonable quality furnishing , , stay place like Hotel du Vin UK , nothing write home about . what make rate hotel & quot ; Neutral / Average & quot ; cost . boy oh boy oh boy place expensive . money charge everything , room , food , bar , even minibar ( especially minibar ) , seriously pay nose . really poor value say point view someone live work London , know one world 's cheap city . the location great lot attraction within easy walk distance ( mention excellent Dos Caminos mexican restaurant ) hotel comfortable , pleasant - yes - pretty hip . not expect get many bang buck . 
 Aug 17 2008 	 disappointing star ... 	 look forward go ny stay Soho Grand . hotel disappointing hope . 's luxury hotel , 's first class hotel ... 's trendy hotel . room small cold . try close AC without success . star room , like overfill minibar several choice , bathroom amenity , dvd - player , large flat screen rustic furniture . stay several night - take liberty order complimentary goldfish , funny nice touch . however - make sure take care fish . call get efreshe water 3rd day . thing miss nice restaurant , breakfast buffet , welcome public area , serivce -sometimes feel staff ( concierge , bell boy front office ) insignificant . upon departure one help we luggage , stand entrance hall glare . breakfast alternative room service ok nothing special , little bit boring . would love personal touch something give & quot ; wow & quot ; . location great , next SoHo shopping , Little Italy , China Town , WTC everything . next time think try stay Starwood W hotel concept . 
 Aug 4 2008 	 Good Hotwire deal ! 	 book 4 * downtown via Hotwire $ 239 . could tell would get SoHo Grand -- lot website help match hotel neightborhood + amenity Hotwire give . , check review TripAdvisor , decide take chance . 's bottom line : 's good deal NYC hotel book $ 240 night , pay rack rate ( $ 500 + ) , would expect lot . room small , big enough hold bed , dresser , wardrobe ( closet , travesty ) -- barely . bathroom decent size , palace . queen bed awesome Frette linen , drape blackout blind really sad shape ( holey place ) . tv HD tv without cable HD converter air signal -- be possibly bad image quality ' ve ever see tv kind . not go ny watch tv ( unless be guy ) ... really good location . be right next 1 , 2 stop Canal St , 5 minute walk Canal St station ( 6 , N , J , Q ) , go uptown either East side west side really easily . be also right tribeca SoHo , get uber chic , uber uber chic . excellent noise insulation . 4th floor , face Canal St Tribeca , actually face club , could not hear anything , amazing . hotel shape like , be base , might noise Holland Tunnel , spit block away . parti , faux - club lobby , complete bouncer . make get room bit hairy night big guy black elevator not really believe be stay ( look like grad student , like ) . be 3rd floor , room might really noisy club 3rd floor share atrium -- 's wall hold noise . get staff . cleaning staff = get job do , beautifully . front desk = efficient , professional , unexpected charge . concierge = not think be NYC not know basic thing museum ( want find Cooper - Hewett Design Museum , part Smithsonian ) . security thug = good , really , need quite rude ? overall , great deal NYC short notice . 
 Aug 4 2008 	 hope 	 let us start positive get recommend stay elsewhere . receive exceptional service front desk , bell boy , front door greeter , etc . location fantastic lobby pretty cool . however , 's good part end . the NYC boutique / modern hotel market competitive . Soho Grande one first .... 's show . decor room passe date . closet - 's section room partition partial / temporary wall ( mini bar ) . room reek smoke not mark smoking room . overall , feel like stay generic chain hotel instead someplace unique . the Soho Grande quite expensive . much well NYC dollar . 
 Aug 3 2008 	 overprice overvalue 	 think hotel old posh , dark nice expensive valuable . area fantastic course shopping , eat watch people . don´t understand people get crazy hotel . It´s hotel . 
 Jul 30 2008 	 Loved SoHo Grand 	 nice property heart Soho . staff knowledgeable friendly . definitely return . 
 Jul 25 2008 	 Attidute small room 	 friend mine live New York recommend Soho Grand long weekend stay . in hindsight , probably enjoy night life think hotel would good never actually experience Hotel . walk impressed original architecture decor . space bit & quot ; Blade Runner & quot ; feel ; decadent - hip - retro - modern make sense . the check - in process efficient , service nonchalant . the shock come enter room - tiny , decor date use space completely inefficient . even spot room could sit comfortably . the in - room safe functional . the bathroom big enough , soap strong mint perfume become overbearing . water pressure shower good . the next morning newspaper door . go breakfast ask morning paper front desk reason make we feel like bother they . we breakfast gorgeous live area lobby ( one see web site ) . food good service non - existent . after breakfast , stop front desk mention safe ' working . say would send ' engineer ' right away fix , room & quot ; insurance reason & quot ; . wait room 45 minute 2 call later , one show gave decide go start day . we stay 2 plan 4 night move four Seasons hotel . we enjoy convenience Soho Grand 's great location enjoy night life . however general impression staff Soho Grand ' receive adequate training not know deal client solve simple problem without attitude . 
 Jul 17 2008 	 Fun weekend 	 great hotel - husband unexpectedly NYC 4th July weekend & quot ; & quot ; weekend city , great time . flight early even though arrive 3 hour standard check - in time , front desk let early - accommodate . room really comfortable . floor 's coffee / hot chocolate dispenser next door room convenient . bar efficient - love couch lounge . work finish first afternoon , go yard - great . server extremely helpful , food , also bring power laptop hour . basically place self afternoon - although fill quickly 4:00 , open public . I agree early review - guy front night well - totally helpful sort information extremely friendly . this great location - lot fun shop around v. convenient subway . 
 Jul 14 2008 	 Soho Grand Deja Vu 	 reading review & quot ; Soho Grand & quot ; thought guy write must stayed we . much expereince . hotel overall guest friendly , statre look date , room small attitude - even so - call & quot ; hip property & quot ; unaccepable , roof . opinion , hip great back across - the - board service quality accomodation . Soho Grand may year ago , be flat . disapointment hotel recent stay . when book room , specifically tell reservationist bring daughter hotel see July 4th firework . naturally first concern have high floor room view toward firework . problem , assure reservationist . problem . upon check hotel high floor room opposite corner hotel face away firework . note : scope surround building determine highly unlikely room would give view Macy 's firework . way , check explain front desk clerk tell we have able see since shoot around Macys ! not time energy point explain firework shoot East River . second desk clerk help we , least make effort . first one not know anything anything , make sure give free champagne three people walk desk wre attemptiong check - in . eventually ask third desk clerk , pay customer , might actually grant bounty kindness glass . instruct clueless clerk # 1 pour we . anyway , first clerk upon tell fireworks - view room not even seem realize Fourth July . say , rather disinterestedly , idea room view . inquire might look room , say could not allow since housekeeping still clean . okay . tell tallk concierge . , go attitude super attitude . hand phone concierge end . explain front desk connect ( though ' m sure ) tell room would view firework . concierge obviosuly mad front desk would lay , somewhat agree ( front desk know room ) , not call Super Attitude . cocky reponse & quot ; kid ? & quot ; not . cut loss right go another hotel , wife baby get tired . hour later check closet nice view wrong side hotel . service throughout stay cold , least aloof . 's aNew York thing , live year stay numerous hotel across city . place run bad physical look hotel show not care anymore . oftentime happen new hotel open ( tribeca Grand ) well staff make abeline new property . not know be be happen , throw away $ 500 arotten stay . end trudge downtown rain see fifteen minute firework . one major exception : guy even work hotel ? guy ( part bell staff ) front man deliver bag room top - notch , friendly professional . could take well hotel ! 
 Jul 10 2008 	 Impressed 	 feel Soho Grand pretty overprice , nearly good value hotel area . the room small , typical New York Hotel , not feel small space well utilize . stay Hilton Millennium trip feel room ' physical dimension small , Hilton actually feel large space put well use . the tv roughly 32 & quot ; flat panel LCD , unfortunately hd programming , many big name cable channel miss lineup . the bar overprice terrible service ( average wait time drink excess 10 minute ) .The outlet room inconveniently hide behind dresser , bed mini - bar . all , probably would stay . 
 Jun 24 2008 	 great location service bit ... 	 stay Soho Grand 4 night New Year 's Eve way back Bermuda UK . location exactly look - whenever stay NY work stay financial district time holiday perfect . close shop , bar , etc etc . hotel fairly large well know , room average size ny - well decorate nice bathroom etc . get great product buy Barneys later find . stay NYE decide book party , dinner first - can not remember exactly much think shellfish platter two 175 usd . service evening question absolute shamble , pretty much non existent , one get drink / food , could not find we table ( despite book October .. ) total mess staff generally unfriendly could not bother ... cheek add massive service charge . - later complain writing manager give voucher two dinner valid 6 month ok fair enough helpful UK resident ... would stay ? probably think other area could good rival 's nice hotel nice lounge area worth popping drink dinner . 
