try 	 TheWit try trendy , hip hotel , forget basic guest look -- comfort & amp ; service . room uncomfortable -- small , odd furniture , bathroom sink strangely shape tiny fail drain water . bathroom door slide open , annoying leave little privacy . service spotty . request item housekeeping call multiple time . interim , receive rubix cube jelly apple -- fun touch , would much rather receive towel need . can not imagine stay hotel business trip . internet free overall hotel room hard function , give size odd design bathroom . hotel gym rooftop bar top notch , reason stay hotel recommend . go elsewhere polished relaxing stay . 
 Oct 26 2009 	 Love love love Wit . 	 get back home two night Wit first anniversary expectation exceed service , room restaurant . the check process quick smooth , provide delicious , warm Double Tree cookie . we upgrade corner room ' m diamond member , room not large , plenty spacious , nicely decorate full top notch amenity include huge plasma tv , amazingly comfy bed , tub large enough 2 . enter room plate interesting chocolate include coupon spa look like art ( course eat though ) .While use fitness center check nice - large many new cardio machine great view overlook state street . each day turn service come leave we little knick knack really get kick - one day rubix cube key chain second brand magnetic clip . comment would fun stay long see little gift leave . as other state , location fabulous . the staff always friendly , greet we every time come go hotel . we eat breakfast restaurant downstairs twice ( coupon ) delicious ( would go back short rib omelet - yes good ) . one night go Roof , bit pricey , think drink food good ( sort bourbon pumpkin cocktail world ) . ambiance worth trip - lot fire even though slightly chilly evening comfortable heater around . we love hotel great stay memorable anniversary . can not wait go back . 
 Oct 26 2009 	 everything Chicago offer fingertip . 	 say Wit Hotel ? 's fantastic ! wonderful experience await ! one good bed ' ve ever sleep -- get great night 's sleep every night . location fantastic ! walk , catch easy taxi , grab bus , and/or take Elevated Train anywhere city . hotel centrally locate . travel Midway airport Wit snap CTA Orange Line . train clean fun ride . hotel staff extremely helpful , knowledgeable , friendly , attentive ! room always straighten tidy return adventure end day . make special arrangement Concierge hotel beforehand upon arrival , wife treat great floral arrangement , chocolate three different chocolatier city , champagne , deep - dish pizza ( something wife not experience ) ! can not say enough concierge ! Li Feng go great length assist surprising wife . celebration ninth wedding anniversary . view great . could see Chicago River Lake Michigan view ( 18th floor ) . , Li always ready dinner reservation , suggest site seeing , tour , etc . strongly urge anyone visit Chicago take Architectural Boat Tour city ( concierge help set ) . bar top building , Roof , fantastic . view breathtaking drink food good . food serve & quot ; tapas & quot ; fashion . staff attentive friendly . room stylish , roomy , posh , friendly , invite ( see attach picture ) . two plug bedside lamp ( mobile phone charging , etc . ) . near desk , attach laptop direct ethernet phone line , tv connection , electrical outlet , etc . be one helpful telephone bed speed contact front desk , get room service , housecleaning , etc . spend one night indoor great ( room service fast food excellent ) . can not say enough bed . even though not take photo bathroom , say always clean well appoint ( really nice fluffy towel ) . sink shallow careful running tap . combine tub shower bathroom water - save toilet . door separate bathroom main room also full length mirror . throughout day , forest animal sound play hallways mark times day ! love ! one good hotel experience far ! 
 Oct 19 2009 	 location location location 	 wit heart downtown chicago . every major attraction within walking distance . staff friendly room clean . restaurant bit pricey overall great place . 
 Oct 18 2009 	 lot room improvement 	 doubletree hotel , not expect cookie , never see any . great bar roof , know make drink . bar snack prepare pay , $ 9 french fry ? breakfast adequate service lacking , coffee weak dishwater . soundproofing room keep el sound minimum , siren come loud clear , slam heavy room door . barely adequate hot water bathroom . gigantic sink bathroom beg question , ? rave place get 's lot room improvemnt . 
 Oct 16 2009 	 Loved 	 stay two night chicago marathon october . past , ' ve hilton chicago , palmer house marriot magnificent mile hotel new favorate hotel chicago . walk , think lobby bit small really pretty inside , well picture ' ve see . room nice , bright color , big window room quite . think mattress little soft still comfortable.i go spa massage , bill great ! eat dinner breakfast state lake restaurent 1st floor , food good . would even come back food , good ! try steak egg breakfast , will not dispointe ( $ 14 ) departure , greet Patricia , call name . & quot ; wow & quot ; ! ( see check ) 
 Oct 14 2009 	 Chicago Boutique Trendy 	 great stay son , big CUBS fan ever ! great location EL route Midway Wrigley ! great service check desk . room wonderful new modern . bathroom large product nice . triple love outdoor bar roof ! next stay wife ! 
 Oct 8 2009 	 great location amazing comfort public transportation door ! 	 trip visit college 17 year old daughter . 24 year old son also come along . arrive 7:30 could not check almost 2 pm . hotel staff take bag direct we great ' local ' diner great breakfast . go Architectural Boat Tour city shop Michigan Ave . easy walk distance hotel . need travel college step right door - even cross street - EL train ! even ride train airport $ 2.25 per trip ! 
 Oct 5 2009 	 fabulous location . excellent view . service need work . 	 stay overnight Wit celebrate 40th birthday . nice spacious 2 - room suite 21st floor . check take bit long would like - however give activity lobby - willing wait . room great - decor excellent good value . enjoy stay immensely receive bill question front desk restaurant charge . front desk attendant never apologize , overall attitude guilty prove innocent go well . ask would bill , give charge incorrect comment & quot ; e - mail & quot ; . like pull tooth get final amount bill card ( fairness charge us restaurant charge ) , overall demeanor full attitude really sour overall experience we . bad , really like hotel , next time will stay somewhere else . 
 Sep 30 2009 	 not get much well 	 Wit hotel everything go . first , hotel . brand new , still sparkle clean . finish room top notch . fortunate enough lake view , corner room , mean window two different wall . , third huge window bathroom , view theater district . comfy bed , huge flat screen tv , warm cookie available lobby day long . top one popular night spot area , rooftop bar . get avoid huge line show room key . the hotel staff accommodate well . arrive 5:30am day set check . since check not 4 pm , exact room not ready . rather make we wait , staff get we alternate , clean room could shower nap . room ready , staff move we correct room without hassle . great service experience . the location also amazing . hotel right corner one transportation hubs city . whether look take elevate train subway , step away every line would need take anywhere throughout city . quick easy food option step door ( Dunkin Donuts , potbelly sandwich , etc ) , within couple block , ' ve get Chicago classic include Pizzaria Uno , Chicago Chop House , Rick Bayless ' two awesome restaurant . be also heart theater district close shop , museum Millennium Park . all , Wit play key role make sure amazing Labor Day trip Chicago . 
 Sep 29 2009 	 twice always nice 	 ' ve pleasure stay new Wit twice since open May 2009 . overall , hotel welcome addtion Chicago 's Loop , term additional hotel room well fantastic Roof great restaurant . I live Chicago pretty good sense work fabulous city . Wit perfectly locate people town business , want close Millenium Park Art Institute people want heart theater district . shop North Michigan Avenue easy walk , Sears ... mean Willis ... Tower Hancock Building / Water Tower ( ahem , American Girl ) . one also get Navy Pier foot short cab ride . room modern side . many bright neon stripe run diagonally across window , block use drape . bed comfortable tv quite nice . amenity good . complaint room oversized , shallow sink create challenge someone try wash face . definitely example form function . the rooftop bar & quot ; Roof & quot ; miss . quickly become one desire spot nightlife scene evidence long line Lake Street several night per week . large outdoor space good view downtown Chicago well enclose space protect element . also small group occupy private area extend build -- faint heart . fire pit outside area warm body non - summer month . drink cheap , wine list nicely diversify cucumber mojito quite yummy . both restaurant excellent . breakfast twice State Lake -- time food great . venue also pretty good later bar grill business . second floor creative italian restaurant Cibo Matto , take unique view italian cuisine great pre post theater choice . my complaint lack site self parking . Valet available , however less expensive ( least little ) park one many self park garage locate within 1 - 2 block hotel . hotel also easily accessible O'Hare Midway via El . Blue Line O'Hare stop 4 block property ; Orange Line Midway stop almost top hotel . make sure upon check get vip pass Roof weekend . place popular restricted access quite considerably -- crowded , room key may suffice . last note , Hilton Gold / Diamond , make sure get free breakfast coupon State Lake . notice not automatically give . overall , one dynamic , vibrant hotel hit Chicago quite ! 
 Sep 26 2009 	 Wit hip cool - great place ! ! 	 impress - come priceline spend two night town wedding , surprised service , room , style everything . gourmet cookie nice touch , love contemporary feel place , top , seem one hot night spot city roofdeck . be great able jump right past line htoel pass feel like rockstar ! , able sleep comfortably quiet room right party . hand , favorite spot stay chicago .... 
 Sep 21 2009 	 nice getaway 	 stay Wit downtown getaway night . great location theater , Millennium Park , attraction . speedy check - in , courteous desk staff . nice room , extremely comfortable king - size bed . bathroom shower - only ( tub ) , shower height adjustable . air conditioner little noisy time , 's charge internet access . would definitely stay , though . 
 Sep 20 2009 	 great location great staff warm cookie 	 stay thewit three night chill Chicago . could not happy choice . hotel trendy , contemporary feel , yet still comfortable cozy . room large well appoint . super comfy bed lot pillow . spacious bathroom nice big shower spa tub . sit room plenty space , lot seat big screen tv . ( case happen baseball game see ) .For like spread , lot drawer closet stuff . even kitchenette want bring back leftover dinner . location terrific . right next El , across bus stop , within walk distance site . lastly , people work terrific . check - in people desk bell staff even doorman , everyone friendly helpful . would definitely recommend Wit stay return Chicago . 
 Sep 19 2009 	 great property 	 much say reviewer not say already . 7th floor face State St . window close , street noise barely detectable . partial view river . everything clean everyone friendly . enjoy 2 drink appetizer Roof friend . crowd , not wait get in . I would go back . 
 Sep 18 2009 	 Amazing ! 	 can not say enough good thing thewit . room large spacious . room great view . hotel staff super friendly helpful surprising cool , upscale hotel . food excellent . decor chic . Rooftop bar amazing - atmosphere , drink , food - love . love boutique hotel , must check theWit . place stylin ' . oh , close everything Chicago . can not wait go back ! 
 Sep 17 2009 	 Best Price Hotel money not forget cookie ! 	 wife young daughter 20 , stay hotel 4 night . discover hotel research Tripadvisor . would stay hotel ever come back Chicago . extremely convenient train ( one block away ) , lake , Art Institute Chicago , along many attraction . ' m lifetime Advantage Gold card member , ' ve travel quite bit hotel rate one favorite . arrive OHare , take train ( $ 5 ) not take cab ( $ 45 ) . train stop hotel one long block away hotel . one many Garrett 's Popcorn store near . club top hotel , call & quot ; Roof & quot ; mainly single . family , nice place look well leave young single . staff wonderfull gracious guest . notice bird chirp hallway day quiet sound cricket night . sound pipe speaker locate hall . not worry , sound loud enough hear gorgeous room . not think room bad view . 's view Lake Michigan . Magnificant Mile couple block away . Chicago Bean block away . hotel open couple month stay . not believe disappointed stay . one thing , yes , doubletree fresh moist warm chocolate cookie wait . 
 Sep 17 2009 	 Great Hotel 	 Hotel nice . big room especially Chicago . staff curteous professional . bed comfortable , great location . restaurant downstairs State Lake wonderful food breakfast . 
 Sep 16 2009 	 Fantastic Time 	 Family travel family event . stay 6 day . terrific time . staff good . especially concierge service Mike , Onni , James Housekeeping Martha . & amp ; Khrystina . helpful . try accommodate we request make readily . everyone staff helpful try make stay pleasant possible . shall return . Chicago fun time we . thank make trip success . 
 Sep 14 2009 	 great location great room great food 	 50 female business traveler first walk sure would like place first impression vanish soon get room . room spacious every amenity could want include dining table , fridge , nice desk , large tv , large bathroom , telephone ideal conference call . one big surprise good hotel room service meal , long time . hotel step Chicago Theater enjoy show time . 
 Sep 12 2009 	 enjoy location customer service WIT 	 first visit Chicago , fly solo . ' & quot ; amazing different experience customer service . moment walk door , everyone point service . check bag polite check - in . able get room 4 pm hassle .. restaurant first floor great food service . hotel 's location shopping woman 's dream come true . transportation convenient touring . roof top bar / lounge nice congest w / e many reviewer already mention . definitely would stay Wit ! ! oop room side L- problem sleep . 
 Sep 7 2009 	 wonderful experience 	 wow , beautiful hotel ! ! ! Wit Hotel Chicago impressed minute step foot lobby . first , walk welcome smile staff sweet aroma coconut . mine husband 's wedding anniversary kick , ask possible we get upgrade room ; without hesitation front desk check book unfortunately , not room available . staff surprise we champagne chocolate cover strawberry note congratulate we anniversary sorry able upgrade we . sweet ! ! ! every floor decorate nicely modern , luxurious , touch . room clean love decor bathroom sink coffee table . could live there . the 27th floor restaurant / lounge , Roof , great experience . definitely place impress guest ; wait go back . the Wit make memorable anniversary , thank . 
 Sep 7 2009 	 building fabulous get together still ... 	 new construction great - nice stay new place . decor contemporary fun . location fabulous - could walk everything want . service , hand ... not quite figured . wait 30 minute check , not end world , lobby hot afternoon sun . ask concierge could find time call office Navy Pier open . said & quot ; not know , could call they . & quot ; ahhh ... self service concierge concept ! order room service breakfast morning . morning order incorrect , 2nd day dime size piece hard plastic wrong yogurt . first night , evening walk , stop lobby bar ask glass Chardonnay . tell ... order room service . unusual Hilton ... call room service . tell get bottle wine service bar . Said want glass , bottle . tell would price , would well way go . , tired littel irritate , say okay . Chardonnay service bar ... settle something else . corkscrew . call room service . say would send someone right away corkscrew . ask whomever send could also bring glass Chardonnay ? ? tell . overall , place beautiful , staff need training . 
 Sep 3 2009 	 Great Staff Great experience 	 great weekend . ( grandparent ) tag along parent move granddaughter School Art Institute Chicago dorm room 162 State Street Building -- mere half block Wit . enjoy adjoining room , WONDERFUL food room service restuarant hotel . room top notch service well . another life responsible management hotel across US never treat friendliness helpfulness . Valet parking dream -- weekend -- Steve , main guy outside , awesome . location perfect Loop , Art Institute , Lincoln Park etc . hotel Chicago . 
 Sep 1 2009 	 FABULOUS Hotel 	 friend recently stay theWit long weekend . neither we ever Chicago recommend hotel other . theWit trendy , chic , centrally locate , offer impeccable service . shopping , dining , theater , nightlife either hotel close . rooftop bar / lounge amazing view serve one city 's new hot spot . sure be trendy full young people , people Chicago nice ' ve ever meet . everyone hotel helpful full great suggestion , especially concierge , Li .... amazing ! ! bellman front desk concierge , entire stay simply perfect . would definitely recommend thewit anyone travel great city Chicago . 
 Sep 1 2009 	 great new hotel ! would definitely come back ! 	 hotel lobby beautiful , staff friendly courteous . bottle wine send room anniversary . wonderful bathroom , spacious tub , two could soak . nothing bad say . also cocktail rooftop lounge & quot ; Roof & quot ; may old beautiful view nonetheless tasty cocktail . fun see 20 - 30 yr old crowd mix ! 
 Sep 1 2009 	 new room great staff awesome location 	 hotel brand new top amenity guestroom . roofdeck bar great happy hour / pre - dinner drink . locate near Mag Mile . staff extremely friendly . not much reception area , lobby tiny . 
 Aug 31 2009 	 fantastic hotel . stay ! 	 wife stay whle celebrate anniversary . absolutely fantastic experience , would recommend thewit anyone . certainly back ourselves . the hotel great spot . within walking distance Millenium Park Michigan Ave . shopping . Navy Pier , John Hancock build Sears ( excuse , Willis ) tower within 15 20 minute walk . lot nearby restaurant , fast food elegant dining . also within block two l stop , public transportation around town airport easy option . the customer service fantastic . front desk staff great . mention check celebrate anniversary . give we room nice view . 20 minute get room , knock door . send complimentary bottle champagne celebration . nice , expect surprise . not need use concierge live suburb work Chicago , know type thing available want . , several time leave hotel , customer concierge desk . every time happen , concierge ask whether anything could help we . doorman inside front door able help start revolving door , particularly patron luggage . doorman outside constantly ask need cab direction . everyone encounter provide excellent customer service . the room not huge , big thought might . addition king bed , couch , large flatscreen tv , cabinet provide space hang clothe 3 drawer . wall unit tv also extend desk area . not huge , certainly big enough laptop work space . even furniture , plenty walk space , not feel cramp . on top nice room outstanding customer service , thewit good value . relatively inexpensive hotel area . stay excellent , certainly return . there thing would say keep mind . 27 story , tall building around . result , view somewhat limited . look hotel stunning view Lake Michigan Chicago Skyline , theWit probably place . additionally , l track run along south side building . first 5 floor lobby , restaurant , conference room , fitness center , etc . , sure least room south side low floor ( say 6 - 10 ) noise issue L. able avoid simply ask high room one face different direction . also discussion Roof , hotel bar . write Aug. 09 , Roof currently one trendy bar Chicago single scene . place see see , many customer come dress club clothe . additionally , visit professional athlete celebrity spot . line get long , although hotel guest get vip card allow bypass line . line also use side door rather main hotel entrance . line get , need show room key get elevator , elevator access room floor Roof . bar currently trendy something change quickly , know long situation last . not problem wife , understand might people . to , potential problem mention issue , thing think people able take consideration decide stay . thing mind , assume none deal breaker , give Wit high possible recommendation . 
 Aug 30 2009 	 Hip Fun ! 	 normally travel , stay nice , 5 star hotel . consider Pen , Drake , Four Seasons etc ... stumble upon Wit , sound fun different anywhere stay -- decide & quot ; go limb & quot ; give try . say also , skeptical b / c mixed review hotel receive glad decide stay . moment step car , staff courteous friendly -- opening door , take luggage , offer anything need . never open door . reception staff friendly , knowledgeable polite . free cookie awesome ! ! love & quot ; cookie raincheck & quot ; ! room 16th floor corner suite . amazing view probably anywhere stay everything well appoint , mod , fun . love glass room bathroom . sink problem -- really neat . problem water pressure . room incredibly neat clean . much noise train -- comfortable bed pillow -- nice lighting techie touch . as hotel , location wonderful -- close everything . inside hotel modern amazing energetic vibe . lobby funky fun unusual glass chandalier mod decor . age stay hotel : 20 something review suggest . get chance eat hotel restaurant look clean neat lot people eat . Rooftop bar amaze unparallelled amazing view . stay hotel , full access bar wait blast partying close ! ! definitely place see see one rude -- everyone friendly , earth fun . great atmosphere . I would definitely recommend stay Wit . really can not say anything bad stay ; wonderful . and would not pay attention bad review . 
 Aug 26 2009 	 HIPCHIC affortable 	 Wit hip , chic , affortable hotel right heart Chicago ! travel Houston Texas meet girlfriend 40th birthday weekend Chi town ! hotel great location L right across street ( save cab fare airport ) . hotel brand new modern flare . stay 1 bedroom suite 26th floor . suite big spacious ! staff professional couple bump road ( 1st suite give we room disabled guest ) , change room . issue one bartender night club ROOF , GM solve problem promptly free drink . look party want leave hotel ROOF . nice atomsphere happy hour night light . guest hotel long line get worth . overall nice hotel staff equally match . would like see diversity within hotel staff would come back stay ! 
 Aug 19 2009 	 never go back ! 	 friend & amp ; drive 2.5 hrs . Chicago celebrate one friend 's birthday . wit great location & amp ; look fabulous outside & amp ; inside . decide dinner State & amp ; Lake 1st floor hotel . wait GM serve we drink table ready . took long say get table & amp ; waitress friendly . unhappy w/ waitress ' service speak GM a / b . seem clueless going & amp ; ask , & quot ; want ? & quot ; try explain & amp ; idea . therefore , pay bill & amp ; leave . could least compe something ? ? ? ' m one complain try get free food awful service ! food good , 's good service 's worth . follow morning call concierge find vend machine floor stay . vend machine entire hotel except employee break room . offer get drink we & amp ; bring 10 min . never come get call woman . say vend machine break & amp ; suggest go 7 - 11 gas station . wow , thank ! appreciate service . yes , great location & amp ; be beautiful , Wit need work guest service . return hotel . 
 Aug 14 2009 	 great experience Wit ( yes ' m 30 ! Shh ! ) 	 read recent review hotel seem bit confusing , decide post review . hope find useful . my husband stay August 7 10 , Chicago meet brand new baby niece . hotel incredibly easy access via el . be fly midway , be especially easy b / c orange line run way ! check - in breeze lady behind desk polite friendly , absolutely find ' shallow ' poster ( one determine hotel staff member shallow anyway , deep conversation ? ) . even endure constant babbling go visit new niece patience ! ! ! anyway , pleased process head room 21st floor cookie hand ( way , prior open sheer room check view , wash chocolate hand ! hear problem ! ) room nice modern , decent ' partial lake view ' . handicap room shower bit difficult manage , build regulation 's nothing Wit could change . room kitchenette do not ' use , like option . room truly techie 's dream , not make use wireless b / c extra cost ( holiday , spend much time room ! ) . bed comfortable . the lounge ( ROOF ) 27th floor probably get little ' big ' hotel plan , atmosphere night bit strange . crowd Roof young ' single ready mingle ' . dress nine ! check one night find not look ( look hook , fact , marry ! ) go lobby bar find nice friendly bartender wait staff . $ 12 cocktail , Chicago ! ' Roof ' crowd not look , nothing lobby ride elevator roof patron make feel incredibly uncomfortable , honestly can not imagine would ? not find anyone pretentious snobby , simply enjoy converse different people people watch . staff never make feel like second class citizen , fact quite opposite , sense happy assist husband whatever need , even point we direction lake ! overall great stay ! would definitely return ( next time , guess ? will still 30 ! ! ! ! ) 
 Aug 11 2009 	 Great Hotel Service Best ! 	 first trip Chicago , could not get lucky ! get great deal amazingly enough Priceline . get hotel pleasently suprise . beautiful super trendy , close everything ! fly Midway , take L get right , hotel right ! everyone welcome . check find room awesome ! really trendy quite large . face front next L never hear thing , 6 floor . slightly annoying show card every night Roof , really eliminate crowdedness hotel . plus staff really nice . Li , concierge , good . helpful great suggestion . save we ton time Sears Tower , ask ! Wit would well give raise tthat would never tempt leave ! even give we cell phone number case question ! ! ! never happen . also get every morning half awake doorman always push door open point right direction . even help we ticket concierge staff not available . felt really take care would absolutely stay ! 
 Aug 10 2009 	 also forewarn . pretentious snobby staff / location great 	 two 53 year old , two teen family . read review , really , everyone be say thing . one type people stay : trendy , well - to - do , well dress dink ( double income kid ) twenty . 's truth 's say subject . fit criterion , feel place staff reluctant let try prevent enter elevator . anyway , review ... pros- fresh bake warm cookie check - in , excellent location , comfortable bed , great staff , wonderful helpful conciergecons- lock bathroom door , snobby twentysomethe name - dropper judge appearance come socialize pathetic rooftop lounge , staff try block get hotel be wear flip flop jean , showerhead brokengreat location , staff , concierge . wish could take little wreck ball get rid 27th floor lounge . would get rid snob . staff would let get elevator get room . line sidewalk get lounge . get great satisfaction wave vip card go front line ( guest stay get one lounge ) wear rip jean flip flop . showerhead slide metal bar adjust height , keep slide . 
