small 	 stay club room find slightly small large enough rarely room . adequately clean club room come breakfast great , plenty fruit , yoghurt , bagel , toast , juice , cerial coffee . check quick staff always friendly . last day one group though lose passport hotel staff could not helpful , particularly Curtis . would definitely stay 
 Perfect location 	 book trip March 09 slightly worried review read say please people ! ! check service could not well show nice room 8th floor 2 double bed . massive room small mean clean sign bug ! service security good make we feel safe know people show room card use lift . all would definately go back Milford although maybe renovation price will not attractive , would shame could not got hotel well location . 
 good hotel excellent location 	 hotel close soon renovation approx two year want say superb hotel -friendly staff excellent location around corner time square 
 Old tired 	 even suppose ' upgrade ' corner room dumpy small old smelly furniture drape saggy mattress . would receive ' upgrade ' wait half hour check clerk try find reservation , file misspelling name . wait 15 - minute line check . ( always line front desk . ) bathroom clean internet room work well . the location good want near Times Square , not know would want stay . area mob tourist , line people mill around theater make difficult walk hotel point east . price , well choice . 
 value money 	 Milford Plaza fantastically base hotel around corner Times Square walk distance fifth avenue , rockafella empire state building walk . right middle Broadway look show hotel must . room bit small , bit grubby really warm , put air con November . downside room small side , smell musty way hot otherwise good base sleep leave belonging behind . safe bedroom find staff totally trustworthy , helpful really pleasant . Milford Plaza due close December 09 refurbishment though must say look bit tired could . would definately go back refurbish well worth visit . oh take notice comment bed bug cockroache definately none bedroom find linen clean , enjoy 
 friendly hotel excellent security 	 friend stop milford plaza 31 oct 5th nov 09 . 40 . read review already book 50/50 expect . pray have not make mistake needent worry arrival show room deluxe room 2 double bed 16th floor . expect room small review say . think room small need feel comfortable . even hairdryer bathroom great . also safe free u select password open . room clean daily . noise hear emergency service blaring past hotel . the security could well feel safe staying . show room key allow lift good make u feel even safe know body good would get past security man . underground station outside hotel much cheap getting taxi . use quite alot newyork . good thing though hotel location . right middle new york city . not forget theatre district . we ask security man new good restaurant go direct we one 9th ave call west side 5 10 min walkfrom milford u like pancakes place eat . local police also eat good sign good food . service top mark . orange juice lovely also . hotel though close 12 dec 18months 2yrs I ve hear renovation cousin live newyork tell goint build top milford plaza apartment . next time guess dig deeply ur purse stay , do not think budgit hotel much long hope I m wrong . also watch taxi driver airport get sting . airport milford cost we 64dollers that s man write paperwork give driver driver go wrong hotel mistook say charge we 84dollers . tell reception milford one set price matter drop we . goodluck need worry hotel be not dirty least floor . great hotel . great location . say xx Bridget coventry . 
 Nov 6 2009 	 Excellant Hotel location 	 read review tripadvisor , uncertain expect , however fly JFK American Airlines journey short use Airtrain Jamaica Centre use New York Subway ( e ) W42nd Street , come step find hotel across road right door step . we stay one Club room 5 night , locate 23rd floor excellent view Time Square , surprisingly quite spacious room ample storage space , safe , good sized bath room . breakfast good , selection pastry , cereal , juice , tea coffee nice setting , use somewhere sleep live entire stay excellant hotel . we visit Statue Liberty ( Monument pass require want go inside base pedestal ) , top Rock , Central Park , Macy 's , Bloomingdales , Apple store , F.A.O Schwartz Tiffanys . excellent seafood meal Famous Oyster Bar Sixth avenue ( near top towards Central Park ) , also Empire Diner ( www.empire-diner.com ) good authentic old american diner look little tired , food service good . globe type sculpture find Battery Park stand Word Trade Centre , also Bull Wall street worth visit ( notice shiny testicle people rub get good fortune ) , Brooklyn Bridge ( walk top Warren Street , past New York City Mayors Office ) get amazing view middle also walk whole length brooklyn keep look back ( awsome ) , feel energentic take walk Dover Street bottom look bridge angle , try walk across bridge ! ! ! ! .Overall excellant holiday , really look forward visit New York , sooooooon . 
 Nov 4 2009 	 average hotel great central location 	 ten member extend family stay hotel 3 night October . initial impression enter foyer good bedroom bite disappointing . 3 room total we . bit compact little storage space live suitcase . standard overall cleanliness issue seem variable 3 room different floor . complaint lift often insufficent number people wish use . however great plus point hotel location short walk away Times Square Broadway . hotel provide breakfast ask one staff , friendly , could suggest nearby diner eat . Westway Diner 614 Ninth Avenue 43rd 44th Street suggest . prove good go three morning stay . this first trip New York highlight ? Visits Bloomingdales , Macy 's Tiffany 's resulted spending cash modestly price Century 21 lead expenditure . however highlight probably go observation deck top Rockefeller Centre trip across Hudson Statten Island Ferry . visit undertake good weather prove memorable . another memorable moment view ' Eleven Tears ' memorial member American Express staff die within Twin tower September 11 , 2001 . concept execution memorial handle sensitively choke emotion view . visitor Big Apple put visit list must thing New York . finally tell hotel would close later year major refurbishment programme . negative point hopefully address period suspect revamp result greatly increase price may place hotel price range future . 
 Nov 4 2009 	 can not beat location 	 lavish , spacious , modern , luxurious - sorry 's none , fact ' pretty average really 's location make shortcoming - really right Times Square ! Milford reasonably price ( New York ) , room small neat clean , staff courteous helpful else worry ? ? ? term value money , would not hesitate stay . 
 Nov 3 2009 	 $ 500 one night stay worth 	 car break ny head home NJ . Milford hotel room available late night . charge $ 500 & quot ; closet & quot ; bed shove filthy bathroom . RUN PLACE . BOOK ! REGRET ! 
 Oct 29 2009 	 fabulously locate hotel 	 return Milford Plaza , yes room be not large ever stay perfectly ok group 3 . bathroom pokey adequate . staff friendly helpful . location wise hotel perfect , 2 minute walk Times Square close Subway . Lots Deli 's locate close hotel , recommend Junior 's breakfast . overall nice hotel would not look stay anywhere else return New York . 
 Oct 29 2009 	 crumble place perfect want ! 	 read really bad review hotel since get good deal price hotel seem like good one . smack bang mid town Manhattan -perfect get around . subway station across street make easy get around . 5 minute Times Square . thing chip paint door make good hotel , however everywhere clean , bathroom , room etc . cleaner good job everyday call & quot ; milford club room & quot ; mean access Milford Club Lounge . meant get free breakfast lot thing : croissant , pastry , 5 different cereal choice milk , coffee machine tea available , fresh juice , fresh fruit , yoghurt , lot bread toaster spread . quite impressed choice . also free internet usage handy look thing . staff conceirge helpful . hairdryer room not brilliant like good hairdryer lady take . hear completely renovate hotel ' ve get feeling would lot well next time round visit . apparently closed 2010 may wrong ! consider location price pay think good hotel . 
 Oct 28 2009 	 Ugly somewhat unfriendly amazingly locate cheap 	 get pay life . many people moan quality room hotel . be small , be ugly , aesthetically really not redeem feature . hotel safe , be clean ( mostly ) , sleep well time stay , 's bang Times Square . want pretty room pay , get less central ! ! ! ! want fantastic base explore New York book room . Sardi 's next street , sit bar good time . the big negative point view 's dining hotel - breakfast . deli place around 's ok . TOP TIP : big hotel lot room . room really disgusting ask change . change mine three time last time stay eventually get something marginally well first one give . staff happy , be - care ? job , polite get good can . I stay hotel almost every time ' m New York - 's good budget accommodation MUCH NEW YORK waste time room . 
 Oct 28 2009 	 good hotel 	 well go ny , click Essentravel.com get great deal Milford Plaza . good hotel , plaza ! ! hey hehe . staff helpful , room service good , get good night rest . I recommend ! ! 
 Oct 27 2009 	 would not mind pay extra $ 50 stay elsewhere ! 	 first impression great . friendly staff , nice look lobby , great location , etc . fact , arrive extremely early , shortly 11 am know check - in begin 3 pm , let room early anyway . impressed .... get room . 's small room size bother , ' m someone care room size well aware large even average sized room NYC rare . issue unclean room . everything look unpleasant . sheet not even look clean . also quite surprised lot people review hotel complain paper thin wall ? literally hear every single word guest room beside say . would not advise take mid - day nap sleep early need . will get wake constantly sound like someone try break room ! wall thin sound like neighbor open closing room door . some nice thing hotel ... location ( step away subway enterance minute away Times Square ) , price ( low find ) . Gym also convenient like work , not laptop want check email 2 option . look like tv 's room equip kind internet access light web - surfing . also , could go 3rd floor use Business Center ( $ 5 minimum charge apply though ) . overall , bad . next time , spend extra $ 50 stay somewhere little well . 
 Oct 27 2009 	 excellent staff 	 recently stay Milford week . staff helpful courteous really feel safe . time square short 2 block walk numerous Broadway show around corner . good dining right across street plenty option decent price . never see restaurant tell another traveller need member go it . the hotel clean , room small appeal eye , location make worth while . would definitely return ! ! 
 Oct 27 2009 	 Great LocationEnjoyable Stay ! 	 Location alone reason stay , right street Times Square theatre . price pay think great ! hotel room small side clean enough room luggage . sink bathroom would drip occasionally would also take drain think that s say downside hotel . luckily room side hotel view side would view brick wall . would recommend hotel try stay budget do not want stay somewhere disgusting ! 
 Oct 23 2009 	 great stay 	 stay Milford 4 time yes old hotel price care 5 min . walk time Square , sad hear close almost 2 year renovation price sure go ... hope like way 
 Oct 21 2009 	 stay hotel . 	 Hotel need serious upgrade . old room small . wallpaper peel wall . stay Super 8 motel nicer Milford Plaza . 
 Oct 21 2009 	 feel like scamme force accept room 	 come Ohio one night Broadway Show . theatre half block hotel . call speak reservation desk month trip . wife wheelchair . handicap accessible room one bed roll shower . require 2 bed bathtub , however , long bathroom door normal width ( anywhere 32 & quot ; 36 & quot ; normal ) would problem . speak reservation desk , guarantee bathroom door adequate hotel accessible . arrival , find take seperate elevator get lobby , second elevator 15th floor room . God help wife evacuation ! room approximately 10 ' x 17 & quot ; bathroom large closet . door large enough 29 inch wheel chair get . add experience , bathroom dirty trashy . metal tissue container wall 1/3 chrome 2/3 rust . bathroom mirror literally frame pine 8 X 10 frame , scratch chip . add insult injury , door sign room , think required law list price room , list room $ 95.00 night , $ 287.00 pay room . frankly , employee speak friendly interest problem . basically take leave . will still charge room late date . hotel room quintessential negative stereotype New York . 
 Oct 20 2009 	 Great Location ! 	 stay Milford Plaza three night , Oct 15 - 18 , 2009 ; great room , double bed ; room clean ; complaint ! definitely stay ! , price good ! first trip New York , well pleased ! 
 Oct 20 2009 	 Milford Plaza - handy location nice hotel 	 book net without know much . fab location around corner Times Square . nice staff , get discount room rate via website , room clean - nothing amazing - comfy bathroom fine . 
 Oct 19 2009 	 Good Service 	 return long weekend NYC . first , location hotel fabulous . could look see Billy Elliott Lion King Theatres ... half block away . check - in smooth . arrive 12:30 , room ready early . security great , efficient & quot ; private & quot ; elevator system ' ve ever see . room small course , desperate need updating . never could get tv work ... despite 2 maintenance call . not watch tv not matter much . & quot ; Club & quot ; upgrade , could not tell room ! wallpaper peel wall , bathroom rust worn . bed fairly comfortable . street noise ok -- corner room 15th floor . good part Club upgrade free breakfast 3rd floor . delicious ! nothing hot eat , large assortment cereal , bread , muffin , juice , etc . enjoy morning . two play see , Billy Elliott Wicked fantastic . advanced ticket Billy Elliott tell show 2 hour prior Wicked & quot ; Cancellation & quot ; line . sure enough , third line able secure 8th row seat $ 126 ... incredible ! also thoroughly enjoy food tour Greenwich Village . Seffra fabulously entertain guide . well worth $ 48 price 3 hour ... 14 year old bargain $ 20 tour . we love Times Square location hotel could get anywhere quickly . however , hotel would stay . 
 Oct 17 2009 	 best value NY $ 	 3rd stay @ Milford ; time get well well ! 18th flr , GREAT view 8th ave ; ' high tech ' elevator assure never wait ride ! room update small , clean adequate.you beat location ! hotel adjacent several broadway theater , minute times square , block & quot ; restaurant row & quot ; . , block LATTITUDES , 4 - story bar w/ awesome happy hour special rooftop bar ! staff accomdate , price , can not beat milford ! complaint charge $ 3 / bag store luggage check , , be really big deal . 
 Oct 16 2009 	 stay away Milford 	 unpleasant unhealthiest hotel ' ve ever stay . mold room , complain night , put we another room even mold . ( picture ) . complain , concerned tell we calm rather calm we . room clean twice 5 night stay , bathroom filth wall previous guest . doorman mill chat amongst never open door , coffee anywhere hotel even sign eat . difficult speak anyone . go request prepay shuttle contact first word mouth use ... really ? ? would definitely stay . 
 Oct 14 2009 	 Decent value midtown 	 attend convention New York City spend four night Milford Plaza . book hotel convention housing bureau rate $ 180 per night . attend convention past stay Marriott Marquis ; however , need trim cost trip time , Milford Plaza almost $ 100 per night less expensive . the Milford old hotel , see review favorable . age property important . want room 's secure , quiet clean . arrive spending first night , know Milford fine . as say , 's new hotel . several layer paint molding . door knob closet break . sign previous water damage bathroom . be pristine , be unacceptable . expect everything brand new , look somewhere else pay great deal more . the room two queen bed , dresser , nightstand single chair ( like dining set ) . desk , miss trip business work . able set laptop edge bed lean . room single bed , although know desk room . the room wire internet access . tell would daily charge ( $ 11 ) , charge statement check . access reliable fast . the desk staff courteous . night check , toilet already back room . call desk inform problem , even finish explain situation , operator say maintenance housekeeping would minute . Maintenance arrive within 5 minute . housekeeping arrive 10 minute maintenance leave . call fantastic service . the hotel one block Times Square . a - c - e subway station corner 8th Ave 43rd Street . location central midtown . there sign Milford begin renovation , look see would begin inside . scaffold outside already Oct. 2009.i pleased stay Milford Plaza , would stay . reserve full 5 rating truly outstanding experience , 4 well deserved . look forward see Milford Plaza renovation . ( CS ) 
 Oct 14 2009 	 pleasant surprise 	 never new york concerned choice hotel . fortunately need . mention previously great location , excellent security , lot fast elevator . minus side shower mind would not work unless start cold follow hot even do not work . room high floor nice quiet . guy tour desk overly help ful would verbally tell many instruction unwilling write anything ! ! beware street fair outside hotel inform entire street close meaning transport could collect we directly outside hotel . would definately return hotel . 
 Oct 13 2009 	 good location bad service 	 Old hotel , bathroom poor facility , plus point : great location , next good place town . do not internet room . need leave bag reception must pay US3 per bag . 
 Oct 13 2009 	 overall bad 	 Excellent location ... heart short walk whatever want . room excellent view keep finger cross . 4 time stayed go .... book room website 3 month advance chance go back website 2 month travel date find closing renovation . call , email nothing .... guess would let travel get cab meet closed hotel confirm book hand .. hmmmm . pleased service 's great location price .... maybe need new management . 
 Oct 8 2009 	 great location great vacation 	 first time stay would go back minute ! impressed location , safety , hotel . employee polite . love place ! 
 Oct 8 2009 	 Great Location + Great Price = Great Hotel 	 stay Milford six day end February . book stay base recomendation colleague stay NY several time past could not happy result . location absolutely unbeatable block time square . 5 minute walk multitude show , theater , resteraunt , transportation , attraction , . first time visiter little anxious getting around city , hotel 's central proximity trouble whatsoever . get hotel close everything really impressive feat , able book room $ 100 night completely unbelievable . top , hotel quite nice . be really nothing fancy hotel , room , small compare room outside NY , adequate size two we , always clean , hot shower comfortable bed . be really picky room long be clean comfortable Milford exactly . complaint hotel would free continental breakfast free wifi . firm believer day age every hotel least provide free wifi , give price fact free wifi hotspot never far downtown Manhattan definately something live . end would definately recommend Milford Plaza anyone visit Manhattan . great location great price . 
 Oct 7 2009 	 great 	 read review be not expect much . pleasantly surprised ! room small bathroom adequate collapse . concierge ( especially Tom ) helpful pleasant . hotel soooo near anything everthe . reallly appreciate security impose hotel . show room key everytime let elevator . do not know hotel do not . walk stand watch great time 
 Oct 4 2009 	 LOVE location 	 2nd stay Milford definitely stay . staff courteous helpful & amp ; pleased security . room , though large , adequate & amp ; clean . bed comfortable . would like bit space toiletry bathroom make . bit snafo request accomdation call front desk take care immediately . room ready upon check - in registration quick / easy . 
 Oct 1 2009 	 Good Hotel Excellent Location 	 previously state Ritz Plaza ( Central Park ) , good hotel great centrally locate area . room 1452 previous person state 1952 , dual aspect room . see 8th Avenue part 44th Street . never go breakfast option hotel , instead go breakfast ' Westway ' Cafe 9th Avenue . average cost $ 7 include tea / coffee orange juice - food excellent party testify . location excellent access Times Square ( 100 yard ) , Central Park ( 800 yard ) theatreland . many place eat , eat Frankie Johnnie 's , one opposite hotel 37th Street ( think ) . meal good bit pricey statutory $ 88 dollar tip throw ! ! ! New York excellent walk Central Park shopping 5th Avenue highlight . Ground Zero trip Empire State Building also must . New York fantastic boat trip around Manhattan explain essential part thing look another must attraction . enjoy stay Big Apple , , much prefer London . sorry New Yorkers 's way . would go back though ? yes , maybe next time stay Plaza though .... 
 oct 1 2009 	 ok Hotel good location 	 book hotel two phase , pre cruise post cruise . come Europe find 8:00pm . ny time not queen 's bed room available ( honeymoon ) give we two single bed tell we morning would change we . follow morning give we room 24th floor nice view . room clean , good sized bed . bathroom old least everthing work clean . could see part times'square window . the location good , 5 - 10mins away foot . on floor ice make machine everybody come TIME fill ice bucket hopefully try avoid room near machine room ' door not good . for 180euro night bed , be quite expenisve be pay location also . second part stay ( post cruise ) , room 21st floor good view also huge mirror cover whole bed 
 Sep 29 2009 	 Basic type hotel quick city break 	 LOCATION LOCATION LOCATION ! get back 5 day stay , original room offer awful - window view brick wall , room small bathroom old need refurb ceiling paint peeling - do not get wrong , appreciate pay get bad expect , go back reception say room far adequate give room 1952 ( 19th floor ) , refurbish bathroom,32 & quot ; LCD , dual aspect window overlook city street least 30 % big previous - rule get give dud COMPLAIN ! room vary standard ! term location hotel superb , 5 minute time square , 2 minute tube ( train call ) door step theatre . staff like New York staff encounter tad aggressive , tend get treat like number . room clean daily housekeeping deal request quickly . concierge service main lobby helpful offer wealth information . hotel old basic do not expect Ritz , quick city break we fine go shopping take Woodbury Common Premiun outlet tour ( buy concierge ) , approx 1 hour coach ride cost $ 80 store designer outlet offer 30 - 50 % saving - buy enough make $ 80 back ! book seriously go buy plenty clothe $ 80 price tag steep tour . side note never opt bed breakfast great breakfast place opposite , also try ' junior ' - fantastic american diner ( go side entrance hotel walk face right towards times square - approx 4 minute walk ) - greet great service food match - portion huge though usually buy one breakfast share approx $ 25 inc teas - ask 15 - 20 % tip , declinedSo summary good price , do not expect amazed fine , get dud room - complain , location great - staff ok , fine get head - let face 90 % time city anway ! 
 Sep 26 2009 	 enjoy stay 	 location incredible . room clean service great . we stay one night would stay . however room air work properly , toilet flush properly shower spray drain . 
 Sep 25 2009 	 good bad ... 	 first time NY not sure stay research find Milford . pro con . pro : great location - 's two block Times Square close subway ; friendly staff - get early accommodate get we room check - in ; room clean daily - room always clean , new towel issue ; elevator quck - enter floor need display elevator available 's pretty quick ; security good - show room key time want get elevator guest get ; luggage storage - hour need head hotel area store luggage small fee reasonable . con : small room , tiny bathroom , kind dirty wall & amp ; wallpaper bathroom come . pull top comforter find next blanket spot . wall dirt somthing . picture room advertise must suit .... certainly regular room ; free wi - fi pay service signal strenght poor . expect nightly room rate . it not bad hotel research hotel 's new amenity price . 
 Sep 24 2009 	 Bed factory 	 tired tiny room break air con . date , pint sized shower cubicle good shower head .. adequate wardrobe hanger . efficient lift system . friendly . good location . Rip - theatre tickket . would reccomend . 
 Sep 24 2009 	 greate choice money location 	 dissapointe stay Milford Plaza . size room fine clean 12th floor 8th ave . sound AC quite high , ' ve experience thing hotel . check deal . want secure place , good location decent price , Milford place . would certainly go back . 
 Sep 24 2009 	 fantastic value money . 	 return NY stay Milford Plaza 5 night . hotel room clean . fresh towel room clean dailly . room big everything need . hotel bit date plan upgrade hotel winter . security really good make feel safe . bar restaurant hotel disappointing , hotels ideal location mean , far great restaurant . would recommend Smithy , Bar across hotel 8th Ave . would stay Charley , bar . ABSOLUTE RIP off.you tell barman , & quot ; happy hour & quot ; .Shouldn , way round ? overall , happily recommend hotel . won , back New York year , , dfinitely book Milford Plaza return . 
 Sep 23 2009 	 good location 	 ok nothing fancy bed clean new york room sleep.everythe work , great spot , two minute walk time square , bar near , lot good restaurant feel safe walk till stupid o'clock early hour morning lot police about.empire state building short walk site , would stay . 
 Sep 21 2009 	 Use Hotel Phone ! 	 stay Milford Plaza 15th-22nd December wonderful time New York . Milford Plaza central everything within walking distance . hotel would benefit bit decorate 's quite drab go Xmas beautiful tree light hotel helped brighten . room small big enough get suitcase etc store away could bit upgrade . hotel Theatre district obviously surround theatre . however , not stop hotel try rip we try purchase ticket Lion King . try purchase ticket Theatre sell day require . go back hotel see sign advise hotel could provide theatre ticket . however , ask price could not believe would try rip customer charge almost double price . try buy ticket Theatre not night , advise we go back 3 pm sometimes cancellation - go back end get ticket half price due fact sell day ( show not start 8 pm rush ) . feel hotel good would take opportunity rip give chance find quite trip sell hugely mark . ice cake hotel ridiculous price charge hotel phone ( conveniently not advertise ) . make 2 phone call back home - one 7 minute call one 5 minute call get shock check . price call come $ 216 absolute rip . could not argue literally check taxi wait leave bad taste mouth really put dampner stay . think hotel go charge extortionate rate like decency put telephone rate room . time travel dollar poor 12 minute call end cost we £ 180 reason would never recomment Milford Plaza anyone like ' ve say - take opportunity rip . warn - stay hotel - buy anything hotel use telephone pay sorely . 
 Sep 20 2009 	 pretty nice hotel 	 Good hotel , good location , near local attraction transportation . nice room , rather small guess 's NYC . clean . performant noisy AC . Noisy , even room 7th floor 8th av . good value money get discount . 
 Sep 19 2009 	 Tear 	 book thru bookings.com rate 3 star ... orginal room 19 floor smell like mold ( hallway ceiling hang water mold , hotel would SHUT compare canadian standard ) TINY ... sister pull bed sheet look bed bug find URINE STAINED MATTESS .. ( side ) ... complain move we 14th floor & quot ; MILFORD CLUB & quot ; much well sized room STAINED MATTRESSES ... tell hotel tear December.2009 .. great staff .. safe place really 
 Sep 15 2009 	 Great Location Acceptable Room 	 Milford & quot ; tired . & quot ; entire facility outdate . , NYC tourist hang hotel room ! ! NYC need place rest head night . need secure , moderately price , convenient & amp ; centrally locate hotel room ? Milford Plaza . room good size ( NYC ) . hotel one block Times Square subway . hotel middle many Broadway theatre . staff friendly willing assist need . look elegent , trendy , romantic , luxurious , spaciously room , hip , young & amp ; pretty crowd , book room Milford disappoint . believe verge renovate Milford . scaffold around hotel Labor Day 2009 stay . 
 Sep 15 2009 	 excellent value ; excellent location ; SOMEWHAT SHABBY 	 2nd stay Milford . room $ 168 / night . 's great price New York standard ! choose hotel location - Times Square adjacent , 1 block restaurant row , subway station across street . room typical New York City : small side . room show age . desk room end somewhat cramp . bath small , need take Clorox bathroom tile . dirty , show sign mold . hotel say renovate . , extremely long renovation work . stay 1 - 1/2 year ago , see change . perhaps good news come future . staff always accommodate . room staff superior . room make immediately . leave generous tip room staff - hard worker . elevator system unique helps provide additional security . 
 Sep 15 2009 	 Excellent Location - Basic Hotel 	 stay Milford 2 week ago 5 night husband . first trip NY , want something central , honest price ideal . yes , hotel basic , not promise luxury accommodation anyway . would recomme hotel friend location alone - reasonably price . 
 Sep 11 2009 	 gross mold problem 	 can not belive mold room.1906 really gross . I picture company make sure never stay again . I try check oversell try send differant Hotel . I wish would taken offer . I ask move mold say choice go New Jersey stay put I . you will not ever worry stay make sure company find somewere else . very unsatisfied customer . 
