location 	 stay Thanksgiving , reduce rate , would disappointed pay full price . first impression upon walk lobby much potpurri , must hide bad smell . room ( jr . suite ) roomy , gloomy . obviously water problem paint / wallpaper chipping peel , large swatch patch ceiling . bathroom small put use towel bath kit . next ice machine make pound noise day night . & quot ; continental & quot ; breakfast available upon request , rich price plus 18 % tax . room service . location excellent , 2 block mag mile 2 block lake . doorman attentive , could even reach front desk call . room available sale nominal price $ 450,000 , basically efficiency . 25 million dollar renovation brag appear go purchase flat screen , 2 per room decor . 
 stay somewhere else next time 	 warm feeling walk lobby . woman behind small desk not smile seem put bit . stay two night . upgrade Deluxe King Suite . room nice clean . sofa hard uncomfortable sit . bed comfortable , bathroom size postage stamp . room two people put anything . fact , toilet close wall would sit toilet paper rub leg ( ' m petite size 6 ) . take shower husband splash water wall outside small shower . tub ! call reception checking see room large bathroom tell none , one large bathroom big upgrade not available . definitely enough room two people time ! live outside Milwaukee travel Chicago quite often stay many hotel downtown . choose Raffaello big renovation . old hotel upgrade room quite bit . stay back mid-80 's lot improvement since . convenient Magnificient Mile $ 400 two night little much get . also eat new restaurant & quot ; Michelin star James Beard Award & quot ; chef . neither we impress decor meal . okay nothing write home . aware bar ( six seat ) right door everytime open , cold air swirl - brrrrr . 
 Sep 26 2009 	 find ! ! 	 spend 4 night raffaello another couple wonderful time . price amazingly reasonable contemporary decor exquisite . amenity room amazing . small refrigerator beverage , plenty room we stash cheese wine . also small coffee pot / coffee microwave . everything clean whistle service perfect . add pleasure rooftop terrace enjoy view city nightly wine cheese . location - right across street John Hancock Building - right heart thing . convenient public transportation , parking ( $ 23 per day ) 1/2 hotel . it favorite find far . 
 Sep 22 2009 	 nice website suggest 	 website show upscale hotel nice room . room small . lift suitcase bed not enough room wheel space large enough open . sit end bed knee almost hit dresser . furniture chip picture frame paint bathroom door . grout shower need repair . room clean wall paper thin . could hear everything ! like location discount parking would stay . 
 Sep 21 2009 	 disappoint 	 reading review hotel decide whether book , concerned couple less favorable review . however , go ahead location good rate receive . disappointed ! fortunate receive upgrade suite spacious amenity advertise . large bed comfortable comforter . heating / cool system quiet . window could open . our room keep immaculately clean two night hotel . staff member friendly helpful . park car parking garage across street $ 23 per night real bargain Chicago . privilege bill hotel nice convenience . only one negative ; charge internet . a new first class restaurant premise . great breakfast ! first time Raffaello . hotel we future trip Chicago . 
 Sep 16 2009 	 amazing location outstanding service comfortable exquisite dining experience good value . 	 stay friend hotel several time time please last . home , sleep well . particular visit lead we try new restaurant premise name & quot ; oh GOD & quot ; everything taste amazing word describe dining experience . staff attentive . treat guest home . food beautifully present portion adequate lunch . rush , give we time share savor course look forward waiter generous basket home - bake roll fresh bread stop table one time . chef helpful present table appetizer dessert sampling . simply lovely meal serve exceptionally train staff prepare outstanding chef beautifully appoint , nicely decorate , spotless dining room great art provide friend owner . lunch memorable experience eat breakfast dining room next morning , course , disappointed . one may think price may high breakfast , let assure , service , quality , freshness , presentation , amazing coffee make dollar may save somewhere else . try . love . 
 Aug 5 2009 	 Raffeallo bit disappointing 	 return stay Raffeallo . room nice size . sleep well . bed comfortable , think may quietest hotel ' ve stay . disappoint two area . first , front desk staff helpful . try call multiple time one ever answer concierge desk , anyone ever seat desk . also try call front desk , call go voicemail . also , stand line check , two employee behind desk . however , second employee turn walk away , first employee try help lady front we reservation later year . ( two family wait behind we . ) second complaint size bathroom . once - a - year getaway , bathroom small price room . ( book large room offer . ) shower nice , one small sink standing - room . way , restaraunt closed remodeling , mention hotel website . say good thing far Raffeallo Ferron -- -the extremely helpful cheerful bellman ! 
 Jul 21 2009 	 great location 	 Raffaello Chicago mall hotel locate one block la ke two block michigan Avenue . clean beautiful room . 
 Jul 16 2009 	 great location 	 great location next John Hancock building block away great shopping . good sized room , microwave , large flat screen tv , dvd player . small great fitness center . free wifi able print boarding pass free business center . 
 Jul 14 2009 	 great service like bouitque hotels- otherwise not bother 	 let 1st say customer service excellent manager maid doormen . room problem . travel 2 teenage boys- 6'tall , call several time sure room queen bed double . get different story finally assure website wrong indeed Queens . 2- 6 ' tall boy share full bed- tight- particularly night race sleep need . , manager change we & quot ; Grand Suite & quot ; murphy bed , sofa bed king bed . night ! mattress thin sofa bed , son put floor sleep , since rod bed dig back . murphy bed basically 's & quot ; alcove & quot ; small twin bed . like sleep box box . son react something inside , drag mattress floor wheezing cough night ( ashtmatic ) . type alergic reaction something . 1 bathroom foot king bed , full length frosted glass door panel , toilet face bed everytime use night , light turn like spot light suddently aim we bed , come glass , startle we awake person toilet- well comfortable situation foot bed . bathroom like telephone booth- tiny tiny designer round sink shower- door- half glass enclosure- long enough floor would get flood . toilet bizarre size , fit tiny room . climb end bed get one side . , next day , know one son would stay team we , opt go back double room . queen bed 2 room costly , one . note never share room kid travel , always 2 bedroom 3 , get good night sleep , take chance time . manager apologetic , send we personal note one day send we bottle wine write apology track tell we queen bed . give long stand reservation elsewhere find double bed elegant boutique hotel would give we 1 night free . end pay . room nice , attractive , spacious tiny bathroom- setup noraml toilet . least entry way away bed ! nice rainfall shower toiletry . nice well stock bar ( pint alcohol counter , not drink ) plenty snack food , refrigerator . ; like feather pillow request synthetic . elevator tiny , hold 4 comfortably big deal . restaurant renovate , open soon meal . nice equipment gym spa ; use . terrace roof top . bed comfortable enough heavenly bed , sure . if like boutique hotel , probably great choice . lobby speak , small 2 person check desk , concierge ( help ask advice ) chair . business center another floor . excellent location staff- accomodate . 2nd time stay boutique hotel 25 yrs . marriage last . we . would rather stay Westin , DoubleTree even Marriott heavenly bed spacious bathroom . need extra attention we . Oh- park car across street garage $ 26 / day leave 4 day . walk everywhere also take taxi go far . great little sandwich / gelato / bakery restaurant around corner downstairs outside water tower place . cheesecake factory . sit outside step inside eat . would recommend hotel like bouitque . 
 Jul 12 2009 	 ok ..... 	 first , want echo reviewer say location great . money - stay . travel often usually stay 4 - 5 star property . raffaell boutique hotel thing offer location . restaurant bar site . room coffee maker tiny . not restaurant across street dining option - especially breakfast - close property . stay suite well decorate . however , bathroom extremely small little room placement toiletry . kill 2 roach bathroom well ! bright spot Raffaello housekeeping staff Jason consir . ........ find another property ! ! 
 Jul 3 2009 	 Excelent location large room 	 Excellent location , right next Handcock Observatory meter Magnificent Mile , Raffaello Hotel nice surprise . mention excellent cafe ritz carlton across street good dinner breakfast . 
 Jul 1 2009 	 great location 	 Spend weekend Rafaello . suite $ 207 / night . nice , nothing exceptional . room clean well furnished . park garage 1 block east hotel $ 26 / night . who still charge internet ? extremely small elevator . 
 Jun 30 2009 	 great value location 	 really nice job hotel , money , super boutique value . would hesitate book colleague . colleague complain small king room . book suite . rate not much high regular king , room fantastic ! one concern front desk service . arrive , expect package . desk help unable locate , important work document . later find , late . say , experience quite good overall plan booking . 
 Jun 11 2009 	 Great Hotel Service could Better 	 stay Jun 7 - 9 2009 . Booked Expedia get rate $ 119 per night standard room . upgrade suite seperate living room bedroom . pros:1 ) room new luxurious amenity ( microwave , hdtv , electronic safe , iron , iron board , rainforest showerhead , hairdryer etc . ) 2 ) location hotel perfect . right beside John Hancock Observatory Magnificent Mile . hotel Mile would probably charge lot high prime location . budget hotel main Chicago district charge $ 85 per night price location offer hotel unbeatable . 3 ) Valet , doorman bellman extremely friendly helpful.4 ) hotel business centre internet , printing , copy , fax telephone conferencing service , well- equip gym spa . Cons:1 ) Front Desk staff friendly unprofessional . manager duty smile entire time helping make booking transportation check . even seem reluctant help . check , Front Desk staff chat nonstop unrelated work stuff front complain hotel overbooke . business , definitely want guest hear stuff . 2 ) housekeeping service . come 430pm service back short rest recieve turndown service suppose provide two night . 3 ) many facility though . restaurant , room service , pool etc . 4 ) charge internet ! hotel age still charge internet ? be $ 9.95 24 hour . want check email business centre think complimentary even outrageous ; $ 5.95 15 min ! complimentary internet service could get print boarding pass . overall , would definitely recommend hotel despite service facility . room superb comfortable . good point would definitely location value money . be look comfortable luxurious stay without pay much need use facility hotel often , hotel definitely one . 
 Jun 8 2009 	 Charming hotel ....... friendly staff 	 girl trip ... 3 sister daughter 20 's . 2 room ... spacious comfy . bathroom could bit big ... especially sink . great location . bar restaurant renovation ... know , miss one . , great hotel / location price . would definitely stay . 
 Jun 8 2009 	 surprisingly upscale great value ! 	 need nice place stay one nigh , quick in - and - out trip Chicago , perfect . check tell suite available would upgrade cost . room HUGE . actually consist three room large sitting room , stock mini bar great option , two large flat - screen tv , great office / desk area , bedroom large sectioned french door . bed great linen , sleep perfectly - not want get a.m. the bathroom nice marble huge shower , well design comfortable . enough towel closet space everything . could plan 3 - 5 day stay hotel room . upscale look feel . well do ! also , location fabulous - one block Water Tower place - mall downtown Chicago one block beach Shedd Aquarium . convenient cab ride everywhere need go . anything want Chicago stay hotel - heart ! 
 Jun 4 2009 	 really nice Motel 6 Holiday Inn 	 title may harsh , : restaurant , bar , pool , breakfast opportunity , parking facility , thermostat , room service ... street noise seem loud window open . poorly think window purchase noise abatement . the room nicely sized ( suite ) furnish . arm chair living room badly stain salt ( hope ! ) change clean . way housekeeping miss nasty condition . when check , call car bring Westin parking ramp , get lobby learn not bother get . wait outside sidewalk car bring since lobby tiny . wide angle lens use take photo make look large . 's conveniently locate Lake shore Michigan Avenue price right get . 
 May 23 2009 	 good location spacious room . 	 make last - minute reservation Raffaello pleasantly surprise arrive . hotel parking lot , parking available directly across street $ 22 / day , totally reasonable Chicago standard . my room pretty large bathroom outstanding , although bathtub . hotel restaurant , hence room service . tuck food fridge without set ' fridge alarm & quot ; incur charge move hotel 's food . also , front desk kind enough bring silverware late night . good news plenty restaurant area . the hotel 's great feature proximity Michigan Ave . 
 May 14 2009 	 pay 	 Booked Hotel Traveleocity . colleague two night stay Chicago . pay around $ 225 night . book hotel review hotel downtown Chicago price range similar amenity . wish book one hotel . upon arrival hotel , greet hotel desk clerk non - verbal say least . pay advance 2 double double room . get room neither room double double . however small king hotel- ( could tell floor map door ) . , generously give we bad room hotel . complain . get late decide stay order something eat . call downstairs tell restaurant room service . ok , go eat . next morning colleague awake houskeeping hallway steam cleaning floor -- way describe odor & quot ; sewage & quot ; . whole floor stunk . lastly , tthe business center unmanned charge everything , look email , copy . pay $ 7 per 15 minute session $ 4 8 page print . I never write review hotel , feel one . stay many 4 5 star hotel . hotel , due treatment pre - pay travelocity customer , extreme lack service amenity realistically 3 star low . hotel website attractive , deceive . Bill 
 May 12 2009 	 luxurious well locate 	 Saturday night stay . work travel agency give industry rate upgrade spacious deluxe suite . big NYC apartment fantastic bed shower , two flat screen tv 's fabulous minibar . 16th floor nice view John Handcock Tower also Lake Michigan . location serve nice stepping point shop along Magnificent Mile . downside iPod dock room internet include room rate . otherwise everything could want ! would definitely return future visit Chicago . 
 May 4 2009 	 Fabulous Hotel Loved ! ! ! 	 Mam return shopping trip Chicago stay Raffaello Hotel . fantastic location , around corner John Hancock Tower , also beside Water Tower Place ( huge shopping centre ) . central shopping top Michigan Avenue ( Magnificent Mile ) . also little kiosk buy sight see bus tour ticket Michigan Ave . staff friendly helpful , doorman quick get we taxi 's . room huge , two big , comfy double bed . room big plasma tv , microwave mini - bar / fridge . mini - bar expensive different hotel ? bathroom bite small , big shower . room bright modern . I could not fault hotel way . great hotel great city . 
 Apr 19 2009 	 Beautiful Room w/ Friendly Staff . Great Location ! 	 everything hotel great . pleasant experience every time visit Raffaello . tend stay winter month rate shoot spring summer . love location decor room great . always stay suite large other ' ve see floorplan can not really compare room size . would definitely recommend hotel friend family . 
 Apr 19 2009 	 great location room mom daughter shopping trip 	 Raffaello great location spending day Chicago shopping sightseeing . self - park car garage across street $ 23 per day leave entire time . great shopping restaurant within walking distance . hotel fairly quiet location . double room pretty spacious downtown hotel . bed comfortable room bathroom clean . front desk staff friendly , bell captain always polite helpful . book 3 - night special hotel website $ 99 per night would say great value convenient , update hotel . 
 Apr 11 2009 	 good location good rate good 	 staff correct . standard room big compare hotel ' ve . 's well locate hotel lucky , nice view John Hancock building . room front elevator kind noisy . one block away Michigan Avenue shopping nightlife . would recommend hotel find good deal . wi - fi acce 9.95 $ may want service free ! ! ! 
 Apr 10 2009 	 Great Tourists Couples 	 hotel perfect location want right Michigan Avenue thick thing . boyfriend Chicago native live suburb want relax , romantic evening city . ' ve stay amazing hotel around world , guess heard & quot ; four star boutique hotel Michigan Ave . & quot ; expectation high . really nothing wrong hotel impress . lobby beautiful , room nicely decorate , bathroom fine , service good . nice , wow . one pretty major gripe place : wall / door paper thin . hear everything . sleep morning hear every door floor slam every person hallway talk like standing room . kind make we little sour place . hotel good tourist look good location reasonable price , be look kind privacy whatsoever . 
 Mar 25 2009 	 fabulous hotel girl ' weekend downtown Chicago 	 stay five girlfriend Saturday night . location perfect shop Michigan Avenue . room beautiful spacious ; comfy bed ; provide perfect atmosphere relax catch friend . 
 Mar 17 2009 	 good small luxury hotel professional friendly staff 	 ' ve return week 's stay Raffaello service excellent , suite clean , be quiet well keep . 's small hotel , beautifully furnish . get upgrade key program correctly room would book we . three we stay comfortably suite . heating not work properly , & quot ; lived & quot ; . be well situated , middle hub Chicago ; walk everywhere . would stay Chicago minute ! 
 Mar 10 2009 	 Blocks Navy Pier 	 Raffaello surprisingly wonderful hotel . understate location , central attraction love . within walking distance Navy Pier , Lake Michigan , Michigan Avenue , Shopping , Restaurants Bookstores . service hotel excellent ! 
 Mar 7 2009 	 large comfortable room Amazing Value 	 recently spend one night Raffaello Hotel March 1 . hotel fairly small boutique hotel , sure seem 10 guest stay night . check speedy , staff meet request place top floor , floor 17 . book night day trip $ 99 hotel , standard room great . spacious newly renovate . make sure request room view John Hancock , many room overlook ugly , old , wear - out apartment building . purpose , hotel perfect . amazing value , close proximity Michigan Avenue many restaurant shop great . 
 Mar 3 2009 	 excellent - highly recommend . staff location everything - great ! ! 	 location perfect - directily behind John Hancock Bldg . staff wonderful go way accommodate . suite perfect - could not ask . comfortably modern feel . appliance , bathroom , etc . up - to - date modern decor . however , extremely cozy comfortable . there hide delight - 18th Floor wonderful roof - top deck . and price overwhelmingly reasonable . stay 5 day , wish could stayed long ... 
 Feb 10 2009 	 Perfect Chicago location 	 love Raffaello ! location truly good place Chicago possible perfect access everything want Chicago . room perfect , stay toe everything offer expensive , include disappointing breakfast want charge $ 10 per person . not bother , be close enough great breakfast hundred place outside hotel . 
 Feb 7 2009 	 kind town - and hotel ! 	 stay Raffaello ten day first visit Chicago . room reasonable size , clean modern . bath , lovely shower comfortable bed ' ve ever sleep in - hotel otherwise ! nice L ' occitane toiletry . well - stock mini bar ; expensive , always , ' ? good - sized flat - screen tv , though never time inclination watch . pay equivalent £ 160 per night room , cheap deal available shop around good time - we last minute booking . room seem vary review ' read . get room inside , i.e . drab view , be worth check front desk staff see one well view come free . swap room two night without fuss reward much interesting view John Hancock building , surround street skyline . room slightly big include vanity area- small touch , make difference two people rush get ready dinner . there quite business guest Hotel , ' overtly business feel , great . several fellow american guest comment smallness two lift : perhaps standard one USA big , seem reasonable size we . ' wait long lift enter lobby always lift waiting ground , i.e . first floor . excellent location ; short walk Rush St area variety shop & amp ; restaurant , Lake ( Oak St beach ) , Museum Contemporary Art course Magnificent Mile . location incorporate good world : street quiet & amp ; safe , yet always taxis one want travel afield . ' try hotel breakfast , expect would ' good . plenty place good breakfast nearby- Tempa , Pancake House , Cheesecake Factory , Gibson ' . make sure book restaurant table want eat Saturday night : everywhere busy & amp ; wait hour get table standard pizza - chain restaurant . all staff – cleaner , front desk doorman - be lovely , really helpful friendly . couple light bulb blew change soon report . someone mention housekeeping wake day . use Disturb notice require always respect . a surreal aspect holiday include bumping friend back home . amazingly stay Raffaello . love city much . 
 Feb 1 2009 	 go price stay nice 	 location : block away Michigan Ave , Water Tower Place right behind John Hancock tower . Chicago , mean heart city . 's safe neighborhood . parking : option one - $ 47 / night hotel valetoption two - $ 22 / night self - park right across street ( truely self park , garage attendant take key park car ) .lobby : small , comfortable . area sit free coffee . room : Booked King room $ 99 direct hotel site . stay Saturday night upgrade we King Suite additional charge . suite extremely nice shape look clean . bed firm , yet comfortable . furniture contemporary . the amenity hotel limit . 's place stay budget , nice look hotel inside . Chicago , not need hotel everything ( clean , comfortable place stay ) . be city . 
 Jan 13 2009 	 gorgeous hotel fab location fab staff 	 stay twice late December whilst visit area . absolutely nothing fault experience . door staff extremely attentive , price fantastic location unbeatable . particularly love bathroom shower die . find decor refreshingly elegant , issue elevator mention review would reccomend ! 
 Jan 7 2009 	 would LOVED stay ... ...... 	 well , fiance France want book time Rafaello trip see end month . several email attempt reply , phone call switch concierge reservation desk cut together , retraction request day hotel say would honor - ' ve decide book room . guess not care business ! 
 Dec 6 2008 	 Great Service ! ! 	 stay , get help need send bottle champaign friend . although house shop today , concierge run purchase bottle w / in price range - way - 0 degree wind chill ! ! ! ! arrange bottle chill upon arrival.great service ! 
 Nov 1 2008 	 stylish boutique hotel 	 lovely hotel - room excellent facility could want staff could helpful . find concierge , whose name remember , particularly helpful recommend place visit , eat shop . get we discount ! hotel may away Loop mean avoid noise find taxis good value . also mean Raffaello locate pretty sophisticated quiet neighbourhood . anywhere locate within block Oprah Winfrey 's home can not bad . hotel extremely well locate Hancock Centre , Magnificent Mile two block stop main city tour bus . one good city centre hotel stay . 
 Oct 28 2008 	 much Learn ` ` Service '' 	 ok , Chicago expensive town , convention town , find affordable available hotel , still want comfort ammenitie easy . find Raffaello online . great location , say . rest Hotel really lack service style warrant 340 dollar per night price tag . restaurant site , bar , internet free doorman call cab , absolutely 36 degree weather , find one ourself inside get warm . service minimal . MINIMAL . money , stay budget marriot well western . least will frill expectation . write review hotel room . smell like fry food ... probably people bring food outside dinner , unless go . room still not clean . leave 8:30 morning plenty time . access internet require code , fine , must enter every time log system remember . bathroom tiny , space put anything , one hook towel share blow dryer . call front desk concierge morning . answer either . thing happen , hotel perfect . problem place general sense job staff . not say hello , goodbye , open door , ask need help , offer smile . ' m LA , get free . raffaello lot learn service client relation . LOT . start remember guest come first pay stay , way around . , low expectation , great place . otherwise , courtyard marriott around corner . go , save $ $ aggravation . 
 Oct 24 2008 	 Favorite Chicago Hotel 	 travel Chicago frequently business , discover Raffaello back June . since , ' ve Chicago 8 time stay every time . advice : always book King room . be much big double roomsthe staff friendly , room spacious comfortable , 's perfect location . 's 5 - 10 minute cab ride client 's office , right Magnificent Mile ( though never time go shopping ) quick cab ride restaurant ever choose dine . ' m surprised reviewer say bellman not around , be always 1 - 2 standing get . ' ve even give comp upgrade suite , FANTASTIC ! , not room service ask front desk couple place deliver room . italian place , extensive menu ( pizza ) food pretty good . morning , deliver breakfast room put order door night before.all , would say stay . 's great hotel , great location , great price . ' ve never pay $ 240 night , location quality hotel , be steal . 
 Oct 10 2008 	 Soo nice 	 love Rafaello . decor fantastic : modern , stylish , elegant cosy , yet spacious . ( cheesy stuffiness . ) room impeccably clean - . little kitchenette great . can not wait go back . we stay 4 night actually prolongue stay Chicago like hotel much . first 2 night stay W downtown also fine preferred Rafaello . 
 Oct 5 2008 	 like frill ........ 	 moment pull rental car & quot ; bellman & quot ; look disdain , moment check , stay Raffaello completely disappointing . location great , will give , minute enter lobby , become moot . front desk staff unwelcome caliber polish hotel demand . never get much smile sense happy . ask credit card either person look eye . instead , receive perfunctory explanation coffee bar lobby . bellman take bag room . . room spacious , devoid charm . wall still sport original plaster , albeit cover ugly ochre paint job . bathroom tiny . glass shelf instal sink mean every time bent wash face bang forehead shelf . small closet , fill bathrobe , slipper , safe , iron board , iron , etc . , hang one item clothing ! room service yet night breakfast menu bed . ? ? ? could go . save grace young blonde concierge , 's name not get , help we night stay . wonderful hotel go scoop immediately . never go back Raffaello , recommend anyone know . last night stay one elevator service . Saturday night . , dozen guest , wait 15 minute get room . one say word we apologize . disgraceful . $ 350 per night hotel long way go justify cost stay . lack every standard set hotel . 
 Oct 5 2008 	 great hotel Great Location 	 stay 4 nite double double room . amenite could want include fridge , microwave coffe / tea make facility . room modern , spacious & amp ; clean , location , right next John Hancock Centre make perfect hotel sightseeing . this hotel even well bar finally open , problem moment walk CheeseCake Factory cocktail I m bar ( underneath JH Center ) .would definatley recommend hotel city Break . 
 Sep 25 2008 	 Best Hotel 	 love hotel . visit Chicago area often hotel . clean bed great . love location , everything within walking distance . wish know soon . stay Omni Hotel two year ago disappoint . Omni great location visit american Girl Place however american Girl move location . recommendation stay Raffaello centrally locate everything ! -Caroline , Ohio 
 Sep 21 2008 	 Frills price - mean ! 	 look inexpensive hotel downtown Chicago since go town business week . find Raffaello . location great , ( two block Michigan Ave ) room nice . hotel bar restaurant prepare walk least street Westin food drink . room nice modern . spacious bathroom plasma TV . however room two full size bed , one foot away closet leave little room maneuver hang clothe . service decent . anything special - anything negative either . 
 Sep 12 2008 	 great hotel 	 fantastic hotel . location excellent within walk distance Magnificent Mile , beach , navy pier , theatre district etc ... hotel modern treat use hotel chain city . fitness room clean , good selection machine complimentary fruit . room spacious microwave , plasma tv , dvd player , refrigerator , shoe shine nice ( neck - straining ) view Hancock building . housekeeping staff friendly excellent job . notice floor map room seem small , two double perhaps keep mind . the doorman also helpful rooftop nice place relax enjoy view . this new favourite Chicago hotel can not wait go back ! 
 Sep 4 2008 	 Great Place ! ! 	 ' ve stay several downtown hotel Chicago . raffaello great place behind John Hancock Building . walk everything . room great , recently remodel . for price , 's first choice stay downtown . 
