nice 	 check review try find something expensive area , decide book City Hotel . disappointed . enter twin - bed room 4th floor think go pass heat , able turn efficient radiator comfortable level even though control knob stiff . surprisingly spacious , clean nice view City light . bed little small hard side , would prefer duvee rather sheet blanket , still comfortable enough , reasonably quiet . bathroom small , surprisingly enjoyable shower small non - power - shower rise , complaint . not breakfast , would cost additional £ 10 . good value City hotel ! 
 Jun 4 2009 	 Excellent hotel next heart London 	 first trouble locate hotel . turn less block Aldgate Underground entrance . the area seedy go hotel nice enough . neighborhood would recommend walk around night , even find thing . for look tourist thing one metro stop Tower London like already say less one block Underground . the staff exceptionally friendly helpful . hotel restaurant ok small cafe next door offer excellent breakfast cheap . ask crescent ask put ever want less 3 pound . the room large since 4 people work really nice . never figure turn tv since not really not matter . turn hotel locate Aldgate Whitechapel , area Jack Ripper attack woman . fact several location find block hotel . mother in - law little nervous husband , history buff , LOVED it . overall great hotel price , lot frill work perfectly we . 
 may 13 2009 	 pleasently surprised 	 opportunity read review last minute book city hotel London . I one hundred per cent familiar & quot ; good & quot ; area 's stay within London budget £ 500 2 night trip London ( include travel ! ! ! ) decide take chance hotel price £ 80 triple room 2 adult breakfast . I must admit expect budget hotel due price , hotel locate osbourne st extension brick lane . near tube aldgate tower london tower bridge ten minute walk away . location seem bit run gloomy hotel quite upbeat inside . bar area look nice modern believe undertake new face lift recently . the reception staff extremely friendly , understand english exceptionally nice 3 year old daughter grumpy long journey ! room pleasant surprise , good size , clean , comfortable double bed single bed plenty space maneuver . the bathroom clean provide good supply water , can not stand fiddly shower weak water usually find budget hotel . Shower gel , soap shower hat provide . also fridge within room find fantastic store drink coffee / tea make facility aswell phone modern flat screen tv ! room look bleak part london , junk yard opposite bleak stone building city gherkin thing could find fault . bed cosy , tube small walk , choice restaurant within walking distance , late night convenience shop within short walk although would not advise walk round anywhere alone night woman , feel safe hotel , unlike hotel stay london ! get good night undisturbed sleep , siren , chatter outside noisy tube run underground ! breakfast fantastic , really good choice buffet include continental ( lovely pastry ) fresh juice , cereal , fruit full cooked breakfast buffet mushroom , tomato , hash brown , sausage , bacon 2 choice egg ! restaurant staff attentive , fill coffee cup moment run low . smiley friendly staff fantastic head waiter charge 3 year old daughter despite fact give hubby run money manage plow breakfast ! excellent stay . little bit away main attraction central well worth price 5 min tube west end . highly recommend would stay . 
 may 10 2009 	 great stay great price ! ! 	 bit afraid stay hotel reading review , reason ! hotel great , central location ( around corner Aldgate East tube station ) . lobby look 4 - star room much acceptable . staff international , still helpful available . everything work , bed linen towel change every day . I mum friend recommend city break ! 
 May 2 2009 	 great stay 	 firstly : Americans seem problem british loo . push lever way , not pump , let go , thing may turn right : - ) room face back , can not really comment level noise room face street . true enough , party area week end , although room right bar , not disturb . have great stay . room not refurbish still pleasant . service breakfast good . fridge safe box OK . clean tub use every morning . telly small care ? not go London watch telly . still manage watch East Enders Match Day : - ) weekend , people pour tube Osborn Street head Brick Lane . take walk . 100 Indian Bangla restuarant street load night club . come hotel , turn right , will find old , crammy pub next corner call Archers . sit pint John Smith 's . really recommend pub . Small East end . include drunk , tacky paint interior , occasional West Ham supporter . homely , include blonde smacker behind bar : - ) ( offence , Ladies , joke ) not use Tube , use foot . going leave hotel right Aldwych High Street keep go will right City London short walk . turn leave Mansell Street right Minories . minorie will find Fuller 's Pub call Chamberlain . great ale . walk minorie will short walk Tower London . this hotel perhaps five star , location . take advantage use foot . now chance , would like thank Juli reception nice . 
 Mar 24 2009 	 2 ... awaken sound fight outside window ! 	 never stay ! try renovate hotel ... room must ' ve forget bathroom ! old w / yucky shower curtain ... horrible toilet pump handle flush ! good thing view Gherkin tower room ... look view dump first ... 
 Mar 20 2009 	 Great Value money . would definitely stay 	 wonderful surprise . little dubious reading review sure expect . however , room top floor modern bright airy comfortable , everything want . think maybe be good room ( 600 ) corner dual aspect window . never hear night club ... not even know exist . breakfast also good excellent choice fare . good value money , every hotel ask double nightly rate pay . pay £ 75 include breakfast . 
 Mar 17 2009 	 close attraction 	 spend 7 night July , enjoy stay hotel , close public transportation use every day , also nice continental breakfast , near attraction hotel go Tower London one subway stop away . 
 Feb 27 2009 	 could bad probably bit well 	 originally give room 101 , right nightclub . read nightclub website think complaint exaggerate ... not . fact , quickly ask front desk degree nightclub would disturb we tell would affect . pretty loud . plumming bit rough , . room decent size hotel locate close Aldgate - East metro station . Tower London block away . area blue collar fill ethnic business restaurant . look tasty ! think pay 65 pound night wish would spend well hotel . 
 Feb 21 2009 	 Hotel nightclub turn night 's sleep nightmare 	 letter complaint trading standard sum : 's copy letter trading standard : one many tourist stay one London 's hotel . complaint make 3 * property . City Hotel , 12 - 20 Osborne Street , London , E1 6te . stayed say property 19 - 21 February . proprietor choose provide room first floor ( room 103 ) . return room 10 pm 20th notice right room , hotel 's restaurant massive event take place , DJ , karaoke etc . basically restaurant turn nightclub . open room realise not soundproof . actually vibrate nose right underneath . book room , like probably traveller , order get good night 's sleep continue trip Montreal Singapore 21 February . complain receptionist noise . lie , explain noise would stop within 30 min ( be shift end problem would become someone else 's problem ) . try awhile sleep complain reception 2:30 , point time realise would able sleep . check 5 , nightclub close 3 . prior watch tv , fairly high noise pitch , simply drown disco happen floor room . believe proprietor 's failure offer alternative room proprietor 's utilisation restaurant quasi nightclub suggest complete lack professional concern pay hotel guest . nightclub operate guest room sound proof ? duly receive apology check - out , frankly , apology cost - neutral proprietor probably utter time international traveller get strand questionable establishment . wonder mean receive money back receive reasonable compensation lose night 's sleep . operation deserve name ' hotel ' . not even live promise , namely deal customer complaint instantly . frankly , staff could not care less . sincerely , 
 Feb 8 2009 	 Terrible Hotel ! ! ! ! ! ! ! ! 	 happy stay . turn two receptionist none really interested speak . original room put front hotel noisey horrible ! complain evening luck find another receptioni try verry nice make feel well , Giorgia believe move room back . . also back onto service area really noisey 7.30 staff bang lift ! fire exit plan clear .... could go believe proud room ! honestly area hotel would recommend anyone stay matter cost would shock good review plant . 
 Jan 22 2009 	 Great Location Brick Lane good cheap eat near - by 	 want stay somewhere near Brick Lane check fuss , discover City Hotel search online . hotel Osborn Street , actually turn Brick Lane . near convenient since tube close around midnight , clueless term night bus . save pretty penny term taxi ride . also nice able wander weekend Brick Lane market minute . room clean spacious . toilet little finicky , master lever try . staff friendly helpful . buffet breakfast 10 pound , thought would give try . really worth ... especially not eat meat . run cheese time get around 9:30a . would suggest try one many inexpensive eatery surround area . be also Tesco far away Whitechapel . room fridge kettle , store perishable food make tea heart desire . also , online price 50 pound , extremely reasonable comparative hotel downtown . however , reach hotel , list price 150 pound . , advise booking online ! 
 Jan 18 2009 	 basic convenient location 	 sister stay one night City Hotel London 28 November 2008 , go theatre . find area ok , little main hustle bustle easy get Tube . area little bit delapidate cheap clothe shop remind little bit slightly dodgy area big city New York Liverpool . complaint problem , Tesco , newsagent bar 's 5 minute walk Aldgate East Tube station like 8 - 10 minute Aldgate . the lobby seem smart marble floor modern fitting , staff welcome professional . book breakfast £ 10 whatever seem little steep we , go Starbucks nearby . room could well , first impression look little bit shabby , simple thing floral net curtain droop fixture fitting little worn , slightly high spec , instance blind plain net , smart appliance , plain bed cover , would lift whole feel room . bathroom look like net curtain attach shower curtain , kind thing affect mine sister 's impression room . appear clean otherwise ok . wall seem little thin appeared Christmas party go bar , could hear small hour . also find room little cold although radiator ( could do clean / lick paint ) could not control . night wake feel cold spare cover pillow would expect , laziness could not bother go ask spare - certainly 3 am pj 's anyway . on plus side , location quite good due close proximity tube . going ask reception could order we taxi , little worried chauffer drive Jag turn cost we £ 20 hotel Soho rush hour traffic , cost we hackney go back night . also cheap , book special internet rate non - refundable ( 10 day advance booking ) cost £ 53 . room spacious bed reasonably comfortable , whole meet need . all could not get cheap deal chain hotel would probably book simply look somewhere get head , romantic break special occasion would not . otherwise great base would definitely recommend simply sightsee budget want somewhere go back end day . 
 Oct 19 2008 	 almost quite 	 4 night City Hotel London EC2 . great room plenty space , air con work anywhere pretty hot . great location end Brick Lane fancy curry - 20 + indian restaurant single street . plenty nightlife non - threatening atmosphere . good location , 3 min walk Aldgate East tube . breakfast average , 1 poor one last day - cold poorly cook . 
 Sep 23 2008 	 get job do ; sketchy service 	 wife stay City Hotel two night early September 2008 . rate 75 - 90l per night , though probably could do well plan early . the hotel locate east end London , bit north City region . short walk Aldgate East underground station , though time trip , walk require crossing poorly manage , dangerous intersection contruction . neighborhood notable reason . firstly , right near Brick Lane , overflow indian food . intend sample fame London - indian food , never chance trip . secondly , area popular visitor seek Jack - the - Ripper tour . one bad area London , ridden crime , filth prostitution . stay , never feel unsafe walk back forth Underground station . our room City Hotel adequate term size , furnish , cleanliness , amenity . include hairdryer , wi - fi access cost extra . we ugly view back yard block . lot channel & quot ; available & quot ; television , inaccessible poor reception . , care window view tv . be get see London , right ? experience noise renovation work hotel , generally middle day . hear noise club ground floor , though fifth floor , perhaps far enough insulate noise . big complaint City Hotel front desk service . initial flight London cancel ( TY , Delta ) . make expensive international call City Hotel , inform would arrive first night booking , still intend arrive follow morning . receptionist acknowledge message reservation , assure everything would taken care . also send text message email address , note delay arrival . when arrive next day , record call . pull booking , large & quot ; SHOW & quot ; write across front . keep ask talk call . eventually able get room , without we wait 20 - 30 minute sort thing . point call ahead ? furthermore , front desk staff , although seem always well intentione friendly , repeatedly struggled perform relatively simple task . ask extra shampoo soap ( Delta lose luggage ) , tell we would bring . ask three time it . we also ask & quot ; disturb & quot ; door sign . say would bring . ask around three time two day . finally explain DND sign frequently steal guest run . huh ? ! never hear hotel guest steal DND door sign . finally able get we one , final night , though notice sign url different hotel it . we decline breakfast try food drink available restaurant / bar . all , City Hotel bad money location , must deal phone , make sure get name talk . 
 Aug 26 2008 	 Cockroaches Building Work 	 stay Hotel many time work unfortunately account awful place ... fool new tacky marble entrance , hilarious description & quot ; Boutique Hotel & quot ; advertise many website Expeida . the City Hotel disgusting , smelly rotten dump building infest Cockroaches . not surprise wake middle night one crawl across face . not bad enough , will also wake every morning 7 be horrendously loud building work , bang drilling throughout Hotel . I write letter complaint City Hotel manager , Mr Gomez , demand refund . completely ignore one month , pester much eventually offer measly 30 % next stay - provide book directly Hotel full rate . naturally turn decide write review warn anyone seriously consider stay foul place . sadly , stay weekend , arrange work , receive terrible service , woken builder NEXT DOOR 7 am , almost puke see state toilet . the City Hotel run money grab manager could not care less customer . staff equally miserable . surprising though guess . if want stay Brick Lane , would well spend night big Curry Bin rat . 
 Aug 4 2008 	 bad value money ever 	 stay several hotel London area past year . City Hotel definitely bad value money , experience . room locate first floor noise street , hallway nightclub downstairs terrible . really terrible . room acceptable well would find hotel price range central location . I definitely regret read many warning website book room . would recommend City Hotel anyone . 
 Aug 3 2008 	 Nice hotel loud music 	 get room last minute £ 50 , stay one night . really impressed room money . power shower , bath , big bathroom , tv , fridge , big room 3 bed ( stay single room ) .only prob music , place locate top nightclub play loud music early hour - plus room back beer garden loud noise . depend would bother though - think go anyway come back late drink anyway have prob sleep room bargain money . be quite busy , lively area couple minute aldgate east tube station . enjoyable stay , would perfect not noise - would not let completely put though . 
 Jul 19 2008 	 Invasion privacy 	 stay hotel May shock discover lack professionalism show hotel staff . last weekend guy go finish time stay hotel reveal ask receptionist staff spy I . to horror tell obtain dvd hotel surveillance recording monitor movement . apparently know staff well ask watch movement . hotel guest use hotel bar work colleague . the receptionist staff also fabricate story aim discredit guy believe lie . as per data protection act code ethic , hotel staff give sensitive information . 
 Jul 9 2008 	 stay away - Book another Hotel 	 hotel horrible , location way someone say staying answer , would reply shock horror ! sheet wrippe knew change , bed uncomfortable , staff lobby helpful . subway station close maintenance part stay make get around even hard . hotel noisy night long hear siren . one night club downstair put black plastic bag door window could not see party go Security ' pat everyone ' enter . seriously , spend money stay somewhere else . City Hotel Sedey Hotel . need cab go Hotel airport since subway close tell price ahead time cab way tell price almost double hotel staff say would . 
 Jun 28 2008 	 disappointing 	 Stayed 1 night June ' 08 , room right bar / nite club hotel despite assure would able hear thew music inthe room , middle actual dance - floor ! staff unconcerned complain manage get sleep music finally finish around 2:30am . room spacious interior designer must bad day get one - bizarre describe as . safe say back . 
 May 29 2008 	 fantastic short stay ! 	 stay City Hotel one night - yesterday , actually , due 's convenience shooting location , take part film quite early start next day . due location 150 mile away Telford , require travel afternoon beforehand , stay night , check next morning filming , take little overnight bag shooting location - really , require hostel . however , ' ve ever visit London , know book hostel , unless like sleep secure trouser , cash strapped body various place ( although could make form running target , tramp chase grab wad cash ) , therefore , decide spend bit one - night accomodation ! henceforth , City Hotel beckon ! originally , going stay right near Bethnal Green station City Inn , due considerably cheap ( pay £ 75 single room ensuite bathroom - actually room 3 single bed , , thank Lord ! - whereas room City Inn would £ 44 . would cheap , close shooting location Claredale Street , would not spend travel , not accept cash , City Hotel ) , plonk City Hotel , due reason bracket , hold considerably well review . Breakfast not include rather hefty price though ( buy breakfast seperate charge , around £ 6.50 continental breakfast , consist mainly ham . Orange juice £ 1.50 ! ) , stay anyway . it pleasant enough , say ! arrive overnight bag Aldgate East tube statiion , hotel short walk road , past Burger King KFC , direct road leave . could see mile , feel incredibly posh stepped foyer marble floor ! ' ve never actually stay overnight London either , maybe somewhat novelty , be always lovely ! check - french - sound receptionist woman help , although could not really speak much English , go room , number 403 ( fourth floor , third room along ) . lovely , actually . smelt highly disinfectant , bed clean white , comfortable - sized bathroom shower , large bath , sink obviously , toilet , lovely little toiletry include Lancome mini - moisturiser bottle ( ! ) , main part room television five working channel ( always plus point , . not always find hotel television be never work ? ! ) , kettle , fridge , large vanity desk . large wardrobe , bookshelf , phone , course , menu , £ 5 ' the Lane ' , hotel 's incredibly pricey restaurant ( £ 21 two - course meal , one person ! take advice , go see area eat ! want stuck hotel anyway , UK 's fine city ? ) . be also safety deposit box top wardrobe , never bother thing , ' m bum : ) anyway , unpacked , suitably go area , see London , revel hour spare film commence . hotel 's location actually fantastic - Osborn Street lead right onto infamous Brick Lane , hub London 's asian culture sport many curryhouse might well convert Islam , see Carrie Grant walk past hotel ( red - haired judge Fame Academy ! ) . have revel many attraction East London offer - Brick Lane , 's bagelhouse ( man greasy spoon name Sams Cafe , Bethnal Green Road , follow Brick Lane , tell Brick Lane actually nickname ' Bagel Lane ' , 's Amsterdam - like 24 - hour bakery . God , smell divine ! cheap , - around 60p large slice cheesecake ) , Bethnal Green Road , Vallance Road ( Krays bear raise ! ) , Blind Beggar , Tower Hamlets 's market typical London culture ( not rough quite make , go visit , encourage ) , course , convenient Whitechapel , Jack Ripper walk , East end frivolitie history encompass ! tube 's street away , mention , fantastic ! side , bed absolutely rocksolid . ' m talk ' hard ' either , ' m talk , Flintstones actually make slab rock . uncomfortable , two day later , still back ache , not get wink sleep . one night , really can not complain positive . however , would re - consider accomodation choice City Hotel stay two day - not think doctor sort back ! remember , 's breakfast either , quite annoying . ' m nothing grump without breakfast , leave hotel 7.30am due film ( check actually 11 am ) , quite peeved . staff not helpful either . 's fault English incredibly poor , not employ can not speak fluent English . maybe be rather strong northern English accent throw usually London twang , still not problem . customer , not expect spell word annoy even furthur say idea Claredale Street , London A - z , unsure bus tube time , know look . quite problem , shoot immiment , fortunately , catch bus outside busdriver kindly tell get Bethnal Green station walk . Londoner 's really not unfriendly be make . ' ve visit quite time ' ve never come across abruptness , course , careful . capital city , indeed , east end . as whole , pleasant stay . would stay hopefully , take part film particular area , would not advise long day . make sure know direction , take quite fair bit money plan eat hotel ! breakfast easy locate many cafe , bagelhouse greasy spoon area though , truly would not bother . still , fantastic location , nice clean , ask £ 75 room ? 
 May 17 2008 	 HELL HOLE ! - Mr Gormez call Manager ! 	 arrive hotel room look ok price £ 100 . go evening return around 12.30am . nightclub next door loud busy , however know go concerned . wake 3.00am fight directly outside hotel . involve around 100 people probably estimate ! like war zone wife horrify see people floor head use football ! Bottle use weapon local also come join . masse police ambulance arrive hour order restore . fail get back sleep sleep break wife disturb act violence witness . go reception around 9 am ask see manager tell due 11 am . go grab something eat return 11 am . tell meeting . train catch leave contact detail ask could ring we . end wife end ring Monday Saturday night . explain situation voice concern response & quot ; nothing , want & quot ; obnoxious tone . fair enough could help riot night , however courtesy call part refund , well basically anything rude totally arrogant . guy need sack quick tarnish reputation hotel even . 
 May 8 2008 	 sure say 	 sit room write laptop . book room Late Rooms one £ 100 pn within 1 mile work ( Aldgate / Tower Hill ) . midweek vouch week end . location fantastic . walk distance City , Tower Bridge Tower London etc ( 10 min ) situate southerly end Brick Lane shortage place eat character go indian Quarter . the standard tariff room rediculous area ( £ 150 pn ) seem plenty sub £ 100 deal . ' ve pay £ 275 3 night . they middle extensive refurbishment hotel confuse mix boutique / up market accommodation ( completely place area ) building site . the frontage respectable foyer plaster wire . reception staff non enthusiastic Europeans maybe Indians - sure . lift tiny service floor confusing . corridoor wear tired looking probably last thing list modernise . room oposite mine board night workman go business day . as observed TA member noisy street lot activity , sound music outside throughout evening night , however , part character area join in . that bad bit . ! good bit fantastic . location mention . good sized room do modern wooden flooring , large wall mount Digital Freeview TV , tasteful , modern ( minimalist ) furniture , fridge ( stock ) , large fan , airconditione , comfortable clean bed ( bed change daily far tell ) clean work en suite bath / shower / toilet . load plug socket lighting . the bar modern comfortable look onto street sit watch amazing mix people walk by . Breakfast serve bar reasonable value Continental Full English Options amongst other range £ 1.50 £ 6.50 ( pork leek sausage tasty ) coice cheap al fresco cover breakfast oportunitie round corner Whitechapel Road . great sunny morning . the Bar Menu evening good reasonable price fancy something different exclusive go next door Lane restaurant seem part business ( get £ 5 voucher spend ) . quisine Carribean exceptionally good . cheap area competitive standard elsewhere London . boast celebrity diner 3 month since open include Alicia Keys Boyonce understand chef Collin Brown also well known . finally one futher downside . middle mini heatwave May ! room temperature uncomfortable window open street noise invasive ( first floor ) . fan night leave head ache airconditione unit work 20 min fail error code . may problem list improvement still do , hand may indicate quality maintain . it interesting see people think work complete . 
 Apr 9 2008 	 really great ! 	 happy stay . turn three receptionist none really interested speak . original room put front hotel noisey horrible ! complain moved room back . & quot ; kitchen & quot ; sink old damage worktop , bathroom miss tile bolb really poor . main bedroom seem also back onto service area really noisey 7.30 staff bang lift ! also funny window kind black room service area ( joke ! ) see people walk around ! ! ! ! ! fire exit plan clear .... could go believe proud room ! honestly area hotel would recommend anyone stay matter cost would shock good review plant . think photo look . 
 Mar 1 2008 	 Great Location get around 	 hotel good value London . book advance Laterooms get twin £ 65 single £ 55.during February 2008 think hotel process refurbishment . the room good size , warm en - suite . bed comfy , stay number time . the great thing get full size fridge room plenty tea coffee . the bathroom big enough , shower powerful fitting bit wobby . Osborne Street bit noisy early door noise issue London hotel . the hotel situate 2 minute walk Aldgate East Osborne Street turn Brick Lane . predominantly asian area spoil choice fancy curry . as alot area London need aware night ( bad alot area ) short walk tube bonus . would say hotel 3 star , not luxurious ok , standard alot backpack hotel great value London . staff friendly bar breakfast look good . hesitation recommend hotel . 
