good 	 comfortable hotel enjoy trip good location 
 Aug 1 2009 	 stay circumstance ! 	 ' m write review warn fellow traveler stay . wonderful Homewood Suites next door book , wound staying . expect hotel similar Homewood Suites . instead , complete disappointment . sure , staff helpful friendly , room clean . however , ultimately , pay hotel room , be pay place sleep night . Hilton Garden Inn total , complete utter failure regard . wall absolutely soundproof . neighbor 's tv , conversation , everything . one night , get shake awake neighbor happen like blast tv 1:00 a.m. mind , room like . keep change room , wall seem make thin piece drywall , possibly even cardboard . matter room be , will able tv 's conversation room adjacent . place also serve breakfast , unless be willing pay rediculous amount money cornflake bagel . be well stay cheap motel . cheap motel ' ve stay well service well soundproof Hilton Garden Inn . be look nice , quiet place sleep , stay hotel . get , totally overprice generally pleasant place . 
 Jul 27 2009 	 great location low staff 	 location great , resterant sight good , indoor pool clean , warm enough enjoy , whirl pool great well , great location , step red line metro . issue lack staff . towel , call front desk , take 4 hour get towel . next day one clean room . call front desk 6 pm , someone come 830pm clean , do not get usa today either room . deal next day well , come clean third day ...... conceirge hand , try wait line ask desk staff question , busy accomodate . room large nice , location great , close everything , not expect service time soon , short staff obvious . 
 Jul 25 2009 	 first choice Chicago 	 third time stay Hilton Garden Inn . reserve room Priceline , spend $ 65 per night . TIP : & quot ; two Queen bed & quot ; room much large King room . PROS : bed update , microwave , coffee maker , mini - fridge flat screen tv . LOVED Jewel grocery store step hotel . stay open midnight , , sell beer , wine liquor along usual grocery store item . ( home state go special store alcoholic beverage . ) entrance Red Line train outside hotel door Michigan Ave three block away . location great ! free in - room internet service - actually work well ! con : High Def service tv , though , everything tv looks stretch . ( big deal . ) lobby bland small - really care ? not use pool , hot tub exercise room . we MUCH prefer Hilton Garden Inn nearby Marriott . take four trip Chicago year stay several different place Hilton Garden Inn remain favorite . 
 Jul 23 2009 	 Good Time 	 stay one week attend business conference . within easy walk distance Navy Pier , Art Institute , theater district , etc . grocery store starbuck across street . clean , comfortable , quiet room . downside ... $ 15 in - room movie steep , small selection title . 
 Jul 19 2009 	 great location ! ! 	 pretty much nothing much complain hotel . except check staff check we smile greet we continue talk staff serve we . brand name , expect polite care staff , get . however , be another staff later 's really attentive , guess get unlucky serve one lady check time . room clean , comfortable , free wireless internet spacious bathroom . be virtually close everywhere , magnificent mile , Millenium Park , Navy Pier , etc . bear mind pay extra parking . valet 's $ 44 self park $ 32 . overall ' m satisfied recommend anyone . 
 Jul 17 2009 	 everything could want 	 recently spend week location business . travel around Chicago week , visit friend hotel , confirm Hilton Garden Inn well keep secret Chicago . River North area perfection . train step away front door , grocery across street ( surprisingly good natural food section two aisle ... not put process junk see enter crowded space ) , Trader Joe 's two block away , Nordstrom across street mall front Michigan Ave easy bus access , restaurant everywhere look . husband thrill Chicago Jazz Mart block away well exceptional use bookstore . spend much need mail thing home ? post office across street grocery store . not get well location . regard room , spacious , perfectly appoint , great city view , spotless day day . small complaint bathtub tiny kind lean back ... concave .... relaxed hot tub near pool day . also love business center three computer , printer , fax machine copy machine . wonderful ! regard noise , whole city noisy . 's Chicago . hotel restaurant , Weber Grill , attract lot lively traffic , every restaurant area . weekend crowd noticeably rowdier weekday crowd . sedate hotel retiree , know mean . ask room upper floor not hesitate call staff need assistance . great . 
 Jul 11 2009 	 staff go beyond make experience wonderful ! 	 family travel Frankfurt , Germany , want nonstop flight . use live Chicago , decide spend night Chicago fly Germany since could get nonstop flight Chicago . we priceline hotel get two room $ 50 / each . plan husband stay one room one child stay room child ( child 3 1 ) . inquire adjoining room , however , find able get adjoining room , make life lot easy . since flight Frankfurt next day late evening , ask arrange late checkout . helpful allow we stay 2:00 p.m. kid could take nap . when check , ask Kristy front desk way could arrange adjoining room we way back that . this potentially stressful trip we , make much pleasant small thing folk HGI will we . oh , room exceptionally comfortable well - appoint ! 
 Jul 5 2009 	 Thank Hilton magnificent mile 	 actually make pitch Oprah show meet first one convention room . wait - staff know , professional excellent business party . give attention HIlton famous chef excellent . front desk politely proficiently deal particular concern . international investor bi - lingual computer professional need , Hilton staff polite assist we . 
 Jul 2 2009 	 good value money 	 get pretty good deal hotel , overall pleased consider not pay lot . good location - Michigan Ave close many bar restaurant . grand subway stop locate right front hotel , add plus be to / from airport via train . hotel staff friendly . room clean . if be plan take late night dip pool ( i.e . last hour pool close , warning seem time many family take kid swimming ( maybe tire ? ? ) . hot tub not quite relaxing bunch 8 year - old splash around beside . : ( 
 Jun 16 2009 	 another great Hilton 	 great location go city attraction . great staff clean room great price 
 Jun 16 2009 	 Nice hotel great location 	 stay Hilton Garden Inn June 11 - 14th , 2009 . second stay location . first stay great well really like great location Michigan Avenue . hotel also EL redline , Grand Avenue stop . lot dine drinking option within walk distance too . check go quickly , line . room clean comfortable . good bed , hard , soft , sort adjustable feature , like sleep number bed , knob side , ' m sure really work . 17th floor much view ok we . room much . room good sized Chicago also . ( hotel room small . ) recommend hotel plan use public transit . fast easy use Chicago . take train Wrigley Field baseball game 2 day also Sears Tower Macy ' . also visit Frontera Fresco Macy 's ( State Street , 7th floor ) even see Rick Bayless stop check quick service restaurant ! unexpected ! ' ve see Frontera Grill Topolobampo night , shocked see ! also dine Shaw 's Crab House , good , though eat Oyster Bar , main dining room , bit loud atmosphere , food . also find great mini golf course Grant Park , fun , call Green Grant Park . get beer , play mini golf . enjoy listen Blues Fest act across street golf . overall , great second stay Hilton Garden Inn Chicago would stay . 
 Jun 13 2009 	 great location great hotel 	 conveniently locate . across street subway couple block Michigan Ave . bus . Nordstroms Bloomies nearby along kind great restaurant . room large clean . corner room lot light . staff helpful . Booked Hotwire $ 76 night delighted find great hotel . 
 Jun 9 2009 	 Sirens Night Long ! 	 stay previously without incident . last stay definitely last stay . awoken every half - hour siren . needless say , get much sleep . small problem , hotel room nice . 
 Jun 8 2009 	 next perfect . 	 plusse outweigh minus far . plus side : + immediately red line . could possibly convenient public transit . literally step away . + may even need subway hotel perfectly central & amp ; within easy walk distance everything downtown.+ fluffy bed contemporary meticulously clean room+ attentive cheerful check - in staff ( go extra mile we several respect ) + taxi stand one block away easy trip airport wherever else may headed . minus : - Breakfast Weber Grill mediocre good . be well walk block two surround restaurant . ( Gospel brunch House Blues , example ) - pool small . ( swim ? be Chicago ! ) - elevator wait time little frustrating - building could use one elevator . - little pricey , guess . hard say . long story short , lovely stay lovely hotel . will not hesitate stay . 
 may 31 2009 	 prepared pay LOTS ! 	 stay hilton part package deal . its nice hotel , clean 2 bathroom room , extras pay far high . parking $ 45 per day , $ 7.00 bottle water ! ! ! ! $ 12 internet ! ! pool close maintanance ask could reduction parking . laugh ! 
 may 28 2009 	 mixed begin happy ending : ) 	 issue make phone reservation receve email confirmation . decide call confirm reservation afternoon night schedule arrive , tell reservation name . come find , error somehow make book different Hilton . able come compromise , however . hotel conveniently locate downtown within walk distance many shop , restaurant .... hotel staff friendly accommodating . pool / hottub decent , although quite small . family vacation we overall impressed hotel . * TIP * Park car much cheap .... park near elevator parking ramp .... 's place valet parking ! ! 
 May 28 2009 	 great location ; mediocre amenity 	 stay overnight husband son . 's great location term near shopping bar restaurant . room okay wall thin . hear everything . 's nothing special much well hotel nearby , include Homewood Suites Embassy Suites . 
 may 25 2009 	 place suck 	 not stay , be well go adjacent hotel well hotel stay accommodate Hilton . Mariott Hampton well experience little money per night . paper thin wall everyone hear neighbor complain come back night . get one personal warning second time come kick force . literally hotel 30 minute tell kick . kick excessive force police try negotiate manager stick kick we . 8 police officer escort people quiet time officer come . worth cost people enjoy city even business trip since everyone hear everything . ' ve already tell sale force never book night instead , go Marriott . 
 May 19 2009 	 First Choice Chicago 	 whenever ' m Chicago try Hilton Garden Inn first . Best Location & quot ; L & quot ; , supermarket , Portillo 's ! room spacious staff great ! 
 May 7 2009 	 Prepaid Suite Reservations Room Inn ! 	 oh , disappointed recent trip Chicago . sister , daughter ticket Oprah Show . make reservation we suite Hilton Garden Inn , Chicago Downtown / Magnificent Mile . prepay reservation , want guarantee would suite . live Cincinnati , instead fly , decide make five hour trip drive . want suite could well place unwind . arrive hotel , give valet car , park . go inside check . greet promptly , give room key . go see little suite ! imagine surprise open door suite , walk tiny room two queen bed , consume room . immediately call front desk tell mistake make . bad sign - take five minute speak someone front desk . gentleman front desk , John , tell not suite reservation . tell write confirmation , prepaid - check - in person already note prepaid room . & quot ; John & quot ; say room good suite , happy . ? ? ? ? tell happy , three adult , advise three adult stay online reservation request , learn truth . suite take . tell John want find another suite another hotel . John say o.k . , ten minute later , call back downstairs , tell miraculously able get room Embassy Suites , lucky ! ! ! , three us head downstairs take Embassy Suites . jerk front desk go downstairs , try ignore we . young man check we ask we , & quot ; problem room ? & quot ; tell , & quot ; yes , not room , suite evidently give away , even though prepay suite . & quot ; young man apologetic , ask speak . rude guy , John , come , say , & quot ; Go Embassy Suites , turn right , block down . & quot ; mention pour rain ? ? ? ? walk rain , go check Embassy Suites . request credit card , give Amex , promptly charge & quot ; suite . & quot ; next day check , traipse back Hilton Embassy , luggage tow , re - claim car valet parking . nice , huh ? go back inside Hilton separate charge valet parking , can not seem get anyone issue credit suite prepay . call Hilton tonight , talk someone tell leave vm manager . leave vm , await phone call see remedy available . disgust hotel 's treatment guest . unbelievable ! eat two terrific restaurant , review separately . Weber 's Grill Shaw 's Restaurant / Seafood . Yummy ! 
 May 1 2009 	 main downtown 	 amazing deal $ 54 nyt , worth every bit . 
 Apr 15 2009 	 clean convenient comfortable Chicago 	 stay 5 night end March . price $ 98 night family . find maid service great- even pick kid 's toy / stuff animal lay around . buy day bus / train pass Jewel Osco across street easy get around . also join local science museum home get we free reciprical access Museum Science Industry , Field Museum , Alder planetarium , children museum Navy Pier . pros- Super location- within walk distance Mich. avenue , El train line right corner , bus stop close , grocery store many restaurant / shop within one two block . Valet parking high like hotel area self parking ( ) $ 29 day cheap hotel nearby . microwave refrig room . neutragena toiletry . flat screen tv . small adequate pool hot tub . business center free internet access come handy . cons- Suzette front desk not informative friendly not everyday either thankfully 2 3 elevator break Sunday morning try check -more 20 minute try leave building maid nice enough let we work freight elevator . 
 Mar 29 2009 	 overall great place 	 husband stay honeymoon - mostly catch Cubs game . mostly choose hotel proximity Red Line - directly outside front door . friendly check - in room clean spacious . bathroom great toiletry bed comfortable . pool small clean include hot tub . business center free internet valet guy outside always friendly helpful . one even walk pour rain 15 minute get we cab ! couple suggestion though : street noise might bother , request room high floor . continental breakfast , Jewel / Osco right across street ( great in - room fridge ) . parking also steep - $ 40 / day . 
 Mar 21 2009 	 Front desk attitude phone hung 	 run little late checking call front desk ask 30 minute check . woman front desk say pull reservation first . ask go pay valet parking ( never first place ) . explain self park , attitude tell hotel fully book take long 30 min . ( everyone really rush Chicago right reason ! ? ) anyways , say & quot ; thank & quot ; polite , hung . stay 2 day first night , room not clean late afternoon . also , first day find old drink refrigerator already expire . room directory outdate specific . 
 Mar 20 2009 	 Great Location Good Value 	 return night Hilton Garden Inn . pluse : be right Red Line make get around super easy . pool , though small , locate 12th floor great view city . room clean , fridge microwave . recommend Jewel / Osco mini mart across street State Street nibble morning bakery . minus ? room elevator ice machine noisy 's big city siren noise . ask room hall eliminate . 
 Mar 16 2009 	 bad hotel noisy 	 book hotel Priceline get good price 3 night . here pro : -nice small pool whirlpool - clean room - friendly staff - Business Center - Great downtown location right redline subwaycon : -No extra perk like free breakfast - room bit small - the major drawback sound noise . hotel hallway room door insulate hear everything outside room noise travel one room next via hall . bad part stay.-If noise issue resolve somehow would much well . 
 Mar 3 2009 	 Great Hotel ! ! 	 get back dental convention Chicago decide stay Hilton Garden Inn . let start say hotel perfectly locate heart downtown , close red line train , shop numerous great place eat . check polite fast . get room surprise clean modern room . flat screen T.V . king size foam bed , comfortable enough like bed firm side may like one . room also fridge microwave nice ! bathroom spotless ! two concern though , one common hall echo guest not seem think other one ' clock morning yell slam door etc . Second AC / HEATING UNIT keep come 10 15 second time night ! annoying ! loud ! switch ! first night go front desk notify problem send somebody room ( guess ) try fix , second last night stay problem happen . front desk staff ask problem fix say & quot ; & quot ; not seem care much . would recommend hotel & quot ; deep sleeper . & quot ; 
 Mar 2 2009 	 great location clean stylish room free Wi - fi 	 stay Hilton Garden Inn recently extend family weekend Chicago . definitely back . room great value free wireless internet great . room nicely appoint midrange chain update furniture , Aeron desk chair , comfortable bed clean white duvet cover , flat screen tv 's . ( see photograph ) extend cable line include HGTV . microwave refrigerator ( mini - bar ) room -- right across street grocery store . safe provide . wi - fi free work well . pool small whirlpool . fitness center contain basic machine ; sign door say free guest pass available Crunch fitness block away . parking garage right next hotel ... self parking 25 per day ... bargain downtown Chicago . hotel right River North district , two block Michigan Avenue . Close River North restaurant nightlight . near Nordstroms shopping . Weber Grill restaurant lobby . would recommend hotel . 
 Feb 27 2009 	 great location beautiful hotel room great value winter 	 enjoy hotel winter . location magnificent , 2 block Michigan Ave . , less 20 meter Red Line MTA train take virtually everywhere . nice view ( floor 17 ) . pool good also business center ( complimentary use pc printer ) . within hotel free wifi . 
 Feb 15 2009 	 average HGI Great Location 	 let us start new HGI mattress foam , offer little bounce , , overall stiff partially contouring . right alley , one comfortable bed Hilton chain , be soft bed sleeper be go real problem standard issue mattress every hgi.the room clean quality . noon checkout time significant perk we early riser . the front desk tell breakfast end 10:30 actually end 10 . something want find 10:05 a.m. not big fan Weber Grill restaurant , personally could bad dinner bad weather / late night . great location , helpful , polite front desk staff . while room wall soundproof , pass external door not . aside non function smoke alarm ( somewhat disturbing hang wall ) , average HGI not overprice great location nice view . one important note . room , dry . stay hotel require somewhat humid room either health reason cold , would recommend humidifier . 
 Feb 10 2009 	 Location Efficiency 	 book hotel Hotwire see could get room $ 56 night . reservation one Marriots decide save $ 30 difference per night . I Chicago several time stay different hotel , really enjoy stay . location well . walk everywhere . need get around , & quot ; Grand & quot ; station red line L literally hotel 's door . room clean , comfortable relax well work . heat work perfectly . front desk staff efficient . housekeeping staff extremely nice . one thing really appreciate room 's refrigerator , coffee maker microwave . grocery store across street . hotel walk : shopping , theater , Navy Pier , Park , etc . con : construction near , hotel block fire station , noise . lot guest realize metal door room probably require safety purpose need slam , hear people talk hall , specially typical scream child , hotel fault . I definitely recommend , stay . ultimate luxury , get work do flawlessly efficiency location reasonable price look . 
 Feb 4 2009 	 nice ! 	 Hilton Garden Inn pretty much perfect . staff friendly , room well appoint , location ( right next red line middle River North ) excellent . nice hotel not nickel dime - wireless internet access free . not need use 24 hour pantry lobby , glad . pool small , however , fitness equipment aging . overall great stay ! 
 Jan 28 2009 	 ordinary Hilton ... 's danger slip ... 	 sorry late review ... catch ... normally stay Intercontinental ( habit familiarity ) unable get ... book hotel nearby time . other write ( honestly truthfully may add ) location right . everything need doorstep ... shop , restaurant , red route , lively Rush Division , river . , cab ..... name . hotel ? ... say ... supply place sleep . be clean .. room bit hotel room ... service fine ... staff effeciently ... yes small gripe .. well tarvelle person little thing really rub ... .... seem wait eternity lift ... yes air con louder normal ... ... not bad place . Budget ` ` deal '' sway ordinary traveller whether he / she stay . luck timing depend whether stay good . 
 Jan 7 2009 	 Great Location .... Poor Service 	 let start say frequent traveler stay location various hotel brand around world . also former Hilton Diamond Member . I stay hotel many time year , last stay major issue . stay bad , Hilton send voucher come free night stay . let expire recently decide give hotel second try 9 night stay . Hotel Positives : great location . two block Michigan Avenue , 1 block State St. grocery across street , 1 1/2 block Starbucks , fabulous restaurant within 3 block . also , red line front door easy city transport . Hotel negative : customer service , poor room cleaning , poor management . before arrive , call tell manager last experience subpar come back would like smooth , stress free stay . manager offer honor free night even though expire . snapshot stay:1st night ; Heater break make clank noise every 26 second whole night.2nd day : hotel many key problem issue . enough send apology letter out.3rd day ..... okay4th day : verbally insult , lie , hung April newspaper . ask speak manager , refuse ... say could not leave note manager unless tell . Hung ! ! spoke manager matter , smirk unprofessional demeanor.5th day : room half clean . arrive night room dirty sink toilet , towel , dirty glass , toiletry . call ask , return receive towel , cup , bag coffee / cream6th day : return room evening find uncleaned room . towel leave bed .. bathroom.7th day : okay8th day ; Room partially clean . towel ! 9th day : Went check take voucher credit . two manager say would glad honor evn though expire . give Ronnie front desk , say would credit . two hour later , go check notice never take . say can not use , even though 2 manager say would take . ( offer , mine say expire ..... want SMOOTH stay ) . spend 1 hour arguing fact renegge . finally call Hilton Corporate , call hotel make credit voucher . after , never get formal apology never hear GM .... shift manager . poor service . yes , location great , Embassy Suites across street ( 1 block ) Homewood Suites 1 block well . stay one 
 Dec 29 2008 	 Excellent Stay 	 excellent hotel location . walk distance many attraction . close red line subway . $ 30.00 taxi ride Midway , always cab available outside Hilton Garden Inn . front desk people helpful . intelligent , polite knowledgeable . Portillos hotdogs / beef sandwich 3 block away . starbuck outside across street , grocery store across street . room clean nice , bed comfortable , tv nice flat screen . good place stay good rate . also PF Changs right . 
 Nov 26 2008 	 take slide quality 	 use favorite hotel Chicago . however recent stay issue cause change thought . you can not beat location block Michigan Ave . right across street Jewel / Osco grocery store . ton restaurant option Red Line EL stop right outside front door . they ' ve also do remodel new carpet wallpaper hallway . plus ' ve instal 37 & quot ; hdtv room . however standard definition , look bad . plus AC / heating unit show age . be hard maintain comfortable temperature plus extremely loud . plus internet ( wire wireless ) . front desk not apologize say would fix day . lastly get room service issue couple time even though go 9 am not return late . 
 Nov 24 2008 	 wonderful ! 	 book hotel base tripadvisor rec previous experience HGI . quite pleased choice . first , red line right outside door . Nordstrom 's leave full service starbuck right . within walk distance magnificent mile - an easy walk store afun walk Grant Park . the hotel room service small Starbucks downstairs . room nice size comfortable bed comfort adjustable mattress ( king anyway ) . staff veryvfriendly helpful . can not go wrong stay . 
 Nov 24 2008 	 great location convienent 	 return convention Chicago stay Hilton Garden Inn . read Trip Advisor tip happy hotel . take CTA train O'Hare ( blue line switch red line ) Grand Station stop right hotel . room perfect - microwave niced size dorm refrig . grocery store across street full size store ( vs convenience store ) able buy breakfast sandwich fixing stay - huge $ saving buying item convention site . nice business center 4 complimentary computer printer . able print concert ticket , direction , etc . nice . hotel short walk Michigan Ave ( 3 - 4 half block ) . look forward plan non business trip Chicago definitely stay hotel ! ! 
 Nov 1 2008 	 Love hotel ! 	 place stay Chicago sure . return first stay hotel . friendly staff , basic King room fantastic extraordinarily clean , bed super comfortable great view . get high floor possible . check early unexpected emergency home staff understand compassionate . Weber Grill Restaurant lobby good busy . get early . 
 Sep 29 2008 	 great stay 	 travel Chicago usually stay near airport cheap . decide stay downtown , Hilton good rate compare similar hotel . staff friendly efficient . room nice , kid enjoy pool make use whirlpool . self park next door validate rate $ 26 / day vs. $ 44 valet . hotel perfect location , near enough Michigan Ave walk , Red Line subway stop front hotel . would like breakfast include room ... draw back . 
 Sep 18 2008 	 great place stay ! 	 bad choice hotel downtown Chicago area - finally find one would return ! stay business Aug ' 08 Cubs game . book 3 room - 1 - 1 co worker - 1 customer . everyone please . super convenient everything . even subway right downstairs ( , normally , take cab Wriglyville - however , 5 pm tuesday know would take extra long traffic - highly reccommended ! ) restaurant / bar downstairs nice - everyone friendly . however , close fairly early . Breakfast include HHonors serve restaurant - lot choose ! room big , clean , modernly decorate . a++++ back ! 
 Aug 31 2008 	 great place price 	 hotel great location , close lot sight interest tourist . easy walk Michigan Avenue , Navy Pier , Loop , etc . Jewel supermarket directly across street well , need spend fortune morning buffet . clean hotel attentive staff . downside : parking cheap ( $ 26 w/o in - out privilege per day , $ 44 daily valet unlimited in - out ) ; pool quite small get crowd quickly ; room little small side . overall , good place stay near much Chicago offer . 
 Aug 25 2008 	 positive negative 	 positive : -- really good AAA rate downtown -- excellent location , right next red line train close restaurant , bar , N. Michigan Ave . -- friendly , helpful staff -- nice room comfortable bedsnegative ; -- careful reservation , rate guarantee # bed room . Desk say king bed initially fortunately able get 2 bed -- floor smoke non - smoking room . Hallway smell like smoke . -- elevator back time -- Lobby , elevator hallway warm humid -- internet connection never work 
 Aug 24 2008 	 Great Location - Nice Hotel 	 nice location , staff helpful , room clean . pool big plus . would definately stay . 
 Aug 20 2008 	 great location nice comfortable hotel 	 spend 4 day Chicago run Conference work Austin , Texas . ' ve hear lot people say ' oh 's nothing Chicago ! ' 's fantastic city visit ! prefer New York . 's amazing architecture high rise building , great shopping , park , Navy Pier , beach , 's great boat ride round Lake ... could ask . also travel alone find pretty safe , tourist bus good way get about . I choose Hilton pretty good hotel rate downtown Chicago central . want nice , safe hotel alone never Chicago . hotel perfect location , lot restaurant close cheap place eat - McDonalds street ! 's 15 minute walk Navy Pier beach Magnificient Mile short 5 miniute walk away . Lincoln Park zoo approx 50 minute walk . the hotel room fantastic , really big comfortable luxury bed - perfect . never eat hotel can not comment . downside hotel staff rude , every time ask get somewhere would snap back ' get cab ' helpful tourist ! not let spoil trip though ! would recommend hotel 4 day long enough spend Chicago enjoy city.have fun ! 
 Aug 18 2008 	 nice hotelgreat location 	 husband stay Hilton last weekend great ! hotel staff helpful give validation code parking save like $ 10 day ! room nice clean . stay 20th floor great view . location great - we walk distance shopping , millenium park rriver . take free trolley Navy Pier , bus Lincoln Park . not eat hotel restaurant ( Weber Grill ) always busy . would probably eaten one day , snag cheesecake take room one night ! overall great experience . would recommend anyone , couple family . 
 Aug 11 2008 	 bargain great location 	 stay month ago impress . 's hard beat place price location . room spacious clean , plus get free wireless . location excellent , couple block Michigan Avenue plenty shop great restaraunt around . go Rock Bottom Brewery across street food overall atmosphere good ( rooftop bar great summertime ) . not breakfast hotel staff recommend excellent place block away ( Mary 's Cafe ) definitely affordable . want go Navy Pier , hotel staff also recommend could take free trolley 2 block away . also get discount park garage attach hotel ( $ 16 remember right ) . overall , would definitely stay . 
