awesome 	 right Central Park - beautiful view park . service spectacular . not type bagel want breakfast , go Whole Foods buy . 
 Fantastic 	 Excellent respect exception extra charge internet exorbitant charge $ 16 bowel cornflake breakfast though include milk fruit garnish . spite grumpy old man gripe staff great , room comfortable well appoint , breakfast great ( civilised full service meal rather usual buffet ) . pool gym excellent . look forward next stay . 
 Jul 21 2009 	 one Best Hotels great view Amazing Spa Superb Location Dining 	 great hotel ny cheap . Mandarin great location ... Central Park , Near Midtown , crazy Times Square . mix business leisure trip 3 day . hotel service superb . Asiate restaurant top entire City accord Zagat good view decor ... . highlight : * room : grade : ... nice , new , great bathroom . Hudson River view , Central Park nicer , Hudson View corner room great we . surprisingly , upgrade corner room two sink bathroom . important , sure ask . shower great . ' ve NYC room size coat closet , king room comfortable . * Mini - bar : . ny , want Diet Coke quick snack , know people survive without nice mini - bar . great mini - bar water drink . expensive , yes , ny ! many hotel remove mini - bar , salvation want Diet Coke Snack odd time . * spa : A++ ... definitely one good urban spa anywhere . great hot tub / pool , steam room , etc . cheap , worth every penny massage service . * lobby : ... 35th floor , nice lounge area , clean open space . good lobby bar great view . * concierge : ... arrange kind stuff we . friendly efficient . * Room Service : a- ... generally great . food service excellent . * Asiate : ... great food , good view around . brunch reasonable . good wine . * Lobby Bar food : b+ ... friend mine eat lunch lobby bar . say good , item get cold . lobby bar next Asiate , probably share kitchen . sense food come kitchen much Asiate . review lukewarm food real criticism could find hotel . * location : A+ ... one good . * service : ... great overall . top , need . front desk busy sometimes , overall seem good full staff everywhere . Doorman concierge help solve lot issue . * : A+ ... hotel expensive . busy , need lot little thing take car ... hotel shuttle take we play rush book great ride airport Audi A8 . can not say enough small stuff . hotel LOT international guest Europe Asia . group loud young twentysomething sort group party make bit noise , otherwise great , quiet , professional - focused hotel . great business hotel great leisure hotel want near Central Park and/or great spa . return hotel soon . Mandarin go head - to - head Ritz Four Seasons bit modern Ritz . 
 Jul 18 2009 	 Mandarin Oriental - Excellent 5 - Star Treatment 	 spouse always afford least 1 , truly , luxury vacation per year ( Maui , HI ; Singapore , Jamaica , Mexico , Bahamas , Florida , Vegas , Tahoe . experience offer Mandarin Oriental top vacation ever take . staff genuinely friendly exceptional service . view room lobby Hudson River Central Park spectacular . hotel locate within easy entertaining walking distance everything Manhattan . subway entrance corner Columbus Circle . entry hotel also please away hustle bustle Columbus Circle many hotel Broadway , Park 5th Avenue venue . door - staff direct elevator 35th floor lobby , reception / check - in , room service , privacy service ; everything hotel gear great sincere personal service . prior booking , read review complain noisy Hudson River side hotel . request Hudson River side view find disturb noise whatsoever , room directly across ice - machine service elevator room . 51st floor could hear faint siren squawk every , large city U.S ; hear siren live Dallas , TX . , let mention sleep like baby ; bed linen luxurious , hairdryer real one attach wall , spa soap lotion divine - ' m picky / sensitive skin usually not bother complimentary item , put tired foot immediately notice high quality product . also , superior compliment room service ; find room late afternoon rest rejuvenate go back evening ; every afternoon plate basket delicious snack waiting arrival ( nuts , garnish popcorn , candy fruit , fresh fruit , chocolate , etc . ) - nice touch go cocktail , order room service every late afternoon point - arrive quickly , 30 minute order , within minute . breakfast room service pre - order night . Room Service within minute fine linen , cutlery china . coffee , Illy , one favorite . room - service phone staff courteous could actually talk listen ; never seem impatient hurried . Exceptional Hotel one worth spend money . 
 Jun 30 2009 	 fabulous Spa 	 spa day incredible ! ! service , treatment , spa facility .... could imagine well way spend Sunday ! ! ! ! 
 Jun 8 2009 	 zen functional 	 well put lotus flower plate room ( overprice ! ) functional , have rather . nearly enough cupboard drawer space , sofa backr sit read one chair . disappointing though lobby - nowhere sit rest except prepared snack drink . impossible pour tea without spill . positive side , find staff friendly helpful ( especially concierge ) room Central Park side quiet . good mark also bathroom enclose shower . contrary Mandarin Oriental Hotels ( e.g . Geneva ) would give one top rating would rather go functional yet cozy place . 
 Jun 1 2009 	 Mandarin Midst 	 Mandarin NYC midst midtown Manhattan . 's also & quot ; mist . & quot ; let explain : business NY , spend several day Mandarin -- include Saturday Sunday rehearsal early Monday morning pitch . downtime , able explore great restaurant Time Warner Center ( Thomas Keller 's place ) nearby restaurant ( Jean George ) . really treat Mandarin -- come & quot ; mist & quot ; part -- spa . able spend 80 luxurious minute MO spa -- include quality time mist amethyst steam room . massage completely relaxed ready pitch Monday . , Mandarin , midst mist ... not get well . 
 May 24 2009 	 simply well ! 	 stay Mandarin oriental 2 night May 8th 09 , simply good hotel experience imagine , word alone explain sheet delight standard hotel , attentive superbly professional staff amazing location across Central Park Columbus Circle . Book hotel disappoint , back long ! 
 May 2 2009 	 shangri - la 	 moment step cab Friday afternoon Mandarin staff make feel like shangri - La ! ! Suite magnificent view beyond compare . special requirement place continue entire visit . everyone Mandarin make feel like one family . Doormen , Concierge Staff , Housekeeping , Front Desk , Lounge Bar staff .... make feel like Queen ! ! ! not get well ! deal Media stressful one meeting Mandarin go without hitch extremely successful ! network executive first time hotel impress , relaxed happy ! ! 's Mandarin people .... be like oasis desert ! ! put smile people 's face see instant relaxation overcome they . I can not wait return ! one well Mandarin ! ! 
 Apr 9 2009 	 one great hotel 	 third trip back Mandarin Oriental New York . stunning view Central Park , great location excellent staff keep come back ! 
 Apr 8 2009 	 stunning view great location wonderful service 	 stay celebrate wedding anniversary , leave child home . hotel put we top floor premium park view suite , reasonable rate . day arrive give we complimentary champagne chocolate - dip strawberry ( personal favourite ) lovely touch . suite lovely far well average bathroom NY hotel ( bath usually like large sink ) hotel staff high quality every department , service level not experience NY hotel . spa great , though expensive . location Columbus Circle better opinion . the food disappoint comparison Mandarin Oriental hotel . room service ok great . lobby lounge ok , great . choice lunch dinner dish limit ( though breakfast excellent always NY ) do not find Asiate innovative , inspiring , really rather boring ( taste menu ) . ' ve Fat Duck similar Europe restaurant disappointment . ny tendency ( like neighbour per Se ) elaborate preparation food without really achieve anything remarkable . present obsessed provenance ingredient - not really care mushroom come grow taste bland .... next day could not remember would eaten . bright side , room spectacular ( & quot ; wall wine & quot ; particularly impressive ) .i stay - room , service location . probably eat outside hotel . 
 Apr 3 2009 	 Exceptional Service 	 visit MO bar quiet drink dinner . Fernando waiter perform exceptional customer service . colleague request item menu Fernando immediately offer check Chef indicate would problem . timing , quality professionalism staff bar memorable . also Hospitality Industry like acknowledge great service . thank Fernando . 
 Mar 9 2009 	 good hotel NYC 	 love Mandarin NYC . could afford live , would . service , room , spa , workout facility : whole place phenomenal . room service meal one well meal life . staff amazing , kind , helpful . downside price , get pay . 
 Feb 6 2009 	 Great - espensive -worth time ? 	 great hotel - expensive - worth time ! ? pay almost $ 3,000 per night 1 suite & amp ; 1 connected room - great accomodation . everything hotel great - wonderful view ( gwb 1 room , Central Park sideway another ) , everything perfect . employee extremely accomodating , couldn'nt ask . also great location - Columbus Circle lower west end Central Park - can not beat ! go stepdaughter birthday - love pool ( not like fact spa / whilpool unisex ! ) , birthday cake check . great time , ? $ $ $ ( NYC ) . really want celebrate , ! ? ! ! ! ! 
 Feb 3 2009 	 Flawless ! 	 stay Mandarin oriental birthday weekend end January beyond perfect , magical ! luxury hotel tend feel stuffy old , whereas Mandarin oriental modern , warm . asian influence everywhere , always tasteful never overdone . like hotel suite comfortable feel everywhere . check - in check - out , always make feel like king . the 35th Floor Lobby exquisite . Front Desk staff friendly , accommodate , genuine . nothing script fake anyone come contact ( something find obnoxious hotel ) . one bedroom , one half bathroom suite stunning . bedroom exceptionally large 2 closet impressively spacious . next large picture window beautiful chaise . bed comfortable ask non - down bed , bring instant . main bathroom humongous ! long room . love flank bed ( door side bed ) . rain showerhead " fresh " product lovely soak tub , sink , swivel TV.I ' live New York City life , stand floor - to - ceiling window , 53rd floor , unbelievable view Hudson River , Central Park , Columbus Circle renew love city – could imagine awed out - of - towner must be . dinner Asiate event . sit one window seat overlook park beautiful view eat impressive dinner . restaurant deserve much attention receive . service impeccable food world ( ' still dream lobster risotto dish ) . Lobby Lounge equally impressive , obviously casual feel . ' always apprehensive pay $ 15 cocktail , apprehension disappear first sip beautifully craft " Baby Buddha " .Overall , think Mandarin oriental good hotel New York . ' different . , good way . 
 Jan 22 2009 	 Pure Luxury ! 	 not usually stay hotel like , glad time ! fab central location , great view , everything room top quality nothing much trouble charming staff . spa facility top notch , although treatment bit pricey . swimming pool sauna great lovely product use change room . look forward next visit already ! 
 Jan 8 2009 	 Perfect Honeymoon Hotel 	 stay Mandarin 15 – 20 September honeymoon absolutely amazing . book Internet Rate pay $ 815 dollar / night plus taxis . arrival receptionist upgrade we Grand Deluxe double room 40th floor ( website say room floor 43 - 54 sure downgrade we ! ) Premier Hudson River View room 53rd floor . room amazing , exactly picture depict website , spotlessly clean , well appoint fantastic view city River Hudson . bed super comfy . excellent sound system , ' really use tv ' comment choice channel . ' room 30 minute complimentary champagne chocolate cake arrive , delicious . housekeeping turndown service excellent . order room service couple time exceptional . breakfast room adequate ' think usual Mandarin standard . ' much need use concierge helpful efficient . bellman / doormen friendly . ' time eat Asiate wish . cocktail mini burger ( together ! ) Lobby Lounge , burger great . hotel location excellent we , quietish area edge central park 10 minute walk Times Square . ' much business hotel people may feel ' bit ' clinical ' , staff great love . 
 Nov 22 2008 	 try hard like place 	 previous trip stay another 5 star property town , keep find Time Warner center dinner , drink , walk park etc . therefore , think , try ? disaster , nothing particularly bad hotel , come across dissapointigly average . park view terrific . service friendly . overall experience feel like convention Hyatt . 's nothing wrong , dissapointe expect five star experience . fifth star detail , that s hotel lack . service , finish room . problem come build . even though hotel couple hundred room , definitely feel like be massive structure . everything , spa business center feel like mile away , random corridor . example , entrance gym locate outside ballroom area : good , walk dark empty banquet area piano cover corner , could not help think alternative room use , would make way black tie affair sweaty workout clothe . one afternoon return room find maid cleaning room , notice tv turn watch soap opera . little thing like give impression little oversight small detail management . area rug lobby ugly rubber band around like airport would , tile fixture bathroom , attractive , look cheap institutional . room office - chic feel , like first class airport lounge . nothing wrong , certainly height luxury one might expect . 
 Nov 19 2008 	 good NYC 	 second stay Mandarin Oriental . first stay Central Park view suite . time Central Park deluxe room . everything remain excellent excellent amenity . actually , certainly good hotel New York bellman staff spa , restaurant , concierge even whole security . yes , cost location well , worth value . 
 Nov 15 2008 	 Service snarl 	 Date : November 14 , 2008I stay Mandarin Oriental New York previously pleasant stay . time , however , typify attitude Maitre cocktail lounge . ask seat tell , arrogant superior demeanor , would twenty twenty - five minute wait . despite many table obviously vacant . tell could wait bar , . thirty minute later Maitre never come we , approach tell would still wait . , many table open . finally hour later , never hear Maitre , leave . note table lounge still vacant . attitude staff lucky . price economy , continue attitude lucky . 
 Oct 17 2008 	 Nice view centre 	 hotel offer usual Mandarin oriental high standard find throughout chain addition offer wonderful view across Central Park ( albeit uninterupte ! ) . do not manage make breakfast . room service good although clearing tray room take hour . uncomfortable hotel distance 5th Avenue . yes close theatre shopping & amp ; dining option downstairs ( hotel high level Columbus Circle building ) stroll 5th & amp ; stroll back shopping bag . Ritz Plaza beat location though . bar though great place meet & amp ; enjoy view . also unusual hotel ' start ' lobby 35th floor . 
 Sep 30 2008 	 simply good city 	 first review write hotel city . wonder not , answer come none & quot ; house & quot ; excited enough spend time writing . include Marquis , Waldorf , Michelangelo Trump . & quot ; ok & quot ; always something quite right . the Mandarin epitome luxury . staff , room , name ; nothing positive comment . we book premier park view suite happy size view ( obstruction Trump next door , hey , New York City ) . also , book Spa vip Suite rainy Sunday afternoon . oh god ! couple grand pocket would like spoil partner , way ! every night leave hotel dinner hotel car available ( although realize luck timing ) . stay next trip probably try Mandarin property . ok , one negative ! bar close come back hotel 12:15 dinner . however , nightcap really need anyway ! 
 Sep 30 2008 	 so - so hotel 	 stay Mandarin Oriental New York five night . yes , be pretty hotel nice location . spa good terribly expensive . disappoint service . every morning room service get breakfast order wrong . new mistake every morning . quite annoying wait get order right - every day ! least get dinner right . several time call housekeeping ask something deliver do room , forget make mistake bring wrong thing . several occasion concierge forgot call back find thing . also provide address several shop , provide map , side street , open hour . help find several thing easy . , hotel provide type service one would expect five - star expensive hotel . 
 Sep 27 2008 	 worth price 	 stay 1 night mandarin oriental Central Park view room . really look forward stay expensive hotel room ' ve ever stay ( $ 1279 per night ) , expectation high . prior stay MO already stay 6 night NYC mid price hotel around corner treat . honest bit dissapointed . yes room overlook central park good proportion view obliterate Trump tower build right front Times Warner centre ( MO house top floor ) . also already see view Central Park Top Rock already ' spoil ' - probably book room first last night NYC . Room nicely furnish surpass 5 star property pay much less room . tv infuriatingly difficult operate want browse 100 channel . Breakfast Asiate divine - great service & amp ; food highly recommend . check service helpful , efficient & amp ; friendly professional would expect hotel calibre . hotel suit business people much tourist not much holiday atmosphere . use spa pool / fitness centre . great shop & amp ; dining option Time Warner building . 
 Sep 26 2008 	 simply lovely 	 stay New Years amazingly romantic stay . booked room tub view city . take bath view room service champagne chocolate cover strawberry worth . pool room nothing exciting spa def worth visit . massage ok good part spa experience steam room lounge amazing view park city . bed soooo comfortable . course room small side that s get nyc . even though room small everything would need top hotel . visit nyc location great especially holiday . hotel restaurant bar worth go well . 
 Sep 6 2008 	 Disappointed 	 choose hotel base recommendation site . either ' m hard please really bad luck experience . book wkd trip mom suite - town see oncologist mom . frequent many hotel globally , luxury otherwise , disappointed . door staff , represent first last impression terrible not even come close mid - level hotel , let alone 5 - star hotel like Four Seasons Ritz . multiple occasion , ignore we busy socializing , blackberry ( unbelievable ! ) , favor guest . take many cab get assistance ask doorman ( try hail cab without success right front ) - doorman busy blackberry / phone make we feel like rude interrupting . Doorman hold open door sometimes , seem like feel like - not matter luggage , inconsistent . promise checkin room 30 min arrive , take 2 hr lunch surprised say room still ready return - yes hour early not tell we ready early will not ! welcome need especially due mom 's fatigue . least treat we drink bar - still mom want rest . leave hold one night ask concierge info - forgot call back get assistance someone else . upon leave , ask address phone number Fifth Avenue store - concierge give we wrong information ( address not exist number corporate office , retail store ) . end get lose call husband back home navigation assistance - end walk quite distance find store ( , good mother ill ) rush purchase make airport time . conceirge could find info , could least tell we rather give we bogus address Fifth Avenue even exist . hotel try compensate bad service charge we balance breakfast package include . even not communicate well different message communicate different people . like spa amenity include suite rate - steam room good . ' ve nice spa . location good . room nice love bedside read book supply Fiji water . view Asiate beautiful . surprised newspaper include spa certificate pretty much useless . travel alot business hotel NYC would return hotel . first Mandarin oriental hotel stay - always prefer Peninsula luxury hotel asian flare . not choose stay time spa / gym renovate . overall , extremely disappointed stay many front . could stay Sheraton would get well service ! 
 Sep 1 2008 	 Mandarin New York Great experience 	 word say rate great experience Mandarin Oriental New York . couple night end July 2008 . book simply superior room main Hudson view . room huge nice lot useful tech advantage feature . bed comfortable despite really soft pillow . bathroom perfect size nice . service absolutely fantastic , nice view also Central Park room view . enjoy wonderful breakast ( also service little bit slow ) Asiate Resturant . unfortunately use spa service . , one good hotel New York right , also expensive . really like new High Tech hotel Mandarin opinion true perfect layout . additional , check check perfect quick , well room service . Bravo Mandarin ! 
 Aug 19 2008 	 Engagement 	 last weekend , propose girlfriend stay two night Mandarin Oriental . far good hotel stay New York . receive complimentary upgrade staff absolutely perfect . consider hotel previously stay include four Seasons , Waldorf Astoria , Meridien , Hudson Alex absolutely delighted decide Mandarin Oriental . expensive special weekend offer occasion really live expectation . could fault hotel staff way make day special . think come back important anniversary . absolutely worth spending bit stay special place magnificient view bedroom , complete peace mind relax set get probably good service New York . 
 Aug 11 2008 	 Fantastic hotel ! 	 Mandarin Oriental NYC fantastic hotel . stay executive suite face Hudson river ( view living room ) still view Central Park Bedroom / Bathroom . the suite tremendous woaw factor , good city suite ever try , even big . however please note service level Oriental Bangkok ( flagship MO group ) . small detail improve ( butter miss breakfast , trash empty every time night service ) . fortunately small issue tarnish experience . we use concierge service many time : - magical private helicopter ride book Helicopter Flight Services , Inc. , - reservation one good table Del Frisco 's Steakhouse 6th avenue , - transfer limousine from / to airport ( 205 usd JFK 180 usd JFK = & gt ; nice helpful chauffeur know city avoid traffic ) , - etc . we also try swim pool & amp ; Spa ( 36th floor ) . therapist smile , professional . use vip spa suite delightful . allow enjoy time private steam bath , finish light dinner . feel completely take away city bustle . regard location everything already say . direct access shop Columbus Circle ( Whole Foods Market basement lunch / dinner fair price 11 pm ) . many subway line stop Columbus . AMC Loews Cinema imax 15 minute away ( walk ) , like boutique 5th avenue Times Square . 
 Aug 3 2008 	 # 45 ? ? 	 ok , hotel 45th good hotel NYC ? argue # 1 Mandarin Oriental always conversation . the staff impecable attentive . lose luggage flight LAX concierge make sure American get promptly , not need thing . my room amazing view Central Park meal Asiate good ny . yes , property pricey , Manhattan not ? business trip , especially business Time Warner , place hard beat . 
 Jul 28 2008 	 Wonderful Anniversary Stay 	 stay Manadarin past weekend . celebrate 25th wedding Anniversary staff hotel create exceptional expericance . moment greet doorman moment say goodbye last day , cater royalty . staff pleasent . care accomadating . location good Manhattan , hotel beautifull . well organize , situate classy . room fabulous , stay Hudson River View room , , everything bathroom , bedding view perfect , like image theweb site . Lobby Bar great relax spot dinner & amp ; theatre evening . all staff excellent class & amp ; service top . 
 Jul 27 2008 	 truly good hotel NYC . 	 ' ve stay many luxury hotel NYC around world include luxury masterpiece & quot ; Burj Al Arab & quot ; Dubai . the Mandarin oriental superb . beyond style accessibility , important factor consider rate property service.the service Mandarin Superb . one well rival time spend Four season . if be go NYC , NYC right , stay Mandarin , every whim address focus task hand whether pure pleasure business . 
 Jul 25 2008 	 ' unobstructed ' CP view ? ? ? ? ? 	 great stay Mandarin Oriental ... might prefer Trump tower next time .... ? like unobstructed view Trump Towers obstruct CP view big time ... prefer first row next time . sure Mandarin Oriental 5 - star ... somewhat overpriced . 
 Jul 24 2008 	 Best Hotel New York far 	 husband try various hotel Manhattan order find perfect one we . far good . view Four Seasons service Saint Regis roll one . book Central Park suite disappoint . bedroom completely shut living room 's dark quiet . sleep well home . bathroom quite large double vanity sink , private toilet room large soak tub . also nice shower . also powder room entrance foyer guest . happen nearly 100 degree every day nice indoor shopping center first three floor Time Warner building without go outside . also eat dinner Asiate fantastic . room service impeccable not send waiter back forget item - first . plasma living room bedroom well . staff extremely friendly . 
 Jul 23 2008 	 fantastic stay 	 husband stay 3 nt birthday . worth every penny ! moment arrive , moment leave , everything wonderful ! hotel upgrade we Hudson River View Room , cake & amp ; bottle champagne wait we bday . since not drink , thank bellboy & amp ; send champagne back . come back 10 minute later tray full fruit extra bottled water ! service excellent ! everyone work hotel gracious hospitable , always smile face . decor beautiful view hotel , stunning . room well lay great view . love rainshower head ! facial & amp ; massage spa . although expensive ( place ' ve ) , service excellent . not think ' ve great massage long time ! dessert & amp ; coffee lobby bar one night . dessert great , view ( esp . night ) great ! location good . could walk pretty much anywhere midtown . anywhere else , would need cab . also , since shop & amp ; restaurant right hotel ( Shops Columbus Circle ) , convenient grab coffee snack , even meal . all , great hotel would definetely go back heartbeat . 
 Jul 14 2008 	 21st birthday blowout ! 	 go October I m sure service have not change , say hotel stunning . book Quintessentially / Carrier make stay perfect . room style perfection . love modern hotel , limestone bathroom rainfall shower huge bed uber luxurious long weekend . the room well equip tantalise mini bar stack goody like jelly bean , room service breakfast quick though little expensive delicious . ( pancake ) also birthday bring tray goody like chocolate dip strawberry goody , small detail make trip memorable . we use concierge , recommend great place food , staff door man reception charming helpful . also dine Asiate , say WOW ! feast asian style lobster chocolate fondant ( still dream dessert ) Pricey yes , fusion good view miss , give little birthday cake creation . all , true 5 star hotel . weekend luxury , would stay MO . 
 Jun 25 2008 	 excellent experience Overall . 	 stay hotel try hotel . indoor pool great size . gym little small side , well equipt . service since arrive amazing . hotel spotless clean . staff excellent . spa treatment receive good , great . hotel spa always super expensive , thought would try facial massage . massage great facial 7 scale 1 10 . good waiting area spa water ever . room small many chair . take extra chair room . bathroom nice shower excellent . room overall , besides crowd furniture , excellent clean . bed comfortable , sheet soft . lucky , see couple famous face lobby . food good . would stay . 
 Jun 21 2008 	 Magical Mandarin 	 Mandarin Oriental NYC absolutely gorgeous , 5 star hotel ! husband stay night grad school graduation completely blow away immaculate facility , incredible location , over - the - top friendly attentive customer service . every staff member meet Mandarin oriental genuine smile face . location hotel beat visit city . live New York City three year , work 5 , still hang city several time month . Columbus Circle , Mandarin 's location , want tourist native New Yorker look amazing stay . right hub major subway line , short walk downtown Times Square , 5th Ave Shopping , Museum Modern Art , short walk uptown Lincoln Center , Tavern Green , delicious restaurant Upper West Side . bit less hustle bustle midtown hotel locate 30 40 ( street ) . room spectacular view central park upper west side - room view hotel lobby start 35th floor . go Mandarin splurge ! 
 Jun 21 2008 	 Loved ! 	 much deliberation , book hotel husband 5 day stay . it leave tear four Seasons . enjoy decor ambience Mandarin much . view incredible . Hudson River view room lovely . washroom meet exceed expectation big concern stay four Seasons . truly everything room perfect fault . cleaning , turn , love come back enjoy say lot hotel room . public area top term decor view . Service Lobby Lounge awful state previous review kind let go 're happy enjoy view . it be bit nuisance take two set elevator get room , get - fast . elevator efficient smooth . we find doorman , front desk , concierge staff outstanding . offer ride hotel car number occasion . the spa insanely expensive mean insanely expensive , luxurious spa ' ve ever - oddly reception staff spa great term service competence . would ? , think would spend four figure dinner somewhere new handbag . Glad try though . when book hotel get confirmation little worried - thing seem somewhat unclear disorganized , deal directly hotel concierge extremely happy every level . my personal preference location FS term shop Madison etc . , enjoy mall Mandarin would perfect place stay - also be convenient subway priority . summary , FS washroom probably bit well , much , room decor ambience Mandarin well opinion ( big - well ) . location personal preference . service almost good FS , say 's easy overlook shortcoming be happy many level . give try ! would absolutely go back . 
