excellent 	 wife truly enjoy recent stay Sheraton Hotel . value money outstanding - know price pay reflection current difficult economic condition really worth much money . room facility comfortable become home week constant activity . look forward come back room every evening , & quot ; island tranquility & quot ; , overlook river quiet . front desk housekeeping staff make we feel like special guest every day . really like free internet access link café ; complimentary Starbuck 's coffee Tazo tea generous welcome amenity . every hotel employee meet helpful pleasant . love central location stay Thanksgiving Week hesitate return hotel next opportunity present . much could say little thing make stay enjoyable , obvious staff training attention detail well intangible , & quot ; positive attitude , pride willingness please customer & quot ; evident throughout facility . 
 Oct 8 2009 	 room view 	 recently stay sheraton chicago hotel tower . go anniversary . hotel clean room nice . check early , 12:30 , give we room right away . ask king give we great room , view chicago river . pretty night , look river light . hotel step away Michigan ave . like stroll Michigan ave . shop people watch . dissapoint . drink bar , go dinner . martini 's great , little strong . need one sure . hotel big little impersonal . need nice , clean hotel close Michigan ave . , hotel fit bill . get great deal priceline , stay . bed comfortable . 
 Oct 8 2009 	 solid hotel ! 	 customer service wonderful hotel . check front desk hotel full capacity time , immediately give free upgrade smile . room immaculate . bed heavenly sleep , important business trip . staff friendly . overall , pleasant experience . 
 Oct 8 2009 	 Nice hotel lay back atmosphere 	 hotel lobby quite nice , check - in go smoothly quick , restaurant breakfast buffet worth hefty price . Chicago Burger Company restaurant site though leave lot desire though service . leave get waiter even come table take drink order 20 minute go across street irish pub . place really service - orient , food great ! 
 Oct 8 2009 	 central location ok room 	 stay one night business . decent location , easy get cab , ok service . recently stay W hotel , room seem little tired compare room W. Avoid Burger & quot ; Restaurant & quot ; low level - 's complete ripoff . $ 10 burger not even get fry . 
 oct 8 2009 	 beautiful view . block main attraction . 	 stay one year anniversary Club Level . likely could get great view even not Club Level . snag along way eager fix polite . I would suggest stay ! 
 oct 2 2009 	 2 night W hotel Chicago nice hear night club elevator 	 Chicago conference . week busy Starwood hotel , could not find anything downtown Monday , last day . book aloft O'Hare , really not want commute back town . day check , able find reward night open . honestly , not even consider Sheraton , not familiar Chicago , not seem close conference actually ( Hyatt Navy Pier ) . balk 10,000 point , decide not want commute ... way stay another W Hotel trip ( 4 night , 4 different hotel ) . Sheraton want traditional elevator music , haha . the Sheraton Chicago Tower clean impressive moment walk door , hold open doorman . Alex friendly check - in , put we SPG floor , 30th . immediately crash familiar comfort Sheraton ' Sweet Sleeper ' bed . really comfortable , Shine Bliss bath product nicely scented . retreat pool find locate overlook river , along exercise facility . sauna locker room well maintain . hotel easy , comfortable walk thing MI Ave . Taxis available lazy . wish could remember lady 's name concierge desk , friendly helpful arrange airport transportation . like : sheraton reliability , comfortable bed , great location , viewdislike : small room double bed , club access unless platinumoverall : hotel recommend parent 's visit Chicago come . business traveler , family , wear glamouratti enjoy sedate nature hotel . sometimes ... not want party follow back hotel . 
 Sep 28 2009 	 not care leave 	 Booked Hotwire O.K . . decent room . good view . great location . Got home find $ 5.25 charge credit card statement . small amount call could get anyone account . leave 3 message 2 different people receive reply . send 2 Emails receive reply . either place inefficient system communicate customer simply care . I would suggest hotel anyone problem seem impossible talk anyone . 
 Sep 24 2009 	 AMAZING ! can not wait return Sheraton Towers ! 	 much use TripAdvisor travel tip , first time write review - 's Sheraton Towers deserve glow remark ! one word , amazing.there thing not like hotel . the Sheraton ' location everything long weekend Chicago could well . walk distance bar , restaurant , Miracle Mile , Navy Pier , Grant Park , bicycle rental , shop ( Nordstrom ! ) , everything ! moment enter spacious , well - appoint lobby , knew make good decision stay - away - from - home . our room one nice ' stay year , comfy bed view extend mile across Lake . hotel roomy , clean , cozy ... everything cater make visitor ' stay everything would want be . although Starbucks coffee Tazo tea room , opt enjoy coffee DELICIOUS apple scone morning coffee bar 2nd floor . imagine , foot hotel , enjoy breakfast love one next river , listen waterfall fountain foot away . breathtake . relaxed watch tourist go ferry . good turkey burgers / turkey burger salad downstairs burger joint , delicious drink lobby bar start evening . we really could ask well hotel would even question stay anywhere else city . we ' ve make promise return kid soon stay Sheraton Towers . can not wait ! -The Chatfields , San Diego 
 Sep 13 2009 	 location Location LOCATION ! 	 reserache trip month . Chicago want make trip even well . pick Sheraton location almost everything need . bus tour acrtually stop , bike tour within walk distance mag mile , tribune building Navy Pier . mean cheap accomidation would pick other . staff friendly , hotel resteraunt go weregood eat breakfast buffett splurge last morning fantastic- would definantly use again . the ony draw back burger joint low level attentive sidewalk customer indoors- go ask folk behind counter take order wait 20 minute server . seat we well , apologetic return get attention . our room nice- reasonable , might upgrade nesxt time lake view ! pierwithin walk distance rivi view fine . 
 Sep 11 2009 	 great Location stunning view 	 hard find fault Sheraton Towers compare price room hotels location classification . firstly location perfect within walk distance Chicago 's ' must go ' area ' Loop Magnificent Mile . hotel staff friendly helpful , personally find bed comfortable view River / Lake / City simply stunning . if tired evening not want venture far steak house burger locate hotel pricey quality good Irish Bar right next door hotel . 
 Sep 9 2009 	 great time . 	 hotel fantastic . service good . thing not like bed . weird must thing call memory foam . like hard bed one sink . 
 Sep 7 2009 	 Average Hotel 	 would agree not think hotel . would also agree think hotel ok . depend u want u spend . well choice . would stay . pay $ 200 nite club floor . not worth . room old update . strangely configure sofa infront window limit stand front look . ceiling low room little dark . parking $ 50 nite valet ( way parking car curb etc . would not let near car ) . self park $ 35 nite remote lot hotel . count six separate hallway old elevator get self lot . car cover black soot three day there . the & quot ; Club & quot ; level include free wired internet room work ok . club light appetizer bottle water available . could ask pepsi . wine $ 8 , beer $ 6 . room usually hot , first day pack . would not pay extra service . club level hotel card key restricted elevator . many hotel town choose could find something never well one . get good deal fine , worth pay plus parking . 
 Sep 2 2009 	 Overcharges glore poor business center low speed internet 	 frequent Sheraton hotel around US rest world . one worse suited business traveler . first , hotel multiple billing error , particularly odd error favor , result substantial charge . lead half hour haggle checkout charge remove . second , although office alert business center advance expect delivery several package hotel , package go missing , one 36 hour . audaciously , hotel slap $ 5 charge per package receive , despite trouble suffer . third , internet speed unacceptably slow , hardly suitable check email . online support scold we try download file use service , pay close $ 100 . - serious disappointment , hassle , expense . 
 Aug 29 2009 	 Good Value Good Location Decent Quality 	 stay one night quick work visit . got good deal hotwire.com normally stay Hyatt across river rate $ 100 expensive would definitely recommend Sheraton Hyatt . 
 Aug 25 2009 	 Fantastic . not let poor review scare . 	 book room Chicago Priceline , get fantastic rate nervous see Sheraton . I read review assume headed nightmare . well , so . ok , let us realistic . nice hotel ? sure . Sheraton . 's big 's big chain hotel . not let review scare . wife like enjoy nice hotel really enjoy Sheraton . fact , much another Hotel stay Chicago rate WAY high TripAdvisor . first - location amazing . second - bed fine . fact , have willing say bed comfy . never sleep well . soft also nice . third - hotel large look bit run hallway , be old . room fine , big flat screen tv , amazing view . 's cheap folk , see lot people pay $ 60 - 70 priceline complain ... well be wrong . want pay fine Hotel , not use priceline . love priceline take give issue . $ 75 buck night weekend Chicago decent quality Hotel location like Sheraton 100 % no - brainer . fourth - staff . awesome . get early check - in problem 10AM Thursday morning . concierge awesome . go extra mile answer question have . Fifth finally , Hotel super quiet . mention , stay Hotel rank much high Michigan Avenue WAY louder . could not hear peep Sheraton . , keep mind hotel much large many small boutique swanky Hotels , lot people , kid , family . issue all . con - Parking Chicago suck everywhere . prepared pay 35- $ 50 buck night . check noon leave next day 12:10 - prepare get nail extra 10 minute . find cheap parking Park last day take cab get , end pretty much work anyways . do not worry booked hotel , be fantastic really can not get well location . 
 Aug 25 2009 	 Sheraton Fine 	 location good factor - block Navy Pier , Michigan Ave , park .... great . staff wonderful helpful . negative room bit tired term decor , particularly bathroom . 80s/90s style tile fixture . update would order . although clean fine , ' ve find moreupdate hotel price . 
 Aug 23 2009 	 nice hotel 	 return quick Chicago trip stay Sheraton . spend 3 night find hotel nice . will give quick review area interest , concern . bed : concerned read review miserable . find bed nice . certainly slab concrete ' ve find many hotel neither broken , sag middle bed one might find super cheap hotel . husband , bad back , find comfortable . slight & quot ; & quot ; side bed would sure nice hotel offer double bed hotel queen rather full size bed . sleep king home double quite small two us - family room queen bunk bed ? sure would make take kid vacation pleasant . location : fabulous - easy walk Navy Pier Millenium Park . walk least twice . be summer , not miss Navy Pier firework We d & amp ; Sat . go Wednesday definitely hit . nice view river downtown room . ROOM / CLEANLINESS / etc : room average small standard hotel room . not spend much time room fine certainly not huge . love view . additional chair sit watch window might nice two bed , would tight fit squeeze another chair . room certainly clean enough cleaning staff encounter friendly . complaint size cleanliness . STAFF : not interact staff much person check we nice . las night go bar hotel ( Java think ? ) drink take 2 young child . waitress nice even bring complimentary Shirley Temple kid . thrilled certainly let we enjoy drink expect . we would happy stay Sheraton future be Chicago . 
 Aug 22 2009 	 Great Hotel Great Location 	 get back week Sheraton say great ! room spotless , bed fantastic love ! employee 's nice , housekeep wonderful great job ! love location 10 minute walk Navy Pier short walk Michigan Ave shopping ! Hotel Shula 's Steak House lobby . free computer available 8 . concierge floor club great . prefer Westin MI Ave offer club get breakfast appetizer night . guarnteed back ! thank Sheraton wonderful stay ! ! starwood Platinum member ! 
 Aug 17 2009 	 great hotel really enjoy ! 	 fortunate get hotel Priceline $ 75.00 usd . staff nice room clean roomy . although other dislike bed , big fan . love sink softness . like hard bed , . son husband enjoy pool . view pool great ! view room awesome ! wonderful look river dowtown night ! hotel within walk distance Navy Pier great shopping restaurant . would recommend go Fox Obel Marketplace / Restaurant three block away . reasonable price . able check early bell hop keep luggage time catch train . , family give hotel thumb ! 
 Aug 15 2009 	 Sheraton Chicago - outstanding location issue 	 Read review . find issue . large convention style hotel . stylish , well maintain , professionally staff . many aspect , elegant hotel , well maintain . the location north side Chicago river , technically across river walk . take escalator lobby level , guest walk right onto attractive riverside plaza walkway , run Lakeshore Michigan Avenue . easily walk Michigan Ave cross side extend much east . beautiful fountain ( Centennial Fountain ) yard away hotel , pleasant bench couple restaurant outdoor seating . short walk away docks river tour boat . enjoy one hour & quot ; architectural & quot ; cruise lot expect - get great view major building . the proximity river plaza area big plus view . section pretty uncrowded sedate , offer stunning view river . warm weather , make downtown location totally pleasant . particularly enjoy drinking morning coffee reading half hour one & quot ; life good & quot ; moment watch resident nearby condo jog , walk dog such . the hotel amenitie first class , not mind pay $ 22 breakfast buffet ( example ) , quality good , stylish tasteful decor . I travel young adult son see Cubs game , convenient Wrigley , complaint . rate Priceline $ 189 ( airshow Saturday , full ) , find great bargain hotel downtown . we arrive noon request early check - in , happily grant . room 11th floor look east along Chicago river , view outstanding - look water new Trump hotel dominate view , along Wrigley building . impressed . imagine room high floor good view . all contact reception , concierge , even housekeep bellman ( store bag hour last day ) 100 % pleasant professional . I find bed ok ( remarkable way ) , would agree noises hallway adjacent room rather easily hear . case , neighbor noisy , although imagine could problematic . I would appreciate free wireless internet connection ( think service $ 12 day ) 8 nice computer connect printer guest could use free coffee shop - incidentally pretty good ( somewhat inflated pricing ) . , prompt friendly service there . overall , enjoy visit Chicago , thought & quot ; big city & quot ; visit far pleasant similar trip last year NYC , hotel staff hit high standard . ' m sure could find fault , experience tell people satisfied , location excellent . 
 Aug 15 2009 	 bed horrible -- not reason hotel ? 	 stay Sheraton Chicago 4 night long weekend begin August can not complain service . set expectation large hotel happy . unfortunately , opinion reason stay hotel sleep get ready day Sheraton disappoint respect . traveler say , bed ridiculous . could not wait get back home sleep bed would not wake sore . bathroom serious need upgrade deep cleaning -- mildew shower curtain ! crack tile floor ( never mop stay ) general sense unsanitary practice . location hotel great , say next time ' m look hotel anywhere , will not look Sheraton get rid & quot ; bed system & quot ; . 
 Aug 11 2009 	 bring matress ! 	 Chicago two night . book reservation Priceline please reasonable rate pay - $ 80.00 usd night . hotel large , attractive , well staff . good , hotel nicely situate near tourist activity . wonderful time walk Chicago ' interested architectural boat tour , ' get much close dock Michigan St. Bridge . now , side . spend two night sleeping floor . super soft designer mattresse two night sentence hell . spot mattress sink 6 - 8 inch , support whatsoever . four us trip ; two ok bed , happy , ok . two pain night . I Spoke staff , say aware problem start campaign change super soft mattress typical one . claim start top floor work way . obvious ' reach 15th floor yet . 
 Aug 3 2009 	 satisfied stay everyone . 	 read review site , little wary stay Sheraton Hotel Towers . however , get great price priceline go make go . room ready hour check time hurry get make fuss kind compensation . room clean bed soft cozy . complaint room . concierge friendly give we great recommendation Thai restaurant even provide we walk direction . check wait cramp basement room car . rush car checkout , wait 20 minute . wait area car rather dark date couch . whole parking waiting area scenario need revamp update . money spend , would return . however , many people wait parking lounge unhappy condition room service . guess place kind hit miss expect stay . 
 Jul 27 2009 	 Good Location 	 stay long weekend . sheraton , get standard large hotel service . room good , especially get one like look river towards downtown area . simply ask good view check staff great job oblige . if Chicago short time , good location shopping & quot ; miracle mile & quot ; , quick walk across river millenium park grant park far away navy pier . actually free trolley run city council run loop State street , ( close subway station link downtown area ) , within block hotel Navy Pier . therefore make everything much close , good way get around end town . overall good experience . bed interesting , mattresse soft hard find bed buddy ! 
 Jul 26 2009 	 good . corporate - y . 	 finish three - night stay Sheraton . pro con : location : like shopping , be short walk away base Michigan Avenue . also , like park , Millennium Park not far either . also , be right Navy Pier . across hotel , 's Walgreens , across , be Dominick 's supermarket . East Illinois , be random grocery store , beautiful Fox & amp ; Obel -- upscale grocery . view : room 18th floor great view Navy Pier . gym : fully - equip gym . ( $ 12 day $ 20 duration stay . ) even two spin bike outside river , think nice touch . bed : despite report , bed awesome . super - soft . seem quite new . ConsBell Service : check , call bell service tell someone would call back shortly . 20 min later one call back yet leave 10 min . leave . Lots Convention Traffic : big convention hotel . be town weekend , might bit odd , wander around conventioneer . concierge : always huge queue . give . Decor : Wall covering look new . carpet new ? odd . safe : safe room small . maybe 4 5 inch deep ? could fit laptop safe along stuff . also , safe room require key , carry key around rest weekend . all , feel bit soulless corporatey . like Kimpton property well . ( allegro though . go Burnham Monaco first . ) 
 Jul 24 2009 	 problem fix immediately 	 probably would expect Sheraton - nice room , little pricey maybe ( downtown room great view Navy Pier & amp ; lake ) . air conditioning work arrival call & amp ; motor replace 30 minute call . hotel apparently lay bunch maintenance people winter downturn travel , result lot basic maintenance get do may pay price emergency summer long . still response rapid hotel problem afterward complaint . notice couple complaint lobby service , least two convention / conference go hotel , not wait around anyone carry bag anyway , can not comment kind service . bed fine ( like firm mattress ) sound like either lucky random point . 
 Jul 22 2009 	 thoroughly enjoyable . 	 head Chicago area visit relative suburb decide stay city first night . Sheraton Chicago Hotel Towers offer great deal book 21 day advance . it great location river lake view near magnificent mile navy pier . walk entire city fantastic night sleep comfy bed ! 
 Jul 22 2009 	 marshmallow bed 	 plus side , be great location great view river , lake . Steps Michigan Ave action . on side , first put wheelchair accessible room , low ceiling open bathroom ( tub , side shower area floor ) . bed room & quot ; normal & quot ; ( i.e . generally firm ) , shower really useable handheld shower , water shoot across shower area horizontally head place wall mount . getting move another room ( could not deal 3 night ) , get great view river lake Navy Pier , other describe bed hell . soft be like sleep marshmallow . something ' ve ever experience hotel ever . might sound appealing , soft difficult change position move around , companion actually sleep floor soft bad back . complain bed checkout remark & quot ; working & quot ; may mean plan replace , many travel companion also complain bed . solely horrible bed would recommend stay ( unless want really soft bed back support ) . 
 Jul 20 2009 	 beat view ! 	 return weekend Sheraton say much enjoy stay . staff fabulous , location world , could sleep bed rest life ! arrive early Friday morning ( way b4 check - in ) already room ready we . Dinner Shula 's may good steak ' ve ever eat , service boot ! ! thank , Sheraton , wonderful memorable 40th b - day vacation . 
 Jul 15 2009 	 Nice Business Hotel 	 hotel serve conventioneer husband nicely 4 night , would surely consider . location great , river , near Navy Pier , riverwalk , River North dining , Millennium Park . reasonably close mass transit . hotel tip - top condition great service . main lobby bar nice space , though price high . hey , loop pricey . everything need , long mean . 
 Jul 15 2009 	 great location - comfy bed 	 interest full disclosure stay point idea place worth go rate ( incidentally stay point every hotel chicago charge 300 + night ! ) service bad believe hotel host army convention book solid every hotel guest process check none room ready - grant probably early reservation . I love bed ! really squishy apparently sheraton sweet sleeper people use to . we get room river view , sure would classify . like , hotel convenient walking . we stay one night not use ammenitie . 
 Jul 12 2009 	 stay somewhere else . 	 long day walk , around McCormick Place , colleague look forward luxurious night top rate hotel . instead -Our room frigid . take 2 call guest service hour get someone check problem , could not fix . , July Chicago , turn ac.the drain bathroom sink break stuck shut . experience air conditioner repair person , rig open myself . in morning go Concierge see could do . point desk clerk . desk clerk turn helpful engineer concierge . customer satisfaction obviously priority Sheraton Chicago . Chicago many fine hotel value customer . will stay somewhere else next time . 
 Jul 12 2009 	 disappointing second stay 	 use hotel business trip Chicago please give another shot . second time quite disappointing . arrival experience bad : nobody help luggage reception area crowd people . long line desk , couple people handle check - in rush get staff get customer check , seem . eventually staff come help wait 20mins check simply unacceptable . furthermore , ask comment card could complain tell run - convenient . check , room major disappointment . small compare room occupy previous visit - probably half size , end long corridor feel rather date appearance . email reception complain go . return , message offer another room accept without view could not really bad room give . someone come help move clothe partly unpacked ; new room almost identical first although marginally large , new bed Club floor . guess least make effort address complaint . one reason choose hotel pool . virtually people pool area , really nice . also , one good massage ' ve ever experience here . I not use restaurant , Club breakfast quite good . so , mixed feeling , still search perfect Chicago hotel guess . 
 Jul 9 2009 	 okay -- would never pay full price hotel . 	 husband stay recent trip Chicago see Cubs play . pro : location excellent Boston Burgers restaurant back tables river bank really great hamburger . con : bed horrible , hallway room seem outdated little grungy , service fair good . overall , disappointed hotel . since get room $ 80 Priceline , guess can not complain much . want stay Sheraton Chicago , would recommend four point Sheraton stay last year . small hotel , much clean , ammenitie , much well service , block Michigan Avenue . 
 Jul 8 2009 	 great locationpleasant staffbed hell 	 rent car 5 day stay ( $ 48 per 24hr / pkg ) hotel lobby facility clean convenient . real flower lobby ( ) , concierge helpful ( even way restaurant recommendation -- people clue CARE ... use internet get honest dining recommendation ) see one cocktail glass sit window sill 3 day ( 24th floor ) , creamer sit front adjacent room 2 day ... call toilet paper ( , ' m heavy user ) .Can tempt fridge ? $ 4 kitkat $ 5.95 H20 . ( vend machine car valet ) .Internet free room cafe , pepsi $ 2.80 . right river , view lake , convenient . overheard few 8 people complain bed -- strange , spring less , back still hurt -- soft need work roll . someone 's head rolling purchase ... many convention say would return base uncomfortable mattress . 
 Jul 8 2009 	 choose another HOTEL 	 stay hotel 6/27/2009 suppose two rrrom staff fail one room ready . wait 6:30pm force cancel room . going wait around night . UNSYMPATHETIC , hotel manager indicate would charge second room . UPON check CLERK CONFIRMED . however , CHECKING AMERICAN EXPRESS reveal charge extra room date see credit . call extra towel room servive handle rude employee . common theme . unless tipping STAFF dont expect SERVICE . TIP well find BELL wait STAFF provide TOP NOTCH SERVICE . suppose VIEW navy pier CONFIRMED CHECK . room cruise ship small . bed sag middle . pool smell Amonia . do not bother fitness center . outdoor restaurant way understaffe noticed people leave wait place drink order . server fault . try well . 
 Jul 6 2009 	 depend ... 	 Location- Sheraton great location . within walking distance Grant Park , Millenium Park , Navy Pier , Mag Mile . take taxi entire time go Sears Tower . however , walk back hotel . count $ 40- $ 50 cab ride to / from airport 1/2 hour depend traffic . the Facility- hotel huge perfect conference convention . several restaurant . try burger place . kind overpriced serve pretty next river . service kind stunk . hotel indoor pool gym not able make either comment quality know available . also , hotel & quot ; Links Cafe & quot ; complimentary internet service printer ! use try book trolley tour . easy use quite helpful . also serve yummy sandwhiche coffee surf net take care business issue . room- view pretty ( please see pic ) . bed though HORRIBLE . soft . literally sink . pillow entirely soft well . make three night sleep pretty painful . bed would recommend hotel . like soft bed , like hotel would feel able recommend . pillow underneath pillow case also look dingy . kind gross . the bathroom spacious frill . room flat screen tv HD channel refridgerator would like leftover cold drink ; especially Sheraton vend machine ! another complaint . could not get cold drink water want , be bad . the staff- staff friendly . room clean want ( actually pay attention tag door ! ! ) concierge helpful . really , staff hotel commend . pleasant helpful . overall , like say recommend hotel . sure well one Chicago price good location . question , feel free contact . 
