Fantastic 	 Dispite say , one , good hotel stay Chicago . travel Big City three time year pleasure James rate well . upgrade staff make stay worth special weekend visit . not believe disapointe . 
 funky decor shame lifts 	 stay James weekend work Chicago area . location fantastic shopping sightseeing . room 14th floor not notice noise reviewer mention . like decor ( modern ) find room comfortable free wireless useful . toiletry ( Kiehl 's ) particularly nice . eat restaurant ok . main problem hotel lift - end wait colleague 15 minute one occassion one two customer lift action lift tiny . would also recommend staff correct british guest use word & quot ; lift & quot ; rather & quot ; elevator & quot ; - 15 minute wait quite irritating . 
 Oct 14 2009 	 great service so - so room public space 	 start staff St James could accommodate . purchase two room Hotwire let switch name phone friend could check early . provide free breakfast marathon participant , extravagant , well thought . check get good direction . go get cab doorman ask & quot ; & quot ; learn not go far take courtesy car . suspect cab want come hotel not really care either way since tip guy cab plus tip would cost , great idea ! benefit everyone do graciously naturally . fake sucking , sincere friendliness courtesy around . unfortunately lobby smallish low ceiling , hallway decor awful ( giant nature photograph wallpaper ) room not nice . do trendy way , look little cheap place 's nowhere near enough make poor architecture building . coffee pot conceal top shelf closet not notice first . safe also closet shelf not seem secure . shaggy rug guess suppose trendy , think gross - see anything low pile think 's dirty . Shaggy rug fine private home , yucky hotel . room dark ugly interior view ( book Hotwire not pay much ) . would definitely come back friend kid , would not choose romantic weekend room luxurious . overall really really like hotel , aesthetic lack . 
 oct 9 2009 	 one good Chicago 	 stay James twice fun weekend city friend . moment walk door moment sadly check impressed stay multiple occasion . location ideal shopping , restaurant nightlife within walking distance . cool kind funky decor blend warm classy accent really pull together . room : stay studio suite one visit loft suite . loft really room one person need love anyway ! studio suite great well . love Kiehl 's product bed comfortable ! first visit request swap feather pillow duvet allergic . second visit without even ask ahead time , already take care arrival . customer service ! ! property restaurant / bar : David Burkes Primehouse , eat dinner , appetizer / snack twice breakfast . probably one top three steak place country . great appetizer / snack make great breakfast too . J Bar / Lobby Bar - bit small side really hop every evening . Loved stay find new home away home Chicago . 
 oct 9 2009 	 Friendly comfortable 	 second stay James last year conference , enjoy stay . staff extremely friendly ; accomodation minimalist yet comfortable . Keihl 's bath product plentiful definite plus ! food good , wait staff hip bar / restaurant area attentive overall , great place stay . 
 oct 9 2009 	 Service fantastic facility need work 	 James beautiful , contemporary , boutique hotel great location . service ; door , reception , maintenance housekeeping ; fantastic . issue plumb bathroom door . also large , plastic window shade get hot afternoon sun make entire room smell like burn plastic . 
 Oct 8 2009 	 Nice Location close shop restaurant 	 cool , modern hotel nice location . walk bar end day get techno loud crowded bar patron . room nice amenity quiet , request . technical issue computer difficulty get assistance . rainy summer downpour , run umbrella say & quot ; sorry ! & quot ; run Eddie Bauer buy one $ 5.99 clearance , luckily . 
 oct 8 2009 	 Incredible Hotel top bottom 	 James Hotel exceed expectation . moment bellman welcome hotel , feel like part super chic , trendy upscale James family . attention detail spectacular . king room ultra cool spacious abundance feather pillow great bedding boot . bathroom nice great Kiehl 's toiletry ( generous sized ) replenish daily . bedtime snack bed night restaurant downstairs also special treat . outstanding hotel .... surely stay James return Chicago . 
 oct 8 2009 	 amazing hotel ! 	 sister , father stay visit Chicago look college . time check , James absolutely fabulous- decor feel lobby modern gorgeous , check - in quick friendly . room CLEAN , spacious , well - appoint . bathroom really nice , tub / shower combo large , shallow sink well huge closet full - sized mirror . bath product Kiehls , generously sized , soap environmentally friendly ( keycard , make recycled paper ) ! concierge ( Bill , think ) great , even though could not get Topolobampo suggest great alternate ( Vermilion ) . proximity public transportation good fantastic , 's block walk cta station , transfer get Evanston ( although cab recommend get University Chicago ) . additionally , breakfast Primehouse ( restaurant hotel ) amazing- fill - your - own doughnut hole incredible fun , rest food ( omelet , egg , breakfast meat ) delicious . also great tea menu excellent white hot chocolate . James well ! 
 oct 8 2009 	 Loved James 	 Excellent location . right thick Chicago . near Michigan , Rush , walkable almost everything . train station nearby , great shopping , Starbucks Trader Joe be across street . top service conceirge , bellman , room service . everyone nice ! hip decor room - cool media pit . comfy bed , nice bathroom , hotel ! 
 Oct 8 2009 	 great place middle everything 	 search everywhere find hotel would everything look : little luxury , clean modern , close public transportation site good value . find James . hotel 2 block Red Line , enough Michigan Ave close much , still quiet enough sleep ( could hear Black Eyed Peas Oprah block party ) . room big expect , well appoint , bed comfy ( must ! ) . actually get free night limited time offer , make James great value . either way , would probably stay . 
 Oct 1 2009 	 Fun hip hotel EXCELLENT customer service boot ! 	 , along four girl , host bachelorette party gorgeous little suite James Hotel . prior leave night town , 20 people drink appetizer . hotel great location suite spacious cute , James Hotel helpful courteous staff . everything help we 30 + bag bring fill cooler ice carry item trolley . call request something front desk , item room within couple minute . get back night , staff bring extra blanket , pillow , etc . wish get stay enjoy hotel long . recommend James Chicago anyone listen . 
 oct 1 2009 	 Excellent Choice 	 live far west suburb number friend town annual get together . 4 room James include suite . person , find hotel excellent . staff responsive anything need , service cheerful , room nice , location great . happy experience definitely recommend hotel other . see weekend wife distant future ! 
 Sep 27 2009 	 Chicago wonderful 	 wife stay James Hotel July 20 July 23 2009 . hotel 1 block west Miracle Mile - great location everything . room good size drawer clothing . Euro - modern . hotel accomodate staff good restaurant . Nearby Corner Cafe 's perfect breakfast . one block east block north ; 2 block south . 10 minute walk Navy Pier . fantastic place . take water taxi museum / aquarium / planetarium $ 7 . attraction worth day unto . name store / retailer Miracle Mile . go bar level Hancock Building . best view apparently ladie washroom bar low level restaurant offer really good panorama Chicago waterfront . Millenium Park fascinating . Chicago waterfront unbelievable - roller blading , walk , bike accomodate without run . waterfront high rise building blocking view . good dinner Cheescake Factory Joe 's Seafood Steak . return Chicago James another holiday . 
 Sep 25 2009 	 Excellent hotel 	 friendly helpful staff . nice big comfortable room . good location . get great deal 1800hotels.ie Free wi - fi room free print service . handy print online check - in book confirmation document . 
 Sep 24 2009 	 nicely design room ... close Michigan Avenue 	 room nicely design , clean . hotel block away Michigan Avenue shopping . 
 Sep 21 2009 	 fabulous hotel fantastic location 	 pick James Hotel base price ( get great deal Hotels.com ) , design , location . upon arrival , greet immediately check room even though arrive 3 hour early . room nicely design spacious . staff extremely helpful courteous concierge recommend 2 great restaurant ( Shaws Prosecco ) Chicago Line Architectural boat tour . location James ideal ... 2 short block away magnificent mile able walk everywhere . end take taxi one night courtesy car available able avail . pleasure staying would highly recommend . 
 Sep 20 2009 	 Great Hotel Chi - Town ! 	 husband spend 9th anniversary James Hotel . stay loft suite . room nice . bed comfortable . ammenitie good . fitness center well equip . massage site nice perk . across street Trader Joes allow we stock snack . one good thing James David Burke Prime House restaurant . one good steakhouse ' ve ever . great food great service . make anniversary special . we like experience much planned team out Chicago entire team stay James Hotel . love . get great rate . get stay Loft suite ! 
 Sep 17 2009 	 Awesome Chicago Hotel 	 stay weekend August way back west coast business trip . hotel outstanding . surprisingly upgrade apt / suite room large living area , bedroom bathroom . Kiehl 's soap shampoo real treat . mid - century modern furniture tasteful bed super comfortable . the service excellent . try find misplaced package secretary send via UPS staff attentive helpful . bar restaurant excellent also . complaint . would stay . 
 Sep 17 2009 	 great hotel great location ! 	 hotel james hip hotel , expensive , really nice . first suite , nice , downgrade small room view , like even well . lot window , view ontario street . trader joe be across street . contemporary furniture , really nice . great bed , large t.v . , spacious , great bathroom ammenitie shower head . turn service also , bring we ice ice bucket cookie . sunday dimsum brunch , great ! lot food drink , sit , bring . need make back room nap ! will not dissappointe james , be really nice ! ! ! 
 Sep 15 2009 	 trendy hip functional ! 	 perhaps stay Trump night move James hotel seem design munchkin . room , bathroom , closet , drawer , elevator absolutely tiny . like trendy hip appreciate comfortable chair reading , functional workspace , separate light side bed . Bench seat one long fluorescent light bed problematic two sharing room . coffee maker store closet along safe , two robe , luggage rack - much clothe ! say , location superb close shopping Magnificant Mile Grand el station . art fun . restaurant good breakfast menu match today 's need - smoothie , granola usual egg dish . staff welcome promise restaurant list concierge never appear ice available evening turndown service . yes , suppose able request ice never appear . . . stay Trump , Monaco James trip would rank James third list . 
 Sep 13 2009 	 worth price . 	 even tough time 's worth get quality hotel . worth . 
 Sep 12 2009 	 end Summer Blow 	 family stay James weekend wedding , ideal place stay . even young child James accommodate whole family . blast recommend hotel anyone . 4th time stay James everytime well last . 
 Sep 11 2009 	 Trendy Luxury 	 husband stay one night Labor Day weekend James Chicago . first two night free Starwood Points Sheraton block away . James intimate place size tempermant . service great , room spotless , facility small offer could need . toiletries Kiehl 's - nice . bed linen crisp white , towel large - than - most fluffy . bed little soft due feather mattress topper , conk problem . location great nightlife , music dining . 
 Sep 9 2009 	 even break could not ruin hotel experience 	 fantastic location , great room , kiehls skin care ... even break thankless looser not ruin experience .... 
 Sep 9 2009 	 Exceptional service ... except one glitch 	 recently stay James 3 night husband . second pull Valet whisk away check ( joke ) 3 - 4 staff member attend we . think , unreal ! hotel hip , clean , efficient great location . negative thing say , Tony , concierge rude . minute sit stand offish arrogant -- nothing like rest staff . reluctantly give restaurant suggestion look irritated ask direction . next day , Marco , another concierge courteous helpful . David Burke restaurant hotel amazing ! go brunch sure . thoroughly enjoy stay would definitely visit -- stay away Tony : ) 
 Sep 8 2009 	 Place Hotel top list ! ! ! 	 James Hotel exceed expectation ( , wife tell exceedingly high start LOL ) . location excellent relation Magnificent Mile . staff level : door , desk , concierge , clean management congenial , helpful genuinely appear dedicated make hotel guest feel welcome comfortable . lobby public hotel area chic tasteful ..... " ordinary " certainly " outlandish " … .. refresh comparison bland ho - hum décor many chain brand hotel imo . room terrific . upgrade loft almost 600 sq . foot . chic furnishing cool medium centre 72 . projection DVD . even loan dozen DVD ' view . cleaning staff come twice day . Bathrobes slipper also provide . would definitely return hotel . extremely good value 5 star service staff . 
 Sep 8 2009 	 trendy hip ... oh comfortable ! 	 great location , awesome staff , above - average service equal wonderful stay great little boutique hotel . we stay 3 night anniversary birthday junior suite … differently shape room ( long wide ) , bothroom roomy overall feel like plenty space luggage lounge . lobby cool little bar area see action weekend . really ' beat obviously great location . 
 Sep 7 2009 	 never stayedbut ! ! 	 never stay hotel , daughter partner dida treat arrange champange chocolate waiting room arrival.this happen , somehow email get misplace ever reason [ many give . ] email general manager assistant JENNIFER HAMPSON.she could helpful , recive champange foc , also treat wine cheese platter day later . we know thing go wrong , company deal it- find sort company are.my daughter partner upset surprise fall flat , jennifer sort out.she really credit james chicago . they really enjoy stay I m sure leave report soon . 
 Sep 6 2009 	 overall good hotel good customer service - false start ! 	 boyfriend spend 4 night James late August / early September . get great deal holiday , fly London Expedia.com . on arrival give twin room - having book king room . inform reception case tell even though expedia booking state twin room ( book fact show king room booking paperwork we show staff ) could move room . send another room , tell not right room we stay move another floor yet another room . finally go right room .... third time lucky ! ! ! ! room clean , modern comfortable . kiehl product bathroom lovely housekeeping staff good ( turndown service evening ) overall room impressive hotel nice . free internet reception useful . on day arrive , boyfriend arrange surprise Spa Treatment ( highly recommend - the Astra Spa staff lovely ) , however , go concierge desk ensure everything book see email reception 's printer parent 's company . think odd , see ask confirmation & quot ; arrangement & quot ; sort arrival . without we know , parent arrange ( week prior trip ) champagne chocolate room arrival . happen - in 3rooms send ! ! ! ! boyfriend enquire oversight . concierge make excuse wait wording parent accompany gift - not know point ! needless say , parent disappointed surprise mean arrival room action . mother indeed sort week send countless fax email due failure staff confirm receipt payment / order . furthermore , contact hotel failure action request mother tell due room change - another excuse ! ( word fact already send , contrary original excuse ) eventually get champagne chocolate ( without charge parent ) addition , halfway stay delighted receive handwritten note management bottle wine cheese biscuit . special mention must go Jennifer liaise mother problem determine make oversight . highly impressed customer service . overall hotel good service many people forum mention materialise . one thing could address argue encounter reception . number occasion witness staff argue ( quite loudly ) other - we feel particularly un - professional . could not help feel , suggest , guest book agent always receive customer service book directly . however , say staff make original mishap well . would visit hotel , location great Chicago awesome . 
 Aug 31 2009 	 impressive hotel - bathroom not great 	 stay James hotel 4 night late August 2009 . overall , really enjoy stay ; hotel comfortable , stylish well - locate . book hotel special deal get great price receive . room large stylishly decorate , really comfortable kingsize bed huge flatscreen tv . storage space perhaps bite limit two people ( two small drawer hanging rail ) . two small cookie leave room every evening part turndown service , nice touch . minibar extensive free wifi access cd player room . bit noise street , not bother we might problem light sleeper . unfortunately , bathroom small comparison bedroom , bathtub shallow difficult use ( half depth traditional bath ) . major problem room ( matter prefer bath shower ! ) . free toiletry great , though - generously sized bottle Kiehl 's shampoo , conditioner grapefruit body wash lotion . hotel right behind Magnificent Mile 2 - 3 minute ' walk Grand stop El Red Line . 's popular steak restaurant attach although not try . service generally good fix problem room within 5 minute we report . have like able give hotel 5/5 great place - bathroom bit disappointment . would still definitely recommend ! 
 Aug 27 2009 	 Excellent Example Midwest Hospitality 	 wife stay James belate birthday weekend could ask anything well . deluxe king guest room clean , modern design plenty space minibar , & quot ; airline & quot ; bottle selection large bottle top shelf liquor convenient . fan modern / contemporary design still comfortable liveable , love lobby bar area . , make James special service hospitality . example : 1 ) couple day arrival , contact customer experience concierge inquire whether need anything special stay . 2 ) guy work door front build helpful genuine . could believe many time would pick conversation begin hour , even day before.3 ) knowledgeable concierge give we excellent advice shop away Mag Mile . ( fyi . Wicker Park ) travel constantly business pleasure could satisfied way treat . always easy remember bad customer experience , excellent one remember long time . get to meet James ! ! 
 Aug 26 2009 	 disappoint 	 fiancé plan nice weekend break Chicago . upon arrive James immediately downgrade small smoking room fee & quot ; upgrade & quot ; non - smoking room originally book . room clearly free due offer upgrade . have hotel decency honor 's commitment , staff little less condescend , would considerably pleasant stay enjoy facility offer . try avoid place spend time money elsewhere . this cheap , belittle penny pinch move venue appear pride 's reputation one classier hotel Chicago . , combine arrogant , aloof superior attitude reception staff , ensure stay , recommend anyone else . if anyone would like contact happily share thought plan stay detail . 
 Aug 24 2009 	 know take care every need . 	 wonderful pleasure stay James Chicago twice ! Mondrian Scottsdale , AZ convert Holiday Inn call James . though great pool .... look like Holiday Inn . however , decide close James AZ open flagship Chicago desperate go . Chicago work Hotwired hotel . call ask James use Scottsdale . also mention stay AZ hotel numerous time . immediately transfer GM 's assistant . & quot ; Marshall like champagne chocolate chip cookie . & quot ; floored know information . offer something call & quot ; medium suite ! & quot ; get hotel look nothing like old Scottsdale location . decor modern house wonderful art collection . enter room could not believe eye . king size bed large platform gigantic tv . living room sofa , another plasma tv , wet bar extra chair . discover call & quot ; medium suite . & quot ; another queen size type bed side room projector project dvd wall ! ! ! also , offer Kiehl product gigantic bathroom . heaven . four month later decide spend birthday friend . time give amazing gigantic apartment suite . beautiful large medium suite , however , still think medium suite coolest concept . staff treat like royalty bring robe slipper friend stay crash . miss James Chicago . side note , GM Richard Patton , one good business . know run hotel personalize visit . GM everyone friend confidant . 
 Aug 23 2009 	 Amazing 	 husband want spend weekend Chicago celebrate anniversary , look James awhile attach David Burke 's Primehouse . moment call make reservation , know hotel understand customer service mean consumer picky one . pre - arrival dossier , special sweet staff kick anniversary weekend hand write note thank we stay James , staff well verse long lose art customer service . room well appoint bed comfy warm cool weekend . walk distance Michigan Av huge plus . front desk cleaning staff , staff top notch ! David Burke 's Primehouse miss ! 
 Aug 23 2009 	 love 	 first time Chicago , lovely city great hotel . stylish , bright great service . free internet access excellent concierge service - book trip , restaurant , recommendation bar etc . though sad going , may relieve ! kiehls product spacious bathroom , bright clean room . good location walk around city day night . loved city hotel , 5 night wish could stayed long , definately would return . 
 Aug 22 2009 	 Rude snobby staff ruin stay 	 hotel worth . moment walk hotel lobby check , staff rude contemptuous . room serviceable , certainly live pompous self - description website . bathroom porthole slide door odd inconvenient . ' fitness centre ' tiny poor . would come . 
 Aug 18 2009 	 great lesson hotel management 	 Students hotel management send learn craft . enjoy 4 day stay much decide put James & quot ; must & quot ; list . every employee encounter friendly , extremely helpful well train . hotel primo location shopping , restaurant short walk lake jogged , bike swam everyday . cab abundant exploring oportunitie endless . room large , quiet , clean extremely comfortable . large plasma tv , refrigerator , mini - bar , radio , bureau blackout curtin . sleep like baby luxurious bed turn daily wrap cookie pillow . special praise tireless concierge service make great recommendation reservation spend much time answer question . even provide we free bicycle afternoon . to top get free day third . bargain ! 
 Aug 17 2009 	 James Chicago : lovely 	 stay James begin long trip along Us , first time Chicago . the hotel city : elegant full design . everything room sense lot nice detail : stuff prepare perfect Martini ( yep , room ) , great Kiehls ' product , giant Lcd tv , design cushion , big mirror , . complimentary coffee machine , radio - cd - ipod music device . good wi - fi internet access , complimentary business center pc mac ( mean : charge connect internet printing document ) , fully equip gym . for breakfast , lunch dinner : hotel 's restaurant really god , little expensive . if find something not like , say lobby could better : good way welcome customer , really little thing . 
 Aug 17 2009 	 cool fun nice ! 	 James favorite hotel cross USA trip . stay Lollapalooza music festival decide splurge nice hotel city . disappointed ! book studio room king bed separate sitting room area . spacious , couch comfortable sleep - sleep four bed , everyone front desk clerk maid helpful ( especially extra towel , soap , etc .. ) free computer lobby free print helpful concert ticket boarding pass , check email look map . cool place , hip modern design . friendly helpful worker . good value ! great experience ! 
 Aug 17 2009 	 Love James 	 James random spur moment choice we turn great .... 's new room incredibly spacious . super comfy bed 's . nice big tv 's , ipod dock cool stuff . the proximity mag mile great ... shopping dream block away ! get fairly good rate ' ve notice rate lately seem little excessive .... we good part hotel def Primehouse ! able get david burke room service ! even never choose stay James make sure go dinner .. absolute perfection . I eat month ago notice great sunday roast family style special too . have manicure hotel salon pretty average . lovely girl though . we since find well locate ( us ) place stay chicago would not hesitate stay James ! 
 Aug 16 2009 	 Awesome ! 	 husband stay James Hotel three night celebrate anniversary Chicago . staff hotel great , upgrade we apartment style suite anniversary gift continuously check we make sure not need anything . hotel room elegant well appoint many bathroom goody one girl could need . shampoo bath supply generously put day even not need . bed comfy room general comfortable , modern enjoyable . eat hotel 's restaurant night anniversary wait staff attentive even send complimentary dessert & quot ; happy anniversary & quot ; write chocolate across plate . , detail leave unnoticed enjoy much James , would go back second ! 
 Aug 11 2009 	 worth money 	 in - law book one night stay New Years Eve two we stay James . brief thing wrong stay prevent we return advise friend stay there.1 ) shoddy construction room fixture : ceiling light miss leave fist - sized hole wire expose , towel rack fall wall without touch , bathroom door often come be slide mechanism gentle use.2 ) report problem , employee simply put towel rack back wall without properly adhere wall.3 ) upon check - out , record in - law pay stay , though note reservation make we . pay ( $ 300 ) gift in - law extremely upset . write letter management ( manager available speak we leave ) receive adequate apology . 
 Aug 10 2009 	 great 	 recommend place everyone . staff location great . comfortable worth every cent ! ! ! 
 Aug 9 2009 	 James offer everything Need Chitown 	 stay James 3 night busy oversell weekend hotel . upon check upgrade suite 1220 member Leading Hotels World . service level never diminish always concierge front desk staff available assist without wait . find Staff James extremely efficient , friendly , knowledgeable willing go extra mile . example : Concierge Bill M. recommend nice italian restaurant street call Quartino call ahead guarantee seat available .. eat lunch order Bruschetta bring someone server order thought mistake . send back . server return Bruschetta explain compliment James Hotel Concierge . pleasant surprise thoroughly impressed . thing like staff make excuse try justify something do . upon return one day 3 pm shopping room clean even though housekeeping sign door . call staff immediately apologize say send someone right . & quot ; sir busy , oversell etc excuse like get hotel & quot ; James apologize correct problem . room comfortable ( especially bed ) , clean , quiet , nicely appoint ( except shabby little Ikea dresser one closet ) good quality towel robe Kiehls product . location excellent , walk distance everything Millennium Park Lakeshore drive , Michigan Avenue , Red Subway line Grand Station Restaurants galore . Trader Joes right across street convenient housekeeper explain want store something honor bar remove item place bar make room item would charge honor bar sensor . do eat restaurant use spa enjoy lobby bar . jbar nice scene , try much like club really poser bar . abbey restaurant manger offer give we tour dry age room time . meet Abbey one morning wonder hotel peak head restaurant see look like . notice coffee mug room hand offer refill . evidence staff James anticipate 's guest need ask need something even ask . tear tempt stay Wit Hotel next time visit Chicago find hard resist James amazing staff . Bottom Line : go wrong James solid choice lodge Chitown . highly recommend give try . 
 Jul 30 2009 	 wish could stay long ! 	 stay apartment - style suite & amp ; beautiful . separate dining nook great breakfast next morning ( delicious ! ) . staff attentive & amp ; courteous . check - in & amp ; easy & amp ; quick & amp ; valet make sure ask need direction leave . regret could stay one night ! 
 Jul 25 2009 	 good hotel great location bad service . 	 great boutique hotel fun , modern room great location ! great time , however , arrive hotel inform even though contact hotel request non - smoking room ( wife pregnant ) since book Hotwire unable accommodate request . tell we could non - smoking room willing upgrade ( fee ) - basically say : & quot ; non - smoking room ... , since book Hotwire . & quot ; end pay fee ( not want pregnant wife smoking area hotel ) get room two double bed ( course request King size bed , either , pay even non - smoking king room ) .Bottom line : great hotel great location , not expect decent service book directly hotel ( base check - in service , ' m sure would even get good service actually book hotel ) . ' m sure well hotel choice , near Michigan Ave , would get much well service ... 
 Jul 23 2009 	 Amazing Trip 	 James amazing hotel stay Chicago . 's locate block Michigan Avenue Ontario . staff extremely accommodate professional . make great recommendation restaurant . hotel modern feel bit trendy , still beautiful comfortable . think yuppie , yoga , & quot ; nature - y & quot ; . J Bar restaurant attach great guest hotel . overall , would recommend hotel price quality . 
 Jul 23 2009 	 James fabulous oasis long business trip ! 	 recent 10 day business trip Chicago stay James . staff amazing , always helpful package , direction , restaurant reservation special request . great guy door always help . room service quick always tasty . eat fabulous steak restaurant couple time wonderful . even though business trip hotel would great Chicago getaway . be block half away Michigan Avenue 's shopping , plus 's ton restaurant within block 4 5 block hotel . easy walk Navy Pier Chicago attraction well . room comfortable , especially bed bathroom ; clean , modern styling . Kiehl 's bath product great . complaint would bathroom little small business center open lobby could get little loud try work sometimes alot people check e - mail trying get alot work do . great stay though ! 
 Jul 22 2009 	 great hotel 	 would definitely stay hotel , really think hidden gem . great location shopping , sightseeing , great restaurant nearby . room nice modern , friendly staff . first trip Chicago 2 daughter love . 
 Jul 22 2009 	 James place ! ! ! ! ! 	 James amazing hotel . location perfect ! walk everything . area safe lot go . many restaurant shop right door . hotel trendy cool . staff good ! helpful , knowledgeable accommodating . James also fantastic restaurant premisis ... good steak ! ! ! well worth look hotel . first visit Chicago stay James next time . 's one boring chain hotel . love James ! ! ! 
 Jul 20 2009 	 James Delivered ! ! 	 first time go Chicago could not happy hotel . great location Mag Mile . great room -- -clean , spacious , bright . great service -- -the conceirge Toni awesome . accomodate late check ( be usually 2 pm ! ! ! ) -- -that be incredible ! ! ! restaurant hotel David Burke 's Primehouse delicious incredible steak ever eat . try doughnut -- -awesome ! ! ! can not lose stay . awesome gym ! ! ! can not wait go back ! ! ! 
 Jul 19 2009 	 new favorite city hotel ! 	 friendly attentive service . stylish relax lobby / bar / restaurant . state art workout facility . clean comfortable room . perfect location . back . 
 Jul 19 2009 	 impeccable unexpected ( pleasant ) touch 	 try stay James every time happen Chicago . good choice town , nobody James offer : superior service - aka class meet efficiency - , metropolitan design comfort attention detail find W Seoul , always play role mean convenient location ... get small unexpected touch make difference ie : take drive North , hot July day ... one staff member hand bottle water . small gesture . unexpected appreciate . management staff understand expect importantly , need . consistenly execute . 
