simple 	 overall hotel provide exactly need - base 2 - day sighting see trip around London . location good since right near Earl 's Court Station allow we get everywhere want go . otherwise much near hotel . the room actually big anticipate . basic though . negative one woman desk not helpful question . would recommend basic sightseeing stay . 
 Sep 30 2009 	 bad word say hotel ! 	 recently travel London friend , book hotel upon recommendation family . arrive , staff decent , tell room ground floor , happy . room end maze corridor , definitely pleasantly surprised await we . room mean twin room , double bed , well single . clean , quiet comfortable . manage get excellent deal room , delight quality . small complaint would carpet wear away one place , next day cover mat . breakfast include offer , grand . location hotel excellent - Earl 's Court lovely area . honestly complaint . 
 Sep 24 2009 	 good location so - so hotel 	 locate two block Earl 's Court tube station , Barkston Gardens convenient place stay traveler London . hotel clean staff reception , especially Lorenza , helpful . room basic lodging . lot closet space drawer storage . room large european hotel room could refurbishment . , however , not bad deal price ( $ 120 american ) consider expensive London . 
 Sep 22 2009 	 Dirty 	 Hotel great location block away underground / tube could not take disgusting room . get violently ill ( although could food well ) . room . not even know begin . dirt / grime ( stain ) curtain , window , floor , coffee pot , everywhere bathroom , baseboard , etc . even find clipped piece wire bed . ask move room next one even bad . take creaky floor , old everything ( hotel desperately need update ) , dust dirt bad military barrack stay . would not even qualify one star US Heath Dept would shut hotel down . look deceive . outside lobby gorgeous ! happy first arrive ( see room ) . way housekeepers vacuum , wash curtain , dust , etc . idea pay except change sheet sure change . homeless , enjoy hotel , especially location . vacuum year wash dish twice year , still find place gross hotel encounter ( depend room- 5th floor disgust stair throughout ) .staff pretty bad . one nice one -- gentleman nice working night . snooty , skinny blonde ( believe English ) not boast cheer okay front desk clerk . hotel ruin perception London . by way , free internet not work top floor ! ! ! 
 Sep 20 2009 	 2 Star Hotel absolute good air - con service ! 	 stay 4 night August ' 09 partner . its definite no - no stay summer central heating hotel aircon whatsoever . also several room ( like ) locate inbetween floor drag suitcase stair get elevator . inside actual room tiny room ' ve ever see small double bed history , even 2 normal average people lie back arm side would fall bed top ! tv 22 cm dinosaur whole floor creak moan there s sound proof all . the positive location , right next Earls court tube stop step free tube station 's handy . also old gentleman charge breakfast excellent English cook breakfast good well . staff barely speak English , many spanish Spain could speak well English . price not high , definitely suffer low price .. $ 65 night ( $ 130 ~ a $ 140 ) really expect well . 
 Sep 18 2009 	 would bark mad stay Barkston Gardens 	 Three star hotel notoriously Dickensian London can not generally rely upon Paris world capitol . spend one night ground floor room & quot ; hotel & quot ; call - akin crumble old rooming house proper hotel . not reassure find rat trap bed inquire gentleman reception could not garantee would not rat third guest room . hotel 's pipe wire come un - insulated opening large enough admit even large vermin owner cheap properly renovate old carcass hotel rabbit warren like corridor . fortunately visit rat , change room second night due previously book customer , show room available - basement room strong odor mold . naturally object find proper room slightly slightly four star hotel . not know hotel Barkston Gardens get away self - respect guest ever opt moldy room , even $ 120 per night . 's insult show room would certainly unhealthy stay one . London could pass disaster Barkston Gardens hotel . city Europe US would torn health threat . even four star hotel London carefully scrutinize hapless guest cleanliness lack vermin . Barkston Gardens Hotel kennel , would even reservation leave dog fit mad dog englishman self - respect . 
 Sep 17 2009 	 avoid cost 	 Absolutley horrible . run , mildew mold everywhere bathroom . staff simply not care . free continental breakfast , barely adequate , feature officious breakfast captain , control dining room . hostel street likely well value probably bertter condition 
 Sep 11 2009 	 Excellent 	 stay hotel 6th 13th August double ensuite room ( room number 422 2nd floor ) . room quite spacious ( compare usually get London £ 65 ) bathroom big well . at time booking decide continental breakfast , may also breakfast serve room pay £ 2.5 extra . staff EXTREMELY polite helpful . Sunday morning breakfast available 8 am , leave hotel early participate day tour outside London . member staff ask we time want breakfast day tour propose we prepare breakfast 7 be us favour . excellent service helpful staff . in addition , hotel 's location excellent : Earl 's Court tube station stone 's throw ( less 200 metre ) ; decide whether take Districy / Circle Piccadilly train reach city centre . area lot restaurant pub open late . that 4th time stay hotel London Barkston Gardens Hotel good one . I would recommend hotel without hesitation . Abbiamo soggiornato al Barkston Gardens Hotel dal 6 al 13 di Agosto 2009 una doppia con servizi camera ( stanza 422 , al secondo piano con ascensore ) . La stanza era abbastanza larga , soprattutto se si considerano gli standard londinesi . Il nostro è stato un ottimo affare perché , prenotando con largo anticipo , abbiamo concordato la tariffa di 65 £ notte per camera con la colazione continentale compresa nel prezzo . Lo staff è stato decisamente gentile e nostra completa disposizione . visto che la domenica mattina la colazione viene servita partire dalle 8 noi dovevamo partire per un tour molto presto , credevamo che quel giorno avremmo perso la nostra colazione . Un membro dello staff ci ha domandato che ora avessimo bisogno di partire e ci ha proposto di scendere sala colazioni ' ora desiderata anche se il servizio non era ancora ufficialmente disponibile . e ' stato molto gentile da parte sua , noi non avevamo insistito lui ha voluto farci questo piacere . Assolutamente apprezzabile . per quanto riguarda la posizione dell ' hotel , bisogna ammettere che è ottima : la stazione della metro di Earl ' Court è davvero due passi , direi meno di 200metri . La zona è tranquilla , piuttosto turistica e infatti ci sono molti pub , ristoranti , super e mini - market aperti anche fino tardi . Questa è stata la nostra quarta volta Londra hotel di questa categoria e devo ammettere che il Barkston Gardens è stata una piacevole scoperta , il migliore rispetto tutti quelli visitati fino al momento . per concludere : ottima posizione , ottimo servizio , grande disponibilità , stanze sufficientemente spaziose , colazione servizio camera fino alle 11 di sera ( con il supplemento di 2.50 £ camera ) , buona la colazione , eccellente rapporto qualità / prezzo . Vi torneremo sicuramente . Consiglio questo hotel senza esitazioni ! 
 Aug 18 2009 	 terrible customer service rude staff 	 book four night stay hotel via HRS , decide week advance want go countryside third night ( wish retain night 1 , 2 4 ) .HRS allow amemd booking drop ´ middle ´ night , call hotel directly abroad ( expense ! ! ! ! ) receptionist advise we would re - book fourth night 20 pound high per night rate lock via HRS ! ! ! speak heavily accented english could barely understand , incredibly rude ( one point call we stupid ) . email manager still response 48 hour later .... beware ! ! ! ! 
 Jul 29 2009 	 great location budget 	 husband stay Barkston Gardens end April . fairly large room double bed large bathroom . nice cheap price - big expect . include breakfast perfect start day . staff helpful polite . location well can not afford stay central London . right piccadily Line Earl 's Court tube station - last stop Zone 1 . great neighbourhood retreat evening see sight . also excellent take Tube Heathrow airport - 5 minute Tube station . 
 Jul 25 2009 	 still Good Hotel ! ! ! 	 stay hotel , ease travel could well , value money excellent , large double room £ 60 pn , ( book expedia ) heart London get good deal.we like stay top floor ( 6th ) floorboard still squeak one annoy you . still problem hot water enough get good wash , though shower occassion slow . Wrote hotel last year new window still use old wooden sash type notice still same.apart ios little gem well worth , need bed night could find comfortable . 
 Jul 20 2009 	 great location good value 	 Basic budget hotel . fab location , yard Earls Court Tube station . creaky floor , little insulation ( end room 308 - bit seclude other ) . bit work electrical wire arrive room two electrician upon arrival , second later way another ( bit large ) room . a bit tired clean nice . perfect travel to / from London via Heathrow . £ 60 night well worth it . hotel also luggage room late deprature ( like ) .Did not try breakfast opt eat nearby pub , Courtfield - cook English breakfast $ 4.99 . 
 Jul 1 2009 	 average stay 	 stay London hotel June 2nd June 5th way Athens ... hotel close Earls Court station easy access Heathrow .. ask single room double room though like bed find uncomfortable ... hot London room unbearable due hot weather .. see fan room , guess ask ... room spacey London value basic tired . lobby good welcoming , breakfast continental include nothing special , though enough . I find clean make kind uneasy . staff except one dark brown hair one nice rest totally average helpful customer service . guess price pay good overall like Earls court area prefer Knights Bridge far , budget time , decide try new area time London ... stay short stay summer find well one . 
 Jun 26 2009 	 value money 	 room hot , air conditioning fan , bar fridge . furniture old fall apart . kettle lead . bed cover carpet dirty . keep ask bar staff want drink . serve breakfast - meal dining room semi close . 
 Jun 21 2009 	 find cockroach bed . stay basement . 	 hotel good value london great location . initially , stay sixth floor room fine , second last night move basement room ( long story ) morning find cockroach bed . bed ! ! imagine crawl cover we time night ! ! freak , move sixth floor , cockroach . stay basement . cockroaches ! 
 Jun 20 2009 	 excellent value close tube station really clean 	 close tube station , really easy find . first impression outside ok lobby nice spacious . find staff really nice helpful . room small enough space go day anyway . initally room warm arrive fan cool room time . room really clean maid service towel change every day . thing not really keen continental breckfast appart everything great check luggage room provide could collect later . quiet area easy sleep . appart odd noisy guest hotel . 
 Jun 12 2009 	 tired Tatty Room 	 location visit good . easy walk distance tube - though great help tube strike second third day . reception staff pleasant helpful allow we check time . room top floor , though large gloomy ventilation . small portable fan window break . reception area breakfast area bright cheerful . breakfast adequate . 
 May 28 2009 	 close train station great breakfast 	 hotel short walk Earls Court train station . use underground station travel around London . number small shop way station buy snack also place eat . park across road other mention access key limited local resident . the hotel old wear thin wall small room , would pay lot probably get something well . breakfast nice plenty eat . despite around corner pub quiet . 
 May 26 2009 	 ok nothing spectacular . 	 Fodor 's recommend budget hotel photo TA , think would great $ 150 pay consider everything else could find nice area London $ 200 3 adult ( 19 21 year old ) . Barkston old quirky hotel ... like walk maze get room close fire door listen floor creak , yet bring back time not really mind . air conditioning would not stay summer . bottom floor room face street leave window open ( one window open 5 inch ) make little nervous way hot otherwise May 15 night temperature 60 's . small fan provide help , know would probably miserable hot outside . little disappointed not get room building court picture . Barkston actually two side street . one side check , pretty white building across street huge red brick courtyard building 's photo . convenience tube excellent . soon exit Earl 's Court tube , turn right . Barkston Gardens either first second street see . street sign , must look corner buildings street name .... corner ( unfortunately lose ) Barkston Gardens name . the family room good size room high ceiling . single double bed comfortable enough set pull couch bed daughter sleep . say ok sat , feel awful .... sink center lumpy mattress . staff overall excellent . friendly helpful . one lady fire . 30ish blond woman glass front desk upon check . cool towards we not care , watch downright rude co - worker co - worker trying assist asian woman struggle english , tell co - worker charge woman , know foreign lady could understand going charge . foreign lady try question understand , blond woman shove key we ( basically dismiss ) , raise voice start berate asian woman . later leave , mention toilet room not flush . make face say would send someone fix . get back 8 hour later , clear one ever come room . next morning , gentleman behind desk mention toilet . old , pump water flush . explain problem solve . the continental breakfast ok .... cereal , croissant , toast , ham cheese . Continental include price would not pay otherwise . we London 2 day Barkston satisfactory . stay long , ' m sure would choice ' ve never London maybe typical . 
 May 3 2009 	 pleasantly surprised . 	 spend Saturday night pleasantly surprise hotel . not expect much due price & amp ; location ( good ) , hotel everything need . yes , decor generally bite tired , want sparkle new & amp ; modern pay . service good , actually book single room , give double - guess available , good not necessary . sheet clean , bathroom clean location lovely - overlook small park main road really quiet central London - Saturday night , expect bad . literally 1 min walk earls court tube . one good thing - even though 20c outside room warm , even window open . however , free stand fan provide - another unexpected touch , quickly reduce room temperture , run quietly , leave overnight . however , not think would comfortable place stay height summer . overall though would defintely use need stay central location London good value money . oh yes , checkout 12noon - rush leave , bonus night spend Soho ! 
 May 2 2009 	 value money ! 	 find ! clean , handsome , well - run hotel London 80 GBP ( $ 120 ) night . room spacious ( London ) bright . bathroom big newly refurbish , shower great . room , # 206 , lead almost - private courtyard . hotel 3 - minute walk Earl 's Court tube , give easy access everywhere ( include Heathrow ) , across street park . breakfast available , small bar hotel . wireless internet reliable , even room . staff accessible friendly . great . 
 Apr 14 2009 	 great location ... sour finish 	 can not ask well regard location . spend four night end March . also get decent sized room bathroom price pay . unfortunately , shower awful almost unusable , end creative burn freeze . cook breakfast really greasy ( deep fry everything ) definitely recommend . change mind last day order continental breakfast ( tell fine ) , however , charge we two cook breakfast anyways . mention , man say day manager rude refuse change bill charge credit card . email main manager , reply would cancel room book hotel rebook order charge extra amount ! 
 Apr 1 2009 	 Nice hotel - great location . would definitely stay . 	 stay 3 night Feb - March 08 ' . recommend stay friend not disappointed . nothing beat location , couple minute away tube station , trip around city . also Tesco store , pharmacy Burger King across road . view lovely garden outside window . room fairly small cosy heated , clean neat . shower stream lack bit life , though tell info sheet inside lift due maintenance water system , although say would affect water stream 5 - 7 , room least , last day . all , worth price would expect 3 star hotel . would definitely come back . 
 Mar 25 2009 	 Amazing location Soured Old Dingy Feel 	 stay Barkston Garden Hotel three day recent trip London . location beat - 2 minute walk underground station . be great little neighborhood grocery store , pharmacy , lot restaurant around entertainment . hotel cute walk - up , well - light friendly front desk staff . free wi - fi available throughout hotel laptop , huge bonus we . it say , definitely case get pay . first thing notice walk room ( end long hall zero light ) , floor creak . everywhere . not one spot small room not make noise walk around , ' m sure irritated people we . bathroom quite large , showerhead miser water . freeze every time showered water would not come fast enough , last day , resort washing hair run tap . we consider room fine , not expect much , even , would not stay . definitely pay upgrade experience . 
 Mar 23 2009 	 great location 	 two friend stay friday sunday - hotel great location underground lot place eat drink earl court . room clean , bed good although sofa bed - comfy sleep okay . bathroom large - hot water good shower spray water floor - not care coz hot water main thing fast hot water . manager friendly come continental breakfast . staff friendly . would recommend hotel . 
 Mar 22 2009 	 Got pay ... 	 Fiance stay Barkston 2 night March . pay £ 50 per night room . room number 304 . arrival , fiance notice open ` patio ` door / window , shut , would not lock , easy pull push open . great consider safe room , check offer safe . annoying check , comment room spring stick mattress everything else , man scribble peice paper say ` ok ` finish . no sorry , thankyou let we know . anyway , leave hotel go . come back get bed , feel sharp pain leg , look , see spring stick mattress leave side bed . stick two inch , catch leg . time push spring back mattress cover sheet . wake morning , run tap bath , hot water . reasonably hot water evening , NONE morning . another couple picky thing wall like paper - like review say hear everything go , decor date , do not bother we . pipe radiator expose - the radiator do not work , two portable radiator room , along fan , kettle , old hair dryer , drop iron board old iron ( do not use ) shower head old metal one ... tile around bathroom could done good clean , first bath , wash bath ` body hair ` bath . the good point hotel though , get television room 10 channel , get sofa bed well bed plenty pillow bed , desk full length mirror , wardrobe , kettle tea / coffee sugar two pack biscuit , room service every morning clean towel , free internet bar downstairs , lager look lively ! ! breakfast morning ok , big fan , continental breakfast , croissant hard , toast cold . People work not english - but comman London . would stay , learnt pay pay come accommodation . area good central , bit rough .... can not everything ! ! 
 Mar 9 2009 	 good cost 	 selection hotel stay London base cost location ( within 2 minute walk Earls Court Underground ) cost average £ 55 per night . the staff friendly helpful stay . room available we despite arrive little early check in / out fast . the room large other ' ve stay , area . decor show sign wear probably due revamp . window room not lock although open onto flat roof . extras ( floor stand fax , trouser press etc ) lead room seem cluttered . bathroom large athough shower head keep slide height adustment bracket . free wifi hotel bar plus free newspaper available breakfast . continental breakfast include room rate find good enough set we day ( cereal , OJ , tex , coffee , toast , roll , yogurt , ham , chess fruit ) would stay 
 Feb 25 2009 	 Decent hotel pro con 	 stay Barkston Gardens hotel three night late february 60 euro night , good deal hotel central London . hotel pro con : pro : * location ; 200 metre Earl 's Court tube , Picadilly District Line . * free continental breakfast fresh croissant roll * comfortable bed ( small ) * decent bathroom lot space , hot water good water pressure . * computer free use internet lobby free wifi ( be work ... see con ) con : * room hot . sleep without blanket . think least 25c room , may . * creaky floor . could hear people we walk around room annoy creaky floor * showerhead could use cleaning ! * slow elevator , use stair instead . * wi fi internet not available first two day thereall nice stay would recommend hotel anyone travel budget ! not expect luxury dress lightly ! 
 Feb 18 2009 	 location great ... hotel . 	 live Chicago stranger tired building one need retire . place look old worn thought least clean ... cockroach crawl across floor . sure everybody experience check drop luggage leave go check neighborhood . return back hotel find key work 3 key make we front desk . end hotel maintenance able get door open next morning 11 am luggage still room . put sister hotel give free cab fare . see luggage lock room roughly 14 hour major inconvenience really think situation handle well . it think even comp night give excuse could not book Expedia . stay keep open mind make sure bring sense humor . ( need ) also , not take room 1st floor ... basement ... experience cockroach live . last least , know get pay . good luck enjoy vacation ! 
 Feb 15 2009 	 Cheap 	 Booked hotel Alpharooms 3 night stay £ 160 we . hotel near Earls Court tube station shop pub hear noise night time . room do stair quite gloomy , heating work give we small heater take chill room hot water one day , two day water tepid think watch time shower get early good pressure . hotel clean bit date clean towel every day breakfast ok . we hardly every room bother side . would recommend hotel look cheap break London . give average price . 
 Feb 1 2009 	 Good Budget Hotel London 	 Location definitely great selling point hotel - Earls Court Road , full place eat quick walk tube . nevertheless , room quiet , overlook residence back onto rear hotel . staff friendly helpful , allow we check - in two hour early without charge . will honest - visit London not spend much time hotel fine crash end day . bed comfortable room good size clean . bathroom would benefit little refurbishment work perfectly acceptable . comment breakfast always eat outside hotel . note : evening meal serve . downside stay lift . prove increasingly difficult call last day give completely . leave engineer walk stair . could happen anywhere seem event not unusual . may great limited mobility . not expect 5 * comfort brief visit London budget , be fine . would recommend hotel budget conscious traveller spend much time hotel . be look luxury , may place . value , get four star . 
 Dec 19 2008 	 enjoy staying 	 spend three night Barkston Gardens Hotel mid - December . hotel web page seem cheap way book room . use travel budget , also stay Earl 's Court hotel . , hotel turn good choice area far . really enjoy stay Barkston Gardens much . first , many other already note , location excellent - ( ! ) close Earl 's Court Tube station nevertheless quiet street . besides many small surround shop pub , also huge Sainsbury 's minute distance Cromwell Road . though other criticize hotel might benefit refurbishment , find room well public area clean , charming cozy . high ceiling , big window light warm colour clearly contribute impression . bed really huge comfortable , whole room large London hotel . though heating bit difficult regulate , room temperature pleasant . , however , point might problematic traveller use high standard , though not bother much . also already mention , water pressure could well , though temperature warm enough . moreover , reason , fire alarm turn times middle first night . finally , old building , floor tend rather noisy , might good idea use earplug night . hotel reception staff ok , though could little bit concerned . breakfast rather hectic experience - though ' m convinced staff want make everything perfect , could bit relaxed . continental breakfast include price really good . sum , really like place , nice house comfortable room great location . definitely try stay next visit London . 
 Dec 2 2008 	 competitive price comfortable hotel 	 pro : - 50 mt Earl 's Court station ; - quiet zone , fast food restaurant immediate nearby ; - comfortable bed two pillow ( 1.90mt high ) ; - good price : pay 50 pound / day.- clean bathroom room ; - free wifi ; neutral : - breakfast ; - hot , stay fully dress room ; con : - noisy floor , especially floor ; 
 Nov 28 2008 	 live review 	 traveller budget rely heavily Trip Advisor review come book accomodation . find hotel ( perhaps realistic expectation ) dissapointe . yes little tired ( especially corridor ) lick paint would harm . yes floor creak add extra one week stay fire alarm go apparent reason number time ... include memorably 1 am ! ! ...... room allocate clean , bed ( importantly bed ) good order . bathroom well maintain show bath also bath large enough proper bath .. problem lack hot water . the staff helpful .... start reception , even though arrive 10 am happy check go straight room . Gus team make sure breakfast rush well manage cook breakfast fine . the hotel well locate compare price other investigate give value money . 
 Nov 27 2008 	 extent - luck draw 	 London work - stay hotel , Monday check Friday morning , two consecutive week . overall impression : staff friendly accommodating . hotel tired bed towel room clean good order . visit locate front building overlooking must , Barkston Gardens . hotel around corner Earls Court tube , ( Earls Court Road end ) . like sleep window open , noise Earls Court Road always present really loud time . Breakfast provide , staff friendly - fare totally bland try . first week : small single room – cosy , fourth floor . Cubicle shower , quite adequate , hot water something appear provide certain time 24 - hour period . central heating work fine turn suit ; like cooler go bed , , ' cater . nice touch : tea coffee make facility provide staff keep top . second week : large room sixth floor . shower bath – guess due insufficient water pressure altitude reason run around shower order get wet – ' really matter though hot water barely manage get . room note state bare black foot , carpet due clean - could really use hot water . to extent , clearly case luck draw Barkston . although return London subsequent week ' relocate another hotel similar price overall ' happy . 
 Nov 6 2008 	 cheap bit dump 	 hotel pretty good location , side street Earls ' Court Road , overlook garden area . convenient Earls ' Court tube station . traffic people main road audible window shut bearable ( ear plug might good move though ) . noise continue fairly late though . the hotel pretty grubby - look ( paintwork etc desperately need attention ) make feel clean , although reality sheet bathroom seem fine . be ok be budget willing tolerate , ideal . my main gripe temperature room . visit November reason room absolutely boil hot . arrive 10 pm open window immediately , hope would cool want go sleep . radiator evidently time seem way control temperature . unfortunately remain extremely hot night , force leave window curtain wide open try get much air possible , even get hour ' sleep . think normal November , especially consider generally get cold easily ! definitely return . 
 Nov 2 2008 	 positionposition 	 hotel typically old London hotel acceptable service good breakfast - though get little crowd . however position great - side street Earl 's Court Road face leafy private garden . the tube five minute walk offer quick direct ride Heathrow Piccadilly line offer ideal base attraction London . get Oyster card leave use tube Heathrow yse rest stay . it be easy much cheap single ticket . avoid eat pub Earl 's court - check little restaurant side street . 
 Nov 2 2008 	 perfect location 	 review read book hotel right . hotel perfect location subway 2 min away . complaint small lift slow . would highly recommend anyone go london holiday . willie waterford ireland . 
 Oct 22 2008 	 convenient location - close tube 	 pick hotel need stay Earls Court area want near tube would not drag suitcase far . hotel ideally situate . check efficient friendy . 4th floor - lift . room back quiet . room clean , tidy cosy . hospitality tray provide kettle , tea , coffee 2 pack biscuit . trouser press , chest drawer small wardrobe approx 6 hanger . there tv - old work fine main 5 channel . the bathroom fine - shower bath . plenty towel little basket contain soap , shower cap , sew kit shoe shine pad . large container shower gel mount wall bath , .continental breakfast include room rate . breakfast room busy - Sunday morning - get table without trouble . choice breakfast item fine . different cereal , tin fruit include prune , slice ham cheese , croissant fresh roll ( lovely ) toast , yoghurt , tea coffee . staff efficient clearing table etc . if require plenty place eat Earls Court Road minute walk hotel - restaurant , takeaway , coffee shop , pub , grocery shop etc . need leave luggage hotel check time problem secure luggage room . all good stay reasonably price hotel would certainly stay next London . 
 Oct 19 2008 	 wonderful hotel seem generate mixed review . 	 great trepidation take chance guest love hotel precise hate . travel good friend expect good accommodation probably use spend willing spend . I book room part package Air Canada vacation . good deal direct flight Ottawa flexibility book exact number day need London . our check - in check efficient , safety deposit box valuable . also plug adaptor front desk small deposit could plug laptop camera 240 volt main power . ( check ensure switch able 110 - 240 volt power supply ) bedside lamp die one morning problem report front desk come right box assorted lamp , one correct problem . our room level 4 face back courtyard - pretty view quiet . large bedroom comfortable king - sized bed sufficient room move plenty storage space . room bathroom approximately twice size similar price accommodation Paris . there comment television reception - 5 available channel old TV ' - could get BBC news need anything else . room also wireless internet ( slow ) , iron iron board hair dryer . bathroom enormous large tub shower unlimited supply hot water though shower tricky take little time determine work . our room super clean cosy towel sheet pre - pay continental buffet breakfast part package deal . seem lot complaint breakfast ' know complainer talk . every morning breakfast include assortment juice ; coffee ( english difficulty make palatable coffee ) tea ; prune , grapefruit orange slice peach ; slice ham cheese ; toast jam . full english breakfast additional 4.50 pound . grant ' normally eat breakfast variety quantity food offer reasonable considering cost . occasion wait 5 minute seat welcome bright breakfast room . service efficient friendly . hotel locate three minute walk Earl ' Court - terrific local connection tube bus run frequently step away . find number local restaurant , chinese , indian french inexpensive excellent around corner Earl ' Court Road , Earl ' Court Gardens , Hogarth Place Kenway Road . close find staff helpful english skill adequate task . 
 Oct 19 2008 	 dump 	 Cracky floor , diry carpet , wall need paint , dirty bed sheet , water pressure problem bathroom . overall , book hotel around 40gbp fair deal . facility average . worth try save extra buck . travel partner 's room worse encounter rouche ! ! ! 
 Oct 13 2008 	 gem 	 second stay Barkston Gardens , stay May 08 also . reason return great stay first time round thought must fluke . it be not , hotel little worn could little decor TLC however clean , staff friendly , room good size advantageously situate travel underground , road link within walking distance ( 25mins ) museum london affulent beguiling architecture . also simply fall hotel eat number restaurant simply could not ask more . another 10/10 definate promise return . a well price gem heart London . 
