Nov 	 Favorite City 	 Great Hotel close Moscone Convention Center work downtown walking distance anything want . 
 Sep 22 2009 	 great Stay Price ! 	 second time stay hotel , GF 's first trip SF . Marriott Platinum member , ' ve stay number Marriott property , consistently good property . walk around city , notice Marriotts , say probably one well situate hotel . 5 - night stay , must one convention another lobby bustle people . overall , great stay , people friendly efficient . $ 135 per night , steal ! plus : - check - in quick , efficient , friendly . concierge helpful questions.- Location fantastic . 2 block cable car , 1 block BART , many breakfast option outside hotel.- Room 19th floor view city . great bed usual . lot space.- exercise room pool free unlike Starwood properties- clean people efficient job room every day- concierge lounge stock essential despite crowded breakfast evening- 29th floor bar great place drink enjoy view citynegative : - window room pretty dirty . guess 's understable constant fog.- Wi - fi room ! ! ! 
 Sep 19 2009 	 Great Hotel location 	 stay three night . locate within 2 block end Powell Street Cable car BART stop . also near large Westfield mall ( 2 block ) . Felt safe walking around night . use BART get airport $ 8 not need car . get car plan leave garage cost $ 55 , garage catercorner little $ 30 ( would get recharged go day come back ) .The hotel clean , Starbucks lobby , free wifi lobby , typical Marriott pool . bed comfortable . room 26th floor good view water . 
 Sep 14 2009 	 major issue . average hotel . 	 stay business recently . overall , nice stay , nothing special . perhaps ' ve get little spoiled property lately ! CheckinSmooth efficient . quick . probably friendly staff member encounter . RoomWas upgrade junior suite . really surprised tired room look . think Marriott 's recently remodel . guy get new bed technology stuff , carpet still really worn . issue housekeeping . concierge LoungeDecent selection breakfast happy hour . small seating area -- really setup breakfast -- maybe 5 table total -- rest lounge area not functional breakfast . 3 day , never anyone lounge speak . even person lounge ! not think ' ve ever happen property ! overall , ok . probably would stay . 
 Sep 11 2009 	 Comfortable Bed . great location Price . close MUNI . 	 fantastic rate find price line hot WIRE . location soma close China Town Union Sq . close several muni public transportation stop 's really easy get around . close convention center well . bed comfortable clean . room roomy nicely appoint . would highly recommend hotel tourist want stay nice place great price ( $ 135 per night get good PriceLine quote ) .Recommend dine LULU 2 block east hotel -- - great food ! ! also : not rent car s.f . muni public transportation fantastic cheap . get 1 day 3 day muni pass . well worth ! 
 Sep 7 2009 	 good Hotel - say tin 	 stay Marriott Moscone Centre first 4 day trip San Francisco . first room give right beside elevator ask switch room far away possible elavator shaft ( hotel several express elevator lot noise ) . immediately send bellboy key another room . new room 15th floor enourmous ! suite ( pay basic double room ) seperate live area bedroom giant flat screen tv room . bathroom decent size . everything work well room clean good standard day . hotel really business use clear patron stay also amenity offer . lobby ( always freeze air conditioning always maxe ) starbuck handy breakfast . also bar right top hotel fabulous view San Fran . although decor little dated hotel , exactly say tin . indoor pool look nice ( time use ) outdoor terrace relax on . all , great hotel . great restaurant try San Fran First Crush ( great menu great wine ) . also try Fleur De Lys fine dining . little pretentious bill shocker - lovely place go special occasion . 
 Sep 4 2009 	 stay need bed close Moscone Center . 	 choose SF Marriott cuz easy walk trade show host meeting w / partner customer . need small meeting room simple catering , find another hotel . offer sleep room attach meeting suite , unless want Ballroom . coffee $ 100 per gallon ( tea ! ) . soda $ 6.50ea . say be charge drink , 's lie . shop local Walgreen 's affordable snack drink use catered beverage ( use visitor ) . charge we originally order , could not tell we , refuse anything . morning setup folk show late , cater not ready 8 am . reiterate need 7:45 setup , next morning show 6:45 woke ceo . another time , room service decide add ice setup make much noise , stop meet escort room . ask handicap room guy wheelchair give room step shower , even call verified plenty room wheel shower . several employee notice stuff rifle . hotel much convention business long know anything customer service . sale Staff not know Suites make impossible see Suites prior event .... will not even send picture . neglect tell we Luxury suite ( @ $ 50 cheap per nite ) much big Marriott Suite half bath meeting area . always make sure suite major meeting bathroom , person sleep room ( case , CEO ! ) will not share bathroom visitor . able preview room , would catch faux pas . 's good thing ceo flexible understanding ! sale staff never around help . gal sale front desk really exist . send email GM hotel problem ( oh yes , ! ) yet hear peep . small company not ask much ... couple nice room meet customer beverage catering . nightmare ! next year much small hotel appreciate business . recommend ! 
 Sep 3 2009 	 Comfy bed clean nice view 	 spend 5 night see city first time . hotel centrally locate trolley line Muni stop . place , nice come home comfortable room . room decent view , whether city harbor . 39th floor wonderful bar restaurant . totally worth go see drink dessert . food pretty basic , dinner might well spend elsewhere . platinum member Marriott , concierge lounge great breakfast morning . would say downside hotel cater convention . one hotel participant rather rude loud public area . oh , rent car , Hertz hotel , EXCEPT , hotel valet charge $ 10 go get car .. rip . next time , walk two block go regular Hertz rental office . 
 Aug 31 2009 	 thief - well organized Bunch 	 stay San Francisco Marriot , iPhone item steal vehicle leave valet parking . try resolve issue hotel valet parking service definitely give impression theft cover - up well organize . it fault slip brand new iPhone 3gs , run battery way hotel , console compartment forget take handed car valet parking . the next morning valet bring car , immediately find phone item miss . report parking manager tell wait investigation result . every time ask update , tell either parking manager charge , still investigate . last evening stay Hotel , talk hotel front desk manager . call hotel security tell hotel could anything , & quot ; parking operate different company wait investigation result . & quot ; next day check , parking manager tell & quot ; review video tape question employee , find suspicious activity & quot ; . thing could help fill claim form , know going deny . a week later , receive letter parking company . letter states guest leave valuable item vehicle responsible anything lose . my impression ordeal : San Francisco Marriot thief parking staff . hotel parking company ' care . systematic way delay complaint guest leave , deny claim use fine print back parking ticket . I file police report SFPD . encourage guest similar experience also file police report . enough case hopefully sfpd investigate . do mention valet parking cost $ 56 per night ? 
 Aug 27 2009 	 great Stay ! would go back sure ! 	 celebrate 30th anniversary trip San Francisco last week . choose hotel location - perfect ! room service excellent ! little worried past review -- yes ... would enjoy clean window ... window every building , bus , trolley need good washing ! think 's kind hard fog coming keep glass crystal clear . anyway ! hotel next public transportation - get 3 day pass - blast ! even go 39 floor - want see great view city go elevator room ... ! Westfield Mall 1/2 block away - great shopping really good food court . get come back San Fran ... be stay ! ! 
 Aug 26 2009 	 convenient location ideal business travel 	 location good be go Moscone Center anywhere else SoMa . 's 1 block BART , Market Street , Moscone Center , across street Metreon . walk easily Embarcadero , 5 block away . lot food option around hotel 's area . area 's step Union Square area term niceness ( ie , people ask money SoMa ) 's mean bad area . view room not pretty ; window face uglier part soma . furthermore , disappointed hotel wireless internet , option pay something like $ 14 use ethernet hi - speed internet . probably would not stay unless successfully bid lot low Priceline . 
 Aug 17 2009 	 could not well 	 stay SF Half Marathon , could not well ( except park free less expensive ) . location perfect ... w / in walk distance Embarcadero , Union Square , etc . easy access via BART / public transport SFO , etc . room nice size well appoint . request meet without ask twice .... staff accommodate helpful . perfect launch point weekend make stay even relax enjoyable . 
 Aug 14 2009 	 suppose go back next aug . -- uuuggghh ! 	 hope hotel managment read review ! ! ! ! room : : : hotel know 's window -- please clean . awful . I think moth raid hotel pray not get clothe bring home I . serously - your bed may bedbug . 2 bite go doctor tomorrow find bedbug -- hear . cool . why cut back cleaning ? clean important part room .... right ? vent , bedding , pillow floor dirty . Gross ! call front desk 2 time get fresh bed never get . stay 5 night never get clean sheet bedding . legal ? hotel : : : please keep bar open large convention . promise make money . ask group staying think employee would go bar -- staff keep open -- otherwise hang lobby . WHY - WHY - WHY - why hard offer wi - fi room free ? seriously , today world 's must we stay . probably lose customer due fact not could ever cost . important thing clean room . hope people stay hotel review point . hope work next year improve . pray not moth bedbug suspect . Marriott - act like one . cleanliness # 1 . service # 2 . room important .... please make comfortable towel clean window . hard Marriott ? one person read review book worth pay housekeeper clean . People read review hope every person read call directly ask change cleaning policy , check moth bedbug clean window past month . beautiful week look dingy window look rainy dark . sunny . ' m serious say evidence dirt vent , moth bite furniture pray bite get bedbug . either way stay gross . pray ice get clean . not even think drank drink . traveler , company book bring food bleach wipe clean . improve item would love someone write review tell force stay next Aug. work . be good : Location - hotel great location . be one thing hotel change . improve cleaning may good hotel . not even mention tray outside room 24 hour food . , person stay room . Uuuuuggghhh . 
 Aug 12 2009 	 3 star good ! 	 many option San Francisco , book Marriott San Francisco couple reasons:1 ) location central wll want do2 ) senior discount ( mom qualified ) offer good rate3 ) not hip choice area ( W Intercontinental ) negative party , include 3 children4 ) tend brand loyal , Marriott Elite memberHowever , return city , look elsewhere couple reasons:1 ) room preference ( list profile ) ignore . request refrigerator , high floor extra towel . receive none these.2 ) mom need soda get back hotel Giants game . 11:10pm . late city , right ? well , vend machine list available floor , remove . gift shop close . room service close . front desk clerk direct we 7 - 11 good 10 minute walk away Market St . ' m glad not alone , would feel uncomfortable . 4 star hotel major city , able get something simple Diet Coke 11 pm issue . God forbid need something that.3 ) time get back 7 - 11 , want head view lounge husband drink , yet closed midnight ! , expect hotel respect . 4 ) room coffee joke . quality awful , powdered creamer Sweet Low . travel mom lot , anything provide in - room save time money , without venture get need . 5 ) fire drill exercise conduct start 8 am ! plusse hotel included:1 ) bed comfortable.2 ) location good foot , much car.3 ) check - in easy painless4 ) indoor pool whirlpool kid . while hotel might meed need traveler , , venture elsewhere next time . 
 Aug 9 2009 	 Time Refresh 	 location property definately fantastic . easy access cable car , BART station , Caltrain station . inside , feel like convention central ! lot meeting happen lot people stand around lobby . entire hotel need major refresh . hall drab ( artwork color ) , guestroom not wireless internet ( really ? ? even basic service hotel wireless day ! ) , food ok . service pretty good . staff pleasant . however , check room service tray belong previous occupant outside door stay nearly 24 hour . someone else 's old dish unconsumed food pleasant way welcome guest property . 
 Aug 7 2009 	 Excellent Location friendly staff Good Value ! 	 great hotel base family trip San Francisco . trip SF complete without visit Fisherman 's Wharf , Cable Car ride visit huge number shop hotel perfectly locate . 2 minute large Nordstrum shopping Mall world , minute Powell Cable Car Station $ 5 whisk way Wharf . even though everything doorstep , hotel feel busy central city base hotel . staff ' super ' friendly , room normal fare Marriott , nice decor , good size clean , proper 4 star hotel . eat family Hotel expensive , go breakfast dinner , however spoil choice restaurant doorstep not bother . pool little small indoor , least one , many not .. free WiFi bar , although not see advertise anywhere . the good feedback give would return flash ..... 
 Aug 3 2009 	 moth hit hotel 	 ' m write review room last night hotel . will start positive element San Francisco Marriott . location GREAT . 's walk distance major shopping area ( Westfield Mall , Union Square , etc . ) Moscone Center . room large ( although not major consideration ) . cheese plate excellent , room service price good sfo.that say , hotel aging poorly -- management not invest keeping . major complaint extremely poor housekeeping ( probably drive cost - save measure management company ) . several thing lead suspicion : ( 1 ) short time spend actually clean room -- will get detail , ( 2 ) two towel / king size room , -- egregiously , mind -- turn air conditioning every DAY ignore preference . first , investment perspective : ( 1 ) phone bed functional , ( 2 ) window cover grime outside hard tell actually foggy , dirt , ( 3 ) furniture moth - bite , ( 4 ) linen moth - bite , ( 5 ) bathroom amenity minimal ( shampoo , conditioner , lotion ) , ( 6 ) room service not serve lunch anything 11:00 p.m. , ( 7 ) wireless internet access room ( actually connect 2.5 foot cable modem ) -- much relaxing bed . housekeeping ridiculous . ' m expense account , ' m penny pincher come tip good service . start $ 5 tip . bad service . bumped $ 10 second night see make difference . nope . air conditioning turn every day . ice bucket never empty . bed linen change five - night stay ( instruction & quot ; energy & quot ; ( read : cost ) save initiative ) . Bathroom coat scum regardless many night here . bottom line , understand desire save cost . however , enough hotel look ' customize stay ' would look property charge amount well in - room experience . 
 Jul 18 2009 	 Marriott 's slip showing ! 	 Belt - tightening cause Marriott shut room service 11PM leave nowhere hotel find morsel eat except tidbit room cost least $ 4 plus 20 % & quot ; restock fee & quot ; ? ? ? tax . even vend machine ! weary traveler arrive late direct diner 1 block away . need armed guard get even far . sun go street inhabit pimp , druggie , lady night . effort economize , Marriott offer nowhere eat hotel 11am 5pm . bring lunch , folk ! ! 
 Jul 18 2009 	 Comfortable stay 	 room attractive , clean , nice size hdtv , good lighting reading , great bathroom . comfortable bed feather comforter cozy little warm time year . hotel staff friendly helpful . nice view soma area room . since get good travel package deal room , feel great value money pay . snafu high - rise elevator not function one day warm ( ! ) day SF . not walk 30th floor let we use staff elevator ! drink bar 39th floor enjoy view . 
 Jul 12 2009 	 large spacious room superbly locate 	 Platinum Marriott member , ' m quite brand - loyal recently become disillusioned quality several large - city Marriotts ' ve stay . ' m delighted say SFO Marriott remind choose Marriott first place . the room - second time ' ve stay , first status Marriott , seem fairly standard - large , especially inner - city property . working desk large chair / table / bench intuitively locate within room , feel comfortable . typically luxurious Marriott bed nice linen . massive window natural light , proper blackout curtain sleep be lucky enough morning . thankfully venue not dreadful Citrus range Marriott Bath Body work toiletry - range creamy herby rather smell like commerical cleaning product . the real bonus property location ! within five minute walk downtown shopping could possibly want , short walk BART want go afield . travel 50 % time would dead ate hotel food every day / night . thing hugely appreciate property proximity wonderful Bristol Farms supermarket ( shopping centre three door ) . amazing pre - prepared food sushi hot meal , full grocery store complete marvelous produce . Marriott provide in - room refrigerator charge , unlike many venue self - cater healthy food minimum hassle . night 's usual array homeless around venue , downtown San Francisco pretty standard . be go outside shopping venue , be go deal anyway . be dangerous - nuisance . the concierge lounge lovely , usual array tea , coffee , decent breakfast . one well breakfast service ' ve experience . fruit , yoghurt , egg , plenty bread bagel etc . shame can not say evening service . chicken strip disappear replenish first 45 minute . come work ( be ever do work 5 pm travel ? ) really nothing leave except mangy veggie leftover well - use dressing . spring roll plentiful , largely nobody eat . oily , revolt really not . ask chicken , concierge ( generally delightful miss mark particular issue ) say & quot ; need get early ! & quot ; . service mean go 5.30 7 pm ( memory ) bit rough , view , 6.10pm arrive . the in - house restaurant ok , limited selection , especially not want fish , seafood steak . 's plenty choice around hotel , would strongly recommend Bistro ( Annabelle 's ) across street - superb european quality food reasonable restaurant price . Ignore bar , look divey , head straight table - will not disappoint . two appetizer dinner - carpaccio black bean soup - superb . wine list quite good . large room could not ask convenient location . highly recommend . ' m currently stay another Marriott inner - city property ( Philadelphia shall review check week 's time ) be utterly hideous . prompt go online positively review San Francisco . really excellent property . 
 Jul 11 2009 	 average well pay purely location 	 lobby , service overall cleanliness hotel fine , really beat location hotel San Francisco . however could not help staying day conference ( know nightly rate ) , realize would never pay much quality hotel . room overall feel hotel seem outdated rather early 90 's nouveux riche ; kind like try cool , hip fancy hotel , fall well behind time . suggestion would find unique hotel decent location save chunk money . 
 Jul 11 2009 	 good hotel 	 stay Marriott least four time SF long weekend . good hotel three day weekend SF . 
 Jul 7 2009 	 nice stay overall ... beware answer wake call 	 stay hotel 5 night last week ( 6/27 7/2 ) conference . hotel nice room good condition . stay low rise section hotel ( 7 floor ) never wait second elevator . know easy job keep clean , window filthy ( view great , still ) . eat hotel stay . go bar top hotel one night couple drink . outstanding view city . car , notice hotel parking $ 50 + per day . many restaurant store within block . wireless access hotel room , even fee . now big complaint ... one morning get wake - up call . wake late , bathroom someone start pound ( mean pound ) door repeatedly . get bathroom , answer door find hotel security guard . proceed rudely blurt & quot ; not answer wake call want make sure not dead & quot ; . could say anything , turn around walk away . call front desk say hotel policy . ask hotel policy guard say & quot ; want make sure not dead & quot ; reply talk guard . 
 Jul 6 2009 	 Clean Quiet 	 Hotel lovely , clean , quiet safe . location perfect , less block away cable car turnaround . would stay . 
 Jul 1 2009 	 ok biz fun 	 actually stay Marriott night reservation friends family discount , walk around corner Palace Hotel instead . desk clerk rude , inefficient , waste much time verify discount real skip dinner plan . we good experience Marriotts abroad US , thought would try one home city . many nice hotel SF choose , point bother try stay , unless host corporate event ( large well locate ) want indoor pool , Palace several hotel well . 
 Jun 14 2009 	 first choice San Francisco downtown ! 	 ' ve stay Marriott times San Francisco . 's good hotel ' ve ever stay 's little fault opinion . great location right next Moscone Centre one side downtown . would not consider stay anywhere else . the lobby refurbish stay April 08 complete hotel lobby large , bright airy . one thing note large hotel lot people around time - personally like find staff still give great service . hotel seem use quite bit conference delegate . the room good size usual Marriott comfortable bed large LCD tv . room service quick provide good selection tasty meal . restaurant good quick bite eat lunchtime also great selection breakfast . my slight criticism lack wifi room . use wire internet connection can not use device iPhone . while hotel make sure check bar top floor - view spectacular . 
 Jun 7 2009 	 new favorite hotel San Francisco 	 great experience Marriott San Francisco . husband go city 30th birthday , stay new Intercontinental Howard night . get Saturday night stay $ 103 plus tax Marriott 's website . check experience one well ever , offerred upgrade $ 20 , opt , desk guy give we room 26th floor anyway . great view city spacious room . food cocktail View lounge 39th floor fantastic . antipasti tray awesome , wonderful flat bread , fancy salami cure meat , cheese , olive , sundried tomateo ( $ 14 ) . signature drink , Crystal Slipper tasty stout ( $ 14 ) . chair couch plush , look right city Bay . waitress nice attentive , Earth . heavenly bed good sleep - in Sunday morning . hit gym , lap perfect temperature pool , relaxed jacuzzi . gym great , personal tv machine , lot new LifeFitness equipment weight . intercontinental also great , expensive : $ 119 Friday night , $ 137 saturday , resaturant pricey . room big Marriott . money , would rather go back Marriott , be well value . park right across street 5th Mission Yerba Buena garage , $ 30 12 - 24 hour . 
 Jun 5 2009 	 really great .... 	 say ... favorite hotel San Francisco ... ' ve stay 5 thus far . bit expensive great room , great service great location ... oh great lounge top floor amazing view city . great place stay . 
 may 21 2009 	 great location 	 get hotel Priceline give huge room 17th floor . living area , desk bar area . location fantastic ... shopping . across Westfield Mall , Barneys block away , right heart everything . downside parking expensive . 
 May 20 2009 	 excellent choice convention 	 stay ther convention Moscone Convention Center . location ! location ! location . hotel huge . service key , get pay . view top floor bar unique must see ! pool close inspection remodeling . 
 May 19 2009 	 Nice hotel 	 hotel great area explore city . right across Market St. Union Square couple block cable car stop take Fisherman 's Wharf . complaint bed way small . husband go 16 year old daughter get room two double bed . guess ' m use hotel room queen bed seem small . next time , family three , would get King room roll - away bring . check fast staff friendly . prepare pay alot parking - $ 55 register guest . 
 May 13 2009 	 great location super value perfect family 55 South St SFO 	 great location , super value , perfect family - stay laster Grand Hyatt Union Square actually feel convenient roomy - esp shopping . starbuck ground floor . 
 may 11 2009 	 avoid place cost 	 husband travel west coast family reunion . decide make vacation spend 4 day gorgeous San Francisco . trip not start great . reserve hotel indoor pool ; find service would able use jacuzzi stay . clerk not even apologize , not get email let know ahead time hotel would partially construction . , mortify arrive hotel , midnight , half empty bottle water floor next bed ( make think one change sheet ) dry pee toilet seat- make think nothing room clean . call desk let know room not clean desk clerk keep say way , & quot ; will make sure housekeeping not charge water . & quot ; finally understand , long flight , ( actually 3am us ) follow bellman around hotel look clean room . reserve room 1 king bed , put we room 2 bed . husband not fit double bed say clean- check ask hotel busy , say barely 30 % hotel occupy . anyways , 1 hour finally find we room correct appear clean . not room key say would slide door . next morning , leave room forget something ; try room key slid door not work . ask housekeeper let we , wouldn't- understandable , point phone outside elevator use call desk . say would send someone . twenty minute later finally get room . apology anything , fact try blame we say must demagnetize . customer service awful . decide check find another hotel . initial reservation 4 night , even though check 1 night , clerk not even ask we . would assume economy , could use every red cent could get . 
 may 5 2009 	 good place stay city 	 stay city family wedding event . conveniently locate near many thing . Sony metreon right next door , lot shop easy walk . China town little Italy 10 - 20 min walk away . union square block away . hotel nice people amply provide information direction interaction pleasant . parking expensive valet quick , helpful nice plus car safe public lot . omelet chef mission café 2nd floor great buffet good . another plus Coffee Bean & amp ; Tea Company locate around corner hotel . 
 May 2 2009 	 great hotel biz trip San Francisco 	 stay meeting attend hotel . thing sort slow service 39th floor lounge ' reception ' hold . find hotel conveniently locate everything ideal business trip . also , get fantastic rate Expedia package book two week prior stay . 
 Apr 1 2009 	 Great Location pricey 	 recently stay hotel 4 night business trip . hotel large modern . lot convention go hundred people always lobby . busy service still good . they gym nice lot machine free weight choose . easy walk great food shopping accross street . $ 10 taxi $ 1.50 street car trip fisherman warf Alcatraz tour . nice place stay rather pricey $ 289 per night plus tax . 
 Mar 18 2009 	 friendly helpful staff great location 	 Marriott San Francisco Downtown great location say lot . concierge folk outside attentive seem provide sense security necessary visitor afar . hotel also separate high rise mid rise elevator make always short wait next elevator hotel within walk distance san francisco offer - nightly , complimentary entertainment variety show variety ; 4 block chinatown maybe 30 minute airport shuttle probably 20 taxi week . prepare spend money , access everything convenience store outside shopping . across street Bloomingdales department store well numerous fine hotel likely fine nightspot dayspot matter be look adult beverage . adjoining room thin wall , careful light sleeper . 
 Mar 8 2009 	 great location View Lounge incredible ! 	 hotel perfectly locate accessing San Francisco see . 's convenient Union Square shopping , cable car right around corner China Town Fisherman 's wharf ride away . hotel large find front desk staff helpful attentive . cocktail View Lounge sunset absolute must , even though drink pricey . guess $ 14 ( plus tip ) cocktail worth though , give magnificent 360 degree view ! minor issue room ( break ethernet cable , bathrobe , malfunction hairdryer ) immediately rectify staff . complaint would room bit small food hotel limit quite expensive . eat - lot great restaurant nearby . overall nice hotel . 
 Feb 16 2009 	 Awesome location 	 Hotel centrally locate , literally across street Metreon Yerba Buena garden . stay 2 night stay . staff professional , polite friendly . ask could hold luggage check time offer we early check great room 21 . floor . 
 Feb 7 2009 	 Nice Hotel Modern Rooms 	 stay San Francisco Marriott 5 night attend conference pay $ 219 / night ( well conference rate ) .We stay regular room ( # 2261 ) please find modern appear renovated room . the concierge great know great place eat . like great Sushi without pay ambiance , try Sakana , within walk distance . the location near Market street shop , near Union Square close Market Street Trolly take Fisherman 's Wharf . trolly $ 5 / per person . F street bus also convenient ( $ 1.50 / per person ) .The fitness center good thing property great equipment . our complaint charge $ 12.95 / day internet room . however , free lobby . this hotel high 3 star / solid 4 star property nice staff . 
 Jan 30 2009 	 Nice hotel understandibly impersonal 	 stay two night upon arrive San Francisco set road trip . location : hotel well locate shopping main business section city . take 20 minute walk pier 39 , pleasant walk . issue : nothingpositive : nothing spectacular - hotel lovely big . restaurant : eat one meal restaurant - nice location within hotel although particularly private . food good price reasonable . service friendly . room : room spacious clean . large wooden desk plasma tv large bathroom . other comment : not use internet lobby - cost we fortune ! ! , nice hotel . price vary massively - pay $ 199 per night ( £ 100 time ) try book two week later , around $ 400 ! ! worth ! 
 Jan 20 2009 	 okay guess Nothing special 	 conference recently would say staying strength weakness . good point : easy walk convention center cheap restaurant ( hotel 's ridiculously overpriced ) , far Union Square , like 10 minute cable car ride Fisherman 's Wharf . second , not mind spend extra food drink Marriott plenty option . bad point : $ 300 night expect not overwhelm anything hotel 's inflated price . also , not exactly pleased could honor request king size bed make sleep good . overall would not say bad experience certainly not well ' ve ever either . ' m thankful company foot bill one would not feel satisfied rate charge . 
 Jan 19 2009 	 great service ... expensive food ! 	 stay San Franscisco Marriott two - day business meeting . service hotel excellent . check - in quick , room great . clean without scent ( pet peeve hotel : deodorizer room & quot ; freshener & quot ; ) . thank ! room great view bay , two window partially open , allow fresh air . complaint room lack towel bar bathroom . share room , place hang towel could reuse . tv remote work , call desk , maintenance worker show new one less 10 minute . next night request ice fulfil prompt manner . great service . price food conference hotel restaurant astonishing ; almost absurd . service charge gratuity , sack lunch sandwich side amaze $ 50 per person ! ! ! location perfect ; near everything downtown . 
 Jan 9 2009 	 Disappointing 	 ' ve stay San Francisco Marriott business family weekend getaway many time . last year remodel bar / lounge / lobby area , well . large comfortable lounge top stair empty space , presumably use event . new bar disappointingly lack character service terrible . slow , unhelpful ability answer question bar menu . food , come finally , almost inedible . room disappointment . right opposite elevator lobby , huge crack sink , use coffee cup vanity counter . stay one night not time move room . contact hotel management stay let know problem hear anything . be Marriott Reward member would expect kind response . be go look another hotel SF next visit . 
