Great 	 clean , great service location . close cable car turnabout shop . stay Studio suit travel family free breakfast promotion beat . negative & quot ; private & quot ; toilet room bathroom pretty standard staying suite . kid love ride glass elevator 19th floor location . 
 oct 13 2009 	 great location helpful staff comfortable room great bedding . 	 great service - all staff extremely helpful especially doormen concierge . location easy access tourist attraction . room clean , quiet usual comfy marriott bed - we need good pillow sleep . day walk city , sit front fireplace drink . nothing not like . 
 Sep 23 2009 	 Hotel typical couple small misstep 	 Hotel good union square location . usual , not profile request extra towel , fridge ( minibar stock personal item ) . platinum elite , able access vip lounge , ideal leisure trip , closed weekend , end early ( 9:30am think ) mostly continental scramble egg . voucher alternate breakfast offer . what rational marriott use consider wi - fi internet access ? stay courtyard $ 150 night get wi - fi free , stay JW $ 350 nightand get nickle dim additional $ 25 / night ? starbuck across street give free wi - fi $ 2.50 purchase case hate pay much something free . next , Marriott continue drop ball inform guest advance rennovation one 4 elevator shaft , outside awning . noise delay minimal except smal wait elevator . but unfortunately second time row company flawlessly communicate marketing opportunity advance stay , fail communicate rennovation advance . can not seem get right , especially stay pleasure . siren never stop , despite 19th floor room , thin glass remind we constantly , city . in summary , hotel so - so . view ok ( unless vip lounge ) , location fine , parking rape $ 45 / night despite private garage area offer rate half . would stay elsewhere value concern , $ 350 / night average stay not concern , satisfied choice . 
 Sep 19 2009 	 nothing write home ..... 	 property nice staff average . not smile never go way helpful . fact , book room come vip King Tut ticket . give we check , go lobby twice pick . excite spending 2 day fun San Francisco anything would appreciate . nothing special .... $ 55 night park car ridiculous . 
 Sep 18 2009 	 not use mini - bar plan sleep ! ! 	 stay 5 night business . room fine , staff excellent location good . however , window like paper keep neither wind noise . 9 story could hear everything street , not get good night 's sleep . frame seem old metal gap . also , fail put price list minibar ( suspect deliberately , although could not prove ) . would not beer . ' m use minibar price inlfate expect maybe $ 6 - 8 $ 12 inlcude tax little beer ! ! ! seriously abuse would never ever ever ever stay Marriott ( partner ) rip experience , consider spend much time hotel , quite bit business miss . 
 Sep 13 2009 	 wonderful modern hotel great location 	 stay hotel two night head Napa . check late greet friendly check staff . room gorgeous much large room ' m use stay NYC . bed comfortable bathroom large tub separate stand shower . great location many thing want see . finally , great happy hour comfortable lounge area even come back stay another hotel come back Napa . 
 Sep 11 2009 	 Fabulous stay every level ! 	 husband , 9 yr old daughter stay Marriott 22 - 28 Aug 2009 . check like leave family . Bell hop , concierge , front desk , cleaner room service delightful , professional , friendly helpful . room immaculate , spacious comfy , decor tasteful . bed bed linen dreamy , want bring pillow home . room service dinner well price delicious . would highly recommend wonderful hotel anyone San Francisco definitely check back ' family ' . 
 Aug 25 2009 	 Perfect 40th Anniversary 	 Marriott Staff see every need graciously . location perfect . Matt Ordway go way beyond expectation find perfect restaurant , make reservation , provide transportation . like Marriott exceptional . new & quot ; look & quot ; fun . 
 Aug 16 2009 	 Loved stay JW Marriott Union Square 	 return 4 night stay JW . everything fabulous ! two room . happily hold luggage room ready , arrive check time . front desk staff polite friendly . room quite large , bed comfortable everything hotel immaculate ! modern beautiful decor ! concierge lounge wonderful view city great place snack relax outside room . well worth upgrade fee . Darlene Concierge pleasant helpful direction , restaurant suggestion get we rental car large enough six busy tourist season . staff member ask direction ready highlighter outline us map hotel available . Jesse Front Desk Manager equally helpful pleasant go way provide we truly great experience hotel ! ! ! ! great hotel , fabulous location shopping restaurant everywhere , well easy access form public transportation . would highly recommend stay next trip San Francisco , recommend know . definately back ! thank entire staff great trip . 
 Aug 10 2009 	 Location location location ... hotel 's bad either ! 	 ' m go lie -- one big reason choose stay JW plethora Marriott Rewards point use good friend say have great time stay . enough we turn , like friend , make good choice . hotel perfect home - base six night stay . room plush comfy great bathroom ; service check - in check - out great ; get incredibly good advice concierge pretty nice stay overall ( even pleasantly treat hotel 's car service night birthday dinner . maybe fact dress nine help ? care either way ; come downstair ask taxi get personal town car ride . feel pretty glam ! ) location beat . block ' walk every form public transportation imaginable ... muni , bus , train , cable car , street car . easily within reach we . one caveat ... parking . yes , be incredibly expensive . pay $ 45 night , feel like highway robbery , gather 's pretty standard many hotel San Francisco . one reason next trip City Bay , will rely solely public transport . unless be make day trip wine country spot ( like ) , probably need car . 
 Aug 7 2009 	 phenomenal location acceptable service 	 hotel modern ; feel like boutique hotel NYC really enjoy ; room well appoint comfortable top bottom . service however acceptable ; people nice , lack extra touch ' anticipation one need ' . would stay , long expectation service . really bad location room top notch ! 
 Aug 6 2009 	 JW name 	 overprice ; average everything else . parking $ 50 night ; drink high price good ; paper deliver room . 
 Aug 5 2009 	 Great Hotel 	 stay JW 7/29 - 8/4 , great experience . staff helpful restaurant reservation , direction attraction overall question . room nicely decorate comfortable . Michael Matthew conceige desk could not enough . disappointing moment ask front desk could hold room little long check time since not pickup airport 8:00pm ladt day , tell employee hotel not full normally allow also tell ask Antonio front desk , sothat be ask Antonio ask room number say hotel book . get feel stay one room cost would give room couple hour willing pay . overall wonderful hotel wonderful trip . love San Francisco . 
 Jul 22 2009 	 great ! 	 location 's great 's near Union Square Westfield Shopping Centre ! service good room clean . 
 Jul 20 2009 	 nice room good location Union Square trolley 	 room clean , bathroom nice . room little loud face Mason , 's city . staff nice attentive lack answer regard public transportation . nice overall . 
 Jul 17 2009 	 clean room nice hotel staff . 	 husband stay week J.W . Marriott great experience . town Cisco Live ! convention . every member hotel staff encounter nice helpful . stay 21 floor view Golden Gate Bridge distance . room nice size clean . bed comfortable along pillow . flat screen tv plus along workstation . computer chair awesome ! bathroom incredible . towel soft , plenty water pressure shower , separate tub nice soaking , magnification mirror awesome . coffee provide coffee maker also excellent . hotel provide two bathroom use feel soft . hotel also air conditioning find San Francisco hotel ! never wait long car retrieve valet parking someone always outside open door answer question area . hotel convenient location Union Square Chinatown short hike away Mascone Center . enjoy stay would definitely stay even town . 
 Jul 6 2009 	 efficient service good location quiet room 	 stay 3 night ... bellman , valet , concierge helpful & amp ; efficient . not really use hotel much anything sleep can not speak restaurant business service . internet room work fine ( though hate pay since many hotel offer free ) . know well use minibar . fortunately , be plethora wal - green area stock water snack . wish pillow well . ' m huge fan pillow . firm one like gigantic rock . guess 's hard please everyone bedding . read many review SF hotel & amp ; claustrophobic room not bad . overall , room nice ( need drawer unpack ) . quiet term noise hotel , could hear street noise even 8th floor . not think hotel spa concierge hooked wife & amp ; friend nearby spa , complaint . get great deal trip & amp ; would definitely stay price reasonable . 
 Jun 28 2009 	 good ever 	 Super service entry court . room gorgeous view West , almost could see China distance . Needed & quot ; early arrival & quot ; room exec gal arrange . weneeded rack lamb dinner , concierge find right restaurant need . a perfectly splendid trip . hope back soon ... 
 Jun 23 2009 	 almost ` ` JW '' Marriott 	 wife attend conference SF JW Marriott . property nice modern , open flair . couple shortcoming . first , room nice , enough drawer unpack luggage 4 day visit . mini - bar adequately stock , price even outrageous one normal find hotel room mini - bar . top , & quot ; 15 second rule & quot ; post door fridge , essence , say remove item mini - bar 15 second , charge item ( plus approriate tax $ 20 & quot ; re - stocking fee ) . towel linen rough one 's skin . next , one dining experience hotel restaurant acceptable , however food service conference ( especially breakfast ) poor . food usually cold bit greasy - one would expect city tout organic food healthy lifestyle ! staff friendly accomodate - expectation JW Marriott . overall - good visit , quite would like . property JW Marriott - 's almost ! 
 Jun 18 2009 	 Nice hotel business trip 	 husband stay night December business trip SF . front desk staff nice upon hear birthday , upgrade we corner room one high floor , beautiful view large room . room nice , clean bed comfortable . bathroom nice size well . hotel modern ( kind sterile feeling ) . close Union Square couple block chinatown . travel kid , would recommend stay close Fishermans Wharf , adult visit , nice choice . 
 Jun 7 2009 	 definitely stay ! 	 always try stay Marriott hotel ' m member reward program . little hesitant stay read review great experience ! travel lot business ( least two week month ) stay fair share hotel . far one good hotel ' ve stay in . the staff check - in friendly give couple option room ( one city view 19th floor large room sit area 12th floor ) since schedule stay two week . choose view great ! since room definitely large enough bathroom great . room clean quiet ( ' m light sleeper quiet important ! ) concierge lounge nice breakfast well appetizer dessert night . staff concierge desk great help every question . give great recommendation friendly . the location hotel great ! close cable car line close union square lot shop restaurant ! definitely stay return San Francisco ! 
 May 27 2009 	 HORRIBLE ! ! ! 	 HORRIBLE HOTEL ! ! , , bad service . hotel associate helpful make excuse lack service . hotel live Marriott name . even manager horrible . front desk manager associate slow , friendly , knowledgeable surround area . worth price . restaurant Level 111 DEAD , food overprice taste ok . computer available guest use work ask assistance Front Desk Manager useless call anyone help therefore unable print boarding pass . first night plug tub not work . next day houskeepe clean dismantle drain leave call fix . door attendant friendly . virtual concierge concierge efficient , friendly , helpful planning . contact virtual concierge ticket event ended sell , concierge unable provide alternative suggestion . call concierge arrange airport shuttle busy tell we would call we back . never call we back . love SF would never stay JW Marriott EVER ! ! 
 May 27 2009 	 Awesome Hotel Great Location San Francisco gem Union Square 	 hotel great amenity ... great location ... generally excellent service . use point offset night cost ... hotel treat we like royalty . amazing experience ... high floor corner room great view city bay distance . hotel staff friendly accomodate , seem genuinely pleased select thier hotel celebrate 30th anniversary . room ( small suite ) large city hotel clean ... smell great . bar ( Level III ) great open space computer large fire place .... need cool windy day . morning bar turn Star Bucks ... also need start busy day . outside staff always ready help ... get cab to / from airport problem ... cost $ 45 ( car parkinging ) . speak car , several rental agency within 2 short block .... within distance broad spectrum shop ( high end ) , Union Square , cable car , Market Street huge mall ( San Francisco shopping center ) . shopper family , Nervana . location hotel great , rush step away club shop public transit .... include Powel / Market cable car ( $ 5 way ) . dine hotel , order wine cheese sampler & quot ; Best San Francisco & quot ; . would hesitate return highly recommend hotel . 
 may 22 2009 	 Courtyard Marriott Steroids 	 hotel must go bankrupt base staff comment - arrive late evening ( around 10:30pm ) figure JW Marriott would room service get light dinner . wrong ! Operator tell cut room service & quot ; could not afford difficult economic time . & quot ; later call concierge couple time , leave message - still wait call back . probably cut service difficult time . button room butler service - push left push never hear butler . probably cut service difficult time . the good - good location near Union Square . not know SF , area little gritty night walk wrong direction block Union Square shopping restaurant . also , room quite spacious well appoint Marriott instituational quality . bad hotel not pay premium - long time Marriott customer , difference hotel Courtyard lobby bar restaurant . course , Courtyards lobby bar restaurant maybe difference . , not pay premium hotel feel comfortable find cheap rate . 
 may 9 2009 	 nice place stay 	 great weekend away - convenient public transport SFO site attraction . room comfortable clean . 
 May 4 2009 	 solid hotel great location 	 make two different trip hotel past month . room clean well - furnish . bathroom large separate tub shower . shower bit small non - suite room . service good . yes , request ice bring room never take 5 minute arrive . location one block Union Square . cable car , shopping , great restaurant close . staff friendly attentive . expensive consider brand location expect . hi - tech min - bar charge item remove 15 bit annoying . sensor system room malfunction $ 100 charge two day . wire internet access room usual $ 12.95 / day bit slow erratic evening hour . 
 Apr 24 2009 	 Nice 	 Stayed April ' 09 2 night conjunction business event . although would say amenity slightly JW Marriotts ' ve stay , still nice ... par regular Marriott . highlight include modern lobby & amp ; lounge . room feature upgrade bathroom w / separate tub shower large LCD HD TV . review critical noise adjoining room hear nothing stay , despite report & quot ; full house . & quot ; eat hotel 's restaurant , experience hotel 's food breakfast , lunch , dinner cocktail small business function . food service outstanding ! hotel 's location convenient , near Union Square , edge seedy Tenderloin district . long not venture far wrong direction , fine . my complaint would slow internet response time experience . internet rate line full - service hotel $ 12.95 / day also include free local long distance call . overall , fine property would say suited business traveler couple , family . 
 Apr 14 2009 	 take turn bad 	 hotel become JW Marriott @ 2 year ago . new owner ' remodel ' bathroom remove tv tub showerhead . Gee , usually remodel involve improvement . also remove dresser drawer install mini - bar ( note say charge item remove 15 second , store item mini - bar ) . live suitcase . ice bucket dirty , ice machine available guest . must request ice bring room . towel provide , look fresh . one high internet rate ' ve see - $ 6.95 15 minute . another card room state guest charge $ 250 room smell smoke . room service cost definitely high end . room / charge family friendly . 
 Mar 30 2009 	 great location decent room average service 	 stay hotel 4 night August 08 first leg CA trip holiday . hotel locate right downtown , block away Union Square . designer shop , mall , good choice restaurant , china town – everything pretty much nearby . concierge quite helpful recommend good restaurant ( ask chinese , mexican , italian japanese good ) . stay hotel , lobby construction , could really tell . Gym ok , nothing special . one night people next room party call front desk . start smoke ( illegal CA ) actually something . room service way average . really bug everyone expect get tip ( guess America work ) . , hotel nothing special . think worth pay Marriott point location allow explore SF easily . would probably stay pay cash . 
 Mar 26 2009 	 JW Marriott international hotel standard 	 hotel disappointment . service ( bell boy / porter concierge ) particularly effective seem either bore disintereste . hotel room nice size appreciate window actually open . bathroom similar style JW Marriott hotel room bathroom ( lot mirror glass , brown granite marble everywhere ) , dusty rise bathtub toilet rather odd place . bathroom looked partially renovate ... hotel block Powell BART station near Union Square . consider quality service JW Marriott hotel stay around world , location fall far short . 
 Mar 21 2009 	 great location perfect hotel 	 stay week Xmas Marriott point . atrium style hotel room circle lobby / bar / reception area . slightly disappointed room - feel bit dowdy lot noise neighbouring room - could hear full conversation . great bathroom - big well equip well stock towel toiletry . view neighbouring office quite dark . also expect small tv bathroom - think read review . entrance lift not view reception staff lift not man anyone could walk street get lift potentially room . think keycard system get lift room floor . fab location walk load shop / restaurant . also walk Fishermans Wharf - abour 30 min . handy cable car . easy walk Market St tram . door great little theatre -post St able see Dame Edna . only happy hour cocktail bar quite expensive . concierge helpful . ice deliver quickly room . safe not work arrival report come back walk still unfixed - pain carry credit card passport . phone tell room fix - specify first time . time due go 49er game work get bus Union Square . really not want carry valuable ask could use safe reception . get receptionist dead slow stop -only one person wait 45 minute time huge queue build behind we check . eventually get sort - slowly . end wait behind reception someone try find safe key work work . miss valuable time game fuming ... write note head receptionist serve someone else say disappointed debacle . return game expect apology something room nothing . check get apology strangely week later get e - mail apologise profusely offer refund Marriott point one night stay . well nothing quick apology would leave well taste ! good Marriott stayed pay full rate would somewhat disappoint . 
 Mar 16 2009 	 great Stay 	 great hotel wonderful location Union Square . hotel elegant clean . room large big bathroom . staff attentive valet parking quick . comfy bed . concierge helpful . butler button work staff quite fast ice , wine opener , towel , etc . would definitely stay magnificent hotel 
 Mar 6 2009 	 good hotel expensive family though . 	 travel business California wife 9 month old son travel along . stop San Francisco leisure day . hotel nice contemporary decor , friendly staff , good location like shop . room average size . clean . bathroom large expect , although tall beware shower head . we order room service . get order wrong three time ! food average good , get order , way overprice - not care California . several good local restaurant nearby though . the bed extremely soft . room quiet . bell staff friendly prompt service . pool hotel . also place , room , good sit child . lobby really cool look child / baby proof . valet park hotel get ready get wallet expensive , near $ 50 / day , plus tip guy . neighborhood definitely fine day . night still comfortable street people around . walk homeless begger location . also seem rather unsavory neighborhood far away one direction . would wandered far night , particularly baby we . overall hotel would great travel alone girlfriend / boyfirend spouse . chic . hotel good family , particularly familie young child . would come back child . 
 Feb 25 2009 	 Fantastic Bed Nice Rooms lot outside noise 	 Stayed weekend January wife 's birthday . hotel nice property nowhere near JW Marriotts stay think newly build one take . room decent size bed world . nice LCD HDTV HD programming not see hotel day . location near Union Square beat ! 5 - 10 minute walk away Square . dinner lobby bar first night appetizer not bad ( Garlic / Parm fry , Kobe beef slider , Chicken Satay , ) breakfast hotel , end go starbuck couple block every morning . , nice place , great location wonderful bed ! 
 Feb 23 2009 	 slightly diasppointe - well option 	 usally travel San Francisco time year usually stay Marriott Westin . since company prefer rate Marriott , thought would try JW late trip , despite location near Union Square ( could not beat ) , admit slightly disappointed . my trip start badly wait nearly half hour reception reservation & quot ; find & quot ; - - despite copy travel itinerary confirmation number provide . exactly way want greet cross country flight , could deal that . overall , find room similar Marriotts across country although bathroom little nicer - surprising give premium marque . however , big complaint due room ultimately find adjacent fitness center . several time early morning stay ( think 4 am ) , awaken several tremendous & quot ; crash & quot ; shake wall ( consequently bed frame ) ' Big one & quot ; come . later learn headboard directly wall dumbell locate rude people think nothing drop floor use . IMHO , would recommend stay Mariott Market Street pay little extra corner concierge room . 
 Jan 4 2009 	 bed comfy ! 	 write review hotel bed . comfortable , can not bring get ! hotel room large also . happy here . the reason not give 5 star 2 day row front desk give we wrong information concierge level lounge . two morning row , miss breakfast . however , tell compensate we breakfast downstairs . breakfast buffet , way , amazing . we also give usage complementry house car . great touch . husband suit dry clean , pick drop day room . great hotel great location Union Square . 
 Dec 18 2008 	 favorite SanFran Hotel 	 travel San Francisco extensively past two year , always try book JW . love hotel overall , large , beautifully furnish decorate room , helpful friendly staff . room layout decor different ' standard ' hotel always pleasantly surprised check in . the recent renovation lobby area seem follow recent Marriott trend towards & quot ; sleek trendy & quot ; ' ve notice Marriott property . however , not work 100 % .. sometimes feel ' m young hip enough hang bar area .. anyway ; - ) . eat restaurant couple time since re - do , food good , pricey . room frequently less expensive area Marriotts work week , honest would trouble swinge night two company not pick tab . , San Francisco .. great location boot . block Union Square theater . highly recommend . 
 Dec 7 2008 	 excellent choice 	 wife , son , stay 5 night end August ! use marriott point love property ! get corner room give we king bed sofa bedfor son . also upgrade Concierge Level.most concierge level offer cont breakfast , morelike full breakfast buffet . 5p come cheese vegetable least 2 hot appetizers.staff hotel knowledgeable friendly . 
 Nov 30 2008 	 bad 	 Better expect . 's locate 3 minute walk Union Square shopping locate . 7 minute walk F train take Alcatraz Pier . hotel modern clean . registration check - in locate 3rd floor will need take elevator walk . lobby attractive graciously upgrade 15th floor . room seem newly renovate , modern decor , big window , big screen LCD tv , big king size bed , large bathroom tub separate shower rain shower shower head , two bathrobe use . bed comfortable one person another person , feel spring bed bounce bit . window single pane hear emergency vehicle pass night car honking . wall thin can not tell someone knock door neighbor , could also hear someone cough , turn page magazine next door , conversation not muffle . room clean maid leave 2 chocalate we next day . room service fast friendly . iPhone could get 3 g room ... room everything need . overall , happy stay would stay . 
 Oct 25 2008 	 standard Marriott 	 JW Marriott standard always find Marriott level . 1 . wad hair bathroom floor.2.M & amp ; stick table memo pad.3.a makeup bag drape leave prior guest.4 . badly break bathroom glass towel rough white.5 . coffee serve bar saucer full slop coffee attitude bar 3 patron drink already . 6 . put butler button ice wait 30 minute calling desk send ice.7 . request cereal bowl ceral spoon breakfast cheese serve without crackers.8 . hotel charge 12 day WIFI free less expensive Marriott brand . the front desk Conceriage terrific man maane front door . would suggest spend money else San Francisco . 
 Oct 19 2008 	 pleasantly surprised 	 usually prefer stay small boutique hotel , however book Marriott since gift certificate put towards room . first walk , feel bit like mall ( bright pattern rug , statue , elevator music , etc ) . take elevator reception feel little impersonal . , great advantage stay large hotel like . first , room huge compare city hotel ' ve stay . , come home late one night realize run contact solution , reception desk open hotel convenient store . grateful not roam around late night find open store buy contact solution ! overall hotel clean service great . 
 Oct 12 2008 	 great end holiday JW Marriott SF 	 stay JW Marriott end holiday drive around California . ' m Marriott Platinum member ( i.e . stay Marriotts 100 + night year ) treatment might typical guest . first impression ' hmm ' - hotel look nice , , strangely lobby third floor , entrance first floor . driving also bit stuck hotel 's drive entrance actually Mason street , due SF 's one way system not easy get back onto , , arrive car try get onto Mason / Post . parking expensive San Francisco general , well bring car avoid certainly ' need city . Hertz location hotel , also one Mason street less block away well . however , arrival great , hotel lobby lovely , roof actually open way top hotel ( 21 floor ) . elevator also look view , really nice travel room be high floor ( bar / rest area 21st floor ) .Got room 18th floor , nicely big , nice view could see bay always nice high . ( see photo review see view ) . bed typical Marriott one ( i.e . lovely relaxing ) , bathroom well present marble , bath robe provide ( nb : one bathroom sink reason , wardrobe usual ) lovely shower . wife also enjoy bath . tv also nice - huge 42 & quot ; high def affair , lot channel choice . nice touch room also ' valet call ' button - could press valet would come room , nice touch ( little like ' butler bell call ' old style house England ) . room also ipod base play music around room ( not one know well work ) also access club lounge , 21st floor , breakfast nibble . quite busy , , amazing view city , comprehensive breakfast ( like american breakfast continental one ) , would even lend DVD player want . service staff great , even allow we check late flight evening . everyone polite thoroughly enjoy stay - shame single night . final point location - though hotel claim Union square actually block away ... not make difference , , minor point . , otherwise hotel great location - excellent shopping within block , cable car . area also safe late night lot traffic light view . we stay San Francisco Marriott trip , one definately nicer , , come back San Francisco would try stay possible ( Bear mind ' m loyal Marriotts ! ) 
 Sep 2 2008 	 Nice Hotel Good Location 	 would recommend JW Marriott San Francisco stay . wife stay anniversary receive great service . greet check - in Bianka , exceptionally nice welcoming . hotel construction ( Sept. 2008 ) first floor ( near valet parking area ) , affect we way . not hear anything notice , get elevator . the room nice , great view city . great tv bedding , plus high quality bathroom . hotel even helpful get SF Giants baseball game .... hotel car service take we right ! location good , couple block cable car , take everywhere tourist would want go . taxicab also easily grab , need . we stay Marriott point ( steal give price hotel San Francisco ) , comment value various rate . overall , would strongly recommend Marriott property . 
 Aug 25 2008 	 good hotel SF 	 staff hotel really helpful listened request . suite nicely decorate comfortable . issue however resolve quickly . only issue could not resolve noise disco . 
 Aug 24 2008 	 Nice dig ' special ' vibe 	 nothing complain except want ' glamour ' family ' vacation . room nicely appoint , albeit small family 4 ( many hotel think 2 double bed good 4 people , queen ? ) service excellent , mostly friendly neutral , never bad . location good . special way , consider money pay . feel like nice business hotel ..... maybe suppose .... would prefer destination luxury hotel . 
