MGM 	 beautiful room , great view , close much fun , include much need Walgreens & amp ; CVS Pharmacy . Nathans awesome & quot ; fast & quot ; food . pool gorgeous . Television City fun . casino crowd cool . negative free amenity ; mini - fridge , coffee pot , essential family . otherwise fantastic ! 
 Great Hotel ! 	 hotel great ! busy , always treat like value . bed extra comfy , show KA David Copperfield MGM see ! like MGM something every time day . great pool , huge casino , lot show , lion habitat , amazing ! would stay ! 
 good family 	 not come gambling nightlife , come chill end long road trip . although Vegas mad hard work find hotel relax pool complex fantastic . hotel 's location great low end strip monorail back bus stop front - would not bother monorail time ' ve walk back hotel could bus away strip . grand tower room ( clean v comfortable ) 29 , bit daunt first worthwhile view great get free wifi skyloft . 6yr old daughter love pool , ( sleep ) lion , Rainforest Cafe , New York fairy castle across road , good bellagio fountain 20 minute strip . 
 Grand 	 first trip Vegas book MGM high hope - take we around 30 min get check . seem enough front desk staff handle volume people come through . when get room disappointment - firstly smell damp ( possible Nevada ? ) . one kid immediately need restroom report back toilet clean . room miss coffee maker fridge old tube tv - feel 10 - 15 date . pay Internet $ 15 / night seem steep quite low speed . the Grand buffet disappointment breakfast - carbo heavy offering little fresh fruit cereal - display counter top cooking station clean several week judge thick layer dust . also poor Sudio Cafe breakfast - Denny 's quality $ 30 per head . the casino however one well play week . we stay 2 night happy move strip venetian order magnitude well . go somewhere else well money ................ 
 MGM good 	 First hotel huge ! something like 6,000 room . good part ton thing hotel without ever leave . , leave , right middle everything . highly recommend Ticketbooth block street . get ticket Cher $ 60 ! hotel , room nice bed comfy . stay regular room time try West Wing . not bother spend $ upgrade . room small bathroom room - door , shower next sink toliet . strange . regular room much well , large view ( West Wing bed window ) . third time MGM would stay . use trip advisor get great deal $ 25 day activity credit along $ 70 night rate . far good rate internet . thank trip advisor ! 
 watch wallet ! 	 MGM blatant corporate edifice . want coffee ? starbuck available , least 5 . catch movie ? nope . . eat reasonably ? ha ! really joke . free WIFI ? yes ... $ 14.95 / day . the whole experience depress . take 45 minute check . afraid take long , could check time . stay away MGM . 
 great stay 	 Awesome hotel / casino .... absolutely monumental size great value money . casino look far great rounder . superb food shopping , really friendly staff nicely present room 
 hotel meet Las Vegas requirement ! 	 glad book MGM 5 day Vegas . staff accommodate check check , room clean beautiful view . bed extremely comfortable . restaurant range plush plush special section McDonalds Nathans want something simple . starbuck add also . its also great place gamble good location . 
 Las Vegas MGM Grand 	 Top Notch Hotel ! please accomodation ! 
 Great Service - Lotsa Fun 	 thoroughly enjoy stay MGM . take lot walk around get bearing , moment arrive , impressed . massive hotel benefit Cirque , shop dining right doorstep . one thing , prepare cost dine one many restaurant within hotel . delicious , expensive dinner seablue . great bar plenty slot . would return . 
 Nov 19 2009 	 faint heart 	 would recommend MGM Grand . day arrive , take 8 hour get room . exaggerate . get early , yes , could get room . end go show still not ready return . line check - in -- Sunday , ridiculous . anyone least bit trouble walk not even consider MGM Grand . pool , nothing great , two mile away room hotel . 's long walk room , even elevator . restaurant good , casino okay , show see -- Howie Mandel -- good . get cheap room rate , reason stay , , would pay little simply stay hotel get free room due casino play . 
 Nov 19 2009 	 Amazing Hotel 	 stay almost week let tell one thing , hotel perfect , atmosphere amazing , not look around , , will not regret . 
 Nov 19 2009 	 Awesome stay MGM Grand 	 2nd Part first Vegas trip stay MGM Grand plan get marry , do not actually get marry MGM I m sure would nice . when arrive staff great , line , great service professional , room great , great bathroom tv great bed , Awesome view strip normal run house room . no TIMESHARE idiots hang around EITHER ! day married staff nothing short awesome , book wedding dinner ( two we ) japanese restuart , mention married staff must say something head chef end give we free cocktail great , everyone staff patron awesome , Buffet good indeed ! sad leave , Sitting Starbucks 6 am wait Shuttle see ppl still gamble fun great see sad time . we love place much stay MGM Signute Suites come back 2010 . tip next time around go take taxi find shuttle service Las Vegas poor , way Airport leave Grayline seem issue we trouble find airline ( US AIR UNITED end take we , sorry do not know every single airline USA .. * eyeroll * ) plus come shuttle nightmare , many drunk fool bus 1 pm . 
 Nov 19 2009 	 cheap deal place comfortable night 's sleep clearly not want spend time room 	 stay MGM grand two night celebrity Spa suite , follow half price offer last minute . check easy came find room - ask five different staff direction - first four unsure layout unable help , therefore spend first 20 minute wonder around busy casino heavy luggage . celebrity spa suite comprise large room , partly divide closet , desk , sofa armchair one half bed bedside table . closet contain television . sink fridge one wall . room large bathroom . room dark even middle day need light . bed clean , good linen , comfortable , definitely good part room . bathroom admittedly large large whirlpool mbath , shabby expose pipe , shower automatically flood floor . tea coffee room limited choice channel , option pay per view film . understand spa , swimming pool fitness suite appear substantial additional cost way clearly signpost . overall impression , unsurprisingly suppose , want discourage staying room , MGM grand wholeheartedly casino first hotel last ( none additional theme hotel strip ) therefore would not recommend hotel unless get really cheap deal purely want place crash head back . 
 Nov 18 2009 	 great 	 MGM beautiful private hotel . room good size need comfortable stay , think one really want room . two thing major downfall : maid touch thing . ' m one paticularily care move sweater make bed talk line shoe , arrange make - up chosing go back caddy . 's , even pack bag ! know , really want mother could ask . lesson learned- leave panty false eyelash unattended vamoo ! stay check drawer leave . the front desk / spa staff little challenge need pay . understand service worker , really . come , not check - in 30 min long enough process ? make check HOUR ? ( exagerating ) whole check - out would smooth sailing way relaxed wanna - be high end spa staff math challenge . 1 Master card = 2 charge . charge amount semingly pluck air . oh twice ! soon realize credit card bill little fat week later . . hold hostage untill whole ordeal iron out . hey , learn forgive . nice place sleep ! great bed pillow . spa hide mecca . clean , private . would suggest do not plan show catch checking in / out . check bill thoroughly . P.S 's * buck lobby ( TWR 1 ) ! 
 Nov 15 2009 	 one good Vegas Hotels value money 	 second visit hotel . summer kid choose amusement great pool area lazy river ride .We choose hotel November pool stay open unlike many other . spend week perfect sunshine 80 degree . slight criticism- pool area pack struggle find sunlounger . receptionist friendly knowledegable country help we feel comfortable . room rate superb come additional & quot ; bonus & quot ; . visit Studio 54 nightclub lively everyone seem dancefloor . clearly not consume enough alcohol sensible enough realise old can not dance type music . tabu lounge however music mixed crowd . go New York new York great entertainment nine Fine Irishmen duel piano bar . MGM could live band music lounge otherwise great hotel good room . 
 Nov 14 2009 	 amazing time ! 	 ' ve Vegas time good experience ' ve ever . arrive Nov. 3 , 10:00am . $ 9 cab ride airport hotel line check . everybody extremely friendly eager help we . room clean bed comfy . everything need hotel , many restaurant choose , partie club MGM . favorite TABU , good place good music . lucky room near elevator since usually long walk get front hotel . would staty , spa beautiful pool amazing well . 
 Nov 14 2009 	 absolutely Amazing 	 7 3 friend spend 3 night . hotel amazing , big . clean , many amenity . staff really nice 7 helpful . location perfect 7 Monorail great . Th Buffet fantastic . also love Lions & amp ; Rainforest Restaurant . excellent value money . def return . 
 Nov 11 2009 	 terrific stay 	 medical emergency first night , handle impressively . beautiful hotel great staff ! 
 Nov 11 2009 	 First Time Vegas 	 hotel convenience . able charge every restaurant room , mean not need pull card every time . need late checkout accommodate ( good could due high volumne booking ) . exceptionally helpful Bellhop counter , lineup taxi 's time need get airport system bypass lineup get cab way . hotel locate southend strip bus stop rightout front door skytrain stop hotel . mostly walk ! buffet restaurant excellent buffet -- day ! need late night snack -- Wolf Gang Pucks open night , locate lobby . hotel rate little high high Season Week ! not get pool could see -- look large . will not make mistake stay ! 
 Nov 11 2009 	 beautiful room smoky casino noisy housekeeping staff 	 front staff decent , pick room matching request . room beautiful . single complaint room . nice linen , good mattress , huge bathroom . ' ve never hear noisy housekeeping staff hotel . start 9AM . bang cart hallway , talk full volume ... ' m late Vegas like sleep 10AM - can not here . the casino terribly smoky . one bad Strip . pool complex however - one good Strip . location way south Strip , well selection inexpensive restaurant end Strip . much few food option north end . long line bell desk check look check luggage hour . go way 11am avoid line . rather surly bellman mutter comment everytime someone line ahead not tip . bit much . 
 Nov 10 2009 	 Prima great offer ! 	 well , search reviews prima mgm find enough review make try . review read family go canadian thanksgiving informative , try add plus minus . first , buy one get one several restaurant bar . use max . three great meal , craftsteak , fiami , seablue . name pretty much describe food type , even bogo entree , dinner still $ 100 plus . opinion worth . like love great dining , valuable discount.the bogo bar awesome , one bar , centrifuge , bartender actually apply discount buy drink couple big football bet.we not get room upgrade , place west wing give $ 50 credit . west wing , sometimes expensive , imho be not really upgrade . room , section hotel date . I m sure standard room look like , least nice probably nice . 15 % discount several shop come handy buying souvenirs kids.as mention previous review , receive 40 % ka tix , do not use upgrade . ka wonderful , will not disappoint show . also , related prima offer half crazy horse tix buy ka tix . ch show topless small stage , late night show . production , woman beautiful . do not mean dirty stripper way , be not bashful show worth $ 30 discount price.the use gym area nice plus , let real , people actually workout vegas.the wet republic close go , know , think would old crowd.the entry studio 54 tabu would nice , unfortunately , always tie something else , probably drink gambling.a special line buffet , checkin taxi huge vegas . several time day line 30 min long , prima ... limo ride , free , still charge $ 20 gratuity room gratuity . 20 total per trip . still great fun value though.i actually harrah player , usually enjoy discount program , interested change pace . glad choose mgm / prima.if know plan eat well see show vegas , pretty much know $ 500 spend . progam work well . however , strict budget , normally get compe anyway , do not sign prima . 
 Nov 10 2009 	 MGM Grand excellent choice Vegas get away 	 Husband recently attend SEMA show Vegas stay MGM Grand . room overlook Tropicana comfortable . the service restaurant good standard . my complaint smoking still allow inside casino , make quite unpleasant play slot walk building cost use internet also high . 
 Nov 9 2009 	 party hotel 	 book parent hotel wedding weekend stay MGM Signature think would good since two hotel connect like monorail connect MGM mom walk get everything hike hard mom . hotel really beautiful hotels strip parent complain noisy early morning people stumble back room party night hotel HUGE ... separate elevator different section hotel careful getting make sure go actual floor room sit on . we eat buffet one morning food pretty good ... be pretty expensive . old say cheap eat vegas long true think everywhere go expensive eat . buy two kiddie ice cream cup one nite cost we $ 10 - even food court hotel expensive . if look party hotel think MGM place . 
 Nov 8 2009 	 Ordinary 	 stay two night ( mid -week ) avoid weekend crowd . room deluxe room Grand Tower . ok , nothing write home . river pool open , two young boy disappoint . also not enjoy people drinkin beer smoke pool open . lifeguard seem turn blind eye . also , despite tell upon checkout authorisation credi card release , three subsequent phone call hotel arrive back Australia , wait 30 day authorisation release . next time , give cash . would stay ...... , well option Vegas , say , would not stay Vegas either . 
 Nov 7 2009 	 huge hotel - good . . . bad . good value Vegas . 	 many review , sure say anything groundbreake not already say . huge hotel get ( got ) rather crowded weekend . highly suggest airport check - in option , line look long time lobby . room okay ( hd tv ) , smoke smell decent enough size . quiet . plenty restaurant casino . . . mixed clientele . obvious trip Vegas definitely class hotel , would say MGM Grand mid - upper class . go Excalibur ( ) Bellagio ( ) see mean . get decent deal , will not disappoint MGM . would stay , many choice Vegas next time will try somewhere different . 
 Nov 6 2009 	 Fun ! 	 fun stay MGM . room super nice clean really well every day . pool nice . Wichcraft , sandwich place hotel , not good . good security place . certain time show room key order go elevator . 
 Nov 6 2009 	 Rubbish 	 preferred MGM other give good value money room stay Las Vegas .. book online 1 year old daughter .. check long Que . walk lot get room . enter room totally different sell we , call back reception tell we come back get room .. long walk go get key .. room book online west wing guess 1 mile walk away suggest anyone kid .. room rubbish even though newly build window look like one bedroom flat without thing look outside .. view window could see behind bed thing roof depressing view .. bathroom shower door make glass lock .. wardrobe small safe .. request microwave never provide we .. check hour never offer compensation .. would never stay MGM .. look good place guess Bellagio venetian good Budget .. can not beat Caesar Palace .. good shopping food etc .. MgM nothing casino pleasant either , . restaurant buffet much choice food either overall MGM bad experience 
 Nov 6 2009 	 round good hotel 	 return trip Las Vegas . stay MGM 5 night . overall good hotel . opt Prima card mean upgrade bungalow suite . room nice big two queen size bed fab , far comfortable bed sleep hotel . facility room rubbish . tea coffee facility fridge . 2 tv 's fridge ? ? ? ? basic facility can not understand room . ask champagne glass bring whilst use free , delivery charge around $ 3 ! ! ! whilst price nominal , seriously charge housekeeping bring something room ! ! ! housekeep fine . little late couple day issue time room . restaurant , bar etc hotel fine . prima card good pressure spend resort credit . fine regular meal etc restrict MGM hotel ( many ! include Bellagio , Mirage , Treasure Island ) . would stay hotel next time would probably like bit central , example , Bellagio , Ceasars palace . highly recommend see & quot ; & quot ; Bellagio . book ticket online UK get 25 % . excellent show . term club , must go club : Monday -XS WynnTuesday - Pure Ceasars PalaceWednesday - LAX LuxorThursday - Tao VenetianFriday - Tryst WynnSaturday - clubWe also take helicopter flight canyon sundance helicopter fab . not drink much night ! 
 Nov 5 2009 	 nice room good location tight slot 	 get back stay MGM 10/29 - 11/1 . check - in fast ~1pm . not king room request available time take 2 queen . Got Grand Tower room 24th floor view airport & amp ; mountain distance fine . room good sized , clean & amp ; comfortable . room compe base play MGM hotel & amp ; first stay . find staff friendly , slot tight & amp ; drink service great . offer fast continental Starbucks breakfast ( fruit , pastry muffin & amp ; coffee ) guarantied delivery within 15 minute 11 be $ 10 beat wait long morning Starbucks line . room service fine , expect wait ~45 minute large Vegas hotel . bed comfortable . first night nice & amp ; quiet , FRI & amp ; SAT ( Halloween weekend ) loud . Friday night awaken ~ 3 am fire alarm & amp ; Saturday ~4:30 loud partygoer incline write - off rowdy Halloween crowd . hotel seem cater young rowdy crowd , , could Halloween weekend crowd . also stay Ballys , Mirage , Las Vegas Hilton , Bellagio , Wynn , Stratosphere , Circus Circus . monorail convenient & amp ; nice stay south end Strip . hotel nice Bellagio Wynn , room adequate . think hotel well suit table player & amp ; maybe familie child 40 + slot player . would give hotel one try , not like well Ballys , Mirage , Las Vegas Hilton , Bellagio Wynn ( also compe room ) . find good price deal worth try . 
 Nov 5 2009 	 outdate 	 stay MGM Grand five night part business conference . Las Vegas many time stay several nice hotel , MGM Grand least favorite . rate solely base room , amenity , location appearance , would give 2 star . however , increase 3 star service good . Rooms GroundsI stay room overlook airport , nice like plane spot . otherwise , would disturbance due noise incoming helicopter jet take ( include fighter jet ) . room small compare nice Vegas resort . amenity room – minibar , robe , slipper . bathroom date bath / shower comparable Motel 6 . bed surprisingly comfortable . lobby ground outdate need maintenance . tile lobby crack dirty . lobby flower fake ( Bellagio ) . basically , look like hotel ' renovate refresh 20 year . Hotel AmenitiesThe hotel pool basic Vegas hotel . since business , ' much pool time . spa quite nice fitness facility ( small ) . 2 3 store complex none offer anything interesting quality . dine Craftsteak emeril ' . craftsteak fabulous , write separate review praise . emeril ' , contrast , standard tourist fare unimpressive nature . gamble , comment merit casino . servicethe service hotel good . greet smile reception assist promptly courteously . room service similarly good server friendly helpful . summary , much nice resort Las Vegas price range slightly high . Bellagio , Mandalay Bay Venetian remarkably nicer would preferable . 
 Nov 5 2009 	 not get room West Wing 	 ' ve stay regular deluxe room ( separate trip ) & quot ; west wing & quot ; room . West Wing good - small window , difficult open shade , real bathroom area - glass door , little vanity space . West Wing also long walk conference room , shop , restaurant , pool , monorail . 
 Nov 4 2009 	 good expect 	 stay 3 day summer . got really good deal via web site celebratity suite . nice view , old 20 trick get view strip . impressed suite , everything aged need update . main reason stay pool location . really can not beat pool summer . mind MGM Grand need take time upgrade room keep pace hotel . 
 Nov 4 2009 	 Great Bachelorette Party stay MGM ! 	 great experience MGM ! group 12 girl stay bacherloette party , front desk accomdate make sure room next . MGM huge hotel nice little food court , great restaurant , fabulous pool , even fun lion see ! MGM ok location , monorail could take go strip ! overall experience MGM great would stay ! 
 Nov 4 2009 	 Superb .... far big 	 6 friend stay MGM 4 night mid - October check - in quick enough , much queue room ready even though check 12pm . we book package online give we standard room free extras - $ 25 credit , 2 pass Studio 54 , discount shop ( use credit order 2 x maragrita room service last night .... way absolutely lethal ) . try get complimentary upgrade & quot ; $ 20 trick & quot ; avail . room excellent view Tropicana , Mandalay Bay , Luxor , Excalibur NY NY Hotels . bed soft comfy room nice size . although tv cabinet take lot room soon replace flatscreen tv well . bathroom good size , toilet corner area , prob impressive aspect room I . the pool area brilliant real selection pool whatever mood ( include lazy river ) , good bar facility near ! however , matter good feel lot hotel , honestly would go way stay , reason simpy size property . numerous occasion , get lose casino trying find elevator room ( half time drink ! ) . go pool room get something may forget , go back pool , take 25 min ! ! probably picky , really great hotel , , big 
 Nov 4 2009 	 beautiful Big Freindly 	 stay MGM Grand 40th birthday , staff friendly , hotel Big like walk way new york new york . breakfeast buffet excellent , emeril wolfganf puck beatle lounge , enjoy Beatles lounge , room clean although room much , dissapointe part pool area close maitenance . location could well , think everyone stay least .. make sure pool open though . 
 Nov 4 2009 	 good location 	 great location Strip , opposite New York New York hotel . clean room friendly staff . book normal tower room , get nice room West Wing . lot thing see , monorail station within hotel . nice pool area crowd people . long walk distance room definitely minus . . . otherwise would recommend anyone look nice , affordable accommodation : ) 
