clean 	 arrive New York train hotel locate couple block Penn Station , location convenient . price reasonable staying city . room clean ( always top priority ) .The front desk staff friendly . breakfast include room include buffet cereal , fruit , bread , pastry , coffee , egg , etc . busy breakfast rush , problem find table . wireless free work great room . my complaint noise level room . could hear everything hallway . neighbor room night could hear door open slam shut every time . 
 Sep 3 2009 	 good value money New York 	 nothing wrong hotel . great location close Empire State Building , Penn Station subway , Madison Sq . Garden . contrary previous reviewer 's comment six table breakfast . probably around twelve table plus table outside may consider preferable . yes , get busy around 8 8.30 a.m. not go 7.45 ? good selection food include cereal , hard - boil egg , yoghurt , bread bagel toasting , pastry , ready - make omelette sausage patty , fruit probably besides . there three computer lobby free use internet . hotel stay trip charge & quot ; Business Center & quot ; .The bedroom bathroom fine perfectly clean . the price midtown Manhattan fair give fact breakfast internet use include . 
 Aug 23 2009 	 Holiday Inn - work fine NYC trip 	 four we stay single room - room small , work fine . close bus subway line . breakfast ok . find staff helpful friendly . real plus outside table front Hotel could eat takeout people watch . 
 Aug 14 2009 	 Nice hotel central location 	 stay pc point get nice room . location nice . breakfast complete chaos ! ! ! roughly six table hotel quest lead compleate chaos end eat breakfast wait elevator get back room . I ' m happy not pay actual money stay ! concierge nice though feel bit rip - off try get taxi airport suggest rent driver & amp ; car instead get taxi . all nice memory hotel . 
 Aug 13 2009 	 not leave anything valuable room ! 	 think smart hiding jewellery small jar makeup bag , even go missing ! ( think much snoop doubt do thrugh stuff make nausous ! ) not file report New York poice , big mistake . hotel respond phone call email . without report can not claim $ 500 . loss insurance company , safes room , would strongly recommend leave good jewellery home ! 
 Aug 6 2009 	 Perfect Hotel ! ! ! ! 	 could not pick well hotel ! close everything . front desk helpful also . room awesome clean bed comfortable ! timesuware walk distance Empire State buikde 2 block away . boarding area double decker bus 's 5 block away , hotel also free internet Lobby 3 computer great breakfast also 1 block away GREAT chinese restraunt call Home 8th must go ! ! ! stay hotel will not disappoint ! ! ! ! ! ! 
 Aug 4 2009 	 could not ask ! 	 hotel perfect . location superb , within walk distance everything . staff friendly courteous cleanliness exceptional . nice big comfortable bed great shower ( 2 key criterion good hotel room ! ) . breakfast great - make sure get early though avoid stampede ! free internet huge plus gym really well equip nice new cardio equipment ! shop around much book accommodation ' m glad settle one . can not beat value money hotel New York City 
 Aug 3 2009 	 great location hotel amenity fine . 	 stay girlfriend another couple long weekend trip NYC . not plan hang around room much , fact room quite small not big deal we . 4 we manage fit comfortably , though close . complaint hotel save elevator slow , everything work fine , two place park next door , ( one associated hotel give well rate , $ 25 / day believe ) , light breakfast available main floor ( though many well option available nearby ) be centrally locate good neighborhood . would stay . good need . 
 Jul 31 2009 	 New York City bargin 	 first day trip stay Times Square fun busy expensive . move place still walk distance everything . bargin . get rate $ 139 / night include free internet , hot breakfast . room big Times Square market hotel , service probably well . room clean , breakfast good ..... would recommend would definitely stay . review talk noisy yes , hear door shut one pay lot could hear people next we VIVIDLY . think small NYC hotel room . basic NYC fine . 
 Jul 29 2009 	 Good Money 	 3rd trip New York mainly see Yankees new stadium . cheap place stay NY price excellent choice . furnishing update bathroom nice . good air conditioner ( fan run time nice drown sound ) . provide free breakfast prepare crowd limit seating . close proximity subway station Penn Station . feel safe walk around outside well . helpful concierage help we get taxi check ( not expect type service hotel ) . negative list overall excellent place economical visit NY ( thing ) . negative included:1 . small room bathroom ( know go still surprise get 2 double bed room ) .2 . hall noise loud . room next stairwell door everytime someone use door could hear door slam room . great be try rest sleep.3 . never wash clothe replace . end use hand towel end 3 night stay . request wash clothe front desk say would send never see them.4 . slow elevators small ELEVATORS . annoying.5 . limited seat breakfast area crowd . kind battle food 's well spend $ $ find breakfast NY.In spite negative , would definitely go recommend Pizza Suprema 8th Ave next Madison Square Garden good slice ny pizza . 
 Jul 29 2009 	 clue operate hotel 	 hotel new clean . beyond expect nothing . overbooke hotel room reservation upon arrival . first give we room , somewhat dirty without pillow , next ice machine hotel . complint get another room . room fine except forgot towels clean room two four day . claim reservation one day short make we pay extra fee . never lobby breakfast always pack table occupy completely . short , build good hotel clue operate . 
 Jul 28 2009 	 Outstanding Staff Clean Good Breakfast 	 stay last week , affordable hotel , clean friendly staff . staff extremely helpful , travel baby make we feel welcome . breakfast also good , elevator take time morning try stay high floor get empty . one ice machine , microwave fridge room common main floor use anytime . probably good holiday - inn ' ve ever stay usually never stay hotel pleasantly surprise friendliness staff cleanliness room . would definitely recommend - close train station close shopping , rest . 
 Jul 24 2009 	 2 Tips use stair 	 Location - Great , Cleaning Staff - Great , breakfast like something pig farm ! stay 3 day really get sleep , sight seeing day . day stay , lift stop every floor , checkout take we 43 min get lift . use use stair , luggage could not . one lift family group would get lift , keep go whole time ? ? ? ? complain counter staff say customer like anyone else want stay lift staff go stop . take well grow number wait check . overall stay fine , staff need bit sympathetic majority customer well one family . 
 Jul 21 2009 	 great value good location 	 locate close city centre , Holiday Inn Express Madison Square Garden , offer good location tourist visit New York . room small side clean tidy decent linen . Breakfast Priority Club member serve room , unfortunately basic item deliver ( even bread include ! ) . breakfast though serve busy area next reception satisfy budget hotel . no major complaint , well recommend ! 
 Jul 12 2009 	 can not beat value hotel NYC 	 husband travel NYC several time , stay wide range place , W , Novetel , Affinia tiny little scary place somewhere Times Square . value , can not beat price cleanliness Holiday Inn Express Madison Square Garden . 's step away subway - easy walking distance Times Square / Broadway . stay room clean bathroom NYC , period . room small , less $ 150 night , NYC , be incredible value ( free high speed internet ! - 3 computer lobby guest use free ) . also - morning breakfast ( wish hour long ) unbeatable far selection - cold cereal bagel , breakfast include mini omelet hot sausage patty well cinnamon roll . try save money thing like shop great restaurant NYC ( L'Artusi West Village ! ) stay hotel ! oh - even let we keep bag lock 6 hour check - out time ! 
 Jul 11 2009 	 get pay ! 	 family want stay NYC cruise vacation . search affordable / clean / reliable accommodation . hotel serve purpose . however , get pay . ' ve bathroom large room . almost comical try navigate luggage around room . little luggage , go . four people , three suitcase four carry - ons utilize top armoire every available space . thank goodness really need sleep . positive note , breakfast bar nice . addition , nice seating area front hotel . nice sit enjoy summer morning evening . hotel seem fairly nice / safe area . within walking distance Empire State Building Madison Square Garden . Grayline Hop - Hop tour , hop 5 block hotel . beware ... ask room back , face alley . listen thump thump thump club fall asleep . thank goodness light sleeper . sound proof priority building hotel hope wake neighbor slam door . overall , travel budget , . 
 Jul 7 2009 	 Perfect stay 	 stay 4th July holiday second hotel . brother lovely stay right beginning ! lovely clean room 5th floor face front entrance . problem sleep night , even little noise closing room door . breakfast really good lot choice ! complentary ask ! free wifi perfect check email even look direction ! sure going stay hotel next time will go NYC ! we reason stay hotel city ! 
 Jul 3 2009 	 Good Choice budget 	 stay hotel Saint Patricks Day weekend . get great rate Travelzoo . hotel within easy walk Penn central good choice come city train . two subway near hotel one stellar neighborhood , feel safe walk back room night . hotel feature standard Holiday Inn express breakfast keep stock . helpful staff could book event . room tiny , clean . hotel buisness area restaurant type amentitie close , plenty within moderate walk subway stop away . good stay great city would stay give good deal . 
 Jun 29 2009 	 two Sleepless Nights 	 arrive Saturday night room back side hotel , apparently across club . music boom 5 morning . Sunday night , music . asleep front desk call 11:30 . tell work cable . say tv , internet , phone would work 6 a.m . tell leave phone hook 6:00 a.m. when check , give number call breakfast item deliver room ( Priority platinum member ) . day one answer number . receive message say mailbox full . the people front desk nice maid fix roll away bed . room small , expect read other review . hotel clean breakfast good , crowded good . put handcappe room careful inside bathroom door . door close hard fast . low towel hook . door slam hook bruise arm . people say , door slam lot . hotel five minute walk restaurant shop , like Macy 's . close Penn Station . use take subway , Penn station easy station start several line . we free wifi easy set . 
 Jun 22 2009 	 nice Hotel centrally locate clean room great breakfast . 	 stay Hotel three night Father 's Day weekend . even though property crowd , staff great job keep breakfast well stock . nice property . return hotel . 
 Jun 18 2009 	 great location nice staff 	 first time NYC , pleased . speak staff advice many time , extremely friendly helpful . especially compare hotel change last evening . room small , think typical . breakfast good , breakfast room small number people , especially since rain exterior table limit . subway around corner , guess discount parking convenient . , offer discount , pay half pay change hotel . would definitely stay . jeremie particularly helpful 
 Jun 17 2009 	 good location 	 stay one night business . location excellent , less 5 min walk Penn station , yet quiet . room good clean , appreciate free wifi breakfast ( elaborate luxury hotel , good ) .this hotel give excellent location , good room , decent price . 
 Jun 11 2009 	 Hit Miss 	 reserve non - smoking 2 double bed room 3 day , pre - pay credit card week prior trip . upon arrival hotel , find room available smoking room king size bed . overbooke . sleep 4 people king size bed night ! even extra blanket provide we , apologetic situation . upon speak manager next day , tell room type ' request ' guarantee , compensation b / c king size bed room price 2 double bed . sound pretty unreasonable , already prepay whole amount , let go ruin vacation . the next day switch us 2 double bed room . get ready bed night , knock door . mom go peep hole see 3 man stand side . open door surprise door begin open . key room ! door open halfway man see mom standing , say ' sorry ' hastly shut door . pretty freaked . talk front desk concern well , call around find worker instruct enter ' clean room ' mistake . hotel housekeeping night ? already past midnight time , could sleep 3 strange man come room . shudder think . the key card keep malfunction get reset front desk multiple time . probably put near credit card , hear old key card system sensitive way , quite annoying . 2 hotel stay trip problem . pro hotel:1 ) cheap2 ) good location , convienent good shop / food closeby , safe , close subway3 ) breakfast include tea water available day4 ) couple parking garage right next door reasonable price ( NYC ) 5 ) clean update room bath . big NYC.6 ) internet cafe workout room basement niceyou get pay , take chance . hotel hit miss . 
 Jun 10 2009 	 awesome hotel stay 	 friend go nyc spring break not book hotel literally right leave . want pay hotel , decide end worth . room clean , complimentary breakfast morning kindof crowd nice selection . employee friendly , hot tea coffee lobby hour day . also conveniently locate ton attraction penn station nearby want commute . would definitely recommend hotel anyone travel nyc ! 
 Jun 3 2009 	 Convenient Location 	 hotel conveniently locate 2 block subway . never feel unsafe walk back hotel subway area vibrant . newly build structure everything modern clean . get excellent rate stay 4 night . first night disappointment room near stairway night door open & amp ; shut keep we awake . ask room change next morning Indira ( ? ) front desk kind enough arrange we . noise problem new room sleep well comfortable king bed . decent hot cold continental breakfast include time din area crowd -maybe March Break ? pleasant stay . 
 May 15 2009 	 good location explore New York 	 find good value hotel great location explore New York . room small city like spend little time room anyway . say clean bed comfortable . complaint would breakfast . good selection choose form breakfast room small amount people become bit chaotic . 
 May 10 2009 	 great value great location nice hotel 	 nothing outstanding room , small location , value , breakfast , NYC .... make great choice . the staff top notch , well meet . location everything right mid town Manhattan , two block Garden . great Breakfast ! ! 
 May 10 2009 	 quite good NYC 	 Excellent locationvery quiet room , nice bed , mentionne previous post , bit small family 4 .. Good HousekeepingCool bathroom tub , bad hairdryernice helpful staffgreat breakfast , 8 , otherwise , stand line queue table get available ... 
 May 9 2009 	 great hotel money 	 pay $ 110 usd night 9 night find hotel great . 2/3 minute walk 28th street subway 2 stop time square . hotel room small expect New York . quiet street good halfway 7th 8th avenue . free breakfast good get crowd good head early . Breakfast consist hot cinnamon roll , bagel , muffin , coffee , juice , cereal , fruit , yoghurt . small good gym 2 x treadmill , 1 x bike free weight . 3 x computer offer free internet . 
 May 5 2009 	 Greate hotel near everything New York City 	 Good hotel near Madison Square Garden , Penn Station kind place . greate room , greate people work hotel . it could small 4 people lot baggae . 
 May 4 2009 	 usually Fan Holiday Inns pleasantly surprised 	 second time within last several month , stay Holiday Inn property , generally lodge choice , pleasantly surprised pleased stay . staff courteous equally accommodating . room immaculately clean , entire hotel seem clean well - maintain . room bit small view another building , ' ve often experience New York , well equip comfortable . nice whirlpool bath open guest area , plumbing fixture work properly ( leak , clog drain ) , towel soft absorbent , mattress comfortable , ventilation system work well . recycle bin room , would liked see energy - save lighting . there shortcoming property , enough detract rating . reviewer mention noisy guest room door , true . guest careful , door slam loudly , echo hall . loud guest engage conversation hallway also disturb , occur night . breakfast area bite small size hotel , ask another couple could join , enjoy pleasant breakfast conversation . food selection breakfast okay , could well . ( example , banana ripe , not put . ) probably big shortcome property fact validate parking garage half mile away . ( really ! ) depend upon weather , guest 's ability walk distance , factor , could problem . certainly convenient . flip side , validate parking reduce fee $ 40.00 ( one night ) hotel 's $ 24.00 rate . I point property 's shortcoming minor complaint , let emphasize overall pleased stay , particularly cleanliness property courtesy staff . 
 Apr 27 2009 	 Life fast lane 	 hotel choose two reason ... Broadway show proximity . the hotel .9 mile away great walk . drive New York hell get hotel car adventure . hotel great term amenity really contract next door . want park drive anymore , end parking next door guy tell $ 25 overnight . almost tell guy lie make living . , okay . end pay $ 38 next day $ 13 extra worth drive street 5 block away rush hour traffic , walk , next day . as hotel , eat breakfast early . place full people eat outside chair table despite cool weather . 3 4 computer basement need printer print boarding pass . room cramp 2 adult 2 senior child worth $ 130 special equate $ 26 / person . free breakfast , hotel deal . walk 12midnight feel safe feel threatened way . street performer actually sing & quot ; bring baby home & quot ; way hotel . 
 Apr 24 2009 	 friendly staff clean room great location . 	 ProsStaff friendly helpful . hotel smart clean inside . room good size room clean tidy . king size bed comfortable . breakfast busy people always move . huge selection food something everyone . luggage claim handy late flight check 12.Easy walk distance attraction . consyou hear room door bang 's inconsiderate ( drunk ! ) people take earplug light sleeper . 5 night one awake throughout night door . think hotel advise guest close door little care would put go back . 
 Apr 21 2009 	 great place stay great location room door make much noise ! 	 stay 12th floor 3 night last week , great complimentary breakfast ( cinnamon bun die ! ) although busy time quite small area sit take breakfast room instead . front building street window closed night not hear thing ! amazing view Empire State window , wireless internet brilliant . thing say room door poorly design , make noise closing , even try shut quietly disturb guest . guest neighbouring room let slam fast asleep 3 am sound like explosion ! noise want hear ! great stay ! 
 Apr 20 2009 	 NY Choice ! 	 choose hotel base TripAdvisor review say happy decision . location great , staff great especially supervisor call Gary ? ? ? ? ; helpful welcoming . breakfast eas good range . every thing need good hotel , unbeleivably great location near major atraction metro station . the weak point 2 lift enough 12 storey building . 
 Apr 19 2009 	 nice choice 	 good location block Penn Station . comfortable hotel helpful desk staff . quiet , clean , nice room NYC 
 Apr 12 2009 	 Surprise surprise - NYC hotel ' nearly value money ! 	 recently enjoy 4 night stay pleasantly surprised high standard hotel . feature complimentary breakfast ( although good eat 8 am avoid rush ! ) internet ice cake ! request quiet , high floor room although initially allocate low level room check - in , prompt soon alter . room modern , comfortable well - equip . door offer well insulation corridor noise would perfect ! location wise , hotel great ! find central positioning enable realistic walk many attraction , although subway taxis never far away ! far eating go , enjoy fantastic japanese greek food immediate area . next time ' NYC , know ' stay ! 
 Apr 6 2009 	 Loud small expensive poor value ! 	 well pay almost $ 1500 week stay , expect least able eat breakfast 9 am . 3 occasion week , breakfast pack early . room need kind sound deadening , lock loud people get back hotel night long wake . room would not clean 4 - 5pm ( 10th floor ) almost always back room whole day city room offer clean . absolutely atrocious . room small honestly feel claustrophobic ! seriously , ' m sure value clenliness service would better hostel .... take word , ' m pretty forgiving whn come hotel , stay 9 different hotel whilst state month far bad expensive ! 
 Apr 1 2009 	 Great Value Location Accommodating Staff 	 group 70 high school studant . mauc way ammenitie continental plus breakfast . staff extremely accomodating , room update clean small . location excellent try stay middle low Manhattan ( couth Central Park ) . 
 Mar 29 2009 	 great location clean . 	 fab hotel , good location subway , bus walk course . take ear plugs corridor noisy rather people insist phone conversation room ...... door slam someone decide dog neeede break , spend hour bark one nght non stop whilst , . like other say breakfast busy near 9 am , get early will problem . safety deposit box behind reception readiky available , tea coffee . room whilst small spotless , bathroom immaculate . 
 Mar 28 2009 	 Excellent location facility 	 stay hotel 7 night complaint . central location , close 2 tube station literally 5 min walk Macys Empire State Building . room massive big enough , bed however massive comfortable . nice touch tea coffee room toiletry also handy . Breakfast excellent save us lot money . great choice , always hot tasty . try Amadeus pizza excellent , good value money food ( 8th ave - a min hotel ) try old fashioned bakery opposite desert Brother Jimmys Barbecue good too . we would recommend hotel anyone definately stay . 
 Mar 27 2009 	 well expect 	 NYC convention Javits Center spend 2 night hie- fifteen minute walk . room small- foot space corner bed wall squeeze get bathroom ( comparison room spacious ! ) okay , travel alone , would not try fit 2 people room . closet , little armoire . mattress pillow really comfy . really clean modern bathroom . thing really bother fact could hear anyone open door end floor . sound loud door 's latch . kind annoying middle night . front desk staff pleasant . breakfast good . coffee suprisingly really good . internet service not great- signal not strong . neighborhood feel safe Penn Station 5 min walk . definitely stay travel NYC . clean , up - to - date furnishing , nice bathroom , cheap parking around corner , great location . can not beat $ 140 / night weekend stay . 
 Mar 8 2009 	 Central Location Good Quality 	 hotel good be willing walk short ( ish ) distance pay short cab ride . room extremely pleasant . good breakfast ( include : cook food ; waffle ; doughnut ; biscuit ; cake ; cereal ) . 24 hour coffee urn lobby . high quality gym . internet business centre work take . wifi throughout hotel . really enjoy stay . 
 Mar 8 2009 	 great value great location 	 great hotel . minute walk Penn Station Madison Square Garden . convenient Macys ! hotel quiet street get decent night sleep sightseeing . room clean comfortable . staff friendly helpful . 3 pc 's internet access available handy . free tea & amp ; coffee available throughout day great . breakfast buffet cereal , hot food , pastry , yoghurt etc save we lot time money . overall think great value money enjoyable week stay . 
 Feb 25 2009 	 good location MSG pricey HI express 	 stay 4 night wife friend . right MSG basketball hockey game . bit cab ride time square although subway station block away . room smallest ever encounter , maybe that s ny ? breakfast croude decent continental hot choice . really complaint except price , NY NY location cost . 
 Feb 17 2009 	 Excellent NYC Hotel 	 stay hotel one night would highly recommend . check quick hotel staff friendly . recieved & quot ; upgrade & quot ; room without ask . room 12th floor . hear street noise ever . wall also thin hotel . hear neighbor . trouble elevator . room size New York surprisingly big , however may & quot ; upgrade & quot ; . go breakfast late morning . 15 minute set end still good selection . seat crowded , enjoy bring back room way . can not recommend hotel enough . 
 Feb 15 2009 	 great clean good location 	 Friend stay November . clean staff friendly . fantastic location right near train station , 5th Avenue 20 minute walk Times Square . room small hey not NYC hotel room tiny ? e get great breakfast every day deal free internet access . would stay heartbeat ! quiet Clean god location - reasonable ( NY ) price . 
 Feb 13 2009 	 clean affordable convenient 	 stay two night HIE MSG June 2008 . overall , fairly pleased experience . room decent size ( around 200 sq ft ) NYC -- good price pay / quality level hotel . free hot breakfast fairly good , although breakfast area always overcrowd busy . issue elevator stay -- one two elevator not work time , often resorted take stair wait long . even elevator run , often long wait peak hour full house . room clean , comfortable , modern decor . nothing special functional attractive . location convenient MSG / Penn Station area heart Chelsea block south hotel . discount parking available $ 26 / day garage block away -- good deal area ( check hotel detail ) .I would consider staying could get room good price . rate late June around $ 225 / night -- bad deal . 
 Feb 11 2009 	 excellent value great experience ! 	 stay dog enter Westminster Kennel Club dog show . get excellent rate Holiday Inn Priority Club . the location Madison Square Garden excellent . hotel easy find relatively easy get spot unload luggage . parking lot next door , prefer parking garage street 2 block . prepare walk back hotel park ! even though parking list $ 24 / day website , price small car . park minivan $ 10 per day . still , excellent price . the hotel staff courteous check - in do promptly possible even though quite busy . room small reviewer note . clean , organize fresh . bathroom large expect include 3/4 tub good water pressure . 2 double bed room overlook patio courtyard noisy . high speed internet free , fast easy access . adjustable electronic thermostat work great quite comfortable . the continental breakfast nice . Priority Club member avoid long breakfast line food deliver room morning . item include pancake , cheese omelet , cereal , muffin , fruit , etc ... coffee service availabe 24/7.i definitely stay . 
 Feb 5 2009 	 Bad experience 	 Date : January 26 February 2 , 2009reviewer : Lee Pu ShengWe return week stay Holiday Inn Express Madison Square Garden NYC , experience terrible ! wife leave purse room time find someone take US $ 300 ! four T - shirt also miss luggage check hotel since late flight home ! ! ironically , one T - shirt new american president 's picture ; : yes can- steal ! ! ! & quot ; certain negligence part since stuff we go , also , would able provide solid evidence prove say theft carry abyone hotel ; still , would like remind possible customer : prepared ! ! ! ! 
 Jan 20 2009 	 disappoint 	 often stay holiday inn express hotel throughout USA.I really disappoint size room , 3 people room 2 double bed absolutely room move . the buffet breakfast crowd enough table fit everyone whole experience awful . this breakfast one reason stay morning do not even bother eat room . the location good although think well stay close Times Square . also , lift break climb stair exhausting . Wouldnt stay hotel . 
 Jan 19 2009 	 overall good place budget traveler inconvenience 	 stay hotel 3 time , choose get good rate – often low rate nearby hotel similar quality also land hotel via Hotwire . hotel clean , safe , good location , room furnishing / bed good condition . room quite small , even slightly small typical Manhattan room body - wide space walk around 3 side bed . however , moderate inconvenience : first , 2 elevator large 15 - story hotel , separate staff elevator -- , expect long wait every time go , particularly around check - out time . particularly inconvenient elevator stop often hotel staff member get , include housekeeper cart ( multiple occasion stop 4 + different floor hotel employee get on / off – time , hotel employee elevator full , leave guest wait next one ) . secondly , call hotel front desk bathroom fan run 24x7 could turn . tell room high floor require keep fan nothing could do . even bathroom door close , could hear constant fan hum door little annoying ... good thing 15th floor every little NYC street noise – overall prevent stay good price , prevent give hotel high score . & quot ; OK & quot ; free continental breakfast -- mostly pastry , juice , coffee , yogurt , etc . -- nothing special , except fact 's fast free . so , find bargain rate live inconvenience , good place stay . suggest ask room 7th 10th floor , high enough minimize NYC street noise avoid high floor minimize elevator inconvenience fan problem note . 
 Jan 17 2009 	 wonderful stay ! 	 extremely pleased hotel location great . every staff member encounter time walk door friendly welcoming . first place check future stay New York . reasonably price , comfortable accommodation , variety breakfast buffet , conveniently locate Penn St great place eat . around wonderful experience . 
 Jan 17 2009 	 really like place ! 	 stay hotel 50 - 70x year , ' ve stay probably 20 place NYC . visit daughter fun . hotel reasonably price . room tiny ! however , spend little time , important criterion well situated ( easy walk Times Square near subway , close fine Chelsea restaurant ) , clean , quiet . staff helpful . use workout facility . wireless free fast . restaurant vastly overpriced breakfast , make mistake . overall , good experience . 
 Jan 15 2009 	 Great Location nice hotel 	 get great deal hotel use Hotwire ( not know actual hotel ' ve book ) . hotel room fine , although without stunning view anything ( room look courtyard ) , not New York look hotel window . complimentary breakfast good - cinnamon bun least healthy possible thing eat , ' m sure , taste good . breakfast area small accomodate people , get breakfast around 8 , fine - little become nightmare get bad left hotel 10am . the location great , within walk distance range nice bar restaurant 8th street ( think ) towards Chelsea . complimentary & quot ; business centre & quot ; pc free printer , could check - in online necessary ( useful fly Delta - horrible terminal JFK ! be another story ) .Complimentary coffee available day , nice get back tramp round New York day . overall , nice hotel would recommend . 
 Jan 7 2009 	 excellent alternative NY 	 stay hotel three night please . clean , good rate NY , look modern , free breakfast , good location close Penn station , 34th St. , etc . the tip give go breakfast early morning ; otherwise end make line get , find seat ahve take upstairs room . 
