good 	 stay single hotel 2 night . choose location amenity show website . request early checkin 2 pm instead 3 pm . reach hotel 2 pm , good welcome reception . show internet booking show room . single accomodation room show website far different thn actually offer . actually look like servant 's quarter dirty linen , filth floor badly smell . refuse accept room come back reception . suddenly smile face receptionist change rude look . insist room give show describe website . finally ask talk manager . Manager bluntly tell book thru travel website , gurantee room . insist booked room thru hotel 's website . say put opinion internet , get scared change tune . finally say , offer inferior room ask early checkin . want describe room wait till 3 pm . already 2.30 agree . finally painful face , allot room 3.30 ( 30 min later check time ) another news . say room old wing , walk long distance go stairs luggage , board lift . room surround exterior window except open garbage collection area . however , tired time accept room go bath . oohh . suddenly someone enter room another key come right upto bathroom door . shout go away . call reception tell clean staff know room . accept apology . 10 min , get ready evening , ..... another girl come surprised . time really get nervous worried intention staff , secluded room probably one nearby room . Manager offer apology free breakfast ! ! ! keep think two day , free breakfast wipe away bad thing do Hotel Manager intentionally un intentionally . may exception incidence , bad . 
 Bad experience 	 1 . room shabby need upgrade 1970 decor.2 . elevator completely inadequate size building number guest . walk 7 flight stair , accompany HUNDREDS fellow guest , multiple time wait elevator exceed 30 minute good part day.3 . wait line check - in check - out , entertain stream people complain major aspect stay . counter clerk disappear & quot ; consult manager & quot ; every complaint , return & quot ; sorry , anything this . & quot ; 4 . valet parking cost $ 35 guess -- -- -- valet check - out . walk 5 Manhatten block parking garage luggage . thank introduction NYC . 
 Heart City 	 comfortable , walk everything ! clean , little old - fashioned add charm . 
 FANTASTIC location 	 great location , central , 5mins central park 5mins time square . as base excellent , warn noisy pipe night , much move room 1night . 16th floor racket , every half hr night , dressed 5.30 could not sleep . move much well room 27th floor , 1 night non sleeping , great 4 we . not put complain . apart noise though fault report 
 badi will not live wellington hotel . 	 bad experience . book hotel priceline . arrive , front desk ask we pay . believe . room clean . never live hotel like . will not go anymore . 
 perfect location excellent service Thanksgiving weekend NYC . 	 could satifie visit Wellington Thanksgiving weekend . suite spacious clean . ( might put date room -- love enjoy feeling like New York experience instead Hotel Anywhere ) . staff service pleasant , prompt helpful . enjoy Park Cafe -- many place eat nearby . the location can not beat -- couple block direction want -- Central Park , 5th Avenue , Time Square ... look 7th Avenue see Wellington sign look like welcome beacon long walk park day shopping night time square warm heart soothe ache foot . definitely place stay city -- stay several place uptown , midtown downtown . thank great timel . 
 Nov 11 2009 	 stay somewhere else ... regardless price ! 	 internet deal $ 160 / night get dirty room , dirty bathroom , poor service . tell open window warm . carpet wear dirty . uncomfortable touching bedspread . shower terrible .... temperature unexpectedly jump really hot really cold . guest shower head come shower . 
 Nov 8 2009 	 good location that s ! ! 	 o.kay , begin ? lobby great . nice big clean welcoming . staff average . smile know to . they be not rude , also be not friendly enough . good part stop . room tiny ! ! ! go partner could barely fit hallway together time . , large people either . extremely loud annoying airconditioner would not shutup could not switch ! ! ! bed uncomfortable room smell ... well .. yuk guess . bathroom . OMG ! ! small , light barely give enough space see arm length front , be not even clean properly . the good thing , 's location . you 10min walk Times Square maybe 15mins Central Park . if not know big busy New York , that s good thing believe I . look want place stay close tourist attraction great , , not bother . do not bother complain anything , meet one guy NZ get move well room . overall , great location price average hotel . 
 Nov 8 2009 	 great location helpful staff would go back . 	 go Wellington Hotel 4th July . hotel age , clean overall . room small , comparable hotel NYC . staff nice helpful . great location , near hot spot Manhattan . would go back . 
 Nov 6 2009 	 great location 	 wellington brilliant location , get good deal be even better.right opposite park central hotel also Carnegie Hall.walking distance Moma , columbus circle time square.for 1st time new york , 22 floor bedroom view 57th 6th avenue.brilliant.small room nice clean.fabulous shower.if get probel staff efficient sort minute . 
 Nov 5 2009 	 aged like Fine Wine Kinda Slow elevator 	 spend two night Wellington say will not get first - class room get great location visit Central Park Times Square agenda . room old - old - room face 7th Ave . give we nice view area . nice tv , nice update ( small ) bathroom old room . ask room away elevator something relatively low not want problem wait elevator . will great access subway right outside hotel great bellhop . friendly staff ready actually help traveler . would stay ? price right . 
 Nov 5 2009 	 wonderfull 	 stay wellington husband celebrate silver wedding anniversary , read review wonder make mistake moment arrive pleasantly surprised . could not fault service room . yes hotel little date add experience . go back nyc next year son would not stay anywhere else . 
 Nov 1 2009 	 Basic frill ok 	 stay Wellington two night late October . due overbooking problem upgrade deluxe room property - king size bed slight view Carnegie Hall accross street . room spacious enough bed fairly comfortable . room temperature control seem connected heating / air condiitioning unit room temperature seem fluctuate . Wellington convenient location close many famous sight . would describe hotel well use expect centrally convenient location . one front desk employee especially helpful efficient another front desk staff pleasant seemingly overwhelmed bit bewildered . overall however service satisfactory . room rate good bargain Mid - town property . consider stay . 
 Oct 31 2009 	 Great Location ! 	 hotel central position - block Times Square & amp ; couple central park . room roomy seperate bedroom 4 we stay . expect get sofa bed another double bed lounge area well sofa . small kitchen area expect provide cutlery , dish etc none available go buy souvenir mug cup tea . big deal bit annoying first night . staff helpful suggest good restaurant birthday celebration & amp ; book we . definitely stay - good value heart New York ! 
 Oct 30 2009 	 Pleasent hotel great location . 	 read review hotel bit unsure expect . say come end enter building . hotel clean , tidy ok decor might date care . receptionist ` nice friendly room ideal wife . clean bathroom great shower . hotel situate great location withinn walking distance time square central park . stay hotel . 
 Oct 28 2009 	 basic good location 	 hotel frill one good cafe breakfast , room small even two people clean either .but location spot right across road central park ten minute walk slap bang time square . 
 Oct 27 2009 	 worth every penny 	 stay september 09 5 night , good holiday every location hotel great mintue walk central park times square could want . hotel self lovely clean although room small get pay end day will sleep will always . plenty eat place step hotel . I m glad stayed plan another trip back next year hope book hotel agan . 
 Oct 25 2009 	 Location location location 	 hotel location , close Manhattan 's main attraction , Central Park , Broadway , Time Square , etc . would also recommend Park Cafe , connect hotel . food great service excellent . hotel , go past lobby become bit tired looking . Hallways room shabby , definite need makeover ( expect pay $ 200 per night , even take excellent location account ) . photo guestroom website certainly accurate comparison standard accomodation . would definately recommend hotel location value money . 
 Oct 24 2009 	 old close central park broadway 	 Altough room ( really really ) old section hotel , lucky get large suite . room dark , be New York not mind much . daylight could not come , neither light : ) 
 Oct 23 2009 	 Afraid 	 Read several mixed review hotel . people get large , recently remodel room happy . other get get . old , outdated room small enough fit suitcase . hotel staff whole helpful friendly . however , complain room tell pay standard room get , small outdated room . warm week New York air conditioning . sleep window open listen horn , siren garbage truck night mention smell . 1 bed room small , standard size bed . fortunately 3 day . like other say , good part hotel location . close subway , central park , David Letterman , Rockefeller Center Time Square . hotel consider 2.5 star travel site . get good price still overpay . way 2.5 star hotel . not believe would stay free . next trip ny pay extra money stay upscale hotel . 
 Oct 23 2009 	 bad $ 400 night room ' ve ever stay 	 stay anywhere else . front desk disorganize . room tiny , dark , old . appear last furnish 1951 , resemble SRO mid town hotel . feel like Ralph Alice Kramden 's previous apartment . place seem patch together , stairs corridor , odd smell , faint feel someone try milk property death without put money . spend extra $ 40 upgrade room depress bad , least get king bed . , instead stay two night , check move Kimpton since wife arrive second night , not want subject rat hole . two clue pick . one , check , hand bunch free NYC tourist brochure . be one ever NYC would stay place . 's foreign tourist trap . second , ask nice room desk , woman say & quot ; yes ... well , be stay one night , right ? & quot ; 
 oct 23 2009 	 great place stay New York 	 hotel clean modern , staff friendly . right middle Time Square , excellent place . heart Broadway theatre district , central enough see tourist attraction without travel far . highly recommend . 
 Oct 21 2009 	 meet minimum requirement 	 convenient least expensive hotel could find one - night stay mid - week . furnishing drab pillow anemic . step bathroom could safety hazard need use middle night . toilet close wall hard get toilet paper . clean , flat screen tv work fine . ice bucket . even ask internet access . need place sleep . title say , meet minimum requirement . 
 Oct 20 2009 	 good BUDGET HOTEL 	 3 friend stay hotel . think stay suite put double bed living room pay less . bit squease 4 girl 2 bathroom , second quite small job & amp ; bath main bathroom ! bed make everyday phone room , 2 tv 's hairdryer ( bit slow take voltage difference painfully slow ) .The staff eager please lift pain stop every floor way ! organise limo airport one waiter new someone get we cheap deal . there diner hotel serve good food good price . the hotel excellent location Times Square close hear noise , 5 minute walk . I would hesitate recommend hotel budget . 
 Oct 16 2009 	 total LET CAPITAL CITY 	 stay Wellington Hotel New York two night start holiday two night end . , like other we happy overall cleanliness hotel . seem depend room get . one 21st floor start holiday 8th floor end - awful . write review travel agent kindly investigate hotel say 125 people stay hotel 2009 part one holiday one complaint . find surprising notice review Wellington web site . certainly would go . housekeeping lot desire . air condition practically fall wall make terrible clanking noise . sleep windows open . view window appalling noise street bad . room shappy feel unclean . small poky . bedding look unclean someone sleep hand . one pillow smell put towel sleep . bathroom small hardly room move , cleanish . consider suppose 3 * hotel think pay top . luckily rest tour great hotel good . look forward go back Wellington two night end tour . unfortunately , although location superb room size cleanliness let down . I would stay would recommend anyone . 
 Oct 13 2009 	 FANTASTIC LOCATION SMALL ROOMS CLEAN 	 stay 26th september 1 week . fantastic location.but room small clean . staff friendly helpfull . Maid service exellent nothing problem they . there many restaurant choose from . the seafood bar across hotel serve great selection fresh fish . and try Rosie O'gradys 7th avenue super food course GUINNESS.Would problem stay Wellington 
 Oct 11 2009 	 Welllington amazing 	 love large room enjoy eat restaurant , even little gift shop perfect , location central everything city Carnegie Deli across street Central Park subway great bar restaurant . also really like art deco lobby fireplace . 
 Oct 10 2009 	 good value decent hotel 	 hotel great location - basically right across street Carnegie Deli Stage Deli , three block Times Square , 5 block moma , close lot resturant bar , right next subway station . nice hotel term room update ( least one stay in - our friend nice room ) not choose hotel want fancy place stay . definitely clean , safe , decent shape . look place good location economical exactly get . review scare hotel dirty dangerous , happy discover case . old hotel necessarily bad thing . far size room , stay two hotel general area room comparable size ( big actually compare Times Hotel ) . hotel room area small side . room Wellington small expectedly cramp uncomfortable . hotel staff friendly helpful part . friend even get free upgrade check . overall , look decent hotel great location reasonable price , place fit bill . 
 oct 9 2009 	 Good Location Satisfactory Hotel 	 hotel excellent location , midway Times Square Central Park , Subway station immediately outside door , review agree location . not find problem cleanliness , room size ( New York ! ) service . 
 oct 9 2009 	 Location location location ! ! 	 husband stay Wellington hotel May year 4 night . standard king room , view office worker build next door . be not fuss ask another room available anyway well view , move another room next day well view great . hotel room pretty old , nothing fancy , comfortable enough . concierge helpful . location fantastic , 7th Avenue Central Park Times Square . 
 oct 9 2009 	 great location great value money 	 great location - minute Times Sq , Central Park , yard subway stop . would definitely recommend friend 
 Oct 8 2009 	 adequate average 	 hotel perfectly fine need accomodate 4 people suite . room out - date clean . carpet replace year ago . floor also soft spot . lobby well looking room hotel . look old , great location , budget conscious place stay , adequate good enough . 
 oct 8 2009 	 great location ! 	 spend 4 night Wellington hotel . room view Cantral Park Times Square , upgrade we nice . be bit expensive , worth . fridge microwave room . bathroom small , room big enough . couch . nice hotel . 
 Oct 8 2009 	 okay experience minor ding . 	 arrive hotel , check without incident . go fairly smooth . room towards back hotel , hate view . room spacious , queen size bed , good size bathroom , closet . bathroom faucet hot water break . toilet stand chip thermostat would work , least could not figure turn air . outside thing , decent place . say room spacious load room . 
 Oct 7 2009 	 great location lousy hotel 	 small old dirty room small old dirty bed . bathroom ridiculously small , shower head not work shower curtain let water floor . rate 3 star , even close . housekeeping not even empty trash can . 
 Oct 7 2009 	 fantastic location . 	 four night hotel . first visit USA . arrive immediately give upgrade suite extra cost , request ! . accommodation marvellous . huge lounge , bedroom two double bed , good bathroom brilliant shower small kitchen area fridge , sink , kettle , coffee pot two electric ring , tv room . all staff encounter friendly helpful location could not well . next door Carnegie Hall , subway station outside hotel , central park 3 minute walk , Times Square 5 minute walk MoMA 10 minute walk , name few . we rip bogus call ' Shuttle ' come JFK staff extra helpful making sure get proper ' Shuttle ' bus go back JFK.We wonderful time pack huge amount , accommodation ice cake . 
 Oct 6 2009 	 location ! ! 	 money find well location .... two street central park 5 minute walk time square broadway . hotel feature movie Borat . honeymoon give we free upgrade queen suite corner room mean view well bog standard room . room clean big flat screen tv ! ! can not beat central location . 
 oct 4 2009 	 Lovely Art Deco Lobby rest Hotel Poor ! 	 one sentence say . room old fashioned need update .Not cheap ! lobby location good feature . 
 Oct 3 2009 	 Excellent 	 never write review Hotels stay - keep think great time New York enhanhance accomdation . give Wellingoton 10 ot 10 . location excellent close Central Park Theatres broad way . service excellent price reasonably 's loction . 
 oct 2 2009 	 great location great value would stay ! 	 month look accommodation choice review hotel New York end select Wellington . know end day take punt huge relief walk room everything promise . location ideal- close show , shopping , Central Park . first trip New York week cram much possible - fact centrally locate mean could travel time reduce . would certainly stay ! 
 Sep 30 2009 	 warn - poor hotel 	 wife come back 5 - night stay New York – first night spend Wellington . New York hotel expensive , $ 399 per night , expectation somewhat high stay provide Wellington . term value money calibre accommodation , Wellington simply bad hotel ' ever visit . comment consistent recent review . fourth floor room extremely depressing : small , tired , out - of - date décor , poor furniture ( notably small double bed ) none standard facility come expect average modern hotel ( example , coffee / tea make facility ) . , however , iron provide room – minor upside . the room air conditioning , sophisticated nature . window nail open , AC unit simply jam open part window , thin plastic board either side ( close room element ) . upshot arrangement noise protection street . Police siren , garbage truck , late night reveller – mean sleep impossible achieve . the reveal characteristic hotel location – right 7th Avenue near Central Park . many well hotel New York similarly price . stay Sheraton New York Hotel tower follow four night , much , much well . read review hotel , would seem get suite , ' ok . ' , pack earplug spend even time great bar , restaurant et al New York offer . 
 Sep 29 2009 	 horribledate 	 often wonder review vary widely , realize depend room end . beware room 540 & amp ; 541 . tiny , date , grubby , husband 5 ft 10 foot nearly hang end bed . drink facility room , even glass water although not know would risk ancient tap . room main street , police siren fire engine wake least hourly , air conditioning hairdryer rust clogged dust . booked ebooker tell special occassion ( husband 's 50th ) , bitterly disappoint . want clean , comfortable room relax day 's sightseeing enjoy nice cup tea waking . notice favourable review hotel suit update room . location Hotel good plenty alternative area . 
 Sep 28 2009 	 never ever 	 get wrong room , request smoking , get sorted.room awful , poky run , pubic hair pillow , sheet hair last guest .. yack .. needless say dump 
 Sep 28 2009 	 Fantastic Hotel 	 stay hotel weekend Sept 25 experience amaizing . normally stay much pricy hotel like Hilton Marriott get fantastic rate Orbitz $ 250.00 one bedroom suite magnificient . livingroom suite huge compare New York standard , kitchen well equip main room big also comfortable bed , bathroom ok also . 
 Sep 27 2009 	 never 	 UN conference make hotel room NY difficult come short notice , somewhere would stay normally . staff arrival civil enough difficult commend anything else . room poky dark , aircon noisy effective , bedside lamp ( even table ) . cleanliness questionable . spend time would pretty depressing . room rate $ 400 per night . somewhere would stay recommend . 
 Sep 24 2009 	 shameful 	 50 + year old business traveller , former New Yorker stay many different New York City hotel . never previously move write review . office manager arrange tostay hoel thrugh Expedia week Presedent town limited avilibity new York . expedia rate somewhere $ 300 per night . room perhaps 10 ' 12 ' , bathroom tub shower babout 3 ' 3 ' ; rest bathroom 6'by 3 ' , frankly little small close door comfortably - large person . bed small standard sized bed 6 ' length . say room dirty certainly old shabby feel old run room house hotel . aminity room tv ironing board iron . hol closet fullly expect something would crawl time baseboard , gap door hole closet wall - happily occur . many guest appear foreign visitor Europe . this hotel dump . shameful compnay chaged rate paie stay . one star hotel onlhy consider stay much less pay realy nothing well available price . fortunitely , aonle business . planning stay special occasion , may end disappoint angry . 
 Sep 21 2009 	 amazing hotel always use NYC 	 daughter stay one week ; everything great meet curbside help bag room upgrade . location excellent everything coffee shop gift shop attach perfect . stay . 
 Sep 21 2009 	 prime location budget can not beat 	 daughter stay hotel four night , want theatre district spend fortune hotel rival . however room quite shabby , although clean , air conditioning welcome although noisy ( turn overnight ) . although near Times Square Central Park , cafe restaurant nearby tend little pricey . evening , next time would prefer stay near Lower Manhattan , within easy reach Soho , Little Italy etc . 
 Sep 10 2009 	 highly recommendable 	 highly recommendableIf expect nice furniture Nancy bedroom , certainly ' go Wellington , decoration pretty old . however , service perfect nice , location amazing ( subway station right door , literally ; Times Square , Central Park 5th Ave 3 - 4 minute walking distance ) clean perfect ( everyday , change linen towel , bathroom clean , restore bath supply ) . Breakfast include ( hotel ' stay US ) Park Café right hotel wonderful place eat anytime . ' always pack people , service good fast food delicious ) . tourist spend time visit city perfect location . stay 5 day would definitely come back . 
 Sep 9 2009 	 good value- ideal position . 	 read many mixed review hotel range excellent awful go open mind . tell recently renovate room . much small room rest USA view another wall ! decoration tire nonetheless clean bed comfortable . bathroom tiny newly refurbish . end day room serve purpose somewhere clean comfortable spend night . staff helpful . hotel 's position fantastic less 5 minute Central Park also within easy walk distance Rockefeller Centre Times Square . subway station literally outside door . would hesitate recommend hotel friend . 
 Sep 7 2009 	 great location excellent service 	 stay Wellington last year booking go back December . 
 Sep 7 2009 	 great location average hotel 	 stay 4 night September - 1 bedroom suite 2 teenager . great location - subway outside front door , close Times Square Central Park . our room view building teenager view main street . big deal - 's NYC - be back build , view another building - unless top floor . kitchenette over - rate - get fridge stove top - microwave , cutlery , pot , dish - plan eat . eat Fluffy 's small restaurant 56 street - good price , nice people . close Central Park - rent bike 2 hour ride around Park along Hudson River - really interesting . close Times Square - go see Lion King Heights - great showsenjoye meet JUDD BellHop - Survivor tell . 
 Sep 5 2009 	 Great Location bad room 	 stay 4 night July . the thing good hotel location , 2 - 3 minute away central park , close time square well right next subway station . room however quite disappointing . small little space keep luggage . room claustrophobic , room many stain carpet well little ball hair carpet . view window another building building work go morning could hear building work start . however apart room , location hotel great get pure essance New York City . 
 Sep 4 2009 	 Great Location make small quite dark room ! 	 parter stay sun 30th aug sep 3 , greet lovely guy door , prompt efficieny check , clean reception area internet access , bar / restarant three main lift good start . stay 14th floor non smoking . room small dark , mean dark ! view alley ! avenue ask make good do not plan spend much time room ! ! iron clean daily , towel replace etc , clean ok decor consider old fashion enough . I really enjoy stay , location amazing , second central park , two min walk broadway .... fifth avenue almost behind .... perfect . all , reasonable price superb location ... negative small dark room get fairly quick ! comfy bed ! 
 Sep 3 2009 	 great service location price ... whole package . 	 Wellington great Hotel average traveller budget . get room $ 120 night 8 week advance . hotel service amazing . location 4 block central park 8 block Times Square . love hotel service . parking $ 35 per 24 hour . go back NYC stay Hotel . need 5 star Hotel like Donald Trump , . 
 Sep 1 2009 	 Great Location ...... Good Hotel 	 hotel staff brilliant . could say bad thing either . the location brilliiant ideal subway mean transport . 5 minute walk Central Park direction Times Square . room small , comfortable . clean every day high standard ! liked everything hotel New York definetly place visit ! 
 Aug 30 2009 	 great hotel fantastic location 	 location : hotel locate 7th ave 55st heart Manhattan , block away Times Square Central Park ( 5 - 10min walking ) .hotel : room high floor 27th , number 2742 view Central Park really nice . room big balcony , bathroom clean comfy bed , Tv , iron , iron desk , hairdryer .. i.e one minus fridge room need summer hot there . there 3 lift problem get one .. especially 27th floor .. never problem it . there internet cafe , gift shop ( give u advice New York u need ) , restaurant cafe . U get safe free reception desk handy cos u do not need carry ur passport money u time . service perfect , staff - nice people , u leave ur baggage hotel u flight late afternoon keep second floor special room . few tip : use every day breakfast Fluffy 's Cafe 7th ave one block away , good price lovely food nice people dinner different restaurant ( 100s ) well one John 's Pizza number 260 44th st pepperoni pay 15 small one big ... New York talk meal portion huge .. lollast thing good buy 2days plus 1free tour bus 86dollar citysight NY web http : //www.citysightsny.com/ u save load money . really good attraction . go web check what s include . overall : nothing bad bad hotel u go hol Wellington u will not get definitely worth 5stars general ( even sleep , do not spend much time sleep , really great time hotel ) New York something else ! ! ! ! ! ! ! ! ! 
 Aug 27 2009 	 amazing value 	 pleasantly surprised hotel couple frustrating stay Manhattan hotel . book hotel combination price , location free wirless access expect much term service room quality definitely get pay . hotel right next subway stop 2 block another one . two station take anywhere need go . be four block Times Square four block Central Park nonetheless surprisingly quiet block . room overlook 7th Avenue noise issue . room small staying . not know much big room . might want look be travel someone else . room would definitely claustrophobic 1 person perfect . 
 Aug 26 2009 	 Fab location wonderful view ! 	 travel New York last May book Wellinton trouble . room 25th floor overlook Central Park . despite 2 doble bed 2 tv 2 shower room choose . room clean decor little date taste . ground floor cafe eat breakfast dinner day exellent . staff helpful , greek restaurant expensive . staff assist book return bus JFK gift shop . hotel next Carnegie Hall , slap bang middle NY . avoid camera shop near . several give Big Sell ! ( connect hotel ) . 
 Aug 25 2009 	 Excellent 	 stay Wellington welcoming , arrive go room not happy view ask could change problem , room give view look central park amazing . hotel perfect location , next Times Sqaure , Central Park Rockafellers great walking distance , tour bus two minute walk block , plenty restaurant . room us sleep , visit NY will not time sit room , way much see . overall * 
 Aug 24 2009 	 great location pretty good price 	 stay Wellington week signficant sized room New York City . ask two double bed , get large room twin bed one double bed , figure exchange double get way space expect . staff friendly helpful , recommend restaurant , club , transportation service . would not suggest restaurant downstairs though . side thermostat control AC room , hallway incredibly stuffy , one elevator scary , ice machine floor , though could get ice bucket downstairs free . upside : less 2 block away central park , 5 block away Times Square , step right outside door 's subway take anywhere want go . location superb overall , would stay . 
 Aug 22 2009 	 bad expexcte room size 	 bad , awesome location . nice decor reception corridor . room small though bathroom little date although ... job far . guy , prime NY hear honk horn whilst sleep hey .. ny part fun . look , clean towel TV . ok . watch cheeky bell man insist take suitcase room trolley ( especially you ve manage untill ) hang around tip you ve change , long flight , catch cab drive change tired ! watch they . Stace 
 Aug 21 2009 	 Good Location 	 hotel block away Times Square close train . old hotel price location weigh unnecessary amenity update costly hotel . perfect sleep thing great city NY . 
