good 	 good hotel . bit old fashioned taste please many . great service check onwards . staff could not fault . upgrade fro £ 50 suite one night room bathroom excellent . problem handy King 's Road , Sloane Street Knightsbridge . Upmarket safe feeling area . 
 Great 	 book hotel via Lastminute ( normal London hotel full ) . great , really good bedroom bathroom - high quality bedding , towel etc . ok common area bite tired - staff friendly room great . 
 Aug 25 2009 	 true -- nice good staff . 	 read review tripadvisor think exaggerate . , hotel nice , helpful staff -- everyone without exception helpful . nothing need make stay pleasant seem much trouble . even volunteer follow lose luggage -- else would ? locate , considerate enough call delivering room since late night . I agree bathroom small ; really clean important . 
 Aug 7 2009 	 Great Location Cozy Excellent Service 	 stay three time really like location - walk distance Knightsbridge Underground station , Harrods , lot couture shop Brompton Road . immediate neighbourhood peaceful pleasant . while room small ( like many London ) furnishing elegant , air conditioning work ( August , matter ! ) bathroom well equip clean staff pleasant , attentive efficient . cozy place lobby tea drink colleague friend make good kick point joint business social event . on - site gym pool fitness freak jog neighborhood go off - site . 
 Aug 1 2009 	 nice classy hotel require furnish update .. 	 stay Sheraton two night ( 2 adjacent room us kid ) -thank SPG point . welcome warmly hotel ( like informal reception area ) . room nice - room need update term soundproof . even though hotel busy street - could still hear vehicle noise night ( window close curtain draw ) . a / c system also make serious amount start / stop noise ( think unit need servicing probably replace something modern ) . hotel near tube ( kid - good walk Knightsbridge Victoria ) . however , easily walk ( walker ! ) almost attraction london . walk upto Big Ben back kid ( old 8 ) without issue . internet connection expensive ( 20 pound ) - speed get PATHETIC . personally not problem pay money ( whatever ask particular place ) internet long get decent speed . London ( Europe general ) disappointment term speed ( currently write India - & quot ; third & quot ; world country - connection downright fantastic ) . overall , would recommend hotel reservation ( since not pay money stay ( thank Starwood ) - review may bias slightly say good hotel stay -but pay money ( think rate close 150 pound night ) - would give maybe recommendation . 
 Jul 22 2009 	 understate elegant quiet hotel pricey extra 	 stay one night go Paris , use Free Night Reward SPG programme . welcome friendly room second floor spacious , view green space outside . get impression nothing much trouble . leafy , quiet area . bed usual fabulously comfy Sheraton bed bathroom spotless usual amenity . tv quite dated- flatscreen , old -style one , even widescreen . boring selection channels- european news ! hotel small Sheraton standards- 89 room , front desk literally small desk two chair 's big bold like , not hotel . usual London hotel Sheraton hotel , mini bar , room service breakfast expensive- £ 21 breakfast . however good choice buffet item cook breakfast tasty . would not pay get room free ! hotel around 10 minute Knightsbridge feel completely safe walk back hotel tube midnight lone female . nearby Motcomb Street whole lot eatery , wholeheartedly recommend Ottolenghi , tiny bakery / patisserie / deli sell gorgeous cake pastry ( would great breakfast ) well gorgeous array salad , quiche cold meat ) . Hyde Park also 5 minute away , Park Lane . summary , would recommend hotel quiet , elegance intimate surrounding spot - on service . relax place come back bright light sight . 
 Jul 19 2009 	 Comfortable Clean 	 stay location three night small family . upon arrival staff courteous . lobby small cozy . give time sit watch staff work . wonderful . notice different guest varied amount request . outside make fitness center lobby , able handle anything . always pleasure see desk . arrangement nearby Sheraton location use facility . work well . our room 1st floor . american term second . ground floor & quot ; 0 & quot ; . anyway , think might challenge noise restaurant street . . room perfect we . extra bed son bring set . list place visit . thank , Sheration Belgravia Staff ! family delightful time hotel . 
 Jul 16 2009 	 nice stay good location 	 wife stay June 2009 . nice hotel , nothing fancy . use Starpoints stay ' m gold member . upgrade 10th floor great view surround area . room adequate . border line 4 star hotel . small hotel lobby , staff courteous friendly . lunch good . wife fish burger . little expensive tasty . front desk helpful . hotel close Harrod 's . within walking distance Buckingham Palace . enjoy walk , see London 's main site within two day hotel . walk Westminster Abbey Piccadilly Covent Garden hotel . catch boat ride London Eye area see London Tower Tower Bridge . one complaint television extremely outdated . tube flat screen 4 star hotel now . in end , enjoy hotel would probably stay Sheraton Park Tower next time comparison . feel safe walk night Belgravia neighborhood . upscale area live . feel business hotel though . want feel vacation perhaps stay Sheraton Park Tower Piccadilly hotel . 
 Jul 14 2009 	 Nice Quiet Hotel terrific area 	 Nice hotel well appoint room perfect location . close & quot ; happening & quot ; place city & quot ; posh & quot ; district . 
 Jul 8 2009 	 great staff great room great location value ? 	 return 5 - night stay Sheraton Belgravia ( second stay ) . overall highly enjoyable . every single staff interaction wonderful , staff go way every instance . room large ( Europe ) , well appoint , comfortable . location quiet residential neighborhood ( easy access everything need ) , we , perfect . room early stage need facelift ( new carpet , paint , bathroom faucet , etc ... ) , sound like work , deterrent stay short term . the real questionable issue around value . stay Starwood Points want extend stay ( pay ) night . 297 pound per night ( low available rate several month run ) , far well value , even London ..... definitely come back , always starwood point , business account , far low rate ... 
 Jul 6 2009 	 great experience 	 husband & amp ; stay follow week 's cruise QM2 - nice transition . staff without exception helpful attentive . upon arrival seat casual coffee area , offer beverage registration , make feel home . room ready offer upgrade ready follow lunch . use room service several time follow theatre find food remarkable hotel . food inexpensive , excellent , well serve , always prompt .. unlike large hotel , never problem service - would leave return find everything perfect . concierge also gem - get we great ticket Globe fail . service quality appointment watchword throughout stay . drawback tourist ( ) somewhat distant location center activity . typically take cab town go . stay Park Lane past much convenient , quality experience . early late - hotel not matter much , enjoy experience able home home away home . also work early late room great desk view City .. neighborhood nice - lot embassy area safe . walk Sloan Avenue , Harrods , local pub around neighborhood - feel home . great experience around . highly recommend Belgravia 
 Jun 21 2009 	 run understaffed poor value 	 recently stay 1 night family , glad leave night . hotel tired run . room wear furniture , stain wall look like result water damage , barely functional tv ( none feature tune regular tv channel work ) . positive note , bed comfortable . service responsive could get hold someone , front desk understaffe -- literally desk handle one party time . request connect adjoining room reserve , receive room 2 different floor . also request late check - out room check - in , honored ( platinum status SPG make automatic ) , go next day verify go morning , tell could late check - out one room need vacate room immediately . later , wait 20 minute check , family ahead go prolong check - in process . there many good hotel London spend money ; look starwood property , Sheraton Park Tower much well slightly expensive . also well location , 1 block Knightsbridge tube stop , vs. 7 8 Belgravia . 
 Jun 5 2009 	 Perfect hotel near perfect location 	 return five night stay Sheraton Belgravia could please . we stay use Starwood point . hotel within walk distance range sight far enough away enjoy little bit peace tranquility long day tour . staff friendly help we find restaurant get attraction ticket . when problem air conditioning attend promptly .. negative one computer internet use choose use . return London would stay anywhere else . 
 May 27 2009 	 Sheraton Belgravia London fit queen . 	 wow , friend return delightful week 's stay Sheraton Belgravia , ideally situate across key park embassy area London . beautifully appoint antique room lobby . within walking distance Chelsea Flower Show ( main destination ) , Victoria Station , Buckingham Palace Westminster Abbey . hotel excellent chef Argentinia , create memorable dish , include guiney pie peach torte , especially delicious ! concierge Gregors always available help direction , money exchange transportation need . housekeeping staff also excellent , tidy day . definitely return next visit . 
 may 20 2009 	 Comfortable Hotel Excellent Service 	 stay May 6 10 Starwood Points . pleased stay . we stay room 906 . bit small side ..... approximately 275 foot include bath room . outstanding feature hotel staff include concierge desk , office housekeeping department . we twin bed , small dresser clutere item mini - bar tray old t.v . fortunately small round table could place item along desk . one night stand two bed lounge chair leave little free floor space . light adequate . bath room nice ..... tile white clean . hotel provide hair dryer , magnifying mirror ( light ) , tub / shower combination extra hand wand addition wall shower head . water pressure fair . good counter shelf space . good lighting . the hotel 6 block two subway station ( Knightsbridge Sloan Square ) close Knightsbridge / Sloan St / Brompton shopping . walk Hyde Park take 10 minute . restaurant visit : Il Portico ( Italian - Excellent ) , Blue Lagoon ( Thai restaurant .... , casual , excellent food good price ) close Theater attend , Bangkok ( Thai ) tamarind ( popular highly rate indian , enjoy ) . would certainly return hotel . 
 Apr 26 2009 	 stay ! 	 ' ve London many time ( husband originally ) easily one good place ' ve stay . superb location , comfortable room common area , great service - find well overall value money anywhere London . 's Waitrose ( Starbuck 's ) block away great , buy snack drink keep room - handy . dinner Motcomb 's ( Motcomb St ) fantastic . not eat hotel restaurant ( rarely ) can not comment . definitely stay ! p.s . Patisserie Valerie ( also Motcomb ) huge disappointment , absolutely love pv location quite small service poor . 
 Apr 14 2009 	 Charming hotel 	 hotel lovely bright . location relatively central . aware neighborhood quiet breakfast extremely expensive ... 
 Mar 29 2009 	 Wonderfull location - residential family orient area 	 first let say previoulsy read many complimentary review Sheraton make reservation . validate gem hotel highly recommend stay Sheraton Belgravia . from start , staff interact intersted make stay wonderfull experiernce . restuarant food service excellent . studio hotel room spacious , clean modern . interior ws lovery - highly recommend studio room size elegance . hotel locate walking distance Hyde Park , Harrods , many finner din facility . hotel locate expensive residential part City Westminster . safe walk around dark . starbuck , Grocery Store , boutique / retail shopping Barclay bank close bye . also , area surround several invite green park . unique - bit car nut . like Aston Martins , Lambo 's , Bentley 's , Ferrari 's , mb BMW 's ; short area town . hang listen / watch go bye - especially weekend . walk around Trevor Square area visual delight . my critical hotel comment - room ( 607 ) locate corner build busy street ; room quite 1 week night . Sunday quite . two wall heater room work , room service bring portable heater work nicely bed blanket . bathroom vanity ceiling slowly leak water onto counter top several day row . room service appologetic clene mess call . I would definately stay . 
 Mar 22 2009 	 Superb Location 	 SPG Gold Member , much research ( Trip Advisor comparison ) choose hotel 6 night . husband need medical attention concierge staff could not helpful concerned . GREAT ( husband fine ) . king room wonderful ( though flat screen tv would nice small dresser little small -- obviously complaint real way ) . 3 Tube stop ( Knightsbridge , Sloane Sq Hyde Park ) within 10 min walk . expensive / upscale area rowdy pub - crawl be look , look elsewhere . however , want lovely , quiet adult atmosphere look far . as vacation we not need use wi - fi lobby pc inexpensive . sometimes special 90 minute 5 lbs . there . we take Picadilly line Heathrow cab back ( early Sunday morning ) . cab 60lbs tip expect . would easlity near 100 lbs week lot traffic . tube travel super easy & amp ; fast ! also advance purchase , USA , London Pass w/ additional unlimited Tube / Bus card use heck . make thing much easierIf be use NYC price currently London expensive . all - in - all , absolute delight holiday ! not know room rate use point . would DEFINITELY stay . 
 Mar 18 2009 	 good service Sheraton 	 ' ve stay 4 time like personalize service . property 5 - star service can not compare sheraton . nice location buiness traveller , quiet area close knightbridge sub station . go leisure planning sightsee London , area not good option look upscale quiet zone 's great option . room service menu limitte food ok , nothing special . reception staff great . 
 Mar 17 2009 	 Excellent Hotel 	 locate beautiful area , hotel make staff . thank Kelly Jesse make 6 day stay perfect . definitely return recommend hotel London gem ! 
 Feb 25 2009 	 beautiful hotel 	 last weekend say bad thing say ! ! friendliness staff next none . helpful . Freddie Conceirge wonderful . help we much . construction go next door wake early , nothing hotel ! ! location wonderful , jus short walk Harrods Knightsbridge tube station . notwithstanding closeness Sloane Street designer shop like Christian Louboutin , Gucci , Prada , Louis Vitton Gina name . 's waitrose around corner ... shopping need . the room small squashed cleanliness high order . thing do not tea coffe make facility , surprising give everything else ! ! food drink also beautiful reasonably price . lady , Giseppie , barman excellent cocktail maker ! fun . on whole , throughouly enjoy stay return also recommend anyone . 
 Feb 15 2009 	 fantastic hotel 	 literally return weekend stay Sheraton Belgravia want let other know fantastic hotel . stay many inner city hotel pale comparison one . room , whilst small would expect inner London hotel immaculate beautifully decorate . despite size not feel claustrophobic due carefully think layout , light mirror . , room see website actually expect , rather couple carefully photograph & quot ; suites & quot ; average guest expect stay in . the staff professional , friendly helfpul throughout stay credit hospitality industry . the hotel also wonderfully peaceful without feel deserted . I would definitely stay would highly recommend . 
 Feb 1 2009 	 Superior Level Service 	 impress thankful high level service attention personal detail staff hotel . special compliment concierge unfailingly deliver every request question . rate attractive enjoy superior combination business holiday . even store luggage week London . 
 Jan 17 2009 	 Quiet Nice Hotel 	 Nice hotel , attentive front desk , concierge staff . room get quite small ( especially ver compact bathroom ) , ' clean , nicely decorate comfortable bed . hotel well locate , walk distance many attraction . surround neighborhood nice , safe clean . walk late night feel safe . also like hotel ' quiet classy ambiance . food , plenty deli , cafe pub around , also excellent waitrose supermarket 2 minute walk hotel . compared pay US hotel , relatively expensive , especially room quite small . however , London hotel expensive Sheraton Belgravia provide pleasant stay . 
 Jan 5 2009 	 gem hotel 	 pay two room starwood point . staff could not nicer . reception small quite welcoming . room service , maid service , concierge valet go way make stay comfortable . maybe 's hotel busy lovely . I wish wi fi cheap , tough . know hotel say competitive price hotel London , well not make palatable , ridiculous sum pay daily internet access . come guy , instead follow gouger , set trend low price wi - fi in - room internet connection . 
 Dec 2 2008 	 satisfactory ; OK 	 like hotel 's location Belgravia ; wonderful leisurely walk , especially King 's Road , close Hyde Green park , within striking distance Kensington museum . even though be right tube station , hotel ' far two ( Knightsbridge Sloane Square ) . reviewer note , hotel fairly compact ' cozy , ' room ample size . could , however , hear thing room next door ; wall ' thin ' acoustically transparent , quiet place stay . carpet furnishing bath fixture rather worn ( e.g . desk chair rickety need replace ) hotel definite need internal renovation . however , seem clean property housekeeping good . indeed , really like staff hotel ... get thing do keep promise within reasonable period time . room service food so - so great value money , nowhere near rip - off 18 pound per day wireless internet access ( note : order service , say purchase 24 hour , really mean 11 a.m. every day ... great deal check - in late ... ) . 's waitrose grocery store nearby want avoid hotel price food drink , not look space put thing room ' mini - bar fridge , completely pre - stocked item make impossible store anything ( without racking - up charge automatic ' robo - bar ' remove item make room anything purchase outside hotel ) .Strangely hotel Britain , room include tea set water kettle , although provide ask . bartender make great martini , note . overall , would say hotel good starwood point redemption stay . 
 Nov 25 2008 	 great location small Sheraton hotel 	 expect lot hotel , way disappoint . stay hotel Paris know exactly hotel like - small cramp . reception , bar , lift room small would expect 5 - star central London Hotel . however , hotel lovely staff helpful . problem two room happy king size room 10th floor . hotel 's credit manager contact personally stay apologise problem happy outcome . view simply spectacular really appreciate small balcony mean could sleep window open get fresh air rather air filter air conditioner . combine ever - comfortable Sheraton Sweet Sleeper bed make pleasant night . 
 Oct 6 2008 	 nice stay perfect location 	 minor first:1 . ) hotel , outside , look extremely ugly ( 70th concrete style ) 2 . ) water supply room noisy ( presure pump ) good presure . need knowledge able adjust water temperature.3 . ) internet ( WiFi ) approx . € 25,00but positive sides1 . ) location exelent ( quite walk distance nice shop ( Dolce & amp ; Gabbana , Gucci , Billionaire , Harolds ... ) .2 . ) room good size ( get upgrade executive suite top floor ) 3 . ) Clean4 . ) exelent staff service , especially Concierges5 . ) high value London ( € 240 / night weekend rate ) anyway , next time would not stay since nearby ' ve get well option style ( higher priced ) .The Sheraton Belgravia , outside , ugly 70th hotel - locate nicely ( shop ; relax ... ) . step inside 
 Sep 24 2008 	 Nice hotel 	 location half mile walk Tube station . immediate neighborhood posh , nice restaurant close .. much tourist relatively clean room , bland decor . bathroom extremely small plumbing problem .nice comfortable bed . plumbing bathroom date , not work well . the hotel walk distance Hyde Park , Harrods , Harvey Nichols Sloan street , ridiculous shopping . also , Picadilly line train service Heathrow , will not take cab airport , run we 55 GBPConceirge good helpful . breakfast great . good thing Conceirge since agent book basic room , change room additional cost 35 GBP originally say 50 GBP . -- -- -- -- -- -- -- -- - 
 Sep 17 2008 	 great location sweet hotel . 	 stay Sheraton Belgravia one night enroute Italy Canada . Staff lovely help we check bring we tea exhausted travel look part ! room extremely tiny ( much small one post traveller ) plush clean . friend two twin bed could barely walk two . however , good sleep travel hotel due lovely choice pillow , duvet , good air condition great hot shower . location walk distance along Sloane St shop along Knightsbridge - 5 - 7 min walk . lot selection restaurant breakfast location within walk reach Knightsbridge many choice . bus along Sloane St frequent full . take bus south along Sloane St wish reach Victoria Station shop include Marks Spencer take food shop great meat pie shop sell 2 - 3 different type meat pie - yummy may one good handpie ' ve ever eat . able stay hotel via point ' m sure would well hotel pricepoint area . would recommend hotel would stay . 
 Aug 31 2008 	 ok hotel ok value ... 	 short 1 night stay Belgravia business trip . mostly book rack SPG stay . location plusse minus . half mile walk Tube station . immediate neighborhood posh , nice restaurant close ... cheap casual place . waitrose grocery store nice plus , 6 block away North . limited interation staff good . professional friendly . room average size London ( small anywhere else ) . relatively clean room , bland decor . air conditioner unit room old , largely ineffective . luckily fairly cool outside window open bit . however , not like take risk .... nice comfortable bed . tiny tv poorly function remote . would classify wifi internet semi - high speed ( fully - high price 15 gbp ) . plumbing bathroom date , not work well . overall , can not get excite one ... hotel price range seem offer well , update room ... location interesting , bit inconvenient purpose . 
 Aug 29 2008 	 Nice Hotel Convenient Location 	 stay Shreaton Belgravia 5 day find location perfect see London . 's situate two block Knightsbridge stop picadilly line affluent neighborhood Belgravia . area quiet safe night , there s whole lot go dark way nightlife . hotel walk distance Hyde Park , Harrods , Harvey Nichols Sloan street , ridiculous shopping . also , Picadilly line train service Heathrow , will not take cab airport , run we $ 120 usd time . Doh ! hotel nice clean . room comfortable view Park across street . couch window little bust , do not seem mind . find staff pleasant . call concierge several time time find extremely helpful . even late night ! call room service breakfast quick food good fresh coffee . , do not use facility hotel . all really enjoy stay Sheraton Belgravia would recommend anyone . 
 Aug 28 2008 	 surprisingly intimate 	 stay two night starwood point pleasantly surprise intimate tuck away . be like Sheraton have ever stay - 's understated , small , other say feel many way like b & amp ; b international chain hotel . Sheraton Park Tower couple block away much like would expect Sheraton , be be really into . there be fitness center though will give pass Park Tower gym . lobby tiny , maybe 20 seat . front desk really desk . 's residential area ( one expensive world ) though small boutique shop block away . around corner Waitrose , Starbucks , Patisserie Valerie food , want avoid expensive breakfast . the room clean quiet , though light shone crack bottom front door night . not think many people stay hotel . staff friendly helpful . walk Sloane Street Harrod 's , well Knightsbridge / Kensington attraction ( V & amp ; Museum , Natural History Museum , Royal Albert Hall ) . near tube stop either Hyde Park Corner Knightsbridge maybe 5 minute away . 
 Aug 28 2008 	 Nice Quiet Neighborhood 	 stay 5 night Aug. 7 , 2008 husband vacation . London three time stay different place time . read reviews hotel little worried , understand . one middle , hotel . Belgravia posh area many embassy , ritzy flat , high end car . ' expensive eat area hotel . like B & amp ; b aspect hotel , especially London busy city , ' nice return quieter place . since small many chain around town , actually take time help question . example , husband need morning Starbucks coffee . lady work behind front desk actually walk we outside give we turn turn direction store . next day , different staff member give we map highlight direction we ( get lose easily ) . Sheraton Belgravia definitely heart action . want local nightlife ( pub ) , ' explore bit hotel find . tube stop hotel bit wind walk , three within 10 minute . book hotel , tell want park view side hotel street view , noisy , much . 
 Aug 26 2008 	 wonderful ! 	 stay Sheraton Belgravia 4 night Sheraton point . lovely hotel ! four we , two adult two child give suite large expect nicely appoint . eat breakfast hotel last morning want experience much London could short stay . breakfast good expensive . meal London pretty expensive , not ordinary . hotel centrally locate could walk Knightsbridge , Victoria Station , sloane tube stop Buckingham Palace . lot walk . highly recommend hotel location wonderful staff . 
 Aug 12 2008 	 tuck Away 	 business trip stay day . nice enough hotel . service level would expect hotel calibre . breakfast good . although Central London , tuck away not feel ' urban ' . 
 Jul 23 2008 	 Interesting hotel 	 hotel large hotel chain meet intimate B & amp ; b . trouble not either particularly well . almost give hotel 4 star service average end 3 star . good thing hotel ... 1 . room clean fairly well adorned2 . location quiet ( could good bad depend view ) 3 . set intimate4 . good location walk interesting spot ( Harrod 's , embassy row , etc ) good1 . real amenity ( fitness room , etc ) 2 . food outrageously expensive -- although completely line London ( bkfst buffett 21 Bp $ 42 ) hard thing poinpoint service . interesting check - in Sheraton front desk .. person sit small desk ( B & amp ; b aspect ) . always enough people help -- sort large hotel chain attitude . pleasant personal . stay B & amp ; b 5 star hotel , get special intimate treatment . expect everyone pleasant , lack passion service . kind hard explain hopefully get point . in summary , would stay travel wife ( -- kid ) and/or want something beat track . personally like amenity price . 
 Jul 20 2008 	 mediocre 	 mediocre mid - range hotel central London ( mid - range , mean $ 425 per night , mid - range London ) . vastly overprice underserviced american standard . although Belgravia , supposedly & quot ; quiet & quot ; neighborhood , hotel noisy street window virtually nothing keep noise . light sleeper choose another hotel . fortunate enough sufficient starwood point room thus avoid regular ( ridiculous ) price . upgrade & quot ; executive room & quot ; check - in , nice , room overstuff furniture around 300 sq . foot , include bathroom ( small ) . room lay typical London townhouse style , mean door - slam neighbor 's door maid 's door ( slam constantly 8 a.m. onward ) right next . noise standpoint , hotel good experience . staff hotel , concierge maid , indifferent . continental breakfast 18 pound sterling ( $ 36 ) ; partake . american reader , would happy comfortable Holiday Inn Express quarter price U.S . lead question one stay London , wonderful city one probably 95 % hotel price $ 500 per night bad bad ( base 14 trip 14 different hotel ) . not use frequent guest point , would go Bentley Kempinski South Kensington , stay two year ago . 's least two cut Sheraton Belgravia price . be perfect either , be great value London . 
 Jul 18 2008 	 Nice hotel good location 	 layover London part journey Egypt , think might well spend night city sightseeing . London expensive hotel , use Starpoints free night Sheraton Belgravia . choose hotel base 's good location low price ( term point ) starwood property . location : hotel probably wealthy part London . clean upscale street many embassy nearby . be relatively quick walk Buckingham Palace , although walk way Tate Modern ( bear mind enjoy explore city foot take hour ! ) . hotel particularly close tube several stop within 5 - 10 minute walking radius ( Sloane Square Knightsbridge equidistant hotel , depend line want ) . think location good , want right middle action hotel not . be also much way restaurant immediate vicinity 's plenty within short walk . hotel also close great shopping , include Harrods . reception : usual early morning arrival could not check room 3 pm . problem , take luggage come back later key . will say though reception not particularly warm - especially see short bleary - eye long overnight flight . overall get somewhat snooty vibe reception , not forgivable least understandable give upscale address clientele . room : room good sized , bed super comfy . good sized bathroom AC work well ( important 80 ) . overall complaint room whatsoever - standard Sheraton - type room bit local character . service : not use hotel restaurant room service since night , think would well elsewhere ( especially budget ) .overall : would stay similar situation . hotel clean , reasonable location , relax day heavy walking sightseeing . point pay , think good deal , beware would $ 500 night have pay pocket . opinion certainly not worth much ! regardless , good choice tourist London . 
 Jul 15 2008 	 amazing ! 	 first trip England pick pefect hotel . location ideal - walk distance Victoria Station , Buckingham Palace , Harrods , shopping , attraction , restaurant .... safe , upper class neighbourhood . service second none - great sit registration nice cold drink long flight . luggage deliver room check . concierge go way assist . small hotel , personal service able offer fantastic . the hotel amazing .... love private little nook lobby quiet tea , full meal . room suprisingly large anticipate classic hotel England - fully equip everything need travel . recommend hotel ! 
 Jul 10 2008 	 Nice stay Sheraton Belgravia 	 enjoy vacation stay Sheraton Belgravia . hotel convenient major London site well Tube stop . easy walk Victoria station , much Buckingham palace . hotel staff extremely helpful , especially need help find restaurant need direction attraction . overall , would gladly return . 
 Jul 3 2008 	 Real Gem 	 stay lovely hotel several day June . location short walk Harrods , Buckingham Palace , Victoria Station , etc . room extremely clean comfortable bed . staff polite friendly . check - in easy quick nice sit complimentary drink . perfect atmosphere lovely stay London . would highly reccommend hotel anyone . 
