Nov 	 Great Stay 	 hotel great place stay Montreal . well within walking distance great shopping , dining , sport . 
 Jul 4 2007 	 free WiFi great location ! 	 read review Le Nouvel Hotel site , worried stay Montreal would marred hotel . guess ... wasn't . either people post bad luck management change , absolutely problem ( exception non - working tv remote ) four - night stay downtown property . first , location great . easy find highway , easy access parking , quick simple check - in . close activity Rue St Catherine , much quieter bustle area . walk everywhere city - Vieux Montreal Plateau du Mont Royal Quartier Latin - without problem . spacious corner room lovely view city , microwave decent sized mini - fridge ( come handy store bottle water ) . room clean comfortable . linen towel not would find Ritz - Carlton , grant , fine amount money pay ( 100 / night ) . pillow room down - fill , problem since ' m allergic . make phone call front desk less 15 minute later , two lovely pillow deliver door . well free wireless Internet . boyfriend ( luckily ) bring along laptop able research restaurant , etc . , leave room . nice perk , indeed , consider hotel charge small fortune WiFi access . keep mind , luxury hotel ( Le Nouvel Hotel promote ) . opinion , mid - range property . want luxury , stay Ritz . be look nice hotel good deal , hotel fit bill . glad not let so - so review deter stay . also post photo room view , judge . not eat property , use swimming pool ( see city first priority ) . end day , happy come back Le Nouvel Hotel really enjoy stay ( money save stay , able afford additional night ) ! 
 May 12 2007 	 would stay 	 company book hotel business trip Montreal last year . hotel look like hybrid hotel residential apartment . split two building join tube corridor . here good point : ( 1 ) good location , 1 block Ste Catherine st . ( 2 ) breakfast hotel restaurant quite good . not know good value though breakfast come room package not know much extra cost . ( 3 ) room large clean . here bad point : ( 1 ) fire alarm go one night 2am - fire electrical room . one top floor . go room go - emergency lighting whatsoever . could even find exit / sortie light - pitch dark try feel way around two minute . decide feel way back room hear footstep run emergency stair . know see flash light - person 's flashlight briefly leak emergency door crack . head direction find exit door , clamber slowly ( total darkness even emergency stair ) remember cellphone lit way . fire serious smoke panic - might make . colleague send protest email hotel management get back unsatisfactory apology . ( 2 ) room 's wire internet port work neither colleague be another floor . wireless work bit work floor beside room 's door get internet signal . uncomfortable . ( 3 ) heat wave time look forward dip pool not pool small , cramp , unsightly . after experience , send recommendation company management use hotel . 
 Nov 23 2006 	 choose hotel honest high integrity 	 stay hotel October 2006 arrival staff push trolley sidewalk dent car . first not admit , relent refer manager Carlos Solomon simply give we lip service waste immense amount time ask ridiculous amount documentation . room unimpressive , outdated clean enough . short , pay evening , refuse make good promise make situation right . would trust recommend anyone else risk unprofessionalism experience . 
 Nov 10 2006 	 date tired Faded poor service . 	 location hotel bit strand west side city cab need get anywhere interest . hotel room adequate , however , maid service poor room frequently make early evening despite leave room early a.m. however , bad situation money automatically take bank account depart country account already settle full . several month , hotel refuse respond email explanation , even though provide proof transaction go twice . 
 Sep 12 2006 	 great location so - so hotel . 	 look hotel Montreal spend part romantic anniversary vacation , run across website Le Nouvel Hotel . plain room Trip Advisor review talk , also 5 suite call & quot ; Admiral Lofts . & quot ; Lofts kitchenette , large Jacuzzi tub , luxury bedding , in - room clothe washer / dryer . picture website look impressive , book 4 night . the hotel great location . close restaurant , bar , nightlife , metro station . several restaurant miss : Ristorante Ferrari ( italian - amazing fresh pasta dessert ) , Upstairs ( jazz club great food ) , Vieux Mozart ( Austro - hungarian old town area ) ! ! ! ! okay , back hotel review ... front desk staff helpful relatively easy communicate . not intimidate start speak French , happy change English ask ( look confused ) . room ... well … I mix feeling . learn 5 Admiral Lofts recently build area connect hotel use comedy club . problem , surprised find & quot ; Lofts & quot ; 1st floor . hope nice city view . instead , window face walkway ( fence behind walkway ) people walk back forth get pool . can not really fault hotel assumption Loft would not ground floor high - rise building . website not say one way another , not ask advance ... , consider fault ask reserving . however , want mention other would find " lack view " important . back topic & quot ; new & quot ; room ... constantly notice terrible job contractor . Baseboard attach wall bow several place , fan / light shower hang electrical wire ( fix ) , towel rack plumbing fixture loose ... could go , will spare . mildly bother we see shabby work , not allow ruin trip ! nice thing room tall ceiling , large 2 person Jacuzzi tub , comfortable bed , kitchenette , laundry machine . love local market like cook meal room travel , kitchenette important we . way , & quot ; foodie " -- not miss Atwater market ! ! ! also , in - room coffee pot double expresso maker give good quality coffee loft . we comment restaurant never eat . breakfast include room price never take advantage -- not breakfast people . however , glass wine bar enjoy talk bartender , Victor , make great restaurant recommendation . all - in - all , fantastic time ... love Montreal ! particular hotel okay . think would probably stay Marriott Residence Inn ( neighborhood ) next time . will miss nice big Jacuzzi tub , maybe will gain well view save money . 
 Aug 25 2006 	 nice hotel great location 	 despite fair review , book 3 night Novel Hotel first family vacation Montreal . Thru Entertainment book , pay less $ 100 per night bargain city ! stay room 4th floor , non smoking satifie . family 4 , 2 adult 2 child , choose hotel location price . sign say 4 star hotel feel . like 3 star . clean . front desk helpful provide clock radio one room . pass area know high price , get comparable lodge low price . swimming pool small . yet 2 child enjoy first time use , family . second time . 
 Aug 6 2006 	 Four Star be not 	 despite tout hotel 4 - star hotel , anything . air conditioning unit ( Floor 7 ) loud turn swelter night rather try sleep sound like freight train go room . front desk staff rude ineffecient , restaurant staff rude , book describe hotel amenity service , towel ymca special ( take 3 separate request get number want ) , recycle provision ... pic website hotel . as other say , thing go location , lot well hotel area comparable price . 
 Jul 24 2006 	 good location 's 	 girlfriend stay & quot ; Le Nouvel Hotel & quot ; end July . hotel close highway locate step away Ste - Catherine Street . cheap parking lot space 3 different level . food good be always breakfeast . 8th floor A / c loud . room clean hotel general . average service front desk . hotel close downtown lot noise Bar close 3 . also pool small . 
 Apr 21 2006 	 stay day Inn 	 nice look hotel clean room . however , pay big buck stay classy hotel amenity claim offer , would suggest look elsewhere . room ok , regular old hotel room , nothing special . claim spa , 3 day stay weekend never open . receptionist friendly helpful . fitness tiny little room weight , treadmill bowflex type machine . pool glorify bathtub , & quot ; convenience store & quot ; anything , open three day stay . must say call extra towel , ( give we 3 4 people staying room ) come immediately . convenient location , within walk distance downtown metro . honesty , ok ... sure could 4 star hotel actually use amenity advertise . 
 Mar 14 2006 	 great deal 	 stay Nouvel attend conference Concordia University . hotel 's location convenient conference , also within easy walk distance ( 2 block ) metro stop shop St. Catherine Street . even walk Old Montreal , though bit far . the hotel clean room amenity , include decent ( Neutrogena ) toiletry refridgerator microwave . plus 's free wireless throughout hotel . staff really helpful ! not bat eye request early check - in late check - out . business center remodelle , need print thing ; happy print use printer front desk . call cab provide map direction , sometimes even occur ask . 
 Oct 15 2005 	 not eat restaurant 	 hotel fine conveniently locate two block Metro close Gare Central . word warn restaurant hotel ... order chicken raw inside . order well do steak substitute & amp ; serve medium rare . plenty excellent restaurant Montreal . not eat unless like chicken sushi . 
 Sep 22 2005 	 exceed expectation 	 stay Nouvel hotel 2 weeknight . never hear hotel price ' high , ' great expectation … leave quite satisfied stay there . the standard room second floor , * * large quite good condition ( aside tear blanket ) . king - sized bed nice linen , bathroom clean decent quality soap . ice machine function hall – although might plus noise - wise next door . I could hear adjoining room busy street outside - something really appreciate hotel . there tiny gym basement machine use . ' want couple people – ' appear use much . location - wise , easy get next Ville - Marie expressway ( 720 ) . couple block action St. Catherine street . hotel situate well perhaps , hotel quite bit less expensive . the hotel close Bell Centre arena ( Home Canadiens ) feel safe day evening . staff friendly enough appear professional . I would recommend hotel . 
 May 14 2005 	 Great Hotel ! 	 come back 3 day trip Montreal stay Le Nouvel Hotel . stay crampt day INN Toronto , pleasently suprise arrive Le Nouvel . staff ( two female ) extremely friendly time , include girlfriend try find place eat . two seperate occasion staff sit we show we map exactly get go . room large , clean , quiet consider face busy street . park outdoor lot beside hotel absolutly problem . hotel great location , 3 block Metro station block Crescent street St. Catherine , ( many bar / resteraunt locate ) . people comment size bathroom small . ' m sure hotel people stay , bathroom have except . clean bright . room also include large tv sit area sofa . AC work well keep room comfortable . agree one poster state , want clean room great section town provide good starting point morning , stay . go spend time hotel , stay Sheraton . 
 Apr 3 2005 	 good time 	 spend three night room satisie size clean . comedy club hilarious bar good pre game . close local hot spot , cheer , peel pub , mad hatter , even hard rock right road . recommend pricing comfort . 
 Nov 2 2004 	 stay hotel 	 go Montreal spend time hotel room -- not stay hotel . go Montreal actually see Montreal , highly reccommend stay hotel say extra money entertainment / shopping / sight seeing ... people actually go Montreal for . I read review hotel go , really bad . spend weekend , price pay would go back second . sure Sheraton , clean , comfortable , affordable . spend much time hotel ( i.e . eat restaurant , go comedy club , use gym facility , etc . ) go Montreal thing Montreal , hotel . take look restaurant not appeal . however , change mind hotel , fairly & quot ; neutral & quot ; hotel therefore expect see fine - dining restaurant . the room spacious clean . try get view face street . problem park . reasonable price go day without pay over . the staff help , tour guide . review complain lack help professionalism staff . see . make sense plan trip ahead time know want , rather take time people reception . I rate hotel 3 star even though really enjoy hotel , would technically rate 3 star give no - frill layout design . however , term location price ... would give 5 star . 
 Oct 7 2004 	 Plenty choice 	 job permit travel North America promote action selling say disorganize manage hotel know one care service respond client need . cleanliness least average room big enough staff awful . management remember belong service industry proper training staff profitable . refuse help client rather talk phone another employee wrong . accuse client eat towel he / she call extra one , wrong . tell client & quot ; slave & quot ; , wrong . , middle management set example ' m sure rest staff follow . unfortunately send letter complaint high management one respond fore prove point set example employee 's . know next time . 
 Aug 26 2004 	 good quality price 	 stay twice , May04 August . price , service good , room clean major complaint . parking stiuation little strange difficult get parkle lot . car look like year , cover dust . this good choice look decent hotel close cre . St . staff friendly helpful . first time stay double room leave upgrade suite . issue bathroom small much time go spend room anyway ! 
 Aug 15 2004 	 function first 	 travel lot business hotel stay good North America . hotel function . large enough room , small bathroom , frill ... eg . large towel . maintence bit behind , appear work public area . room breakfast ok price , charge child stay room seem unreasonable , be common . friendly enough staff , unwilling confirm reservation e - mail . likely choose upscale hotel next time , forgo breakfast stay Sheraton . 
 Jul 30 2004 	 Parking facility 	 warning ... not park car secure / camera survellance & quot ; Le Nouvel Hotel & quot ; underground garage . car break smash rear window take portable VCR player ( hide newspaper ) . never notify incident discover checkout 3 day later . five car similar problem night . front desk instruct go Police Headquarters fill report . hotel management never appear one small & quot ; ' m sorry happened & quot ; utter . 
 Jun 25 2004 	 Nice Hotel 	 stay Le Nouvel Hotel last night find place par even hotel ` stay , problem all . I king - sized bed , cable tv , air conditioning ... room fairly big , aside small stain carpet room clean . 2 beautiful woman work front desk , fully bilingual helpful , nice full day air - travel . grant Thursday night busy , problem check in . my complaint would bathroom bit small , otherwise 's nice hotel situate 3 block Cresent street 's entertainment . 
 may 27 2004 	 great spot Montreal 	 stay Le Nouvel Hotel past long weekend girl . read review go must say people bad experience feel , experience complete opposite . staff friendly ( especially male staff ) ; request towel get towel less two minute . room clean pleasantly decorate ( chic , tacky ) . washroom spotless linen clean two important thing . good thing hotel location . be around corner Crescent street St. Catharine ( entertainment shopping haven ) $ 5 - 10 cab St. Laurent . consider stay Quality Suites Crescent street -- beware ! ! cost bit Le Nouvel Hotel could see , feel smell brothel - like mist float around run - down hotel . want clean room , well price relatively location ( creature night ! ) stay Le Nouvel Hotel . 's Ritz , be great place budget . would stay second even ' m budget ! oh get Montreal , remember want Nouvel Hotel Novetel ( right around corner ) . tre confusing ! 
 May 6 2004 	 bad staff 	 would recommend hotel . reserve executive room Tourism Montreal upon check , staff would honor rate quote tourism office Montreal . boss finally show desk realize would get away finally accept reservation , 20 minute discussion blatantly tell ' we would never accept rate tourism office ' . point time , ready leave . room end average AC function hairdryer . Montreal 5 time since never stay . 
 Nov 26 2003 	 Excellent value 	 hotel great value . extremely spacious room courteous staff less half price Sheraton road . 
 Oct 1 2003 	 careful cc ... 	 although hotel seem clean well keep , stuff not knowledgeable friendly , especially web base reservation . make triple reservation person 's name , double charge patron hotel room put ridiculous , unauthorized amount hold credit card explanation ever . would never , ever stay place , much headache deal check . 
 Sep 23 2003 	 Great Hotel Montreal 	 travel frequently montreal work always stay Le Nouvel Hotel . hotel clean , staff friendly . room large one street side nice view . hotel centrally locate downtown Montreal . walk Bell Centre catch hockey game one block south St. Catherine street main shopping district . hotel nice one continue visit . wish hi - speed internet access room . business center PC 's connect broadband connection use additional fee . 
 Oct 31 2008 	 Quand même bien 
 Feb 19 2007 	 Beau séjour 
