great 	 book two deluxe double double room spacious . bed comfortable . room hot despite turn heat turn a / c . second room plumbing issue . staff really friendly helpful display none superior attitude often encounter upscale hotel . 
 Nov 4 2009 	 clean room hotel miss mark 	 preface say come New York twice month work . usually stay non - chain hotel like Marcel around area hotel . would choose stay thie hotel . lot people complain size room small not bother use small NYC hotel use room sleep . say , could sleep hotel . expect hear street noise NYC bit also expect hotel charge $ 300 + night double panerd window block noise . loud wake less 10 time two night . big issue . also , second night come back room frigid . AC full blast fall time , summer . call ask turn heat tell regulate building therefore th good could bring space heater . man , $ 300 hotel need bring space heater ? noise far number one issue room also little odd not spare electrical outlet laptop phone . unplug something . room modern clean staff ice would stay . fitness center cool rooftop deck 
 Nov 2 2009 	 great location ! 	 Marcel conveniently locate near subway , city bus , Starbuck ' , pharmacy , restaurant , etc . Gramercy / e 24th Street area clean safe . hotel staff excellent helpful – especially doorman . room bathroom small , expect New York , tastefully appoint update . however , accustomed street noise , might want request room away street ( sacrifice view ) . also , Sunflower Diner excellent block two north hotel . numerous try 3 star Priceline.com , able secure room @ $ 220 / night select undisclosed 3.5 star boutique hotel area Hotwire.com . 
 Nov 1 2009 	 pleased hotel ! 	 book Marcel Hotels.com , stay 3 night feel like discover gem . hotel right across street son 's NYU dorm walk distance lot restaurant . staff friendly helpful . room tiny view , clean nicely decorate . basically , get pay . buy bottle wine dinner wine bar attach restaurant , bartender nice enough & quot ; hold & quot ; bottle we could finish dinner another place . would definitely recommend hotel be look nice place stay decent price not plan stay room much . 
 Oct 28 2009 	 nice clean 	 ' ve stay hotel 8 night nicely surprised . read comment concern , end hotel make we good impression . room clean , relatively large NYC standard staff nice . price also ok NYC , hotel 's location . 
 Oct 24 2009 	 Perfect 	 husband come town visit child NYU . location perfect get campus uptown visit relative . arrive early room ready blow away . staff set think one good room house . high floor corner unit . use NYC hotel room one generous size . sure bathroom small shower big enough two ! ample closet drawer space clothe floor space luggage . bed enormous ( comfortable ) sit extremely long desk great view 24th & amp ; 3rd . soon arrive front desk call make sure well point complimentary wine water desk we . notice small room floor ( one look tiny ) may get big room pay get lucky yor . front desk doorman extremely helpful . stow luggage day check arrange car take we airport , price cab much comfortable . tell we next trip arrange transportation arrival well . next time defintiely take offer . neighborhood ton fun bar . find Molly 's right street great irish pub terrific food wood burn fireplace . course Grammercy Park couple block away . the negative were:1 . like cold room suppose b / c season heat . turn unit open window fine.2 . housekeep odd reason give we clean glass next day big deal either . frankly , ' m sure call glass would bring up.3 . coffee 10th floor really bad . care becuase roof terrace lovely million deli delicious coffee . not go New York drink hotel coffee . this go place stay whenever visit . highly recommend . 
 Oct 19 2009 	 Fun Funky ... 	 boyfriend give surprise extended weekend New York birthday book stay Marcel . never NYC unsure expect find excited , thrilled little awed soon walk door . décor bit minimalist fun funky . fireplace welcome " ahhhhh " cold dreary day . light dark warm soothing . honestly ' think ' ever stay hotel friendly staff . almost staff ' enough we , even provide bucket ice could get back room . as room … much small anticipated . notice fire escape route realize ' smallest floor , thankfully ! doorway quite narrow , closet leave ajar ' actually open door . bruise knee hit air conditioner often . thing irritated definite lack storage space . room small need keep luggage stow ( prefer ) nowhere put clothe . mini side table place oddly room afford two small drawer . bathroom funny . get shut door one must stand front toilet pull door close sit do sideways negative leg room . shower large two shower head , one rain head one hand hold . preferred rain head wall mount hand hold dislodge cause bit mess every time turn shower on . with say , room great ! ' stay small room Europe ( hotel reminiscent something across pond ) . service awesome , room hip modern . bed super comfortable linen great . 9th floor ( face 24th Street ) ' seem problem noise . matter fact ' open windows morning hear hustle bustle city . would stay ? probably , maybe large room one storage . and good time ? boyfriend take New York birthday … could ? ! ? ! 
 Oct 16 2009 	 great place stay 	 Marcel great . Yes- room small 's expect , be ny ! cute room authentic boutique feel . love . lobby hip stylish , be close great restaurant , etc . staff super friendly . would highly recommend stay , especially great price ( room $ 215 ) . 
 Oct 15 2009 	 not plan sleep shower hotel may ideal . 	 hotel hip renovation visible surface . scratch surface , be dive . - 5th floor , 24th Street side . tiny comfortable room . tiny bathroom : tall people may difficulty use toilet . - Beneath hip new carpet , ancient floor creak . fortunately , room we empty . - traffic noise loud relentless . window seal shut , noise - seal job botch . attempt sleep foil roar diesel truck engine , wail emergency siren , honk horn . quiet period 3 4:30 . enjoy blissful hour half sleep . be be go get . - early morning hot shower ? leave water run least 30 minute hot water find way boiler . want early hot shower departure , choice leave hot water run night . give wait , depart unwashed . - Checkout non - event . clerk duty could not persuade computer work . stare silence minute , ask 'd incidental ( & quot ; nope & quot ; ) tell we could leave . printout , bill , nada . - detail : delicious bed linen , comfortable pillow . Avante garde decor . pleasant staff . closet , iron , iron board . 
 Oct 8 2009 	 Comfortable Stay Marcel 	 return yesterday night Marcel . arrive early ( around noon ) room not ready , take cell number , point direction good place eat , store luggage . arrive back hotel 3 pm , not call yet room clear ready . room adorable - love green zebra print , especially love large full length mirror . complaint quite hot night - place could control air conditioning , attempt sleep window open cool -- loud wake 2 close . 8 wake miserably hot . stay one night , however , point ask say do . breakfast yesterday morning , Continental - style . not nearly worth $ 12 buck , sit roof enjoy , make worthwhile . perfect way start morning ! staff friendly helpful , nice little hotel tuck away quiet part town . everything need accessible Subway 5 dollar cab ride . can not complain ! 
 Oct 6 2009 	 good hotel - good service 	 can not understand bad review - would rate high hotel stay . polite staff , excellent location . five day . admittedly room small beautiful decor facility make size . 
 Sep 30 2009 	 good pricey 	 stay three night - big room clean coffee / tea equipment free wifi . reception excellent - helpful courteous . location little noisy , corner room great view 3rd 24th , traffic start early . close $ 300 per night three night , lot pay . 
 Sep 29 2009 	 great boutique style hotel excellent New York location ! 	 stay Marcel Gramercy March year - feel write review seem quite lot mixed review hotel might turn stay great experience ! firstly boyfriend book hotel part surprise birthday trip NYC . New York many time previously stay Gramercy Park area love ! boyfriend let hotel know special trip ( get engaged break ! ) arrange fantastic large room dual aspect view Empire State 3rd Ave . decor keep boutique style hotel although amenity top range , every area stylishly design roof top terrace great . room common area spotless ! restaurant Inoteca downstairs lobby good great cocktail bar real New York neighbourhood feel . area - much less touristy area get feel ' real ' manhattanite live ! Pete 's tavern great pub close hotel Mike Du Pizza across road - great slice ! hotel perfectly locate cover area city - downtown/ midtown / uptown walkable less $ 10 cab . also couple block subway 6 line easy navigate city . any query , book information require staff happy help advise we ! would hesitate stay Marcel future , fact friend stay week - unless feel like splash one uber cool designer hotel perfect mix style , location value Manhattan ! 
 Sep 25 2009 	 Trendy 	 pro : clean , trendy , modern , location , good staff , harassment bellboycon : breakfast include price want , absurdly expensive ; 2 pc free internet ( 10:30 pm ) 
 Sep 24 2009 	 avoid hotel 	 bad hotel ever stay NYC . tiny room . broken air conditioner . bad service . 
 Sep 22 2009 	 great location - small room ! 	 not expect much booking , review seem mixed . pleasantly surprised though , welcome receptionist & amp ; concierge . room big enough , much street noise . clean . useful free access computer 10th floor . go breakfast , couple good diner nearby . eat attach restaurant , pricy noisy . 
 Sep 19 2009 	 's fine - nothing special kind dress Holiday Inn 	 hotel OK . price decent part Manhattan , guess 's actually pretty good . lobby small fix try look modern expensive . room definitely small . fine , fiance would ok long not plan hang room lot . I strangely shape room . appear one floor like . window basically short , narrow hall rest room . ( attach pic 's hard explain . ) exactly like window . long one night fun rather business , would ask move . the minibar item obviously old cover layer dust . one accessible power outlet not work correctly . not become problem seem like air conditioner barely put cold air , even high . , everything seem clean staff nice . spend time 10th floor & quot ; lounge . & quot ; free coffee , big window , two computer printer , lot nice table chair . well option get work do teeny nearly - windowless room . also , not really fault terrible cell phone reception room . annoying . 
 Sep 19 2009 	 Hit miss big miss ! 	 ' ve stay Marcel twice . first visit quite pleasant , hence second stay . first time , nice clean room , much trouble . one problem times book Expedia online service , not seem clue research hour . deal , second visit , room smoking leave second floor . fine since smoke . usually get non - smoking since often clean , figured would fine . room tiny , dirty , mosquito ! tell show bite , say sorry , room . small dirty could deal , ' ve get 10 bite body face . could hear buzz next ear night ! ' ve camp get less bite ! 
 Sep 17 2009 	 great location - good solo person 	 honestly , mixed review have see almost cancel reservation hotel . not , everything work fine . staff friendly , not rip anyway . standard room really small . bad individual night , good one unless really tiny madly love . restaurant trendy italian packed everynight . great neighborhood , everything could possibly want close , touristy . free computer lounge , room internet $ 11.94 24 hour . minor annoyance : many blink light mini - bar eye level distract dark ( actually cover towel night ) partly block door ( use mini - bar ny anyway ? ) , loud fan bathroom , drawer clothe . generally good , would stay . 
 Sep 12 2009 	 Rude Incompetent Management Resulted Room Inn 	 Booked room three adult , two double bed . when room finally ready , give we room one king room small space rollaway . Told desk & quot ; unfortunately , & quot ; room two bed available additional room accommodate we . when ask speak manager , tell & quot ; site , & quot ; would call . 45 minute later receive call & quot ; Robin , & quot ; manager , rude . tell us room & quot ; three person & quot ; mean room two bed . informed hotel country would book three adult one bed . say could either sleep three bed one night go uptown sister hotel one night return next morning . explain plan Village long time go way uptown , get ready return downtown . result , ask front desk clerk find we alternate hotel close Marcel . agree ; however , go front desk 45 minute later check , learn check alternate hotel , go break instead , know make reservation soon . finally agree , manager claim entire city sell , would get ready Marcel , pack bag leave desk , pick evening , go uptown sister hotel . Robin agree would pay first night . ask Marcel call we confirm would room two double bed remain two night . call later evening . , morning , call Marcel confirm would room two double bed . confirm . pack bag , leave front desk sister hotel , sightseeing return bag , hop cab , return Marcel . upon return , claim not know come back ( confirm twice availability room two double ) give room away early day group arrive . ask find we room another hotel . refuse . find alternate arrangement ( lo behold city sell ) leave . management rude , incompetent totally lack customer service orientation . 
 Sep 10 2009 	 Compact modern 	 great place stay . little compact , everything modern good taste . lover classic design furniture need apply . nothing glamorous outside either , good location , depend preference . get special deal , would not know regular price , decision would depend much cost . 
 Sep 9 2009 	 recommend 	 entrance hotel quite low key , inside impressed . check - in staff friendly welcoming . room quite small , modern , clean bed amazingly comfortable lovely crisp white sheet soft pillow . powerful Aircon available room , good hot day . would nice coffee tea machine room , hotel provide coffee day 10th floor . luckily starbuck 2 minute walk away we prefer tea . surprised non - inclusive continental breakfast price $ 12 + taxis . excellent hot , large breakfast range local diner less $ 10 , would not recommend hotel cold cereal offering . sure $ 12 + justified . internet free 10th floor , definitely appreciate plus point . 10th floor also roof terrace area , use sunbathe read wait computer come free . , love hotel . good location comfortable . friendly staff 5 good night 's sleep ! 
 Aug 27 2009 	 excellent 	 opportunity stay beautiful property , take advantage introductory rate . nice modern room , excellent staff . Valentina , front desk person able help we many different question . wasa pleasure stay small intimate property . 
 Aug 22 2009 	 Bait 	 stay Marcel February 2009 love , much look forward stay . book good rate online Saturday night August . arrive , staff tell not two - bed room would reserve . ( travel someone not know well . ) & quot ; make , & quot ; send & quot ; sister & quot ; hotel , Ameritania Hotel near Times Square , area would intentionally try avoid . Ameritania total dump . noisy neighborhood , little furniture room , couch several hole , bed saggy , bathroom scratch , hallway weird smell , breakfast room , amenity . Marcel pay cab ride across town get us room & quot ; upgrade & quot ; Ameritania ( two bedroom ) large room dump still bad deal . ' m shock hotel overbook , Marcel do accord review . ' m equally shocked , send old place -- seem quality standard . would never pay price Ameritania Hotel . ( comparison , know stay Marcel new nicely appoint room , great bed , good shower , wonderful breakfast / lounge area free espresso & amp ; internet , 's quietish area near lot affordable restaurant . ) first time Marcel do : ' ve read least two review exact story . beware ! assumption get bump get discount price . arrival time 5 pm . 
 Aug 16 2009 	 Perfect stay NYC 	 stay Marcel Gramercy perfect every way : location , view , room , staff . many attraction far away ( uptown downtown ) metro block away ( 23th street Lexington ) . supermarket 50 meter , Bagel Express 30 meter . deffinetly stay come NYC ! 
 Aug 15 2009 	 small ` ` clean '' 	 get great rate Travelzoo give hotel try couple night . great overall value imprese cleanliness efficiency room . travel New York frequently , well aware room would relatively small probably would want stay couple night due lack pack space . check - in check - out seamless room cool , quiet , bed fabulous . not eat restaurant full every night find great greek diner around corner serve good reasonably price breakfast . overall , single complaint good thing . 
 Aug 1 2009 	 Jacqueline save day 	 check TOTALLY CLUELESS clerk , finally give decent room kind word asst manager Jacqueline ... hotel nice , planner create small room annoying day . fortunately stay one night .... thanks Jackie .... please train bimbo ! .. 
 Jul 22 2009 	 irritate 	 small room . could not even open suitcase floor first room . furniture squeeze room make hard get around bed . smile , irritate service . every morning pack bag , tell would move large room , every day come back find large room & quot ; available & quot ; - last night . the breakfast buffet consist roll basket , coffee paper cup , jug orange juice , serve next two computer provide free internet . wireless access expensive slow . nice location . the Junior Suite upgrade king sized bed ... . list price absurd . 
 Jul 6 2009 	 Small perfectly form 	 small room , however clean ( room make - up , fresh towel & amp ; toiletry every day ) . air - con , pretty warm room , despite quite nippy outside . great place eat nearby , sunflower cafe great breakfast much cheap hotel ! would recommend good launch pad city break . 
 Jun 30 2009 	 Loved Marcel ! 	 stay Marcel mid - June 3 night two daughter - 20 's . make choice Marcel Rogers Smith , receive great deal . seeing & quot ; hip & quot ; Marcel seem , choose think girl would enjoy . right - say love Marcel room give understatement . check early early flight . needless say room ready ask Ursula ( manager front desk ) large double double possible 3 people - end give we Room 814 ( much view , everything else excellent ) - definitely large room type lot space , ample storage ( could bit 3 people ) , beautiful linen comfortable bed . nice bathroom - small square sink practical , although stylish - however , 3 big shelf wall - storage space see hotel . although couple prior review say something half double shower door close properly , give good tug - close fine water floor . in term room size , actually floor layout room size post door . know tiny room - matter would definitely pay bit book Deluxe King Deluxe Double Double ( rather standard ) . least assure receive decent size room ( not leave change mind , one reviewer note ) .service - return home Ottawa receive message Ursula 3 pm first day arrive ( must think call cell phone ) let know room ready - never request call . also , need towel three people . minute call , knock door bellboy carry huge number towel , 2 glass huge plastic bag bath product . could not believe . mention excellent service bellboy front desk entire 4 day stay . can not ask much well that . Lounge terrace- already say tell picture see justice . lounge beautiful terrace - many lounge chair terrace well table chair . two free computer printer plus we well , take advantage free coffee , especially breakfast time . unfortunately , long wine cheese recently stop look forward first day actually go back hotel 6 pm ( time use ) . wonder due part addition restaurant bar ground level call inoteca - not end eat check look nice ( busy ! ) - open wee hour apparently . I believe pay $ 500 US 3 night 3 people fantastic rate New York - especially hotel beautiful hip one . yes , gold black leather sofas lobby - style , maybe place not . , can not go wrong . location close SOHO far everything else either . 5th Ave . part town also nice always stay Times Square area honestly say prefer part town . posh Gramercy area absolutely beautiful . service food ( Lyric Diner street breakfast ) less expensive plentiful . would also recommend posto excellent pizza salad wait get 10 pm rainy Saturday evening , well worth it . I list friend consider Marcel upcoming visit New York recommend hotel highly enough . e - mail someone Trip Advisor leave answer question extremely helpful make decision stay . help , please feel free e - mail . 
 Jun 30 2009 	 Great value - stay ! 	 stay Marcel Gramercy 5 night overall happy stay . bed great , King extremely comfortable ( pillow top ) . room hotel trendy looking . bathroom nice - show two nozzel pressure great . location excellent lot reasturant within walking distance . negative find could hear traffic ( 9th floor ) guess NY . call ask recommendation Chinese Restarant say would bring menu . 45 minute finally bring ( two call ) give 5 copy menu . food fine though . call last night could find remote tv say would send someone one ever come . , definitly plan stay beat price comfort level . 
 Jun 30 2009 	 nice boutique hotel 	 stay night Marcel March . decide Bentley randomly settle Marcel . we suppose come DC day snowstorm cancel bus train could travel NY next day . contact Marcel hope pay first night , attend front desk staff , Urszula , particularly helpful polite . eventually everything get sort thank help check follow day , albeit rather early , get first bus DC ( 5 am ) , reach Marcel wayyy check time ! room not ready yet , chill ( quite literally ! ) deck top floor offer view skyline Empire State Building . two bellboy extremely helpful -- one Korean / Russian name Alex , hispanic man whose name forgot . attentive friendly . the room clean , size would expect similar hotel New York . stay East Houston Hotel last year comparable . not stay room much ( course ! ) , room fine good rest long day walk sightseeing . not free Wifi room , two computer terminal top floor surf internet print flight reservation , ticket , anything free . find useful book car reservation next destination able check flight print boarding pass . not breakfast hotel can not talk much . spread not extensive usual stuff juice be big eater fine . 
 Jun 18 2009 	 would definitely stay 	 friend stay 3 night , June 11 14 , love ! cool decor , clean , centrally locate . room way big thought would , give previous review . two girl thousand shoe outfits choose extra space greatly appreciate ! 6th floor , pretty quiet , sleep problem . near train block away not mind , give time get Starbucks way . centrally locate Times Square Central Park one side Village . get deal directly hotel 's website , $ 125 night believe . 
 Jun 16 2009 	 Excellent Stay Marcel 	 base review , concerned come midnight . flight delay 3 hour , check 3 am . perhaps tip reviewer help , 'coz call ahead ask reserve king - bed room ; . sure , full give whatever room . case , room excellent . size smallish US standard , large ny standard . good , comfortable bed , good bath product make stay enjoyable . lastly , location superb . go steakhouse , indian place nearby enjoy close everything . aware , hear street noise 9th floor . really avoid . bring ear - plug . I would stay , stay NYC . 
 Jun 9 2009 	 Marcel excellent choice ! 	 truly enjoy stay Marcel . greet Daniel , doorman , really go way helpful parking restaurant choice . check go well , however , get 2 double bed instead king request . value hotel excellent . good rate seem call hotel directly . room clean decor classy . noise problem , although upper floor . bar / restaurant next door fun . neighborhood safe . return July look forward Marcel wonderful staff . 
 May 27 2009 	 GREAT modern hotel really cool room ... 	 arrive hotel greet doorman . front desk person friendly . lobby decor modern set theme hotel . hallway room maze , keep noise minimum . room typical NYC small decorate really well . be cool funky vibe & amp ; flat panel tv . huge floor ceiling window . hardly find price point . lot daylight view ... condo building across street . & quot ; ; - ) bathroom nice good product . also , be rainfall shower head nice plush towel . hotel locate conviently everything . 's middle Manhattan , get anywhere rather quickly . area safe 's easy access public transport . 
 may 26 2009 	 great place stay NYC 	 really love hotel ! service great , bar downstairs also rather convenient . New York office quite close , value can not beat . know tiny room , give large room stay quite comfortable . would highly recommend place look forward go back . 
 May 18 2009 	 worth 	 hotel characterize boutique hotel mid town . location excellent room small side , pass - able size - wise . however , room single pane window happen side hotel face street , night listening sound city never sleep . room also central air . instead one wall unit combo heater / air conditioner . heating / ac unit room work well make much noise ( constant grind noise ) actually drown car noise street . room rate low hotel , want restful sleep , avoid hotel . 
 may 13 2009 	 not recommend stay - especially kid ! ! 	 Marcel nicely decorate hotel . 's nice thing say ! cold , lack charm anything else make attractive worth $ 200+/night rate . also misinform we outright lie we phone . reserve 2 room adjoin , assure could accommodate we - even call verify twice . time assure could 2 adjoining room . specify particular circumstance might able accommodate we . get tell point could accommodate we . go ahead charge we room anyway ! take hour time work day get charge reverse credit card . another guest yell ( literally ! ) us baby cry 9 pm . exactly family - friendly hotel , provide crib like family child dissuade stay . room , beware snack display - remove one 20 second , get charge ! even put back 21 second . also , could use one 2 pc internet access - wireless otherwise . lame ! 
 May 13 2009 	 excellent start finish 	 instant check , mannerly helpful staff . room average size well present maintain . location amazing , 5 minute walk union square , soho 15 minute , times square / port authority 10 min . 5th avenue 2 minutes.excellent bar brasserie attach hotel . plenty bar & amp ; delis street.i bad thing say place . pay € 470 double room look back think bargain get . 
 May 5 2009 	 Clean Modern Safe recommend 	 stay alone 4 night around £ 280 , think great value . area good thing easy walk distance . the hotel great , clean nicely decorate . do not good view do not really matter . 30 min free internet access free coffee upstairs business lounge . it quiet staff helpful . they roof terrace see empire state buidling . I would stay . 
 may 3 2009 	 good beware ! ! 	 stay Marcel April . first night arrive inform we Hotel & quot ; overbooke & quot ; . ship sister Hotel close Times square , Ameritena . would accept re - locate whole 5 night stay . subsequently upgrade we pay cab fare . believe policy Hotel rather & quot ; overbooking & quot ; issue , see guest problem . careful check late evening ring ahead inform they . despite , find rest stay enjoyable , room great spacious comparison room Hotel walk past . decor newly renovate , cleanliness throughout excellent staff friendly . location good cocktail bar/ restaurant groundfloor pretty cool also . continental style Breakfast serve morning 10th floor , view Empire state Building etc fabulous . overall please despite mess first night . 
 May 3 2009 	 good location nice hotel 	 stay 6 night end April . both room common area nice clean , hotel redecorate 2007.location , good , 5 - 7 minute stroll nearest subway station . Flatiron buide one block away . area Gramercy Flatiron house lot restaurant bar - high end ( Michelin rate ) & quot ; common & quot ; stay room 609 ( superior room ) next elevator ( noise ever ) . room big ( big NYC ) face corner 3rd 24th . Aircondition work perfectly , complaint - NY enjoy som hot day stay , temperature 30 degree ( centigrade ) . wary street sound , may ask room face backyard - street sound , doubt , that s part charm NYC - not bother we . service good , although not challenge lot regard restaurant etc ( book restaurant advance ) . check in / out go smooth , luggage store airport taxi go without problem . there also guest longe 10th floor free internet access , rooftop terrace nice view NYC landmark ( Empire State Building instance ) .value 
 May 2 2009 	 Great Value Hotel NYC 	 stay Marcel 9 night Feb . first trip NY spend much time research stay . eventually decide Marcel give great rate ( $ 180 aud ) per night deluxe room could happy hotel . location excellent room fantastic , room look exactly like picture web site . stay 9th floor problem noise . room spotlessly clean every day . staff helpful doorman friendly . staff helpful assist we locate lose mobile phone . the italian restaurant beside hotel & quot ; inoteca & quot ; excellent . great value meal delicious cocktail . would highly recommend restaurant . also great burger shop door . plenty small supermarket , pharmacy 's etc close by . hotel within easy walk distance subway far walk Times Square Village . free internet top floor handy view great . free coffee also . I would highly recommend hotel . area great away horde tourist Time Square area . hotel ' real ' Manhattan neighborhood . hotel new modern . for great rate , place stay . 
 Apr 19 2009 	 Outstanding 	 totally excellent hotel . bedroom spacious clean excellent double shower . , comfortable bed . the location superb lot great bar along 3rd avenue . everything walk distance . room face onto street certainly not noisy . ( be back ground noise certainly not keep we awake ) great view empire state building ) .Already booking go back again . Andrea Kuwait 
 Apr 16 2009 	 's lottery ! not stay . 	 read trip advisor husband book deluxe room 4 night stay New York . upon arrival guy reception tell we have ' lose ' booking . 30 min say room , not explain standard have pay deluxe room . husband complain finally admit deluxe room available ( although meet another couple spend first night standard room clearly not one mistake ) response ' what want ' . say would charge we standard room , good ! first standard room receive smoking floor absolutely stank , complain finally move we another tiny room outside window buzzing air conditioning unit outside room - really great ! complain say would reduce first night room rate $ 20 ( would rather decent room ! ) , still give apology quite trip complain . think reception staff clearly need go customer training ' m sure one mistake people experience problem take care book deluxe room , may get ! second day ( late afternoon ) finally get deluxe room , nice , single glaze window New York not well try sleep . the location excellent advise would stay location different hotel . we will will not go back Marcel ! 
 Apr 11 2009 	 good value money New York 	 stay MARCEL 5 day easter . book de - luxe room really good price use hotels.com . 934 dollar 5 night . I would recommend hotel time . room brilliant , modern brand new . young feel ( design ) far overprize run hotel new york famous for . the view fantastic overlook 3 th avenue . side could see empire state building . be also rooftop terrace everybody use . the staff friendly helpfull service hotel good . the location good ask . prefer downtown union square walking distance . Soho 20 min walk . subway 2 block away good restaurant area . my advice - GO MARCEL - 's new , nice time time really good deal . return next time ' m New york ( 7 time Marcel far good value money ) eating would recommend meat pack district west side around 14 st . funky like hell nice food ...... hip ? .... ! ! ! good trip . Thomas Copenhagen Denmark 
 Apr 4 2009 	 good find New York 	 give price size room NY Marcel surprise we relatively spacious room affordable price . location hotel excellent Soho uptown , number affordable restaurant nearby subway close . room clean bed comfy . staff helpful especially day leave organise town car pick we early flight cheap cab much nicer less hassle . look afforable option New York clean average without break bank fit bill . would stay . 
 Apr 1 2009 	 surprised good way 	 arrive Marcel find staff helpful check quick . give room 2nd floor 215 think , first impression room small nice decent bathroom , however annoying whir noise come outside - think air con elevator machinary ? anyway think noise would unbearable go reception see could change , bear mind hotel busy , trouble change room . move room 9th floor side hotel much quieter room small lovely inside - comfy bed , vey clean shower bathroom huge normal shower head second ' rain effect ' shower head . free coffee internet 10th floor lovely roof terrace also - luckily weather great could actually use chill out . load bar nice resturant local area - tourist trap , 10min maddison square garden 15- 20min walk times square . nice boutique style hotel quiet area 
