clean 	 spend Thanksgiving holiday hotel . see negative review , pleasantly surprise friendly staff clean , comfortable room -- view ! sure , street noise -- welcome big city ! ! ! still , great location , easy access public transportation . streetcar stop right front hotel Bart Muni step away . would definitely stay . 
 Jun 9 2009 	 well backpacker ! ! 	 never though would write one review , feel compel , agree bad reveiw write Hotel . worry open drawer bedside table find 2 set earplug ! ! yes , noisy . lot construction outside room . the staff friendly helpful , 's . arrival , could find parking space car valet park drive round block several time . carry suitcase stair cause foot break one case . room small - not enough room swing cat . room luggage . room cold ( heat turn summer , despite cool evening temperature ) bed thin inadequte . room old bath chip . run toilet paper , none supply room service early day . internet ( except dodgy dail ) . kind like old prison . bed squeaky slope one side . yes , area scarey full homeless . worrrie take young daughter . dodge lot vomit foot path lead hotel watch one guy threaten another large garden stake . give one miss ! ! 5th hotel state far big disapointment ! 
 Jun 7 2009 	 's Ritz ok . 	 recently get back 3 day stay San Francisco stay Renoir hotel . my first impression S / F leave Metro civic centre good , tell friendly local hail taxi walk 3 block Renoir unless want suitcase steal . we jump first cab come way try find scantury inside hotel . however , say not find Area bad people make ... sure plenty homless people walk around Area look like scene zombie movie , local never botherd we anyway , make threat . the hotel room clean comfortable , good safe provide room staff friendly polite . if go hotel , 's bad seem ... need little street wise ! ! 
 Jun 4 2009 	 staff ok location dump ( live Rio de Janeiro ) 	 bear raise Rio de Janeiro , use homeless beggar around ask money . problem Renoir Hotel main entrance Market St. PACKED street gangster / drug dealer . pawn shop cheap strip joint complete bizarre surrounding . first couple hour , see smash car window cop eight digital camera , show old asian tourist could find one steal they . the hotel also need refurbishment , sane person would invest money badly locate hotel ? pro ? staff fine helpful . 
 may 31 2009 	 clean room scarey location 	 Hotel definetly need updateing , good place $ $ $ bad location . mind street people wonder around & amp ; gang people ok . room clean , heat room , cold space heater use available . 
 May 4 2009 	 quite SCARY ... inside 	 indeed right smack middle financial district bum litter street ... accesible 's good thing say . oh lobby nice clean . outside hotel REALLY run , homeless people loiter around ... not exactly make look appealing . & gt ; Air Condition second floor room ... ( fan closet ) & gt ; dirty bath tub ... & gt ; THIN / LITTLE towel ... & gt ; hard bed ... ( ' m exaggerate ) & gt ; $ 27 + tax valet parking ... would recommend parking Civic center 2 block ... quite safe . good thing stay one night . 
 Apr 1 2009 	 budget hotel 	 stay 8 day . 6th floor 7 floor . elevator extremely slow sometimes quick walk stair . room small , room really spread luggage around . bathroom horrible , tiny . bath chip water pressure pretty non existent . water keep make dribble noise water would escape bath plug hole ( could not anything ) end bath hardly water leave . hot water good however bath slipperly ! ! definitely need give bath mat . toilet sound like rocket go soooo loud ! ! could hear neighbour one everytime flush loo . close curtain safety pin . bed find alright although mother do not like pillow find give sore neck . area surround hotel extremel rough , homeless ppl reason congregate around hotel . civic centre next door Mccallister St think that s obviously prefer street day night . place smell urine outside ppl beg money . group rough look ppl stand around st corner , do not feel scared walk around day lot ppl walk cop quite often pleasant look . must say always good laugh walk along really strange ppl SF that s sure ! . SF really need something homeless ppl I ve never run area life travel quite bit . siren day night blaring past hotel quite unbelievable really . 5 min road however westfield shopping mall area pick remarkably GAP , Ambercrombie Fitch , there s Walgreens well etc renoir end road terrible . lot food shopping place along market street bus train metre away good location pity place rundown . staff renoir excellent however always go way ( even ring check tour time etc ) can not fault . 2 computer use internet however use credit card cost minimum $ 5 20 min . restaurant never use . able leave luggage check could collect later head airport , great thought . catch train back airport , 3 min walk train station cost we $ 5.35 great value . overall would stay hotel , i d rather pay bit end market street fisherman wharf . find room small bathroom worst we ve far . tv lot channel however geez lot ad tv ! ! .I would recommend Parc 55 be not far Renoir nice part street I ve check picture look lot nice however price . want really budget Renoir do not intend room much do not mind ppl hang around outside . 
 Feb 4 2009 	 doubious area ! 	 hotel tired dated furniture , chip bath tub damp stain ceiling . also locate edge Civic Centre area lovely surround homeless people , look like drug user .... however bother we need careful . despite room clean . 
 Dec 30 2008 	 pretty decent hotel 	 travel group go 49er game . trip organize travel agent , influence hotel would stay . always check Trip Advisor traveling time , . terrify review , also puzzle review almost always either ' terrible ' excellent ' . rarely somewhere middle . reality found hotel good value money . grant , stay much well hotel , ' ve certainly stay bad one , . staff friendly , lobby big , spacious nicely decorate . room fairly large huge bed decent bathroom . two large window face Market St . double - pane , room tend get bit cold street noice noticable . neighborhood ok . not Union Sq , course , never feel threaten - even . near BART station literally right across street , access SFO airport could not easy . , not recognize bad review hotel would potentially stay . 
 Dec 29 2008 	 expect bad pleasantly surprised 	 Hotel remind old Hotels stay Europe 30 year ago . research booking Renoir well expect . room fairly large airy wth two large window . bathroom big shower large bath paint peel bathtub . room two double bed comfortable . room 5th floor face Mcallister St view skyline .The noise not bad accept garbage collecter street cleaner . homeless people outside not bother we . downside air conditioning heating . get heater reception powerpoint close drape bed think dangerous use . room clean carpet old need replace . disappoint not HBO TV . even dump stay HBO . think location good & quot ; F & quot ; line trolley car Fishermans Wharf Castro bus stop outside hotel Market Street . area bite rough homeless people bother we . hotel couple block Westfield shopping centre Powell st Cable Car turntable . & quot ; Phantom Opera & quot ; live theatre production play Orpheum Theatre 2 block Renoir Hotel . area little scarey dark atmosphere near Powell Market st great . glad stay room Mcallister side think would noisy Market St . staff pleasant helpful . bad experience check sit foyer wait Airport transfer . interogate undercover security guy foyer . offend treat we like homeless people . 
 Nov 30 2008 	 convient area 	 hotel old , room clean , convient market st also make noisy night , staff friendly extremely helpful , lot homeless people close trouble 
 Sep 30 2008 	 would rather sleep car . 	 nice thing say place fairly clean . outside hotel surround homeless people . room hot water take five minute heat . hot water never even work sink . forget sleep room face street . nothing siren night long . last day valet bag still hour need leave airport . restaurant lobby hotel restroom outside . restroom lock padlock . ask receptionist could use restroom say . say closed . remind guest past three day shrug shoulder . literally pain next 30 minute train ride back airport . thank Renoir Hotel horrible experience . would not stay pay . 
 Sep 23 2008 	 dump - watch back ! 	 book hotel three night stay one ! hotel age since photo be take brochure almost 20 year ago ! window frame room rotten dangerous small child - bar facility , food facility , grubby reception area lift break mention location - leave hotel front entrance like walk onto set ' Night Living Dead ' ! hotel oposite civic centre homeless congregate . taxi driver pick we hotel suprise see we small child stay ? ? ? 
 Aug 29 2008 	 Renoir Dump 	 first arrive hotel feel safe . street drive run big african american people yell . lobby hotel ok , couch extreamly dirty look like clean century . the staff quite nice helpful , reasonable aspect place . as heading room notice one elevator service due inspection , one work feel safe , make major creaking bang noise . the hall stair wells smell like urine . the room pretty average . Air Conditioning , could close curtain - use safty pin keep closed night . window could easily open outside , make we uncomfortable leave anything inside . right across street room Adult Porn Movie theatre . we take walk street hope would get well , not . homeless sleeping everywhere , include right outside hotel entrance - never feel safe . street cover puddle ( god know ) smell like stale urine . african american gangster look people every corner crazy people litter street . we tell taxi driver careful - decide go dark . also , last night stay arrive back hotel Alcatraz , walk towards elevator see big cockroach scuttle across floor ( disgusting ) . make wonder higiene place . clean room ? ? ? ? location hotel unsafe dirty area . make partner feel uncomfortable . would recommend place anyone . TERRIBLE ATMOSPHERE HOTEL . 
 Jul 31 2008 	 great hotel 	 stay three night end three week USA trip . two family 5 young kid we frankly everything , include location , fine . staff excellent room clean functional . location , first arrive notice people street , walk two block be amongst upmarket shopping area city . walk street many time kid not get hassle once . you walk Union Square cable car 10 minute . not listen people get frightened see couple homeless - great hotel great location budget stay San Francisco . 
 Jul 29 2008 	 hotel fine dodgy location 	 stay nearly week . room quite old clean . loacation quite scary lot homeless people dodgy man offer we drug way home . porno cinema opposite provide nice view room . San Fransisco amazing hotel way spoil . would recommend base area , feel safe night . boyfriend also nearly fall window oppene wide since quite high proved bit dangerous . tourist info centre near HMV good advice not car . 
 Jul 22 2008 	 Faint Hearted 	 spend two week Renoir , would advise anyone child stay there . whilst agree staff good helpful make area , state actual hotel . the hotel need update makeover , carpet stink . room keep clean bed change whenever request get fresh towel daily basis . but bad thing far area , make sure back hotel dark do not leave till light next day . Market Street full homeless people menace , become nuisance ask cash . if use city life hotel .... 
 Jul 19 2008 	 bad hotel 	 first sorry english good . wife go trip west USA Canada 37 day . wonderful trip accommodate 27 hotel motel , three book advance travel agent . Renoir hotel pay 3 night $ 450 . sorry state Renoir hotel bad hotel at . as many traveler mention many homeless people near hotel . pleasant bearable . the real bad thing room . little dense room 2 single narrow bed hard mattress . one ramshackle chair room , dangerous sit . room without air conditioner without possibility open window . tiny , old bathroom disgusting enter . lack toilet paper one towel we . ask possibility connection Internet tell two position lobby payment . agree pay effort reception staff connect succeed . concern parking , acceptable pay $ 30 one day agree pay . since room terrible although already pay $ 450 ( plus tax ) , choice search another hotel , indeed soon find excellent hotel far away Renoir hotel calm pleasant environment . return hotel Renoir request charge we half hour car park parking lot . reception clerk try credit we since not know , phone manager hotel explain . promise debit half hour ( time parking day ) .When arrive back country surprised find visa account debit despite promise . to conclude , recommendation stay hotel . 
 Jul 10 2008 	 Nice hotel shame locale 	 stay week . hotel perfectly serviceable convenient public transport . room clean everything work . bath bit slippy find first night try take shower & amp ; fall staff helpful request rubber bath mat ( despite slight communication problem ) . staff general extremely helpful friendly cafe downstairs great food . not remember kind noise problem . downside location . area around bit grubby full homeless people / beggar etc . lone female traveller not feel safe stepping hotel immediate surrounding . in , great value money great be budget like . especially couple be group . probably good woman though . 
 Jun 4 2008 	 do not go 	 renoir hotel san francisco wife stop two night 24 & amp ; 25th may 2008staff goodthe hotel avery run conditionthe area round hotel scary homeless sleep rough sidewalk group people hang around . even taxi driver tell we go night 
 May 14 2008 	 favorite hotel City 	 Renoir far favorite hotel San Francisco . atmosphere classic chic , staff wonderful , service far good location , though sometimes interesting , perfect . last stay cherry top . motorcycle battery dead . staff secure taxi get battery charger , phone auto part store ensure would stay around extra minute arrive , make sure return safely find place bike charge disturb . one desk clerk even run across street get hot chocolate wait bike charge ! reason not choose excellent , desk clerk forgot whip cream .... joke , entire staff Renoir deserve massive kudo ! aside , room always spotless old school shower rock ! ! hate hotels water save shower head , will take old school massaging shower anyday ! ! 
 May 6 2008 	 not book hotel unless choice . 	 Hotel Renoir , build 1909 ( almost 100 yrs old ) , unique - look , triangular hotel 7 floor straddle Market McAllister street . market busy street room side noisy . mcallister side entry hotel handful homeless / shady people constantly loiter close street always smell like urine . when check , hotel staff friendly helpful . try hard accommodate guest . nice thing say people work . hotel , hand , far reproach . lobby area look decent , room hallway old sorta dirty . really need change carpet . let us start problem room , order worst least annoyance:1 ) LOUD CONSTANT knock sound radiator . sound like be sleep construction zone someone bang metal pipe hammer . call front desk report problem twice tell 's nothing could radiator noise 2nd floor . however , able move 7th floor noise level extant , much bearable . hotel turn heat 8 pm turn 7am . 100 year old heating system need upgrade 21st century machines.2 ) non - working wireless internet . although read online hotel wireless , . able connect hotel wireless could get internet . several call front desk produce result give 866 ( suppose toll - free free charge , see complaint # 3 ) number reach internet provider directly . sit phone support desk staff 20 minute walk every step troubleshoot problem . determined problem lie router hotel , user , internet available indefinite amount time . basically , hotel free internet access guests.3 ) phone charge . receive 1 - 866 - xxx - xxxx number contact front desk , specifically ask whether charge make call . answer . check hotel , charge $ 1 connection fee make call use phone . argue little decide give buck instead waste time . completely unfair charge consider double - deceive still unable resolve internet problem . charge contact vendor rectify issue Renoir Hotel responsible.4 ) baby towel . hotel 's bath towel rough size small wash cloth half width regular towel.5 ) hard , lumpy bed . yes , bed seem clean hard lumpy.6 ) 13 & quot ; color tv cable dead remote7 ) air conditioning , fan . not think A / C really necessary SF could open window get cool air . would want urine smell McAllister street get room ? overall , think issue lie hotel owner management issue , staff . stay hotel recommend other book stay unless limited choice ( Priceline , cost , whatever ) . 
 Apr 25 2008 	 UM ........ 	 start ... arrive 1 pm 3 pm day check out . the toilet work , lift service , run water room , bullet hole window & quot ; service & quot ; club across road look at . I use toilet go McDonalds next door hope would cleaner not . get key manager husband wait outside door drug - craze woman try get in . we 11 year old boy girl feel not safe . would definatly recomend ... anyone . a scary experience ......... 
 Mar 7 2008 	 Ritz fine ! 	 stay Renoir hotel one week 22/02 honest area be not great hotel fine . locate Market Street shop include Abercrombie & amp ; Fitch , Bloomingdales therefore area be not bad fellow traveller make - anything , find area friendly people keep . Homelessness everywhere long respect other do not bother you . finally would certainly stay staff great . 
 Mar 4 2008 	 Dirty Smelly Scary Hotel ! ! 	 dirty smelly Hotel Scary , dirty , smelly , area . book whole week , check one night go hotel Union Square , ' m sure day fine hotel , '' recomend bad enemy . brazillian resturant also close , add feel decay . avoid ! ! ! ! 
 Feb 29 2008 	 bad area Bad hotel 	 SCARY word come mind think stay San Francisco . first room get bed break also toilet big crack bowl . second room not much well couple floor high could not hear smell people live street badly . hotel situate describe rubbish dump . never see many people live street reason seem live outside renoir . not get wrong San Francisco beautiful city lot see not stay renoir . 
 Feb 22 2008 	 Enjoy Renoir make SF fun 	 wonderful visit SF , thank Renoir . it start bit rocky due bad weather , flight delay room ready arrive , day 2 leave 3 day later , could delight staff room . yes , make reservation mess end beautiful corner room overlook gorgeous architecture . johnny - on - the spot whenever need question . the area night bit scary folk familiar big city . every large urban city street people panhandler , colorful character make travel interesting . & quot ; Lighten & quot ; experience trip , find life life home , 's travel , right ? eat wonderful restaurant far hotel close Civic / Fine Arts Centers - food outstanding , service impeccable , try least meal . think serve breakfast everyday Monday , lunch dinner available 6 day week too . all fun place stay , close public transportation ( right outside door Market Street Side ) walk distance interesting site . not afraid stay matter reviewer say negatively . ( especially druggie needle ) . 
 Feb 10 2008 	 Hotel Ok Area TERRIBLE 	 Hotel ok , clean , spacious staff friendly enough location pit . tell travel agent prefer spend less hotel sleep travel , see , however area hotel leave heap desire . would definately spend bit next trip San Fran , go back time love place , stay well part town without pimp , druggie , homeless , beggar pro right doorstep . sure hear gunshot one night . if husband not think would left hotel walk 3 4 block past & quot ; people & quot ; get anywhere . WOMEN BEWARE . 
 Jan 14 2008 	 GREAT HOTEL - not believe hype 	 husband book Renoir Hotel along flight San Francisco travel website , amazed deal get . not think look review afterwards , , i. WORRIED ! ! ! real reason . get , staff incredibly helpful pointed tour restaurant we try . lobby clean nothing smell bad . lot & quot ; less fortunate & quot ; people outside , across street . People seem come go time , one stay long . rate , neither husband never approach anyone . old hotel , elevator little slow , smooth ride , elevator smell nice . ( not always get old hotel . ) room nice . two double bed . good television good reception . sheet clean ( , nice - smell ) even check mattress , clean . especially check edge , one would see mark bed bug , none . bathroom nice clean . huge , plenty room . towel little rough , be way mom 's house fine . mcallister street side , little noise ( mostly siren - think fire station couple block - random yelling ) not trouble go sleep , neither husband . use valet service rental car , mostly read , try find parking elsewhere , glad . like city , be hard find street parking , garage charge whatever want . car always deliver right away whenever call , , staff could nicer . ever chance go San Francisco , will definitely stay , along kid , would recommend anyone know . be GREAT ! 
 Oct 17 2007 	 decent stay 	 stay Renoir end September 4 day weekend . I bite apprehensive staying see bad review , little choice availability weekend , go . glad do . the area town rough side , friendly staff proximity muni station make . day safe walk around night , take taxi train get around . check breeze staff give helpful answer question always available . room clean functional . bathroom adequate hot water morning showering . I ' m sure would not everyone 's cup tea stay , would . 
 Oct 5 2007 	 exactly need 	 reading review post , think necessary voice opinion ... first experience San Francisco memorable - maybe good reason ... come underground station near Renoir Hotel encounter load homeless people mill around . confront say least ! obvious lobby staff flustered see outside since immediately tell we ' safe ' even greet we . the room check not great , change unlike review , change Market St. side hotel ( consider change hotel entirely ) .proximity tram / cable car BART BIG pluse Renoir . hotel 's big asset staff , especially Martin ( security guard ) . staff willing assist extremely courteous ! ! apart minor sleep interruption ( second floor ) - thoroughly enjoy location , room ambiance ! ! ! experience San Fran hope - experience real life , culture well bad 21st century ... destination trip include LA San Diego much lovely - sanitise - San Francisco ( indeed Renoir ) leave big impression - right reason ! thank ! ! 
 Aug 12 2007 	 love 	 area good hotel staff nice accommodate tour hotel need . 
 Jul 19 2007 	 Takes Cake ! ! 	 friend travel alot always try find bad hotel town stay see freaky . ' ve stay alot dump see - bum , drug dealer , pimp hooker hang around , poop floor , blood stain wall , ever - present urine smell un - identifiable stain ... know deal . always love something never would expect actually happen . well , hotel , happen , . horribly grungy room , laugh hotel one bad , get knock door . sleazy drug girl , needle hang arm , look boyfriend . say , proceeded try sell we heroin . say . offer us & quot ; service & quot ; could get money buy . say . run hall scream , threaten we Dwan go to find we kill we . well , Dwan never show . agree .... Renoir definitely rank one top 5 bad hotel world . place meek . place romance . people fringe .... see shadow . good Luck ! 
 Jul 5 2007 	 Nasty Place 	 nasty place , suitable hourly rental daily one . Save -- -- wish read review first , maybe late . nestle homeless shelter crack dealer , quiet oasis neither quiet oasis . pay $ 60 per night travel auction site way much . call cop twice ( front desk guy afraid go outside afraid call cop ) homeless guy outside street boombox crank 2 . apparently shelter , directly across hotel full night . carpet delightful vintage 1960 's carpet , unfortunately look like last time clean . afraid step fear shoe , sock bare foot stick . please note least honest one thing . tell must pay valet parking car likely get break , even nearby parking garage , neighborhood bad . bad hotel ever stay . hope review help make mistake . hand , concerned safety , value , cleanliness good night 's sleep , hotel . 
 Jun 18 2007 	 afraid ... afraid ! 	 stay & quot ; hotel & quot ; October 05 , follow recommendation travel agent ? ? ? agree traveller regard position hotel . really red light district ... homeless people street side hotel . night scream yell street . door lock cage night . speak french couple book stay night , say re - book another hotel straight away , & quot ; afraid & quot ; . arrived greet porter hole knee trouser look like Manwell Faulty Towers . stay definately humerous side , travel sister husband . definatley would never stay couple bad single ..... afraid - take advice book ymca instead ! ! ! ! 
 may 29 2007 	 good place stay ..... 	 Booked Renoir on - line short stay ( work near SF , wife son join ... ) . ... room spacious clean , staff helpful ... take aback somewhat couple check arrival ( ! ) , rather panic british lady desparately try find anywhere else stay ( include Oakland - SF full congress sort ) . take short stroll towards cable car 5 min walk away .... another world . street litter druggie , vagrant , prostitute & quot ; random & quot ; folk , shout , scream , fall , etc etc . sort interesting ... daytime un - nerving initially , really frightening .... would not want see night .... somewhere stay family want enjoy city . tell family get car .... luckily find reservation Fishermans Wharf ... problem check arrive even get refund booking ... money well spend . if want somewhere reasonably price & quot ; lively & quot ; may place .... give lens city rather different might expect ........ be probably want .... play safe . find somewhere else . 
 May 21 2007 	 Terrific Value ! 	 Renoir glamorous hotel stay excellant value money . staff friendly knowledgable . everything work room love colorful location . Market Street could jump street car outside door walk one block underground . thank ! 
 May 3 2007 	 Hotel OK- Area Rough 	 hotel fine budget accommodation.- clean , good service . the area desirable . many homeless people street . noisy . feel safe walk , sleep sidewalk . good inroduction city , however . stay - walk street night - get cab ! would advise pay extra well area . 
 Apr 30 2007 	 female traveler recommend 	 girlfriend stay march break . forewarn San Fran 's homeless population , however , seem convene hotel 's area . be female traveler , would seriously recommend book . gf extremely uncomfortable , though understand beforehand would homeless type around ( thought would like toronto ) , unprepared experience . always gather homeless man outside hotel 's entrance & quot ; coffee shop & quot ; would harass we come go hotel . oddly , sometimes would come stand close , say anything , stand near , ' m sure size we , find we interesting gay couple . ' m sure would fine guy stay , however , read review , see threat . hotel staff EXTREMELY helpful nice . hotel conveniently locate near transportation , would perfect , mention problem . 
 Mar 26 2007 	 stay 3rd time must something right 	 go San Francisco January little post - christmas shopping relaxation . 5th trip San Francisco 3rd time stay Renoir . hotel centrally locate BART\MUNI station right door . while hotel certainly 5 star , be bad . room clean ( excellent housekeeping staff ) comfortable . digital safe tv cable every room , pretty good . admit location good asthetic point view , however , Union Square around 5 minute walk hotel people around hotel unlikey attack even talk you . I probably stay next time ' m San Francisco 
 Mar 22 2007 	 cheap clean cheerful near city center bad area 	 friend stay first half March book primarily base price ( 50 dollar per double room per night ) 's close proximity downtown . agree everyone else - area awful . be nice old hotel heyday probably quite nice , do good job keep clean etc . surround go downhill big time . street couple adult theater lot homeless people hang around outside , friend never feel unsafe walk within 3 minute hit & quot ; nicer & quot ; part town poor surround renoir distant memory ! .the room clean , basic well keep . big problem air conditioning ( assume hotel California air con give ! ) reception give we fan help . corridor smell bit musty inside room comfy hard day 's sightseeing . think photo hotel website tad misleading , location view can not imagine room even see landmark portray website . cheap cheerful . student want somewhere clean , comfy relatively central . find Renoir . look plush hotel scenic view probably . somewhere cosy lie head ? Pick Renoir . as side note , promote gay & amp ; lesbian hotel ( not bother we slight ! ) conservative way might want look elsewhere . 
 Mar 17 2007 	 not stay ! bad introduction beautiful city 	 first inkling would bad place stay taxi driver dropping warn careful . word : ' it be okay hotel , really bad area . lot bad people . watch . ' right . be opposite adult cinema , adjacent strip club Market Street entrance flank homeless people . lot unfortunate circumstance quite helpful charming . also plague catcall threaten look , well one incident stepping tram front may end badly not manage squeeze hotel time . spend bit time lobby use wireless watch two set traveller walk straight disgust surround . also witness ugly fight staffer french woman turn ugly throw belonging ( include camera ) tile floor . fall assleep soundtrack siren , screams shout . loud ghetto blaster also feature one evening . room clean neat perfectly good , atmosphere awful . another cab driver warn place similar term . tell unfortunately book travel agent part deal shake head angrily say ' yeah , know . not ! ' be last word . agent ( pretty pissed ) Best Flights , Australia . buyer beware ! 
 Mar 4 2007 	 lot old world charm 	 hotel lot old world charm . lobby like miniature version Fairmont , hotel use television series & quot ; hotel & quot ; .The room basic clean staff friendly . brazilian restaurant meat lover 's love f , meat eat one evening . the hotel central museum , opera house symphony hall public transportation either front hotel close . cable car Fishermans Wharf three block away . all - in - all 's real value money . could afford St Francis Palace , would stay classic SF hotel , Renoir similar type charm 1/4 price . would rather stay Renoir spend money opera , five minute walk hotel . 
 Feb 10 2007 	 bad ... 	 book travel agent advise we two - star hotel downtown core San Francisco . the hotel clean . staff friendly helpful . it old sometimes noisy , comfortable . yes , homeless people outside . city not ? strip bar outside . oh well , welcome real world . door one side hotel open less ' colorful ' nightlife . remember ... 's 2 - star hotel ! location public transportation could not well ! front desk staff great give direction assistance figure go see . overall son ( 16 ) awesome time San Francisco , Renoir hotel would stay . 
 Jan 21 2007 	 noisy good area 	 hotel noisy , hear everything be go street room . since 's safe street around hotel , scream yell time . staff hotel helpfull friendly . room clean nothing wrong . rate hotel 2 dot really frightend walk back hotel late night noise . 
 Jan 8 2007 	 Noisiest Hotel planet 	 definitely family hotel . book travel agent since speak regard matter . staff helpful hotel need overhaul big time . we daughter age 8 10 us duty manager instruct we hold hand time , make eye contact anyone acknowledge anyone needless say girl say lot Market street . two block hotel fine . the room extremely noisy , bed make plastic , smell . ' charming resident street ' surround hotel scream , fight , smash bottle generally create atmosphere fright intimidation . not one family faint hearte 
 Jan 6 2007 	 location ! location ! location ! 	 boutique hotel historic landmark building , Renoir Hotel good place stay San Franciscos GLBT Parade hold third weekend June . ' ve stay several time parade . hotel sponsor event room direct view onto Market Street parade . thus option party street reveler relax experience view parade window Market Street view . advisable request Market Street room pay advance gurantee . get suite corner ( 2nd 3rd floor ... can not remember ) 3 view city balcony show fabulousness ! good reserve room well advance ! yes 's Tenderloin , year ' ve stay Renoir ' ve never problem . be far Castro literally right across street increasingly trendy SoMa area far amazing San Francisco Museum Modern Art . 's BART station right outside get anywhere city easy convenient , staff friendly , attentive knowledgable . many multi - lingual . room comfortable bright . hotel cafe , locate lobby , good breakfast lunch kick back espresso . location amenity , can not beat price ! good bet budget conscious . bottom line : good view price tag will not break bank seek , two word : Hotel Renoir . 
