location 	 agree early post , decor look slightly tired , could possibly facelift , location superb , view central park spectacular , subway 2 minute away , 5th 6th avenue.time square 15 minute walk rockefeller centre empire state building .A great alternative afford Plaza , Ritz Trump , overall good value money . 
 Oct 21 2009 	 fantastic location beautiful hotel ! 	 good location NYC ! ! right across road Central Park , short walk away Times Square , hop skip away convenient subway stop ! Stayed Helmsley Park Lane first trip New York June 08 - sensational hotel beautiful lobby friendly check . double room large beautifully decorate , palatial elegant . room bathroom spotless bed extremely comfortable ! not go NYC without good map guidebook ! stay least week make sure see play broadway . really enjoy time - would definitely visit ! 
 Oct 17 2009 	 perfect close . 	 travel New york many many year pleasure business stay variety hotel throughout city iclude Plaza , Ritz Carlton , Wladorf Toers , etc . year ago wife happen get good deal stay Park Lane . stay else since . first hotel manageable size . not feel like be Grand Central Station . second , location unbeatable . short walk east west side great walk park . third , several good resteraunt wihin short walking distance level dine . fourth service personable respond special request get expedite room service need . finally , staff guest centric . greet enter exit hotel call last name . last fall surgery Sloan Kettering choose stay city Park Lane post op recovery . Park Lane everything make stay comfortable possible . to find stay unpleasant suggestiuons1 . get unclean room either housekepe come immediately ask room change . ask manager . accomodate.2 . room close street noise problamatec , ask high room Park Lane 40 story tall . city view room appeal Park view room view , much quiter 58th street much less busy 59th . finally , uncertain ASK see ROOM CHECKING ! tell , much like hotel . would recommend everyone . 
 Oct 16 2009 	 Filthiest hotel - need renovate 	 hotel undoubtedly dirty hotel ever stay anywhere world need major facelift - cleanliness matter stay . move first room break curtain , crack bath thick film dirt mini bar ( & amp ; 's , water etc desk ) beyond disgusting . second room well , size . not think room dust vacuumed month . bare minimum do make room bathroom . the thing hotel go location . 
 Oct 13 2009 	 extremely date 	 dirty , date , dreary avoid like plague . how hell Virgin rate 4.5 v hotel beyond , clearly not stay 
 Oct 9 2009 	 unacceptable 	 room look like last decorate twenty year ago . far well cheap place stay city . would never recommend hotel . 
 oct 8 2009 	 good location pleasant hotel 	 second time stay Park Lane , specially location . next door subway station . across street Central Park . next corner 5th ave . block away Metropolitan Opera , Times Square , Broadway theater . view room one well ever see ( good window open ) . hotel , clean , towel big enough , slipper bathrobe soft , bed comfortable tv work fine . furniture stylish look old - room stylish . air conditioner work - concern hope fix . complete stay , concierge Anthony help we reservation . get good table wonderful restaurant day next day . say restaurant worth dinner , trust . make reservation , matter difficulty . breakfast good - food appealing , small buffet , ambient view great staff incredible friendly . 
 Sep 30 2009 	 Comfortable Hotel excellent location sight 	 difficulty refuse $ 15 day internet charge . decline $ 50 day upgrade park view uninspire view back building , day . room large expect ornate . large bath good shower nice bathrobe - not use bath towel stay . air conditioning little noisy . ice machine enquire , send bucket ice without charge . concierge helpful . location opposite Central Park yard Subway Station . 
 Sep 26 2009 	 good location reasonable price 	 Perfect location first timer NYC . go many place foot . price good location , cuz 's hot spot . compare next next door neighbor , Ritz high price , price reasonable 's comfortable one . Hotel 's decoration age 's good hotel anyway . see location , forget rest . park view room . 
 Sep 15 2009 	 dump . 	 dear Mr. Zahran , zackzahran @ helmslehotels.commy husband disappoint guest Park Lane hotel night Thursday August 20th . stay room 3612 . ' ve attach photo take condition room . plaster / paint ceiling around window crack peel . condition furniture horrible . arrive ring around toilet . remained leave . convenient outlet plug one computer , pen room . none phone 's button contact specific department hotel work . television screen permanent damage . plus side , turn - down service good staff pleasant ( although wait quite retrieve check luggage , lobby employee seem rather disorganized ) . surprised experience since review hotel choice tripadvisor.com prior upon completion stay . intend leave review post receive reply . stay expensive room trip arrange around corporate meeting hold hotel . however , room reputable hotel meet certain standard one . await reply , reply recieve . top , sound proof glass window . Sirens horn night . ' ve stay several NYC hotel never negative experience . 
 Aug 28 2009 	 need facelift 	 stay hotel early 2009 close family friend . old lady mind Hemsley 's Park Lane still good hotel . exactly would describe hotel - old glory . pro : & quot ; LOCATION & quot ; - can not stress enough . hotel locate step Columbus circle , 5th Ave . , Central Park . alone compensate negative impression . service : staff kind , professional efficient . especially enjoy breakfast restaurant , everyone friendly . food great , . yes , & quot ; hippest & quot ; restaurant find nearby , restaurant , old - world style glamorous decor overlook central park classical music play quite experience . con : date facility decor - old - style decor must apply long time ago show age . antique antique , bathroom drawer sealant surround bath tub replace . dark color silk bedspread crisp probably due age ( not want think due cleanliness ) . carpet also show age , would tell trodden . however , hot much complaint , well - keep clean : overall , stay pleasant . maybe continental style decor , therefore able appreciate hotel . give taste , hotel still need update order keep past glory . ( one ever ? ) 
 Aug 23 2009 	 Dream stay 	 ' ve Helmsley Park Lane one year ago , august 2008 , girlfriend . I mean write review right away memorie much fresh time slip away already year go . I italian , ' ve travel around Europe first time States . ' ve choose hotel partially base tripadvisor review not spectacular worried little . all concern vanish first set foot hotel 's lobby . , elevator bring we 12th floor , room door open nothing less revelation . the room big could play tennis . king size bed extremely confortable good part view giant window , will back subject sec . the hotel 59th street , 5th 6th avenue . mean be close center , center . room park side view window stunning . could spend 10 day watch park window would not waste . I imagine amazing view room high floor . the room elegant old style ( part big LCD tv screen ) like , little problem understand turn lamp , take minute . service excellent , could mention many thing subject . anyway not breakfast hotel , prefer eat around place , lot choice ( love cheesecake ! ) . first morning go Sarabeth , meter hotel . nice one , bit expensive . say position good city . course place big big big , will need use subway stop close hotel within minute walking distance . one warning not hotel : not trust photography store claim give amazing stuff sensational discount ( like 60 % 70 % .... & quot ; today ! & quot ; come back day sign still course ) , quite around place be absolute cheater . look serious dealer , example B & amp ; h 9th avenue ( 34th 35th street ) find absolutely amazing . so , dream stay stunning place world , can not wait come back already know will back Helmsley Park Lane Hotel , think well choice ! 
 Aug 21 2009 	 Top notch every way ! 	 several we recent first visit New York pick hotel purely basis location New York . stay eight day honestly say arrival departure , hotel jewel crown visit fabulous city New York . hotel delightfully old - fashioned charming kind way , immaculately clean every aspect . staff every department courteous , friendly , super efficient matter type request service . hotel restaurant serve we good steak New York ! wine list , also , well good . as view Central Park hotel bedroom ....... see believe . we definitely back . 
 Jul 21 2009 	 impressive ! 	 apprehensive hotel book part tour & amp ; usually like book ! arrive & amp ; impressed ! hotel 46 floor , 22nd . room not quite ready great ! big , classy & amp ; clean & amp ; comfortable . nice pair slipper welcome mat ! big comfy robe . nice toiletry bathroom . Shower & amp ; bath . comfy bed & amp ; pillow . flat screen tv wall . even umbrella use raining ! hotel right opposite Central Park , short walk Times Square / Broadway . next day 77 degree & amp ; sunshine ! unfortunately one night good night ! staff welcoming & amp ; helpful . Harry 's Bar ! beautiful restaurant overlook park panoramic window . quick shop & amp ; sightsee soon leave Helmsley Park Lane . return NY definitely back ! 
 Jul 20 2009 	 Value Money 	 go New York 3 day stay . room 39th floor view Central Park ( junior suite ) . large window 4 meter could see Central Park till end course skycraper . view marvelous . service fast , breakfast exactly time request . also concierge helpful . however something not like . day check call bail help . 5 large suitcase . bailman like 75 year old , helpful move luggage , course tip . bottom line would highly recommend hotel wonderful stay . ask defenately room Central Park view totally value money , go next door Plaza pay three four time room price . 
 Jul 14 2009 	 make daughter 's wedding perfect 	 daughter wedding boathouse extend family stay Park Lane . beautiful hotel , room well appoint clean . mishap check room ready . want stay floor family manager come rescue give deluxe suite first night magnificent view park . thank enough Park Lane . Mother Bride 
 Jun 17 2009 	 Rude unorganized unprofessional . 	 honestly timely respectful hotel staff manager day . bounce around place , speak demeaning manner reach expectation gather place . room look like renovate budget , bath tub drain water immediatelly , room service unsatisfactory air conditioning loud bothering . also on - demand movie , normal basic plan cable available home . might nice accomodation day back ' 70 say , anymore , truly dissapointed compare amount pay room , worth . 
 Jun 5 2009 	 favourite hotel ever 	 say beautiful hotel . great service . great location . prettiest view winter . not stay summer can not say anything summer view ! people lovely accommodate . could not say enough good thing place . also , hand good hot chocolate room service ever . would like fly back NYC stay another cup hot chocolate . highly recommend hotel . indication standard like , also stay Fairmont Chateau Lake Louise , Mosaic Hotel LA amazing place far good . clean , relaxing . 
 Jun 4 2009 	 great price location ! 	 location could not well -- first tourist trip New York -- normally go eat drink visit friend time take 11 year old nephew see every tourist attraction convenient safe location amidst much fine expensive hotels- connect rooms- one room great king bed new good mattress powerful shower although room bright pinkish ! -- 2 queen beds- old mattress loud A / C could hear noise street . staff courteous welcoming think fabulous deal location ! ! ! 
 May 28 2009 	 Old Fashioned Glamour Service 	 reading review trip nervous , wrong . helmsley old style glamour ! see people would descibe room date see authentic thought fantastic . pay extra park view well worth - panoramic view park north Manhattan 25th floor well huge room huge kingsize ( extremely comfortable ) bed . service absolutely brilliant staff incredibly helpful . be talk old fashioned service can not enough ... room clean brilliantly , bed turn night slipper ( complimentary ) lay . concierge service also good definitely worth use . look good restaurant nearby within minute call back table reservation detail . location could not ask well one right park within easy walk distance ( subway ride ) everything - include 5th Avenue , Natural History Museum , Guggenheim , Rockerfeller etc . would recommend hotel friend family would definitely stay . 
 may 27 2009 	 wonderful stay great location 	 book king size park view room . much large have expect although decor little & quot ; twee & quot ; english taste , everything room make thing comfortable - mini - fridge , lot wardrobe space , robe slipper etc . glad book park view room view amazing . large tv regular programme . not know movie tired sight - see day , asleep 9.30 ! staff friendly , overly - sweet false way hotel staff seem . Harry 's bar serve nice cocktail pricey . not try restaurant good deli back door hotel leave call green , turn leave leave front door deli along great waffle . yes , decor could little update , french chateau would call shabby chic ! would heartily recommend hotel anyone would rate infinitely superior Waldorf Astoria . because book expedia also get free international phone call use business centre / computer room . 
 Apr 26 2009 	 A+ Service ... Physical Plant 	 Short Sweet : rate people work ? a+++the staff absolutely kind engaging . check - in security room service maid service , phone operator . people work make evident care much enjoy stay . how rate physical plant ? & quot ; & quot ; hotel & quot ; tired & quot ; ... 1970 's mirror celing ... dirty decrepit room # 1903 , outstanding view Central Park close ' shocking ' peel wallpaper , dirty bathroom floor , filthy bedspread ( someone use underside polish shoe ) towel , obviously , use polish shoe possibly bedspread ? would recommend stay ? & quot ; & quot ; . spend lot stay Central Park feel cheated room condition . update hotel keep employee ? oh , yeah , would stay flash . 
 Apr 14 2009 	 Old 	 I´m travel agent unfortunately impression stay ( apartment 3416 March 25th 31th ) correspond standard use , concern high pattern service find hotel usually use . able get know superior cathegorie room hotel offer , cause give oportunity check out.1st - Mr Thomas ( concierge ) indeed extremely attentious nice us.2nd - front desk staff extremely rude unpolite . use kind treatment , mainly States.3rd - air conditioning room wasn´t work , even though call many time complain , nothing do . Engineer go room try fix say like , thermostat didn´t work properly.4th - two day housekeeper turn . 5th - room small furniture old NYC.I really badly impressed . five star hotel , guess service didn´t reach minimun expect . dont go ! look hotel central park area ! 
 Apr 6 2009 	 Excellent value 	 wife stay Helmsley Park Lane night March 17 & amp ; 18 , 2009 . pay $ 189 per night + $ 15 fee per night . real rate $ 204 per night , plus tax $ 30.43 per night . & quot ; city view & quot ; room 23rd floor . old hotel somewhat date furnishing , not bother we be bit date . room clean comfortable . common area fine , . staff courteous helpful need . location Central Park South great tourist visitor . would definitely go back room rate . 
 Mar 29 2009 	 date dirty 	 although may nice hotel one time , 's desperate need face lift . room ( two ) old dirty pealing wallpaper stain carpet . mold bathroom tub not drain . complain , staff indifferent tell we room welcome check another hotel would refunded deposit . thing hotel go location . will never stay would advise other stay somewhere else . 
 Mar 26 2009 	 Pleased Stay 	 New York first time last week sister 13 - year - old niece . thoroughly enjoy stay Helmsley . location absolutely beat price . central everything want , feel safe area . room clean well - maintain . park view room great hope . wake every morning sun come park glorious ! staff friendly , courteous , helpful . would absolutely stay ! 
 Mar 24 2009 	 Luxury 	 stay 6 night , summer 2008 . service top . beautiful interior . 
 Mar 18 2009 	 tired decrepit fabulous location 	 ' ve come back 4 day trip New York , last minute thing , husband away US work , manage get flight connect work . I book hotel quite last minute , maybe week ago 4 night , cost 775 dollar bog standard city view room . location hotel perfect we . everyone easy walk . also get continental breakfast include price , preferred find New York deli . the room spacious enough , tired . bathroom look like something another century . keep get electric shock everything room hotel . become really annoying ! ! ! ! ! hotel need complete overhaul . happy enough price short notice place want stay elsewhere , good 500 euro extra 4 day . however , find Queen bed far small 2 we uncomfy hell . like say , bathroom old need rip . beware , charge 15 dollar day internet , whether use . complain front desk waive fee . do not mind charge internet use , do not use ? ? ? ! ! ! ! ! ! ! ! ! would not go back hotel , be not modern enough comfortable enough either husband . travel frequently like little luxury , be , would recommend find another hotel . 
 Mar 14 2009 	 Location fabulous carpet lavender ... 	 , stay sort whim . get ready leave NYC family ( business trip husband , take sister 6 month old baby we ! ) get call need stay another night . pull next hotel driving , place , go make reservation . pay , would think price way control , guess pay view , spectacular . anyway , get room sister 18 think awesome . be like 1980 's upscale bedroom wall wall purple carpet , match decor throughout , hilarious . think well , good room top fancy , date . lots marble , gold , floral , etc . anyway , clean . one twin take first bed spill . anywhere else would quite catastrophe , roll onto plush purple carpet not get single bump bruise . funny . view control amazing . bed super comfortable , not mattress pad seem . put coverlet fit sheet ( know , , goodness could not sleep ) make much well . anyway , money teenage girl good place . would great girl night trip , etc . 
 Mar 12 2009 	 fantastic view tired room 	 book hotel www.ghotw.com feel site overrate , great view good food room bit tired . 
 Mar 2 2009 	 good 	 well , hotel good place , front Central Park room don´t view ( other window ) . service avarage , room enought sleep , stay second . room dark , couple lamp enought old look , sealle restaurant fall ( paint cover - didn´t ) food weak price . think overprice hotel . 
 Feb 22 2009 	 Central Location nice view 	 end hotel book full , great start staff Park Lane make we feel welcome . concierge take bag friendly helpful - admittedly try earn tip - least try earn rather expect ( even extent show we shower work ! ) .Room perfect stay - yes small , New York - want anything big ' ve get prepared pay ! view first morning Central Park phenomenal . big sell hotel definitely location - front door 1 min Central Park , 3 min 5th , 10 min max Times Square - foot . I guess ny price always take pleasure , maybe take account reading review . also mention 36th floor something like , sound insulation still good . one hotel ' ve NYC could not hear siren horn hour day night . 
 Feb 20 2009 	 wonderful Central Park Views ! 	 return Valentine 's weekend Park Lane breakfast package . would highly recommend Park View room , view beautiful night amazing quite romantic . recommend breakfast package additional cost continental breakfast beautiful room view Park , book online & quot ; special & quot ; . really appreciate hour breakfast begin 7AM take analyst class weekend well celebrate Valentine 's Day boyfriend . decide add breakfast second day additional cost , although expensive ! agree room hallways date , room spacious , clean additional cost upgrade suite elegant room . stay Plaza step away work room $ 850 night , truly appreciate location value . Sarabeth 's next door lovely brunch menu do past also recommend . 
 Feb 18 2009 	 Great Location / Excellent Service 	 stay one night little get away pleased . get outstanding deal include continental breakfast dining room parking able save $ $ driving instead take train ... room large ( NYC ) well appoint , bit outdated . service excellent include complimentary dry fruit tray lovely personalize welcome note . staff friendly helpful within walk distance great shopping & amp ; dining also close subway . definitely plan stay ... 
 Feb 10 2009 	 useful location 	 typical dusty luxurious hotel huge ballroom , eighty furniture simil marble bath rooms.anyway , everytime go NYC go confortable location central park south , face park . if go must reserve park wiev room worth quite price . 
 Feb 3 2009 	 location location location 	 husband stay helmsley 06/12/08 5 night say location perfect everything . stone throw tiffany , amongst designer . could choose well location . room clean . yeah need update long . linen clean , towel fresh . even robe , provide hotel . wear previously , clean . room good size 2 we , could alter heating , plus , always cold . staff helpful . bar soooo expensive $ 20 2 budweiser ! ! overall excellent stay would definitely go . excellent view central park . 
 Jan 28 2009 	 Location make downside .. 	 late update ' m catch - stay June Nov 2008 . want go Helmsley Palace second journey could not get . review pretty accurate . business trip take along partner short break June . come alone bizz Nov. another person say ... stay numerous Leading Hotels World hotel fall behind overall quality ... much service .... general old girl look feel bit ` ` tired '' .. room ... ordinary room ... job ... 's ... nothing wrong ( well decoration pretty old dire ) nothing shout hill top ! dining room 2nd floor one pleasant place breakfast sure . people say ` ` location '' guest one thing save hotel . visitor Big Apple good place start . partner love . stone throw 5th Ave ... central park right front .. office 3 block away ... everything within easy distance . personal break would go another hotel ..... able ` ` mod - con '' ... invariably go business ' m tie handful hotel .. Helmsley group get custom . 
 Jan 23 2009 	 Great Location 	 book hotel , decent place could find around $ 300 . choice price range near midtown dump . good reason stay location . pretty close Radio City Midtown area shop , etc . true room look bit old fashion hallway- wow - like sica - delic man ! . hotel room clean spacious job . people friendly . I would recommend look value location . not want stay dump , & quot ; standard & quot ; can not go comfortable . 
 Jan 19 2009 	 Nice Surprise 	 spend nice weekend Helmsley Park right holiday . originally book somewhere else , hotel booked send . apprehensive , do research hotel , arrive pleasantly surprised size room great view city . room plenty big four we ( 2 adult 2 kid ) . hotel staff polite helpful , guide we right direction subway destination . grow love location - across Central Park close couple really good coffee shop . would definitely stay . 
 Jan 3 2009 	 Great Location Central Park 	 hotel incredible location . room south face , can not imagine wonderful view face park must . issue room decor , feel somewhat like grandmother 's attic . lobby , though , nice . service also good . 
 Dec 17 2008 	 Brilliant Classic Charm 	 absolutely brilliant hotel spoil we deeply imagine ever stay NYC unless be . book recommendation parent stay 40th wedding anniversary . upon tell check desk parent stay week early , immediately & quot ; find & quot ; room early check . reserve King Junior Suite view $ 450 night , $ 500 tax whatnot . put we 36th floor , room 3600 , truly amazing weekend ' ve ever . view impeccable , unbeatable . hotel sit smack dab Ritz Park Plaza , south side Central Park , view window like something movie . lovely service moment check ( provide tip well , course ) , include turn service & quot ; Good Night & quot ; towel classy red carpet pair & quot ; PL & quot ; embroider slipper wait bedside ! definitely return ! 
 Dec 14 2008 	 Leading Hotels 	 hotel great location room face park one magnificent view city . hotel tired - look room especially bathroom need improvement . stay numerous Leading Hotels World Europe Asia elsewhere hotel fall behind overall quality include service . breakfast room 2nd floor good quiet ambience quality food fairly good inspiring . overall recommend hotel willing ignore run - down bathroom room welcome pamper detail look view central park easy access good shop town . 
 Oct 30 2008 	 great hotel 	 couple twenty stay Helmsley Park Lane 4 night June 2008 . hotel fantastic location , right Central Park walk distance Fifth Avenue Times Square . we book city - view room ask check - in put high room get view - put 45th floor side view Central Park city - amazing ! room lovely generously sized , although decor acquire taste quite old - fashioned , everywhere clean well keep . we eat restaurant , many great restaurant eat New York , couple drink bar nice . great little place next door breakfast lunch . would also recommend Rainbow Rooms top Rockafella Centre drink enjoy great view city . not eat - find service food appalling overprice . shame set brilliant . overall , think Helmsley excellent value would definitely recommend base explore New York . 
 Oct 2 2008 	 good value 	 stay brother watch US Open way back ' 03 ( move case be wonder local would need hotel city ) ... guy front desk nice ... go room completely gobsmacke fact have upgrade we park view ( oppose city view originally reserve ) w / out even tell we ... decor date , amazing view totally make ... 's good value spend ; would renovate could really great hotel location perfect ... 
 Sep 30 2008 	 worth 	 overall , impressed hotel . décor date , first find kind quirky , problem quickly sour opinion . pro : -Room size- book room two queen bed find large , comfortable room . bathroom also spacious - robe bathroom amenity nice plus - new flat - screen tv - Good locationcon : -Our bed cover awful red satin comforter , headboard also make material . headboard mysterious stain them.-one lamp ' working , fair , send someone replacement bulb room quickly - the bathtub drain , water ankle take shower - Noisy ! room face city park , wake honk 12:30am . realize one window open , try shut , realize break shut . repeatedly wake city noise entire night.-room sour smell- kind like old sock - big stain carpet outside bathroom 
 Sep 27 2008 	 use great - would not return 	 ' ve love hotel two previous stay , always book Expedia hotel 's website not offer discount . book park view room adore ( dahling ) Central Park view . not mind date frumpy decor remind little old lady - color rise , cream violet - tired wallpaper peel every room book . however ! recent stay last straw . book non - smoking room ; gave freshly smoke - in one . give headache within minute spend another half - hour wait lobby long cross - country flight pretend room magically find one . oh would set aside request reserve pre - pay room first place ? AC never work well , room always hot stuffy . like city . comfortable outside . the over - desk room mirror handprint never clean entire stay . the internet access not work ! charge anyways , complain never work . in - room book say charge 9.95 want $ 15 - night stay . info book also say safe ' in - iron ' safe . clearly mean ' in - room ' never bother proof - read . update . I say fridge great help ... even though live , oddly enough , bathroom . even sanitary ? enjoyed pick little chocolate pass front desk . Helmsley Park Lane great potential faltering ... stumble ... use great ... break hip .... 
 Sep 22 2008 	 okay ... Interior date ... service lacking .. good location though 	 stay Aug 23 - 27 , 2008 . book hotwire need save money . disappoint rate 4 * . service lacking . friendly environment . tell would get someone help bag . wait 10 minute , decide take myself . the room date opinion . ' m clean crisp conservative setting . tacky 70 's decor . yet plasma tv throw whole set off.the location great though . right across street central park one block subway . though really dislike horse smell seem linger day night due carriage . the good thing make show room key return late night . bed turn service . be aware extra charge final bill . take . actually , last day day service actually helpful . take charge argument . hold bag time afternoon flight could continue site see . doorman excellent day . the price good single would not stay . 
 Aug 28 2008 	 good location - sour service ! 	 book park view junior suite Helmsley Park Lane four day stay . check staff friendly slightly condescending , get bad throughout stay . say whole , level service form reception concierge average deliver way verge snooty . almost doorman would see we come run way . continue throughout entire length stay , could not help feel like would see we wonder . pleasant way greet way out . the room extremely spacious ( especially NYC ) breathtake view park , everything clean . room bit tired decor date money pay , size room value money . frown upon buy bottle wine outside , charge usage corkscrew room , - twice ! charge $ 12 day wifi , think bit steep , come expect that . the good thing say hotel service housekeeping keep everything spotless , provide chocolate turndown service replenish towel twice daily . staff get tip end stay . I would recommend hotel visitor NYC value space everything else . think space location fair trade shortfall service date decor . 
 Aug 27 2008 	 Disappointed 	 book 7 night hotel Expedis.com . read term condition itinerary clearly state money pay cover taxis fee . think cover hotel expense . check , person reception , ask sign $ 15,00 / day internet charge ' agreement , state compulsory fee room per day use phone internet . would fine informed time booking . end , leave choice , pay expense require . would strongly advise cautious hotel , extra money go Mrs Helmsley 's dog inherit money ! reconsider next visit hotel . Hotel 's room price condition . first trip New York , disappointing . 
 Aug 25 2008 	 Great Location ! 	 husband stay three night Helmsley Park Lane early August great experience last morning . 40th floor overlook Central Park room neat clean . housekeeper encounter friendly . issue $ 15 fee phone / internet use . book hotel Expedia think pre - pay hotel expense , awake departure day invoice . able escape charge fee ( without lot persistence part ) front desk staff member willing help we situation arugue case , another couple come desk reason . issue need resolve even though room nice , enough make look elsewhere return NYC . many hotel choose deal sneaky fee . 
 Aug 18 2008 	 great location value money 	 stay 4 night think room absolutely fine . clean , staff really helpful problem . downside , people already mention automatic charge $ 15 per day telephone call , even do not make . tell we check , instead ask remove make good use - save we fortune mobile / international call home UK ! city room 41st floor - view mostly building amazing night ! location superb , subway door , short walk Columbus Circle choice train . could not really fault hotel would recommend . 
 Aug 12 2008 	 Fantastic Location 	 fantastic Hotel , GREAT Location , think good value money , Care , treat mini- bar , first go room , three room one warn remove item 20 second bill room . the downfall hotel charge room rate 15 dollar day service , even use it . it mount long stay , advise charge booking , complain charge refund . 
