quiet 	 celebrate wedding anniversary trip NYC enjoy quiet Ritz Carlton . room 6th Avenue , able see Central Park . room spacious , spotless serene . service impeccable . hotel highly recommend ! 
 May 1 2009 	 one top hotel ' ve stay - ever ! 	 not often write review , feel need share experience RC Central Park . word , hotel amazing . ' ve stay Four Seasons , St. Regis , Peninsula NYC one top . starter , rooms- without question beautifully do hotel room ' ve stay anywhere . believe ' ve recently renovate . upgrade Park View Suite addition excellent view , exceptionally clean little extra set apart hotel ( thing like ring holder , telescope , even collar stay man 's dress shirts- first time ' ve see hotel ) . also replace tv 's new hd tv 's , bit peeve mine hotel get nice new hdtv 's yet not receive channel hd- go figure ? ! not use concierge much business , one time , thing excellent answer quickly professionally . eat hotel 's restaurant- blt quite good . have one minor problem room 's air conditioning quickly address call front desk ( take 2 trip actually , oh well , minor hiccup ) .overall great hotel great room fantastic location . highly recommend definitely hotel choice next time head NYC . 
 Apr 23 2009 	 Superb 	 two room behind one lockable door brilliant kid . two bathroom , ton room could leave bedroom door open night . concierge good ' ve come across . nothing problem , great getting table , give advice etc . Breakfast delicious pricey , hey - 's Ritz . Front door attentive , go way get taxis etc . 
 Apr 12 2009 	 good hotel New York ! 	 stay Ritz - Carlton CP 8 day , purpose relax busy end year . could choose well place , intend go back soon possible . the room large , beautifully do , important , bathroom wonderful . another point important| : cleanliness . the hotel rare quality elegant discreet time . staff friendly anything make feel comfortable , without ever pushy . and last least : good bed ever ! 
 Mar 28 2009 	 Best Hotel NYC 	 regular Ritz Carlton Central Park seeing love New York ! without doubt , one expensive hotel New York along Plaza , St. Regis Pierre . excellant location across Central Park situated corner 6th Avenue 59th Street , hotel would sound noisy ! room 6th Ave view Park well . room exactly view Park certainly much nice ! also occasion ( particular ) club access , nice afford certainly neccesity . LaPrairie Spa great pricey worth ! treatment great like Reflexology 60 minute skin Caviar Massage . would strongly recommend ! BLT Market new dining room late creation Laurent Tourarndel . ok breakfast lunch go dinner would rush return . good restaurant New York usually hotel . however , Star Lounge fantastic Afternoon Tea . one good city opinion , along St Regis ' Astor Court . concierge hotel superb recommend restaurant Broadway show . like see 2 - 3 show per visit . particular time see Billy Elliot , Radio City Rockette Christmas Spectacular South Pacifc . wonderful ! ! nothing else shop day , Madison Ave ( Paul Shark , Ralph Lauren Barneys ) well Fifth ( Bergdorf Goodman , Saks , Louis Vuitton , Gucci , etc .... ) night , eat show . recommend good restaurant city Le Bernardin , Jean Georges ( Trump International Hotel Tower ) , La Grenouille , Adour Alain Ducasse ( St Regis ) , Gordon Ramsay ( London Hotel ) , River Cafe , Bouley , 21 club , Gramercy Tavern , La Goulue ! ! ! many amazing restaurant dinner fun one lunch like Fred 's Barneys BG Bergdorf Goodman . go two - three time year keep stay ! ! 
 Feb 28 2009 	 finally find Best Hotel New York ! 	 month research , family finally decide stay Ritz Carlton Central Park . stay Battery Park location past find nice , remove shopping ( take subway easily not want ) staff fine , really great . also stay various hotel four five star category , usually find price / quality ratio pretty disappointing . it landmark birthday , thought would try stay RC CP . glad . not know 's recession kicking , always do way , feel welcome ( really , sincerely welcome ) second get car second get back go airport . pay fair room rate probably one good location hotel entire world , access Club Lounge , city Ritz Carlton hotel not mean much , real treat - less gorgeous view Central Park outside window . the room pretty spacious , good , bathroom . actually start forum call Best bathroom NYC ? , happy say find . also , Frederic Fekkai bath product much appreciate , not smell feel like mass produce soap stuff & quot ; brand name & quot ; bottle . the good thing really service though , would say . really feel request need help , help problem long wait . entire staff Ritz Carlton Central Park deserve big hug raise people really know job . oh - room service actually arrive time quote . order RS 12 time , happen way every time . less 30 minute . not even get four season - stay FS hotel regularly . I love hotel , can not wait go back see standard regular . 
 Feb 23 2009 	 Fantastic Hotel ! 	 return 5 day Ritz wonderful . really differentiate hotel impeccable service - really enough make stay special . although wonderful location , beautiful room , excellent food , knowledgeable concierge , fantastic buzz - good thing hotel sum three word - NORMAN BARTENDER . 's 29 year Ritz lovely man - overhear wish husband happy birthday sudden glass champagne front us beautiful strawberry , later chocolate cake candle . fly home ask husband favourite moment , say first evening bar Norman jovial attendance , wish happy birthday . great hotel - go , see wonderful Norman . 
 Jan 28 2009 	 Loved Hotel . 	 first , say enough hotel . top bottom , service great , know take care guest . clean , room impeccable , food great . spa excellent . love club room club level . back hotel . 
 Jan 8 2009 	 issue 	 stay anniversary family 4 December 2008 . visit NYC 3 time trip always stay Ritz carlton hotel . tend visit Westchester R.C Battery Park R.C , therefore first time Central Park . firstly , location , feel , absolutely perfect good place city . hotel lobby gorgeous traditionally furnish , exactly expect hotel , especially around festive season . our room ready wait request suite grant , although wait couple hour prepare . also pay club level extra o.k retreat relax not seem atmosphere high level service experience expect Ritz Carltons . quite difficult explain exactly , negative issue , travel widely remain avid guest chain , sure understand point try raise hopefully successfully address . find one waiter particular ignorant rude actually reply we grunt noise , thank glass wine . member staff o.k feel none actually friendly welcoming . therefore lead unusual atmosphere , not experience , ( club lounge never ever Ritz Carlton club lounge ! ! ) personal opinion staff reception concierge employee lobby much approachable experienced guest actual club concierge staff club lounge . they also chat show interest 2 child , feel nice make feel quite welcome relaxed . particular take like abraham concierge approachable friendly toward they . we manage meet speak manager central park disappointment stay . assure we would personally make ammendment improve club lounge entirely hope would return soon . we honest whether would return guest explain standard certain area hotel raise retain high level client Ritz Carlton accustom . unfortunately , also prior checkout order transfer take we R.C Battery Park , forget about . then eventually wait vehicle arrive not big enough us luggage therefore another car send , mean another delay also embarassment hotel ! ! would like conclude review add complaint make staff polite hospitable immediately want resolve problem . guest , feel not reach stage choose Ritz Carlton , Central Park 90 % almost little something missing . 
 Jan 8 2009 	 Beautiful Hotel - can not wait go 	 New Year break first time New York . although book deluxe without park view up - grade fantastic large room overlook Central Park . wonderful bed ( comfortable hotel bed ever ) nice tv , good quality furniture , lovely toiletry wonderful bathroom tub shower . Heaven . very friendly helpful staff . check 12 noon late flight extend time 4.00 . quite expensive worth want make occasion special . ditto last review beautfiul bedspread spend entire stay canvas bag behind armchair well ! one dress gown disapeare 3rd day . housekeeping get another straight away . 's bad thing think 's bad , it . could tea coffee maker room though . all , lovely hotel , great location , central park view pretty . 
 Jan 3 2009 	 Beautiful Hotel Excellent Service 	 stay 5 night Ritz - Carlton Central Park - presidential election week . book non - view room , upgrade without cost room overlook 6th Avenue greatly appreciate . could actually see sliver Central Park . light sleeper - non - view room might well option , however . notice traffic noise although fan a / c unit run block external noise . I ' m sure add accolade previous reviewer . say ditto everything . every staff person interact excellent welcoming . the hotel beautiful service stellar . especially enjoy beautiful Star Lounge although price obscene - $ 20.00 glass chardonnay - oh well , New York service atmosphere worth it . my room cramp , generously proportion one would expect hotel caliber richness beauty furnishing quite wonderful gave room sophisticated warm inviting glow . really enjoy quiet time room rest relax . bathroom great - separate shower tub - beautiful marble outstanding Frederic Fekkai toiletry . usually not notice thing like , Fekkai product amazing . now minor whine 5 point : 1 . room coffee maker room - arrrgh ! mean call room service , dress go cup coffee morning . 2 . also , first night , housekeeping fold beautiful bedspread put large canvas bag behind read chair . stay rest visit . think odd - although problem . bed make nice comforter everyday linen excellent . seem odd beautiful bedspread folded bag rather bed could display enjoy . 3 . room also iron iron board touch ups.4 . Fitness Facility : really par 5 - star hotel . long narrow room virtually window . little space push - up , crunch , speed rope , drop lunge , etc . usual machine free weight . locker room small not think steam room sauna . work almost daily notice thing like this.5 . flat screen tv - tv room not great - mediocre picture quality although good enough watch news keep current election result . whine complete ! although early November , weather unseasonably warm glad A / c work well . whine aside , great hotel unbeatable location . especially take subway . multiple line within short walk hotel . thoroughly enjoy stay would return . 
 Dec 19 2008 	 ideal place 	 book ritz carlton stay weekend birthday trip husband , great time also grade checking make nice bonus . everything hotel luxurious , room decor fabrics bed linen everything ! staff extemely helpful also would definately re - book ! 
 Dec 16 2008 	 Top Class 	 property deliver 5 star promise . room old world luxury modern finish . really like Bvlgari product bathroom . good size , particularly New York standard . the concierge reception staff epitomise professionalism . excellent job arrange special night we . Hassan particularly good . boyfriend ( fiance ! ) plan propose stay , request , Hassan arrange Champagne , chocolate strawberry room . favourtie music play return room along beautiful arrangement petal . the next evening ask cab take us restaurant . instead hotel provide complimentary use bently . my small gripe breakfast . serve hotel 's BLT restaurant access public via side entrance . arrive breakfast Sunday morning extremely busy ask reservation . tell would wait 10/15 minute . think unusual guest hotel require breakfast reservation . anyway , wait 5 minute breakfast good . something aware of . overall , hotel deliver everything would expect 5 star establishment . 
 Dec 16 2008 	 Robbed Ritz 	 sit quick breakfast 2 bill come $ 100 . may ask , order ? ? -2 cup regular coffee ( $ 10 ) -2 cup OJ ( $ 11 fresh ) -1 bagel cream chees / lox ( ~ $ 30 ) -1 bowl oatmeal ( ~ $ 20 ) feel absolutely sick meal , egregious , would hotel restaurant overcharge guest one bad economic downturn history NYC ? ! ? would never return hotel terrible experience restaurant . short - sighted hotel restaurant lose future hotel guest ! please stay , hotel good Sheraton , room non - descript feel luxurious . highlight room fact clean . 
 Nov 21 2008 	 delightful 	 wonderful stay recently completely fall love atmosphere location . usually stay Four Seasons , worried would dissapointe room size bathroom Ritz , could not well . ceiling low , room not spectacular architectural feel FS , wonderful alternative offer much residential , cozy warm atmosphere . know room quite small , beautifully detailed . low ceiling , huge armoire hold outdated television overpower room bit . ( Park View Room . also view Deluxe Park View Suite , plasma sit console table living room , walk suite see side tv right solution ) room exquisitely detailed upholstered silk wall thick moulding , truly lovely grey marble bath , everything immaculately clean . sublimely comfortable club chair , lamp side table right need make kind hotel room want curl really live . park view spectacular feel like be stay elegant townhouse . staff definitely work achieve friendly atmosphere , clearly try warm less rehearse Ritz employee past . even though , not think 's necessary shake hand doorman , take white glove extended hand make door car . call germaphobe , think could make feel welcome smile . also , employee give name . take little getting use , first could strike fishing tip , enhance warm almost family atmosphere . odd detail housekeeping cart park hallway night . first night think mistake . 3 night stay , , park within view door ! shame , hallway Ritz probably attractive hotel city . room service fast good , notice unlike FS , felt pad underneath table cloth , minor detail , hotel detail . two pointer book room : 1 ) absolutely get park view . worth , experience not . 2 ) club must , concept different ritz hotel positive , below . the club lounge second floor next spa door access room key . ( simply pay add & quot ; club access & quot ; room ) breakfast club , take elevator practically lobby , feel like need get dress , case ' m going restaraunt real breakfast . not want spend extra money could nice experience , never miss . although say inside , far professional elegant Ritz Club lounge . ( server lounge attentive , constantly offer replenish drink snack , whereas Ritz lounge become much self serve ) . nice touch phone call club concierge night departure , ask need arrange airport transfer print boarding pass . , detail . overall , wonderful experience . definitely back . 
 Nov 2 2008 	 Perfect location excellent service 	 stay four night Ritz Carlton ( Central Park South ) 12yo daughter . the location Hotel terrific , walk distance 5th Avenue shopping area . as soon arrive feel pamper welcome personnel , doormen receptionist ( theye even know daughter 's name ! ) .We one dedicated person show we room Hotel facility . come long flight Europe want room - service dinner . it fast , good accurate . so breakfast morning after . the concierge real & quot ; treasure & quot ; : suggest we good restaurant dinner good help everything ny.the SPA ( product La Prairie ) simply luxurious . only negative note : departure day snack Hotel Bar service extremely long .... overall Hotel bit expensive , service , quality room personnel good ... would highly recommend . 
 Sep 29 2008 	 probably close perfect get 	 without question , Ritz Carlton one premium hotel New York City . contrast big hotel area , however , Ritz - Carltons 's main entrance Central Park South rather inconspicuous easily overlook ( taxi driver drive right past first time ) .The room spacious luxuriously equip . interior design tasteful , classic fashion , course , impeccably clean . bathroom simply stunning ( large bedroom hotel ) .The staff extremely helpful friendly make point make stay comfortable possible . arrive red - eye flight 5 morning technically would wait 3 pm official check - in time , let we check right away . there minor glitch ( detract 5 - star rating , though ) : bathtub stopper not work ( fix ) , tea water order room service barely lukewarm arrive hence unsuitable actually prepare tea . , oh well , thing happen sometimes . even Ritz - Carlton run human ; - ) price line typical & quot ; New York price factor & quot ; , , anywhere else New York City get quality hotel lot less . notably , nightly rate $ 595 buy us park view ( rather depressing view backside build various grimy tube vent ) .If not want bad surprise ( hotel scene New York City plenty store ) Ritz - Carlton safe bet will not disappoint . 
 Sep 8 2008 	 luxurious ( always ) 	 stay 2 night - wonderful always . luxurious hotel , great location ( across street Central Park ) . low floor room view Park - enjoy watch horse carriage & amp ; people . 1 night book , pour rain return Sat matinee , decide stay another night . get back hotel drench , doorman greet we dry towel , even dry umbrella ! able give we room , one previous night , even though already check out . all request ( room service , concierge , shoe polishing , etc ) handle promptly courtesly . the room comfortable - bed & amp ; linen great - love Fredric Frekai ( sp ? ) toiletry . can not say enough good - 's cheap ( NYC ) , well worth ! 
 Aug 25 2008 	 Fantastic ! 	 hotel fantastic location , right Central Park West 59th Street 6th Avenue ( Avenue Americas ) . every major designer store within walk distance Bloomingdale 's , Barney 's , Bergdorf 's Saks . complimentary Bentley Flying Spur chaffeur free disposal take anywhere island Manhattan desire . Front Desk team fantastic upon arrival checkout . concierge extremely helpful term transportation , theatre dining . room spacious bathroom gorgeous view park . La Prarie Spa fantastic massage facial . Club Lounge great place relax fast pace day night . star lounge beautiful bar . crazy BLT Market think far casual Upper West Side Ritz Carlton ! also pricey breakfast ! would go back heartbeat ! 
 Aug 23 2008 	 Excellent Service 	 Excellent service moment wife arrive . entire staff attentive accommodate . book American Express Platinum Travel able obtain upgrade upon request checking . room true Ritz Carlton decor . marble bath separate water closet . original room shower view 6th Avenue . trade back separate shower tub . concierge absolutely great . Abraham give great suggestion place eat party . able get wife list get club call Room Service . suggest Scalinatella Remi dinner ( italian ) . Morimoto 's 10th Ave definitely must like sushi Seafood . also like fish chip Salt Battery Greenwich Village necessary . feature Bobby Flay 's Throwdown . lose ( tell ) . true Brits - past accent . hotel convient subway directly across street Central Park . Fifth Avenue one block away - shop store within four block radius . wife spa service La Prairie absolutely love . technician Jaimie ( guy ) . highly recommend Ritz . 30 min . massage Luxe Moisture Indulgence rave . say good spa treatment ever wife well travel numerous treatment abroad . BLT restaurant ok . overprice serve . routine breakfast brunch Ritz Carlton Buckhead ( Atlanta ) expectation high restaurant base location review . not overshadow experience service Ritz . look consistency wonderful service attentiveness will not disappoint . 
 Aug 7 2008 	 luxurious Stay Ritz 	 beautiful hotel overlook Central Park . staff attentive friendly willing accommodate request fro early check - in . room tastefully decorate comfortable - nice hotel room NYC not trip due lack space . toiletry amenity luxurious enjoy stay . stay Ritz city disappointed experience , stay feel like true Ritz hospitality . 
 Aug 1 2008 	 Amazing absolutly superb ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 great hotel ! right Park walk distance Madison Fifth Avenue shop . room brand new spacious , staff superb , favorite spa world ! ( La Prarie ) afternoon tea great , restaurant pretty good . 
 Aug 1 2008 	 wonderful 	 twice different experience last serberb food really good room really awesome excellent service club . 
 Jul 24 2008 	 Luxurious 	 book hotel 7 night British Airways cost around £ 2400 2 adult . room spacious - book standard room think probably give large average room . small lobby area room bathroom perhaps large ' ve ever see ! nothing much trouble staff , fairly consistently excellent ( exception one waitress Star Lounge hurry everything quite rude ) . hotel decor tasteful , relativley small lobby reception area give hotel personal feel five star hotel often lack . real complaint exorbitant cost food drink eat hotel - , stay almost faultless . 
 Jul 18 2008 	 incredibly beautiful 	 Room beautifully decorate , view Central Park stunning , bed soft comfortable , shower pressure great , service consistently friendly helpful , internet connection fast , a / c work well . the service desk accommodate request particular room late checkout request problem all . the ( head ) concierge room cleaner ( tell son ) especially friendly helpful . thank great stay ... 
 Jul 18 2008 	 Great experience 	 return great trip NYC . spend first two day beach , last two night Ritz . check check , everything flawless . arrive early , greet name , offer fresh coffee . room overlook park , well lay , spacious comforting . find proximity major attraction bonus . basically scratch surface , leave fulfil . picnic park , go Whole Foods Time Warner building ( two block ) grab item . staff Ritz well mannered approachable , feel right home . until next time , look forward another delightful stay Ritz Carlton Central Park . 
 Jul 16 2008 	 Nice Valentine Weekend 	 husband take New York valentine weekend get away . plan hotel , dinner , shop piano concert . stay Ritz Cartlon room overlook park . beautiful traditional hotel service excelent Ritz Carlton 's stay . room big elegant yet comfortable . great hotel wekkend get away . 
 Jun 27 2008 	 Better Ritz ? 	 return quick 3 day stay Ritz Carlton Central Park , celebrate wife 's 40th birthday first visit nyc.check quick extremely efficient . greet name offer cold bottle water , appreciate long cab ride . arrive red eye L.A. around 9:45 immediately allow check . may seem like much , we , mean everything get trip start right . the room clean pretty much one would expect Ritz property . NYC one expect huge room , large enough , spotless well appoint . stay 5 star property / resort around U.S. abroad , nice job living hype . the location superb . across street Central Park walk distance everywhere long walker . walk St. Patricks , Rockefeller Plaza theater district . subway station within 2 block every direction . really nice Whole Foods Market 2 - 3 block west Colombus Circle pick fixing nice Central Park picnic lunch . for tour seeker , grayline bus stop ( double decker ) right across street Central Park . well Hansom Carriages . concierge desk helpful tour / admission ticket well great dinner suggestion . dine Scalinatellas , great italian restaurant impeccable service food quaint location . take 5 minute cab ride stroll back 15 minute . great call Abraham . also dine Del Frisco 's Double Eaglr Steak House , request Concierge disappoint . great atmosphere friendly bar / server staff . great steak , large portion . definitely wonderful experience . kudo RC Concierge staff . , advice concierge , nice breakfast BLT Market , locate hotel . Great Service delicious pancake . read review try extract pertinent information property question , make informed decision travel stay new location . turn , try write review also point . not go Ritz worried spend extra dollar . spend $ 75 last minute dry cleaning service fast , clothe well handle , press clean . expect appreciative service . not complain use Business Center , ask question first . be not free , fee . choose use , don't.lastly , extend late check 2:00 pm Bell Desk hold luggage whicle go venerable location NYC , Yankee Stadium . upon return , offer use roomy bathroom facility tochange . would prefer use shower facility Spa , Four Seasons allow , , great stay wife offer much thank gratitude . Howard , L.A . 
 Jun 21 2008 	 six towel ? 	 good location . large company discount still pay 500 usd pp 1 night deluxe room . airy , nice bathroom ( shower & amp ; bath , toilet separate ) . bed way soft , aircon extremely noisy . in business centre , 10 - min internet cost 10 ( ! ) usd . ridiculously pricey . staff pushy even US term . 6 towel single place bathroom , simply unnecessary . breakfast befor 6 am even room service time . no amenity , fruit , water , ect room would expect hotel ( like four Seasons ) . 
 Jun 13 2008 	 absolutely perfect experience Ritz 	 bad habit write review hotel experience perfect , refer Ritz Central Park write two NY hotel review , realize 's fair proclaim wonderful Ritz . service every level absolutely impeccable . room beautiful comfortable , every amenity could want ( complaint would charge Wi / Fi access ; really think come gratis nowadays ) . room rate include use club floor , refreshment serve day long . really handy , nice sit view park . not know manage every single staff member know name , . really make feel welcome . 
 Jun 9 2008 	 Trouble Gift Certificates 	 family friend 60th birthday ( Feb. 2008 ) buy 15 gift certificate Ritz Carlton express purpose stay hotel . check May 24 , 2008 tell long elligible use property . on back cerificate hotel clearly identify one participate hotel Ritz program . purchase hotel intend use Central PArk location . good ? return get money back original intent ? birthday present lose . Ritx Carlton lose business want every one know careful purchase git certificate hotel . 
 May 22 2008 	 Impeccable Service 	 stay share five star hotel , sure expect Ritz . go Cancun last year stay Tides . personal butler , know would find level service . disappointed ! check seamless , personally show room . bottle water provide turn service much appreciated . , hotel plush - although room bit small , probably good size New York standard - stand level service . entire staff seem sincerely gracious helpful . fact , husband get sick meal surround restaurant staff come rescue . clean sink restroom , housekeeping would even accept gratuity . practically shove gratuity pocket ! utilize limousine service couple time , car always punctual wait we . check , notice duplicate charge bill . call Ritz , actually self - audit correct charge ! ! quite impressed level attention detail . overall , detail make stay memorable . definitely plan stay Ritz next trip NYC . 
 may 20 2008 	 Fantastic Stay Ritz 	 recently book 5 night stay Ritz Carlton Central Park American Express FH & amp ; r progam . although receive upgrade check - in , notify upgrade next morning lovely room overlook Central Park . bedding , bathroom amenity ( Frederick Fekkai ) , towel service wonderful . hotel well situate walk Fifth Avenue Madison Avenue shopping . love walk Central Park enjoy quiet time away hubbub city . breakfast delicious able take advantage & quot ; free lunch & quot ; amenity request picnic lunch go . friendly doorman well efficient front desk concierge service add pleasant stay lovely hotel . 
 May 5 2008 	 yes 	 yes lovely hotel , New York . stay short stay New York April 08 . location difficult beat ... room comfortable well equip , overall classy hotel . pay little view Central Park worth opinion . receptionist consierge helpful simely . have stay prior visit St. Regis ... however find Ritz Carlton interesting place . do eat hotel 
 Apr 16 2008 	 Best Best ! 	 nobody well . Ritz - Carlton Central Park master perfection art . experience , be worth life - time wait . thank Ritz - Carlton . 
 Apr 10 2008 	 great room attentive staff 	 experience check amazing . staff truely enhance luxery experience Ritz Carltons already premiere standard . room overlook Centeral Park , bed comfortable , room include bathroom extrememly clean . location key us restuarant , shopping , sightseeing . great deli- grocery store 2 block away wine beer etc ... can not wait stay . excellent 
 Apr 2 2008 	 great place 	 wonderful stay family four . excellent , sincere service . price bar high , unexpected . suite nice , well appoint well lay . , actually bargain New York go . 
 Mar 8 2008 	 Anniversary Vacation remember ! 	 hotel fabulous ! go 10th Anniversary treat like royalty . room luxurious service beyond expectation . extra cost well worth . side spoil , not know would satisfied stay anywhere else ny ! 
 Feb 20 2008 	 live Ritz name 	 stay number business trip husband . service location can not beat . room bit small , face inside shaft view whatsoever ( keep blind close ! ) definitely bastion plush relaxation busy , crowded , smelly street New York . service great , look young age never experience anything friendliest respectful service staff . 
 Feb 14 2008 	 good NYC 	 Ritz Carlton Central PS far good experience NYC . usband come NY year week past 10 year . ahve try many 5 star property none manage achive wonderful combination location , beautifull room , beautiful bathroom service . we upgrade prak view room low floor ( 8 ) good enough .. tree line sensation space , day light openness wonderful . although travle agent love try new property , think find home NYC . consider pay little extra park view .. go ! ! worth . 
