grandview 	 return place two day ago . nice place stay complaint accomodation , disappointed staff . screw ever turn , arrive late evening family check early day , hotel staff harass mother several time evening show desk credit card & quot ; calm & quot ; front desk staff . ( reservation name , call get permission check early ) arrive 10:30pm give credit card settle issue , next day 11:30 night return evening lock we room ( one key work ) call front desk say not pay bill . explain situation flight delay pay 10:30pm night etc . record credit card . nightmare . go stairs resolve charge mother credit card ( yet still lock we ) note attach account state & quot ; charge credit card wait show credit card & quot ; . reverse charge embarrassed problem cause , perplexed happen . leave hand definitely not know right hand . room miss soap , miss shampoo , call get need give we run around , never deliver soap shampoo . customer service lack BIG TIME & gt ; CAREFUL . can not wait see final bill . sure screw . 
 great place 	 exception & quot ; free breakfast & quot ; really sale presentation , great property . would highly recommend 2nd 3rd timer Vegas vacationer little tired strip . great place bring family . would recommend rent car strip / show visit . find garage strip ( near & amp ; store ) could park $ 3.00 day . full kitchen time spend look place eat . property close Whole Foods Wal - mart . parking challenge come late show . close Casino road want gamble not want deal strip . recommend Red Cup cafe 3 meal . portion generous . bring leftover put full size refridgerator available . stay ! 
 cook can not swim : cold pool 	 room big , kitchen well appoint . not eat every meal . disappointed none pool heat enough swim . sofa bed mattress awful . 
 would recommend resort spacious accommodation decor . 	 begin visit frustrating lack coordination resort rci- neither would assume responsibilty us registration list even though call make agency 3 week ; 5 day ; day . hour , finally room take immediate nap- wake red , itchy , swollen eye , familiar animal smell . definite animal dander leave behind . housekeeping manager handle graciously offer move different room ( garantee , even though animal allow ) , settle carpet shampooed linen comforter replace . way , guest later enter elevator dog . allergy pet dander , beware ask safety cleaning . work well . $ 1.00 charge coffee ridiculous waive protest . nice deli site . food good . shuttle service good - timely considerate . prepare tip ! resort shuttle activity good allow freedom movement without $ 8 regular shuttle service . even though overall resort experience good , effort toward friendliness could exemplified front end staff - bit aloof involve guest service care experience resort . 
 Oct 29 2009 	 great stay 	 stay Grandview Sept. one new building - 5th floor - end unit . room well furnish clean . like two separate room lot space - full kitchen utencil . downside jacuzzi loud be suppose use 10 . far strip ( 10 minute ) car . loved location hustle bustle Las Vegas . casino right next door - southpoint new casino road - & quot ; & quot ; . 
 Oct 29 2009 	 great we 	 know go would time share would get least quick push staff great owner . happen , second say interested . room great we . price outstanding . 10 minute drive show strip , not mind . ton 's space . not run sound problem room . two minor complaint . leaf blower guy 7 ..... really serious . pool cold . perhaps temp outside 100 + , cold pool great , temp 70 's pool cold . recommend breakfast casino next door . internet come cost . 
 Oct 24 2009 	 not fool positive reviews- 2 star wannabe place 	 base glow review Expedia Trip Advisor ( own Expedia - worth note ) decide try Grand View . place Time Share Nightmare . expect luxury condo experience - favor pay little stay signature MGM Grand vastly superior sorry not stay trip . give handicapped room ( ask one ) 3rd floor Daisy Tower view garbage dumpster sound match . fresh air room smell disinfectant damp carpeting . pay $ 50 night nothing complain . decor absolutely frightening . red , White Black . stripe , Diamonds , Plaids , Checks mix together make queasy . drape match carpet window open . air conditioning loud sporadic . one small bathroom sink ( imagine people come child 2 people ) . faucet kind use Gas Station restroom -where press water come well use fast shut . way regulate water temperature . end use kitchen sink wash face . extra mirror - bring someone use sink . the cabinet cheap - everything place make cringe feel like build 1980 's yet complete ! think may salvage lot material hotel blow year . terrible sound proofing - security . feel trap . think get deal , think again- extra room living room really suitable sleep - closet space shelving . not think would annoyed review accurate - one person actually insinuate place par five star property strip . security - light entryway . please make mistake . zoo time share sale pitch people look confuse everywhere . relax much well choice there . no free internet ( $ 9.95 per night ) $ 10.00 per night charge USE SAFE ROOM.NO restaurant PROPERTYNOT affiliate south point CASINO - can not charge food bill . good point : 2 flatscreen tv 's work . large jacuzzi tub ( take 15 minute fill ) comfortable mattress ( rough sheet - use ) . work kitchen large refrigerator stove . thank goodness bring sheet sheet bed rough sandpaper comforter queen sized ( King Bed ) . call housekeeping return . check 10:00 . sharp . 
 Oct 21 2009 	 Happy Choice 	 find buy one night get one free Expedia Grandview take . Friday Saturday $ 66 ! deal . anyway , room really apartment furnish like model unit - nice . room great view strip jet tub plus . other mention wall thin neighbor try keep noise still rather audible . also mention , expect usual hotel service amenity . pool / spa area nice crowded visit . if familiar Vegas find deal property mean go . price wise full retail property may competitive hotel price range consider incentive offer . last , timeshare thing . offer check say thank . hard push front desk thus timeshare aspect come play . 
 Oct 21 2009 	 Far Strip excellent hotel 	 even though ideal stay strip , good hotel decide stay far strip . definitely need car every hotel Vegas lot parking problem . use service spend whole time strip . suite roomy , comfortable clean fully equip kitchen . minus find $ 10 charge per day / per computer internet connection . 
 Oct 20 2009 	 good family environment Vegas 	 get great deal Grandview realize timeshare . love location next South Pointe fact strip not explain inappropriate behavior kid like often stay strip . stay Sage building . chair dirty ( stain ) , parking day limit , fine night , wall thin . restaurant onsite would ' ve great grill fryer break could not order , South Pointe several restarurant choose . pool great . feel like lot space room price love jacuzzi tub ! 
 Oct 19 2009 	 good value Vegas 	 book & quot ; resort & quot ; portion skip whole timeshare thing . stay Lily really impressed room . 2 room adjoin perfect thought layout terrific . bit confusing book - & quot ; 2 - room & quot ; condo - book 2 separate room hope check adjoining room . family small child - check soon secure adjoining room . front staff wonderful help we secure room , especially 8p Friday night seemingly chaotic everyone check . kid love pool , think exercise room great distance strip exactly want . free shuttle , new casino . definitely need car . room quieter Holiday Inn , & quot ; smoking & quot ; smell be room . plumb loud - especially jetted tub , bothersome entire weekend . overall , would definitely stay . 
 Oct 17 2009 	 Nice Place stay Family 	 staying , definitely need car . however , still lot close . south Point Casino right next door , besides typically gamble , movie theater , bowling alley , arcade room , much more . the pool stay pretty cold , mild spring ( tell ) . time spend hot tub , really hot spend much time , would say pool average . room nice , new , clean . would nice free wifi , not , need go lobby wait chance 20 minute . convenient , well nothing . highway easily accessible resort , hop time get need go . I think will enjoy stay . would definitely go back . 
 Oct 10 2009 	 Nice Convenient Location 	 location Las Vegas strip , south , easy get conveniently locate many offering Vegas , shopping center , restaurant , etc . unit stay full kitchen comfortable furniture . decor stylish relax . park great weekend , park parking structure near building , decent walk late night hotel . area feel safe though . GrandView offer free wireless room , disappointing . pay $ 50 week speed pretty slow , usually around 1 mb . offer guest use computer main office building , like lounge around pajama late night morning , . pool nice , though cool / cold , not take advantage . rarely hear guest , find stay relax comfortable . 
 Oct 10 2009 	 Great Resort Great Location 	 return 2 week resort RCI Timeshare exchange please stay . really bad cold first week not able make resort facility , bit make use one hot tub second week wonderful . also use Southpointe right across road buffet breakfast couple evening meal , inevitable gambling do Vegas ! also see film Southpointe cinema . the front desk housekeep helpful quick respond request . must thank writer previous review , read review realise significance black curtain bedroom . the first unit show block 3 Lily , black out , speak front desk request give unit . quick respond able reassign we unti Block 4 Daisy , happy with . we happy decide stay return June 2010 . 
 Oct 5 2009 	 Great experience 	 Grandview great place stay – reserve last Call vacation RCI . assign one bedroom Daisy tower 21st floor . new tower nice … granite countertop , flat screen tv livingroom bedroom . whirlpool bathtub bedroom . lot storage – extra hang closet livingroom drawer space person pull - out couch . one judge place take care problem . upon arrival , coffee pot leak replace new pot within minute call . encourage pay extra $ 10 use in - room safe declined able use safe deposit . ' pay in - room wireless internet – go lounge use computer free ( able print coupon well ) . exercise room two order elliptical machine treadmill somewhat different . would good post operating instruction equipment people confuse operate treadmill . also good shopping nearby Blue Diamond ( Target , Kohls , Sally ' Beauty , Ross ) . decline timeshare presentation check - in receive another well offer presentation couple day check - in . grandview timeshare presentation . the Southpoint casino right next door new nice . several restaurant , movie theater , bowling alley – eat several time . fantastic midnight special café . great access i-15 I-215 resort – minute strip . attend timeshare presentation Wyndom – receive $ 50 casino play , two free buffet , two ticket comedy club two vacation voucher . two woman travel together ( one single one without hubby ) . go Hypnosis Unleashed ( Terry Stokes ) , Freemont Experience Sat eve see great band ( www.ybrband.com ) , Harrah ' comedy club , let ' make Deal game show ( search Google free ticket available line ) , price Right game show , CSI experience MGM . 
 oct 4 2009 	 wonderful Hotel Far Strip 	 husband stay 1 week honeymoon ( wedding gift ) . stay beautiful 1 - bedroom suite ammenitie home , large , fully equipte kitchen , in - suite laundry , comfortable living room , separate bedroom , huge , gorgeous bathroom . expect timeshare like . since use timeshare week gift timeshare - own relative , never attend sale tour , etc . comment . pool beautiful , ground well keep . absolutely pristine . thing complain restaurant ( except small snack shack ) ground , time go , nearby restaurant one casino next door ( South Pointe ) , not find good . also , long way strip . even though address read & quot ; Las Vegas Blvd & quot ; long trip strip , pay cab airfare , probably could pay stay strip cabfare need package deal price . sure wish strip , really beautiful property , nicely furnish decorate . strip , would love buy timeshare well , be worth hassle away show , eat . basically get ready go day expect come back till dinner . unless want take free daily ( maybe daily ? ) shuttle grocery store , shuttle strip always late , take forever , wait hot pavement hour . 
 Sep 23 2009 	 great place stay ! 	 get back one week stay Grandview . 2 bedroom , 2 bathroom suite travel another couple . great . kitchen , live space washer / dryer . car trouble drive Strip show , etc . really love Southpoint right next door spend good deal time . several nice restaurant , bar great & quot ; sportsbook & quot ; . pool condo really nice too . our bed really comfortable bring pillow . husband wish bring pillow . yes , sometimes could hear shower room next we , bad like review . place clean nice & amp ; roomy . flat screen tv 's also great although TV Guide would nice since station different California . we could happy place definitely go back . stay Daisy tower new one never trouble get parking space like reviewer . 
 Sep 23 2009 	 nice surprise ! 	 husband stay two night . travel 23 - month - old son 17 - year - old cousin visit we Europe . dread timeshare sale pitch , ask want attend presentation . said & quot ; , & quot ; . maybe squirmy toddler help we end , know ? worry parking review say hard find construction , fine . parking garage newly open event not find parking near tower . worry . the suite nice ... fully equip kitchen , big bathroom , whirlpool tub . bed little uncomfortable , okay . & quot ; complaint & quot ; neighbor runnnig whirlpool tub really late night make lot noise , spite sign ask whirlpool use 10 . anyway , love kitchen able prepare food ... save ton money ! pool complex fine ... big fancy like hotel , suit we fine . overall , would definitely stay ! 
 Sep 22 2009 	 Bad Suite 	 arrive Sunday evening . hard sell condo meeting . Saleperson refuse word . finally get unit . large tear sofa cusion first thing notice . call front desk tell we would note file . later towel bar fall floor bathroom . connect . plumbing bathroom plug . provide us plunger . kitchen provide one 16 oz glass . ask additional tell back order . phone book unit . ask one front desk say could provide we number address . furniture room look worn . arm chair nearly bare , coffee table quite scuffed . look bad motel 6 ! Thursday suppose tidy room service day , show ! pool nice get we 20 % Sheena Easton concert ticket Southpoint accross street . expect great room move . insist new room mistake believe responsible accomodation ! belief Grandview financial trouble possibly poorly manage . 
 Sep 21 2009 	 Hotel 	 Grandview locate 7 mile away strip . complimentary shuttle run back & amp ; fourth throughout day , service stop 1 am . overall Grandview nice timeshare resort . look hotel room service casino amenity nature , place . pool nice & quot ; deli & quot ; onsite , outside everything else strip . bad place stay , actually great time Vegas , look Vegas & quot ; life & quot ; would not suggest Grandview .... however look Vegas & quot ; life & quot ; well ability remove & quot ; life & quot ; place . 
 Sep 17 2009 	 great place 	 stay Grandview Las Vegas Aug 23 - 30 . great time . 's nice resort well take care of . the pro ... staff friendly , always willing bend backwards guest . hotel clean room . room spacious nicely decorate . bed comfortable . jacuzzi room nice ! ! really appreciate washing machine dryer , supply one tiny box detergent ... be nice able laundry vacation . room kitchen , love . definitely save money make breakfast morning . pool nice clean . plenty chair pool ... hotel nightmare try find two chair ten . wish time spend relax there . it nice hotel close South Point since casino grandview . also give little bit food restaurant option . not even really eat Grandview can not really comment restaurant . actually , husband buy we food & quot ; deli , & quot ; okay . mostly eat strip . we rent car week distance Grandview strip not really matter . con ... nothing horrible . pillow actually horrible . lumpy really uncomfortable . jacuzzi hour suck . hour 8am-10pm . room hour ? not get enjoy jacuzzi much . one thing housekeeping , understand would clean room day ... think odd like get housekeeping everyday . we book show hotel make we pay cash little inconvenient , not understand could not pay credit card . distance strip not bad thing , prepare spend $ 30ish way cab ride strip not rent car . , great experience . definitely would stay would recommend rent car anyone stay hotel . also make sure go one grocery store near buy grocery , may well take advantage fact fully equip kitchen definitely save money . wish cook meal . would definitely recommend hotel friend family . 
 Sep 4 2009 	 Impressed ! ! 	 arrive property know time share relate time share . surprise , check give & quot ; sale pitch & quot ; announce visit business . suite spacious , well decorate , convenient full kitchen , ammenitie tune luxurious style suite . din room , living room , full kitchen , closet , & quot ; Jaccuzi Tub & quot ; bathroom bedroom . complaint would 2 door deal access suite . neighbor rather strange like leave door open going hour day night . however , GM luxury property , realize human behavior blame hotel management . I recommend property friend relative plan visit Las Vegas . overall impression = impressed ! 
 Sep 2 2009 	 need sound proof 	 stand bathroom bedroom downstairs , upstairs next door neighbour shower run tub , hear speak . neighbour wake we 3 am walk around neighbour wake we 7:30am shower . great value housekeeping need learn wipe clean door kitchen . food splatter wall , dirty door . dishwasher piece kitchen floor , water bottle counter plumber sweat smell condo upon arrival . nice place visit , buy ! 
 Sep 1 2009 	 Grandview 	 enjoy stay Grandview . owner recently upgrade 2 - bdrm new building . staff courteous professional . love far enough away strip escape noise smoke , close enough . location convenient many comfort home ; grocery store , gas station , fast food , etc . room clean . luckily , not neighbor day leave . look forward improvement expansion Grandview . can not wait visit Viva Las Vegas ! ! 
 Aug 27 2009 	 good advertise 	 place perfect we ! wife take 14 yr old daughter two 14 yr old friend Vegas ... yes know hell would ever ? ! ? ! ? look online find place amazing deal , buy one night get second free , choice become obvious . good friend wife stay last year nothing great thing say . feel , place perfect ! room great , jacuzzi tub WONDERFUL . ok Vegas standard parking challenge ( enough space parking may walk bit , be par course Vegas . ) place timeshare deal operate hotel upon check - in might ask 're interested ' Breakfast ' , 's veil attempt get sale meeting time share . tell , polite continue check - in . lastly game South Point may well lot step away . all great place ! 
 Aug 27 2009 	 grandview totally amazing ! ! ! 	 simply amazing experience ! ! ! Resort locate 10 min . strip well worth distance . despite review , complication . able check early check late . ask time share , staff rude way . room incredible . girlfriend say feel like Paris Hilton ! bedroom , living room , kitchen bathroom spacious well decorate . will probably never stay strip casino 's room compare value receive Grandview ! 
 Aug 26 2009 	 excellent place stay ! ! ! 	 2nd time stay certainly last . girlfriend stay week August 2009 . resort improve since last time stay - customer service well parking garage find space much easy used be . we allocate Daisy build new tower fantastic - everything like new though first stay ! LCD tv 's lounge bedroom give space move around also look well ! bed extremely comfortable get say experience unwanted noise room mention report . this resort locate approximately 7 mile south main strip hire car issue we think would stay close strip rely public transport , although resort offer shuttle service strip - not use really comment it . the pool area well maintain provide free towel - gripe whole resort really get beer round pool - 's major problem . the south point casino next door really good - pretty cheap eat drink decent casino , well bowl cinema complex . oh yeh , Friday night drink $ 1 . hear right $ 1 ! ! ! ! be also worth take trip new resort 2 mile along strip - fantastic place - luxurious . all 
 Aug 24 2009 	 great stay - go ! 	 party 4 adult share 1 room GrandView . everything great - reception checkout . request corner room high floor good view get . room clean well decorate . 2 tv great ! cook use washer dryer well . would recommend hotel come back again . the thing ( really negative ) - hotel locate little far strip . 
 Aug 20 2009 	 great place stay 	 husband go vegas couple time stay stripthe last ime stay , really love . love strip . clean large room . stay hotel room hang . , be like little apartment . get grocery drink day time , night time munch . casino right next door great buffet . ( also liquor store ) also get taxi get strip . also shuttle nominal fee take couple hotel back . little bit ride drinking drive way . well budget . 2 pool , one heat one . timeshare tour long , interst buying not take tour free stuff . vacation not waste time 's , sell ! ! ! understand complain hear peoplebut , hotel not forget , place live . love will not sty anywhere else next time go . 
 Aug 18 2009 	 wonderful stay 	 inspite bad review husband stay Grandview Resort pleasant . bed comfortable room nicely decorate clean . sometimes may hear next door guest voice run water tub wall thin not hear much all . the staff not bother we receive one reminder call resort presentation tour . advise please take tour take time could tour Vegas extremely long . tell 90 minute listen sale pitch 3 hour . resort free shuttle bus take market place week . resort also outside company shuttle bus call Ritz Transportation take strip $ 8.00 day . shuttle bus also pick drop airport resort $ 8.00 per person beat pay expensive cab . would recomend resort not take timeshare tour presentation long . 
 Aug 12 2009 	 Pros Cons ... 	 grandview couple day stay Saturday . read review come want add Pros Cons resort ... pros:1 . comfortable bed pillow . 2 . clean room 3 . parking ( although read other issue , stay Daisy building , park parking garage issue ) 4 . conveniently locate major highway StripCons:1 . WiFi free room ( $ 9.95 / per day ) . medium room slow computer ... 2 . front desk employee speak break English3 . check , try get go sale pitch time share offer $ 100 cash show ticket . 5 hour presentation ! ! n't ! ! 4 . pool water fall freezing . 5 . room poorly insulate . hear room run bath tub , etc . overall , nice hotel . would stay . 
 Aug 10 2009 	 nice problem . 	 stay Grandview husband June . enjoy alot . everything clean well - decorate . also comfortable bed ' ve ever sleep ! next door South Point casino , spend alot time . bowling alley movie theatre nice spa . however , appear Grandview condo put quickly finish issue resolve unit . first , several peg miss underneath kitchen cabinet shelf first time go grab glass , dish nearly slide onto floor ! entertainment center door never properly screw , not work . least one faucet instal wrong not turn right . thing can not remember . , small issue , still fix thing . secondly , pool area nice , play really boring music . lastly , not free WI - FI dealbreaker . pay like $ 40 week , be ridiculous . yes , internet , 's main building , would trudge every morning - thank ! planning buying place , could use business , not offer free WI - FI owner ( free shuttle strip ) ' m interested ! 
 Aug 10 2009 	 Beware Timeshare lecture 	 arrival Grandview nothing short Grand ! welcome set awsome suite 5 star everything . ask join breakfast next day give review hotel . return get 2 ticket show Vegas $ 100 gift . WOTH ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 90 min survey turn 4 hour sale . waste half day stupid time share . aside place great . Request Daisy build close parkade . 
 Aug 6 2009 	 Nice Resort away Strip 	 husband stay Grandview Las Vegas week . resort nice furniture well appoint . stay away pool due noise traffic area . suite nice clean kitchen furnish date equipment . living room bedroom fairly nice size . overall , place nice like away traffic Strip . car necessary get around since locate six mile Strip . resort allow smoking suite , great ! problem , however , smoker hang around entrance walk thesmell smoke get suite . problem thin wall hear drain / plumbing guest upstairs nearby run shower tub . time share presentation , take every bit three hour sale dept . manager get upset rude , even insult we refuse purchase . tell stay entire time cost $ 1000 person bring presentation . check , invite lunch learn go resort . get meet person sale dept . tell time share presentation . skip , worth rudness . 
 Aug 6 2009 	 good great ! 	 property nice , nothing great . wife forgive picky , take lot we complain . let us go positive negative . positive : nice pool , friendly staff , tastefully decorate room , convenient strip shopping / restaurant , check early . negative : - stayed week receive mid - week linen exchange . - Bed dirty , hair cover blanket mattress pad arrive . call new blanket , sheet , mattress pad . - tv reception bedroom fuzzy even cable.- Walls thin noise room pool could hear easily inside room . 6th floor.- Kitchen counter top cabinet clean . all , nice vacation acceptable hotel . nice family vacation kid , romantic getaway two . 
 Aug 4 2009 	 perfect family need ! 	 clean , roomy place . rent side , kid one side , adult . two nice pool right building . condo - style setup nice , full kitchen , go every night supper . bed hidabed comfy . design great . highly reccomene alternative cramp hotel . 
