Classy 	 stay Dorset Square 2 night late November 2009 . third time would use hotel , first time year . check handle professionally courteously set scene pleasant stay characterise excellent customer service , include restaurant ... return later . my room delicately decorate single third floor view Gloucester Place . seem little spacious room would previously .. perhaps light tone decor . one two minor niggle - panel aircon unit little ill - fitting tatty one bathroom light bulb need replace - also one two rather odd little black & quot ; bit & quot ; come hot water tap bath ! say , minor ; room warm , comfortable well - equip . previously , restaurant hotel & quot ; Potting Shed & quot ; - replace August 2009 italian . initally rather sorry - enjoy quirkiness british cusine Potting Shed . neede not worried . service food new Italian absolutely excellent . breakfast well dining night stay high standard maintain throughout . when come check similarly handle smile , continue theme old - fasione courtesy service . the Dorset Square well - run , well position ( close Marylebone tube / rail station ) classy , boutique hotel offer excellent base leisure business traveller . back . 
 Aug 11 2009 	 wonderful small hotel ; fabulous staff 	 first stop vacation London , Paris , Rome , Sorrento mother . far good hotel trip . charming room beautifully decorate proximity Tube great -- easy walk Baker Street Marylebone station . although not close enough walk main tourist attraction , find nice get away area end day . close little grocery store convenience store pick cheap drink / snack . staff absolutely superb . first time London lot question , always happy point we right direction . start list individual name , honesty , everyone work deserve big thank . little glitch ( safe would not open stuff inside ; driver arrange take we theater refuse pick we show ; one day breakfast start late we make tour ) . however , every case , work we find solution ( give safe time rest ; get we new ride to / from theater ; provide pasty / juice early ) . itty - bitty complaint ? expensive wi - fi . water pressure shower good ! drench everything bathroom everytime use . breakfast include rate , not sure item menu include ( not ) . oh , trouble tv ... not care enough bother ask help ' m sure would received . overall , wonderful stay ! 
 Jul 25 2009 	 Gem ! 	 place great ! location wonderful , middle hustle bustle close . great place eat incredible pub around corner ( nice walk home ! ! ) staff good get . room large ( visit 5 country prior stay , room big ) . clean ! bed comfortable . hotel restaurant overprice eat . pay wifi expensive , go coffeeshop baker street internet cafe one pound per hour versus 7 hotel . one little coffeshop offer free spend 3 pound . go marleybone station great , use baker street realize marleybone right ! hotel bit touch carpet furnishing common area , would make pleasant sit lounge area . staff top rate , would stay . 
 Jul 15 2009 	 classic hotel -- comfortable good value great location full character 	 husband stay one night , transit week Edinburgh , come away favorable impression . location could not well , near Regent 's Park restaurant shop Marylebone . ask quiet room king size bed , be get . charmingly decorate old - fashioned style chintz , bed excellent bathroom roomy completely up - to - date . restaurant closed dinner Sunday , staff steer we excellent bistro nearby . public area quiet , book , comfortable chair , honor bar . would definitely stay hotel future . 
 Jun 27 2009 	 disaster 	 ask change room , front desk person honest room available . room ground floor , carpet dirty , night table dusty , bed vibrate shake every time train run hotel go , every five minute 1 start 5 . Spoke management morning , receive apology assurance not normally operate way . accord , inexperienced new person duty . individual work restaurant courteous friendly . know be like , stay disaster ! ! 
 Jun 24 2009 	 beautiful quaint Hotel absolutely amazing service ! 	 stay last minute , know would like . surprised amazed length employee particularly David , Joanna Chris , go make we feel comfortable give we information need . the hotel decorate beautifully classic english style . nothing negative say Dorset Square 's staff . hotel great staff even well . highly recommend . 
 Jun 15 2009 	 AMAZING SERVICE ! 	 wow , helpful staff front desk . always lend advice , travel arrangement , food recommendation , reservation , etc . especially great Davide make feel come home every night late work end . sit room great place unwind long day . proximity Regents park great run next marlyebone station - perfect location business trip tire old stuff boring chain hotel . wish gym gym membership somewhere . 
 Jun 15 2009 	 can not pick fault 	 staff helpful even walk block chase cab we . hotel greet we long flight australia worth every penny . massive bed , comfy surrounding quiet well locate hotel . double thumb . 
 Jun 12 2009 	 one favorite small hotel 	 stay Dorset Square several time span 20 year . room well decorate appoint , bathroom well supply comfortable use . ample storage space clothe . last visit welcome return guest upgrade adjoining room ( 4 we ) top floor . staff extremely helpful welcoming , answer question quickly hand . enjoy restaurant breakfast afternoon snack drink , also enjoy use honesty bar fellow traveler meet chance . bit rainy visit helpful umbrella supply , hotel feel cozy less ideal weather . continue stay happily recommend friend family . 
 Jun 6 2009 	 exceed expectation base previous stay London hotel 	 hotel well locate [ 15 min walk Lords Cricket Ground 2 tube station ] opposite small park .Although close Marlebone Road Baker St quiet . the room clean well appoint although standard room tad small luggage have . the staff Hotels big asset friendly helpful . allow we charge late check check sit around lounge couple hour wait shuttle bus offer tea coffee come chat see OK . restaurant dinner breakfast could not fault . the downside minibar ineffective keep thing cold . 
 May 20 2009 	 Dorset Square good London hotel know 	 wife stay Dorset Square ten time since 2001 . ideal location we -- close Regent 's Park excellent Tube connection Baker Street . important quite , beautifully maintain friendly , well - train staff always respond request cheerfully helpfully . travel widely never find well hotel -- seldom find good .. 
 May 18 2009 	 wonderful small hotel go way customer . 	 stay hotel three day May . fabulous location , across park within block two underground station . staff fabulous , go extra mile we several time . hotel clean comfortable . little small , room comfortable , hi - speed internet service available , excellent bathroom ultra modern fixture finish large tub . would definately stay recommend friend . 
 May 9 2009 	 comfortable bed ' ve ever hotel 	 ' indeed exceed expectation ! everyone nice helpful ; love room , location , use private garden , breakfast Potting shed great pub next door . clean , quiet , wonderful bed , excellent air conditioning , large tub , heat towel rack . Regent 's Park , lovely Zoo , one favorite sight block away . five star around . ' back ! ' 
 May 5 2009 	 delightful small hotel lovely square close tube station 	 excellent six - day stay . room small adequate . bathroom large modern . breakfast great , restaurant also offer excellent meal . staff always pleasant helpful . negative need well lighting desk area . 
 may 4 2009 	 need tea 	 good service friendly helpfull staff , room nice small , desk table hair makeup problem . tea coffee make facility room thing least like hotel , would go back shame . need put price list room room service 
 May 3 2009 	 make anniversary trip relax 	 would like thank staff help & amp ; friendliness . room upgrade Silver Anniversary & amp ; find location ideal get around city . many thanksdorothy & amp ; Derek Chenery 
 May 1 2009 	 Comfort welcome 	 ' ve stay hotel business number time always well care . wife stay time three night enjoy care support staff available give advice direction whenever require . wonderful time see sight London ideal base . 
 Apr 27 2009 	 lovely hotel perfect location 	 back 2 night Dorset Square . find perfectly locate Marleybone , near Baker St tube station within walk distance regent Park Camden . staff really helpful friendly , room get ( ask specifically one front hotel ) lovely - huge plenty big enough two we . not get use restaurant bar evening wedding night , drink ( pricey ) ' honesty bar ' drawing room . would definitely return hotel , would happily recommend anyone . 
 Apr 21 2009 	 peaceful hotel lovely staff 	 stay 4 poster room first night honeymoon - staff helpful friendly especially south african porter Nicholas manager . room breakfast lovely aswell . 
 Apr 20 2009 	 Fantastic Stay Dorset Square ! 	 recently spend weekend partner Dorset Square strongly recommend anyone - matter business pleasure ! staff friendly , room design high quality interior clean ! also go Restaurant great evening meal ( fantastic fish wine ) great breakfast next morning ! go italian Breakfast , something bit differnt usual full English , sausage great ask one friendly staff swap Pancetta English Bacon - perfect mix ! even tea great - loose leaf tea - important ! location also tick box - 10 minute walk Oxford Street . overall great stay ! 
 Apr 16 2009 	 lovely small hotel central position retain calm feeling 	 would stay , hotel really attractive well decorate . charming staff - helpful low key restful atmosphere . superior room well appoint view square . well place get place . breakfast & quot ; Potting Shed & quot ; restauraunt charming really good breakfast - mention notice criticism manager post note site say overhauled breakfast -and do good job ! ! 
 Apr 7 2009 	 great Choice Delightful Staff 	 return visit London visit daughter study abroad . visit pleasant hotel ideal choice . would stay without question ... clean , pleasant staff covenient location quite Marylebone neighborhood . 
 Apr 3 2009 	 Excellent Staffhousekeeping good value quality London 	 enjoyable stay . good location much quieter think view square . reception staff excellent , pleasant helpful . enjoy cricket connection . 
 Mar 13 2009 	 comfortable breakfast poor . ask room 14 ! 	 stay one night wife . location excellent : close marylebone station Baker Street tube , MArylebone road load taxi , get around easy . NCP car park 100 m away although pricey . hotel situate outside Congestion Charge zone useful come London car . it handy Lord 's Cricket Ground , Regent 's Park London Zoo Madame Tussaud's . service good staff keen help . room comfortable , large large enough . initally give room 14 , right reeption lift window opening onto central service shaft ; loud fan run almost time may distrub ome ; ask relocate staff happy move we 4th floor , face street intrusive noise ; nice view across square . bed comfy shower excellent : hot powerful . complementary bottle water bed , satellite tv internet access kettle . the main disappointment breakfast . pay £ 12 continental style buffet . unfortunately food poor , dry croissant / pastry dry cheese meat . tea coffe good service slow somnolent . example , orange juice arrive toast coffee . container jam / honey smear side one 's plate bring buffet . plus side , table wobbly , noticed waiteress sort without we mention it . in summary , hotel comfortablegood location , helpful staff let breakfast . retrospect breakfast nearby cafe . 
 Feb 23 2009 	 central location homely comfortable tasteful London good 	 superb location Baker Street sight seeing , show , theatre , restaurant , cricket , football , list endless . 
 Feb 18 2009 	 Superb Service 	 enjoy stay week , staff ( hotel restaurant ) superb . bed bite short able sleep fine sleeping diagonal . stop consider Dorset Square Hotel next trip London year . thank . 
 Feb 18 2009 	 Le Petit Bijoux ! 	 little gem stay London ! everything personal . . room feel like stay guest room friend 's comfy home . lovely color , art work decorator 's touch pleasing fabric finishing . return several time enjoy stay time room . bright , light comfortable . ( upgrade appreciate much ! ) sky light bathroom .... PRICELESS ! love hotel location , ( 5 minute walk Baker Street tube , 10 minute walk Oxford Street ) convenience public transportation . ( get bus Stansted Luton airport right corner ) good value ! return . 
 Feb 16 2009 	 Great Week - end Dorset 	 spend week - end ideally situate hotel . the staff charming room cosy , clean functional . little attention make feel welcome , like bottle water bedside table every night . the atmosphere hotel english far want big chain like Hilton 's & amp ; Co. definitely great start discover London ! 
 Feb 3 2009 	 Lording Dorset Square 	 enjoy lovely night Dorset Square Hotel . play cricket , appreciate heritage Thomas Lord perhaps little girlfriend ! hotel intimate well - appoint staff friendly professional . free newspaper morning nice touch . all - in - all thoroughly enjoyable stay . thank ! 
 Jan 23 2009 	 lovely niche hotel 	 hotel really superb - bar food favourite name ' the potting shed ' thought really suit hotel . room beautiful high ceiling large bed lovely bathroom . service amazing staff would definately stay flash ! 
 Jan 22 2009 	 Happy Dorset 	 stay Dorset Hotel twice last 4 month . staff always gracious welcoming . bedroom charming bathroom granite heat towel rack . room always carefully clean housekeeping staff leave note day weather forecast . Baker Street Marylebone tube station block away provide east access rest London . room typically small London , well appoint size seem insignificant . always look forward see new room , since different . far , disappointed . 
 Jan 20 2009 	 welcome antidote many soulless alternative . 	 year pleasure spending second weekend January Dorset Square . set charming Regency square hotel ' façade quintessentially english interior ' décor . ' mixture period feature , classic piece antique furniture provide warm , homely feel make refreshing change generic appearance typify large establishment . keep hotel ' style staff friendly , personable manner welcome attentive . due wealth restaurant West End ' eat ' Potting Shed ' breakfast expect calibre , well prepare ample choice . visit purely leisure ( site seeing , sale shopping relaxation ) hotel well place satisfy three within easy walk distance . good host Dorset Square accommodate stay comfortable , satisfy trouble free . welcome antidote many soulless alternative , look forward next visit . 
 Jan 17 2009 	 Perfect Start New Year 	 stay girlfriend Dorset Square Hotel first time New Years Eve , arrival greet feel welcome Reception Team . glass champagne also nice touch well . evening dine Restaurant service attentive food exceptional . anyone want change , would definitely recommend Dorset Square Hotel . 
 Dec 18 2008 	 5 Star Service 	 stay many hotel Small Luxury Hotels ' Club ' not dissapoint . ' ve stay good hotel London ( Claridges , Langham tec . ) though bijou hotel perhaps can not match glitz , equal service . [ Nick new manager Dorset perfect host ! ] .The Hotel beautifully decorate real character great touch [ ' antique ' Roberts Radio bedroom - 302 ] . rather stay expensive generic mega - chain hotel ( Grosvenor square last friday ) try little taste England quieter , central , area town . thoroughly recommend . definitely stay . 
 Sep 13 2008 	 London 's good Kept secret 	 stay late July , Dorset Square Hotel London beyond expectation . first stay 4 * Hotel , want explore area London year stay Park Lane Icons . hotel completely mark want experience London , hotel . Regency Room fabulous view Dorset Square , large window open let afternoon breeze , comfortable bed , well design bathroom , cosy seat area . spend 2 week daughter 18 month old grandchild regret room size . the staff friendly attentive . reception area warm invite fresh apple set dark wood reception desk , complimentary umbrella time forget bring one room , ambiance English Townhouse . walk distance Marylebone High Street . the room keep immaculately clean , carpet good condition , turn service , complimentary bottled water night weather forcast card much appreciate . 
 may 20 2008 	 great hotel 	 stay 2 night last weekend ( Lords 3rd day test ) lovely hotel . would read negative review site consider pay ( £ 170 per night ) slightly worried . need not . hotel great , location great staff friendly . room delighful overlook square . ' m light sleeper neither traffic noise ( could hardly hear ) tube ( ... could hardly hear ) cause problem . I would definitely recommend hotel friend family hope stay soon . 
 Feb 9 2008 	 Standard 4 * London hotel 	 girlfriend stay Dorset Square one night midweek February , be inconspicous quite attractive building , close Marylebone Station within 20 minute walk Oxford Street ( shopping ! ) , be convenient location . book Laterooms £ 150 , not much London hotel . cheap either , mind ... initial impression good - nice change see staff London hotel actually smile ! reception well - appoint , although bet several people try check must nightmare try fit people - 's real foyer speak of . check - in fine go room . , ' ve stay small room , not think would quite small ! not zip - and - link bed would swear single room . ( Room 105 , way ) . still , although small room , clean , nicely furnish well decorate , particularly bathroom . complaint standard room ( size nonwithstanding ) , huge window give plenty light . , be quiet , 's middle London - want quiet stay elsewhere ! quiet , surprised clearly hear Underground run beneath we bed , acoustic bathroom really amplify sound . not get wrong , window not rattle anything , light sleeper might disturbed . note Underground stop run around 12.30am though , would not keep awake night . we not dinner hotel , go drink ( 1 drink complimentary way , nice touch would like see upmarket hotel ) . £ 32.50 three drink bit steep even London , give bar restaurant not really luxurious well - stock . suppose clientele get charge expense ! restaurant bar underneath hotel , make feel like be two foot train run beneath floor ! personally find amusing , slighty charming accidental feature , might bother other . would advise management spend little time staff training bar , needlessly ignore several minute despite spot , drink pour wrong measure , tell barmaid / waitress make drink anyway . feel little uncomfortable , though inconvenience , depite place near - empty . check - out fine hotel hold bag evening go day . overall would say nice hotel , well 4 * place ' ve stay London . be really good less corporate - like atmosphere , find London hotel staff actually smile blessing . seem like minor point , make feel like guest rather customer . 3657 day . go give Dorset Square 3 5 , think 's worth little well - appoint public area room , plus friendly staff , will give 4 , aware 's small book standard room , noise Underground . 
 Dec 5 2007 	 nice hotel choose carefully 	 follow review thread great interest family slate stay five night Thanksgiving . almost sick anticipation enter room . would small room ever encounter ? loud ? wear carpeting ? divine ? full antique charm ? luckily we , experience much latter former . book two room junior year abroad daughter one night well . experience three room . far good charming room 101 . would highly recommend room QUIET . street , quite roomy enough room two easy chair desk ( , huge comfortable ) luxurious bathroom ( though say anyone ambulatory issue might difficulty get shower ) bathroom huge . pretty cheerful decorate ton charm . room 100 MUCH small though cozy enough two . quiet , traffic . small bathroom . twin daughter get small COMPLETELY charming . one twin , one chair desk , small bathroom look park probably cozy spot ever see . poor roommate daughter nest like job . happy memory room . sure # catty corner room 101 . not breakfast package , not bother . two three decent coffee / tea pastry spot less half block away well small fruit stand decent grocery store . make feel like actually live love . sterile , isolated hotel feeling . happy clarify anyone . check back . 
 Oct 19 2007 	 delightful small hotel experience 	 2 part review , good badThe GOODGood location , easy get tube . local restaurant grab sandwich fast . hotel restaurant book dinner , make reservation early , go somewhere fun ! room delightful , cosy , tiny , adorably cute livable , charming fine material , marble , wood , good quality cloth furnishing , well decorate , write desk . staff helpful polite . manager competent friendly . bring family back enjoy hotel . love room look London street view get San Diego . park , nice , interesting . noise problem , double pan window climate control room . food good . sit area reception inviting , relaxed make feel English . send lovely bottle wine foul - up . wish take photo bathroom , room small , bathroom roomy marble granite . BadI book hotel via LastMinute.com pay full 3 week advance . early train day North arrive London 7:30 . go hotel drop luggage . arrive tell , politely , room night . call LastMinute , , hour later , solve problem , get double room pay , receive refund difference . fine room get . however , initially , go ship another hotel stand ground . 
 Oct 17 2007 	 avoid - especially Room 11 	 book Hotel.com pay £ 240 Superior room find check - in rate £ 180.00 hotel put rate room card - good start . , onward room make note number 11 . miss - right opposite Reception . bed big sheet clean , view awful , floor board room directly squeek , vibration underground evident , shower badly design - bend round screen get drench water needless say location room adjacent Reception noisy & amp ; intrusive . definitely would return - ever , well choice London . 
 Jul 30 2007 	 everything stay lovely 	 friend recommend Dorset Square Hotel we go romantic getaway London . since arrival , fault anything , entire staff friendly , helpful professional , know everything area , recommend we excellent play restaurant nearby Marylebone village . room outstanding ; face square , beautiful traditional english deco immaculately clean . love weather card turndown friendly smile housekeeping staff . 3 night stay Dorset ' want leave . definitely recommend hotel anyone want central location , tasteful , good value - for - money beautiful room knowledgeable always ready help staff . well do Dorset Square ! 
 Jul 7 2007 	 Small noisy 	 book 3 night , actually could not stand . room incredibly small moreworse noisy . can not understand people highly evaluate hotel . merit stay . strongly recommend choose hotel . 
 Jul 5 2007 	 Dorset Square disappointing 	 read review Dorset Square - realize word & quot ; intimate & quot ; code word small cramp . review 2 year old since price go service . 1 rude , young indian man check serbian bellman difficulty communicate get bag room . bellman friendly , reception man . totally refuse let we see room check . also , tell carpeting shot , badly stain . many place , disgusting . room smell mildew . hot a / c cool quickly . small , could not store luggage walk around bed . bathroom window face busy street people congregate . plaster peel several place . addition neighborhood way somewhat iffy . maybe 3 star , give price describe , assume 4 star , whatever really mean . try accept room half hour , call Goring leave . charge night , bother we . however , gore pleasant end trip high note . honestly , Dorset Square dump . need refurbish well staff recommend . 
 Jul 4 2007 	 great find amazing location 	 want say much love Dorset Square . perfect location thing wish see . staff helpful friendly . room stay face beautifull little square really like atmosphere hotel , furnish antique , yet clean airy . would recommend hotel anyone visit London return well . 
 Jun 28 2007 	 Mother - Daughter Stay 	 stay Dorset Square Hotel bit high price Wimbledon season summer 2007 . first greet concierge - reception loss credit card , take elevator fourth foloor enter tiny room either yet see . bathroom oversized room make feel closterphobic wall surround , immediately call go & quot ; check & quot ; room , neither could live room $ 500 dollar night . eventually , move across hall ( room 406 ) slightly big rom beautiul veiw park . enter follow day , room stay cool dream - like bed leisure bathroom , , bathroom plugs blow dry / straighting hair . house keep extremely kind & amp ; caring , ask prefer time clean room . everyone beautiful smile face . , upon order room service morning , discover & quot ; free & quot ; breakfast one gross experience either live . Everytime order room service , would forget something- silverware whole meal . finally , eager tipping slow ( ) .You sleep deprive car zooming ( see sunrise curtain exactly 4 A.M. ) hear man next door pace night chat phone wife ( acuse affair ) like sit room . location fair , short walk Oxford St. , amazig shopping experience . plenty wonderful people surround by . our central phone ( one bed & amp ; bathroom ) break , th conciegre ( last night one week stay ) take time fix . overall , time absolutely phenomenal- suggest quanit , overprice hotel anyone else . price , goodnight sleep require . have wonderful London stay . 
 Jun 28 2007 	 much traffic noise 	 stay Dorset Square Hotel past 6 year . Tthe experience usually enjoyable . however , trip put room back hotel overlook main London road . morning 4:30am truck bus start come somewhat light sleeper could sleep anymore . morning ask shift room front hotel . desk clerk say & quot ; problem & quot ; return dinner room . expect another early morning tomorrow truck begin roll by . I recommend stay hotel . english charm , seem care sufficiently pay guest . shocked treatment -- numerous people check today could switch room . 
 Jun 13 2007 	 sweet individual 	 book review feedback . look relatively cheap decent hotel 1 night meeting . get reasonable rate [ -- ] . v convenient Marylebone . welcome reception friendly professional . stay 401 , not want go meet ! room quite small light airy . bathroom skylight nice . bit road noise , tired not bother . not eat menu room service look ok . nice thing order breakfast go , pick reception leave day - ok will not get full English , get anything else apple water bacon butty tea ! highly recommend ! 
 May 21 2007 	 Sweet Charming 	 stay Dorset Square special promotion restaurant Potting Shed . the hotel sweet lovely room overlook square . decor quite english chintzy although taste , do well look stylish . nice touch like umbrella could borrow ( ! ) come turn bed leave weather report next day . bed abd room super clean comrortable nice marble bathroom power shower . we eat restaurant food really exceptional reasonable . complaint would quiet , despite almost full guest . quite loud party 4 feel constantly say sshhh offend diner . really need add music add something stop noise reverberate every wall . really fautless food service atmosphere not quite right restaurant yet . 
 Apr 19 2007 	 Dorset Square dingy poor service 	 hotel accommodation modest room need serious updating . carpet room completely wear bed spread dark stain across . staff neither knowledgeable helpful result , hotel suffer . overall , disappointed would stay Dorset . 's expensive worth cost . restaurant also modest food fair . 
 Apr 15 2007 	 Central London Hotel - Fair Price 	 stay 3 night Dorset Square - experience - well:1 ) London general expensive hotel guess Price / Quality ration can not really compare . however rate ( 130 £ pr night ) & quot ; OK & quot ; 2 ) Noise level : hear form & quot ; train & quot ; ( underground ? ) - light sleeper3 ) location fine ( close bondst station , within ( long ) walk distance shopping etc . ) : ok experience - however special & quot ; luxery feel & quot ; - ok , comfortable painless middle London . fine - may consider stay . 
 Feb 8 2007 	 Kerb appeal 	 nice look hotel kerb appeal , safe area . book last minute standard dble price deluxe , book . reception staff pleasant & amp ; helpful arrivalvery nice room , compact 's pointless ' Vegas suite ' be live ! well decorate soft bed smart bathroom . room ; hairdryer , robe , minibar / fridge , safe & amp ; even umbrella ! thing miss kettle , rustle minute helpful staff . this hotel minute Baker street tube access London 3/4 different tube line available . there also Tesco express way t.bag & amp ; milk ! ! negative room hot . I like cool bedroom night despite turn ac 16 still hot . would recommend use . 
 Jan 6 2007 	 worth money 	 travel Europe spend quite bit money room pleasantly surprised value hotel . rate inclusive taxis breakfast worth price . breakfast excellent . many choice staff quite pleasant even though quite new inexperienced front desk . help get we good seat show try recommend restaurant although inexperienced . room small , nicely do antique period furnishing . bed extremely comfortable bathroom well equip . love sleep . quiet comfortable . one problem -- need replace carpeting hallway . old smelly . room though . clean . restaurant good price fair hotel London . London expensive actually find hotel real bargain . also like Marlybone location -- easy get around city . 
 Oct 8 2006 	 Small Nice 	 stay Dorset Square September 2006 enjoy stay . first expect north american style hotel room look someplace different hotel . hotel old great shape room small nice ( clean , good bed , hot shower ) . location pay walk distance major attraction , subway stop , restaurant . night hear sound light sleeper , London feel remove great . 20 min walk major part Oxford Street lot great shop restaurant . staff mainly french fairly helpful depend ask . problem get we Theater Tickets trying get good restaurant recommendation hard . around corner good pub Alstop Arms street great Indian Restaurant ( good curry year ) . good hotel room small ! price good value . 
 Sep 9 2006 	 do not ' bother breakfast 	 room next machine roof forget good night 's sleep . Buffet breakfast ( £ 12.50 + £ 1.50 ' service ' ) cereal , fruit , ham ( 1 sort ) , cheese ( 1 sort ) , bite - sized pastry , er ... that s be it . night porter offer alarm call , ask 7.30 , good job awake already ( see first point ) 
