great 	 SF stay Holiday Inn around corner . opt Express price include breakfast : - ) amazing breakfast . plenty eat set we day . the bed truly amazing , comfortable choice pillow too . it great reception area could actually sit - many hotel not day . also conference facility barely noticable . hotel tend forget ' holiday ' guest do not . staff encounter friendly , polite helpful . the 2 pc 's + printer useful item . the room spacious ample space bathroom . great place stay go sightseeing - also purchase 3 day muni pass ( $ 18 ) - great saving - ( one cable car $ 5 one way ! ) good shopping / shopping centre easy get . 
 Aug 2 2009 	 great location lovely hotel . 	 stay 9th 12th July really good time . location perfect tourist bus , tram walk noisy feel really safe friendly . room comfortable , big enough clean . breakfast tasty filling . staff helpful . go baseball game great fun able walk hotel . lovely long walk along wharf . tour bus give good overall impression city wrap be upstairs go Golden Gate Bridge ( lot small imagine ) really cold SF , especially morning mist burn off . Alcatraz well worth visit Union Square shopping wandering . cheesecake Factory Macy 's nice , portion huge though . would love return San Francisco . 
 Jul 27 2009 	 Nice Fantastic 	 husband choose hotel base location Fisherman 's Wharf / Pier 39 area . convenient touristy area , 5 minute walk Fisherman 's Wharf . the staff friendly , hotel clean breakfast nice . however , room small , window look enclose cement area . open curtain let light , guy room across way stare room . needless say curtain stay closed . bathroom also small , felt cramp . although high - speed internet WiFi least room cell phone get service , sit window lucky get one bar . , close place want see clean not great . 
 Jul 26 2009 	 Great Location 	 stay July19 - 22 . experience positive . bring laptop use 2 complimentary computer lobby . sometimes wait -- generally not long . complimentary breakfast average get early . quickly learn July / Aug warm month SF . temp probably +10 , cloudy & amp ; windy . good . go Alcatraz . not tix ahead time concierge Holiday Inn street advise go 7 am & amp ; wait line , will likely get 9 am departure . work . crappy weather , also visit Science Museum - worth see . 
 Jul 22 2009 	 Pleasant Surprise 	 travel San Francisco frequently favorite place stay . however , make reservation Holiday Inn Express North Point , Fisherman 's Wharf ... quite spur moment Tuscan Inn unfortunately could meet need . pleasant stay ... first contact hotel staff enter hotel , service superb . young lady desk , expect baby ... not recall name , highly professional , extremely pleasant , quite honestly one nice front desk encounter ' ve ever ... ' ve stay many hotel San Francisco . delightful , coworker professional delightful well . the entry large , lobby tad unavoidably dark , well appoint spacious several grouping comfortable furniture center fireplace . underground parking access entry . sufficent elevator , floor decorate cruise ship atmosphere / motif porthole style window railing . quiet , spacious hallway . room , king deluxe , upper floor , face inside . room small fair size , typically small San Francisco hotel room , would not want room small . disappointment room inside face view . building accordione therefore , look onto another wall building , small narrow outside utility corridor . ... tad claustrophobic , ignore aspect . room well insulate , quiet , newly decorate , lovely bathroom ... small granite counter , large floor space bathroom dress area , lovely towel . small mirror , cruise ship motif , smallish granite counter sink . nice linen . an add plus key safe room valuable . smallish closet mirror . usual amenity . of course value Holiday Inn Express morning breakfast . well stock surprisingly varied item ... cereal , fresh fruit yogurt hot entree french toast , scramble egg sausage numerous beverage choice ... plenty small table comfortable seating , even around fireplace . pleasant . free readily available internet private alcove lobby , research , web surfing , airline boarding pass . the hotel locate one block Muni Stockton 30 bus stop Columbus half block Muni 47 ... North Point Van Ness line . block two cable car , Fisherman 's Wharf , easy walk Irsh Coffees Buena Vista . : ) well , close Barnes Noble , Safeway , car rental agency ... safe area night . altogether satisfactory stay , even mild claustrophobia look window . : ) 
 Jul 21 2009 	 Loved San Francisco ! ! 	 * * house break last week camera steal picture . heartbroken ! anyone share scenery picture hotel , would truly grateful . pay . thank ! email melo.joe @ hotmail.comgreat hotel price . would certainly recommend anyone . staff great helpful . knowledgable . hotel clean ( someone always clean - reception area , hallway etc ) . location great - within walking distance Fisherman 's Wharf . love walk also walk Financial District , Golden Gate Park , Pacific Heights , Castro . free breakfast awesome muffin banana go snack later . small complaint view room , brick wall , much time spend room ? otherwise , complaint . would definitely stay would recommend hotel everyone ! 
 Jul 16 2009 	 would stay .. 	 family travel California vacation year . San Francisco decide take advantage free breakfast , good location , good rate , free wi fi decide choice go hotel . room clean , room side view side hotel oddly shape . possible try get room view . room nice get room double bed . bathroom tiny shower take time get hot . breakfast complementary family like sleep little get breakfast limit choice thing get use . get early . wi fi room plug still ok lobby wireless . like hotel Fisherman 's Wharf near cable car thing . like hotel service okay ask extra towel phone towel come 1 hour later service ok good . defenitly stay hotel . 
 Jul 16 2009 	 Great Location 	 Holiday Inn Express Fisherman 's Wharf ideally locate near Fisherman 's Wharf , Pier 39 , hop - on / hop - off tour bus stop , beware valet parking cost $ 41 / night guarantee space garage car . arrive July 4th tell garage might full . luckily though parking attendant check say one spot leave . sure would do not space whole wharf area jam pack 4th July firework traffic ton bag . hotel feature art deco style nice sized room sofa bed min refrig . breakfast typical fare crowded definitely stop serve promptly time list , not late come breakfast . dinner eat across street Knucles impress excellent service restaurant Hyatt wander lobby . 
 Jul 12 2009 	 good location / standard room . 	 previously stay holiday inn usually experience similar level cleanliness etc . hotel exception . one drawback give room wharf side main building prove noisy night . convenient tourist term 's proximity tourist site . pay parking however say hotel San Francisco . would recommend place . 
 Jul 11 2009 	 great location 	 hotel great location near everything . room ok relatively spacious . make sure room Beach Street block , , noisy tram go past , keep walk main hotel use pool , collect car , little parking block . 
 Jul 9 2009 	 decent place stay great location 	 stay 4 night ( 6/29 - 7/3 ) . cab hotel $ 42 w/o tip . Airport shuttle hotel airport $ 15 person w/o tip . driver prefer cash ( pay w/ credit card hold everyone else need drop airline . ) location near Fisherman 's Wharf excellent . walkable everywhere ! ! 3 car rental place 5 - 10 minute walk away . rent car day trip Muir Woods Napa / Sonoma . $ 71 day Enterprise ( provide exact direction map ) - could drop car hour . great upscale sport bar across street dinner - knuckle . good food & amp ; happy hour . small room - seem small room cruise ship . bathroom big though w/ bathtub / shower combo . queen size bed view room roof . air conditioning never really work . put way first day never cool . not bad though since 's cold . tv 7 8 channel . know not room lot , still . 2 ESPN last 2 day , one channel freeze . good breakfast . lot choice , lot table eat . hot coffee , juice , delicious ( ! ) cinnamon roll , omelette , scramble egg , bacon / sausage , toast , bagel , english muffin , cereal , banana . Front desk staff helpful pleasant . public transportation San Francisco great . tip : ride cable car , line turn - around long cold . buy ticket ( $ 5 ride $ 11 day unlimited ride ) jump intersection . pay $ 5 jump . ride Fisherman 's Wharf Union Square walk back . wear layer . buy $ 10 San Francisco fleece street . always - windy , night cold . wear sneaker . hill tough walk wear anything else . Alcatraz must - see ! Bay Quackers fun . day - trip city , be worth . Napa / sonoma beautiful warm . Sausalito also nice trip across Golden Gate . would stay try save $ . pro : clean , convenient everything , friendly service , good breakfast . con : small room , poor tv selection , air not work , horrible view . 
 Jul 7 2009 	 Great Family Hotel 	 stay one family suit 2 night . family 5 require room least 2 full size bed pullout sofa . sometimes require book 2 room , family suite offer everything need , good price . even provide rollaway ( extra charge ) give kid even sleep room . hotel conveniently locate couple block water Fisherman 's Wharf nicely appoint . suite roomy , clean comfortable , staff friendly . negative charge $ 50 per day ( include tax ) park underground garage -- little pricey . overall , be look nice 3 star hotel good price , stay be visit SF - especially 2 kid . 
 Jul 1 2009 	 Fabulous hotel ; perfect location 	 spend 4 night hotel must say wonderful . great location . block away chaotic touristy section Fisherman 's warf noisy . clean , staff super friendly , right across street SF cable car around block trolley head warf straight downtown . also near two starbuck , Barnes Noble , Rite Aid . also really short walk italian section town Columbus . really nothing bad say hotel except wacky chandelier lobby . decor really nice like big vintage poster photo hallway . place stay would like view though . room face inner courtyard . not problem since spend vacation outside hotel room . would defiintely recommend hotel people travel friend , family child , senior holiday disability . hotel extensive ramp large elevator . hotel also book $ 15 shuttle airport . 
 Jun 28 2009 	 perfect ! 	 come back week 's stay . want , inexpensive , clean , comfortable room good area . close enough ( 2 block ) Fisherman 's Wharf convenient everything city , far enough noisy . friendly , helpful staff . include hot breakfast every morning real plus . I would recommend hotel anyone , would definitely stay . 
 Jun 28 2009 	 great room good value money 	 room hotel good condition well maintain appoint . although busy , complimentary breakfast great way start day contain something everyone . reception staff helpful able organise half day stay advertised rate . extremely convenient give family 10 pm flight San Francisco . 
 Jun 27 2009 	 great place stay ! 	 book mini - suite overlooking wharf . room large clean . distance , could see Alcaltraz . one window open allow sound area enter room . love feature . hear street car , sea gull , traffic enter room . night , quiet . location street car bus could beat ! near hotel Denny 's , Walgreens , Barnes Noble , Safeway kind tourist shop . stop 711 store buy lottery ticket $ 100 ! hotel staff knowledgeable bus take and/or good get area . free breakfast consist egg ( scramble omelet style ) , sausage ( link patty ) , bread ( bagel , english muffin , white , wheat ) , cereal , banana , milk , yogurt , juice , coffee , sweet roll . breakfast area get crowd especially around four toaster . hey , free breakfast ! not mind wait . downside tv channel . settle evening , difficult find anything watch . maybe personal taste may helpful . demand movie $ 13.99 each . bring pen , guess hotel recently stop put pen room . free internet access room . definite plus ! really free ! lobby , near business area , way get boarding pass . not use sure to . Definite would stay ! 
 Jun 25 2009 	 great location comfortable clean room nice stay 	 planning trip Tahoe decide take side trip San Francisco , since would never . stay hotel 2 night mom 22 year old son $ 125 night AA rate . safe ( 73 year old mom walk back room Wharf night fear ) . block cable car switch , 2 block wharf , 3 block Lombard Street . staff pleasant helpful . breakfast gourmet crowd , hot fresh free . parking expensive everywhere city . fly rent car leave Tahoe . need San Francisco 's excellent public transportation system . go everywhere 18 dollar three day transportaton pass . wonderful stay- economical . bed comfortable . fitness center , 2 computer internet lobby wire high speed room . spend money luxury , mean much time spend room vacation ? 
 Jun 25 2009 	 Excellent hotel price 	 stay 5 night last Dec ... concierge could not helpful nice . Convenientto everything , walk Ghiaradelli Square , Fisherman 's wharf , take cable car , boattrour around alcatraz , Room , clean , nice , plenty towel , breakfast include exceptional , well Hampton Inns ... would recommend hotelto anyone everyone look forward come back ...... 
 Jun 25 2009 	 stay elsewhere 	 check check could not find anything excite . stay San Francisco many time , first last time . get stick Beach Street section , second class good . room look onto people 's foot walk past , noisy quite gloomy . completely lose power 3 hour Saturday night , explanation , apology , suck . would recommend stay anywhere else . bright side - concierge extremely helpful , front desk staff on - call Manager could lesson treat guest . 
 Jun 25 2009 	 great time Fisherman 's Wharf ! 	 recently stay overnight Holiday Inn Express absolutely love . hotel clean , look new everything might need . also GREAT deal area . 2 block Pier 45 street area attraction like Pier 39 , Ghiradelli square ... quiet night , problem get good rest . breakfast morning nice surprise - egg , sausage , bagel , cinnamon bun , coffee , etc .. re - stock regularly throughout morning . 9:30am though close door second . : ) room bit small great bed , nice tv decent sized bathroom . even get room 10:30am instead usual 3 pm check - in - think nice touch . parking expensive ( $ 41+tax ) , typical SF , many people not realize time check car 5 pm next day . able park car 10:30am keep 5 pm next day ... in / out privilege well . noon check - out time plus , could sleep late want still get ready leisurely fashion . one downer we pool - Holiday Inn right next door one Express guest use . stay sure ! 
 Jun 23 2009 	 excellent value clean helpful staff 	 stay elderly relative 4 night . breakfast inclusive good . room bathroom clean . late checkout problem . conceirge service excellent . hotel within 3 minute walk Wharf area plenty local eatery close . 
 Jun 20 2009 	 usual Holiday Inn Express Standard 	 stay hotel 3 night use base explore sight . usual Holiday Inn Express standard , know get . room decent size , quite date decor , furniture bathroom , time spend room really matter . free Wi Fi room . breakfast basic ample . usual selection drink , toast , pastry hot food . location wise , 10 min walk Pier 39 site Fishermans Wharf . also walk Lomabard St , Coit Tower Downtown hotel . downtown good 45 min walk steep hill way , not mind this . we pay around ! 00gbp night hotel , pretty expensive give basic hotel , hotel San Franscisco expensive . overall would recommend hotel want base around Fishermans Wharf . visit San Francisco would not base Fisherman 's Wharf , visit 15 year ago think quite run touristy - tourist price ! 
 Jun 12 2009 	 great place visit 	 return san francisco spain , stay holiday inn express , excellent hotel great breakfast helpfull people charge . san francisco great place , fond americans past find friendly city , nationality helpfull especially locals.we ate , drank , visit place recommend lad lassie forum great time meeting chat sundry , include busker cable car workers.we recommend buena vista , coffee , still taste now.the sea food fisherman wharf second none , wipeout bar clam chowder ! worth try , fill quick luch break.all bar good include fiddler green ( spot irish ) colombus street.the rip come & quot ; jacks bar & quot ; front near shopping centre . charge double price bar.to advoided.we certainly would return second go chowder sea food course people . 
 Jun 6 2009 	 Great Hotel 	 book hotel base review Tripadvisor . hotel clean look new . request quiet room get large room overlook internal courtyard quiet clean . housekeep good job every day . there good choice food available breakfast every day not busy . hotel great location , walk distance tourist attraction . really like hotel would recommend anyone , visit San Francisco hotel would choose . 
 May 30 2009 	 nothing special major complaint 	 be always hard find good value hotel big city , not expect wowed hotel , upon stay 3 night , safely say nothing wow we . however , clean , service plesant helpful ( except horribly rude old man night shift housekeeping ) , location pretty good . room small excellent value , new - look basically comfortable . free hot breakfast nice theory ( , honest , one reason go hotel ) execution something madhouse , & quot ; hot & quot ; food really worth chaos surround . jostle wait line use toaster leave bit tired ' ve even start day sightseeing ! however , fair , stay hotel memorial day weekend , imagine see busy . room rate bite lower , would enthusiastically recommend place . major strike . 
 May 28 2009 	 absolutely Perfect 	 stay 6 night . arrive 11 am . room ready let we check early . great , give we time relax little flight hit street . location perfect . 2 block wharf . less two block trolley dable car . walgreen within block , Safeway Trader Joe be within two three block . hotel incredibly clean . always someone clean lobby public area , room clean check always perfect evening return . large room stayedin adequate , bathroom always plenty hot water . read reviews bed hard , think comfortable . not view room , alright , , quiet . trouble sleep . continental breakfas twa good , although time leave bagan get little repetive . wonderful job keep food time . not know hotel full almost entire stay . staff good . anything ask go way help we . one night air conditioner not work well . report front desk next morning . return evening cold enough hang meat room cold want rest trip . travel companion Frisco stay nearby Hilton . say Holiday Inn Express nice probably even nice Hilton . want nice clean place stay near Fisherman 's Wharf , not think beat Holiday Inn Express . convenient location , clean hotel room , friendlystaff win combination . 
