sparkle 	 Good point Hotel : Location . the Room - excellent size comfortable bed . nice view Jubilee Gardens quiet . good bathroom tea tray always welcome . Nice Bar pleasant view London Eye . Helpful Concierge ( one . helpful ) breakfast buffet also good breakfast staff efficient pleasant . not good point : room ridiculously far away lift - talk 7 minute walk . foot injury struggle brisk trot require . one previous poster state wished golf buggy scooter ferry we down . secondly check staff brusque lack charm . London graduation ceremony would think way funeral , dour . Marriott Rewards membership , sometimes staff check upgrade . however occasion book another website staff attitude effectively reflect this . not welcome Hotel wish pleasant departure spend small fortune accomodation . the ATP tennis tournament O2 many resident either tennis player supporter . get impression part troope staff do not give toss . addition , lift cover advertising tournament find tacky bizarre . completely spoil ambience beautiful old building . we find one give we direction concierge . absent one morning ask doorman direct we Covent Garden vaguely point sky mumble . attempt get taxi via staff door useless well luck public street . acceptable 5 star hotel . my final gripe oh pay £ 15 day wi fi ( concierge try convince free ) go Starbucks coffee get free ? ? always stay Mariott ( work many year ago ) know extremely high standard training require staff always apparent Marriott stay . however next occasion return one another London . 
 good even kid 	 stay 3 night little man forst birthday say go well hotel near perfect . food brill , service perfect , clenliness perfect , describe . issue distance lift room - miles pram tough lovely view London eye jubilee gardens can not really complain . great location dead centre London . 
 Oct 5 2009 	 want best - 	 fortunate regular guest County Hall past 4 year really time share outstanding hotel rest . avid theatre goer come town least 8 time year . mixed success hotel 4 5 star standard purely chance find County Hall . first minute first stay realise find real diamond never stay anywhere London since . County Hall everything - location , elegant architecture , Marriott group standard , comfortable room , leisure facility , excellent restaurant offer wide choice value money price kitchen say - & quot ; 's menu ask prepare & quot ; . however make County Hall quite unique staff . never since see impressive dedicated team people work together unit sole aim keep thi guest happy . quite evident ethos come top hotel . respect staff level come clear vision - good . competitive way self respect pride hotel . wonderful mix nationality level make team fuse together array strength always deliver .From doormen senior management whoever hand help job . knowledgable conceirge , bar restaurant staff always go extra mile make sure want disapointe . arrive County Hall , safe knowledge matter- matter hotel full brim , somehow someone know instinctivley require service help arrive , without fuss hurry , person matter particular time ! even occaisional celebrity around matter . give try - will not disappoint 
 Oct 2 2009 	 terrific Stay ! 	 enjoy 5 night hotel two child age 9 14 . sprung executive floor - well worth extra money . breakfast well - supply continental buffet access snack drink day make worthwhile ! ! ! Big Ben view room , clean spacious ! note family : tv 's many channel . luckily , see another review child prepare advance ! also , McDonalds Thames side building , exit hotel lobby , come back door . street Starbucks Subway , well family friendly restaurant ! ! hotel easy walk Westminster Station , Parliament , Westminster Abbey , Big Bus pick right front hotel . overall , great location give we easy access city ! also recommend walk along river away hotel . shop restaurant fun fountain kid go water shoot ! 
 oct 2 2009 	 DISAPPOINTING ! 	 stay Marriott County Hall part 21st Birthday weekend , extremely disappointed ! receptionist rude unhelpful . QUOTES & quot ; may leave bag perril & quot ; shout across reception front many people stayng hotel & quot ; pay room full evicted room 6 pm sharp ! & quot ; refuse pay full amount room without see first . upsetting start mean memorable weekend cherry top bath party wish relax dress gown friend discover gown filthy ! complete hair neck dirt gown yellow armpit ! disgust horrific stay . 
 Sep 29 2009 	 fantastic location great stay ! 	 book room river view wife 's 40th birthday - confirm hotel would get room two double child we . allow check - in early 12:00 , ( guest wait room observe ) . hotel promise good room , surpass give we room top floor , balcony overlook Thames view Houses Parliament London Eye - perfect ! room spotless well appoint city centre hotel . ( ' m Marriott Gold sure much influence ) .After would Eye , return room find Champagne Strawberries wife - wonderful surprise appreciate . the child love 25 M pool . check early , also grant late check - out 1400.the Executive Lounge nothing special , not alcoholic beverage available , understand honour bar . breakfast lounge adequate . 
 Sep 25 2009 	 well situate 	 well situated conference QE2 conference center easy walking distance . next London Eye across Big Ben Parliment . clean , quiet , elegant . room trouser press great . free internet . Bummer . 
 Sep 8 2009 	 Marriott Standards . 	 Internet Access / Wi Fi 15 pound per day . upgrade executive lounge necessary want coffee pot available . also one computer use . food offering meager . small analog tv 14 channel . management responsive . nice room convenient location sure worth . 
 Sep 2 2009 	 fabulous hotel ! 	 love everything hotel . great food , drink heart London . excellent gym . 
 Aug 29 2009 	 great hotel- mobility problem 	 & quot ; head & quot ; hotel accessible entrance front door . need enter , security guard must open door separate location lift . one must make sure security round change . time , however , guard pleasant available help . one cellphone , one call ahead assistance . the problem access pool hot tub- one need climb stair available . bad lift place use amenity . the buffet breakfast wonderful staff excellently train assist . also , pleasant attitude all . Wish Marriott would make hotel truly accessible . otherwise , great stop lively part London . 
 Aug 25 2009 	 disaster 	 hotel wonderful location . first , satisfied two room , second night , mice child 's room . two morning , move different room . assistant manager tell kid could free bottle water free internet service one day . next day , go three assistant manager night manager would speak . assistant first offerre , compensation , free breakfast ( already include ) 20,000 Marriott point . take lot negotiate manager finally agree charge room night . gracious . two night later , go theater . order ticket concierge four month ago . arrive theater , seat occupy another family . manager blame Ticketmaster mixup meanwhile , instead fifth row orchestra ticket specify , end next last row balcony . I finish Marriott forever . 
 Aug 21 2009 	 good hotel London american stuff 	 let first say british guy spend 11 yr USA go back UK ten day visit . become fully americanised ' write feedback Americans might visit England . I travel throughout USA , mostly west coast – Sacramento , San Francisco , La , Seattle lot small place way . at one time Marriott Gold club member . I plan trip UK " Mrs ' " six month . hestitate book Marriott County Hall one expensive hotel London . call Marriott reward number ask much money would pay stay three night County Hall use reward point . $ 350.00 wow ! find . buy thousand reward point use book three night riverview room County Hall . later decide stay one night London book another night , ( also riverview room ) , credit card . our flight arrive early a.m. take shuttle Hotel . arrive around 9.00 a.m. room ready . check remind Hotels England different mentality USA . Hotels " UK " consider many thing " extra " " extra " fee . County Hall exception . expectation room already pay would . ! apparently special " extra " fee riverview room include original price . long story short pay extra fee , ( 50 GB Pounds per night ) . also offer kind access special lounge offer afternoon Hor ' Douvres – worth since hotel locate central London get anything want . expect breakfast include room rate either , 50 GBP " upgrade " include breakfast two first three day fourth . Hotel County Hall breathe thing british . doorman , bell hop etc wear period piece suit complete bowl hat . expect hear say " Good Morning " educate London accent . part fun staying ! leave bag Porter go discover London . the Houses Parliament , UK version White House , one block away across Westminster Bridge . take walk along " queen walk " , public walk / access way front hotel along River Bank . area would something like british version Embarcadero San Francisco come complete Salvador Dali statue , Dali Museum , Movie Museum London , London Eye attraction . open top bus tour stop outside hotel always cab wait take anywhere City . river right riverfront boat tour leave right outside . we ' want wait line London Eye go explore whatever could find walk distance . one minute later take photo ' outside Houses Parliament . note safe area . first time many year see policeman walk street pair . go tour Westminster Abbey ask direction good fish chip shop . 10 minute later escape rain get lunch laugh Halibut . first real fish chip ' ten year . after lunch go back hotel go room . I say american standard room small , London Hotel room small guess big room have . the view room exactly like view show Marriott Web Site . web site show good possible view . say view pretty good . look towards London Eye peer window see Big Ben , ( block away next Houses Parliament ) . look Queens walk see beautiful view City London . air conditioning standard anywhere UK room heat AC . heater adequate nothing write home . high speed internet available free ? another UK " extra " tv work ok small , ( 19 inch ) , cable small selection UK channel . marriot 8 point Hotel expect flat screen – selection UK channel anything worth watch . web site promise " Pay Movies " expectation would something like standard USA Marriott pay per view movie ; ie ; dozen movie box office recently release , one fee . another one thing UK . County Hall ' version Pay per view choice Movie movie b Mondays Wednesdays , movie C Tuesdays Thursday , Movie E F Wednesdays Fridays . choose movie find watch start time , usually 8.00 9.00 p.m . pretty strange set choice two movie per night . since violent / scary movie never use pay movie . room service good . eat room every night . yes folk famous Marriot Burger Course Fish chip good . whole room service food good wife love it . bed standard hotel bed nothing special . think Marriott Class 8 hotel would really good bed standard Marriott Courtyards USA . uncomfortable bed nothing write home either . the room soundproof street sound corridor sound . hear bell Big Ben chime hour . evening couple musician play along river bank could hear music room . us part charm place music stop around time club close door , ( around 10 11 p.m. ) try free breakfast one day find everything might expect Marriott , full range fruit , egg , bread , etc plus la carte service traditional english breakfast . good ! wife love hotel . describe good hotel ever stay at . the location good want see sight London truly british experience ' expect anything american . 
 Aug 14 2009 	 great view location room quiet ! 	 husband , 21 year - old son & amp ; stay County Hall 3 night ( reward point ) first visit London . check simple give room great view Thames London Eye plus free breakfast & amp ; afternoon appetizer . room one room either way , would view Big Ben , Westminster Abbey & amp ; Parliament keep mind ! two conceirge talk absolutely great . disappoint restaurant recommendation & amp ; tour suggestion ! not expect egg , bacon , gravy , hashbrown breakfast enjoy great croissant , cereal , fruit , cheese & amp ; meat . staff kind , accomodating & amp ; courteous . room good size , quiet despite people walk along river guest , bed comfortable wish queen size instead regular . typical hotel ... one never forget ! 
 Aug 13 2009 	 great location large room great staff 	 stay twice 12 - day period , begin end tour . stay use Marriott point , treat upgrade suite first stay , large room sofa sit area second stay . staff extremely courteous , accommodate , provide individual attention guest . room bed comfortable . concierge lounge small could accommodate guest visit morning . beat location -- right across bridge Big Ben , Westminster Abbey , Parliament , river cruise Tube stop . like hoard tourist , however , hotel . expect large crowd leave safe confine hotel . 
 Aug 10 2009 	 big ben - bong 	 family stay hotel 7th + 8th AUG . see hotel various stay london think would give try even although £ 240 per night stay room upper scale budget .. hotel expectecte price top end cleanliness ant river view big ben lovely . whole embankment area mess rubbish bin due safety reason , si hard enjoy main scenery distraction always . fronnt hotel area picnic bench lovely sit enjoy reaxe drink lock till late find quite noisy . the bed lovely faciliitie room , considetation book hotel fact BIG BEN go every 15 Minutes even night find hard get good night sleep . overall hotel enjoyable lotof hotel london cheeper every bit good . 
 Aug 9 2009 	 Absouelty Best Hotel stay ever ! book expedia make sure confirm ! 	 hotel good location london , will not find perfect hotel ! worth money ! nice long boardwalk london eye foot away ! westminister stop close hotel easy way get around . view hotel breathtake bigben thame river right window ! room perfect condition , however wish tv channel day forget tv ! reason give serivce four star trouble check , book expedia apparently expedia & quot ; request & quot ; room , confirm . however , lucky end get room . good pick stay london ! 
 Aug 8 2009 	 rate 	 recently stay marriott hotel county hall.overall enjoy stay think rate . room basic need however bed small .The shower nice . also go pool good pool ever in.i would go ! ! ! shocked see price breakfast - roughly £ 30 2 slice bacon 1 egg ! give one miss go breakfast cafe road . last year stay premier next door find cheap confatabe.dont waste money ! 
 Aug 3 2009 	 LOCATION LOCATION LOCATION . 	 spend five night Marriott , County Hall use reward stay . able take advantage reserve four get fifth night free . Marriott wonderful way . experience problem . staff helpful friendly . room clean supply 120V outlet . upgrade take advantage free continental breakfast executive club room , supply snack , soda water throughout day . hotel beautiful pool area spa . ( use spa service ) really wonderful Marriott , locate across Thames Parliment within walk distance two subway station . could look window see south bank London Eye . close many restaurant activity . would highly recommend hotel . 
 Aug 1 2009 	 wonderful Marriott 	 great location , great bar . close London attraction . easily reachable Heathrow train+ tube 
 Jul 23 2009 	 Peace quiet centre London 	 follow unpleasant train journey - electrical problem cause hot stuffy - follow hectic taxi journey Euston Station bliss cross Westminster Bridge turn Marriott . another world away hectic central London Peaceful , relax cool . luggage vanish taxi arrive room via cheerful polite employee . check quick efficient . room view Houses Parliament , must say possible view ' eye ' outside , watch curtain , along efficient heating cool system . spacious clean , exceptionally quiet disturbance - minor one - cause room door allow bang shut guest . fine room odd point non flat screen television , hardly worry we probably anyone else . water hot bath fill quickly . along powerful shower meet wife requirement . however must say one occasion empty water bottle clear away clean , minor picky find fault fine hotel . executive lounge , access , godsend soft drink available day along snack certain time . internet available lounge . breakfast fine good range item available expensive include cost . overall find hotel slightly expensive well worth cost due high quality friendly staff calm influence central London . always stay Marriott London give maximum rating drop one star due relatively high cost . 
 Jul 20 2009 	 stay Premier Inn- right next door ! ! 	 Perfect location , guess may justify plenty arrogance attitude , small room , hefty price tag . stayed last night London ( birthday ) . huge let ! not make mistake , stay next door 1/2 price enjoy similar amenity w/o major attitude . 
 Jul 11 2009 	 overrated kid 	 First will admit huge mistake , think booked room $ 230 , 230 pound . pick hotel location pool . arrive London kid ( 8 5 ) 7 am , tell could accomodate early check - in . room ready 3pm . the hotel unbeatable location , outside view amazing . however price get decade old room , 19inch tv cable , good ( excellent ) service . first day walk across street Park Plaza County Hall , get room half price , amazing clean new room , convenient location , excellent service , much kid friendly . also realize would never use pool b / c busy day roam London . 
 Jul 10 2009 	 American Review 	 good friend stay County Hall June 1 - 6 , 2009 ; reservation Marriott Rewards . please note regularly stay Marriott nearly travel . arrive London EuroStar 5 night Paris / Disneyland Paris . take Tube Westminster Station , not know elevator ground level . haul luggage step across Westminster Bridge nearly we ! bellman meet we door , see struggle luggage heat . take bag proceed registration . woman registration ? Romania ? certainly find american sense humor funny . luckily room ready arrive 2 pm . offer upgrade Executive Lounge 50 pound per night ( ! ) , lucky reading review , know pass . evening soon return housekeeping bring foam pillow would pre - requested reservation ( & amp ; forget ) , gentleman horrible body odor . we immediately proceed room # 419 . bit walk lift , bad . hotel Disney Paris ( Sequoia Lodge ) far less expect certainly US Disney hotel . walk room happy see typical Marriott room ! room T - shape - come door , bathroom immediately right , desk / work area right bed around quick corner leave . area desk chest drawer / tea service quite large perfect bursting luggage ! bathroom nice curved shower curtain bar . showerhead somewhat like rainshower not really adjustable . incredibly high , worry bump head . regular blowdryer attach wall , magnifying mirror , scale , telephone , speaker connect TV ( front bed ) . vanity nice large , mirror . also two robe convenience . one outlet bathroom razor only . the work / desk area direct internet cable access Wi - Fi . bring netbook BlackBerry ( serve Wi - Fi modem ) , not use pay internet hotel . also nearly jump joy see US electrical outlet ! desk chair however , incredibly uncomfortable , low desk , struggle roll wheel . also short chest drawer top ice bucket , biscuit , complete tea service ( joy good friend ) . room overlook internal & quot ; courtyard & quot ; , nothing storage loading / unloading area . noise area regular around late morning towel cart . the tv receive 8 channel US station CNN World . first night never turn tv ; in - room entertainment would show movie netbook reading . light bed nice internal light divider , could stay read later friend . bed great compare compare have come , realize really not expect Marriott . pillow top separate not attach bed . lovely . however , underneath generic mattress . ( know , check bed bedbug . not worry ; not . ) pretty disappointed mattress , especially near end trip . tv minibar fully stock . touch anything charge , rely ice bucket keep thing cold week . empty cabinet next mini - bar , use store breakfast item snack ; refer pantry . my favorite area probably closet . two mirror slide door , iron board , iron , umbrella , motion - detect light . believe every closet motion - detect light ! use pool , fitness center , restaurant . room Executive Lounge floor , selection not seem worthwhile . never see sort gift snack shop hotel , disappointing . find 24 minimart block back exit hotel instead . highly recommend everyone investigate back entrance / exit hotel . although McDonalds front County Hall , right across back Subway , Starbucks , upper - scale italian , general restaurant , chinese dining . nice low cost dining right across closed drive / street rear building ! back hotel , another street back , block leave Waterloo Station . careful , one entrance exit . time get lose come Waterloo one evening . Waterloo also regional train station , use get Windsor . ( ticket - to - departure take 3 minute ! ) also right Waterloo huge IMAX Theatre , visit , need & quot ; American & quot ; day . the time use concierge get Heathrow . originally plan take bus Victoria Station , luggage issue Westminster , ready return regular travel style . book private car back Heathrow , charge directly hotel account 60 pound ( $ 100 ) . well worth cost , quickly whisk directly airport Lexus . because Marriott Rewards , happy hotel . pay room , would completely overprice . thing substantiate price hotel location , amenity service surely lack . matter dress , always feel look - down upon staff come go ( probably Subway sandwich sack ) ! one elite Category 8 Marriott hotel , fully underwhelmed . Marriott Harbour Beach Ft . Lauderdale , FL FAR far exceed County Hall . want unparalleled location London , ! want enjoy top , luxury hotel , might want take look option . 
 Jul 9 2009 	 fabulous experience 	 stay County Hall Tuesday 7 July 2009 wish could stayed long . first impression arrive wonderful hotel welcome staff also efficient . rain Concierge meet we umbrella unloaded car we whilst check . use parking service great . check receptionist charming . minor hiccup request early check - in noon unfortunately room ready 3 pm normal check time . could easily got really stress attend Royal Garden Party need leave 2 30 late receptionist advise we Exec room include use Exec Lounge stay whilst waiting room enjoy nice cup coffee free internet access . cost £ 50 upgrade well worth provide Continental breakfast 11 am morning Canapés early evening well soft drink snack Exec Lounge 4th floor . room great overlook London Eye River Thames quiet could believe London . umbrella provide room unfortunately need . overall would summarise stay fantastic experience would definitely recommend everyone . hotel busy overseas visitor staff patient everyone help much could . 
 Jul 8 2009 	 Perfect Birthday Celebration 	 mother , eight year old son stay room 433 27th June 29th . celebrate son 's birthday trip London . tell Reception son 's birthday arrive room balloon , cookie , milk fruit wait we ! son really please feel special . room fabulous , two double bed , comfy sit area , huge dressing room lovely large bathroom separate bath shower . great view Thames Big Ben . access Executive Lounge serve delicious continental breakfast , afternoon tea pre dinner canape . food superb . room service good staff without exception excellent , discreet always happy help friendly . we stay many 5 star London Hotels Marriott County Hall probably favourite . 5 star hotel ' over top ' , Marriott right . would highly recommend hotel location , service comfort definitely stay . 
 Jun 28 2009 	 fantastic View room wear ! 	 spend night room 622 ( suite ) room disappointment ! view balcony fantastic London Eye Big Ben across river room vintage Marriott . the carpet bathroom floor stain wear bathroom spigot cold water ! visit property 2 time , last time six year ago nothing update . shame location like Marirott update property . 
 Jun 27 2009 	 Perfect Location 	 stay hotel regularly visit London . consistently high standard room , service , food . good Valet Parking service & amp ; ConciergePerfect Thames Clipper O2 concert . Perfect walk Picadilly . Perfect walk south bank sunshine . hotel consistently tick box never disappoint . 
 Jun 22 2009 	 great service location 	 book mother law hotel 70th birthday , rang advance let know elderly , travel friend not mobile unused big city . outset staff go way friendly helpful - said feel give vip treatment . attention make weekend really special . especial thank Carlos complimentary birthday cake ! 
 Jun 17 2009 	 need upgrade ... 	 fiancee stay February location reason . first time London . hotel GREAT location . view room big ben breathtaking ... however ; con must note ... take nap 6 pm , fire alarm go entire building evacuate , first time happen 2 nights ! happen 4 be 6 pm alarm . hotel nothing say build old ... definetly look fix problem . room cozy , could use upgrade , tv small , flat screen cable connection awful . beware BREAKFAST ... fiancee thought would grab quick breakfast downstair restaurant tour find charge $ 100 2 people , eat 2 waffle , charge buffet price offer make hot food , not advise extra . overall , service good , main reason people stay location , really great area , quality wise , start make upgrade room price charge . 
 Jun 15 2009 	 Gorgeous hotel fantastic location ! 	 two room , one great view Big Ben one view Eye London . fantastic service , great breakfast . good view location . worth every penny . 
 Jun 11 2009 	 friggin Fantastic ! ! ! ! ! 	 fabulous hotel ! ok .... first splurge book Thames / Big Ben view room anniversary . arrive give we upgrade ( already think good room ) room view terrace / balcony . view Houses Parliment incredible ! London Eye close will get without get . ' m kid say could thrown rock terrace break window one pod ! ( could throw good ) amazed get one room . also access Executive Lounge breakfast light snack afternoon . cafe / rest . serve good food staff great . Pilates Studio know ... would schedule private lesson ... nice full studio like kind thing ... swimming pool ... great ! location smack middle everything several tube location close .... can not say enough . 
 Jun 10 2009 	 can not beat location sightseeing 	 hotel perfect location tourist London . 's right tube station & amp ; course walk door & amp ; 's London Eye Big Ben . the door staff & amp ; bell staff fantastic , . every desk person encounter act bother . check , check , question seem annoy . word advice - ask room NEAR lift . hallway long & amp ; day walk around city , be end hall feel like might never get there . but get , room fantastic ! huge room , huge bathroom , huge tub & amp ; crazy - comfortable bed . food hotel expensive go little shop right outside hotel . 
 Jun 9 2009 	 tourist hub London 	 take 3 son London 8 night spring break . husband London stay Hyde Park Corner Four Seasons Inn Park ( closed renovation ) Lanesborough ( perhaps fine city hotel Europe ) . way compare Marriott true 5 star hotel . price , decor , service , security clientele completely different class . Marriott good 4 star hotel . use point boy room get good deal Thames / Big Ben view room Marriott website . room large european standard . expect put boy & quot ; closet & quot ; view redemption room , room much large , queen pull sofa bed side view park , Thames Eye . decor standard Marriott real king bed definite plus . room double set window muffle outside noise . specifically request close boy ( gladly would pay upgrade ) end 20 room hall around corner we . huge problem first morning fire alarm go 7:15am husband get 2 set fire door reach room . experience irritate problem 5 brass carpet strip 2nd floor hall carpet outside room . every room service housekeeping cart sound like go speedbump . wake we every morning . every floor irritate brass strip . none 4th 5th floor en route pool . order use pool must stop register health club 4 , take elevator back 5 go hall . allow change main club boy , direct 2 small change room inside pool area . 1 locker free visit ( cost 1 pound refunded use ) time see staff stuff personal belonging locker . housekeep great boy room . housekeeping room different story . bathroom trash overflowing go unemptied 2 day . 2nd day maid take away mini bar beer opener . go hall borrow boy opener . opener disappear day 3 . leave maid note tip ask return . show take away next day ! frustrating ! price mini bar fair big city hotel . last night return 11 pm find turndown come remove towel . one answer housekeeping take concierge hour show towel ! concierge service huge disappointment . european concierge usually good , give incorrect closing time numerous attraction well wrong line station stop restaurant shop . big issue hotel location . yes close tube walking distance many attraction . ... touristy place London . aquarium , Dali Museum , Namco station arcade Mc Donald 's locate low level building security . river walk outside hotel crowd 24/7 street entertainer , street people etc . safety ? ? hotel usually , always person right inside front door , never ask guest . could come back door Waterloo never pass employee get elevator . would feel much safe instal elevator need access key even code like pool . keep mind London Eye right outside sweep pod bomb group exit . staff leave door office reception area open last evening one son could clearly see clipboard bomb threat information print big letter ! ! ! ? ? ? needless say sleep night . demonstration go week Westminster bridge parliment square police full riot gear . know London big city , location would ever return . wish would spend $ 1,000 per room per night stay Lanesborough . check , bill debit VISA pound . notice get home boy bill , include 1 night room hotel meal drink convert charge VISA dollar use unfavorable rate ? ? ! make sense ? 
 May 18 2009 	 Awesome ! ! ! ! 	 great weekend London . hotel gorgeous.15 minute walk Leicester SquareVery courteous friendly staff . clean spacious room . Great River viewno downside . 
 may 4 2009 	 Best Place stay London Tourists 	 hotel step Westminster Abbey , Parliament , Eye , 10 Downing Street , Churchill Museum Cabinet War Rooms -- everything want see ! BIG BUS CO . stop literally walk front door , double decker bus ride plan , convenience beat ! take Tower London ride boat back Thames . load fun ! room spacious enough family 4 , staff great , bed & quot ; heavenly & quot ; breakfast miss ! would not stay anywhere else . even manage get we room arrive early morning . fly night , hot shower appreciate ! 
