pay 	 get cheap deal local travel shop 99 train hotel 2 night . arrive queue day night . 4 room 13 us 2 family 's room 3 small single bed camp bed kid refuse sleep . one room clean get look like someone party rang reception say would sort . great location tube bus 10 min away king cross . day come back around 10 pm room not do 5 kid is'nt ideal . breakfast horrendous like cold rubber staff really unfriendly go nearby cafe breakfast next day great . price pay did'nt complain pay full price something like 110 per room would happy 
 basic warm good location .... 	 book hotel ' weekend rail deal ' exactly get - deal ! room basic warm . hotel closely locate London 's sight seeing exhibit . want book somewhere impress would not reccommend , however , room book hotel . 
 like jail 	 simply price buy part good rate London BA.com . 's giant hotel right Russel Sq , convenient king X Piccadilly Line Tube . , be pretty much horrible stay . single bed suitable chlld 10 , adult . courtyard middle look like jailyard , miss weight . blanket drape hang window , wait fire start , especially drunk Belgian Standard Liege football supporter scream . take pub lobby courtyard lose Arsenal . heat room unbearable would not switch . sleep window open , hope noise drunken Belgians would soon go away . bathroom ok , pretty clean except towel stain . bring toiletry stay b / c will get 3 mini bar soap that s . be look bed hotel 's well locate , reasonable safe , cheap , stay . though , would recommend sister hotel , Tavistock Royal National . luxury missus definitely enjoy stay get lucky . thank goodness travel male friend , use place crash going drink London . convenient vist Arsenal Football Club . 
 try hotel side street 	 well arrive queue mile long book , every morning afternoon , wait half hour give key room . room adequate special , neither alot space . spend day come back 9 pm buy drink bar no - where sit go din area get kick drink unless buy hotel ? ? four we ask would need buy able sit din area almost empty , smile know get repeat automate statement ask much glass water ! ! say £ 5 agree say would ask leave . spoke manager reception say not dept ? ? go bed.8am get knock door house keeping .. & quot ; leave today ? & quot ; & quot ; er tommorow . & quot ; ok need clean room . go downstairs speak manager explain would well keep night bar sleep knock we 8 morning holiday , get bar becasue space . say would speak housekeeping , dept . go breakfast queue 3/4 hr room , actually get straight back room 10.15 not clean ? ? next morning thing happen again . so summary room small , great queue , slow book , broken lift , morning wake call clean wether need . one responsible not anyone dept.you buy drink drink . positive food good 's near station . would go , way ! ! accross road stay president , ambassador county hotel 100 % well , price much friendly . it would appear way make hotel change attitude let customer know alternative . 
 Nov 3 2009 	 Change Administration 	 well locate central area , near restaurant - righ write side hotel ... need ... breakfast , wish british one , otherwise w´ll bread butter , quind fruit salad single fruit ( natural ) jam ... £ 4,5 additional pound egg , bacon sausage , nice oriental manager look ... diner d´ont forget real money , they´ll anything accept credit card ... meal , it´s selfservice you´ll pay eat collect food ... boy girl reception ... lot lot ... sitte wall , wait someone call one ... make remember good old time Pattaya beach girl arround balcony waintig drunk mariner ... , today yesterday day yesterday ... i´ll back ... hotel world ! 
 Nov 3 2009 	 bad 	 book hotel superbreak offer good deal . get two night hotel , Rail first evening three course evening meal £ 99.00 . read review regard hotel look forward go stand bad hotel , really good . big hotel London think would show service staff everyone friendly helpful . room basic comfy shower ace . dinner ok breakfast gorgeous plenty choose . close tube station ( Russell Square ) handy explore surrounding . slightly noisy night 3000 room place bind get noise . overall really enjoy holiday would definatley book hotel . 
 Nov 1 2009 	 ideal hotel sightseer great location 	 stay twice 2009 trip excellent , hotel although large staff helpful . courteous attentive . room maybe consider small want sightseeing London , clean tea coffee make facility , bathroom clean plenty linen change use , ask extra pillow provide within minute . as far breakfast go early get seat go breakfast much want , english breakfast plenty choice suit along much tea coffee , toast etcSo good place put head look forward go back 2010 
 Oct 30 2009 	 get pay .... 	 straight point .... reception not open ' till two o'clock , time sizeable queue form take twenty minute check in . the room , fairness , reasonably good , clean well equip . there not noise inside hotel night , outside moderately noisey due traffic odd hoard drunken half - wit , seem cease Midnight . the Breakfast mediocre , warn , enter ' canteen ' 07.30 's total chaos . as evening meal , 's abundance eatery within ten minute walk . read review , seem luck draw get decent room not . do not expect Ritz , somewhere doss night , suffice . you get pay ...... 
 Oct 29 2009 	 Place dump 	 19 backpack maybe would ok . cot , single bed room small . get renovate room go tell clerk hotel dump . give nice small room renovate . make sure ask one new room put money . would recomend hotel anyone . bit beat path result public transit . taxis crazy expensive . after two day go Best western Comwell . hotel small room high end renovate . lovely bathroom . 
 Oct 29 2009 	 Excellent Hotel 	 right goes , return home today ( 29th October ) 2 day stay Royal National Hotel , Russell Square . room good , clean , modern , plenty storage , reception fast helpful . bar good selection reasonably price . breakfast ok fantastic , restaurant bit hectic , good get early beat queue . location great , tubestation round corner , king Cross 10minute walk , Trafalgar Square 25minute walk . all nice hotel , would definately go back 
 Oct 28 2009 	 hostel hotel - worth money stay 	 Room cramp outdate - renovation ? curtain do not hang right bathroom dodgy . bed linen clean though . dont expect get sleep though - people shout bang door constantly throughout night - definately hotel hostel environment . breakfast horrendous - queue get food hall do not mean tiny queue mean corridor towards door - room way small amount coach party hotel accept clear staff cope . queue hot food find table - today take 30 min actually get table image stone cold breakfast ! ! ! hotel definately worth money pay B & amp ; b service , would got well quality accommodation food stay either travel lodge premier . definately complain tour operator stay book . 
 Oct 28 2009 	 xenophobe 	 Reception Fine . room ok.only toiletry - 3 bar soap ! breakfast - fast , furious many people ! ( be queue one restaurant , try ) Poppadom Express - book prepared wait . severely understaffed limited choice buffet . 
 Oct 26 2009 	 stay HOTEL 	 stay 13 different hotel month bad , reception desk staff rude stupid . room small , dirty overprice . many hotel area would far well price . stay anywere . 
 oct 22 2009 	 Adequate 	 return theatre break hotel today . book Superbreak travel agent read review book apprehensive arrival . yes hotel huge obviously favourite coach party school trip therefore can not expect personal service find room would expect 3 star bed clean comfortable towel replace every day . use hotel sleep location brilliant . breakfast ok previous comment jam ridiculous . jam usual little portion get anywhere , hotel not make . plenty roll , cereal , toast etc continental breakfast cook breakfast fine . 's bit school canteen environment can not help consider size hotel number guest . issue horde school kid swarm around breakfast bit intimidate en masse non appear manner whatsoever . probably thing put return visit . 
 oct 22 2009 	 Basic - overprice 	 stay part college trip . hotel noisy- door bang time , whilst middle redecorating , room still old style i.e . not look like have touch since 70 's ! hotel 3 star will never know . room least clean clean sheet ( awful bed though ) bathroom extractor fan shower everything soak condensation - hense mould corner ! breakfast toast , cereal , fruit , tea coffee juice etc - £ 4.50 cooked breakfast look ok . location good - short walk euston/ Russell Sq . underground . reception open 7.30 - 10.30 want buy gym pass follow morning could not , 7.30 late could not go check 8.30 trip depart . basically 's hostel - 's fine somewhere rest head go ... somewhere would want spend time . Travellodge / Premiere Inn would cheap , clean quieter equally good location ! 
 Oct 18 2009 	 PIT 	 come flight Edinburgh arrive shack 11 pm tie want sleep energy leave gruelling week road show would got hell flea pit . would avoid cost go stay local bin clean quieter pit . hole hold united nations back packer world dare say tourist visit stayong show must think room date bed like sleep weetabix smell musk hit enter turn square court outside main entrance target practice back packer youth today throw milk carton window thinking funny .we decide could sleep want something drink eat bar shut 1 am beer waterd food something leave series TENKO avoid pit cost company take hole hotel list first place begger belief 
 Oct 17 2009 	 bad Hotel ever stayed .... 	 absolute bad hotel London . 's run , old smelly . wall paper thin hear everything go hallway . bed uncomfortable furniture era long go . breakfast include stay , even attempt reading review Trip Advisor . besides , want leave place early possible every day .... return sleep . advice find somewhere else .... location thing place go . close tube station , shopping area , restaurant etc .. 
 Oct 17 2009 	 bad experience 	 expect kind help staff get problem concere reservatoion . mean HELP . book home ( Denmark ) , present voucher day meet . tell reservation cancel . absolutely none staff try help . tell we call firm make reservaion through . no offer help . question ask : sorry help ! help . bad , BAD , bad expirience . 
 Oct 17 2009 	 brilliant location 	 hotel clean roon quiet clean , shower great towel clean every dat . go breakfast 8 much quieter fissy 7 year old always manage find something eat . location brilliant 5 min walk tube tour bus stop outside hotel aware bus end 5 clock , lots goup kid never bother we check busy 2 clock along everybody else.for money pay good look luxury place lie head hectic day sightseeing , 3 single bed comfy enough , noisy room london expect . say never hear people othe room like many folk say , overall good value money 
 Oct 15 2009 	 recommend - much well 	 Stayed follow Contiki trip 3 night . in room , dry blood bathroom floor . obvious clean quite disgusting . the room small bed extremely uncomfortable . like spring pop mattress back . bed , mine . numerous people complain they . the reason get much business fact meeting place Contiki tour . recommend stay elsewhere nearby will get much well hotel price . choose elsewhere ! ! 
 Oct 12 2009 	 bad ever 	 rating 3star . place rate minus star . service terrible , towel like sandpaper smell bleach , bed * * * ( large bed available ) uncomfortable , need physio return home . like hostel - noisy throughout night . pay advance tour company , would relocate . felt rip . 
 oct 8 2009 	 Comment hotel 	 stay hotel 2 night bed breakfast , room clean , breakfast full english buffet perfect plenty choose hot . hotel position perfect train station city centre . good thing like 3 hour early could leave case porter room free charge . thing could complain windows double glaze could hear traffic loud . 
 oct 8 2009 	 great time 	 hotel cleaner expect , close tube , breakfast good wellbath clean lot hot water.are room close court yard , bus come go noise well pub . great time 
 Oct 8 2009 	 okay not expect much 	 stay one night meet tour group . layout confusing , staff somewhat helpful extra amenity find . good be look something cheap plan room much . 
 Oct 6 2009 	 ok 	 ROYAL NATIONAL HOTEL , LONDONI stay hotel one night , experienced , pretty good hotel . really big , big hotel London actually ! room okay . 3 person room , pretty good space preserve belonging . hotel 8 minute away king Cross , ' mind take underground , hotel pretty good location . together ' okay hotel ' want spend lot money . 
 Oct 6 2009 	 ok one night would not stay long . 	 visit Royal National Hotel classmate , educational trip London Paris . stay one night , must say happy ment long stay . come hour could check , put luggage another room . take quite time get sort , however big groop , expect take time . room simple , ok . linen towel fine , bed . three suitcase three people room lot place move . would hotel sleep . one thing think , find charming . take shower , first shower head point towards wall , able turn . secondly stand 10 cm water . shower , not really feel clean . we order continental breakfast , aware would simple . simple . toast , butter Jam . juice , taste like water . coffee tea course , cereal would like . possible get ful , however would like something bit exciting , would recomend pay ful breakfast . all , ok hotel . good thing location . close supermarket , tube station British Museum . sleep fine , daytime , find something else . 
 Oct 6 2009 	 Okei ! 	 classmate Norway stay one night Royal National Hotel London . promise room two ' clock , get , room do . room mate change leave thing room ' room evening . room ' bad . three bed lot space . think get big room . lobby nice , clean staff ' friendly . another thing negative breakfast . limited selection , jam horrible ! ' stay much time hotel , despite negative part , great time London . 
 Oct 6 2009 	 Riktig . 	 stay hotel one night , impression place verry simple , like shower curtain , blow - dryer stuff .. clean staff quite rude , get room finish . inconvinient . would recomand continental breakfeast , would rather buy something bakery . location good guess , not really time check neighbourhood . positive thing hotel hot receptionist , kind look like chris brown . be upper ! 
 Oct 6 2009 	 ok 	 stay hotel class . arrive crew still clean room wait time , generally room ok . location fine , king cross five min . walk . night many people gather bar think bit noisy . 
 Oct 6 2009 	 Budget hotel 	 stay one night Royal National Hotel London classmate Norway , satisfied stay . expectation high , travel low budget trip , hotel well hope , even tough room simple furnish . however , planning stay hotel , would recommend order full breakfast , continental breakfast much offer except toast disgusting jam . 
 Oct 6 2009 	 night London 	 classmate stay hotel one night , trip Paris . large hotel many room good service . staff help we find place could keep luggage check major attraction London . bedroom ok , good hygiene . pay full breakfast , simple breakfast eat include wide selection food . pay simple breakfast , get . Strawberry / marmalade toast . nice stay hotel , would like recommend traveler . 
 Oct 6 2009 	 Budget hotel 	 main sell hotel obviously location . ' locate close Russel square , underground five minute away . strongly recommend hotel budget traveler , get lot money . ' rather big hotel , staff personal . breakfast big disappointment ! pay continental breakfast , strongly recommend pay extra wide selection food . find hard say anything hotel , firstly stay one night . secondly , ' dislike anything , ' go crazy something either . everything fine , nothing extraordinary . say , bad choice ' travel budget . 
 oct 4 2009 	 great coast x benefict 	 big hotel , neighborhood prepare serve hotel , store luggage , clothe , souvenier supermarket other . metro sation 5 minute walk ( russel square station ) , 3 minute russel square ( beautiful square ) 5 minute walk british museum . bar hotel always full night . big helpfull staff . safe neighborhood . one great advantage hotel , book transfer airport staff hotel , win comission . find out russel square metro station 10 pound , advertisement ( hotel 15 ) . mister answer phone polite , aducate , attentive come right hour transfer . breakfast basic ok . room good , clean tidy every day . 6 lift hotel , do not worry wait lift 
 Sep 30 2009 	 Bad Budget Choice . 	 stay hotel four time 1999 2006 , college / grad school , travel cheap . rate directly hotel 's website ok , great deal package British Airways . the main sell hotel location . budget traveler , Bloomsbury perfect -- quiet , village feel , several grocer convenience store be also eat meal cheap . within one block post office , park , Hart 's Greengrocers , number pub , Russell Square tube station , bank , several amenity . Euston , King 's Cross / St . pancras decent ( exhausting ) walk north . the room equivalent budget chain States ( Super 8 Motel 6 ) , add european convenience decent - enough hotel bar , lounge area , travel desk , restaurant ( restaurant serve good full - english breakfast bacon / bean / tomato / eggs / toast tea -- fantastic meal ) . in - room tea / coffee make facility , bathroom en - suite , generally clean . linen towel overly attractive , clean change daily unless ask otherwise . bed comfortable , nothing special . window open slightly , get cool breeze ambient street sound night . the hotel quite popular tour group , especially high - school / undergrad variety . never problem noise , fact need open window let city noise get sleep properly , be bother presence 16 - 24 crowd , might place . please note company also own four hotel general area different client base similar value . staff available , intrusive -- want something , be go need ask -- maybe twice . all , would recommend hotel anyone look safe place sleep store luggage purchase , London easily accessible , cab St. P 's , Paris also easily accessible . 
 Sep 30 2009 	 Th bad EVER 	 need place stay leave Contiki next day . get hotel friend split different room even though book triple share room . eventually give we room , trying find hit dead end realise room construction . finally get room tiny bed springy . bathroom good enought one shower , needless say check next day . terrible hotel .... stay away ! ! ! ! 
 Sep 29 2009 	 Decent Hotel 	 husband stay Royal National 6 night disappointed stay . large Hotel rather impersonal . room nice spacious bed roomy . wall little thin side able hear everything happen room next we , oh well , add experience ! book room British Airways breakfast suppose include . however , breakfast include consist cold cereal milk . nice hot breakfast , pay extra . location Hotel good , close Tube stop within walk distance British Museum . would stay suppose , would prefer look place little charm . 
 Sep 28 2009 	 bad 	 weird hotel review , nothing annoy , make hate , not taste . room clean , old fashioned , small bathroom . huge hotel , one night go wrong door take age find room ! ! cleaner keen , knock door minute past 8 asking checking ! breakfast nice , room untidy , take we age find table clear previous people breakfast waste ! ! stay one night ok , not think could survive week . 
 Sep 27 2009 	 prefect hotel modest tourist ! 	 spend 4 day London group friend June , read review hotel , appal , feel like write review ! realize different people different expectation , need habit ! , poshy . classy , demand guest , not go hotel start search another hotel immediately ! tourist London wish lot sight seeing spend hour hotel room . GO hotel ! will not speak much location , 's prefect , city center , easy access part city ( bus , tube , foot ! ) hotel : 's decent building without eccessive decoration detail . 's prefect tourist large group , since not let reception know leave enter room . literally . see reception check , quite fast , without wait . room small big enough feel comfortable , like prison . bathroom small bot big bath tube , great . problem leak , mould , bed bug anything like ! ! ! reservation include continental breakfast , consist toast , jam , cereal fruit , english breakfast buy price 4.50 pound , quite tasty . thing bother we kid ' excursion , wait 15 - 20 minute get dining room . fourth morning manager realise wait line long , big dining room open . not forget mention , sheet towel change second day , not take towel , , trust review say towel ! 's true thatt hotel good , lot thing miss , money pay location get , be perfect ! ' m plan another trip London definitely stay hotel ! end , piece advise write awful review : wantperfect service , large room perfect view , go pay 200 pound night another hotel , not scare people plan stay hotel ! 
 Sep 26 2009 	 great hotel - perfect location 	 stay Royal National Hotel brilliant . hotel not 4 star perfect staying want sigh see around London , clean room comfortable . free evening meal ok , save us trail find somewhere eat first night arrival . soup bread bun , follow goulash rice chip sweet . fancy restaurant set fine . breakfast fantastic though next day , could not ask anything .. full english , toast , cereal , fruit juice tea coffee ... full day eat breakfast . downside hotel book budget short break definitely get budget room , perfectly adequate extra ie shampoo , shower gel hair dryer like say website . not problem though shop lobby able buy thing . definitely remember bring hairdryer though ... location hotel brilliant literally 1 min Russell Court tube station get anywhere London . tip , buy day travel card £ 5 travel anywhere tube bus full day save load . ( single trip king cross russell square £ 4 ) . do not put review , hotel brilliant base sight see everything london . would definitely stay . 
 Sep 24 2009 	 Odious Hotel 	 go hotel school group never appaule ! do not let nice reception fool dining room horrid hotel generally awful . bed room 4244 awful three pack small rectangular space bathroom well disgusting word ! bed wheel cover scratchy overall gross . bathroom horrible toilet leak shower get work like one would expect find prison would go really really hot absolutley freezing ! window death trap mean open fully path either busy London street court yard hotel . get room never food . pay cook breakfast even worth like eat piece rubber ! toast chewy completely inedible unless feel like chew day half ! back room , bathroom mould bath really small even 3 people one room ! wall thin sneeze people next room hear ... trust , people next hay fever ! staff unhelpful moody example one many time room key do not work ask help huffed help grunt say thank . rude unbelieveable time gossip would well spend learn manner ! however black mould unhelpful staff horrible food thing well hotel sure please ! would recommend anyone even do not like would not cruel enough enflict anyone ! 
 Sep 23 2009 	 terrible ! ! ! ! 	 give dirty room end long corridor . decor shabby , mattresse filthy last refurbishment appear 30 . breakfast seem prison , like series Prison Brake , without condition start day .... would never advise one stay , treatment employee especially manager terrible , room dirty , change room 2 time , find flea , wall mold environment stank . 
 Sep 23 2009 	 BED BUGS .... stay 	 London one night instead pay $ 300usd opt lower rate hotel good , central location . hotel appear rate : nothing fancy , 2 star - ish . room bare bone , be okay - expect ; would 6 hour overnight . the next morning , however , notice back leg red , bite bed bug ! 2 single bed , friend bite . take day bite heal travel Western Europe . I advise hotel right away , desk clerk looked say & quot ; thank tell we , luv . & quot ; stay somewhere else , sake skin / BODY ! 
 Sep 22 2009 	 spot location 	 read review bit unsure expect , location hotel spot could not get well , room yes abit small long day fo sightseeing want shower somewhere lie head , clean towel everyday room clean , breakfast time busy problem get table , could not fault food plenty hot , YES would stay hotel . 
 Sep 18 2009 	 good value 	 apprehensive hotel view review say honestly well pleased stay . good location , room , little small , clean adequate , bathroom also clean , maid every morning , staff friendly helpful , dining room busy around 8 - 830am 8.45 guest boarding coach become calm . complimentary 3 - course meal take Presidente Hotel nice adequate . location hotel excellent get around . one grouse - hairdryer room none available hire ! 
 Sep 13 2009 	 amazing value ! great location ! 	 stay 3 night sept 09 , give room 7th floor , read review wonder pay another hotel might good idea ! glad did'nt though ! hotel amazing value room clean clean every day . room single bed ( end world ) , lcd tv , great view london , hear high floor room do recently look case everything room look new . breakfast bit busy schoolish amount room surprise . staff friendly hotel great buzz ! would def stay ! end day get 1st class rail travel 3 night 200 quid . great value ! leave spend money trip . 
 Sep 13 2009 	 Great Hotel price 	 little unsure hotel go like , consider large , fear quickly dissipate . 12 us group none we disappoint ! room clean & amp ; nice size . bear mind budget hotel definitely good value money . food average choice available breakfast good . also pleasantly surprised in - expensive drink bar ! be looking reasonably price centrally locate hotel . definitely recommend . 
 Sep 12 2009 	 great hotel price 	 maid little ant leave soon possible morning . start clean around 9 . 
 Sep 11 2009 	 bad hotel ever stay 	 group mess booking send we Royal National . despite request disabled room near lift due partner 's mobility problem , give dirty room end long corridor least 4 minute walk lift . decor shabby , mattresse filthy last refurbishment appear 50 . Breakfast describe other like school canteen . grossly unfair school canteen . prison camp may accurate description . the hotel full tourist world embarrassment Britain place even exist guise hotel . 
