Wonderful 	 book Chancellor first trip San Francisco , base price location trip advisor review . subsequent conversation people would staying , discover 2 3 people know previously stay rave hotel really look forward stay . disappointed . stay 7 night twin room 14th floor . email hotel day arrival request high floor possible – receive prompt personable reply Kevin , Reservations Manager . other say , room small , ' need lot space , anyway spend little time room . closet big see suitcase take space . bathroom also small , sufficient . similar sized one home ' perfectly adequate . free wireless internet big bonus often pay expensive hotel . work absolutely fine . internet terminal Reception also great service , book something online need printer . staff deal hotel super nice efficient . issue safe room go ' sleep ' twice report reception fix less 10 minute occasion . lady tour desk give great recommendation restaurant . although tell we Alcatraz night tour book online 3 month early ' exist send we bit spin , phone call company quickly sort fact run ! ! eat breakfast hotel morning lovely restaurant staff great . cookie reception delicious , wish start eat early week ! ! location hotel absolutely fantastic one cable car run right outside door . love San Francisco certainly go back sometime future . definitely stay Chancellor Hotel tell anyone know ' go San Francisco book hotel . 
 Superb ... everything ! ! 	 actually boyfriend 's favourite hotel stay whole 3 week holiday ! honest , not like San Francisco much thrilled hotel . as everyone say , right middle everything need - shopping , restaturant , BART walk anywhere . end walk hotel , alllllll way hilly road , turn leave walk bit really zig - zag windy street , allllllll way Fisherman 's Wharf . long warm , quick cable car ride back comfy bed hop rest exhausted body . I read review beforehand noticed room say quite small . agree not huge room , would not say be small . 2 we fair bit luggage comfortable . decor room beautiful add old - fashioned , classy feeling place . lady bar friendly go drink , staff restaurant lunch departure day . little kiosk / desk able get help organise shuttle back airport , buy ticket cable car also postcard stamp send . front desk send postcard nice touch they . as everyone else , would definately recommend stay . free tea , coffee cookie come handy ! 
 superb clean hotel amazing location bag character 	 friend stay research heap hotel San Fran . want somewhere central four day character soul . step Chancellor Hotel complete superb service favourable rate . after send enquiry room , helpful chap call Kevin get straight back offer room period need reserve . keen make sure thing ok end call chat pleasure , even nice phone . offer give we room top face square ; could ask for . as stay , well good email phone experience . clean hotel , amazing location square , helpful staff ( especially lovely lady run bar ) room be right . ' ve read people think room small little run . nonsense really hotel real , proper San Fran hotel 's template chain . super clean , everything need perfect stay San Fran . earth folk want big room ? party ? short have whole heartedly recommene stay . ' ve see lot hotel travel one remember right reason . would stay recommened guess true test whether be good . 
 Honeymoon revisit 	 34 year ago stay 10 day Chancellor honeymoon . property update since lose 's charm . advise General Manager anniversary first time back , greet nice gift bottle sparkle wine room arrival . room small , neat recently refurbish . luque bar hoot night . Hotel Union Square right cable car line , make convenient Fisherman 's wharf well multitude nearby restaurant , theater , shopping attraction . rate reasonable , staff friendly accommodate . use 5 * hotel may find hotel less expectation , simply stature , stay 5 * accommodation frequently would definitely stay boutique hotel . 
 step door everything 	 fab location want buzz zone San Francisco . staff friendly + helped play along ' surprise ' visit . room fine 3 night + suit we fine - may small long stay . walk everywhere - shop , restaurant , BART , taxis door want . 14th floor + hear city noise night window open bot bother we . would stay future visit . 
 self favour stay 	 return home long holiday gather thought would like post review Chancellor Hotel Union Square San FranciscoI would like say can not go wrong staying , 5 star Chancellorwe stay begin August , room decent size right two we , large wardrobe personnel safe inside , comfortable queen bed , nice clean room pleasant decor , table chair window , even view Union square nice indeed Fan ceiling good especially get hot night , enough keep cool not like sound city , close window nice quitethe bath tub nice deep one , relax fall asleep , wonderful day Segway tour walk around San Francisco good thatand location right middle city , nice place eat next door around corner , Staff friendly helpful time good , sense humourso want good hotel stay , central city cable car front door , right good shopping outlet , nice eating , drink etc rate will not break bank place , stay , see self , Best Wes K & amp ; K 
 Nov 8 2009 	 Great Place call home 	 stay Chancellor week good time . everyone work could helpful friendly . say thank nice visit . this pleasant surprise not idea area would enjoy . cable car stop front door shopping step away . inside room quiet peaceful . Bravo staff ! ! ! 
 Nov 8 2009 	 great location great value money 	 Chancellor Hotel absolutely great . pay 100 $ night , get great location , great staff great value - for - money room . we also get 25 $ day spend restaurant awesome ! problem bath . shower really short ( locate around 5'11 - 6 ' 0 , 175 - 180 cm ) problem ' m 6 ` 3 . ( bend wash hair ) .if come , not forget visit Sears Fine Food famous little pancake . ( be downstair , will see line ) .Oh , not forget - Free WI - FI ! ! 
 Nov 6 2009 	 great experience stay Chancellor . 	 room clean comfortable . hotel worker warm , friendly helpful ! hotel locate near Union Square . able walk , ride bus cable car whereever want go San Francisco . 
 Nov 6 2009 	 good location average hotel 	 location hotel great directly opposite union square close many shop , bar , restaurant transport link include tour bus ( love tour bus particularly top deck across golden gate bridge ! ) however , price would say hotel average quite small room , breakfast include quite old fashioned need renovation . free sweet room cookie , tea / coffee reception bonus though like . 
 Nov 5 2009 	 good place stay San Francisco 	 girlfriend stay Chancellor everyone suggest stay Union Square first trip San Francisco . drive across country Chicago stay various different hotel along way , Chancellor Hotel feel like old - school Hollywood hotel get great rate . everything authentic unique throughout entire hotel lobby extremely personable staff room cute well furnish . looked feel like one old building San Francisco add nice feel experience trip . however , well keep modern feature like flat screen tv room , high speed wireless internet option choose dozen different type pillow ! good part hotel location . be heart San Francisco trolley really stop right Chancellor 's doorstep . everyone helpful helping & quot ; towners & quot ; get around navigate public transit system ( fairly simple be familiar ride bus train major city ) .Overall , would definitely stay Chancellor . even speak gentleman elevator say 's stay across street different hotel 20 year decide ( opt well rate ) stay Chancellor particular weekend . say happy stay 20 year 's travel San Francisco . only drawback parking , get deal parking Valet Garage around corner include room rate . 's downtown San Francisco 's much room park anyway . small price pay amazing stay beautiful city . we love experience , would stay suggest think stay San Francisco ! 
 Nov 3 2009 	 wonderful ! 	 stay perfect . can not wait return San Francisco Chancellor . everyone helpful pleasant . room clean cozy . thank ! 
 Nov 3 2009 	 Great Hotel friendly staff fabulous location 	 stay Chancellor first part West Coast honeymoon read many great review Trip Advisor , say disappointed slight . from moment check staff friendly , helpful informative . love stay San Francisco especially love stay Chancellor , vow go back San Francisco would definitely stay hotel again . we ask high room sort view get . room 14th floor view Union Square . room , although large luxurious , great extremely comfortable . bed pillow make sure always great night sleep 4 night . bathroom fairly small bath tub deceptively large deep . it boutique style hotel nice location beat . couple minute walk Union Square cable car stop either side hotel . make get around San Francisco easy we . Book stay visit San Francisco disappoint . 
 Nov 3 2009 	 staff care Hotel guest 	 Chancellor central shopping , cable car run past front door , staff helpful direction information dine night etc . room charming , bed comfortable pillow heavenly . comp tea , coffee biscuit reception day every day . highly recommend restaurant breakfast fast service extensive menu . look next holiday San Francisco stay Chancellor . 
 Nov 2 2009 	 Great Hotel central position 	 spend 5 night Chancellor - home week . spend 3 week States New Zealand , mostly ride Amtrack wonderful experience everywhere go . Chancellor 's room clean , quiet staff friendly helpful . must mention Concierge , knowledgeable . enjoy restaurant breakfast bar night drink . would definitely stay , tell anyone go San Francisco stay . 
 Nov 2 2009 	 great value hotel 	 delight Chancellor . location absolutely perfect first time visitor SF , right beside Union Square main shopping district . cable car run outside hotel Powell St . second stop across road skip queue bottom hopping . room small , nicely furnish clean . AC , not need . first stop honeymoon wine , champagne , sweet photo frame room us - nice touch . also free wifi rare hotel usa.you could go expensive place space , city like SF not spend much time room be well save money fantastic restaurant shop . 
 Oct 30 2009 	 15th stay still enjoy Chancellor 	 everyone friendly helpful . location great . 
 Oct 29 2009 	 hotel staff location fabulous ! 	 happy stay . hotel charming kind cozy feeling . personal service outstanding . helpful , courteous welcoming , staff . location well . right Union Square . window could see happenings experience excitement San Francisco . small bar really fun . Coffee always hand cookie snack . restaurant convenient quite good . stay several & quot ; chain & quot ; hotel trip believe Chancellor totally different category . recommend sure friend hope someday back ! 
 Oct 29 2009 	 Super Clean ! ! 	 Chancellor Hotel surprisingly friendly efficient , good room super clean ! something really appreciate . room recently update nice furnishing flat screen tv , , something make day plug bathroom could bath , unlike many hotel . in addition , hotel service use buy ' specialist ' pillow ( guess right term ) include pillow bath , incline , eye pillow relaxation . fee associate , be great idea ! free high speed internet work perfectly . only thing miss - tea coffee room . 
 Oct 29 2009 	 nice stay ! 	 Chancellor Hotel exactly advertise . historic hotel great service BEST location . room small charming perfect weekend San Francisco . staff great . Nate , Tina ... thank recommendation . Uncle Vito 's great . head hotel housekeeping save son 's little black bear much appreciate . breakfast hotel delicious , S.F . many great place eat say something . bed comfy ! ! want stay place character charm ! 
 Oct 26 2009 	 be like come home long day 	 return home 5 night Chancellor 25th wedding anniversary already tell friend wonderful stay . give guest critique form fill stay fill add comment realise can not fault hotel . Sure be new , service efficient polite , room clean , 's locate Union Square hub San Francisco , cable car stop outside door , load restaurant within 3 4 block cost stay favourable . need ? special mention breakfast staff lady work bar always smile give great service pressure . can not recommend hotel highly enough . many thank champagne waiting room first evening , much appreciated . 
 Oct 25 2009 	 well ever 	 well , change past year_____absolutely nothing ! hotel good last year enjoy stay immensely . perfect location right Union Square Cable Car go right door great use Cable Cars trip ever many year visit city . the room usual clean tidy , great walk robe little extra like umbrella , pillow menu course rubber ducky tub ! breakfast Luques Restaurant great excellent value always serve efficient smile staff . trip travel many US city time make mention breakfast luque far superior every stop . in San Francisco experience many hotel many year far prefer boutique historic property place , still family own 1914 give rich , unique , true San Francisco experience . great location , great staff , great value , great experience_____we plan next visit ! 
 Oct 25 2009 	 Clean centrally locate Hotel 	 book Trailfinders read review . centrally locate Union Square ; easy get around tram ; clean staff helpful . let use computer reception useful like we without laptop . room 11th floor back . looked recently renovate . adequate size , clean bathroom - smallish adequate . quiet enough we . stay 5 night complimentary bottle wine nice touch & amp ; unexpected . traveller info : -taxi $ 40 airport . cab hire cycle Blazing Saddles next street , 1 block . cycle 2 day - Golden Gate Bridge , Sausilto Surbiton - ferry back . nb quite distance Sausilto Surbiton - ok regular cyclist care . cycle ride gg Park caost via Baker Beach well worth hilly cycle shop indicate . walk Fisherman 's Wharf Golden Gate Bridge - nicer walk along coast 2 bus ( no.s 28 30 ) get right back Union Square $ 2.best meal across square Cheesecake Factory Macy 's . enough room leave try cheesecake slice meal 1575 calorie slice probably good thing ! 
 Oct 23 2009 	 Birthday Weekend Treat 	 excellent place stay San Francisco . & quot ; boutique hotel & quot ; locate right Union Square Powell Street . Zack Mike ( rest front desk staff ) extremely pleasant helpful many question . the bed well . comfortable , comfortable comfortable . hotel air conditioning ( concern ) , ceiling fan provide excellent air circulation night snuggle duvet . tub nice deep relaxing evening bath . another major plus .... free WifiYou come outside trolley front door . centrally locate , either walk ( ) catch trolley go anywhere . plenty shopping restaurant area . my complaint room refrigerator microwave ( least mine not ) . 
 Oct 20 2009 	 Best Customer Service ' ve long Time 	 fiance stay hotel two service dog . not visible disability , often get question . front desk person appropriate deal dog house keep even leave bowl room . room clean , modern , comfortable . location right Union Square ton within walking distance . good customer service . every staff member say , & quot ; hello & quot ; walk hotel hall . also free coffee cookie lobby . : ) 
 Oct 18 2009 	 good location town ! 	 stay 4 night Chancellor wonderful time San Francisco . hotel independent run family hotel room maybe large other state set clearly website trip advisor . plus point fantastic location right heart amazing city two cable car line pass right outside front door . hotel decor keep age / style find charming place stay . downstair bar Mellissa Rex look bar big plus - reasonably price drink , good place meet guest source advice tip SF place visit eat . thank Chancellor wonderful visit ! 
 Oct 14 2009 	 great cute hotel 	 great time hotel . staff friendly helpful . room great bed comfortable . thing annoy : ) water pressure shower low b ) fan whirl noise background room . apart really like it- free oatmeal cookie lobby rubber ducky bathroom- detail grandmother must think . 
 Oct 11 2009 	 great value 	 great value Union Square . pillow nice , mattress firm someone use pillow top . great linen warm use . take awhile see & amp ; figure operate vent . great staff - assist taxi , direction , print Southwest 24 hr advance boarding pass sightseeing . 
 Oct 10 2009 	 Fab location 	 hotel not exactly luxurious good price reflect . say , location superb , room fine clean make superb hotel explore San Francisco . free room internet also welome bonus . utilise Trip Advisor prior booking disappoint . 
 Oct 10 2009 	 Tour transport door 	 clean & amp ; tidy . good travel / tour desk help , watch taxis order , leave anything taxi . u never c 
 Oct 10 2009 	 good hotel experience ever ! ! 	 wife come San Francisco 3 year anniversary choose hotel extremely affordable rate . know really expect , blow away ! hotel staff helpful , tell we get , see see . even complimentary champagne wait we room get anniversary . location middle everything want . next time visit San Fran will not stay anywhere else Chancellor . 
 oct 9 2009 	 Perfect Hotel 	 not care much money make one day . . . can not see stay anywhere Chancellor . Loved Union Square Location . room fabulously deocrate . service & quot ; beyond . & quot ; give we bottle wine , since honeymoon . & quot ; pillow menu . & quot ; rubber ducky bathroom . enjoy several bath tub . love ! ! ! 
 oct 9 2009 	 plan stay location ! ! Excellenthistoric ! ! 	 plan first trip San Francisco come upon hotel rate well reveiw . location central , wonderful veiw . price right hotel clean ! ! ! return San Francisco enjoy another great stay Chancellor Hotel . 
 oct 9 2009 	 great place stay 	 stay Chancellor 3 night back September start trip around California . great hotel comfortable room ideal location explore city . would love return someday ! 
 Oct 8 2009 	 ideal location 	 stay 5 night end stay US . hotel situate stone throw great shopping SF offer also close major transport link . not mind walk 's 15 min Chinatown North Beach also . people already say room small side large walk closet manage get 4 suitcase room not clutter all . all staff encounter extremely helpful , especially Sue concierge remember leave offer arrange transport airport see we lobby day due leave . the cookie coffee reception also nice touch . really charming hotel , centrally locate would happily stay . 
 Oct 6 2009 	 great place stay 	 enjoy 4 day stay Chancellor . staff extremely helpful polite . location fantastic , easy go anywhere . Union Square nearby , plus shop many many restaurant . cable car pass front hotel . the room comfortable , huge still nice . eat breakfast hotel ( optional booking ) day head somewhere different . great bonus free tea coffee foyer plus oat biscuit . bar foyer big screen tv.very close Chinatown , BART station bottom street . actually leave small jewellry conainer room hosuekeeping find . contatcte good Fed Exing next USA address cost . I would highly recommend stay . 
 Oct 6 2009 	 Fantastic 	 minute check minute leave fantastic service Chancellor Hotel . book hotel mainly base review trip advisor not disappoint . , weather quite warm San Francisco ( ' ve tell ) fan window open need Air Con issue , dispite reviewer say . we honeymoon visit Chancellor greet receptionist congratulate we also kind gift , definately would not get hotel . husband big american sport fan take advantage NFL package hotel offering 49er game first Sunday hotel , seat amazing definately make sunburn get game ! overall hotel stay great could not well . like treat respect like value customer , even first stay , pick hotel . want treat like person stay one ' corporate ' hotel . 
 Oct 6 2009 	 extremely pleased room staff Chancellor Hotel 	 San Francisco 10 year last time , stay hotel hill find convenient tourist like walk take public transportation ( cable car trolley ) .this time visit SF , stay Chancellor , besides like hotel staff , find extremely convenient use mass transport get many tourist attraction . 
 Oct 6 2009 	 great hotel manage expectation 	 stay Chancellor Hotel 4 night mid September . read reviews site well prepared pro con . hotel well locate , right heart city make get round easy . staff pleasant , though need call desk check in / out . hotel large chain modern look feel - 's charm . great free wifi room , make easy keep touch thing back home . so small drawback . - yes room small side , nothing worried staying vacation . - AC , problem . although know advance Ireland not think big problem . matter hot cold outside hot , room feel hotter.- pillow bed comfortable . always clean pleasantly arrange , not work - many soft.- lastly bathroom . hard wet shave without make watery mess . wash - hand basin quite small position tap make hard wet face . overall stay pleasant would recommend hotel , maybe weather little cool34 AC would not big issue . 
 Oct 3 2009 	 Trip San Fransico 40th wedding anniversary 	 arrive San Fransico tired long flight arrive Chancellor Hotel staff take take luggage car room check we quickly welcome we US great check - in . hotel lovely feel friendly room perfect comfortable . location hotel perfect jump trolley outside door go ever want go . not bother get car valet parking leave LA . great hotel could thoroughly recomment . well do Chancellor 
 Oct 3 2009 	 small small . nice nice . 	 book hotel personal recommendation . ok price , well size , could . location perfect everything ! room petite , many old hotel SF , wife stumble . back hotel quiet ( although old wall thin ) , view anything unless like vent roof top . nice two chair , plus desk room , however refridgerator room coffee maker . fair would place put anyways . queen bed hard taste actually get sore sleeping , pillow menu ! bathroom small date , also clean . whole place actually clean . person recommend Chancellor we gush staff , however , experience anything uncommon . fact , lady tour desk unhelpful , border rude ( although not think actually work hotel ) , desk staff efficient , amateurish dull . feel like check motel , historic , Union Square SF , boutique hotel . would stay , could get similar rate Westin Drake , might move block two . 
 oct 2 2009 	 Great Hotel Great Location 	 wife spend three night Chancellor week September 20th . location great , step Union Square surround public transportation option . room cozy large flat screen tv nice touch . room air condition even unseasonably hot day ceiling fan open window create comfortable environment . front desk personnel friendly responsive inquiry . restaurant great breakfast good value . restaurant staff friendly professional service . concierge / concession operator knowledgable arranged city tour ( Grey Line ) pick we lobby . hotel location within walk distance China Town many nice restaurant . hotel great value . 
 oct 1 2009 	 great location great room 	 wonderful clean room , huge enough room 2 people 3 suitcase still room sit . friendly staff service excellent location right middle downtown . would come back anytime . get free parking right around corner online reservation . 
 Sep 29 2009 	 wonderful staff Chancellor 	 stay September , really enjoy hotel . centrally locate Union Square , lot see close . easy access Cable car bus . hotel clean comfortable . air conditioning , not problem . restaurant ( Luques ) serve lunch breakfast , good . hotel supply free coffee / tea cookie lobby . also apple available . I already recommend hotel friend visit San Francisco , would definitely stay return . 
 Sep 29 2009 	 Charming accommodation perfect location . 	 staff friendly helpful ; particularly Susan always answer question give helpful hint thing get around city . room comfortable clean hotel perfect location get anywhere want go . my criticism hotel per se upset car rental place , reliable , vehicle give poor condition bad brake well original want give would never rent reliable . also upset shuttle driver drop quite far airline . realize hotel 's fault service utilizie hotel deliver poor customer service . 
 Sep 29 2009 	 Fantastic Hotel ! 	 review basically agree predecessor – wonderful hotel ! room fantastic nowhere near small review lead we believe . beautifully appoint , one room stay two armchair , lovely able sit drink together , rather usual set one chair one person bed floor . the breakfast provide Luques restaurant wonderful , extremely friendly staff . complaint Luques open dinner , would lovely option eat evening . the location Chancellor beat . room 12th floor lovely window open hear sound city cable car . fan great job keeping room comfortable . all staff meet friendly helpful , exception lady run tour desk . find quite aggressive abrupt , sure actually employ hotel . I highly recommend hotel anyone want heart city . definitely stay lucky enough return San Francisco . 
 Sep 28 2009 	 good hotel great location . 	 arrive Chancellor mid afternoon taxi SFO & amp ; journey 25mins & amp ; $ 25 fare . check 4 night stay fast & amp ; friendly & amp ; room 19th floor face Powel St. room satisfaction unpack head explore San Francisco . stay breakfast morning fine never dinner visit different restaurant night . we find hotel facilite fine & amp ; every member staff go way make stay enjoyable one . overall nice stay Chancellor & amp ; return San Francisco stay . 
 Sep 26 2009 	 great location - fantastic staff 	 return five night stay Chancellor , love charming hotel ! although arrive early room ready we , really appreciate . get room ask , high floor view Union Square . anniversary gift champagne picture frame lovely . room smallish side , previous poster mention , uncomfortably . bed one comfortable ever sleep , pillow menu nice touch . problem lack air conditioning , even though heatwave there . the staff hotel first class . friendly helpful , management certainly proud ! eat breakfast Luques morning . portion generous , food good . complimentary coffee , tea cookie available lobby also nice touch . we enjoy stay Chancellor , would love return day ! 
 Sep 25 2009 	 top location staff 	 great location want downtown , across road Union Square . much like city atmosphere outside hotel , offset cool , calm comfortable reception step Chancellor . impressed cookie coffee always available like feel small bar area . breakfast restaurant serve promptly , excellent quality big portion . ok pay think well worth . reception staff helpful direction , advice recommend great chinese restaurant suit taste . room plenty big enough , clean comfortable . comfortable bed like choice pillow deliver promptly . sure warm time without a / c time ( night ) tad noisy . heart city , hotel character love . 
 Sep 24 2009 	 average work be room day . 	 not accept room level 1 - 4 face interior building . 's airflow room warm ... uncomfortable . people front desk pleasant , except one woman short complain room . next night , move suite bed , couch 2 bathroom . completely unnecessary , room bed bathroom actually small previous room . not impress gesture suite way feel insulting . room clean nice . disappointed area stay restaurant selection hotel limit , not seem much . 
 Sep 23 2009 	 Lovely Honeymoon stay 	 book well advance base Trip Advisor review find everything expect . welcome wedding gift picture frame much appreciated ( nice choice ) bottle red wine . the staff really excellent clearly top game . one small issue ( not really relate hotel ) deal professionally - thank you . I really rate fact management hotel post response comment site whether good bad - 's sign care hotel guest . free coffee / tea lobby along cookie apple nice touch . bed amazing pillow selection comfortable room temperature even without A / C.Our family occupy 3 room stay report good . would choose stay without doubt . must also give mention Cheesecake Factory opposite ( top Macys ) - great food reasonable . thank Chancellor . 
 Sep 20 2009 	 great location helpful staff good night San Fran 	 stay Chancellor 3 night start two week trip along East Coast . rate get website bargain , much cheap centrally locate SF hotel , include $ 75 room credit too . the room nicely refurbish , large tv , comfortable bed , walk - in wardrobe , small clean bathroom - though overall small advertise . view union square . all pleasant stay Chancellor . breakfast nice , though portion huge . Recommend try Cafe de la Presse Limon Mission . 
