Nov 	 good hotel great location 	 good clean hotel excellent location two minute pier 39 
 Aug 23 2009 	 great location friendly staff 	 husband stay Radisson four night positive experience . location perfect , one block Fisherman 's Wharf . Ihop , Johnny Rockets , Subway , 7 - 11 block . staff friendly helpful . 4th floor , corner room fantastic view city . read loud A / C , come equip earplug . bed & amp ; pillow extremely comfortable . room small , adequate . importantly , room clean . yes , would definitely stay hotel . 
 Aug 23 2009 	 Moon ` ` Location Location Location . 	 Hotel bit ordinary , square box , nothing special room adequate even little small . stay 2 week holiday July 2009 . would go back hotel look luxury 's location make everything else . concergierg amazing . name Ron Davis . ask simple question area SF get complete history . really nice interested man . Radisson look . treasure . much see area dwell short cominge hotel . ok sleeping purpose . SF hotel need . 
 Aug 18 2009 	 Great location- homely bit date 	 workmanlike hotel i.e . provide decent room , solid service great location . plush fine job want i.e . see area 3 night reasonable comfort . prosroom reasonable size , clean , homelyservice fineOn pier 39 great view bay , Lots restaurants- try Boudin upstairslot activities- e.g boat trip , toursSan Francisco centre 15 min via tramSan Francisco great ! ConsCorridor area tiredbathroom smalllobby smallpool smallno restaurant 
 Aug 17 2009 	 Location location location 	 first impression hotel old outdate . however , staff friendly informative . bed hard . carpet wet sticky area inform front desk tell would take care , surprise never . hotel usual Raddison price o.k ... comment honeymooner time inspect behind toilet paper roll , not well thing honeymoon ? ? not know would stay hotel location . 
 Aug 15 2009 	 Super location 	 good part hotel location . block Wharf , Pier 39 , cable car turn around , restaurant , shop even grocery store . hotel date . fortunate pay less $ 150/ night pretty good San Francisco . therefore expectation not high . second floor view window headlight car park lot outside . floor room appear grungy . bathroom clean update compare rest place . might noise , tired walk city day , not trouble sleep . not mind fact restaurant not hotel , prefer eat local establishment plenty nearby . pay , would disappoint quality . however , get another good price like time , would stay . 
 Aug 15 2009 	 listen review 	 hotel one poor excuse Radisson . not go photo . 6 night book , fortunate leave 2 night go Argonaut Hotel Wharf . little money oh , worth . Radisson , bay front room . yes parking lot everyone smoke . keep window closed time . one review mention odor room . smoke , not know come room night even window open . smell like sewer . carpet soil . control bed miss . guy maintenance finally find bed blame maid . close window , choice musty wall a.c . loud . lobby joke . suitcase place , place sit . 6 chair anyway . arrival , guy come greet we cab , leave . think go get cart . never return . want cab , wait line front desk ask call cab . wait could long 20 minute . restaurent site . Johney Rockets Hop next door . photo pool look large . . sit outside smoker . not smoke , miserable . not even try place . go Hyatt , block away , Holiday Inn street Argonaut . even Sheraton five star compare place . Raddison need completely renovate dump ! shame . thank goodness able move hotel , otherwise , would go home Orange County ( CA ) . & quot ; really nervous ever stay another Raddison , anywhere . listen other . 
 Aug 11 2009 	 Excellent location family break 	 find hotel good value money . ok lot complaint .... comment like & quot ; stay Hilton & quot ; .... would surprised Hilton available price hotel . with child age 7 10 location excellent , especially access right wharf ..... bed comfortable find staff friendly ...... pool bit small kid love stay long ...... downside opinion bar lounge area ....... apart ideal short family break , . 
 Aug 10 2009 	 v disappointing : shabby grimeyy noisy poor value - many well option 	 stay lot hotel mostly not write review - think place particularly deserve praise shortcoming highlight . we choose end 3 week honeymoon roadtrip stay small , cheap place 3 night , good experience many Radisson hotel . read review base previous experience elsewhere figure would perfectly ok even stylish place - want good night 's sleep good location . even modest expectation disappoint . the prime location reason think get away keep shabby place - stay well maintain , fresher , attractive motel fraction price . look like decorate depressed person 70 be change since . twice see housekeeping staff need help lift ancient , grubby cart fresh towel linen grubby rickety shelf beside dirty mop lip elevator . one lady tell ask new cart age joy.- noisy : room 4th floor Beach Road side . crappy , thin window make sound like every street car truck trundle right room . other say , hear everything hall , stomp chatting vacuuming . buy ear plugs , not help much . could get good night 's sleep . the air con really loud - loud small room do not use , even though want half hour cool stuffy room little.- SHABBY : go gently pull back musty old net curtain look filthy dirty window crappy cheap rail fall right window . first view enter room giant , unsightly build - in - highschool - carpentry - class tv - wardrobe unit stand several inch wall back panel simply rip open bottom sticky , dusty cable tv spill . enough space unit wall carefully inch case gap . have firmly shut wardrobe door several time would finally stay shut - could not leave open would block tiny passage way end bed tv unit.- GRIMEY : surface immediate view clean - every nook cranny behind door , desk , sink etc good clean long time . clump grime space behind toilet roll holder put new roll try hide - sloppy work , simply wipe corner every day lump grime could build . location good although hindsight would prefer block away Fisherman 's wharf - obviously nothing hotel ! many well option close by . the bed comfortable enough nothing rave . Front desk concierge staff fine , nothing outstandingly awful nothing outstandingly good either . 's . $ 45 day parking , $ 5 10 min internet lobby , $ 200 shabby , noisy , grimey room could not wait get away - enough pro 's make con . 
 Aug 9 2009 	 noisy every aspect food drink expensive 	 noisy old a / c unit , bathroom fan , could hear next door run water hour , child allow run corridor hour , door bang early mornings.no restaurant bar.or room fridge . expensive get total rip . advice go somewhere else like Hilton use one LA far outstrip dump . 
 Aug 6 2009 	 great location - great hotel 	 travel peak long weekend SF . Fishermans wharf fantastic location great view ( hotel across road ) . hotel right action . complaint ! front desk prompt courteous , room clean well fit . bed comfortable trip - sleep 8 hrs solid first night . like sleep cocoon soft setting . easy access restaurant take away . shame San Fran cold summer - able use swimming pool . internet access include bonus . 
 Aug 5 2009 	 ideal location 	 perfect location - hotel friendly clean concierge extremely helpful daughter break arm . room not huge comfortable girl love adjustable bed also great view Alcatraz . tv limited number channel . breakfast next door IHOP brilliant 
 Aug 4 2009 	 Excellent every way ! 	 friendly check - in , extremely helpful concierge give excellent tip direction , wonderful maid service . nice , warm pool kid , adult enjoy fire pit . hesitant reading review , none negative experience post people . central location want Fisherman 's Wharf . stay 4 night , would highly recommend other . 
 Aug 3 2009 	 rip - off ! 	 first , say positive . staff check - in desk great concierge helpful . what not like . book hotel suggest room abay view . theree 15 acxcording check - in desk . our room 2079 seem right opposite dumpster pick . early ! 3 morning week street clean 12 a.m 6 a.m. great ! faciltie fro breakfast . go next door IHOP . poor ! want kettle make tea ? . get hot water , go buy milk go road . give option use coffe jug boil water ! tea taste coffee ? you . do understand english people like tea ? not get toursist ? ok know English strange arrogant , hotel need exact revenge indiscretion . parking ? Rip - off ! throughout whole stay USA hotel well value facility Radisson . suppose highlight stay close Fisherman 's wharf bay view . ha ha ha ! Radisson , could learn Holidya Inn Express , day Inn number small private hote ; compete . 
 Aug 2 2009 	 well situate 	 bad opinion , well situate close Pier 39 . nothing remarkable either way really . breakfast adjoining IHOP say good breakfast state - hot , fresh tasty . 
 Jul 27 2009 	 not stay ! ! 	 room tiny , ancient air conditioning unit extremely noisy , vent bathroom attach bright light also loud . check clerk tell we way change room even though check early two night . room look parking garage roof many room . ice machine break . hall dark depressing . many hotel area town . choose another one . 
 Jul 27 2009 	 date ok . 	 say subject decor bit date . hotel also smell bit funny nothing concerned . want & quot ; touristy & quot ; area Fishermans Wharf could not much well location , be back door . I make 3 trip reception could actually get room problem room key . girl reception helpful concierge not clue . it be bad spot depend side either view city alcatraz . 
 Jul 12 2009 	 never . 	 would like start ? room : average , lovely view look car park . thin wall ceiling , uncomfortable bed , lot closet room . bathroom okay be it . maid : well lot thing keep disappear room- nothing value weird clothe keep disappear . not close bathroom door return open main door hit bathroom door main door rebound you . staff : Asked 5 am wake call book trip Yosemite cost $ 300 , luckily set alarm phone reception fail phone wake we . apologetic whatsoever complain see well be matter . whenever enter hotel / lobby friendly welcome nothing . location : yes good Fisherman 's Wharf however get bus Union Square fast cheap well hotel . gym : joke . old worn treadmill weightsswimme pool : mouse 's small . 
 Jul 12 2009 	 Fantastic Location 	 stay Radisson 3 night love . room not big nice ' ve ever stay clean location well . room fairly quiet street go pool thru door way Fisherman 's Wharf ! seal , Alcatraz , street performer , right . love location , walk Pier 39 cable car , easy walk husband wear leg brace walk cane . number hotel entertainment easy walk distance great . double decker bus tour right outside door . left walk across street Dollar Rental pick car . highly recommend hotel . 
 Jul 10 2009 	 really want like hotel ...... 	 usual , trip , come Tripadvisor read review . really desire stay near fisherman 's wharf weigh pro con Radisson surround hotel . also , find Radisson King Tut package seem great - include two ticket King Tut exhibit DeYoung Museum two ticket Wax Museum street hotel . also include parking . oh , factor Radisson 's favor Sleep number bed ! fact seal deal ! well ....... start ..... hotel across street bay , majority room bay view . pay balcony get courtyard view well view street parking area . room small two double sized bed . sleep number one controller bed , one controller side bed queen king bed . say like type bed . hard adjust noisy - - awake 12 midnight listening guest adjacent room adjust bed . think leaf blower sound make inflate ! - - bathroom date wallpaper peel three different location . mold grout near bathtub .... would say comparable motel bathroom , hotel . - - aircondtione sytem window system thermostat ... either swelter freeze middle night . - - card key would work let we hotel parking lot , husband walk way way let we hotel room . - - maid knock door 8:30 a.m. morning checkout see still . unfortunately , be . there plus ! Johnny Rocket restaurant access back hotel . great treat daughter play jukebox table . the plus think location . Fisherman 's Wharf . next time , think stay one nice hotel near Union Square take cable car taxi . place nightmare . 
 Jul 8 2009 	 enjoy stay 	 hotel good value . room nice size comfortable . safe room free internet . sleep number bed comfortable . book room courtyard surprised find good - sized balcony could sit enjoy weather . beat location access everything San Francisco offer . 
 Jul 3 2009 	 good location ..... 	 great location near fisherman 's wharf etc however hotel need complete renovation . seem stick drap 1980 's timewarp - ok like Duran Duran otherwise .... cleaniliess bathroom leave little desire , find dark black hair shower bathroom floor would alright black hair not leave wonder whose well room cleeane . very noisy hotel room . wake 5 morning bin empty tram start . whole room also shake anytime large vehicle pass . think hotel completely take apart , renovate update give clean modern feel . 
 Jun 27 2009 	 Perfect location pity service . 	 Location - directly Fishermans Wharf - be great , feel staff make far less effort people keep come back anyway . resrvation run together twice despite ask , key keep cancel , leave we strand bag shop outside room ( would problem lift busy SLOW ) queue behind we parking barrier . internet dodgy , say least , maid annoying habit knock door every morning ask checking , , . 
 Jun 26 2009 	 ok 	 hotel sell location . right middle Fisherman 's Wharf . able work internet find reasonalbe price $ 100 / night . sound good factor parking . + $ 40 / night value staying definately deminishe . hotel old building room clean adequately furnish . starbucks Safeway supermarket ( sell beer wine ) 2/3 block away . 
 Jun 23 2009 	 great locationbut nothing else 	 stay wharf 16th . got pretty good price 130.00 night . pay location , right across street wharf . room bay view . take car extra 45 night include tax . need car stay , not get one . sleep number nice , hear disturb noise thin wall . would stay holiday inn , free breakfast , parking expensive block wharf . would rent car stay across golden gate take ferry wharf ou wan see . good view eat wharf bubba gump , food price everything san fran . recommend hotel location . 
 Jun 18 2009 	 Radisson Fisherman 's Wharf 	 honeymoon trip book ' bay view ' room week Radisson Fisherman Wharf . bay view also include hotel car park though , not quite mind . for $ 280- $ 300 night , room look like frozen time since 1985 . poor value place would recommend traveller price . you could swing cat around bathroom , though soggy toilet paper - cause water drip basin next toilet - would surely cushion moggy 's impact . the fitness centre though curiosity value , equipment look like ship prison close 1962 . museum gym opinion . the location ( directly opposite Pier 39 ) hotel 's save grace . avoid cost otherwise . 
 Jun 17 2009 	 great location - great value ! 	 wife stay first time San Francisco . location close everything easy get public transportation tour whole city . even take BART trolley right door airport . room clean newly redone , nothing special , certainly adequate . concierge helpful give direction staff nice . plenty load touristy restaurant right Fisherman 's Wharf . short trolley cable car ride fine dining . 
 Jun 15 2009 	 Location location 	 unbeatable wharf location . close shop / dining . expensive parking . room bathroom bite small clean comfortable . nice balcony two chair / table view bay city . front desk staff fast pleasant . cozy outdoor fire pit area perfect sit drink relax see sight . 
 Jun 15 2009 	 great staff . 	 staff nice helpful . get early let we check well check time . room little small serve purpose husband . really not like area much , Fisherman 's wharf crowd stay length time . plus restuarant area little expensive . outdoor area hotel nice , fire pit wicker furniture around . sit lot night . 
 May 27 2009 	 Noisy 	 stay 4 day & amp ; unfortunate pick day 160 strongyouth choir Michigan .. absolutely run amok first night .. shouting & amp ; run corridor 4.00am .. dust cart start collect rubbishoutside .. , not get sleep first night .. several people complain front desk & amp ; add view .. choir leader approach management & amp ; second night quieter .. third night even bad first night .. hear fight Hotel guest & amp ; choir member floor .. certainly would go back .. hotel fisherman wharf 
 May 26 2009 	 Superb location limit facility 	 Hotel ideal location Fisherman 's Wharf back door lead Jefferson Street . room fantastic view Alcatraz Golden Gate Bridge , pay high room rate secure . disappointing bar restaurant hotel . 
 may 25 2009 	 average hotel great location 	 not plan stay San Francisco trip end leave wine country early . research search navigation close pier 39 check room decent price . hotel nice part easy access car also IHOP corner nice breakfast . thing not like layout hotel not good . good stay . 
 May 23 2009 	 Great Location 	 Radisson great frill hotel right middle & quot ; tourist trap & quot ; . say , within walk didtance pier etc around Fishemans wharf . good value . 
 may 6 2009 	 would not consider anywhere else 	 early fitie , first trip SF . tremendous amount research prepare itinerary . number 1 priority stay & quot ; water , view room , & quot ; choose Radisson look picture various website & quot ; waterfront & quot ; hotel . stay room 4117 , can not even begin tell tremendous view ( Alcatraz , Golden Gate Bridge , Fisherman 's Wharf people watch spot , magnificent Pacific sunset . ) yes -- - 's late great hotel SF , not matter we . be willing sacrifice get want . room clean place ' ve stay , every employee meet throughout stay go way say & quot ; hello & quot ; ask we need help . originally reservation Argonaut ( highly rate , water . ) however , change Radisson 1/2 cost , could not see & quot ; waterfront & quot ; Argonaut picture . walk Argonaut one day check , not see room ' view could possibly compare . would not even consider stay anywhere else ever go back San Francisco ( incredibly fun / educational / scenic vacation , way ! ) 
 Apr 24 2009 	 Great Location .. ... 	 undoubtedly great location . right Pier 39 's quick easy catch F trolley downtown . say ... first think room great quiet . weekend . sleep number bed play thing hear blow wall . also ... bit noisy . could hear traffic street sound window . room definitely need upkeep disgusting mean . black mark wall .. bit wear tear bathroom etc . staff nice , swamp . seem line everything , concierge , front desk , coffee . 's busy hotel . great location ... hotel experience nothing exciting . several hotel area close easy reach Radisson . go back San Francisco likely stay hotel away wharf close Market street . order use public transportation anywhere .. train , bus trolley head Market street , would much central . also wharf fun .. 's pricey eat spend much time . 's easy place get via trolley would not worry stay bit away . positive : pool nice , clean warm . 91 degree .. pool great . 
 Apr 22 2009 	 good location stay ! 	 good hotel stay one tourist look explore city culture . good view soon step back entrance hotel pier 39 bay . lot great restaurant , great transportation tram , street car etc well , everything right include IHop . even walk Embarcadero awesome Thai restaurant call Osha Thai Farmer 's Market . Johnny Rockets right outside door ! flip side housekeeping choose ignore Disturb sign couple time . staff helpful cordial room spotless super clean adjustable pillow mattress setting . great price 100 dollar night rate get hotel website . go back since . 108070900 
 Apr 14 2009 	 great location next attraction short walk cable car 	 stay family three night location next Pier 39 excellent dine two time . 3 - 5 min walk cable car station lot fun visit San Francisco , would choose hotel reason well . Fisherman 's Wharf area cool even middle Summer , please prepare . 
 Apr 10 2009 	 location ... location ... Location 	 Stayed weekend 4/4 - 4/6 fantastic part vacation . weather unusually perfect SF ... 70 's warm sunny w/ fog . hotel good & quot ; tourist & quot ; location far . across street fish market Fisherman 's Wharf , Boudin 's Sourdough , Pier 39 . be travel w/ kid , Pier 39 family orient w/ many restaurant sea lion . also cleaner safe ... w / out street people will see wharf ( remember city ) within walk distance streetcar , cable car , Alcatraz ferry . 's Radisson room clean , comfortable , maintain . update refurbishment necessary point must difficult hotel always seem book due location . ihop restaurant Johnny Rockets connect Radisson fine breakfast . certainly nice hotels Union Square downtown seem cater business traveler . overall , would stay . Holiday Inn , HI Express , Hilton , Sheraton nearby look comparable block wharf . unlike review , find noisy front desk staff friendly . 
 Apr 7 2009 	 good location bit need update 	 stay three night . location great hotel decor disappointing . bit drab . room average view car park . bar coffee bar also snack . outdoor sit area fine . gas burner colder evening pool . ask change room view staff accommodate . however Conscierge helpful order we taxi . really nice gentleman even know good line Clint film . 
 Apr 6 2009 	 great location 	 Great Hotel good location . fridge room . Rang reception Australia every room fridge , deliver one room 10 minute , cost . 
 Apr 6 2009 	 great location '' 	 family stay Nov. 2008 happy hotel . it locate right heart Fisherman 's Wharf step awayto many restaurant shop . the front desk staff courteous helpful seem happy us asguest . a bellman help luggage give we overview walk room . we lovely view Alcatraz enjoy watch boat bay . the room spacious -- especially bathroom . one nice hotelsbathroom ' ve ever see ! bed comfortable room mini fridge . we definately recommend hotel . 
 Apr 2 2009 	 look elsewhere ... BOO - his 	 Okey , price good cause stay 5 night get room face noisy Beach Street wharf unless wish pay $ 250 price tag view room . plug computer power strip night awake fry hard drive ... bring SURGE protector . beverage maching eat money first night , put sign machine alert lobby ... take sign not fix machine ... ever ... little fridge room ( microwave ) leave we cart gallon bottled water drinking ( tap water suck ) one two can coke sit tiny ice bucket per day . desk staff surly maid pleasant thorough . 
 Mar 30 2009 	 ideal location short stay 	 comfortable great service advice visitor . walk door great choice ferry ride , tram route , shop , restaurant , fish bar , view Bay . 
 Mar 26 2009 	 Best Family Location SF 	 ' ve stay location SF , not feel safe dark Radisson , 's entrance across street Pier 39 . much City family , spend time hotel seem like waste time , location , cleanliness safety paramount . lucky get great deal online directly hotel , also score value . walk Argonaut , Sheraton Hilton plan next trip , kid insist stay Radisson due prime location . stay east side fourth floor concern noise , would stay away room elevator . 
 Mar 17 2009 	 Nice conveniently locate hotel 	 great location explore San Francisco surround area . f - line street car run straight past hotel great accessing downtown area , lead noise front hotel . it centre Fisherman 's Wharf local attraction like Pier 39 , restaurant ferry within 5/10 min walk . there 7 - 11 round corner essential need , large supermarket ( Safeway ) couple block away . the historic cable car minute walk away . I would definitely recommend hotel base explore fantastic San Francisco . 
 Mar 10 2009 	 crummy hotel would never go back 	 could place ever get 3 star bar restaurant fridge . rtoom appear clean opened curtain layer dust dare turn air con solid dust . to fair staff friendly location good front quiet nearly $ 200 night feel complete rip ! 
 Mar 9 2009 	 would stay 	 Hotel excellent location , worthy Radisson hotel . room shabby , do not expect good night sleep window double glaze , noise traffic keep awake . hotel good location pier 39 , definately recommend hotel due location , sadly hotel need refurbishment . 
 Feb 26 2009 	 grubby hotel superb location sightseeing 	 hotel shabby , service bad swimming pool cold use minute time . the room clean date . I would stay plan spending much time make good base sightseeing hotel nearby would probably comfortable . 
 Feb 21 2009 	 fantastic location ! 	 mean first trip San Francisco , first time actually decide find hotel Fisherman 's Wharf area . stay Radisson fully meet expectation . nice , comfortable room amenity , great helpful staff location , entire city fingertip . pier 39 attraction right across hotel , fact wake every morning sound famous sea lion . want go Downtown , historic streetcar F - line stop right front hotel , hop - on - hop - off sightseeing bus one block away . the hotel restaurant ihop next door Fisherman 's Wharf restaurant within walking distance , well 7 - 11 convenience store around corner , one really need one . drawback hotel rather poor soundproof room , , however , seem feature many SF hotel . enjoy stay next time sure try go back ! 
