excellent 	 stay 7 night - 2 different room . room noisy morning hear people talk loudly slamming door . second room next room renovate may explain noise - sure first room . staff mostly ok except grumpy lady 30 awfully unhelpful . provide locker $ 2 per usage need leave bag hotel check - out . first room small second slightly big new . sell point hotel location 31st & amp ; Broadway 2min walk Macy 's 1min walk subway 1 stop Times Square . wife Thanksgiving could catch parade literally around corner . yes , need cab , get one street one , reception charge ridiculous price . room come free wi - Fi internet access LCD tv hd channel . 
 oct 9 2009 	 easy hotel ever stay . 	 many hotel easy get around . close everywhere . room great service fantastic . I love could walk Broadway many restaurant . 
 oct 9 2009 	 good value 	 really like hotel . room lovely , bathroom huge NYC hotel room bathroom ! big bathroom home . bed extremely comfortable hotel quiet , although construction site nearby start clank away 7 am . think free coffee hot chocolate nice touch , although never take advantage . washer dryer back first floor long stay . also storage locker luggage check , little strange , hotel hold luggage free be ready actually leave . the real complaint check - in . two people reception , woman help someone , go man 's window . well , apparently busy flip idly reservation , totally ignore . woman finish check people , chirp & quot ; help ! & quot ; ' m glad , know long would ' ve stand guy lower actually job . bad first impression , hotel nice great value money . 
 Oct 8 2009 	 New York budget 	 stay hotel week great experience . hotel locate near everything : Times Square , Penn Station , Broadway , May 's . easy go anywhere ! room small everything need clean ; bed comfortable ( miss bed ! ) . service good staff nice friendly . also , since book many month advance get great price ! 
 Oct 8 2009 	 Theater Trip New York CIty 	 stay Herald Square Hotel , nice . people helpful , room clean adequate , decor beautiful . far Theater District , reasonably price . see Billy Elliot Phantom Opera superb . see Phantom , never tire , seat directly chandelier . Billy Elliot one good show ever see . seat & quot ; peanut gallery & quot ; , could see everything fine . way set do quite intriguing . see Trent Kowalik Billy , amazing dancer actor , boy play Michael ( David Bologna ? ) cute funny . eat Metro Cafe , wide variety food reasonably price . also visit Madame Tussaud 's Wax Museum . although figure good likeness , many , lot fun . intrigue chair , table bench set middle Times Square . great time - short . 
 Oct 3 2009 	 way overhype ; really great 	 book base rave reviews Trip Advisor Yelp . room nothing like photo website . not one renovate room really tired . not flat screen tv ; old fashioned bulky 14 & quot ; tv . bathroom tiny bathtub like something horror film ; discolour deeply mark several place rubber matt glue tub cover god know . bathtub long overdue replacement ; disgusting . extremely strong bleach smell bathroom check ; least clean . bad part rule one pass key card per room . three friend ( state reserve back August ) force share one pass card entire 6 day . stafff refuse let we another pass card room extremely inconvenient big hassle . way , responsible adult late 30 's 40 's party teenager . manager manageress rude matter . disappointed dinginess tired room base image present website . also free coffee available 7 10 3 pm 7 pm . want grab coffee 10 12 pm , luck . also order time times suppose available . summarizing , good location room nice noisy even wooden shutter . bed comfortable . room phone not work properly either friend nearby hotel unable contact we stay call could transfer room . like back 1940s . ok ; would not stay , not really charm website conjure . 
 Sep 29 2009 	 Perfect traveller look great value money . 	 ' m write belatedly , amazed hotel not rate highly . completely shock high price accommodation NYC , friend recommend TripAdvisor spend lot time research hotel NYC . come Australia , lot travel , need mindful spent hotel room along way . look & quot ; clean & quot ; , & quot ; comfortable & quot ; , & quot ; safe & quot ; hopefully room size shoe box . we arrive NYC late night , book hotel line great price ( time , 3 year ago , US $ 99 room ) keep wonder hotel might good true . not . love room ( 2 double bed ) , small adequate bathroom - heap fluffy towel provide - plenty room luggage . great stand window night watch New Yorkers go life . each morning , husband would go convenience store around corner buy yogurt , fruit vendor corner bring back coffee lobby area breakfast . make use free ice , use internet laundry building . love quaint poster wall , enjoy building 's history . 's position NYC central , little way away Times Square , suit we . and Penn Station , easily walkable , block away . for people not wish stay 5 4 star hotel ( whose budget not allow ) can not go past hotel . backpacker holiday maker , check hotel 's website , might get bargain like 2006 . 
 Sep 29 2009 	 good hotel ... good location 	 Hotel absolutely fine .. room spacious , clean quiet , even first floor .. staff helpful courteous .. fairly easy walk east west use subway north / south trip .. one thing aware ... Room advertise $ 249 per night .. add four different taxis , become $ 289 per night 
 Sep 26 2009 	 good budget hotel 	 stay four night hotel . renew room nice : excellent beautifull bathroom ; confortable queen beb ; free wi - fi ; safety box ; hairdryer ; work desk ; cable tv ; everything clean work properly . coffee machine chocolate lobby usefull . negative point minimal importance , : room service , never use anyway hotel , problem we . minibar , ice machine lobby . small reception , not go NYC stay hotel reception . restaurant , plenty restaurant nearby . of note : stay one night expensive Sheraton , room Herald Square much well hotel . if want luxury ( pay ) look hotel , look simple nice hotel good sleep night day full activity , really good one . 
 Sep 24 2009 	 awesome bed monica ayleena .. star 	 fantastic location right next Empire State Building , easy access whole manhattan,1st room lil dissapointing , lil tired look bed amazing , spend 4 day 6 family last two day back hotell,2nd room fantastic totally refurbish , amazing bed , wonderful decor , lovely towell , two staff deal wonderful , Monica Ayleena , try get girl , friendly , accomadate professional.all would use hotel would make sure book new room awesome , slight noise air con outside nothing moan , view speak hey NY ... hope back next june /july , thank Herald Square lovely visit .. kiss J , xxxx 
 Sep 23 2009 	 Superb location really clean nice ! 	 stay hotel 4 night September partner . choose hotel base review TripAdvisor say great choice . hotel 5th Avenue , room 8th floor clean cozy staff helpful . book one month advance get excellent rate . really recommend ! 
 Sep 22 2009 	 comfortable basic great location ! 	 stay Herald Square Hotel 8 night September 2009 . travel alone small room en suite bathroom double bed . basic hotel , comfortable clean . bed big bathroom spotless . view terrible - airshaft , sleep shower view priority . room flatscreen tv lot channel include HBO . good night tired want stay also check weather morning airshaft view give clue ! staff friendly , problem . high speed internet available $ 1 per 5 minute use couple time without problem . tell staff hot drink available lobby , never use facility , often see people sit seat area around drink machine . location hotel probably good thing , right heart midtown , block Empire State Building Madison Square Gardens . perfect need pop back drop shopping bag get change dinner without waste much time . also near subway stop , use often . complaint would seemed build work go room near morning hear loud bang various noise . not major problem get early day , would find irritate . maybe check room near building feel would bother . overall , enjoy stay , expensive , work £ 100 per night include tax , think New York get ( eg . comfy , clean , great location ) bargain ! 
 Sep 17 2009 	 central location simple room 	 return NYC vacation . Herald Square practical affordable option well worth money . great location subway Herald Square well walkable distance Times Square Theater District . front desk staff friendly check helpful . queen room one remodel one clean tastefully decorate . room one 4th floor back quiet . room large okay New York leisurely hotel stay , explore great city simply nice place sleep . bed comfortable . bathroom small say least clean . shower also good pressure sometimes trouble old hotel . the negative would say sleep one day not want maid service leave disturb card door . come back long day touring find room clean . not bad clean fly late night stuff everywhere want settle bit cleaning . plus , not like waste water energy room clean everyday . slightly perturb staff disregard disturb sign clean anyway . also , enjoy complimentary coffee , tea , chocolate lobby . Free Wi - fi well use really appreciate . 
 Sep 11 2009 	 good price . frill even shampoo . 	 lobby scary - feel like step hotel Eastern Europe Cold War . hotel staff sit frighteningly behind glass , like cheap motel . front desk staff efficient , bit cold . answer question , definitely , work & quot ; frill & quot ; policy also . elevator slow , though work fine . I fifth floor . hallway maybe 4 ' wide , not mind - 's part ny charm . room , woman front desk describe & quot ; upgrade & quot ; bare bone bare bone come . idea reviewer talk describe wonderful room granite countertop . main room 2 full size bed - great - comfortable . otherwise , basic old green carpet , old laminate shelf run along wall hold TV . alarm clock , waste bin , desk , closet door , mirror . bathroom basic - one sink . generally clean except odd hair . tub / shower happily clean . shampoo , conditioner , make sure bring . since sleep time , fine , be look luxury , try impress somebody ( family , honeymoon , romance ) , would recommend . be young , budget , spend minimal time hte hotel , be fine . $ 2 locker lobby let store bag day check be immediately run airport . use last day - convenient , though ' m accumosted hotel hold bag free . oh well . maybe use $ 2 buy shampoo lesson customer service staff . oh , doorman concierge , fun wander 5th Ave flag taxi . 
 Sep 11 2009 	 Friendly Staff Great Price 	 stay hotel July couple friend base recommendation receive . friend tell , expect great service , free coffee nice room : expectation meet . definitely stay . 
 Aug 24 2009 	 great location staff rude 	 heart Manhattan ( area Koreatown ) walk distance close everything . 's good budget choice , service reception terrible ; staff rude , unsmile , helpful seem give impression paycheck . I work year tourism even imagine behavioure way ! room small , clean functional , though non renovated room ; comfortable mattress , flat screen tv . 's noisy street , 24 hrs day , even night ) 
 Aug 9 2009 	 Pot Luck 	 Booked New Queen room two month prior stay . arrive late evening send old musty room bathroom describe cupboard side stank . go straight back reception tell room available would see could morning . follow morning go back reception . give key refurbish room available . tiny room ground floor , back hotel view wall worker cradle . Reception tell we room give we first night & quot ; grade & quot ; GUARANTEE GET room booked.the choice therefore large smelly room tiny smelly bathroom , tiny clean refurbish room unable shutter ( outside inside ) open workman right outside window . choose latter . that say , room clean , bed comfortable . bathroom small clean bright ; however , shower nightmare water temperature totally random . way wash hair , grin bear it . the location good near restaurant subway station . previous reviewer thankfully find different hotel one experience ; however , would seem we pot luck whether get nice room . 
 Aug 8 2009 	 good option family travel NYC 	 hotel nice clean , good option budget traveler . good , consider review hotel NYC , people find rat , cockroach , etc . you breakfast hotel , free coffee , hot chocolate , tea , etc . lobby morning afternoon . the location good , subway one block away , also close time square . there plenty place eat reasonable price . the room good , big clean . bathroom OK , problem shower work properly . impossible mix hot cold water . solve take bath , relax , take long time . 
 Aug 3 2009 	 great 	 great experience , excellent location , staff nice , would stay sureandreia - Rio Claro - Brazil 
 Aug 3 2009 	 great design clean hotel ! good value money ! 	 Perfect Located centre Manhattan , near subway station safe area . room clean , bathroom , newly decorate , little bit rude personel . 
 Jul 28 2009 	 beautiful ! 	 stay Herald Square Hotel boyfriend never New York . room beautiful romantic . high ceiling gorgeous marble bathroom shock we , , budget traveler , accustom anything like . also , cool building lot history ! Korea Town GREAT next door . go $ 30 meal give much delicious food . amazing ! would definitely stay , make sure ask New Rooms ! 
 Jul 28 2009 	 lovely hotel - bargain price great location 	 recommend friend , great hotel great location . friendly reception , nice spacious free self serve coffee lobby . room plenty big enough family 4 ( 2 Queen bed ) . empire state building literally round corner , short walk Penn station train NJ , Times Square far either . slight problem loo first night sort immediately . clean . would definitely stay again . fantastic breakfast nearby Cosmic Cafe . highly recommend ! 
 Jul 26 2009 	 good value NYC 	 can not really add anything review already give Trip Advisor - great location , clean , polite staff , great value money . budget hotel go expect room service huge penthouse suite ! little tip - arrive / depart JFK not waste time money taxi shuttle bus , particularly arrive rush hour otherwise get stuck traffic . much less hassle take Air Train airport ( $ 5 ) follow Long Island Rail Road ( LIRR ) Penn Station ( approx $ 4 ) . Penn Station couple block walk hotel . it be also good idea check various website good price booking . try hotel 's website ( easy find via google ) , Expedia Booking dot com . 
 Jul 23 2009 	 great location 	 Herald Square Hotel locate center Manhattan excellent location , close subway station . bathroom clean large , nicely decorate . room also nice . good choice business leisure traveler . 
 Jul 23 2009 	 Fab location great hotel 	 back New York , hotel good .. clean central . empire State building around corner , Times Square 10 minute walk . we queen room bathroom . room good size , bed comfy , need walk around NY day . room ground floor , small window look onto fire escape , tell want could move . not bother we room sleep . hotel perfect holiday NY ! 
 Jul 18 2009 	 WONDERFUL PLACE stay 	 June July 2009 daughter stay Herald Squre Hotel . time great , July stay , arrive early front desk upgrade room extra charge could go ahead rest awhile . room much nice room get service excellent city sometimes questionable . hotel n middle everything , great play stay affordable price . thank much next trip definately stay Hearld Square Hotel . 
 Jul 11 2009 	 Fantastic Little Gem ! 	 Paris , stay 6eme arrondissement surround neighborhood rich bohemian parisian artistic culture provide quaint feel . travel New York City , look quaint feel want New York City vibe culture . know expensive city never sleep much see . stay great metropolis , want able access New York City respectable budget . always seem find location , Herald Square Hotel . fantastic little gem ! accommodation outstanding , staff welcoming , location superb ( block Penn Station subway ) really get lazy not want head far feel like take New York energy , trendy New York type restaurant - cafe next - door . next trip New York City , stay location . highly recommend ! 
 Jul 8 2009 	 great option expensive ny 	 choose hotel 's rave review tripadvisor ' m glad . hotel great location , staff nice , room really big , great matress , clean bathroom . 's also complementary drink cookie looby . , price pay , be great option . 
 Jun 28 2009 	 Location classy great value ! 	 love stay NYC result hotel . location excellent . could walk Broadway Amtrak station ( block away ) . 's real neighborhood juice bar , hole - in - the - wall breakfast place , amazing pizza & amp ; salad place . rain hard , direct street vendor stand certain corner sell umbrella whenever rain ! get two $ 9 . get different look NYC time -- community action sort look . staff friendly professional . downstair automatic coffee machine amazingly versatile . laundry room v. efficient . one computer downstairs , place wireless . 's indian place serve lunch , Dunken Donuts / Subway fast food place ( yes , together ! ) well high end chocolate wine restaurant next door ; be also whole neighborhood fancy korean restaurant around corner . see lot german tourist hotel time . make conversation fun . do mention place lovely tasteful determinedly non - chain hotel kind way ? get sick second day want stay room nest , . v. comfort drugstore , acupuncturist ( Pacific College Oriental Medicine Broadway ) , juice stand close . we would stay anytime be NYC . wonder place city 's award good hotel value . 
 Jun 25 2009 	 Great Location ... good value 	 stay 4 night March part big US holiday . great location , room ( least ) big small . place clean though within walking distance everything need New York . definitely recommend budget traveller . 
 Jun 22 2009 	 Fabulous 	 love hotel . ' ve stay least 5 time . 's clean , neat inexpensive super well locate . also next door fabulous Wine Chocolate Bar serve 20 layer crepe fresh whip cream layer midnight outside NY City Stars ! ! ! 
 Jun 19 2009 	 nice experiance 	 Hotel nice location great first time New York . staff extremely helpful wonderful help question . room clean comfortable . stay next trip New York would recommend stay . rate reasonable . Gary Juliet Moore Tiffin , Iowa 
 Jun 19 2009 	 gem budget hotel midtown Manhattan ! 	 girlfriend stay 5 night great little hotel , situated area Manhattan commonly refer Koreatown . stay within walk distance midtown 's many tourist attraction shopping meccas , notably Macy 's Empire State Building - be sort thing - subway around corner , open rest NYC explore . also plenty place eat vicinity - range cheap street vendor fine dining - convenient hotel provide breakfast ( food matter ) . room stay ( new large queen bedroom ) nice size , lovely bathroom , huge , comfortable bed almost require step - ladder get top , intentionally doorless closet contain large digital safe , iron ironing board , large desk mirror , somewhat noisy air - con device corner window . much view window ( dour look brown brick building window display ill - keep half - abandon office storage space ) , anything like girlfriend would certainly NYC sit hotel room look window . room clean well daily basis , always find fresh supply towel provide return daily / nightly excursion . stay always meet friendly polite attitude staff , helpful occasion need assistance . check quick easy process , rate reasonable consider location hotel standard room ( $ 920.00 five night ) . , great place stay be plan visit Big Apple . 
 Jun 16 2009 	 Great Hotel - Great Location 	 recently stay 3 night absolutely nothing negative say hotel . front desk helpful , room clean quiet , price great , locate near subway stop . downstair washer / dryer , soft drink machine ice machine . lobby table / chair complimentary coffee / tea / hot chocolate . it everything good hope hotel . add bonus able check early , welcome surprise anticipate . fully expect store luggage locker , morning check stayed city rest day pick luggage late afternoon . check , pick brochure history hotel , interesting . hope go back NYC one day first thing go make reservation Herald Square Hotel ! 
 Jun 15 2009 	 fantastic hotel fantastic day 	 choose Herald Square Hotel search internet . price good NY , review great , book booking.com . fortunately everything go well ! ! ! first , location . 31th st near heart Manhattan . empire State Building 2 block away Times Square 10 min walk . 2 subway nearby , Herald Square Penn Station , access almost line . , hotel . sum , be really nice . reception 's & quot ; cosy & quot ; , work well fast . People friendly ready help question tip need . coffee end tea available free also great ! stay 3rd floor , view back . noise street air - condicioner bite noisy , constant sound irritate want sleep . big question , something rethink hotel management . room small , everything people need . clean , bathroom perfect day away home . , tip . use bus , be fast even transit , be easy understand go . buy metrocard , be 25 $ include subway bus 7 day . buy Citypass , be 79 $ include main museum , trip Statue Liberty Empire , allow avoid line ticket . go gospel singe cerimony church Harlem , be beautiful . take long walk Central Park , nice . Metropolitan really big , not go hurry . 
 Jun 4 2009 	 good budget choice 	 hotel reasonably close Times Square good choice budget . staff helpful arranged taxi airport . room small bathroom share price ok . 
 Jun 1 2009 	 absolutely fabulous ! 	 stay Herald Square friend week May . hotel fantastic - room really bright spotlessly clean bed comfortable , need day NY ! perfect location , round corner Empire State , Macys - 10 minute walk Times Square . staff come across friendly helpful really help make stay comfortable possible . I love Herald Square Hotel would recommend anyone - really could not fault ! 
 May 13 2009 	 Quaint hotel close Empire State Building 	 Quaint 9 storey hotel one block Empire State Building . stay 5 night renovate Queen bed room . room 918 top floor tiny outdoor courtyard view Empire State Building - highly recommend . quiet room , large bathroom shower bathtub victorian style amenity . large wall plasma tv , free wireless internet - big plus ! super comfortable bed pillow . great housekeeping service . friendly staff . one block subway locate 32nd street . pleasant walk Times Square . 24 hour deli opposite subway , recommend O'Reillys irish pub drink meal - one block away . good souvenir shop around corner . easy book website . organize airport transfer also . Recommend Citylights loop tour include 4 bus tour ( hopon hopoff ) , Statue Liberty Ellis Island , Hudson River cruise , choice ticket either Empire State Building Top Rock Rockefeller Centre - valid 48 hour prebooke get bonus day extremely good value . look theatre ticket try TKTS centre Times Square half price seat . play musical available except Wicked Billy Elliott . wicked worth buy full price - amazing musical ! love cake try Magnolia Bakery vanilla cupcake - YUM ! 
 May 4 2009 	 Hidden Gem 	 lovely hotel , clean , fairly moderncomplementary Hot Drinks morninggreat friendly helpful staff , easy check check out . connivent locker late travel . the room available able check hour early . also allow check little late unheard city . great clean bed , linen , roomy wash room . we room face office building hum loud street sound . we fun would stay . 
 Apr 27 2009 	 Nice Hotel 	 stay 4 night refurbish room ground floor ( decorate nicely beautiful parquet flooring ) . call advance request check early ( flight arrive early morning ) request room ready . location hotel superb room public aread clean . problem water shower keep go hot cold . never less would definitely stay hotel 
 Apr 22 2009 	 little gem - highly recommend ! superb location ! 	 search forever find we hotel Xmas season ( 17 - 22 Dec ) NYC one nearly pass . almost end Hotel Pennslyvania ' m glad not last time stay grubby , ' ve heard get grubby ! Herald Square hotel cheap nicer - 's brainer ! give refurbish room ( score ! ) lovely , not mind not much see window - end day - central ( right Macy 's ! ) . take advantage free coffee treat little cafe area foyer ( lovely touch ) find staff friendly helpful indeed . Broadway Fifth Avenue ridiculously close ( second walk ) Empire State hotel 's doorstep . be great find little place like middle big vibrant city ( especially price ) - 's sort gem want uncover everywhere go . say get pay , hotel felt get lot . 
 Apr 21 2009 	 ok room - terrible service check desk 	 lead group NYC room book professional travel agent month arrive . Herald Square hotel could not find reservation - verify 2 day arrive . credit card run total amount due mess we . room nice , shower would turn cold middle shower control shut heat room , room roast hot . fortuntely window work . electrical outlet strange place bathroom . request update room travel agent , guess lose also , old room . lastly , total amount room give charge credit card hundred high . would let leader group book room would happen . 
 Apr 20 2009 	 Prime location value money 	 hotel convinient location : Macy 's , Madison Sq garden Empire State Building within 10 - 15 minute walk . nearest subway one block away , Penn Station 3 - 4 block away . hotel 5 - star , class good one . stay 6 night renovate queen room , smallish adequate not want spend entire holiday hotel room . room spotlessly clean , cast iron bed super comfortable decor neutral pleasant . flat screen tv lot channel choose , free WiFi hotel ( ask code checking ) . also hairdryer , safe make - up mirror room . bathroom big airy beautifully decoreate early 20th century style . bathtub big rain shower nice . room clean daily bedlinen towel change . outside hotel look well get lobby : reception bit dull staff sit behind glass like post office . nevertheless staff helpful matter . get hotel , not get hot water maintenance guy fix 2 minute . limit service hotel : free coffee automat lobby , guest ' laundrette ( handy backpacker ) , vend machine locker room luggage plane leave evening . Herald Square perfect independent traveller not want pay fortune hotel . restaurant breakfast room hotel , plenty restaurant around , koreatown korean restaurant one block away . also post office almost next hotel , othere side street , small convenience store handy late snack buying drink hotel room . negative would probably drab decor hallway lobby , fact window courtyard quite dark , like ventilation shaft . central heating also bite efficient . pay around $ 180 night , make reservation well advance use hotel 's page . 
 Apr 15 2009 	 hide gem - wonderful hotel ! 	 hotel absolute gem . would class boutique hotel sure . great location , helpful staff wonderful amenity . disadvantage would coffee / tea make facility room . room small really cute . highly recommend hotel ! ! 
 Mar 31 2009 	 great location pleasant staff lovely room - fantastic ! 	 stay 10 day March find overall experience enjoyable ! PRO 's ; wonderfully central location , near Herald Sq & amp ; subway station . walk distance Midtown attraction , even Central Park 40mins push ! staff friendly & amp ; helpful request , safe location , wonderful restaurant & amp ; shop close ( try ' Speedys ' buffet style cafe ) . Room beautifully decorate , chandelier , comfy bed , widescreen TV- unexpected luxury ! CON 's ; daylight room add length jetlag ! ask quiet room near janitor closet- therefore early morning clammere talk radio corridor . heating room first 3 day , fix radiator would judder clang loudly approx 5 time day ( & amp ; middle night- probably airlock ) . thing consider would definitely go back ! would ask room view get daylight though ! ! 
 Mar 27 2009 	 well locate good value ! 	 really like stay Herald , staff helpfull room big price pay ! ! free safe bonus locker store luggage final day 2 $ bargain ! tea make facility room enjoy free hot drink lounge area take we . room clean daily good standard ( fiance cleanaholic ) . Felt safe location hotel good everything walkable especially empire state building around corner ... would stay ! ! ! 
 Mar 23 2009 	 staying 	 nice go nyc still spend alot . short walk time square macy 's 1 1/2 blocksto msg . may fancy well worth money spend . room remodel clean 
 Mar 23 2009 	 Comfortable Bed anywhere ! 	 part choir trip package perform Carnegie Hall , stay Grand Hyatt Grand Central Station , move couple extra day Herald Square . Herald Square well deal , clean room , big bathroom ( vent fan ; fan GH bath ) , comfortable bed new mattress , friendly staff decent location . Wife say bed & quot ; heavenly & quot ; . quaint old building renovate remodel . speak experience , plan come back ny definitely stay Herald Square . also , subway nearby Broadway , Penn Station short walk away . 
 Mar 7 2009 	 good reasonable inner city accommodation 	 Close Penn Railway Station well Grayline Double Decker Bus stop near Empire State Building . share room another couple - really comfy queen bed room pretty small , enough room put case floor & amp ; big bathroom . another friend travel we single room , small , okay be sleep . 's sit room table foyer relax tea / coffee provide free charge . think good , clean accommodation good location . nice meal O'Reillys Irish Pub close . 
 Feb 28 2009 	 clean hospitable value money hotel central location . 	 love free hot chocolate . staff always helpful . room small clean functional . location brilliant provide excellent value money . 
 Feb 12 2009 	 Excellent Rooms service 	 stay Herald Sqaure Hotel Westmister Dog Show . please everything hotel . new lobby new addition really lovely comfortable . room clean comfortable . staff friendly helpful ready offer suggestion thing city . 
 Feb 10 2009 	 Great Hotel ! 	 boyfriend really enjoy stay Herald Square Hotel . web site great deal , top , check upgrade one newly renovate room . room beautiful , brand new marble bathroom , new furniture , flat screen tv , comfortable bed . location amazing , close everything ! also , staff nice helpful . would definitely stay ! 
 Feb 5 2009 	 good price downtown Manhattan 	 reading review Tripadvisor boyfriend decide go HeraldSquare Hotel anyway . what great surprise ! ! ! let us honest people .... be go NYC stay room ? ... body ! .... room small really confortable ( especialy Queen size bed ) ... flat screen tv + really clean bathroom . hotel actualy old Life Magazine building wich add charm stay . the hotel 5 min walk Empire State Building 10 min walk Flatiron building .... great value ... highly recommend hotel alot friend ! : ) 
