great 	 quaint hotel right Union Square far trolley car busline . staff always helpful . room keep clean maintenance clean people great . four time ask room away elevator stair go relax enjoy . get king size bed last time comfortable even write ask type pillow bed ! one thing San Francisco exclude hotel bothersome we , panhandler . without exaggeration , take walk block away , approach minimum six time money . love King George talk maybe stay next time find hotel similar , away Union Square area . not dangerous aggressive , not afraid , bothersome . love King George though . Lori 's restaurant right next door , great american food , nice old fashion 50 - 60 's diner , people great also . would suggest stay highly . be really lovely hotel . 
 Sep 8 2009 	 basic acceptable interested place sleep . 	 King George acceptable hotel look basic amenity ( i.e . place shower sleep ) . & quot ; nice / extra amenity & quot ; however bed comfortable water pressure shower fine . upon arrival , room ready hotel overbooke . staff try put we handerly one night deny . front desk staff undesireable , however bar staff personable friendly . a.c. floor 2 - 9 . A.C. first floor . therefore , sleep window open extremely noisy weekend . ( music venue nearby street become noisy Friday Saturday night ! ) 9th floor smoking floor . avoid ! parent place 9th floor check hotel within 8 minute . end change hotel opt Stanford Court hill Nob Hill . highly recomme hotel area . Nob Hill appear safe quiet .... slight increase price . also , homeless outside hotel beg money . Union Square chain store / shop locate . shop important may opt Union Square area . could , would stay Nob Hill ( 3 short block Union Square ) even Argonaut Wharf . 
 Sep 1 2009 	 bed bug ... 	 first pleased hotel room . get free upgrade executive room , nice room nice bed look well . but discover bite bodie .. not muscito bite look like bug bite . not go manager , first not know . search whole bed , not see anything . 4 night stay , go coast moment away bite dissapeare . also read review bed bug glad hotel . please understand well ; hotel comfortable , nice , perfect location . think happen every hotel , trip 15 hotel one beg bug ... pleasant .. free internet , bed bug ... ok . it pity staff not ask check stay , could ask . 
 Aug 30 2009 	 expectation exceed 	 enjoy stay King George . hesitant book review bed bug , find great special website 2 review 2 year time mention dread creature , take chance . glad perfect place need . bed bug appear room clean well keep furnishing . tiny , though ! read old hotel room small , still surprised . problem since . view ventilation unit , ask quiet room much important good view . staff helpful courteous . also able check - in 9am despite 3pm check - in time . location fantastic want explore San Francisco ; Powell St. Muni / Bart Station block away . one negative thin door gap bottom ; could hear every word conversation hallway outside . would willing fix issue would even consider stay elsewhere visit . could also hear outside noise ( shudder think view street could hear ) , location make virtually impossible block type noise fault issue . overall , enjoy stay would recommend other . 
 Aug 23 2009 	 Fantastic Hotel ! 	 thoroughly enjoy stay hotel . staff extremely friendly helpful . room clean , bit small side . , not mind , since day go hotel sleep night . also , price room bargain , consider couple block Union Square Shopping , Chinatown Cable Cars . even walk Fisherman 's Wharf . side homeless people area ask money , , every bit city . night , hear street noise . overall , definetly would stay hotel . favourite hotel San Francisco . 
 Aug 23 2009 	 Loud Loud Loud 	 one complaint would noise . city dweller # 1 surprised AC ( Houston Texas ) think hotel least AC . sleep window open increase enourmous amount noise experience . buy ear plug soon realize issue ( Walgreens Geary 1.99 ) however hubby use wake often due siren , fire truck , party crowd , street performer , garbage collector etc . siren awaken least night . # 2 complaint course would AC , maybe fault checking . # 3 , return one day sight seeing discover linen blood . change ( gross ) . # 4 slow elevator . 2 - 3 floor , walk steep step . 8th trek enough . # 5 HOMELESS , unless prepared deal ENORMOUS amount homelss bum begger , downtown place stay . whether turn right left walk hotel acouste they . if city dweller begin want close transportation , night life . great location . close cable car , Muni Bart . staff friendly go way help . decide go shop provide we small fridge , mind , enough plug everything piggyback less 24 hour one whole side electric blow . move fridge 's supply thing run okay . 
 Aug 12 2009 	 beware Bed Bugs ! 	 still disgusted stay King George Hotel two week since stay . wake find bite mark friend ' body . red , swollen , exuding pus . discover crawl bug bed . crawl top sheet pillow plain sight ! time , & quot ; acting & quot ; hotel manager everything power make we feel comfortable . assure we trip would compensate . immediately offer we new room hotel free charge . however , friend feel could stay hotel moment long . take & quot ; shelter & quot ; neighboring hotel tell would compensate inconvenience , discomfort . ask send bill could reimburse . . however , date receive response . feel though quietly quickly rush hotel order avoid confrontation front new visitor check . , hotel 's comfort word time nothing empty promise . least , Hotel manager contact apologize . half expect reply refuse pay additional hotel charge however , expect . response . would recommend hotel anyone . ' hotel care visitor , evidence continued lack communication . 
 Aug 10 2009 	 get pay 	 admit stay King George good one . partner arrive SF red eye flight midnight . arrive hotel around 12:30am find room sell someone else . front desk simply assume planning keep reservation . surprised hotel staff not even bother contact verify plan forfeit reservation selling room someone else . website mention credit card use hold room charge reservation cancel without 24 hour notice baffle hotel would assume would simply call show contact info include credit card number , e - mail address cell phone number . anyway , send different hotel embarcadero district - total contrast Union Square . nightlife whatsoever . street empty food available long flight . course completely disappointing planned enjoy night upon arrival . essentially ruin first night San Fran . disappointing . on bright side , first night sister hotel complementary however much haggle front desk staff check we matchbox sized room view side another building . second night San Fran much well – thought . relocate back King George . grant , room small view back alley happy back Union Square . enjoy great evening , return room discover cockroach bathroom ! course call front desk notify problem , gentleman respond appear relieved find little bug report " cockroach " instead bedbug – apparently take " seriously " . cockroach , hand , apparently big deal . offer alternative room hotel sell schedule check follow morning . person assure we would notify management problem would address . check follow morning , assume front desk staff notify problem however case . inform woman front desk , simply thank we let hotel know offer notify management even offer discount rate . time , exhaust advocate first night ' bother push matter . although location great price right , definitely get pay . ' think return King George time soon . 
 Aug 9 2009 	 great value great location 	 2 night £ 100 right city centre - can major world city ? room bijou side clean & amp ; comfortable . helpful staff . leave car $ 68 2 night valet parking . 
 Aug 8 2009 	 Excellent Location 	 location hotel excellent , walk distance cable car turn around stop public transportation . neighborhood feel safe , not late night . bad part hotel thin window . could hear street noise , include siren couple time night . elevator tiny , sign website say food ( breakfast high tea ) really not . say , would stay . price right ( $ 182 2 night ) location fantastic . parking garage right across street $ 29/24 hrs . 
 Jul 9 2009 	 King George always solid inexpensive choice 	 King George feature small rooms- EVERYPLACE san fran . pay little extra executive room still dark , rennovate worth extra fee . not need stay really like value location . careful head south , Tenderloin not want wander much , trust ! 
 Jul 8 2009 	 cute Clean Hotel ... good couple 	 wife stay King George 5 night July 2 - 7 sightseeing San Francisco . first impression hotel walk lobby , & quot ; oh , cute ! & quot ; . lobby small side front desk step away directly front hotel entrance , concerierge right . also bar tea room behind front desk . two computer locate next front desk , serve & quot ; business / internet & quot ; center . lobby decor ( general decor entire hotel ) british touch , large paint King George one pillar , beautiful drape curtain accent large window , simple english print carpet . elevator ... well ... tiny . fit 3 people luggage , there s 1 elevator . guest use stair , narrow , steep , spiral lobby ( good exercise eat plan SF ) .Our room , observation people site , small compare hotel ' ve stay . serve purpose , clean comfortable place sleep night . room clean nicely decorate , bed firm , bathroom clean . room queen bed nightstand lamp either side , comfy cushioine chair , desk , armoire tv . wireless internet provide free guest laptop , prefer wire will provide need peripheral deposit . indeed & quot ; noisy & quot ; , even window close . wife fall asleep easily whole day activity . not bother we one bit ... fact , help keep ambiance stay heart Union Square . housekeep consistent courteous , respected & quot ; disturb & quot ; sign clean room request . front desk staff also friendly polite request amenity . fact , day , staff begin call we name & quot ; Mr. and/or Mrs. _ _ _ _ _ _ & quot ; . think outstanding . the concierge ( name Sean ) help we booking 2 tour : Wine Country Tour ( Tower Tours - highly recommend , driver Joaquin great ! ! ) Alcatraz Island Tour . Sean also provide great suggestion restaurant help get good rate car rental ( rent 3 day go Stockton drive final 2 day ) . parking expensive provide hotel $ 30 . cheap parking garage near park in / out privilege ... like Mason Street ( ACE Parking $ 25 ) .Food / restaurant : first , highly recommend Lori 's Drive next door breakfast . food service exceptional 1950 's theme go . Humberto server entire stay breakfast . make sure ask tell & quot ; Hawaii & quot ; recommend . like Indian / pakistani food , recommend Chutney 's Jones Street , two block hotel . 4 course dinner , mango shake little $ 20 . food awesome ! Seafood find everywhere Fishermans Wharf . food hawker sell crab shell , famous Clam Chowder bread bowl , fry seafood fare , cocktail dish . recommend snack quick meal . nice sit - down meal , recommend Sabelle Latorre locate near Fishermans Wharf sign . Chippino 's world ! great food around SF , need trial error . transportation : really not need rent car . travel Stockton ( 1.5 hour away ) see friend . municipal transportation ( Trollies , Cable Cars , Buses ) sufficient get round city . suggest buy MUNI pass ticket vendor walgreens . 3 - day pass $ 18.hotel awsome ! 
 Jul 2 2009 	 good money great location 	 King George great location , minute away BART station , close lot shop , restaurant etc . downside little noisy night , also wake bustling sounds city , smell breakfast cooking , love . choose cheap many hotel , great money . many review mention small room , yes small , still comfortable . not expect huge room huge bathroom , disappointed . stay 4 night move , lovely stay . great diner next door call & quot ; Lori 's & quot ; .San Francisco absolutely gorgeous , maybe little pricey side meal drink , probably give time may search well value place . time short accept it . couple tip , BART run airport Union Square much cheap taxi , bother get case onto train . Alcatraz brilliant , also City coach tour see load famous place . Fishermans Wharf bustle , well worth visit , especially Sea Lions . gorgeous , glad Union Square great excuse jump cable car , brilliant experience , see many sight . also love Buena Vista , famous Irish Coffee , scene & quot ; Man love Woman & quot ; . great day cycling , energy worth . one day cycle Golden Gate Bridge , Sausalito gorgeous place see , cycle towards Muir Woods ( although know would not make hill wood ) . luckily along way notice sign shuttle wood , chance see no - one tell we . think shuttle run weekend worth check want see wood , gorgeous ! lock bike free jump shuttle couple dollar . back Sausalito get ferry back bike . it worth little research place want see go , brilliant place great atmosphere ! 
 Jun 29 2009 	 place stay ! ! 	 LOCATION hotel AMAZING ! ! two block two block Market & amp ; Powell St. , public transportation go ! ! go anywhere ! ! hotel CLEAN , staff nice ( rent bike let we keep conference room overnight ) , price FANTASTIC ! ! ( $ 69 / not 4th night FREE TravelTicker ) need rent car planning thing city . trolley , bus , train , cable car take EVERYWHERE ! ! need car , rental car office DIRECTLY across street hotel ! ! ( get car last day head north ) pay hotel want parking ! ! garage right across street $ 15 / night ! ! would TOTALLY stay . would recommend hotel anyone . 
 Jun 21 2009 	 reasonable hotel good location 	 Positives : LocationGood cheap breakfast available ( Continental ) near train stationfriendly staffcleanfree wifi internetnegative : bathroom smell bit dampquite noisy - due 's location , expectedWe would stay ... 
 Jun 8 2009 	 Fantastic Hotel 	 really surprise nice room . give get deal $ 79 / night room really nice bed comfy . would definitely recommend stay hotel future - especially be budget . 
 Jun 6 2009 	 Great Location great service 	 tell hotel good friend everything say correct . location great , stff helpful friendly price right . lot great restaurant near , San Francisco walk distance . room small , bu everything need , nice clean bathroom , great bed , closet television . tell friend great find . 
 Jun 3 2009 	 charming great value 	 terrific location near Union Square , historic charmer , cookie - cutter corporate hotel . room huge , necessary amenity , attractive nineteenth - century theme decor extremely comfortable bed . front - desk reservation staff eager please ; notice line rate drop ( $ 79 ! ! ) , let take advantage low rate . 5 - star luxury ( bathroom old , notice peel paint look ) , solid 3.5 star , terrific shower great comfort . would stay minute , esp . price . problem stay : message light would stop flash phone even though not message ( cover phone instruction ) , heat system strange need maintenance come turn . come within 2 minute . pleasant hotel . ( oh - nice lobby , plus free wifi ! ) . 
 May 4 2009 	 wonderful experience Great Value Location .. go stay play ENJOY 	 & quot ; use them loose them & quot ; air mile burn , choose SF spend day . hotwire Travel Ticker email advise incredible offer good pass . bit research King George , decide give try . upon mid morning hotel arrival , warmly greet Grecia , check early , also complimentary upgraded room well ! room similar historic hotel ' ve stay , ( spacious new hotel ) , certainly comfortable , charming , modern update every convenience necessary . speak Reviewer 's troubled city noise , would advise be look noise free environment , stay country , city hotel ! upon return room , always warmly greet ask require additional assistance make trip even memorable ... stay be look incredible location , great value , charming environment modern convenience gracious staff . King George Hotel certainly new hotel choice San Francisco . 
 Apr 19 2009 	 great location noisy hotel minimal service 	 hotel great location see sight San Francisco . I would avoid hotel light sleeper young kid room big sound proof issue . the elevator old pretty small well 's ideal rush try get room busy . having say , great value location San Francisco room rate . 
 Apr 13 2009 	 Superb value money 	 stay week attend convention Moscone Convention Centre , block away . the location King George great . be two block away Union Square , street hotel , busy block around , nice . 's great restaurant next hotel , Cafe Mason , serve excellent breakfast . be also convinience store corner , Starbucks ... everything surround area , literally metre away . location hotel awesome . the room stay twin small expect . bathroom clean sterile , small well , 's space toiletry plenty towel every day . bed narrow , much well look happy find . sleep allright here . if town sightseeing spend much time room , hotel great , get to work spend time room , definitely great . work desk chair basic room not comfy , cheap price , really can not complain , could not believe location quality price . there ceiling fan air conditioning room , godo thing we Europeans hate usual air conditioning cold . keep window open March keep thing cool . get bit noisy night window face alley , nothing bad . the staff friendly well would say King George great value money . 
 Apr 1 2009 	 Excellent value - drive friendly 	 typically stay 2 - 3 star hotel value travel . main concern book hotel : prime location access sightseeing ( check ) , clean safe ( double - check ) , non - smoking room ( check ) free internet ( check ) . surprised get King George great property , friendly helpful staff , GREAT access San Francisco 's many site ! hotel middle one cultural city America ! stay King George make easy access shop Union Square , easy catch BART site Bay , easy get take San Francisco . recommend King George friend , recommend King George want great value travel San Francisco . 
 Mar 30 2009 	 comfortable bed clean room fabulous location ! 	 stay four night ( tue -Fri ) King George professional conference March . choose great location room rate get Expedia . base feedback TripAdvisor concerned possibility noise room linger cigarette smoke . problem . problem kind ! bed one comfortable encounter hotel . everything clean staff quite helpful . room appear recently paint carpet , bedspread , drape furnishing good shape . lot hot water good water pressure . room small - small almost wish upholstered chair not ( addition desk chair ) - fine one person . one small elevator potential problem , 1 two time week wait briefly . real complaint question wireless service , front desk tell call helpline . helpline person quickly solve problem , use room phone call ( since use call front desk ) instead cell charge & quot ; connection fee . & quot ; use cell , not think potential charge . wish front desk remind connection fee tell call . absolutely problem free wireless connection - good signal even 7th floor ! 
 Mar 14 2009 	 Bed Bugs anyone ? 	 stay fine woke bite arm .... night case bed bug bite bad could not sleep itchy . look 3 week go away still scar . despite good location , would never stay . 's way much risk . 
 Jan 28 2009 	 SF Cheap cheerful 	 old friend attend SF Film Noir Festival want stay someplace safe , cheap cheerful . british neighbor recommend King George Hotel . rate get $ 113 / night King room book two price , could . hotel perfectly locate , exceptionally clean quiet despite usual city noise outside . get room next 9th floor ( smoking floor ) absolutely detectable odor smoke enter room hallway . bed nice firm ( like ) furnishing great condition despite age . bathroom immaculate modern fixture great water pressure . staff always helpful friendly whenever ask question need food recommendation tourist info . two issue : ( 1 ) property 1 ice machine - lobby level rear restaurant . not difficult get ice not convenient . issue concierge - ask recommendation great chinese restaurant provide instantly . within 5 minute cab way . arrive approximately 4:00pm , annoyed find restaurant open dinner 5 pm . never see particular concierge - lucky . notwithstanding 2 issue - love King George , staff , charm price . consider expensive everything else , exceptional deal SF getaway . 
 Jan 25 2009 	 right Hotel Wrong Location 	 Hotel King George beautiful old building , pleasant staff shabby , clean , room . air conditioning room , be necessary sleep window open , bit loud . although hotel Financial District , also right edge Tenderloin . tenderloin full panhandler , frequent sidewalk front Hotel King George . day would walk front door hotel see panhandler station directly picturesque green canopy King George . like walk gauntlet beggar , usually hit spare change least three different people could even walk entire city block . happen every time leave return hotel . be almost citizen San Francisco look panhandle accept way supplement income . again , staff great . even notice one maid polish brass outside hotel . one instance location , location , location come play . location stay King George . 
 Jan 8 2009 	 King George Hotel Real San Francisco Charm 	 stay four night King George Hotel recent business trip . unexpected surprise ! frequent business traveler , ' ve grow tired bored major hotel . room & quot ; cookie cutter & quot ; mirror image one city next service & quot ; luke warm & quot ; good . King George Hotel offer much more . having arrive later evening delay flight frustrating experience taxi driver , greet curb Sean ( Concierge ) , discreetly take baggage inside pay driver ( inform accept credit card board cab airport ) . upon enter hotel , Sean introduce , informed would arrange transportation back airport end stay provider take credit card , flashed smile , end greeting saying & quot ; welcome home & quot ; . imagine happen major hotel - never ! moment , greet name every staff member , ready meet need smile . King George Hotel new building . wonderful example authentic San Francisco architecture well maintain without destroy original charm . room , top ( 9th ) floor , small cozy corner room windows ( really open ) great view city street skyline . tastefully furnish subdue tone , complete desk walk - in closet . bed bath linen luxuriously thick fresh clean day . amenity match exceed major chain hotel . addition , complimentary wireless internet large key safe closet easily secure laptop computer belonging choose . hotel staff readily prepare offer suggestion anywhere might want need go city - restaurant nail salon ! suggestion follow detail regard establishment , many time name person help arrive . never offer telephone book search . town car arrange transportation back airport ( cost local cab ride ) . location King George nearly heart Union Square central many attraction . excellent restaurant well fast - food available within block direction . would highly recommend Santorini Restaurant lunch dinner . a note cigarette smoker : King George smoking room available . look stark environment major chain hotel , place stay . , like , appreciate charm unique flavor San Francisco would highly recommend hotel warm welcome staff . return visit soon . 
 Dec 9 2008 	 June - July 2008 review 	 back summer time . nice location near Union Square downtown . room so - so 2 bed one small bathroom . Hallway look creepy night portrait photo look mean way .... scary . can not complain ... good hotel stay may recommend look another hotel SF . 
 Dec 2 2008 		 location pretty good , close Powell market St. ask Queen Bedroom , instead get twin double , be fussy . bathroom tiny old , clean . tv reception fuzzy , not matter much trip spend time sight seeing . room stuffy , ceiling fan not much term cool place . the wall paper thin . spend friday night , obviously bunch kid book room next door use base night . woke 3 am conversation . all , pretty much expect price . 
 Nov 11 2008 	 convenient hotel small room 	 stay 2 night visit San Francisco tour South California . car convenient use public car park opposite pay special price stay King George . hotel second , literally , Union Square handy carry wife 's shopping back hotel . on first morning go Alcatraz hotel organise cab time , although bad journey ever take . not see bridge distance due mist , go bus end walk . one thing watch , visit Alcatraz walk along main road front make mistake enter shop buy video cassette . guy shop spend 25 min camera make mistake let hold show us benefit lense end cost fortune . not buy , could not get back 25 min either . wary . 
 Nov 10 2008 	 Comfortable Stay 	 always hard time sleep hotel bed discomfort . hotel exception . bed comfortable , room clean pleasant . room little small , much within walking distance would not want stay indoor long . would stay without doubt . 
 Nov 9 2008 	 quaint clean great customer service great location ! 	 hesitant book stay King George due previous reviewer ' comment regard small room thin wall ... however , hotel much well expect , would stay ! true room small - however , space use efficiently , never felt cramp . fact , closet safe much spacious provide large hotel . it also true wall thin - minor inconvenience , non - issue good ear plug : ) hotel suprisingly clean , bed comfortable , shower great ( good water pressure , plenty hot water , etc . ) . two fitness center within couple block , hotel provide special pricing day pass . offer continental breakfast fee , also several diner area ( one right next door ) serve breakfast . also several convenience store nearby . the customer service wonderful - top notch . staff friendly , attentive , helpful . alone would bring back King George . the location fantastic - close Union Square , shopping , cable car line - easy walking distance Chinatown downtown attraction . there dozen hotels area , expensive choice probably luxurious well amenity - price , cleanliness , warmth King George make worthy choice . 
 Nov 5 2008 	 thing steal room 	 stay 3 night hotel . great location nice clean ( small ) room . good bed friendly staff . whilst packing bag last day find luggage search stay . do conscious careful be discover late . result : laptop steal ( 2 week holiday picture ; not fit safe ) several charger . strange thing ; toke charger wife lady - shave , leave lady - shave self room . we suspect housekeeping , can not proof anything . unfortunately take hotel 1 month respond far aware , not anything suspicion . access room via key card . 
 Oct 28 2008 	 King George - Prince Hotels 	 bit leary due mixed review King George . stay could pleasanter . arrive early room ready wait . room small clean , recently redecorate bed great . bathroom bite shabby towel fluffy , ton hot water good pressure ( top floor ) .The area noisy right downtown . theatre district Union Sqare right . plus five minute walk BART station save ton money come airport . I continental breakfast morning . find provide okay variety price . choice bread , cereal , yogurt , boil egg , fruit , orange juice , coffee , jams cream cheese . complaint fruit bit boring - apple banana . could eat want healthy choice . egg , hash brown , toast , coffee OJ one morning local deli bill $ 13.65 . staff pleasant helpful check leave . restaurant staff friendly concierge good resource . overall , highly recommend 
 Oct 21 2008 	 back ! 	 husband spend 2 night King George vacation San Francisco area . want stay Union Square area without pay much . happy King George plan return ! hotel lot charm location perfect ! short walk union square , lot restaurant , couple block cable car public transportation get anywhere want go city . the staff friendly helpful . go way make stay enjoyable . although read many review hotel tiny noisy , not problem . yes , room small , old hotel be like go spend much time room anyway . think hotel quiet well . would highly recommend ! 
 Oct 14 2008 	 nice comfortable room frill . 	 nice , comfortable room , book day fee charge almost $ 200 location general amenity make almost worth . $ 130 range would right . stay City ( frequently ) ' m really lie head day fun , King George fine purpose . room small enough room single ... bathroom clean everything work , small closet hold iron , hanger coffee maker . well worth price prime location . 
 Oct 13 2008 	 Nice Place noisy 	 nice hotel , decor little date , date nature place real problem . room face back noisy open window let cool air . nighttime real problem could sleep window open mechanical unit thump outside , close window fan running , thump loudly . , design place next door bathroom right next head sleep , wall insulate noise hear neighbour , we , everytime flushed toilet . old style door also let inordinate amout light make keep noise hallway . size nice size bed reasonably comfortable coffee tea service nice touch . staff friendly helpful , ask concierge direction front desk people . clean place , good place rest , get great night 's sleep . 
 Oct 13 2008 	 small room yet Union Square 	 wonder hotel give less desirable room book hotels.com ( Expedia ) ? hotel quite basic . although have reserve 1 room hotels.com , check - in , reservation 3 room . since hotels.com charge one room , not worry . reception staff courteous . the location ok , close BART , muni fairly easy drive highway . the room great - small . also , small bathroom ' ve yet Union Square hotel . big inconvenience easily accessible power outlet . move bed access one laptop . appreciate wireless internet , include rate , even though slow ( watch streaming movie ) . bed quite comfortable . room service Lori 's Diner right next door . 
 Sep 24 2008 	 King George Hotel San Fran 	 stay four night . room bit small could upgrade otherwise fine . great location , 2 min walk distance Union Sq around corner great pub , Foley 's . breakfast hotel expensive compare nearby restaurant could get big brekfast $ 10 . hotel charge $ 7 + tax continental . free coffee available morning Hotel . location hotel handy rental car depot O'Farrell St - across road . nice area lot people hang around beg really ' in face ' stuff . 
