Staff 	 wait guest room become available , hotel desk housekeeping staff go & amp ; beyond duty ( expectation ) make we comfortable happy . not get service like even Ritz ! 
 great location service 	 spend one night hotel enjoy . location convenient everything . service excellent . leave bag hotel follow day explore city checkout . problem make easy convenient . the downside -- paper thin wall . not normally complain noise , able hear neighbor . compound loud group next door . commend staff complain . get group next quiet immediately . sure , much appreciated . take earplug , especially bother city noise . even 12 story , will able hear street noise . the room comfortable . nicely decorate . all good stay money . would not pay $ 300 rate give thin wall . , $ 125 , well worth . 
 Oct 7 2009 	 great central location good value City 	 really like hotel . great location , walk door right middle theatre district , easy walk attraction , walk tour city perfect place start . old renovated building theatre , lobby first floor . staff , without exception , totally charming helpful . like decor room , think nicely renovate , good size . bed extremely comfortable good linen choice pillow . also quiet , worried traffic noise double glazing work well . breakfast absolutely fine , enough choice , fresh fruit . think good value city hotel pay nothing like rate reviewer place mention , would certainly stay ever return Chicago . 
 Oct 1 2009 	 yes ... 	 would recommend hotel . plus : location excellent , staff friendly , room large , cost reasonable big - city hotel . neutral : breakfast adequate ( certainly value compare buy restaurant ) .Negatives : room dark . ( not much object color decor , maroon - ish , use fluorescent bulbs every fixture . hey , ' m green next guy , face , fluorescent cast cold , dim , gloomy light . ) common area small dreary . ( entry street almost look like freight entrance . combine front desk / breakfast room / business center painfully small . first couple day , presence two tour group plus rest guest make breakfast seem like New Year 's Eve Times Square . ) say , recommend hotel . third - good Chicago ? really not think . 
 Sep 29 2009 	 Small Dark 	 convenient , staff pleasant , internet work well business folk . room , however , dark small . upgrade wonder standard room look like . carpet dark forboding , light minimal , furniture dark . wonder lurk . price right well . 
 Sep 21 2009 	 good location comfortable stay 	 hotel well locate Theatre District - short walk excellent Millennium Park area shop State street . room look fairly new comfortable . free breakfast good , Hampton Inns . friendly staff . 100 yard Monroe train stop - $ 2.25 trip direct airport ( take 40 minute ) . 
 Sep 18 2009 	 great value 	 spend 2 night Hampton Inn sure say . although nothing really bad , ' think something good say either . Hampton Inns usually inexpensive sister Hilton family , nothing fancy , basic decent hotel accommodation . however , high price enthusiastic comment forum make believe something special . exactly . old building probably recently renovate . color dark however . dark carpet , dark furniture dark wall paper , little depressing . breakfast nothing special , extend continental breakfast kind fake egg gravy , cereal , muffin beagle . ' really imagine someone eat enough stuff last till dinner . offer free wireless internet 2 pc lobby free internet also . room appear clean comfortable staff extremely friendly accommodate , probably good thing hotel . pay $ 249/ night plus tax feel reason kind rate . get hotel less $ 175 ' mind Gothic look , might enjoy hotel . location great especially ' car like walk . conclusion , bad hotel , definitely good value worth money ask . 
 Sep 15 2009 	 love stay hotel ! location awesome ! 	 not mind walk get almost attraction , comfy shoe . service wonderful - people front desk helpful pleasant . breakfast nice , nothing fancy definitely get full easily .. would definitely stay ! thank Majestic . 
 Sep 14 2009 	 Service Location 	 look forward return Chicago definitely stay Hampton Inn Majestic . staff could helpful friendly , room clean comfortable , breakfast include typical toast coffee perfect location . reasonable price hotel look . 
 Sep 12 2009 	 great hotel perfect location ! 	 husband stay Hampton Inn Majestic 4 night please stay . room spacious beautiful . hear little noise guest street . problem overcrowd breakfast Friday morning think partly eat later . always take food room seat available . location hotel wonderful ! ! red line station right around corner bus stop take almost anywhere want go within half block . many thing close enough walk inclined . choice hotel next time stay Chicago . 
 Sep 9 2009 	 Excellent Hotel 	 please hotel staff . two - double bed room roomy clean . carpeting look brand - new wallpaper , furniture , etc . bathroom good size good shower . negative breakfast area quite small considering size hotel . choose stand - in line wait food appear wait table . Corner Bakery couple block away good reasonably price . choose self - park rather pay valet parking . park East Monroe Millennium Parking Garage Columbus Avenue ( $ 23/24 hour ) . easy walk hotel parking garage . 
 Aug 30 2009 	 Nice would sta somewhere else 	 wife go Hampton Inn Majestic quick get away end August . get good deal Jersey Boy ticket call hotel direct stay . location pretty good hotel okay room decor little dark liking . arrive bathroom not clean , look someone sick hotel staff not fully clean . everything else acceptable . breakfast well normal continental deal save we money able skip lunch eat early dinner also little cheap . overall , stay good not see we stay . 
 Aug 30 2009 	 lovely stay ideal location 	 spend five night Hampton Majestic , deserve review get , particularly extraordinary value . room quite large well - appoint , bit dark , be none noise problem sometimes get old hotel . late arrival , get room next elevator lobby , usually big red flag we . promise wife minute hear anything , would ask another room . five day , never hear sound . desk staff nonstop pleasant helpful , maid service good ' ve ever experience -- thorough , unobtrusive relentlessly cheerful . even provide two different kind pillow , firm soft . detail cover . could not ask well location -- easy walking distance Millenium Park , theater , State Street Magnificent Mile , world 's good restaurant Blue Line train airport . breakfast buffet limited selection , everything be delicious . 's restaurant bar site , famous italian Village around corner provide room service , Lou Malnati 's deliver . quibble minor -- small workout room one universal weight machine , soda vend machine alternate floor one - arm bandit . , be remarkable value . whole stay cost less $ 800 , count room taxis . could not ask enjoyable experience place charge three time much . 
 Aug 23 2009 	 Excellent customer service clean room great location ! 	 every minute stay nice easy moment arrive , valet folk nice helpful ! room clean decorate nicely , not feel like standard hotel room . hot breakfast coffee day definitely perk . good location theatre district . say want right magnificent mile , bit walk . fine we , know fine everyone . upon checkout , allow leave bag valet could lunch walk around city . would definitely visit ! 
 Aug 21 2009 	 great customer service ! ! ! 	 great location be go Majestic Theatre . Magnificant Mile State Street shop couple block away . like italian food must vist italian Village restaurant one block street . 
 Aug 19 2009 	 great location great hotel . 	 great stay majestic . perfect location , close train within walk distance downtown attraction . staff attentive friendlly . not breakfast sound good . room spacious , super clean modern . appreciate ammenitie free Wifi plasma tv , daily paper . bed comfy . negative small closet . spend little extra room microwave / fridge perfect leftover many fabulous dining experience Chicago . easy trip orange line Midway airport blue / red line around corner . next elevator not hear noise neighbor , street noise normal Chicago . great stay ! go cubby ! 
 Aug 17 2009 	 Fabulous Hotel ... Wonderful Staff ... 	 .stayed two teenager absolutely love hotel . moment arrive moment leave , staff always helpful accessible . front door valet parking one flat free stay . never wait 10 minute retrieve car . the room large spacious wonderful high ceiling . never feel cramp room . bed comfortable , towel thick plentiful . free wi - fi room work fast . continental breakfast include great - hot item egg ham available along good selection cereal , fresh fruit , pastry bread . the location ideal . able walk place receive direction friendly lobby staff include aquarium . not far . take subway one night conveniently locate around corner hotel . there lot great store near hotel shopping well theater right next door take Broadway show . we great time Chicago could not ask well hotel stay . 
 Aug 15 2009 	 wonderful stay 	 clean , friendly / helpful staff , perfect location near bus train . staff advise good way reach place . free breakfast internet ! 
 Aug 15 2009 	 Troublefree stay 	 Hampton Inn Majestic Chicago Theatre District deserve high tripadvisor ranking . comfortable bed , free high speed internet , great shower , work thermostat , plenty towel , HD tv , comfortable bed , include breakfast , speedy check - in express check - out make trouble free stay . Handy ' L ' bus , Union Station Millennium Park , Art Institute number attraction short walk away . want fancy lobby walk street Palmer House free . 
 Aug 10 2009 	 great central location good room elevator high demand 	 hotel locate inside Chicago 's loop , within walk distance many downtown attraction business . room adequate size , clean modern , tall ceiling , floor likely office past . business hour pass , much nearby term nightlife except establishment cater theater tourist crowd , since primarily commercial district theater . public transportation taxis readily available area . the breakfast , internet service one would expect Hampton Inns , consistently efficient effective . one drawback hotel elevator situation check - in ( late afternoon ) check - out ( morning ) . build tall narrow , 10 room per floor , 20 + floor building , 2 3 elevator serve floor contain Hampton Inn , peak traffic hour , may wait bit long expect . hotel pool , free parking . overall , great value hotel situate heart Chicago , business leisure , need central location . 
 Aug 10 2009 	 Great Value Great City 	 family go Chicago Lollapalooza . look hotel close Grant Park kid would able walk back forth 3 day pass . great choice make . great location , friendly staff , nice room . old office building , not expect usual Hampton Inn huge lobby vast free parking area . literally middle downtown Chicago , expect pay premium . kid enjoy Lollapalooza , wife enjoy tour city , also enjoy great restaurant . 
 Aug 6 2009 	 super friendly staff 	 family choose hotel high rating Trip Advisor not - outrageous price / night . flaw , part , fine place stay . the staff courteous always willing help whatever need . never Chicago helpful direction place . also , whenever extra towel anything else bring room , person always tell we call anytime would get anything need right away . parking guy downstairs also friendly wait 15 minute car bring we , super apologetic , even though expect least long wait . there flat screen , hd tv nice . breakfast good . selection pretty good . hot item cold . walk distance downtown stuff . many restaurant nearby . walk Sears Tower . take short ( somewhat scary ) cab ride Field Museum Aquarium . wi - fi work well . room super clean . thing would change ... would nice second sink outside bathroom . the closet super tiny . bedside table really small . pillow & quot ; high & quot ; . Wish would give flatter one . the tv channel selection small ... disney channel Nickelodeon kid . 
 Jul 27 2009 	 lovely 	 location beat ( friendliness staff ! ! ! ) . great time . Chicago good part vacation US . 
 Jul 20 2009 	 oh Night 	 hey , consider hit show Jersey Boys play right next door , think would keep song show : oh , Night & amp ; oh , Hotel ! conference last week -- not want stay close conference hoopla , choose stay Hampton Inn Majestic & amp ; ' m glad ! place : decent room rate , friendly staff ( front desk , bellman , breakfast bar ) ; nice free breakfast ; free internet ; front desk kind enough give late check - out ! also good : next door Jersey Boys ! show ROCKED ! get : get & quot ; RUSH & quot ; ticket $ 25 buck day show ... bellman advise get 8:30am 10 am opening & amp ; work .... take good book read 90 minute waitthe hotel clean & amp ; well - maintain .... also , hotel relatively close everything -- Mill , Park , shopping , restaurant , etc . thank 5 lovely day ! 
 Jul 18 2009 	 look Deceive ! 	 first look outside entrance hotel , could forgive think not much inside . nothing could truth ! hotel actually top Theatre America , hotel lobby access via elevator 4th floor . you welcome small friendly efficent lobby area . staff efficient extremely friendly always available give help assistance need . lobby also contain breakfast area complimentary breakfast serve every morine fair selection hot cold food . breakfast area become little busy time usually not take long table become available . also lobby small Business Centre two computer terminal printer available . high - speed internet access available throughout hotel free charge via wi - fi ethernet cable . our room 11th floor situate rear hotel away main street . minimal street noise occasional siren emergency service vehicle ; mean able get good night sleep . room adequately size king - sized bed , work - desk , easy chair , computer chair , chest drawer build - in wardrobe . also provide 32 & quot ; HD flat - screen tv host channel include fair number hd channel . the bathroom good contain modern conveniencie plenty towel . also situate bathroom coffee maker plenty sachet . the bed extremely comfortable , especially hard day walk around city ! gripe couple occasion find room - maid still not make room late afternoon ; little inconvenient wanting take shower etc dinner ! never - the - less service first class ! one particular day rain morning not umbrella ; notice another guest give complimentary umbrella rest visit . , ask one hand one stay . needless say never rain rest stay ! ! hotel situate W. Monroe , right around corner form State Street begin shop . Millenium Park three block away also begin ' Magnificent Mile ' . see , Hampton Inn Majestic close action could require theatre open door away ! would thoroughly reccomend hotel quiet expensive stay ! 
 Jul 14 2009 	 FRIENDLY 	 husband impress Hampton . awesome guest service ( Cynthia ) clean , quiet , perfect location . back sure . 
 Jul 8 2009 	 great location family teen ! 	 get back Chicago . pleased stay Hampton Inn . 's clean quiet , room tastefully decorate . breakfast buffet plenty offer two hungry teen ( parent ! ) , 24 - hour coffee tea service lobby nice . hotel ideally locate near Art Institute Mill . Park . 
 Jul 8 2009 	 Great Location Great Price 	 stay one night middle week Hampton Inn Majestic travel work . hotel extremely clean " old Chicago " feel neat . room little small fine understandable consider downtown location . even though build old , room neat contemporary look . hampton , room also free internet access . room also high definition 42 " LCD tv nice . view room ' anything special part ' really matter I . my complaint soap anywhere room go front desk get . end world though . , nice hotel great location reasonably price . would definitely stay . 
 Jul 7 2009 	 Awesome ! definitely go back ! 	 location convenient . come airport blue line stop right outside hotel . room clean keep way day housekeeping staff . hotel close Chicago 's important site great restaurant area . staff friendly helpful . complaint breakfast serve small lobby lot guest time get bit hectic . 2 computer printer lobby convenient . reasonable price location room . will definitely stay next trip Chicago ! 
 Jul 5 2009 	 great place - great location - wonderful staff 	 around corner Monroe El stop ( bargain $ 2.50 usd direct Chicago O'Hare Airport ) renovate hotel perfect ; free breakfast include hot egg , biscuit , toast , bagel , sweet roll , yogurt , fresh fruit , cereal , juice , coffee , etc . Staff friendly & amp ; efficient . walk Art Institute Chicago , Grant & amp ; Millenium Parks , Magnificent Mile . safe clean , family friendly . 
 Jul 3 2009 	 good plus 	 return overnight stay Hampton Inn . travel agent relyon tripadvisor quite bit get review different hotel . check price rating one night stay come across Hampton Inn - Majestic . it live great review . staff hotel GEMS ! veryhelpful knowledgeable . , make special request .............. deliver . so many resort spout request thing can not guarantee . Hampton Inndelivered ! 
 Jun 30 2009 	 Fantastic Stay 	 last week girlfriend spend three wonderful day Hampton Inn Majestic shopping , sightseeing , theater . hotel wonderful location great . need taxi train station . the employee front desk pleasant helpful , especially Christopher make reservation offer several recommendation . complimentary breakfast hot , yummy , fresh . day , Martha food service greet we smile & quot ; good morning & quot ; . keep food tray well stock coffee hot . the Hampton Inn Majestic hotel choice Chicago . 
 Jun 23 2009 	 Pleasant Surprise ! 	 never hear Hampton Majestic figure # 2 rank TripAdvisor make worth try . great location heart Loop , close Red Blue CTA line connect O'Hare Wrigley Fields snap . clean , quiet comfortable room . complimentary breakfast buffet tasty , comprehensive , varied two day stay . staff universally friendly helpful . one want ? will back ... 
 Jun 17 2009 	 Hampton Inn Majestic well worth ! 	 travel Chicago family 6 night . pleased stay Majestic ! staff helpful always willing help we ! come back hotel 3 o'clock one day roon clean issue . room comfortable location could not well . blue line one side building , red . add bonus ... Garrett 's Popcorn short walk away ! ! ! 
 Jun 16 2009 	 clean room good service great location 	 stay hotel 4 night . wife like hotel overall cleanliness . stay , son get stuffy nose . hotel stay , HVAC system usually get nose son stuffy . hotel . room large 3 people . room two queen sized bed , huge comfortable . bed hard soft . comforter pillow clean comfortable . room huge flat screen LCD tv usual channel . one complaint housekeeping maid leave we enough hand towel , cup spare roll toilet paper second day . call front desk lodge complaint . manager , Andrew , call back take care problem sincere apology . impressed well management handle complaint . minor concern huge , old , wood - frame window , offer good sound insulation . result , could hear honk noise make car night ( room 10th floor ) . honk noise loud , noticeable . luckily honk noise prevent family fall asleep . faint honking noise , could hear water run next door neighbor take shower . kind shower noises room next door common thing many hotel stay , problem unique hotel . however , impressed fact hear noise wall room side room indicate wall good job noise insulation . addition , hear noise hallway stay . think fact 8 room per floor reduce number people stay floor result reduce chance hallway noise . room pair thick , burgundy curtain window , curtain good job keep room dark morning . free buffet breakfast quite well stock hot meat item egg item every morning . breakfast dining room , unfortunately , kind tight crowded every morning . nevertheless , overall , happy hotel stay . finally , location hotel great : less block Red line Green Line , 3 block Millenium Park 8 block Chicago River . central location hotel big plus . 
 Jun 1 2009 	 Great Service 	 great service start finish - come Chicago Labor Day weekend get gentleman entrance check see room ready - room beautiful cozy . call we get room make sure room good see need anything . complimentary breakfast one good family ever see even & quot ; go & quot ; bag fill goody case run . 
 may 28 2009 	 ok place stay . 	 great location see show Bank America Theatre . room nice quiet . breakfast decent lobby area small crowd .. housekeeping service good although prefer room clean early . come back room 1:00 pm get ready show , room clean clean towel . big negative front desk staff . terrible source information restaurant , tour direction . would think least would tell we brochure fifth floor . happen upon search vend machine water . floor , 9th , vend machine drink . also , one room key activate need key get elevator go .. book two room couple problem . good place stay see show would stay Chicago many great hotel . 
 May 26 2009 	 live great review . . . 's mine 	 be look room great view lake fancy lobby , not stay . however , be look extremely clean room nice building , great service minute walk place , perfectly situate red blue line , great price compare area hotel , pretty good free breakfast , stay . plan see Jersey Boys ( highly recommend ) stay add bonus convenience . return five night stay could please Hampton Majestic . choose hotel partly want see Jersey Boys time , partly review , largely proximity subway access largely great rate get ( average $ 109 per five night ) . front desk people great . note check 1:30 morning catch early flight , girl front desk ( 5/26 ) actually go get key turn juice machine breakfast area could glass juice leave . small thing incredibly thoughtful . 's restaurant good breakfast buffet , problem . 's need outside hotel ( favorite italian Village ) . room average size , nice size bathroom , nice clean . free in - room internet service computer printer use lobby help ; nice big flat screen tv room . 's fair amount street traffic noise , expect though area like , seem die 10:00 pm . importantly , quiet inside hotel , noticed security making round night , plus card key require use elevator time enter build 10 11 pm . would like see actual safe room , otherwise feel safe . close blue red line make straight shot to / from O'Hare blue ( much quick cheap taxi ) Wrigley Field White Sox Park red . easy walk Lake M. . would bargain twice price pay . next time go Chicago , will not even waste time check hotel , place great bargain perfect location . 
 may 23 2009 	 Chicago 's hide secret 	 return form stay Hampton Inn Majestic . city many time stay many hotel . 4 star category . stay help reservation assist us trip time . read review see picture line . expect nice 2 star hotel . Hampton Majestic prove way expectation . staff wonderful , friendly helpful . room nice size , extremely clean . bed great . bathroom big shower great . quiet other mention . might bathrobe like expensive hotel otherwise equal exceded find hotel . we usually try stay different hotel time go city , tell hotel use future . like say price Chicago 's good keep secret . 
 may 23 2009 	 Majestic life name 	 stay Friday Saturday night . moment pull curb , greet friendliness excellent service . early bag hold come back check - in . valet bell employee extremely polite helpful . bit nervous big city alone 11 year old daughter , everyone put we ease . walk everywhere ! great access Millenium Park , shop Cadillac Theater . room clean nicely decorate . room quiet bed comfortable . breakfast good varied staff friendly . ask lot question riding & quot ; red line & quot ; make Michigan Avenue . hope stay majestic sometime soon . 
 may 21 2009 	 go back 	 pleasant hotel excellent friendly staff . room large well appoint . complimentary buffet breakfast provide excellent start available quite meant rush . location convenient theatre far Michigan Ave . also handy subway O'Hare Wrigley field Sears Tower 10 minute walk . enjoyable stay . stay go back Chicago , great city . 
 May 18 2009 	 fantastic stay 	 8 hour flight Dublin , welcome smile staff Hampton Inn great . check smooth , get map information local dining bar . everyone hotel freindly , helpful polite - great asset hotel . hotel centrally locate State St shop around corner , great bar restuarant lake side ' Bean ' short walk away . want good food genuine hospitality head miller bar , block way - Karl barman great company food great . good cheesburger we ever eat Butch McGuires Division St - typical irish american bar lot food , music people . great Thai food Big Bowl 60 EAst Ohio St fancy something spicy . taxis cheap use regulalrly , also get 24 hour visitor pass train / bus good value . I highly recommend go 90 minute river / lake cruise - buy ticket pier near Wrigley Building pay $ 25 teh trip - cheap CAM tour interesting . really get feel great city water . I would definitely recommend Hampton Inn return Chicago - great city visit 
 May 17 2009 	 wish cheap great place ! 	 Hampton Inn Majestic locate perfectly purpose recent trip Chicago ... within easy walk distance Ford Theatre ( see LEGALLY BLONDE ) , office business , Art Institute Chicago , Red Blue line train , make get hotel airport train INCREDIBLY easy , inexpensive , fast compare take taxi in . I want say hard pressed make decision hotel Homewood Suites also highly rate TripAdvisor ... , review , GREAT breakfast lot space , include full kitchen . even well , able find online room rate $ 139 Homewood Suites , great price hotel ... end , little go decide two , husband select Hampton Inn Majestic two reason ... one , really well situate hotel business town ... two , Homewood stay Suites review ( mostly ) seem family travel child . not dislike kid , many experience travel kid well - supervise hotel parent understandably want relax enjoy well - deserve vacation .... regretably traveler hotel , often mean child pound hotel hallway outside door hour , yell chase early morning ... slam room loud , self - close door repeatedly .... handle food breakfast buffet without wash hand , etc . see indication review Homewood Suites case norm hotel ! could not find review people not travel child , not sure see review traveler perspective . , regretfully , pass Homewood Suites reserve Hampton Inn Majestic . I search search , could find rate less $ 199 night time would ... husband & quot ; luxury hotel & quot ; people , prefer blow $ 100 night vacation budget lodge ... end decide location good review might justify expense . we disappoint . realize every hotel review subjective , everyone 's personal experience dictate number unpredictable factor ... tell experienced . we give room 8th floor . elevator access room floor control room key , nice add security measure downtown Chicago . room good size . wall darkish rust color , make dark room generally like , color not matter much . important thing hotel room whether bed comfortable . these bed terrific . soft , hard ; not wake ache back . the second important thing hotel room room temperature . thermostat room easy understand , immediately responsive , let set specific temperature maintain automatically rather force rely vague & quot ; warmer / cooler & quot ; dial require constantly adjust dial down . the third important thing hotel room quiet . room wonderfully quiet four night stay . not hear door slamming morning , plumbing room . not hear people 's tv , hair dryer , conversation . not hear conversation hallway . ' m pretty sure least three people stay floor , newspaper would outside door morning ... either lucke stay floor courteous fellow traveler , room well sound - proof . the shower head high ... 6 - foot - tall husband thrill crouch wash hair . ' m bit short , adjust shower spray ensure would still force water time hit reduce height . : - ) include breakfast okay , spectacular ... include hot item ( scramble egg disc ham discs ) well bread variety cereal , juice , milk , etc . would like waffle option . the business center TERRIFIC . able check email print boarding pass , one would expect , also download print Microsoft Word Adobe PDF document , always possible hotel business center . there lot dining option within walk easy train ride distance . eat Grillroom across street ( wonderful flourless chocolate cake ! ! ! ) , Petterino be within walking distance Ford Theatre , Weber Grille ( easy ride red line ) . great . the Hampton Inn Majestic staff , though limit interaction , friendly helpful throughout . regretfully decide check night early flight home go early morning , train 's Blue Line go undergo repair weekend would force we take train part way , take shuttle , get back train ... could not face uncertainty possible delay morning early flight . decide spend last night Chicago Hilton O'Hare , nearly wonderful experience Hampton Inn ( , believe , also Hilton property ? ) . also post review experience hotel , be interested . in summary , hotel well - locate we , can not go wrong . sure wish cheap ... 's outrageous hotel downtown Chicago , definitely get good hotel value money . 
 May 13 2009 	 EXCELLENT STAFF location 	 staff excellent ! ! location excellent ! ! wonderful breakfast include . walk distance several area attraction . also use trolley service locate one block form we . see broadway hit , Jersey Boys , right next door ! ! everything great ! ! ! great stay ! ! ! bed comfortable ! ! ! plan return later summer . 
 May 13 2009 	 fantastic hotel fabulous location amazing city ! ! 	 absolutely love Chicago ! arrive home early hour morning even though jet lag want get review asap ! ! could not ask well location . arrive O'Hare problem recommend TA brave ' l ' . glad - stop use . arrive T5 signpost train station good - bring 7 day CTA pass ' l ' ( inc use CTA bus ) $ 26 ( also 1 3 day pass ) . find great value money cost two pass , use week would price taxi one way ! ! can not recommend enough subway location blue red line around corner hotel problem . seem reliable frequent ! useful could walk way know could hop ' l ' get back hotel ! also useful want take Sox ( Cubs ) game L take straight . ' m big sport fan baseball much fun watch entertain - definitely recommend . see White Sox play get ticket day ( believe cub ticket lot hard come ! ! ) hotel lovely building , room good size clean , staff extremely friendly helpful . high floor room ( 18th ) bother street guest noise ( apart odd slamming door ! ! ) breakfast include fine - buffet style - could fill fruit , toast , bagel , juice , cake also small hot option . coffee availble day lobby welcome day sightseeing ! ! Chicago usual tourist thing say highlight we ( apart fantastic shopping ! ) Chicago Trolley tour - great get bearing , Sears Tower , drink night view top Hancock Tower Shedd Aquarium ( see 4D Planet Earth show ! ! ! ) . food great particularly good dinner Gage opposite Millenium Park short walk Hotel . Millenium Park great stroll around think Bean amazing - many photo opportunity ! ! almost forgot highlight bump Jerry Springer walk around Chicago ! regret ..... take advantage see Jersey Boys theatre next Hotel ! 
 May 8 2009 	 almost perfect ... one major problem . 	 want attempt drive / parking downtown Chicago , two friend book majestic town girl ' weekend . location nice ... block Art Institute , though 's mile change hike Museums Lake . lobby 's 4th floor ... hotel not even ' start ' 4th floor , take getting use . staff fantastic , room spacious scrumptious , price + valet parking , still pricey , far well downtown Chicago hotel . so , major problem ? arrive early , 1030am , town , stop lunch go hotel . get hotel little 2 pm tell room not ready yet ... okay . 3 pm 's check - in time , biggie . check luggage wonderful valet staff ( though even tag pillow ! ) , set wander town little . wind hiking Museum Campus back . upon return , figure would go drop thing room , go dinner . but room still not ready luggage still valet station . 530pm . bit travel - weary bit footsore , wound sit lobby another half - hour room finish . desk clerk explain ' full turnover ' , , everyone check morning every room clean , still , wait 3 full hour past check - in time irk we , especially tired hungry condition . , check , allow bring luggage ; wait bellhop . 25min wait ( tell would 5 - 10min ) , call front desk remind send . result , not get hotel well past intend time face horde Saturday night diner swarm Chicago . if , would perfect experience would stay , suggest housekeeping staff overextend , perhaps hire another person two . suggestion . otherwise , great stay nice hotel ! 
 Apr 28 2009 	 great Stay Hampton Inn Majestic 	 husband , son recently stay Hampton Inn Majestic pleased experience . hotel well locate , downtown right around corner two train line . luxury , fancy , hotel comfortable , friendly & quot ; home away home & quot ; . room clean nicely decorate comfortable bed . free breakfast internet convenient much appreciated . hotel employee friendly ready assist us time . think negative , one come mind could hear street noise inside room loud enough annoying disturb sleep . definitely hope return . 
