glad 	 reading disturb review decide cancel stay even mission , 10 minute hold rude person end line finally go speak someone ! lucky escape 
 oct 22 2009 	 good hotel bad location 	 hotel nice athough issue . first curtain not close stay bring couple safety pin . another issue price , valet 28 night restaunt inthe hotel overly expensive got . go eat breakfast hotel eat starbuck across hall . location good 's proxemity public tranportation get little scary dark . overall bad hotel probably stay else next time dan Francisco . 
 Oct 21 2009 	 great place stay Wicked right across street 	 stay one night Oct 16th watch wicked night . beat distance Orpheum theatre . get around 5 pm little tricky find hotel parking behind hotel . parking lot own hotel , work hotel parking guest . parking valet $ 28 night , privilege . we book double bed $ 99 night , $ 20 put we room king size bed . stay 7th floor look building . elevator small lot luggage might two trip . the room historic look . walk closet , bathroom roomy , fan let steam , bed die . love bed , maybe little many pillow : - ) . sleep well night . furniture antique looking , hotel . the place lovely . restaurant Starbucks property lobby nice . hotel nice look staff great , area shaddy , San Francisco . yes questionable people area , hotel fault . Chase bank , next door Walgreen 's nearby . I would stay , get nice room San Francisco $ 150 miracle . walk Bart , Muni F train right outside door . area questionable , hotel . 
 Oct 21 2009 	 Complaint Concierge desk 	 stay Hotel Whitcomb since hotel fully book due Oracle Convention . bad hotel experience ' ve ever . room clean accordingly . old furnishing . lobby beautiful chandelier tacky look center rotunda seat . bad part poor service receive Concierge Desk . concierge & quot ; Jan & quot ; extremely rude , inefficient , far someone proper customer service skill . also nervous energy make we nervous well . restaurant recommend horrible . concept good restaurant , & quot ; Heaven help hotel ! & quot ; furthermore , book car rental , watch disconnect phone line connect fax line . ridiculous ? ! . be like watch keystone operation . later towards evening return , people ahead obviously need assistance . bluntly put hand yelled & quot ; ' m CLOSED ! ! ! & quot ; turn away . totally aghast shock . imagine feel . decide venture research . give situation , bother concierge desk totally useless . be talking take place shortly 7 pm . concierge desk close 7 pm ! ! ! sense , consider revamp concierge desk professional operation personnel . worst HOTEL ever stay bad service ever experience . consider stay hotel ... urge reconsider look option . 
 Oct 20 2009 	 great space 	 Hotel Whitcomb great space incredibly convenient location . avid city traveler Bay Area vacation Berkeley tour 16yr old . underground locate step hotel travel efficient . hotel warm well keep . room comfortable clean . son walk many area never felt threaten . absolutely reservation regard location … it city character around . hotel staff extremely helpful courteous . Tim , Reservations / Revenue Manager help sort issue really even unrelated hotel , snag bank card absolutely gracious . would recommend hotel anyone plan stay city , stay . 
 Oct 19 2009 	 Old School Glamour great location 	 agonised stay SF , nowhere seem quite right . friend awful experience junkie stay Tenderloin safety concern . end pick place cheap parking good review great time . pay $ 20 upgrade get really classy , plush room 6th floor view City Hall ( see attach ) . lobby Algonquin- big classically stylish . staff friendly find Starbucks lobby convenient coffee cake run knacke day sightseeing . location great - trolley right outside go Castro one direction Fisherman 's Wharf shopping district , plus flat flat flat . complaint hostile valet parking tell we pay noon till 4 pm though hotel say fine , ridiculously expensive internet - like $ 20 hour something . overall well worth - great stay . 
 Oct 17 2009 	 nice hotel - awful location 	 may hotel fault location pretty important good time . area hotel terrifying . prime example , homeless woman pant knee defecate bus stop 4 o'clock evening police across street . nice . everyone crack apparently , people conversation / arguement . rough place unsafe place , especially night . good take taxis . besides location , would rate hotel 4 5 . nice decor , clean , good service , free wifi , friendly staff actually locate near many different public transport line ( do not expect meet sane people board ) . like say , may hotel fault area make stay uncomfortable would never return anywhere near . 
 Oct 16 2009 	 Hotel Whitcomb 	 dark old fashioned . typical old - style hotel big US city . noisy first night stay , slightly well second night . 
 oct 9 2009 	 Historic Hotel Heart Town 	 stay 5 day hotel wife two 5 year old twin daughter . greet doorman wide smile bell hop swift 8 baggage . room look classic clean although slightly small squeeze family baggage . microwave fridge . good point location , location , location - train tram stop outside hotel . 's also walgreen block Burger King across street . decent chinese korean cafe round corner meal issue . yes , would recommend business traveler travel light . 
 Oct 7 2009 	 nice place location great city 	 Center location SF friendly staff . room historic feel not expect modern still comfort nice place stay . Beds AWESOME sleep really comfortable . 
 Oct 6 2009 	 great place stay 	 hotel great . stay hotel least every year . staff friendly , welcome helpful . great location right near transportation good restaraunt whether want fast food , upscale , hole wall . room clean comfortable . 's place stay San Francisco 
 Oct 6 2009 	 always comfortable 	 friend always go hotel every year . close BART MUNI do not need car travel . close civic center hotel comfortable . staff always friendly great . 
 Oct 5 2009 	 awsome 	 love place , check breeze staff friendly alwys willing help .. room clean nice diffently go back next tiem vistThank 
 Oct 5 2009 	 Excellent Location facility 	 pleasure stay year really like change continue make . get chance book suite see wonderful room hard work put they . the staff far good San Francisco hotel stay many hotel city . none beat service friendlynyess Hotel Whitcomb . never bad meal drink bar restaurant . also like new museum hotel shistory . 
 oct 4 2009 	 friendly comfortable close downtown : ) 	 stay 3 night Hotel Whitcomb . staff friendly , room large comfortable . location good , right near subway free shuttle bus take across road run loop stop town , near china town way wharfs etc . complaint everything great ! coffee shop downstairs fine breakfast snack travel town dinner etc . 
 oct 4 2009 	 hotel surprise we 	 book hotel HotWire probably would not choose have booking directly . number review talk area 's certainly true fair number homeless people hang street around . however , say location poor would mention 's 10 minute walk Union Square BART station right next door ( literally 10 minute ) use route home easy way feel safe . the staff hotel really helpful indeed . find first room quite noisy happy move we room face back hotel . also , Bell Man real character sing we show song put bag storage morning check out . the room clean bed comfortable . fantastic value hotel would totally recommend . keep wit be walk home night will fine . 
 Sep 30 2009 	 thank rolando ! 	 lovely finish great tour california southwest . special thank rolando front desk , go beyond help recover wedding band furnace creek ranch death valley . definitely back 
 Sep 29 2009 	 Good Hotel Bad location 	 hotel really nice old hotel plenty charm . little date still comfortable clean . unfortunately 's downfall location . block wrong side town will not feel safe walk night . room clean comfortable . staff concierge desk particularly pleasent check staff professional , except one man patient anyone . put mind ' soup nazi ' Jerry Seinfeld show . the bar small quiet . would say unfortunately location dodgy reason would not return . I must mention door man . 's constantly good humour amusing . 
 Sep 29 2009 	 Nice hotel dodgy location 	 actually hate negative Whitcomb staff extremely friendly helpful ( especially singe doorman ! ; - ) , ... , location really great . block Market St. quite seedy , be four block ' comfortable ' part Market St. , could seem long lone female instance . having say , could handy Opheum Theatre , ' Wicked ' itinerary go ! ! 
 Sep 17 2009 	 would stay option 	 bit late try book accommodation 49th ICAAC meeting . every hotel hotel list already fully book . , must reason Whitcomb still vacancy ... ! hotel say lot history , explanation old poorly maintain . the corridor dark many mirror , door room wear , color color tv anything brillant . one electric socket power . power , electric contact computer adaptor bad . air - con noisy . really lucky not use temperature San Francisco comfortable stay .. , free WiFi internet access .. bad nothing ! speed slow , signal weak , connection unreliable . get several un - anounced disconnection lose whole page email type ... ! decide would rather pay internet access nearby internet cafe ... ! ! ! ! definitely value money 
 Sep 15 2009 	 Whitcomb Best Service Deal Location San Francisco 	 want take strong issue recent report Hotel Whitcomb 's desk personnel rude . nothing could truth ! ' ve stay fine hotel 20 year find friendly superior occasion . can not enough Whitcomb , location convenient city 's many attraction , restaurant , theater movie . Rolando , Bernie , Olga , Clem entire staff go beyond call duty care visitor . want great experience SF , choose Whitcomb ! 
 Sep 15 2009 	 nice hotel terrible LOCATION ! ! ! 	 hotel nice elegant traditional decor . room pleasant comfortable although bathroom little tired old fashioned . staff adequate little slow . example , take 20 min bellman bring luggage storage room check - out . food hotel also tasteless bland avoid possible . the main downside location . couple block wrong side town although easy enough walk city centre short trip Bart . many undesirable hang around outside nearby hotel . offer drug many occasion outside one mid - afternoon bag snatcher try grab bag enter hotel . I stay hotel business trip unfortunately hotel already pre - book pay conference would move different hotel . the upside hotel rate reasonable guess get pay would definitely avoid anywhere around 7th/8th street tenderloin district . tell local , even local avoid area , especially night . 
 Sep 14 2009 	 Perfect hotel WICKED 	 wonderful stay hotel would recommend anyone plan see WICKED short trip City . able use street cable car affordable transportation around Wharf Union Square area . although hotel old , comfortable clean . negative experience Rolando Front Desk . definitely need & quot ; people skill & quot ; work kind traveler various socioeconomic background . female asian gentleman pleasant courteous . Rolando hand somewhat short way rude . would cut ask question lift finger say & quot ; shut up . & quot ; seem inpatient many guest line would smile select ... probably base look ! ! ! 
 Sep 9 2009 	 Beware Bedbugs .. 	 Hotel Whitcomb well locate budget hotel add bonus beautiful historical lobby .... provide allocate room without bedbug . sadly not . all well stay third night town wake early hour morning find large bedbug pillow swollen blood . morning upon checking room find another small bedbug pillow . upon reporting move another room .... speak manager duty belonging able clothing launder ... despite fact initially deny need this . now bite come arm , shoulder , neck FACE cover welt . spend last day itchy miserable return home unwelcome prospect try sanitise belonging disgusting pest introduce home . 
 Sep 3 2009 	 close tourist attraction 	 stay 4 night . Front desk staff friendly . location good close tourist attraction . however evening ( 6 pm ) , alot homeless wandering soul . though keep , feel uncomfortable young family . day , thing fine . hotel security front door reassure . the hotel remodelle victorian style . room nicely decorate however part hotel look quite old run ( fitness center smell musty old looking ) . Valet Parking premium like everywhere . end get car scratch - think may happen rest trip , park open space . damage less insurance deductible disappointing . the price right want stay close tourist attraction without pay arm leg , place worth consider . 
 Aug 28 2009 	 stay away ... unless enjoy sleep bedbug ! 	 price + service , really want like place ... two night stay , hand , foot , shoulder cover bite . not next night actually see handful bedbug crawl around sheet + pillow , definitely enough turn opinion hotel sour . around midnight notify front desk staff immediately accommodate we move we another room ..... still , apology offer ! since book priceline + prepaid stay , decide suck + remain hotel . new room free bedbug reveal everything par .... persistent itching + image bedbug crawl around sheet , will not stay . 
 Aug 26 2009 	 great value hotel 	 need week SF company travel policy & quot ; cheap reasonably possible . & quot ; Voila Whitcomb . room small clean ; front desk staff brusque willing help despite ; restaurant surprisingly good dinner service . location little iffy - walk past 5 - 6 nudie bar way town - BART bus right outside door . $ 90 night , can not beat . free internet . desk staff honor room request ( eg ask high floor check - in provide ) . clean , quiet populate mostly european vacation group . 
 Aug 25 2009 	 good value money 	 son stay hotel 5 night pay full rate hotel website . stay discover lot guest cheap deal third price . consequently , feel reflect level service poor . feel area around hotel particularly unsafe night . 
 Aug 25 2009 	 place ' m stay every time visit San Francisco . 	 really recomend hotel ! ! ! ! great , would definetly recomend anyone stay would also stay everytime stay san francisco also great price verry nice furniture . receptionest Esmeralda really nice helpfull make sure well take care . one rude soul employee everyone professional yet nice kind . one thing wish would diferant wait morning get floor check know 's kinda control due everyone want use busy morning checkout time . 
 Aug 23 2009 	 good night sleep ' ve long time ... great location ... good eat .. 	 hotel perfect : go SF , wonderful dinner , walk across street see Wicked , get bed , wake ready head home ! resturant nice , food good ( fanstastic really good ) , piano man could actually play , Captain Coke taste good anywhere else . actually , wife one tame bit extra Coke ! make theater 4 minute hotel , say hi two homeless people pass . staff friendly help we ask . starbuck adjoining lobby . perfect getaway we ! con : parking $ 28.00 , taxis add ( $ 99.00 room end around $ 150.00 time everything add ) . Pepsi machine bottled water - buck bottle expect .... could use shower curtain rod go shower curtain tub room . lastly , tighten electrical outlet bathroom one seem jiggle . 
 Aug 17 2009 	 Classic Hotel - great price 	 build 1912 , beautiful lobby . amazing price San Francisco . small room fine - nothing fancy , location price make . 
 Aug 16 2009 	 hotel ok avoid bar / restaurant 	 stay hotel 2 night . the room nice enough , hotel staff friendly helpful . mention other Tripadvisor , area around hotel not feel safe night ( hotel strictest hotel security 4 - week trip USA ) . hand : be convenient location public transport within easy reach , bad thing hotel bar / restaurant . wait almost hour breakfast - 's precious time one day San Francisco . ( expensive ) breakfast finally arrive turn simple - value money . complain ' fresh ' orange juice fresh ( vietnamese ? ) waitress suddenly not understand english anymore . night buy bad margarita ever - big glass salt ice water drop tequila - grumpy barman already start close bar 15 minute ahead closing time . our advice : breakfast Sam 's Diner across street : twice good half price , plus good service . bring booze must nightcap . 
 Aug 12 2009 	 Delightful Hotel 	 suppose lot depend room be give great experience hotel . stay room 509 -- pretty big room wonderful view . hotel well maintain , say elegant -- staff , albeit occaissionally snooty ( find lot SF ) nontheless helpful . course right across street Orpheum theatre pick ticket first day play & quot ; Wicked . & quot ; be beautiful theatre 's kind theatre take picture cast get autograph sign right outside exit door sidewalk ! find area around hotel safe . even take BART walk back hotel around midnight without fear ( well , maybe wife little fear ) .The location great . take F train Pier 39 71 bus Golden Gate park . find room pretty quiet . yes , could hear traffic downstair little window . not hear neighbor ( people 's review say wall thin ) sure any . a observation improvement : electrical socket room pretty loose -- make plug laptop little difficult although able so . the Concierge someone else help responsible making tour guest also mind little gift shop . wait 10 minute buy something gift store help one couple tour . overall , would recommend hotel . 
 Aug 2 2009 	 Clean Comfortable Convenient 	 Hotel Whitcomb great hotel bargain price . clean freak , hotel clean . bug .... bed kind . furniture date , care . bed comfortable . tv great/ anything need , staff extremely prompt respond request . room huge closet store luggage , plenty room move around . air heat room , contrary review . room face Market Street , hear traffic , really room regroup sleep , not big deal . light sleeper , request room face Market Street , take ear plug . Les concierge fabulous , Jan Ryan . little gift shop necessity , also . homeless people everywhere go , outside Whitcomb . fact , homeless people outside Whitcomb , feel safe . 's great location public transportation right outside hotel . we lot San Francisco . Whitcomb across street Orpheum Wicked show . go around 5:00 pm , put name draw lottery two ticket ( orchestra seat ! ) $ 25 ticket . daughter , send son daughter musical . great time ! try day . sure ID , child 17 , vouch he / her . person family put his / her name drawing . buy pass get know public transportation . need car . San Francisco great ! eat across street Sam 's . good food attentive server .... would definitely recommend Hotel Whitcomb , picky . 
 Jul 29 2009 	 Good Location really Comfy Beds 	 stay hotel Whitcomb 3 night impress comfy bed , great location price . bathroom slightly small wall little bit thin ... could hear person bathroom next door . air con noisy . opposite good diner breakfast Muni station right outside within walk distance local attraction . Decor bit ropey overall would recommend stay sightseeing trip traveller reasonable budget . although parking expensive $ 28 per day . 
 Jul 26 2009 	 great location good value 	 stay 2 night would definitely return recommend . yes , parking bit expensive - $ 30 San Fransisco expect . 's $ 70 night parking one high end Nob Hill hotel ! ideal tourist location great rate ( less $ 80 ) make brainer choice . take trolley line front north Ferry Building Fisherman 's Wharf . quality selection gourmet food good miss Ferry Bldg 's upscale & quot ; arcade & quot ; . head south Castro end trolley line . take BART east bay cities step front door . opera house city hall 2 3 block west . super gracious front desk service . beautiful lobby nicely do hall . old classic SF . room upon entry bit musty odor dissipate . however , expect : room fridge , big room , view room , spacious bathroom . great price location will suffer without . less ideal surround area -- yes homeless people , like many big city -- not rabid dangerous ! probably would not stroll around dark single female , day especially safe ? not try restaurant but friend say great value . look forward come back ! 
 Jul 25 2009 	 certainly recommend hotel anybody expect comfort tight budget . 	 even refrigerator cost $ 20 per day . continental breakfast not offer . room not cozy , staff not behave lovely 3 star hotel provide much relaxation . one con , course , parking facility valet park $ 28 fee per day . even though be locate downtown , many homeless area can not stroll night time . 
 Jul 24 2009 	 Charming SF Hotel Helpful Staff ! 	 stay Hotel Whitcomb June five day conference . pleasantly surprised ease checking - in large group , well accomodate staff make special request upon checking - out . loved convenience starbuck ... although really something fire alarm go morning . tell relate cooking item Starbucks . room perfect ! view , know San Francisco room rate , not even expect view .... conference not need one . everything bathroom bed linen absolutely clean . hall way bright yes , old style San Francisco . enjoyed step back time , convenience shop , Symphony Hall , restaurant transit within block hotel . restaurant bar right downstairs also great ! compaint spotty wireless connection . , complaint ! thank great stay ! 
 Jul 19 2009 	 great location could use small improvement 	 Whitcomb great location , right Market Street direct access SF public transportation minute ' walk Union Square area . public facility ( lobby , ballroom meeting room ) nice well - maintain . however , guest room quite small , enough room two double bed desk much , bathroom almost afterthought ( sink almost top toilet ) . room throughout weekend appear large . also occasional odd odor room , large issue . the front desk staff occasionally appear overwhelmed , line sometimes form hour day . check - in , repeat two three time get ask question . overall , would recommend hotel get good deal stay San Francisco . would suggest get really small room ( like 572 ) , ask something big , definitely room . 
 Jul 16 2009 	 -10 Customer Service 	 first night phone would work ; wait 3 hrs someone come one show ; find radio not work either ; send somone morning provide wake call . remind th emorne go day ; phoen still work , radio still work problem wait three hour one come ; finally get radio work ..... go bed surprise short sheet ! ! ! ! next day situation ; go day still fix anything . bed sheet first day ; call informed mnager would go would appreciate phone would fix bed make make fresh sheet . I come back 1030pm ; phone radio fix ; clean sheet sit end bed wait remake bed ... dont know pay 150 dollar day expect hotel.i speak manager duty face face could care less .... -10 -- -- -- TERRIBLE PLACE stay ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 
 Jul 16 2009 	 great stay Bay 	 lovely hotel - staff helpful . location great - Market street quick walk Orpheum Theatre Civic Centre BART station right outside front door ( handy ) . room clean , bright airy look like recently redecorate . bed comfortable . bathroom small shower make right mess water ther floor - nothing towel could not mop . lovely hotel 
 Jul 16 2009 	 old charming hotel 	 spend 5 day San Francisco business colleague recommend stay Whitcomb . tell 's modern hotel everything keep well staff friendly courteous book via agent recommend somewhere else still book we . we decide fore go taxi see easy would travel Whitcomb via transit system , pleasantly surprise easy securely go step exit subway entrance Whitcomb . room old charm , cosy right rest head long day shopping sightseeing . unfortunately try lobby restaurant much area try budget within step Whitcomb personal favourite Starbucks morning evening dose latte convenient entrance right lobby hotel , also great place mingle local come pre work day caffeine fix . yes , san Francisco homeless problem 's fault hotel 's mostly ask change 's choice ignore acknowledge not let dter walk street small shop might thing might want , supermarket , drugstore , restaurant within short walk Whitcomb . unfortunately business trip year cancel San Francisco vacation Bay Area , would definitely stay already recommend Whitcomb experience old Charm building wonderful staff . 
 Jul 16 2009 	 Nice Hotel - Put area 	 hotel itsel nice enough . Starbucks lobby breakfast place ( 2 ) right across street help . parking bit pricey $ 28 , guess SF . couple reviewer also mention , check desk clerk basically tell probably pay much ( $ 75 ) book on - line Travelocity think stay call hotel direct . area around hotel bit dodgy , may biased b / c lose wallet street directly outside hotel within 30 minute whoever find charge multiple & lt ; $ 25 charge card . base event night hotel shorten call card company etc not able truly enjoy hotel / amenity . the hotel , however , understand sympathetic situation , compe 1 night parking , unncecessary , appreciate . I would give another shot get back SF , definetly use public transportation ! 
 Jul 16 2009 	 overal outstanding experience 	 's enjoyable time stay Hotel Whilcomb . staff ( lobby check , house keeper , etc . ) helpful friendly . hotel location convenient go citvic hall , shopping center , commute tourist location . actually enyor July 4th firework room . starbuck provide convenience breakfast and/or coffee break . hotel history impress we . net , be much enjoy . 
 Jul 13 2009 	 one good deal San Francisco 	 go mom , dad , 2 cousin , 2 set aunt / uncle , 3 grandparent . u imagine , relatively big group . go San Francisco 4th July celebration , might add , San Francisco sweet firework . hotel , park 20 dollar car per night , privilege valet parking . 20 buck may seem like alot , park elsewhere SF prolly worse , actually bad deal . hotel room relatively , big motel 8 's whatnot . get 2 full size bed think ? big queen size still decent amount . room elderly , handicap room . convenient senior even room different bathroom setup , quite nice . location decent , major eating place around , diner across street that s . starbucks coffee need pretty good look restaurant , not try cause little pricey taste , nonetheless . bathroom overall kind small unbearable , get handicap room huge ( hint hint ) . be right bart exit easy get town be go somewhere like business trip . bus line block two , use get dock . 's 10 minute bus ride 's prolly recommend use want stroll around bay . story historic moment hotel , old building refurbish nicely , want learn . 7 floor , one large hotel SF , besides marriotts other cost 400 night , bad deal . free wi - fi bring laptop need ! need quick stay SF , budget can not stay marriotts stuff , place go . 
 Jul 12 2009 	 great service convenient 	 staff friendly helpful . room roomy bed comfortable . stay 7/4 firework , shuttle two block away , be convenient . 
 Jul 11 2009 	 pleasantly surprised 	 enjoyable stay Hotel Whitcomb week . room good condition , maid service friendly thorough , check check go smoothly . especially appreciate care agent check consolidate two reservation , would move room . hotel dicey area , muni station block never interact homeless much . 
 Jul 9 2009 	 great bargain ..... be picky ... 	 let us keep one short . great hotel price . location kind centre bother one step away public transporation convenient shop around ( f - line , Starbucks , Walgreens , BK , Subway ) . room large serve purpose fine be go room much begin . room generally condition , although tell 's age rust spot . problem obvious makeover hotel ( make apparently extend service room ) look closely . a plus also available wireless internet service . work fine . two complaint : one noice bathroom ( blender make less noice actually close bathroom able still hear tv ) . one apparently every day 05:00 free wake call laundry service alley side hotel sound like garbage truck pass , atleast 20 minute ... 's ? wife , sleep SFO earthquake , problem btw be light sleeper like guess will not bother everyone . . however , enough decide would not stay . 
 Jun 22 2009 	 pocket - friendly Hotel 	 stay hotel 2 night friend visit SFO Dec 2008 . find one affordable hotel fairly good rating tripadvisor . the hotel comfortable room , friendly staff old world feel . inside feel time probably stop sometime 40 . the neighbourhood be ok till 8 vene kind deserted . I would advise talking room high floor noise street - police siren ( really loud ) - quite disturbing night . lot homeless people pavement outside hotel . single traveller , would well reach hotel 9 evening . 
 Jun 18 2009 	 convenient hotel 	 hotel locate front Civic Center Station . hotel , easily access everywhere San Francisco . room large closet also large , could easily put away baggage open baggage . staff kind teach we go Golden Gate Bridge easy English ask way . however , hotel locate Civic Centre many homeless walking . on way hotel , watch lot homeless go beg . public peace around hotel seem little bad . 
 Jun 9 2009 	 wonderful time great hotel 	 stay Whitcomb hotel , pleasant stay , tryly expect base people review , location excellent , starbuck plus every morning not even step door hotel , staff pleasant helpful doorman Larry courteous , always happy.the area clean outside hotel , one ever bother we , visit SF find always people hang , walk street , homeless well , see every go . bart right outside door convinient want get back forth airport get major problem less $ 6 way , actually fun.for price hotel would stay , 's Hyatt room clean linen fresh clean matress actually surprise comfy . would stay . restaurant food good little pricey good . 
 Jun 6 2009 	 great value money be happy walk commute attraction '' 	 stay 3 night trip California . overall , impressed Hotel Whitcomb , beautiful building - must grand hotel back day . yes , aged do great job keeping maintain . room little small beautiful high ceiling certainly make . bathroom also good size clean neat . bed super comfortable big tv . Aircon work well ! good business center downstairs not computer ( $ 5 minimum 20 min ) , laptop , wireless room work ok little tempremental . really enjoy stay , however , would caution anyone travel good location roam around dark . little bit sketchy area town metro stop literally right outside door F Line street car take straight Fisherman 's Wharf . location close Union Square 5 - 10 minute walk 5 minute walk Powell Street station catch cable car want to . my complaint would restaurant ( little bit market location bit expensive ) , budget traveller ( hence choice stay Hotel Whitcomb ) feel food wise , little expensive would like . end Starbucks breakfast morning get Subway evening ( across road ) .Apart would definitely recommend Hotel Whitcomb budget traveller . aware area stay take precaution dark . 
 Jun 4 2009 	 solid hotel good price tag 	 second stay Hotel Whitcomb experience practically . attend event San Francisco , probably need close Moscone Center . well , always choose Whitcomb locate 4 block mention convention center . go convention center cost around $ 7 go Taxi , use bus via station locate front hotel . foot take around 10 - 15 minute , would not suggest walk sun set , could bit & quot ; creepy & quot ; people street ... hotel nice , hallway look like Kubrick 's shine shot , definitely plus . staff polite , would suggest management get another employee reception checking - in could 15 - 20 minute process one receptionist . room spacious , clean , bathroom shower floor really look disgusting . technically not dirty , wear always place towel floor step shower . know one old hotel , & quot ; update & quot ; thing . I forget name restaurant hotel , remember much well previous year . time order steak , first extremely char return , get rare steak - order medium . also not basic side dish , potato . hope one bad day . restaurant close 10 pm , bar open 11.overall , San Fran business would come back hotel location / price combo . take wife , would definitely find another place . yes , one thing business traveler . wlan access room , signal terrible . 
