good 	 husband 2 year old son stay three night Thanksgiving weekend . get excellent rate priceline front desk staff upgrade we superior room 33rd floor . big room fantastic view hudson jersey city . small fridge room put milk yogurt son . hotel standard marriot room rather large Manhattan hotel . the 85 west restaurant decent menu bit pricy ( $ 20 burger ) . breakfast starbuck one day morning go diner block away ( Georges ) excellent . can not compalin hotel except would stay downtown sightseeing shopping . also many restaurant around . the hotel one block ground zero general lot construction area sidewalk block traffic divert . subway station close get town . 20 minute ride midtown 25 - 30 uptown / central park . , great hotel convenient location midtown sight , especially child stroller . also prefer come back hotel naps inconvenient midtown taxi ride $ 30 . plus side , ferry liberty ellis island 10 minute walk hotel . 
 Jul 13 2009 	 Great Value Lower Manhattan . 	 stay weekend July 11 , 2009 another couple . ( probably ) 6th 7th stay hotel , feel obligate write review even feel little like home now . we like place usually not go 16th street stay village / soho stay . first - timer want go Central Park see sight midtown , be bit hike even train . ( Red 1 Yellow r line station within block hotel , be hard get wherever want go . ) write report need point quick easy get . take quick u - turn West Side Highway Battery Park be block . front desk attendant always quick friendly check - in . I not really take much time worry room , spend time . however , bed , comfortable . ( get king bed sleep like be dead . ) bathroom good , spacious hotel bathroom . tv 's look fancy , picture tend average . be plan spend ton time room watch tv , go somewhere else . view great . ask room face Hudson River view Statue Liberty 's something ' e interested . be nice view look upon spend lot time room . Roy 's hotel restaurant . 's highly regard hawaiian chef place get great feedback , though ' ve never eat there . the bar ( 915 West ? ) expensive cocktail good food . ( wife swear 's one good Tuna Tartar 's 's . 's lot stuff ! ) cool vibe . 100 % tourist ... local sight . starbuck gift shop site . World Trade Center site block away . low Broadway two block away . the trendy W Hotel chain put place right next door , bring business neighborhood . think 's real good sign neighborhood really come back life decimate 9/11/01.overall : hotel homebase come NYC , 2 - 3 time / year . reason : great value . easy get into / out car . subway stop right nearby , go anywhere easily . friendly staff . 
 Jul 7 2009 	 Beautiful Weekend 	 stay Memorial Day Weekend wonderful time . hotel seem expensive out - of - towner , generally feel in - line Manhattan price ( parking use internet 2 cost feel high ) . considerable construction street front hotel , hotel staff helpful help we unload car , inside , feel like oasis . give we 2 adjoining corner room beautiful view Hudson Bay . room comfortable , child not want leave hotel . hotel use operate indoor pool , long . ' ve note web page , unfortunately , reference pool still room document sign . couple restaurant , small grocery store , street cart sell fruit within couple block westward . hotel also restaurant Starbucks . Battery Park ferry Staten Island Statue Liberty 15 min walk ( kid ) . two subway stop within 5 - 10 min walk - use subway easily get midtown attraction . one nice feature area walkway along Hudson River - fun stroll along sunset . ' ve stay many hotel Manhattan enjoy one far cramp sunless one midtown . 
 Jul 1 2009 	 Good Base Hotel nearby well connected transport link 	 room locate 11th floor . hope high could views statue liberty hudson would cost extra $ 40 night feel worth go day . three night stay Marriott pleasant . reception staff friendly able help we plan trip advise . subway close hotel ( Rector Street ) provide fast easy travel uptown . single ride cost $ 2.25 . get taxi back Times Square hotel one evening cost we approx $ 20 . nearby vicinty quiet evening lot construction work go ( WTC closeby ) however disturb ( think high , well ) . nice delis restuarant near hotel . hotel close Battery park close Hudson lovely walk nearby find lively bar along river . room clean spacious dissappointe . coffee machine , fridge , iron hairdryer room internet access demand tv 32 & quot ; plasma . two double bed room impressed space cleanliness . starbuck site handy morning also restaurant ( approx $ 20 breakfast ) cocktail bar quiet drink evening . tour operator listing state indoor pool within hotel discover close . we fault hotel . if wish get away busy part town quiet evening time fine local shop restaurant discover . link midtown uptown easy find problematic . stay downtown saw lot part may necessarily find guide book make trip explore short break feel aspect help make good choice hotel . our flight JFk standard flat fare $ 45 way . addition pay toll would advisable tell driver use Brooklyn Bridge Manhattan bridge avoid additional cost . take hour transfer . advise bus airport would cost due downton location would look two hour transfer bus would start drop people town . nearby : Wall StreetWTC SiteCentury 21 Shopping Centre ( shooping bargain galore ! ! ) Battery ParkFerries Statue Liberty Staten IslandHudson River ( walk / cycle / roller blade route ) Fulton Market / Pier 17 seafood restaurant bar . Abercrombie , Gap Benneton shop less crowded uptown great clearance item well ! ) stay visit Jersey Gardens Mall ( near newark airport ) numerous outlet worth visit shopping bargain ( Abercrombie GAP great could find UGG boot $ 100 ! ) . trip cost $ 10.50 return bus Port Authority ( 42nd Street ) bus station take 45 minute . 
 Jun 27 2009 	 great view 	 room 35th floor . view excellent . could see Statueof Liberty . room nice , clean nice furntiure appointment . thebathroom nice , nothing spectacular . we attend conference . think common area rug filthy theactual conference area average good . think service staff good . for price think satisfactory . 
 Jun 25 2009 	 good choice 	 nice hotel good location explore New York . take taxi subway near everything . clean comfortable room . 
 Jun 22 2009 	 great hotel locate Wall Street / downtown area excellent service 	 recently stay hotel love . ' m familiar Marriott hotel stay different property several time year - definitely one good . location great - right Financial District Manhattan , great tourist well business trip . 's subway station locate close , make travel part Manhattan easy . hotel clean modern . room seem recently renovate , also make pleasant nice stay . usually hotel staff Marriott well - train friendly say staff location - accommodate friendly . a perk hotel include Roy 's Restaurant inside hotel ( one personal favorite serve hawaiian - fusion cuisine ) well fitness center adequate simple weight training cardio workout . need coffee fix , Starbucks also site great convenience . probably good thing hotel value - hotel New York City expensive , book early enough , find amazing deal ( $ 220 - $ 270 / per night ) . consider level service amenity hotel offer , probably one good deal New York City . 
 Jun 20 2009 	 Downtown Marriott help make trip great ! 	 wife book trip NYC last minute five day vacation . select Downtown Marriott . the concierege contact Jay . awesome ! pleasure service , please take care . room extremely clean , service attentive . wife book reservation expedia . mix - up expedia Marriott . desk help fix problem first time , second time - go front desk paperwork . take call third time 10PM night flight leave problem resolve . understand mix - up happen . understand may expedia 's error . however , not fix first time ? since downtown , not much , anything go evening . train nearby , not mind use subway , get around breeze . I travel wife , 13 year - old daughter , 8 year - old daughter . enjoy hotel . this second trip NYC vacation week . would definitely use Downtown Marriott . 
 Jun 8 2009 	 Great Hotel Value 	 stay hotel second time 4 week . Bell Captain remember amazed . request room view disappoint . room actually nice size NYC clean bathroom , flat screen tv Starbucks ! ! ! staff pleasant willing assist we several request . night cap bar nice . Tuna sashimi sesame crust good bar . , definitely stay . anyone say bedbug probably bathe well , bed lean comfty ! ! ! 
 May 29 2009 	 Pool - no - one inform we ! 	 hotel room lovely , great view 36th floor . coffee maker fine - ask need extra supply . staff friendly helpful . however , book B Holidays never inform hotel pool close permanently January ! gym good partly make disappointment . lot construction work , not bother we - expect next Ground Zero ? overall , good hotel . 
 may 24 2009 	 Fitted bill would want hotel stay new York 	 Nice , clean professional hotel , really could not imagine bedbug someone say . 's really new looking . be really near statue liberty ellis island load subway staion cost $ 2 time travel flat rate . tube 's really easy get anywhere new York . never get sample pool , remember take cosy . big benefit starbuck hotel well . 
 May 19 2009 	 comfortable stay convenient location 	 hotel happen busy weekend stay lot guest town large bicycle ride , result , bike lobby . despite , get help front desk concierge easy pretty fast . room comfortable , soft nice bed . traffic noise almost non - existent , big plus we . Marriott close restaurant shop , 's easy catch taxi , subway also close . 
 May 8 2009 	 excellent base explore NY 	 stay hotel four night , bed comfortable , excellent staff freindly & amp ; helpfull . Legendary New York brekfast dissapoint , meal one night , & amp ; & amp ; family ( 13 & amp ; 8 yr old ) find great base explore . recomende 
 May 5 2009 	 Excellent Stay Downtown Marriott 	 spend weekend Downtown Marriott primarily son five Boroughs Bike Tour Sunday . family four ( two teenage son ) wonderful stay Marriott . good location accessing sight Downtown / Financial district area . Battery Park ( Statue Liberty ferry ) , Wall Street , Ground Zero South Street Seaport within walking distance we . Set & quot ; quiet & quot ; area Manhattan , away hustle midtown , enjoy walk street eat quiet street cafe . room service price astronomical ( hey , NY ) quick walk corner store provision ... local vendor deal super helpful friendly . also , aware Ground Zero area still much construction road front hotel . find problem get around . the location perfect five Boroughs bike tour kudo Marriott make accomendation rider ( bike storage , late check - out ) . staff friendly , room spacious ( NYC ) clean . overall , excellent stay . we look forward next visit ! 
 May 4 2009 	 Pleasant stay 	 go NYC long weekend , celebration birthday . although location hotel first choice , fare reasonable review mostly positive . flight arrive early morning headed hotel ask early check - in , accept . room high floor , request book . room nicely appoint , clean nice city view . the thing face construction site - something hard avoid downtown - overnight flight want get rest head city . disturbingly noisy , background noise , though think regular day would bothered we . go back front desk ask could get we another room face side . kindly help Mr. Michael Bormann , Assistant Manager , even take we upstairs see couple room available . know b - day weekend , also suggest option upgrade discount fare , order make stay even special . pleased kind attention get change room . next room also nicely appoint , spacious clean , plus much quieter wonderful view Hudson river . next day , actual b - day , even get card kind wish Mr. Bormann . husband find gracious he . location wise , bit way , within subway station , short cab ride even nice walk right want , hassle whatsoever , even night .. Marriott Downtown surely good choice would definitely stay . 
 Apr 8 2009 	 great location Statue Liberty 	 perfect hotel weekend . stay 30th floor view Statue Liberty . celebrate daughter 's 10th birthday , ask upon check milk cookie send room . hotel oblige send good ( card ) gift . room clean comfortable size New York , hotel room run small . coffee maker room brew terrible coffee , glad Starbucks lobby . room service prompt breakfast , expensive tasty . quite bit construction area , hear noise room . great location visit Statue Liberty , ground zero , TriBeca , Wall Street South Street Seaport . easy walk area ( sunny day ) . 
 Apr 5 2009 	 great hotel accomodate staff aim please 	 wife travel New York long weekend rest relaxation find Mariott great hotel . room big typial New York hotel room , even compare hotel class . everything reasonably new consider construction renovation require post-9/11 . although hotel indeed close ground zero , time ever inconvenience taxi airport pull short drop we -- not traditional pull - through check ongoing construction . rain small inconvenience terrible . hotel reasonable walking distance 3 major subway line , make hotel perfect base city exploration . must commend hotel staff resolve problem encounter stay : extremely large tour group high school kid block room hotel . several floor make lot noise . ask security quiet , hotel immediately move we another room -- upgrade we Jr. Suite . return dinner night bottle wine dessert platter hand - write note manager apologize inconvenience . impressed seriously take complaint quickly resolve issue . 
 Mar 31 2009 	 oh ! ! say BED BUGS ! ! bed BUGS ! ! 	 comfy pillow comforter mask little critter . pleasant stay 3rd night start see little bite we . desk clerk find we another room right away , hard sleep without think thing crawl . plus ... quick find we another room . negative would give we $ 20 discount bill . check 4th night . 
 Mar 23 2009 	 overall service poor - would stay 	 bell boy great - , rest staff rude . moment check treat like favor allow stay motel . stay one week . last day , desk call room 8:30 see check yet . speak - check someone answer hang . disturb sign door check not 11 . location detriment well . right next busy highway nothing within walking distance . want internet room , prepare pay much - along everything else . 
 Mar 18 2009 	 Pleasant hotel -- location benefit caveat 	 ' m going talk much hotel -- be perfectly pleasant . reader understand bit location . 's hotel 's big plus -- 's big minus . want full story stay . hotel literally block Ground Zero . visitor not realize 's Ground Zero construction . highway -- right outside hotel -- rebuild . building south east hotel demolish ( damage sustain 9/11 ) construct . literally midst construction zone . also two block lovely ( really lovely ) Battery Park City esplanade ( perhaps one nice walk New York City , amazing view Hudson RIver , New Jersey ( yes , nice view New Jersey ) , Ellis Island , Liberty State Park , Statue Liberty many ferry ply river ) , need cross West Street get . West Street major thoroughfare rebuild . cross hotel man peak hour traffic police construction worker , still rather dangerous intersection ( come someone navigate many time stroller ) . traffic pattern change almost daily , pedestrian bridge , south hotel close repair March ( not expect reopen least May ) . way get Battery Park City via bridge Ground Zero ( elevator ) . be bit way , reliable safe . that say , plenty positive thing location . quick walk three major subway line Rector Street ( 1 , R / W , 4/5 ) . safely navigate West Street , Battery Park City spectacularly beautiful ( great , great place go evening stroll ) . Wall Street short walk . City Hall , Brooklyn Bridge , Woolworth Building , Staten Island Ferry , ton lovely park . hotel quite lovely , too . just keep mind pro con location . 
 Mar 11 2009 	 Awesome hotel Service away RAT RACE ! : - ) 	 spend 3 night quick getaway trip NYC Texas , celebration wife Bday Marriage Anniversary . awesome curb service , check service , bell boy service , corner room 35th floor , overlook ellis island way cool ! ..... room immaculate awesomely decorate ! ... bed comfy room roomy NYC standard ( ever stay Roger Williams ? ? Marriott Eastside ? ? ) ... room really pretty good size , probably big Marriott Marquis , . Hotel Lobby tastefully decorate starbuck teh ' backside ' hotel hte bar area restaurant great ! ... good service surprisingly also good food serve , limited menu , food good late night eat ..... thing must aware , big issue we , hotel bit way comparison time square central park area . say , NYC many time , watne bit away enjoy ' quietness ' . room obviously recently renovate good layout room NYC , maid service efficient ( remember tip service , workhorse hotel , leave $ 2 $ 3 tip service ) even though people next door we , never hear anything , even murmur voice , room appear pretty well padded . btw : room ' ihome ' clock / radio , ipod device , connect , real nice surprise listen music get ready go , etc . the close subway 1,2,3 , train @ rector st . , subway century 21 location write ' closed ' , beware ! rector st . 1.5 block away , somewhat limited eatery area comparison westside / eastside / time sqr . area , around hotel decent worthy consideration . 2 block away WTC area 18 minute walk seaport area , brooklyn bridge . use subway 's use L train jump teh side manhattan catch 4,5,6 train need , rector street location bad starting point could , something consider . , appear pende construction something affect , maybe security ? ... know , concrete barrier front hotel time , direct drop front hotel , little akward drop off / pick , etc . forewarn . we fly JFK , via Jetblue , awesome new terminal ! JFK airlines , nice see new terminal ! .. default $ 45 taxi ride manhattan , u take taxi , towncar service way ( average cost $ 60 towncar service , plus gratuity , etc . ) .. use personal driver manhattan ( website ) use dial7 drive JFK complaint part . different service though , Dial 7 drive operate car taxi , impersonal .... time get us destination w/o issue , personal attention first driver ( , word mouth driver personal , slow driving , professional ) . MARRIOTT STAFF HOTEL leave we great memory definitely feel represent MARRIOTT suppose , would go back heartbeat , recommend highly ! 
 Feb 23 2009 	 Excellent experience Marriott Downtown 	 spend weekend family ( wife 2 kid ) quick getaway NYC . say whole experience moment arrive leave great . hotel easy get check - in flawless . not mind location Financial District actually consider plus escape calm location deal mobs people Midtown / Times Square elsewhere . unfamiliar NYC downtown financial district , busy week , really clear weekend ( lead great hotel deal leisure traveler . ) subway uptown 2 minute walk hotel major midtown sight 10 - 15 minute . room spotless bed comfortable . also great view 25th floor . negative parking cost $ 55 per night standard city 's nothing . service stand every employee interact friendly , accomodate concerned quality stay . will definitely back . 
 Feb 19 2009 	 Great Hotel ... will back ! 	 stay Marriott Downtown great . room clean . staff friendly . view room great . room 38th floor spectacular view . little money , would recommend breakfast package . breakfast buffet Roy 's Restaurant locate inside hotel great . hotel also conveniently locate near Greenwich St / Rector St. subway ... block away . also short 10 minute walk Battery Park catch ferry Statute Liberty Ellis Island . next stay NYC definitely Marriott Downtown . 
 Feb 4 2009 	 convenient friendly hotel 	 great hotel business pleasure . whilst locate downtown financial district easy good subway access be tourist want see rest Manhattan , business Wall St short walk away . room refurbish since first visit year half ago . be much improved result , clean well appoint . excellent flat screen tv , host medium connection wall hook laptop want . nice touch bedside clock radio iPod dock . restaurant adequate somewhat overprice , especially breakfast . however Starbucks locate building easily get quick coffee something eat too . if check , ask high level room bay view - especially 's 1st time NYC . 
 Jan 22 2009 	 average everything 	 small room . old plumbing . stay 3 different hotel trip give jammed occupancy trip . bad 3 hotel . 
 Jan 9 2009 	 1st Time NYC Visit ! good Guess 	 1st time visit NYC choose well hotel ! family four two teenager look typical touristy stuff interested right middle thing . hotel fit we perfectly . easy get subway , beautiful view river & amp ; Status Liberty quiet ! room clean decorate nicely , bed & amp ; pillow excellent large bathroom great , refreshing shower . staff helpful move we check room ( floor 17 31 ) Harbor View let we greet Lady Liberty every morning & amp ; evening ! love ! 
 Jan 6 2009 	 great hotel great rate 	 ' ve New York three time , far good hotel experience . excellent sized room clean well maintain include flat screen tv , fridge spotless bathroom great shower . pay £ 700 five night New Year use well know website think good deal . great location , round corner subway take point north . also really near Battery Park Statue Liberty Ellis Island . location quiet evening great not want centre action . the hotel bar really friendly , service great . good value meal ( £ 15 steak ) serve wide range beer ale . NY Cheesecake die ! niggle ? really minor . tea / coffee machine UHT milk carton . fridge stock . bit wait lift ... allow five minute get - be instal new system right speed make efficient . concierge friendly , offer number book ticket nick game , rather try . ' m really picky not detract overall experience . also , not use Roy 's restaurant breakfast room - pay £ 20 per person 's worth . instead , nip round corner George 's place opposite . get decent breakfast half price . summary , great hotel great location would recommend anyone . 
 Jan 2 2009 	 wonderful hotel 	 stay Marriott 6 night Dec 23rd first time New York . the cab ride JFK bit hair raise say least ! anyway upon arrival hotel greet nice guy behind desk note request Statue Liberty view give . the room lovely , spotless comfortable . we find hotel spotless throughout welcoming . the concierge guy bit misery rest staff pleasant . find 2 restaurant bit pricey , $ 5 small glass orange juice breakfast use Starbucks that . the complaint would elevator . on last day wait 20 min seem one three work . when finally squeeze one luggage stop every single floor 31st down . all take almost 30 min get down . we would go back Marriott would recommend not mind pay little . 
 Dec 4 2008 	 Nice Hotel ; Friendly Staff 	 ' nice clean hotel . staff kind , helpful accommodating . since hotel locate downtown financial district , ' close touristy site . however , subway three four block away . , trip Time Square /Uptown short trip . Ground Zero , Battery Park Staten Island Ferry within walk distance hotel . elevator slow , deal breaker . lot construction outside . overall , good experience . ' definitely stay . really like room awesome view river . 
 Nov 22 2008 	 wonderful hospitality 	 fabulous , look we well . order stretch limo collect us airport whole holiday disappoint . exceptionally clean comfortable . . take heed problem lift hardly bother we . 
 Nov 10 2008 	 Decent Marriott Financial District 	 Marriott Downtown decent hotel Financial District , step away ground zero . stay business convenient meeting ; be near many touristy site be viste NYC . Room include : hair dryer , iron , coffee maker , flat - screen tv , expensive high - speed internet , in - room safe , bath amenity shampoo , lotion , conditioner , etc . pro : * spacious clean * comfortable bedcon : * noisy hallway * elevator currently repair cause delay wait * in - room safe drawer , make difficult heavy open . 
 Nov 5 2008 	 Nice Hotel / Boring Location 	 stay Saturday night November , 2008 . bid $ 250.00 Priceline . location : accross street & quot ; Ground Zero . & quot ; observe construction outside room 's window . financial district area dead weekend hour . subway stop three - ish block away . appearance : fairly new , probably renovation 9/11 . everything well standard look , definitely & quot ; luxurious & quot ; .recommendation : stay , weigh cost time money travel activity center ( e.g. , 42nd Street ) . 
 Nov 4 2008 	 clean great service room 	 friendly quick service -- - let check early 9:30am , even though say 3 pm . small fridge tv cabinet . room bed comfortable clean -- large LCD tv well fantastic shower head . 
 Oct 31 2008 	 great room great view little way 	 stay hotel husband 's business trip . clean , warm , nice hotel . warmth important since snow entire trip ! staff friendly complaint room hotel . one thing would keep stay location . be really close anything see NYC . 's location business . overall though , great place stay . 
