awkward 	 great place . August check move room 's hard - wire internet ( kind -- wireless ! ) not work . additionally air conditioning never get quite cool enough , shower / tub short , awkward nozzle not adjustable force stand drain , elevator small slow , business center tiny closet basement . though ask stay elsewhere time , be corporate room block . e - mail time hotel manager assistant manager various question . nice accommodating , staff ' ve encounter . staff wonderful - hotel need major makeover . speak , gym ( LA Fitness next door ) close renovation be buss guest another one block away . unfortunate timing . this time arrive excited get room 701 , top floor . room indicator , not room & quot ; -01 & quot ; . room awkwardly opposite elevator . door open right elevator lobby , without kind baffle foyer , people elevator , wait landing , look right room . noise ! talk / yell / whisper guest elevator notification ( & quot ; go ! & quot ; ) keep awake night . be move another room today ( additional 40 quid night ! ) hopefully well . 
 average hotel - 5 star 	 hotel situate great location - convenient Covent Garden theatre district . bed comfortable . staff friendly helpful however five star hotel . room average despite & quot ; deluxe & quot ; . look need decoration - attempt hide fact fancy light hang bed . bathroom spacious tatty - heating - supposedly hot towel rail freezing , shower lukewarm draft window . breakfast somehow manage lose hot breakfast order leave we sit 20 minute realise lose . wake drill hammer early final morning somewhere hotel - one bother warn we . check , staff never bother ask stay - seem interested get money . there plenty hotel area would advise people stay elsewhere - definitely five star hotel worth money . 
 Waldorf 	 book one night famous Waldorf Hilton Aldwych lastminute.com . know Waldorf ? rich , famous people use stay ; excellent positon near theatre museum poise edge City ; boast crown jewel ballroom , Palm Court . sound good . , fool history . Waldorf transform Hilton boring , mid range business hotel . lose every shred famous charm . , completely devoid character . still , five star rating belie poor quality service offer . I carry obviously heavy suitcase long flight stair reception , staff watch . Thirsty arrive room , invite spend GBP4 priviledge drinking bottle mineral water . room ostensibly double . two set prettily wrap bathrobe ( GBP40 buy ) lie conveniently bed . however , bed push wall like medieval box bed ; possible access second guest . desk lamp , wrong side desk read bed , work ; follow morning housekeeper confirm bulb go . even low setting , heating ventilation fiercely direct head height uncomfortable stand middle room . the tv remote menu facility , flick aimlessly around find news station want . bathroom tile floor ceiling clammy ; heating towel rail , remain cold throughout stay . bad , despite offer free wireless connection bedside literature , tell front desk way connect internet five star hotel purchase GBP15 24 - hour voucher would permit use hard wire cable desk drawer . Breakfast serve Palm Court , beautiful green palm remember film set remove . room large , cold decorate stiff , brown dry grass . food acceptable , stand middle room , , twice , attract attention staff get coffee . no Christmas decoration , warmth . luxury ? forget . advice : stay somewhere else . shame , Hilton , turn unique elegant hotel average , brown box . Mrs . Rehoboth 
 bitterly disappoint 	 book room celebrate anniversary surprise half disappointing experience ' ve long time . on check - in ( quite late , arrive around 23.15 ) wait receptionist get phone alone . get room key pretty much without one word ask breakfast ... welcome ... room disappointing - small clean 5 star standard . find tv work , call reception ( wait couple minute someone pick ) tell someone , take 15 - 20 minute . check say tv could fix would move leave . needless say one call we , call reception ( be talk well midnight stage ) tell would need contact engineer morning . say be stay night , apologise inconvenience offer we complementary breakfast . by stage really upset romantic mood completely vanish , want make fuss late work next day . oh , bed terrible , feel like spring going give way second . breakfast ask menu rather present . full English , one vegetarian oily tasteless . finish orange juice , never get refill . ask toast ... could believe 5 star hotel actually . so , awful experience . certain expectation , give name rating previous Hilton experience , would well stay home ! half say al least will definitely remember anniversary . unfortunately , memorie nothing like mind book . 
 Oct 31 2009 	 avoid noisy room ! 	 second visit , love hotel 's location friendly , attentive staff . first room street side noisy , impossible sleep , lovely girl exec lounge sort quickly get room face ' courtyard ' . absolutely horrendous view quiet ! time notice canape exec lounge good last time , really reduce time serve alcohol , cutback guess . exec lounge staff nice , not leave tip will not bother , one young man particular . 
 Oct 26 2009 	 lovely guest room ; attentive courteous hotel staff make stay great 	 stay hotel many time year . find staff great room nice . extra touch welcome back return visitor upgrade room enhance stay . staff go extra step make guest feel pampered . location hotel perfect West end theater , short walk across Waterloo Bridge National Theatre Old Vic . return . 
 Oct 20 2009 	 staff make amazing hotel 	 stay hotel parter weekend , book Hilton Honors member always get good service brand . Waldorf however expectation . expect something like Waldorf Astoria New York . room modern like open bathroom . also noisy room , usually complaint not want waste hour solve . however aproache nice lady lift enquire stay . mention room bit noisy . straight away offer change room . also explain us room open bathroom show we another three room . offer help pack ( Frank concierge kind help we move bag ) settle new comfortbale room private bathroom within minute . return shopping , find nice fruit basket card Katarina , resolve we efficiently . overall Waldorf good Hilton hotel excellent service friendly employee . location hotel fantastic almost theatre within 10 minute walking distance , oxford street road 10 - 15 min walking . would recomment hotel friend . 
 Oct 20 2009 	 Comfortable much 	 visit london see oliver beyond expectation , shame hilton waldorf . hotel nicely decorate , expect grade hotel price , bedroom nice , clean , afraid say service slow sometimes non existant . sit drink take 20 min notice , breakfast que , yep that s right come breakfast find que 10 people enough table prepare . feel like back school . food fine , really think money could find well . stay manchester half price early service much well hotel . sorry hilton look elsewhere next time . 
 Oct 20 2009 	 Wonderful Waldorf hit spot ! 	 one favourite worldwide hotel , regular business traveller always choose Waldorf London . staff super even remember name walk door . specific room request consistently meet . executive lounge great , service huge smile . eat dinner restaurant food wait staff fantastic . experience start finish great establishment always great urge go visit . thank Waldorf ! 
 Oct 20 2009 	 unexplainable room layout expensive . 	 cost £ 355 per night , generously pay generous business host , represent good value . hotel excellent location , Aldwych , slightly tired looking contain completely impractical room layout . also unable check 3:30pm . 
 Oct 16 2009 	 first time London 	 get air condition work , move we room low floor night , say room would ready next morning . . say 3 afternoon saw go day . return , still not room ready . say minute later ready . like closet . small room ever see . luggage would not even fit . call . make long story short live luggage whole trip . say hotel locate middle everything . easy get around . would stay . 
 Oct 10 2009 	 great central London choice 	 travel London last Easter April , group 4 teacher accompany 10 teenager first time abroad . hotel great value money fantastic location next popular theater Covent Garden . easy , walkable access good area , nice renovated room helpful staff . first night window get stick even hough fix within half hour , get upgrade although demand one make fuss . breakfast hall really impressive wide range choice . stay Waldorf lin April , however feel oblige write review even half year delay , know London hotel disaster really expensive . definitely recommend everyone . 
 oct 9 2009 	 Five Star Hotel 	 use Hilton Honors award . large room bathroom . executive lounge probably good ' ve see . exceptional attentive staff ball management . Location simply can not beat . walk distance Covent Gardens , Parliament , Trafalgar Square , St. Paul etc . will not stay anywhere else future . 
 oct 8 2009 	 FABULOUS ! ! ! ! ! ! 	 second stay Waldorf Hilton London . everything perfect ! ! room outstanding . great bathroom , comfortable bed . guest hotel 2 year ago want husband experience great Hilton . stay Executive Floor . feel little extra cost upgrade Hilton always expense . we welcome Flavia Mazzarini Executive Guest Relations manager fabulous staff Kirstin Dirk . invite reception meet general manager Mr Peter Beckwith . share comment regard outstanding staff hotel . stay umber Hilton 's throughtout year . property excellent highly recommend ! ! ! 
 Oct 7 2009 	 Best trip ever ! ! ! 	 upon enter hotel tell 's 5 star service .. grab bag right away ran could check .. check go room nice quiet bag already wait .. heat towel rack bathroom plasma screen tv ... safe not work call desk quick get inconvenience give we free breakfast whole stay ( 1 week ) .. room service top notch turn service ' m use like chocolate .. feel like hotel staff care stay would anything make enjoyable feel like not happy . call cab front desk sit wait get stair ... make trip London much well a+++ 
 oct 3 2009 	 nice service great location 	 stay hotel 6 night award stay September . diamond Hilton HHonors member , upgrade executive room access executive lounge . hotel locate great location Aldwych close Strand London School Economics . room 801 . elevator go floor 7 , take step 8th . room spacious . king bed nice sit area spacious bathroom . room look like executive room website . received welcome fruit plate note manager large bottle water . room 2 set bathrobe slipper . plenty tea / coffee / hot chocolate packet stuff . use everyday replace everyday . Maid service consistently good also receive turndown service daily without ask . room disturb maid service switch . executive lounge spacious nice snack throughout day . staff nice everyone seem know name . bed comfortable . tv variety channel include US Fox news . hotel walk distance almost everything . sort restaurant fast food upscale dining . hotel 4 star rather 5 . say , although modern touch , furniture old see age bathroom . Hotel open around 1906 historic charm . amenity room 5 star level . mismatch Neutrogena US brand product . Website state upgrade luxury toiletry , . take step enter hotel handicap accessible ramp visible site . inside , handicap lift take lobby level . stroller use frequently , although staff around , offer help carry stroller step . concierge helpful well want info activity want order Dominos pizza delivery kid . beautiful pool see hotel website belong LA Fitness club next door . pool indeed beautiful person seem website . look old . I would definitely recommend hotel everyone especially get good rate . would return hotel without hesitation good price ( less $ 200 ) . , reward stay . price website day approximately $ 546 / night tax executive king . 
 Sep 27 2009 	 5 star * * * loud room * * * 	 stay twice , time executive room , location great . however old door room allow every noise project room . addition , upon arrival want rest purposely activate disturb awaken twice afternoon staff . if want Hilton stay Hilot Park Lane Canary Wharf . 
 Sep 25 2009 	 avoid room ( upgrade Comtemporary ) 	 stay Waldorf Hilton London 3 night commence August 27th 2009 . 38th wedding anniversary recently join Hilton Honours Scheme view use chain upcoming 3 month tour Thailand , Australia New Zealand February 2010 . upon arrival ask want room Shower Bath . choose shower option . tired travel , wife recently hospital want relax room . however room , 201 , whilst good sized queen bed newly refurbish open plan bathroom . horror however direct eyeline bed Frosted Glass Toilet Cubicle . whilst frosted could still see . even 38years marriage thing keep private . request another room politely tell none available . duly complete customer comment report 2 week later receive email state stay would make sure executive room upgrade . will not take offer . why pay inadequate accommodation first place . the location good , staff friendly stay much well 5 star hotel worldwide . 
 Sep 23 2009 	 thank mr hilton 	 small room , strangely decorate window open . unfortunately , take 4 hour 5 phone call sign waiver get functional . yes sign waiver open window ! location good theatre covent garden shopping . make sure duck get bed large chandelier look ikea hang low . bathroom nothing write home . service disorganise slow ( see ) . Breakfast include fine finally arrive . husband leave omelette order get meeting .. lot staff hang really anything . thank . ' m much happy Crowne Plaza St James 
 Sep 22 2009 	 great location decent size room 	 wife stay Waldorf week ago really enjoy . room modern , may get London feel look , however location hotel give access everything want see . hotel five minute walk Covent Gardens great shopping place eat . hotel also right around corner theatre area able walk dinner , show easily . fact walk pretty much anywhere want go Waldoft , Parliament 15 minute walk river , Buckingham Palace 20 minute , Trafalgar Square 10 , Tube stop within minute look spend day Windsor Castle cross bridge head Waterloo station train 15 - 20 minute . level Hilton Honors give access executive lounge save lot money breakfast , snack , afternoon tea liquour . overall enjoy stay Waldorf . 
 Sep 21 2009 	 nice staff ... disappointing experience 	 staff helpful go way make good experience . Smiles staff go long way ! say , contrary review find concierge desk quite good one occasion ask twice get bring something room . poorly clean cup room spotless since first complaint . agree comment Exec lounge . sure would extend though . can not believe gym not cross trainer ! however , bad experience room executive floor . broadband almost 1 month ! disappointed give room rate include internet access compensation offer . wireless internet available room well ! .note like traditional room , hotel plenty . not , might want try Hilton Canary Wharf . still hotel moment might move Grosvenor Marriott . 
 Sep 10 2009 	 hot water three day ! 	 hot water three day , expect much well Waldorf Hilton London , hot water shower three day acceptable afive star Hotel pay sort money . make complaint several membersof staff nobody deal problem seem really care , even letterreceive attention . we write Hotel stay request quiet room arrivalfound put we opposite lift , hardly anything quiet keep we awakeall night people coming go . the service Breakfast dismal , plate clear away othertable cause fly surround we finally get tableand go look waiter clean mess . food replacedquickly buffet , service - well none ! reception area let , offer help totally keepingwith style Dining Room . slow check service homelessperson beg outside Hotel . sadly Hotel disappointmentto start Holiday . Room clean 3 pm returnedafter sightseeing wait lobby finally find someoneto make room up . could recommend 5 star shape form 
 Sep 7 2009 	 5 * great value money get deal 	 would agree other hotel 5 * & amp ; certainly worth £ 280 per night however get good deal 2 - for-1 room £ 140 well worth money . plus : hotel great location , clean , modern & amp ; reception staff great . big comfy bed & amp ; good aircon . the negatives:1 . breakfast - old horrible Hilton breakfast buffet suit 5 * venue2 . Hilton 's usual standard furnishing pretty cheap & amp ; result place fall bits.3 . 3 * service offer aa suppose 5 * hotel . refinement service . award 5 * never know . good value we would return pay high price - ! 
 Sep 7 2009 	 certainly five star ! ! ! 	 moment arrive hotel could sense waldorf five star hotel ! walk past door man cart discomfort rather heavy bag stair could think ' thank help ! ' , reception greate rather welcome pleasant receptionist check quickly efficiently . however , , one take bag stair without help , moreover navigate many corridor ( look ) find room . unfortunatly experience do not get well , room small , date next fire escape . luckily do not spend much time hotel , think would go mad ! want hotel close theatre , research sure will find extremely nice five star hotel bit road , far well friend describe waldorf nursing home ! 
 Sep 3 2009 	 lovely room bit disappointed reception not feel 5 * 	 arrive hotel long day greet dorman bad day perhaps arrive foot taxi . expect grand lobby nice seating area disappoint . like small hotel lot less money . suppose Waldorf basic Hilton Hotel . bit disappointing . this bit treat stay lot nice hotel London . frequent travellor expect bit class not . room however lovely cleanliness good bedside light work neither redio . staff helpful location great anyone visit show St Pauls go clean public toilet ever pleasure visit . 
 Sep 2 2009 	 great location comfortable stay 	 live London 4 year live South Africa . always stay Waldorf go back London shopping fun . ! find hotel 's normal standard , really 5 star . big city hotel , well stay well big city hotel . bed comfy deluxe room 4th floor quite quite small pay for . no complaint , great location shopping sight see little extra touch would alot improve overall experience inch 5 star . example : - night time turn service - room service staff first day job could open wine order - surely train & quot ; release & quot ; serve guest ? could not even get ice bucket right third request - bar dead without atmosphere - go nearby hotel cocktail ambience - champagne bar daytime & quot ; high tea & quot ; room - dull ! overall , afford hotel , worth largely due location , location , location . not spend much time room love accessability thing want 3 night stay London 
 Aug 31 2009 	 great location trendy small room 	 Hotel nice lot offer . room trendy comfortable , tad small . hotel bar lack atmosphere dining experience nothing ordinary . hotel somewhat expensive . 
 Aug 30 2009 	 5 star hotel 	 hotel good , probably 5 star many . room ( tell reception guy & quot ; nice one & quot ; ) small , disappointing thing could use gym ( , furthermore , manage hotel ) close ( weekend ) 17.30 ! ! breakfast good fresh juice ( seriuos 5 star hotel ) have . for rest ok , feel luxury place , nice clean hotel 
 Aug 28 2009 	 wery nice posh hotel great location - great treat . 	 one night Waldorf hotel 30th birthday . receptionist nice quick walk room 5 min . twin room first floor sadly look back building ( build cover scaffolding ) upon arrival room unfortunately get room staff still clear room first impression great 2 people room look we think ...... ? ? ? ? however leave asap .... room nice well decorate love London scene bed light light . sheet nice white smelling fresh . find tv difficult use lucky not watch .... : - ) bathroom large bath separate rain shower , heat towel rack sink .... room huge 4 m sash window .... room not big fine we . regard staff - friendly thing call housekeeping take 1h bring want - not ask - end not bring ....... swimming pool ( Hilton one use stay ) nice load flaky damp wall .... change room old date everyone nice nice swim heated pool + relax steam room . overall love make birthday special could walk anywhere hotel ... would def stay . 
 Aug 23 2009 	 Fantastic ! 	 wife spend two week England , stay different hotel first week , two day stint Paris change pace , finish vacation stay Waldorf Hilton . fantastic hotel recommend without hesitation . the room ( executive room 4th floor ) nice . wonderfully comfortable bed , powerful relax shower , even heat towel rack ( nice touch ) . plenty room luggage clothe everything else . executive lounge access virtue room nice feature , delicious breakfast ( pretty good selection continental ) , good selection worldwide paper magazine , free internet access ( available bedroom fee ) , free drink snack ( delicious cookie decent selection wine ! ) throughout day . health club ( locate hotel , part ; guest hotel get free access ) well equip allow we get good workout stay ( keep triathlon training plan ) . afternoon tea champagne bar food service excellent well . the staff good hotel . concierge wonderful job try get we reservation short notice suggest alternative place plan pan ... glad happen , place steer we amazing ( Gaucho Grill , right Chauncey Lane ) ... highly recommend ! also helpful shipping stuff home avoid overweight luggage . : ) all - in - all , place great . room fantastic , executive lounge wonderful , staff great . highly recommend ! 
 Aug 21 2009 	 could great but … 	 really want like rate Waldorf Hilton highly , experience ' let recommend 100 % . visit London primarily business , leisure ( although , like sneak visit museum , take site , shop , eat , etc . ) . stay twice Waldorf executive room . choose location , gym , common Hilton perk : room spacious bed firm comfy , complimentary bottled water , business lounge unlimited beverage , internet , snack , + extensive buffet breakfast . however , time stay , change room : first time put first floor sort party ( likely bachelor party base hear ) room next we . night management come " check " , call , never anything noise continue party decide end around 3 am . ask put onto business " quiet " floor move 8th floor , nice quiet . second visit , request 8th floor , put 7th floor room ( also majority executive / business room ) , room window except portal wall ceiling window shade woken bird 5 am way shut sunlight . additionally , clean staff severely over - perfume / deodorize room ( may slight musty under - smell room - poor ventilation ? ) , well one move ( nice quiet ) despite repeat request , since open window hotel ( safety reason ) , someone unpleasant . circumstance day staff professional accommodating . tell bad luck experience symptomatic potentially systemic feature hotel : ( ) maybe room standard , hotel book 100 % percentage people going get bad room , ( b ) hotel old building may need infrastructure renovation ( ventilation , piping , etc ) , instead try cover perfume cosmetic renovation , ( c ) night staff cleaning staff may need training management , ( ) give location theatre district , likely big group people stay hotel " night " hence despite business feature , necessarily good hotel guarantee quiet good night ' sleep business trip . Waldorf many pluse many good experience Hilton property , may take another chance , hence recommend reservation . decide think plus outweigh negative inconsistency . 
 Aug 20 2009 	 5 star ? ? ? big disappointment ! 	 short time hotel wife & amp ; wonder could waldorf 5 star rating . pleasure stay quite 5 star past year particurarly Ireland Waldorf fall way imagine . firstly , check 2.30pm tell room ready absolutely problem check 3 pm . however receptionist inform we ' big ' room put aside we go away drink excited ' big ' room . room 7th floor & amp ; way big . small window rather dark room . 5 star standard . breakfast ok self service , staff non attentive stand door wait seat minute & amp ; food area litter stain & amp ; scrap . watch one member staff clear table brush breadcrumb onto floor fail replace table cloth next guest . 5 star ? ? ? hotel overall bland , nothing stand ' grand ' unique could recommene look 5 star luxury . 
 Aug 16 2009 	 lovely treat bit disappointing . 	 partner plan birthday treat , know love London . impressed idea stay Waldorf guest room indeed lovely - clean , comfortable beautiful . Jay ask put rise petal bed , arrange heart shape ( extra fee ) . also send complimentary birthday cake , lovely touch . however , staff tell Jay upgrade we due special occasion - look website , think still 1st room option ! breakfast slightly disappointing 5 * hotel , note review . spa , although own run hotel , disappointing - small , dirty disrepair . really use hotel since let hotel rating . , lovely treat . well position sight transport purpose . 
 Aug 14 2009 	 Excellent Location 	 staff polite service excellent . room reasonable size although bathroom bite small . also partition rest room frosted glass panel door lock ! ! bed also bite soft . location excellent planning see show . Aldwych right next door ! ! theatre round corner . room front bit noisy . thing like LA fitness leisure complex . pool surrounding poor condition ( break miss tile ) 2 lounger within whole pool area . hardly enough hotel size ! ! insist wear swimming hat . apart look daft uncomfortable would stop ever go leisure complex ! ! ! 
 Aug 10 2009 	 Good Exec lounge need revamp 	 good aspect hotel . Location Strand etc unbeatable find Exec bedroom comfortable ( whereas colleague mine room window / natural light ) . stay many Hiltons worldwide , Platinum Honors membership etc know offering find Exec Lounge disappointing - small totally pack people ( breakfast early evening ) food poor . Champagne bar restaurant good though evening snack / dinner respectively surprisingly good value , relatively speak . service good . stay . 
 Aug 7 2009 	 outstanding service value central London 	 wife book room 3 night come away hugely impressed high level service consideration show we . first night 7th floor noise police siren early hour result largely sleepless night - fault hotel - politely request quieter location next morning . whilst away , luggage collect original room transfer upgrade room first floor peace tranquility restore . suggestion add charge whole operation carry efficiency good nature . even wife 's pyjama inadvertently pack luggage , ( entirely fault ) search make find . trace housekeper 's department , wash iron deliver wrap new room , smile charge . breakfast three day excellent staff always poise helpful service . book fair price - £ 143 pn double , include breakfast , consider good deal come away greatly impressed . speak reasonably treat generously return experience . well do Waldorf Hilton , truly fine place stay . Michael McEvoy ( North Wales ) . : : 
 Aug 7 2009 	 Great location - somehow lack 	 first , let say hotel 100 year old - expect ? staff always helpful always meet need . executive room ( diamond upgrade ) , room fairly small . also kind strange drawer one small drawer end table bed . bathroom lay weird manner . get tangle show door bathroom door . say , location staff make whatever short coming hotel . could walk 3 tube station ; bus stop right outside hotel ; cab always available . walk normal good well . executive lounge also nice . other say frosted window kind strange . always decent selection breakfast - give we option eat dining room never . probably least give try . , bad stay decent room old hotel great location . 
 Aug 4 2009 	 great room 	 move dreadful night Strand Palace Hotel ; first room put small clean properly . immediately upgrade executive room great , nice size , slightly quirky decor really comfortable , let poor sound insulation allow significant amount street noise in . the executive lounge ok breakfast . overall good place stay ( executive room ) 
 Jul 31 2009 	 Faded inefficient glory 	 book deluxe room Waldorf birthday treat wife . clear , come UK £ 260 . expensive hotel room ever book UK USA . due Hilton Gold , little prompt check upgrade King size Exec Room , use Exec Lounge . sadly , lounge view rather claustrophobic . bedroom ... odd , inefficient . lot space , comfortable generously proportion bed . washing area sort part room , loo behind unlockable door , real space hang towel useful part area . triumph design common sense , really . also , toiletry provide ungenerous , impress hotel like this . if travel business , would furious . desk area cramp , desk incredibly small . stay bog - standard Hiltons minor city real work sized desk . , US $ 400 , small desk cluttered junk . laptop want work would unhappy . from leisure point view , several tv channel bad reception . day cable etc simply excuse . leisurely afternoon nap go theatre dinner . HORRIFIED room turn - down service , look , frankly , messy leave . , price reputation , simply unacceptable . throrough turn - down hotel half price . we dinner hotel restaurant , well breakfast next morning . without want sound racist , hard finding staff whose first language English , help contribute really inadequate service dinner ( one two pair dining ) , unremarkable service breakfast . if hotel expensive , facility well think , could ideal . price slovenly quality , go back . 
