great 	 travel world never stay hotel everyone sincerely nice , attentive , efficient , kind staff Hotel Chandler . room lovely comfortable people run hotel really know secret success make traveler feel comfortable cared . would never stay anywhere else positive experience . 
 first class hotel first class staff 	 wife , 2 friend stay Chandler 19/11/2009 23/11/2009 . time arrive time leave , staff friendly helpful , reception staff always hand help requirement , complete online check return flight . knowledgable New York , hand point we right direction helpful hint tip . hotel , quiet , sophisticiated feel , lack restaurant facility could see drawback , not stay New York eat hotel ! tidy little , welcoming , bar . location great turn leave walk hotel , 50 yard 5th Avenue , look right be stare Empire State . say be near perfect position explore midtown downtonw , place . room spacious plenty wardrobe space , nicely sized bathroom great walk shower . hot room , air conditioning hand , strike we odd warm November , weather whilst New York absolutely perfect , ' m sure whether Chandler take credit , want will let ! ! ! highly recommend will stay . 
 good location great room 	 eleventh visit New York first Chandler . stay many hotel city include big chain Novotel , Radisson well independent boutique . Chandler four star independent simply BEST hotel use New York . three minute walk Empire State Building Macy 's , close mid - town Manhattan pretty quiet location . room tenth floor immaculate really modern . bathroom new , contemporary spotless . bath big glass double shower cubicle . room not huge big enough plenty storage . good sized wall mount LCD tv good quality i - pod docking station . one breakfast free charge ok , usual thing - juice , cereal , bread , pastry etc . hotel provide free tea coffee make facility foyer day nice touch . we choose take breakfast morning deli around corner Park Avenue rather pay hotel price . find front desk staff really helpful , courteous polite . book request double room , non - smoking high floor exactly get upgrade without even ask pay . find hotel quiet , relax great condition throughout . genuinely feel good hotel use New York first choice ( inevitably ) return 2010 . HIGHLY RECOMMENDED.Dave Jacqui . 
 Oct 18 2009 	 Bad Location Poor Service not get breakfast 	 start check - in delay staff keep give different reason . first , previous guest not check , room not clean , engineering attend room mysterious reason . irritate part first tell check back hour . Sat lounge , check back hour tell & quot ; yet , come back hour two & quot ; . go lunch restaurant could find , 5 - 6 block away . bad walk except not arrive sensible shoe walk shoe hold hostage luggage room . come back two hour later tell & quot ; engineering call take care problem & quot ; another hour . Sat lounge worrying would not get room time quickly freshen change clothe order make dinner reservation get 8 pm theater show . finally get room 4:30pm . back downstairs 5:00pm . ask doorman get us cab tell we would take least half hour time day . walk corner hail cab couple minute . come back hotel , look forward well - earn martini dificult day travel , find bar close . despite fact hour post door . thought get bad start call night . the first day make mistake go & quot ; restaurant & quot ; ( serve breakfast ) breakfast . skimpy buffet set . bagel , two kind dry cereal , yogurt , fruit pastry . similar & quot ; free & quot ; buffet & quot ; Days Inn & quot ; . make mistake glancing menu see buffet $ 16 . ask could get something buffet , like scramble egg bacon . waiter said & quot ; sure & quot ; . know buffet price , prepared pay similar price egg bacon ask could pancake instead toast .. believe egg , bacon pancake come microwave possibly cook day sit somewhere , despite customer restaurant , food come room temperature . egg dry , small piece ( unlike scramble egg ' ve ever see ) , 3 narrow strip cold , dry bacon pancake like rubber . friend opt buffet , scan selection come back small cup yogurt muffin . friend finish yogurt mid - bite muffin waiter come take away plate silverware . leave nowhere set muffin heaven forbid want another cup yogurt . ( silverware buffet , table . ) bad news pay $ 25 dry egg , bacon , cold pancake . good news friend not charge $ 16 4 oz yogurt mini - muffin . night see people bar drink gather around door outside , feel bar open . sit bar half hour bartender appear . people bar young , seem bit overserve , not believe stay hotel . maybe let make drink ? next evening see someone behind bar couple people sit stool ( look like young , rowdy local ) , figure go something would go wrong ( like receive bad , expensive drink maybe miss last call ) . bar also tiny . dozen people would make crowd . the room fine . nicely decorate . maid service good . think main complaint : bad location . nowhere close get cup coffee , bottle water , quick bite eat drink . hotel 24 hour complimentary coffee tea service lobby area . coffee good enough . dying & quot ; starbuck - like & quot ; place get serious cup coffee.andThe poor service people . ask question desk nearby restaurant , bar open , first meet blank stare & quot ; not know & quot ; . almost feel like foreign country speak different language due lack response . restaurant almost comical snatch away plate quickly bring we check sign do picking egg . top , way door , question name room number ad waiter franticly check appear hotel listing ( snuck hotel eat horrible $ 25 breakfast ) . get prepare present room key , photo ID , fingerprint identification , waiter find name list fine . mention small hotel ? like check hundred name room . look like hotel may recently remodel open maybe will give benefit doubt majority staff inexperienced ? need room hurry get need nothing else , be okay place stay . otherwise , be horrible . 
 Oct 14 2009 	 wonderful boutique hotel great location 	 travel NYC Toronto twice year . first time Chandler Hotel . excellent place stay would recommend . walk much possible easy walk uptown theatre district , Fifth Ave shopping , south SoHo Canal St. Staff friendly attentive . computer library mean not bring laptop ( trip holiday ) 
 Oct 13 2009 	 wonderful Anniversary trip New York ! 	 husband book Hotel Chandler silver wedding Anniversary trip New York base review website disappoint . hotel lovely ; spotlessly clean , helpful staff , beautifully decorate room , luxurious linen toiletry - really feel pamper . queen deluxe room rear hotel dark due high building nearby , spoil visit - view New York sightseeing make ! location hotel great , close restaurant , bar , subway attraction Empire State building , Flatiron bulde course Macys ! although breakfast available hotel ( $ 18 ) , walk round corner ( 50 yard ) feastra deli breakfast could purchase fraction cost food excellent . we certainly return visit NYC would recommend friend family . 
 Oct 12 2009 	 great location great hotel 	 thoroughly enjoy weekend Chandler . hotel staff friendly helpful room immaculately clean comfortable . location place within walking distance Times Square Penn Station . extremely pleased service receive price pay .. 
 Oct 10 2009 	 NYC Stay 	 recently stay Hotel Chandler read review TripAdvisor . find well locate , middle Manhattan ( 2 block empire State Bld ) 3 block subway . service nice . room clean . bathroom small mold issue . 
 oct 9 2009 	 vary 	 's hard review hotel . turn late flight . tell room long available have downgrade . room absurd , bed big enough one , room stank smoke look nothing like room picture - like enter servant 's quarter ! compensate upgrade good room hotel genuinely incredible , gorgeous sheet , bathroom sit room area - love ! 
 Oct 7 2009 	 2nd time around : nice first time 	 2nd stay Hotel Chandler still nice first time . 's location great , receptionist door man helpful friendly . upon book ask room view street , get . 
 Sep 29 2009 	 wonderful hotel 	 go wife 4 friend 4 night stay hotel chandler say wonderful hotel . ok yes room bite small size comment weather small norm hotel new york first visit big apple . definitely go stay hotel also pass one ask , friend say thing . hotel 200 yard empire state building around corner . decor every room beautiful dinning room reception . shower nice mention . towel change every day . staff helpful friendly . 
 Sep 27 2009 	 great hotel new york city 	 book internet breakfast special reasonable price .... checkin get free upgrade junior suite .... room completely new renovated sleep sit area 2 tv flat screen , modern bathroom , comfortable bed untypically new york : quiet ! ! ! breakfast buffet available 7 12 am ... fruit , yogurt , muffin , bagle , toast , bacon , egg , orange juice , .... staff friendly helpful .... great location ( around corner empire state building ) close 3 different subway station ... come back sure ! 
 Sep 26 2009 	 Great Location brilliant price 	 love NY always stay mid - town area central . stay last week August 09 . clean staff helpful . bedroom nice size , suitable tourist spend day . downside outdate pc available downstairs guest . keep problem need staff call sort . say , respond right away . near lot tourist spot , could easily walk downtown location . pleased hotel , 
 Sep 22 2009 	 nice hotel friendly staff good location 	 Nice hotel friendly staff , room small good , comfortable bed , nice bathroom great shower , like Aveda product . Handy mid - town location . booked hotel website get reasonable , discount price ( 180 US $ kingsize room , breakfast ) . free wifi . free tea / coffee 24/7 . 
 Sep 17 2009 	 beautiful hotel great location fantastic service ! 	 sister recently make trip NYC stay Hotel Chandler 8 day , could happy experience . time check last day , staff beyond helpful , knowledgeable , courteous , professional . day night greet smile face entire staff , ready willing assist anything might need , open door hail taxi , look information subway system we suggest restaurant . room impeccable , fully clean supply replenish every single day bed turn evening . location amazing , everything subway attraction Times Square Empire State Building block away . would highly recommend hotel , would absolutely stay ! 
 Sep 10 2009 	 gem heart Manhattan 	 stay busy Labor Day weekend . despite hotel still give we quiet room ( request booking ) , absolutely traffic noise . agree reviewer ; superb central location Midtown Manhatttan , friendly helpful staff good quality , clean comfortable room . even turn cover bed evening , nice touch ( something not see year hotel ! ) thoroughly recommend ! ! ! Ian JasmineCambridge , UK 
 Sep 8 2009 	 Absolute Perfection ! '' 	 great place . staff friendly helpful . room comfortable , quiet wonderful ! book package include breakfast . way go avoid spend $ 16 per person breakfast , really would not worth . room back hotel ( third floor ) noise street . , great place NYC ! 
 Sep 5 2009 	 great value money 	 hotel fantastic ! service excellent , bed comfortable , quiet , locate low Midtown , Madison 5th , easily walk around Manhattan . 's great hotel explore one good city earth 
 Sep 4 2009 	 Camera STOLEN Hotel rom ! ! 	 photo camera , chord converter STOLEN hotel room due fact window could not lock - closed ... report missing hotel , tell wait & quot ; check & quot ; ask day case go .. not believe we tell unlockable window , window gave fall onto near table .. 2 day go missing & quot ; brain & quot ; say contact near Police Department , get adress find send we Police Department far away Hotel .. still await final outcome case ... recomende ... thank nothing .... : ( 
 Sep 2 2009 	 little gem right heart thing 	 fifth visit New York . ' ve stay good hotel , ' ve stay bad . definitely fall somewhere middle reasonable price . be small enough staff get know amenity big hotel . 24 hour coffee tea lobby great staff friendly . tuck away noise , within stone 's throw Empire State Building , DEFINITELY will stay next visit ( unless win lottery meantime ! ! ! ) Book confidence . 
 Aug 18 2009 	 's ok 	 not want spend much money hotel NYC not care view , room move , amenity , . bed comfortable , though 
 Aug 16 2009 	 great hotel great location 	 hotel great find . not expensive excellent location - right around corner Empire State ! staff courteous always spend time ensuring know exactly go ! able walk Times Square could take tube wherever need go . room decent enough size ( especially NY ) bit squeeze two case . bathroom really good size though . fresh tea coffee available downstairs little sit area / breakfast room . tv book , plus free internet access . overall excellent choice . perfect 6 night break . 
 Aug 16 2009 	 Abusive Staff 	 miscommunication night manger . good intention attempt suggest way could make well understand . rather accept say let go . individual continue argue point 10 minute . repeatly ask stop continue argue try make riduclous analogy make sense . travel often never experience unprofessional behavior staff member . prepare inclined battle 7am . the room fine bit small awoken garbage truck outside 4 , NY . native New Yorker , well area stay . try Lower East Side East Villiage will not take advantage tourist . 
 Aug 9 2009 	 Great Location quaint hotel 	 choose hotel reading review . accurate . room small well appoint clean . front staff friendly helpful . especially like list restaurant hotel give we guide we choice restaraunt . choose restaruant level good . central location easy get main attraction . 
 Aug 8 2009 	 Great Hotel 	 small room , well decorate . clean organize . bed confortable soft . Hair dryer build iron board nice touch . staff friendly help full . room price Hotel location great Mid Town . negative , need Cab accomadate 5 passenger go back airport . Front Desk seem make much effort handle request . seem agreement certain Cabs pickup . take care ourselfs . also , breakfast rate room . notice price door dining room 17 $ . eat 3 morning thing see put cereal , fruit , pastry . find check could order egg , pancake , waffle . waiter never mention diner present . mentone Front Desk shrug . also , tell waiterthat small fly inside fresh fruit container , laugh , shake keep work . small problem detail . would still stay return City . would recomend friend . make sure & quot ; order & quot ; egg pancake morning breakfast . 
 Aug 7 2009 	 great location away hustle bustle . 	 nice , clean hotel busy side street , close subway entrance bus stop . one train stop Grand Central Station , walk distance Empire State Building , close Penn Station . restaurant nearby , include good one directly behind hotel E. 30th - Ravagh Persian Grill , go around block front hotel E. 32nd Sushi . option abound , pizza , sub , Dunkin Doughnut , snack , etc . staff awesome , always friendly smile upbeat attitude . make feel special . negative , vend machine property , unless want buy snack / drink room ( not mention would cost ! ! ! ) . ice machine ; however , staff run bucket room time . Free Wi - Fi , free toothbrush / toothpaste hygiene type item . street front hotel nothing write home , safe feel . be back side hotel view significantly less desirable , good erase memory . room small ; however , bed comfortable , AC work well , flat screen tv wall certainly free space CRT day . two guest elevator work well . negative - free coffee lobby , weak ; however , hot water available nice assortment tea . Buffet breakfast include ( include will cough $ 16 ) one room , appear consist bagel , toast , pastry , cereal fresh fruit ( continental buffet ) . last day ( ate ) find pancake , french toast egg include ( ask ) . well , trust , well keep secret hotel , single guest dining area take advantage cook order item four morning eat . bottom line , like place would certainly come back price pay , one room queen bed ( $ 149 / night average ) , room two double , breakfast ( $ 179 / night average ) . 
 Aug 7 2009 	 excellent location good room value money 	 5 night June would happy stay . location convenient subway Empire State Building . room comfortable high standard ( little small side US ) like ipod dock walk - in shower . room incredibly quiet , downside complete lack view ( look onto well building , board window , could not see sky ) . free tea coffee lobby nice touch . staff front desk friendly helpful . breakfast bit over - price , get hot food will not offer , need ask ! well go time . 
 Aug 7 2009 	 surprise 's good ! ! 	 be little late posting review , want share endorsement Chandler crisp , comfortable convenient choice Manhattan . room exceptionally comfortable [ upgrade Jr Suite ] finish relatively new . staff helpful , over - eager , know mean . location make easy transition low Manhattan [ son live ] Upper East Side . would recommend Chandler good choice , would definitely stay . 
 Aug 4 2009 	 heart city easy get bus subway train 	 great location , however , room small . love shower center ceiling water come hard , great rinsing . husband care . preferred shower head come . bathroom room extremely small . House keep attentive need anything . front desk bell boy short sweet . 
 Aug 2 2009 	 Brilliant Location Friendly Staff 	 boyfriend recently stay Hotel Chandler trip ny . staff superb room excellent . regard location spot . close enough main attraction quiet street good night sleep never disturb . would highly regard hotel certainly stay ever lucky enough return Big Apple : ) 
 Jul 28 2009 	 Compact Classy 	 take age pick hotel New York celebrate silver wedding anniversary decide plump Chandler lot groundwork , book Queen Deluxe front hotel except first night due garbage man fairly quiet peacefull . first disappointed room lot small imagine seven night nice comfy bed , great shower , lcd tv nice decor go NY hardly spend anytime hotel anyway still nice come back decent room . hotel staff helpful nothing trouble get taxi give advice subway . couple drink hotel $ 3/£2 bottle beer $ 5/£3.50 vodka mixer 4 pm 10 pm , breakfast go small deli near hotel 33rd st get $ 12 two we , go hotel turn right left find within couple block . big plus hotel location , around corner empire state building many site would want see good walk distance taxis quite cheap want go afield . also lucky catch 4th july fireworks hudson river pretty amazing ( almost good Edinburgh New year ! ) would also recommend Broadway show Rock Ages , great music funny . 
 Jul 28 2009 	 wonderful hotel location strongly recommend Hotel Chandler 	 wife spend 4 night honeymoon hotel chandler may would recommend hotel anyone else look spend time NYC . staff professional , warm helpful . room rear hotel clean , beautifully furnish quiet . even manage use gym ( attempt burn cheesecake Margaritas ) find small perfectly form . speak adjacent bar good place start night , hit happy - hour . free tea , coffee web access lobby welcome . top tip : hide gem Sun Roof Bar La Quinta Inn , 17 w 32nd St ( Fifth Ave Broadway ) . be 2 min walk away good view Empire State .... plus free popcorn . 
 Jul 20 2009 	 absolutely nothing complain : perfect 	 stay Hotel Chandler week enjoy much . location midtown Manhattan perfect people citytrippe NY . two block metrostation , short cabdrive away point interest , nice restaurant walk ( around Grammercy park ) , ... could not well ! staff friendly , efficient correct . room ( Queen Deluxe ) spacious , tastefully furnished , perfectly clean , big flatscreen tv , airco , ipod - dockingstation nice bathroom . situate second floor back building , quiet night . also never hear noice room . would absolutely stay Chandler recommend everybody ! pay 109 euro per night via Expedia wich cheap compare price pay less hotel Boston , San Francisco , Paris , ... 
 Jul 11 2009 	 Lovely Place Relax 	 return two night Hotel Chandler say wonderful hotel . delux queen room , small , beautifully decorate spotlessly clean . mention reviews showr fantastic Aveda bath product can not beat . , course , location unbeatable term convenience Times Square , subway line restaurant . one minor quibble mention checking ( desk clerk make note ) mini - bar could colder . 
 Jul 10 2009 	 great location NYC 	 girlfriend spend 5 night hotel first trip NYC quite satisfied . other note , room small ( enough room walk around bed washroom ) , decor update , update , classy . a / C , include internet , large tv make stay comfortable well . hotel staff friendly helpful . location great - 's 2 block Empire State building , 6 block Penn Station / Madison Square Garden , 15 block Times Square / Broadway Theater district . definitely recommend anyone visit NYC . 
 Jul 7 2009 	 great location 	 need place city sleep , Hotel Chandler place . arrive way early expect offer 2 choice available room . staff friendly go call duty various question pertain city . one thing mention room vey tiny ; New York City ; need hang hotel room ... comfortable bed sleep bathroom spacious . definately stay . 
 Jul 2 2009 	 Pleasant stay great price 	 book reservation Quikbook month advance get good deal Deluxe Queen room ( $ 120 / night ) . hotel disappoint . public area room tastefully appoint , well maintain clean . staff friendly professional . minor complaint property -- would not want anyone take seriously give otherwise fine nature property . first , coffee maker room , coffee available gratis 24 hour lobby . minor inconvenience . second , ice machine bucket available guest use -- one need contact front desk ice deliver . annoying ( costly tip ) . third , electronically monitor honor bar room tacky unnecessary imo . lastly , Deluxe Queen room , definitely one small type ( less 200 sq ft , 225 - 250 sq ft ) , aware room type check - in try request large sized one matter . location hotel terrific : easy walking distance many great attraction neat Manhattan neighborhood ( Murray Hill lot great restaurant nearby ) . thank , Hotel Chandler , wonderful stay NYC terrific rate . 
 Jun 29 2009 	 simply brilliant 	 service , booking prior stay hotel , great personal - something rarely see nowadays . concierge fantastic room clean , well design wonderful Aveda goody . room 9th floor fab . city not expect amazing view frankly not matter . term room size , adequate , around size european room , think Americans use Marriots chain hotel may ' okay ' review post . we go back . 
 Jun 29 2009 	 hard fault 	 read numerous review NYC hotel pick one disappointed Chandler ; good price , clean room ipod docking station , flat screen tv , free wi - fi air con , big bathroom walk shower bathrobe , easy walk Empire State building , Times Square , Macys Grand Central station definitely stay recommend other . also Thai restaurant opposite hotel good cheap long day see sight . 
 Jun 25 2009 	 okay choice 	 choice hotel NYC , hard decide one , go review . agree location great , staff nice , bed comfy ; however , room REALLY small ( third floor - RECOMMENDED ) continually a / c problem . initially upgrade , find room next elevator , go back front desk ask quiet room . put we third floor ( ever hear NY street noise try sleep ? ) tiny , tiny room . , mean take get ? maybe , will try somewhere else next time . 
 Jun 24 2009 	 disappointed ! 	 book hotel review , disappointed . room small ! ! bed change every day , everywhere go hotel clean . stay 7 night walk round NYC day perfect place stay ! staff pleasant helpful . also location perfect , Empire State Building top street , Times Square less 10 minute walk ! 10/10turner family , Thatcham Berkshire . UK13 - 20 June 09 
 Jun 16 2009 	 Great Hotel 	 read review book hotel , say every good comment true . hotel great sense . location good , two block Empire State close metro station . Deluxe King Room , say room big enough wife . bed fantastic bathroom amazing , clean towel everyday strong shower . stay hotel 7 night nothing complaint . staff friendly helpful time . second time new york . first time Wellington , Chandler much well every sense . 
 Jun 16 2009 	 Charming Euro - style find Midtown great price ! 	 although stay Hotel Chandler one night , ' ve recommend friend alternative chain hotel experience . lovely ( albeit ) small room generously size bathroom . bathroom feature large tiled shower great water pressure , Aveda bath product , comfy robe reach ankle . bed linen clean fresh . Good Midtown location - easily able walk meeting 26th Lexington . hotel staff first rate - even print travel receipt need ' net . small problem mini - fridge not seem cold , visible mean adjustment , minor issue . look much forward stay Hotel Chander ! 
 Jun 11 2009 	 good thing come little package 	 recently stay hotel Chandler 5 day trip New York . hotel perfectly position mid town Manhattan . two minuted walk Empire State Building within 5 minute Macy 's . hotel excellent find staff extremely friendly helpful . room small well equip hairdryer , iron etc . hotel clean well present bar , offer reasonably price drink . look base New York would excellent choice . would not recommend breakfast , basic quiet expensive . plenty place breakfast close , really issue . would definately recommend hotel ! ! 
 Jun 10 2009 	 Perfect Hotel 	 review not lie . hotel prefect every way . room immaculate , comfortable bed , beautiful tiling bathroom . ' m picky person hotel meet expectation . the staff helpful bar next door & quot ; fight Recession & quot ; drink special great place relax beer two head evening . the location great subway nearby . walk distance Time Square , Central Park block away Empire State Building . room also fairly big New York standard . I would trouble recommend hotel anyone . 
 Jun 9 2009 	 agree recent review 	 month France , end stay Chandler . great rate find hotel terrific . extra like robe , nice shampoo , great shower , free wireless , sauna workout room etc . appreciate . staff ( ) helpful really pleasant . room small ( probably good rate ! ) do - able . hotel near Empire State building short walk Penn station metros . miss neighborhood feel upper west side usually feel hotel meet expectation . 
 Jun 8 2009 	 could not ask well place stay NYC ! ! 	 daughter graduate past weekend Madison Square Garden Veterinary school . family never NYC nervous expect . book Chandler see one friend graduate do , can not tell happy . drove easily park front hotel unload belonging give key large SUV valet park we .. cost= $ 50.00/24hrs d / t 's size . check easily enter room 8th floor 830 831 , perfect family member short hall two room door lock room door leave open wished say small child . husband comfortable queen size bed comfortable room amazing shower . clean can not emphasize enough .. nurse germ phobic ! daughter 25 son 17 stay adjoining room large 2 lg size full bed ... bed could sleep 2 adult comfortably . able use computer stay touch friend make plan graduation festivity . husband treat we dinner little nicely appoint bar hotel bartender could not nicer .. cuter say ! also go chat bartender Corona two .. gym small clean , run sturdy treadmill easily . one thing aware item room sale . not price list pick item see price underneath bellboy say would .. ask lift item would automatically charge ... say .... later one room price list find note item hold 20sec would charge ! water bottle charge bill , remove tell clerk not take anything . thought would one trip NYC , comfortable stay Hotel Chandler , back take sight : ) family travel lot one surprisingly enjoyable stay ! 
