overall 	 usually stay Monaco street , could not get room Saturday night . , book great deal Burnham . room cute , although really small ( NYC apartment , be say something ) . fine night , although would not suited we dog one day . , everything fine . service good , helpful accomodating . 
 Burnham kind hotel ; Chicago kind town . 	 delight stay Hotel Burnham . stay perfect check departure . Tracy Sara front desk , reggie door , Christine restaurant , go beyond make stay warm pleasant . dog Jack treat like royal pup , every effort make staff make stay good could . sleep like baby comfortable bed . room hotel spotlessly clean . restaurant food delicous not forget WINE TIME every evening lobby . perfect . can not wait get back new furniture place room . 
 Excellent stay historic landmark ! 	 stay Burnham 3 night September 2009 . hotel Priceline lucky Burnham . hotel great : incredible staff , central location , amazing building . Kimpton Group obviously great job restore historic landmark ! room small average , nicely decorate add boutique atmosphere . room top floor , overlook Chicago Theater , quite view . we dinner Atwood Café , lovely . Chicago 's major attraction within walking distance ( El , Chicago River , magnificent mile , ... ) . attraction , public transport even block away ( red blue line , course , El ) . blue line direct line O'Hare , order cab get airport . this hotel great experience . would love stay . 
 Aug 27 2009 	 priceles experience ! 	 must say stay Hotel Burnham really take whole experience Chicago another level . spend long weekend Chicago . architect , fact stay Reliance Building -- - brilliantly restore -- - dream come true . part american architectural history . one first skyscrapper world ! elevator lobby sight behold . stay 14th floor . room door original hardware . compact hotel , way space utilize fascinating efficient . even though right next elevator , not much noise . would hear & quot ; L & quot ; go , lovingly consider part experience center Chicago & quot ; Loop & quot ; . even little quirk room loose cabinet door bathroom door would not close entirely not bother we much . within walking distance many historical downtown building , two block away amazing Millenium Park Art Institute ( new Modern Wing ) . Hotel Burnham rate 3 - star hotel , although history , charm , character feel definitely priceless 5 - star experience . 
 Aug 17 2009 	 good review true ! 	 stay Burnham 8 night bf work across road GREAT place stay ... incredibly good price ! room nice , comfy bed , good view fairly small . bathroom not small cope . nice aveda bathroom product . top floor everyone absolutely lovely always greet we warmly matter time day ... really can not beat price ! really enjoy Atwood cafe ... alot people . it be pack ! location can not beat .... easy 2 block milennium park , nordstrom rack right next door state st macy 's 10 second away . plenty food nearby block eg gold coast hot dog , sugarbliss cupake wabash ( good cupcake ever ! ) oasis felafel sandwich ! could ask well shopping location Chicago easy walk ... walk mag mile quite time breeze . a teeeny problem , come across stay 8 night . would not give we 2 hour later checkout ( monday ! ) would really help bf stick important meeting not nice . annoying . the tv keep break tell happen alot new tv be come next year . cafe close 10 am weekend breakfast ... 10am ! one really annoy would like could enter side door instead exit ... annoying . another slight problem probably affect top level tour come look architecture ... man tour lady could yell ! not really big deal ... fight bit crowd get room .. price .. 's great deal def worth stay ! 
 Aug 13 2009 	 Best Location Chicago ! 	 love hotel - charming , well - keep locate right middle everything ! easy get Midway airport ( take orange line Washington walk block ... look like also easily accesible O'Hare ) , friend hardly use CTA pass ! room little small side - be stay hotel practice gymnastic , ? comfortable bed pillow , pleasantly surprise quiet considering overlook busy street . be right across street Macy 's , red line subway , block Millenium Grant Parks near lot theatre , restaurant attraction . take advantage breakfast deal ( $ 1 day ) good deal consider continental breakfast usually go $ 13 believe . look like restaurant generally pretty busy later day always get table right away breakfast ! 's also coffee morning wine reception evening , neither take advantage ( try cram sightseeing take priority ! ) . wish have remember & quot ; guppy love & quot ; program - get fish keep company ! 's pet friendly hotel - see poochs look like approve place . 
 Aug 7 2009 	 great location great service 	 2 night mid - week business . hotel historic charming ( real key room ! ) good restaurant provide prompt room service . Tho not travel pet , appreciate pet friendly ( not see , hear smell pet stay ) . location ideal , Macy 's , Old Navy , Nordstrom rack literally around corner , easy walk trendier shop Michigan Ave . two 3 block Millenium Park waterfront , well riverwalk , great morning walk loop State Street riverwalk , lake back park . construction noise nearby bad . negative ( 1 ) water leak ceiling near door room , someone come immediately address ( offer switch room not bother ) ( 2 ) bed linen musty ; find housekeeper laundry not dry properly . big annoyance time discover tired complain sleep top comforter , new sheet fine next day . would definitely stay . 
 Jul 28 2009 	 beautiful tiny jewel 	 drop dead gorgeous boutique hotel load thoughtful touch . service also impeccable . feel like pretty princess waking every morning . complimentary wine evening lovely well . know room small , however . not mind , small person use apartment - style living not share room anyone else . would good place business want get work do - desk tiny almost unusable . 
 Jul 27 2009 	 good location Friendly Staff Somewhat Overpriced 	 husband stay hotel several time past first experience . hotel locate downtown , within minimal walking distance subway stop , public Library , Millenium Plaza , Museum Art . first experience not positive . call verify crib would set room tell reservation two adult way could add child room . woman state room available policy put crib room , yet speak management decide raise room rate could accomodate we room . end spend 299.00 night fee taxis 3 night 209.00 night final night . needless say not go thinking would smooth visit fortunately staff encounter friendly professional . check actually allow go room early . room not huge large expect . building convert office building 's architechturally interesting . downside building- elevator slow night could hear lot traffic siren come outside window . forget rent car parking . first nowhere park downtown unless willing shell arm leg . 40.00 day park hotel . much reasonable utilize subway system taxicab thing like Shedd Museum Aquarium . restaurant downstairs frankly not worth price . far well place eat , within walk distance hotel . sometimes print coupon deal Kimpton website get continental breakfast 1.00 . consider 13.00 bowl fruit , piece bread glass juice coupon excellent deal . bartender friendly service quick 23.00 one glass Champagne small Bloody Mary- include tip . overall pleased hotel . crib nice- actual crib instead pack play . learn friend stay place road nice far less expensive believe next time might check . 's good hotel not think worth $ 300.00 ( taxis fee ) night . 
 Jul 23 2009 	 place stay Chicago 	 stay June 2008 , love every single thing , service , warm accommodate employee , location , price . lovely special every detail . ever get go back Chicago , stay . never like hotel well . 
 Jul 23 2009 	 great hotel great location -- Kimpton hotel Chicago special 	 ' ve stay Kimpton hotel Chicago never bad experience . beds linen SOOO comfortable , pet peeve , full size hairdryer , one clamp wall ! ton pillow , goldfish friend want one pet friendly travel one . mini - fridge room . room small luxurious . ' ve always find staff extremely friendly . like free wine early evening good coffee lobby . hotel fantastic location close everything . 
 Jul 22 2009 	 Atwood Burnham 	 hotel jewel , Atwood dining room exception . lovely high ceiling vintage detail , red settee table along window , interesting chandelier . settle window table settee , husband sit tall , delighted menu offering nice wine list . great service , delicious inventive food , window bustle State Street crowd . 
 Jul 20 2009 	 Charming 	 Everything Burnham charm lovely . yes , room not large grand excellent service / staff , location , Atwood Restaurant , fantastically comfortable bed , lovely decor , amazingly beautiful restoration make size room . first time visit , place perhaps small room ( queen ) , rather small bathroom , third floor . despite not - so - great room / floor , still impress enough book reservation return trip . second time visit , place somewhat large room ( King ) , view State Street . wow ! view & quot ; Chicago - style & quot ; window amazing . service fantastic -- person clean room leave hand - write welcome note . would definitely recommend hotel . 
 Jul 20 2009 	 Kimpton Hotels never dissappoint 	 husband fall love Kimpton Hotels year ago Washington DC . Hotel Burnham disappoint we . location perfect - one block Blue Line , across street Red Line . easy train ride O'Hare hotel . build gorgeous . view great . bed little slice heaven . Atwood Cafe excellent food , bar tender , Doug , wonderful . we look forward visit new Kimpton , Hotel Monaco , Baltimore , eagerly anticipate open Palomar Philadelphia fall . 
 Jul 14 2009 	 goldfish ! ! - food roomservice die 	 cute room , quietstaye king size , bed linen PERFECTeat atwood cafe therethe lobster ragoon die , mustard sauce , plum saucejust wow ! 
 Jul 1 2009 	 highly recommended . 	 beautiful hotel . 's always fun stay Kimpton amenity design , although room often small . Burnham beautifully update property convenient everything Loop short walk L. not expect Sheraton - sized room . expect well - execute urban hotel great , historic building . annoyance : $ 10 daily charge wifi . Grrrrr . 
 Jun 30 2009 	 perfect Chicago hotel experience 	 wife pleasure spending week Hotel Burnham . small boutique hotel create 1895 Reliance Building . probably fine hotel experience . situate middle Loop , quick access elevate train attraction like Grant Park Sears Tower . excellent staff attentive service . build magnificent , benefit meticulous top bottom restoration . original detail , recreation make missing . intricate iron grillwork original elevator , well original iron staircase floor . room actually fit office space original building . Atwood Café lobby first class deserve review . hotel provide complimentary wine taste day 5 6 pm . tiny bathroom , blow away rest hotel overlook ! 
 Jun 29 2009 	 Charming hotel 	 love hotel . charming . nicely decorate room historic building . friendly staff . also enjoy Attwood restaurant lunch . room rate also terrific . would definitely stay . 
 Jun 24 2009 	 well worth try . 	 definitely good service hotel Chicago far . tracy front desk gem - fix problem cause other - every employee concern stay - right guy change air filter . ( kid . ) room generally small well appoint . wine hour nice touch . location great theater , shopping , dining , Millenium Park , etc . easy access El train . historic building . 
 Jun 23 2009 	 striking architecture - good hotel 	 arrive hotel , exterior strikingly ornate beautiful . original architecture continue inside pretty filligree elevator mosaic tile believe original ? ? unique feel guestroom hallway frosted glass ' office ' door - private , though . guestroom standard hotel size comfortable . frequent Kimpton hotel hotel feel like Kimpton - cool decor design , good service , nice amenity interesting building . late dinner restaurant one night arrive back hotel busy day - service food quality could well , tired need quick salad glass wine . room comfortable - great desk . location also good . would stay . 
 Jun 2 2009 	 classy place stay heart Chicago 	 walk Hotel Burnham , immediately feel ease . staff terrific , notably include room service waiter make sure get exactly want dinner , even kitchen super busy . entire place decorate classic style . sure eat least dessert Atwood Cafe , be superb ! 
 May 14 2009 	 Delightful . 	 love place - great - but - not - snobby service , gorgeous , well - locate , spotless , charming . room fairly small , quite nicely appoint comfortable bed desk chair suitable human use ten minute without back spasm . plenty pillow towel blanket ( husband 's pet peeve ) nothing smell horrible floral detergent ( pet peeve ) . Meals Atwood Cafe pretty good , well . also really enjoy dog - friendliness place , several small dog visit . look forward next visit . 
 may 5 2009 	 go back ? 	 beautiful small hotel ! spend three night weekend . historical building lot architectural aspect . room small , adequate ; lovely bedding drapery . shower great ( husband rate hotel room ) . location could not well enjoy museum , shop , theater . service excellent ; everyone friendly helpful . even print boarding pass flying . restaurant expensive breakfast , selection good . get great room rate Travel Zoo , not mind splurge breakfast one morning . coffee maker room , free coffee lobby morning . definitely stay . 
 May 3 2009 	 Hotel Burnham fabulous .. 	 spend 5 night recently Hotel Burnham praise . * location - fabulous location Washington State Loop area . be near shopping ( Macy be directly across , Nordstroms beside - many nearby ) , theatre restaurant , park ( Millenium Park block away ) excellent transit connection ( bus rail ) virtually part Chicago . could not better . * staff - pleasant , helpful yet non - obtrusive overly fawn . like . * room - clean , large well furnish fantastic bed . bathroom small , functional well equip .. downside find universal shaver plug socket .. US style one . , really can not think something bad say Burnham . second stay Kimpton Hotel , second excellent stay . would hesitation recommend hotel anyone else . 
 may 3 2009 	 Visit 	 stay Burnham think take risk stay non big name hotel . instead treat room decorate great detail quality furniture . bed box like big hotel . nightly free wine service , morning free coffee service take place lobby next fireplace , comfort . restaurant hotel eclectic exciting menu , item near closing time prepare fresh . service personal , benefit small hotel . 
 Apr 23 2009 	 Weekend getaway big city spectacular . 	 wife stay Hotel Burnham weekend city getaway . enjoy able bring dog , staff go way make sure feel home . fan architecture enjoy beautiful , historic building . stay several Kimpton hotel continue frequent brand . 
 Apr 14 2009 	 Class Luxury 	 stay one night Chicago see show last weekend . stay Kimpton Hotels enjoy , look forward visit . begin great ... drive valet parking car one special package , signage clear pull valet . open window ask right spot , take minute get someone 's attention , even though two doorman another uniformed attendant stand three foot away ! park get , nobody offer help luggage , wait line least five minute freeze cold get ticket car . valet attendant definitely rude side . but thankfully , get well walk hotel . lobby tall beautiful art deco style . front desk attendant friendly quick getting check . bellman take bag lead upstairs , give orientation hotel along way get settle room . use actualy key , key card ! choose queen deluxe suite since room look small , glad spend extra money ! end room 1003 , State Street side hotel , right corner Washington . two bay window , one look right Washington Street Millenium Park lake ! live area comfortable love seat chair ottoman , coffee table , closet , end table , armoire tv , cd / tape player / stereo , honor bar . french door lead bedroom area small bedside table , desk & amp ; chair , tv , dresser . bathroom short hall bedroom small nice Aveda product . bed definitely one comfortable ever sleep hotel , selection pillow not even end crick neck sleep flat pillow ! shower head high , also backbend washing hair . window curtain heavy , except crack around edge , nice dark sleeping . could hear traffic noise drum sidewalk performer , well whoosh el , one block , not disturb . sign free Kimpton Touch program , also get free wi - fi . connection feel quick smooth . I order room service dinner , come Atwood Cafe downstairs . price typical hotel room service , food delicious , service fast ! tell 25 - 30 minute , arrive 15 minute . I feel safe walk block Oriental Theatre back night . check also quick easy another friendly desk clerk , car pull curb moment . also load bag car time , attendant seem much attentive night before . I definitely stay , would recommend anyone ! 
 Apr 9 2009 	 Ideal Location ! 	 husband stay Hotel Burnham long weekend & amp ; pleased ! location ideal - couple block Millenium Park , near shopping & amp ; great restaurant , locate mid way North Michigan Ave museum . the hotel staff quite friendly room beautiful , clean comfortable . request extra pillow fan - bring we quickly . doorman pleasure - always quick offer smile . though hotel fabulous overall , lot street noise . stay 3rd floor face Washington could hear everything happen outside . young man drum 5 gallon bucket ( nonstop ) across street noon 9 p.m. , could clearly hear subway El train night . be like hotel could control thing , could factor traveler hope spend time relax day . regardless - get great price priceline.com would go back Hotel Burnham heartbeat ! 
 Apr 6 2009 	 good hotel Chicago ! 	 lucky enough get hotel via priceline three time would pay whatever stay . reggie bellman ( name pet goldfish night ) complementary wine reception complimentary wine chocolate husband 's b - day deliver straight room upgrade gourgeous deluxe queen suite complete w / a pet goldfish stay ( , compliment husband 's b - day ) , hotel TOP NOTCH ! ! ! 
 Apr 2 2009 	 Beautiful Architectual Hotel 	 nice boutique hotel heart Loop . easy walk store , theatre , park many restaurant . room newly redo stylish . bed comfortable staff friendly . really enjoy stay except loud fan bathroom could not turn . call desk stay one night . would stay make sure regular & quot ; feature & quot ; . 
 Mar 26 2009 	 Cozy little hotel heart 	 love location . room nice staff exceedingly friendly . everything go like clockwork without hitch whole way . would definitely stay . right millenium park right need Chicago . also , affordable . loved . 
 Mar 23 2009 	 Excellent stay Architectural Landmark 	 wonderful stay Hotel Burnham Chicago ! hotel situtate perfect location block Art Institute ten minute walk Magnificent Mile . room small side would expect boutique hotel . hotel fill history periodically tour walk lobby talk landmark . Atwood Cafe nice place grab cocktail night . staff accomodate lack pretension . definitely come back next time Chicago ! 
 Mar 5 2009 	 friendly comfortable atmosphere 	 husband stay Burnham Hotel celebrate anniversary . staff find , nothing nice we ! keep congratulate we , recommend dine cafe . historical landmark , restaurant surprisingly modern . order dessert exactly want . end go back breakfast frittata amazing ! room small not matter furniture & quot ; homey & quot ; comfortable . take picture view Chicago Theater . downside construction area . make difficult sidewalk close . worry noisy quiet area night . well worth ! ! 
 Feb 21 2009 	 nice old hotel room service restaurant renovation 	 like look feel hotel . be old , personality . room clean also bit worn , old Zenith analogue tv ( nice new easy - to - use Sony clock radio ) next bed . bit dark , could benefit lamp next sofa reading purpose . service rather friendly although polished time . attention detail seem issue : check room , card gift address another guest check - out take awhile owe credit card mix - up . warning like use room service : none hotel renovation restaurant downstairs ( , however , complimentary Continental breakfast spread morning lobby , include fireplace ) . one thing really like hotel long list complimentary ' on request ' amenity room , include humidifier . would return place , price right staff right attitude . restaurant open , room modernization , imagine especially nice . 
 Feb 5 2009 	 great location ok service 	 good part hotel central Loop location . right across street fame Marshall Field 's department store ( Macy 's ) , block major theater , life city . we town weekend getaway . go see Wicked . hotel perfect location . staff friendly competent . morning go eat Atwood Cafe , wait almost 15 minute get coffee . not busy walk . leave disgust find greasy spoon street 1/3 price food 3 minute . the room incredible . king suite . 9th floor Northeast view . could see lake State St . cool . bed comfy . tv 1984 , though . could use upgrade there . all pleasant experience san Atwood . 
 Feb 1 2009 	 Noisy Tiny Wrapped Faux Velvet 	 stay Hotel Burnham two day meeting Chicago -- leave first night . be why . the room bath not small -- be tiny . fatty ! first room bathroom reminiscent airliner 's . front desk staff -- pleasant helpful -- show we room resulted room bit large around . offset , however , sound El run throughout night resume early morning . earplug not help . overabundance silly decorate not make room large . we leave next day -- , front desk staff polite friendly -- decamp Westin Michigan Ave . -- comfy bed train . oh , way get stick elevator -- albeit briefly . plus side -- friendly staff , wine hour , architecturally impressive building . down side -- can not sleep night feel like be preppe veal . you decide . 
 Dec 15 2008 	 GREAT weekend ... 	 hotel beautiful , architecture stunning ! mother come celebrate 60th 37th birthdays fun fill weekend theater ( ' Wicked ' spectacular ) endless shopping ! come Christmas time ( Dec. 12th-14th ) hotel beautifully decorate sparkle Christmas tree mother could not get thick gorgeous wreath spread hotel , lovely . view amazing , stay room 302 sit hour watch shopper rush back forth State Street ... much fun ! everyone work polite wonderful , especially Taka , Anthony Reggie . another gentleman accomodate we bump we room two bed help we sleep comfortably , unfortunately neglect get name , stay even well expect ! mother comment bed pillow ( way ... pillow & quot ; Library & quot ; cute ) soft not sleep good life , really make happy ! minor complaint may may make difference contemplating stay . towel soft - fact hard scratchy , level hotel extremely disappointing ( ' ve nice towel Comfort Inn ! ) . forgot cell phone car night use phone room call across street , charge $ 1 per local call RIDICULOUS not know hotel charge local call anymore ! let know even 4 star hotel Paris charge local call remove charge . upon return room late day happy see room clean straighten beautifully , leave dirty towel shower towel rod . think be go clean , way , weird . especially woman leave notecard first last name state need anything let know ( young year work service industry mean & quot ; be okay leave tip service & quot ; ) would fine accomplished job completely , not ask tip go finish job completely . needless say mother WONDERFUL time DEFINITELY back . year use Hotwire , guess become little spoiled stay 3 - 4 star hotel expect caliber other . feel fortunate able stay hotel great price thank company like ! 
 Dec 3 2008 	 great experience 	 spend 2 night early November ... could ask well location . staff front desk kind personal . brother wife upgrade suite celebrate anniversary . wine evening coffee / tea morning nice touch . also , wife leave shirt closet figure home week . sure enough , lose find call ship right we . staff throughout great . would definitely recommend hotel stay . 11th floor street noise issue whatsoever . 
 Nov 17 2008 	 wonderful staff 	 stay Hotel Burnham last weekend . staff extremely friendly professional . cozy . room small , tastefully decorate . location perfect . Loved 
 Nov 7 2008 	 Wish could stay long ! 	 spend four night Burnham spend 3 night another Kimpton property block away . mix room property , room small staff helpful . , not good expectation Burnham . however , pleasantly surprised arrive . room 1403 , corner room , really like suite . nicely decorate clean . forgot take picture time canopy bed , two tv ( one & quot ; bedroom & quot ; one little & quot ; sit area & quot ; ) , sound system , well stock mini bar , robe , pajama nightie warm sock ( purchase ) , L'occitane shampoo , conditioner lotion . wine hour every night 5 - 6 free wine . restaurant try . staff friendly ... every one encounter ! bring ice room ( although nice , sometimes would like get ) housekeeper leave handwritten note say anything need ask . room well equip Chicago map , book guide free wi - fi access . the hotel fabulous location . within walking distance everywhere want go . 's couple block Millenium Park . theatre district several theatre within block . within block train station . walk Aquarium Planetarium , ride bus Magnificent Mile , Pier one , John Hancock Observatory Museum Science Industry . within walking distance Art Institute Chicago . Giordano 's pizza Uno be also within walking distance . easily annoyed bucket drummer , may place . think kind fun though . usually start 5 evening do 7 . noise street really bother 14 floor . although , pet , pet friendly environmentally conscious . if give change go back Chicago , would definitely look stay ! 
 Oct 26 2008 	 Nice hotel . 	 say , Kimpton hotel consistant . old building , refurbish make great boutique hotel . staff friendly helpful location great . get good rate , stay . oh yeah , one thing , work room basic , Ballys one block away ( warn : Ballys DUMP ) . 
