bad 	 first let say staff friendly , efficient pleasant . not bad word say . however - party 6 stay thistle prior conference nearby follow day . work NHS book single room save money prove vastly overpriced gastly experience . six room - one fully equip . mine , kettle work . another , hairdryer . several other either towel miss altogether one handtowel bathtowel , another shower work . lucky , two part hotel room prove nice quiet . colleague arrive later part hotel , one get decent night 's sleep . either due noise rain flat roof outside ( noisy apparently ) least one case due sound four generator outside window . say would not bad either , keep go woke . well , fact room hot stuffy . mine fan - tell ? room England fan November without ask one obvious problem . room tiny - less expect , also shabby . mine wallpaper start peel away wall dire need deep clean . one corner actually dust bunny skirt board , go bathroom still empty toiletry bottle rack bath . metal bath fitting rust stained bath , tap look ever shiny , mould grout sealant around bath . seal wall tile floor crack floor look dire need scrub around edge corner . one group evening meal hotel . far concerned fine . calf liver bacon red wine jus , follow ice cream . calf liver fine , probably little well cooked like liver pink not , nice tender . mash potato pipe hot green bean fine . thing spoil red wine jus not appear ever see grape highly salt . however enjoy liver . ice cream disappointment . 3 scoop terribly good ice cream chocolate , strawberry vanilla , sticky red sauce ( description give not like sticky red sauce ) obviously prepare put bowl long time put freezer , bowl . time ago stay Bewleys Hotel Leeds hesitation recommend hotel everybody . ice cream good quality , selection wonderful flavour , come brandy snap basket decorate fresh strawberry . contrast ! especially stay hotel leed much less expensive . overall meal Thistle certainly well , probably bad , could got Little Chef motorway service . my colleague horrendous experience little sleep leave conference early could face arrive home 9.00 p.m. get early train . this experience , experience Thistle hotel we past year , terrible instruction , whatever happen , book anyone thistle ever again . apology wonderful staff hotel . 
 4 * decent hotel 	 stay barbican 1 night meeting friend London . hotel quite big seem build business customer majority room twin . hotel spa two bar situate less 10 min walk Angel Station / Islington find lot shop , bar restaurant . river close although ' walk way ( see ' Gherkin Tower ' London Eye hotel ) . ' less 10 min walk either Angel Station Barbican . council building surround area ' make walk scary terrifying . certainly ' need take taxi , main road 2 min walk away ! fortunate enough upgrade premier room main building fab . gather main building date , friend stay annex quite ' outdated ' ' tired ' clean . breakfast nice , choice nice fry ( good quality sausage ! ) , different cereal croissant , roll bread . incredibly busy Sunday morning hotel fully book waiter seem bit overwhelmed go grab coffee instead waiting serve . overall nice hotel although maybe 4 * . would go back rate right . 
 friendly staff fantastic value 	 reading review doubious visit . book day 's leisure facility use beauty treatment two girlfriend fantstic time . special offer use facility free ( go thistle hotel website ) give deal beauty treatment group . treatment fantstic , staff could not welcome facility great - clean , perfect working order . change room lovely warm , clean . would highly reccomend . 
 Nov 5 2009 	 overprice 	 feel sure cost room hotel could well spend elsewhere . other note , hotel need lot TLC - decidedly shabby . room tiny sign lack care ( rust radiator , hole bathroom door etc . ) .It small hotel room ever stay ( stay convent ! ) . nearly fall get bed . bathroom well - appoint . shower old fashioned , bath lady size 12 under . for price long way main attraction too . plus factor : bed comfy water hot . 
 Nov 4 2009 	 Noooo ! ! 	 well , room book behalf - ' m business traveller course . would read review site other not look forward experience . when arrive think place look tired need major spruce , least clean tidy . fairness , hotel clean bed comfy usually expect business trip . unfortunately , expect able sleep . whole hotel like oven , despite November . heat seem hot , uninsulated pipe run room can not turn effect heat room whether want not . & quot ; problem & quot ; , think , & quot ; will open window & quot ; . main problem kind machine bottom central area ( half room look onto ) kick every 15 minute sound like jet engine . ' m pretty heavy sleeper , wake will probably wake anyone . keep awake night swelter heat , deafen noise - take pick . also point window secure way open couple inch - enough let deafen noise enough let heat . assume prevent sleep - deprive customer hurl doom . if management read heaven 's sake , least one follow ; • install proper air conditioning• make window open properly shut machine night.• get decorator infrankly , hotel not alone think kind poor regard comfort customer acceptable ; London hotel seem think 's okay charge people fortune accommodation bottom range B & amp ; B would ashamed . soon realise 's okay deliver poor , expensive service 's capital city , well . it may fact ' m write , ' m last four night hotel not wink sleep yet , last straw ; will never stay London . 
 Nov 4 2009 	 good . good ...... 	 nice staff , tatty poorly equip room . spend 5 minute try close window finally achieve challenge , still draft still noisy . speak noise , wall , correspondent mention , paper thin . mind , couple room next seem enjoy stay - trust , could hear every word ( ) know enjoy . room build iron board ancient , 90 degree slope . extreme ironing ! grant cheap cheap cheap , good value . and way , Clerkenwell suppose push could described ' City ' ...... 
 Nov 3 2009 	 Awful 	 not ! ! ! ! dirty , noisey , could hear occupant next ! room breathe , nevermind snore night ! bathroom filthy , broken cable , light switch , hole carpet also dirty . , smell bad drain . 
 Oct 25 2009 	 Avoid unless budget need location 	 read review decide stay hotel fairly near want Lastminute.com deal £ 50 night cheap thistle direct ( refuse match ! ) . arrival impressed look lobby think perhaps hotel refurbish since negative review . agree upgrade single standard deluxe double £ 25 night still cheaper book direct . 1 lift working look old rickety . come third floor wa simpresse oppulent marble egyptian statue . stuggle find room head one two corridor find room number sign difficult read transparent . go room whilst okay , feel small oppresive window internal area appear majority room . odd room looked refurbish still grubby mark wall , feel clean . dissapointe give upgrade two level , glad stick single review appear similar room rise damp . I wnet back ask different room , without much fss offer room 5th floor internal window , even small sink huge crack . go back time find someone could work room outside window request . ' upgrade ' time accept room little large proper view sink also huge crack thing like tissue , laundry bag etc miss . all pay around £ 400 3 night might cheap London would stay . nearby would recommend Malmaison big budget find travel inn least clean new ! 
 Oct 24 2009 	 bad 	 stay business London - cost cutting like everyone else ! check - in slickest bad . room small separate build quiet comfortable although lighting bathroom poor . breakfast ordinary take get serve coffee . not find area threaten great meal central fish 2 mnute away . 20 minute walk office morning set day breakfast ! 
 Oct 23 2009 	 location bad consider price . 	 location touch scarey night , 3 tube station walk social housing project edge . find Angel main road well . say everything fine , ease . room fine , clean , decent bathroom , need . fairly well maintain . I get wake call 7 am ask . receptionist tell program system ask take ( would do bring crystal ball ) .breakfast warm , edible , fast . People expect need get grip expectation take another look pay . 
 Oct 23 2009 	 perfectly decent hotel money 	 complaint hotel . pay £ 79 advance double room room clean , spacious enough ( London ) bathroom everything could need . staff reception not speak much English mildly annoying fairly common London hotel . small point anyway . tube station within walk distance bus stop two minute away great . only eat breakfast hotel buffet style . despite review , find selection food good bit suppose hot hot . coffee toast plentiful supply staff friendly . overall , money pay , complaint would definately consider re - visit . 
 Oct 18 2009 	 never stay ! ! ! 	 OMG ... never see 4 star life shure never stay ... staeyed STANDARD SNGL ROOM ... refrigerator minibar inside , tv show useless local channel like five , BBC etc , Discovery channel available due expire card date , heater inside October outside temp +12 C ... breakfast awfull consist grill tomato , hashbrawn , bake beens grill bacon ... recommend hotel guy ... 
 Oct 18 2009 	 perfectly Acceptable Room - shame breakfast 	 slightly concerned vary review hotel arrive . pick hotel 's convenient event attend would agree 's quite way underground difficult find . not find area unsafe provide one take sensible precaution . room perfectly fine , clean comfortable . bed linen clean bathroom well maintain . would not describe luxurious , perfectly adequate one night . rang reception ask another pillow deliver within 10 minute . main problem wall paper thin 's possible hear everything be say adjoining room . breakfast let though , poor quality limited choice ( hardly fresh fruit ) . also irritate queue long table . hotel really need sort breakfast room try provide enough space number people usually stay , well improve quality food provide . think overall would say hotel acceptable , get decent rate room improvement breakfast department . 
 Oct 18 2009 	 well expect 	 book hotel lastminute.com near event go evening , read review afterwards , concern . I phone someone represent lastminute.com really bad line another country concern honest do not reassure , go tredpidation . I pleasantly surprise , maybe put well room phone call . I use pool , use hairdryer one room standard one use holiday resort good hair styling . I find staff friendly helpfull . I do not eat breakfast , cafe opposite great american breakfastand Lavarzza late . do not know cafe / patisserie , do not mind wander around , plenty discover . I walk venue use google map , get lose , easy route , good idea , do not feel threaten , would not recommend particarly , also walk back find direct route , lot people around 02.00.i would not say 4 * hotel , thou notice site say 3 * .the price pay lastminute.com less normal would pay full price . 
 Oct 18 2009 	 good experience thristle city Barbican 	 go business trp london , hotel locate right next barbican centre . suite stay really nice comfy , area fun walk around employee nice helpful . stay . book room last minute travel get good deal . 
 Oct 17 2009 	 never 	 TOP TIP - do not bother . show mislead 4 star . Booked Conference Organizer . take twenty minute check six we arrive together . double Room clean , cramp tired . Shower & quot ; dribbled & quot ; turn temperature . window catch room work , allow noise ( think ) Central Street . Breakfast ( describe & quot ; homecooked & quot ; ) desultory . long queue find formica table . pile bacon & quot ; buffet & quot ; look disgusting - smell bacon ( 6th floor ) mention previous reviewer might bacon cook . Tomatoes seem & quot ; cooked & quot ; warm pass kitchen area , necessarily touch hot surface . fruit salad look appetise - disappear look potentially tasty delight . 
 Oct 17 2009 	 Whew ! 	 name mystery hotel reveal , read review feel sick ! dread stay . however , pleasantly surprised . perfectly ok would choose stay . comment quite hard find well map would helpful . the hotel well place get king Cross Station , 25 minute walk . impressed area Islington enjoy . fact think go show , flop comfortable room decide chill locally early night . load super little bar restaurant . go breakfast fabulous patisserie / cafe 10 min stroll away . not make swimming pool spite main attraction . staff friendly helpful . good place stay . 
 Oct 16 2009 	 Thistle Ghetto 	 hotel come know Thistle Ghetto amongst colleague thankfully ban approve list hotel . location middle East London council estate downright scary . reasonable way get hotel taxi . would not walk street daylight , let alone night . room tiny , curtain bedspread belong wigwam suspicious stain everywhere . not bother ring front desk will not answer . make sure take satnav want find room maze building . want get idea service level take look ' auto - reply ' comment hotel staff add review site . reply get real live helpful relevant . whatever , not stay hotel ! 
 Oct 16 2009 	 hotel two part 	 hotel busy many foreign visitor . reception prompt friendly efficient . although room clean chair dirty hole fabric . breakfast eye opener have steal menu ikea 99p breakfast unfortunately ikea chef dreadful . beverage serve unless ask . People complain cereal bowl , juice , glass , bread ....... everything request . day return room approx 4 pm , make . leave lady arrive make obvious happy we there . despite problem book dinner go dining room feel miserable fantastic meal , great service good value . the hotel quite q walk underground really something breakfast keep custom . we wer superbreak excellent value would annoyed pay full b & amp ; b price . 
 Oct 14 2009 	 bad hotel stay many year 	 firstly let say travel lot & quot ; complainer & quot ; . however quite unbelievable . firstly room not ready @ 14.00pm big deal ideal . check across way build quite shoddy . room tiny prison style bed one pillow . tv wire hang . air con . damp patch also visible well . also hole wall something remove . morning woken alarm call 6.45am . not order one . breakfast really poor service non existent . go get toast get back someone else show seat . hotel half mile barbican well . short shocker . 
 Oct 7 2009 	 not 	 room main building adjacent despite contemporary public area bedroom small outdated , scream refurbishment , especially dismal bathroom companion say bed ' look place prison . corridor layout also bit labyrinth . there lock bathroom door plug ' work mean continually top bath . heating ' work lock window break . toiletry minimal refresh , enough towel spare pillow , ' help staff ' lack English . stay many hotel noisy always come prepared ear plugs paper thin wall comical . hear absolutely everything . luckily travel people next room actually make travel arrangement evening talk join wall ! hotel much away London action area dead weekend . city centre hotel ' use expensive hotel car , less minute away main street license black cab . it ' atrocious ' glad great company detract . 
 Oct 3 2009 	 not beleive everything read ! 	 book hotel theatre break website going see hairspray partner birthday . Read review website seem fine booked deal . trip London partner decide read review internet become extremely worried view website . whilst hotel little way away tube station easily walkable even 3 piece heavy luggage . many convenient local amenity location ideal jump 10 minute tube journey centre london . arrive hotel ( extremely sceptical ! ) impress spacious lobby bar area . leave bag concierge able check check wait long staff extremely friendly helpful , offer upgrade we suite certain price upgrade we superior room anyway free charge ! hallway room decidantly design marble floor impressive crack - effect mirror feature wall exit lift . open door , think would would breathe sigh disapointment , pleasantly surprised cleanliness facility within room . want give anybody impression 5 * luxury hotel certainly mile ahead like travel lodge similar accomodation . we call downstairs ice bucket somebody unlock fridge staff arrive within minute fulfill request . the main reason choose hotel mid - price accomodation leisure facility . visit pool , sauna steam room relax get ready go theatre happy staff facilite , even gym unfortunately unabel use due lack time appear well kitte out . we wait seat breakfast next morning offering generally average , although lack fresh fruit meet cereal , yogurt , bakery item full spread cook food , could help much like . all would say Thistle City barbican fantastic hotel , make even well reasonable pricing . would choose hotel day Travel Lodge something simillar . 
 oct 2 2009 	 love ! 	 lovely time hotel . go 2 night valentine weekend . arrival get offer upgrade decline due money . give room key go upstairs . room lovely .. big flat screen tv lot channel . big bathroom lot towel heat rack . clean lot toiletry . bed clean comfy . issue room mini fridge break do not mind . first morning go breakfast go serve straight away . brown bread avalible ask get straight away . second morning 5 minute wait seat . pool sauna steam room facility good . change room ahve ghd straighner need bring . forgot makeup remover ask member staff buy free charge . the pro prcie product bar .. bean toast via room service £ 9 ! ! location do not bother we .. really be not rough area town . 10 min wakl max tube we walk way london eye young fit map fine . would definitely recommend hotel .. fact I m go december ! 
 Oct 1 2009 	 stay ! ! ! 	 misfortune stay Thistle barbican work London 3 day late September . ' m use staying hotel low standard would usually choose travel pleasure go away business , always quite low expectation ... boy Thistle Barbican manage drag expectation murky level . firstly , area not great , be business not problem , tourist wrong area good 15 minute rough part town tube . allocate room small standard , badly need redecoration . wall paper thin , anyone room next , prepared hear every word say listen choice tv channel . think get 3 hour sleep night noise next door slam door . service poor , phone reception ask iron 6 pm day 1 not materialise time check , despite numerous request . wake 11.30pm night 2 2 strange man bang door try handle - way not sturdy not feel safe solo female traveller . phone reception , 15 minute send ' security guard ' advise put latch door ... not one . annoyance include queue breakfast ( see people queue 15 minute get seat ) . run milk , glass juice pot tea order never arrive . positive thing say concierege guy friendly efficient . , matter deal desperation , would never stay . 
 Sep 30 2009 	 fur coat knicker ! 	 book via lastminute.com ; secret hotel deal 2 day trip see Coldplay Wembley Stadium . upon arrival impressed lobby think ' bag bargin ' however disappointed get allocate room . dire need redecoration reflect decor rest hotel - perhaps room allocate ' last minute booker ' ? say queen size bed , bed towel clean - always priority room ! unlike other , would seem , offer room upgrade check . reception staff pleasant even little slow . ' room ' booking prove good option little cafe opposite great value day breakfast ; highly recommend suspect well pay £ 20 per person B & amp ; b option hotel ? downstair ' bar 120 ' price leave alot desire - shot premium vodka = £ 6.50 mixer ! stay open 1.30am . the location little far can not manage 10 minute walk Old Street tube station would recommend set day , plan not go back hotel finish ( waste alot time go back fore ) area ok ; quiet bar siren night - ' ve see bad though ! manage flag taxi right outside hotel entrance pay £ 18 get Victoria Coach Station , well worth do not lug case 3 pack tube train would take get otherwise ! 
 Sep 30 2009 	 4 star hotel 	 wife prebooke De - luxe double room . expect 4 star standard get room appropriate hostel . wallpaper stain place , grimy peel . soot stain ceiling wall light . carpet threadbare patch chair badly stain . toilet paper one towel two we , ceiling light bathroom work . could book breakfast computer printing . voucher promise never materialise . end go local cafe english breakfast . good food excellent value £ 4 compare £ 15 hotel . hotel staff fine management need redecorate bedroom hotel worth rating claim . 
 Sep 27 2009 	 lot well previous review suggest 	 book hotel via lastminute.com mystery hotel £ 84 room . £ 2 Travelodge good value consider get 4 star hotel , gym , pool , sauna etc price . bit worried reading review good stay . steam room action visit use pool sauna gym spa look nice . the public area hotel e.g . reception hallway floor stay look tidy may recently renevate . standard room turning option upgrade glad not bother upgrade . not huge , pleasant bathroom good . flatscreen tv , tea coffee would expect , hairdryer , iron nice toiletry bathroom . shower nice hot bed comfy spotlessly clean . it little warm room . air con make bit difference not cool lot , not uncomfortably warm . we not breakfast hotel instead go across road Barbican Cafe Restaurant . 2 breakfast roll two cup tea come £ 5.10 , highly recommend . it true tube bit walk away - use Old Street walk 10 15 minute . however large heavy bag would not use tube anyway . get cab back Trafalgar Square night £ 11 midnight bad . the comment area over - dramatic . yes , border council estate hardly Beruit . think reviewer must lead shelter life . would not walk back alone dark would not walk anywhere alone dark . we would stay get price . 
 Sep 19 2009 	 ok 's . 	 hotel great location near tube station . walkable near station , luggage would get cab . the room ok .... single room book company ( try get upgrade check , even though company pre pay try get upgrade money . decline although apprently upgrade room much well ) . sinlge bed big expect ( large single ) much well single bed ' ve London hotel . room thing want hair dryer iron ( although old ! ) good flat screen tv good save space . bathroom great though , toilet flush properly outdate seem clean I . the room freeze cold heating work . call reception wait hour bring heater . we eat evening meal hotel , choose go food . aware great area London go food , although find nice Thai 10 min walk away . breakfast next morning really really bad . queue ( becuase full though really slow ) . table lay bad . none staff seem speak English ask vegetarian sausage three request three different people ask give sachet tomato sauce bowl brown sause ( though want vegetarian sause ! ) . emerge vegetarian sausage . would usually mind fruit selection dire . rest breakfast really bad , staff really ignorant food cook . in morning ' shuttle ' tube station . shuttle people carrier nice spacious seat ( 4 ) great queue people wait lift . conceirge rude ask , although porter really friendly . people make sit plastic bit seat , refuse dangerous probably illegal . overall would choose stay , work know get taxi , bring food supermarket tea skip breakfast ! 
 Sep 16 2009 	 Travelodge room seem clean modern comparison 	 get room lastminute.com , pay £ 130 one night , think would treat instead check Kings Cross travelodge , waste money , hotel dismal , unpleasent staff 's word bark ' no breakfast ' , give furthest room old part , peel wallpaper bathroom look like 1970 's b & amp ; b . experience far away promotional shot . end wish have save £ 50 get room king cross Travellodge , ' ve stay , much honest offer , nice bathroom . good say adequate , maybe well room , seem anybody arrive lastminute.com prepay . last word : avoid 
 Sep 16 2009 	 4 Star ? ? ? ! ! ! never ! 	 stay hotel book Lastminute.com . upon check unfriendly woman tell we twin room standard booking Lastminute nothing could it . reception area seem fine room appal . hard flat bed wear linen . threadbare towel . broken window aircon . broken tap television one channel properly tune , other unwatchable . dirty ceiling cover water stain previous occupant 's hair bathroom ! definitely worth avoid ! 
 Sep 15 2009 	 good stay three price stay 	 partner Thistle City Barbican twice ( third time move Thistle Euston full ) . book room use Thistle Price Guarantee . reduce price deluxe double room £ 165 quote website £ 88.33 . arrival , advise price room £ 100 . cue pull email price quote quick chat receptionist manager quote room rate £ 80.50 . check , go pool ( steam room break ) quick swim great night out . breakfast good - even though last two piece bread toaster ( ! ) another swim check . time , price £ 88.55 . Cue short discussion receptionist result pay £ 88.33 . would recommend use Thistle Price Guarantee ( although email remind couple time ! ) get good deal . would consider go back price right ! 
 Sep 14 2009 	 sorry Thistle review right : - ( 	 book 2 night stay part Theatre break , 4 star Hotel ? -sorry opinion qualify 4 star Hotel . say ' Holiday Inn ' well ! arrive positive , go room , first reaction : CONS : -very date - old wood style unit , wallpaper peeling bubble , burn mark desk - Bathroom small , ( could shut door sit use toilet hit knee ! ) lock bathroom door , strange wooden square compartment middle tile behind shower - picture attach . sealant around bath / sink / toilet peel off.-room service slow - no joke 6 attempt take get hold someone reception help us.-Desk fan frontage fly turn on - bit H & amp ; worry ! -Maids / staff come room rather wait get back need something , i.e . Iron & amp ; Ironing Board bring , get back disappear ! ? put ' do disturb ' door next morning , ( tell sarcastically member staff complain staff / maid come & amp ; ) maid come anyway ? mean ' relax room make clear even though pay 2 nights.-my in - law put block across way ( build 2 part ) mother - in law 's birthday suffer extremely hot room , cold running water . fan bring still wedge door open let air in - this really need address live 4 star status . -Quite walk Old Street luggage tow . PROS : -nice breakfast , dinner tasty- good food service . ( although 3 hair find family food / drink - not pleasant . ) -Flat screen LCD tv rooms.-Tea & amp ; coffee make facility rooms.-bed quite comfy . 
 Sep 14 2009 	 ok 	 hotel vacancy book 2 day stay . hotel bad review suggest money great . location acceptable good , local area offer little taxi probably advise late night . room basic a / c efficient quiet fan . one electric socket share tv , kettle mobile charger ! ! big sat loo lean one side due positioning sink . bath shower control difficult get temperature right challenge . room modest size twin single confortable . expensive £ 150 night room whilst acceptable rush back 
 Aug 31 2009 	 Mixed Feelings 	 stay part package two twin room . room spacious budget hotel enough space walk round bed . bathroom clean shower bit old could bit revamp . bedroom also date huge new lcd tv ( plug break plug socket ! ) . hotel quite busy not think staff could handle number people take breakfast . morning stay take breakfast meeting room main restaurant not big enough number guest . overall service staff quite good concierge let we know go do . overall think hotel average good value manage get part package deal . would not want pay advertised price £ 150 plus standard twin room ! 
 Aug 23 2009 	 utterly Disgusting ! 	 stay three business colleague . room , & quot ; annexe & quot ; section small could not swing mouse let alone cat ! room dirty , ceiling stain , furnishing tatty , bathroom grubby . ask another room say possible - claim full . room hot opening window impossible loud street noise 3am . next morning breakfast disaster . absolutely concept service - staff conspicuous absence . checkout say base experience colleague forthwith hotel remove corporate list . fortunately one colleague approve list ! course profuse apology etc etc . late be go . nobody stay MUCH well one around similar price . 
 Aug 19 2009 	 excellent experience ! ! 	 stay one night part hen . worried reading review ; find utter joy ! room spacious nice view st . pauls ( think , lol ) .it bit tricky find ; come ' barbican stn ' old strret stn closed weekend . my favourite part breakfast ! would definitely reccommend people stay excellent location . ( £ 20 black cab leicester square ) . 
 Aug 19 2009 	 reasonable hotel .... great location 	 stay hotel business week reasonable hotel . plus side room decent size , although call deluxe double tad ambitious . service pleasant reception also lounge bar reasonable quality sandwich . addition rate £ 110 night bad value . negative start location have not stay central london hotel far tube station . good 10 minute walk Old street . also be not much around hotel term food , pub etc . also hear complaint reception fair idea justify . would stay ... perhaps last minute stop bit planning . 
 Aug 16 2009 	 nowhere near bad expected reading review 	 book hotel lastminute.com read review post , concerned stay hotel . however , need worried ! arrive hotel 10 , far advance 2 pm check time check immediately . take upgrade £ 15 , pay little room first place happy . room clean , air conditioning work come back lovely cool room mile trek London sticky day . bathroom quite small much room need ? ! staff polite helpful despite high demand breakfast long queue . queue move quickly enough , something consider early start . I use pool , sauna steam room clean well maintain busy . location hotel ideal . area feel safe enough want stoll evening something eat would possible . get discount room hotel be bother 10 minute walk tube well tourist area would definitely recommend stay . 
 Aug 14 2009 	 Average 	 stay 1 night early start business meeting , drive find ok , hotel inside congestion charge zone expense £ 16 start parking outside easy , space though charge £ 20 per 24hrs.my company use book agent booking say pay , check , pay check out . I offer upgrade £ 25 air con , take upgrade glad read review site . the room ok , comfortable large bed , flat screen tv , tea coffee . bathroom bit cramp shower powerfull consider class 4star hotel.incidentaly , sign room terrible , end wander corridor load luggage lap top try find room , ieventualy find , take several attempt key work . I eat hotel , arrange meet collegue dinner , leave hotel , notice several coach italian tourist arrive , quee lift rudely wait exit charge in . it different story Breakfast , come 7.45 queue back lift wait table , cancel breakfast , check eat costa walk Barbican.did not use leisure facility can not comment.overall , hotel quite convenient driving staying need get City , recomend upgrade though make pricey . 
