excellent 	 stay hotel solo traveller , visit various friend London , location hotel excellent , right next door warren street station , & amp ; within 5 min walk Euston & amp ; Euston Square . unfortunately warren street closed maintenance weekend , Euston square 2 min walk . first impression think hotel reasonable value money . night single room small & amp ; perfectly adequate Freezing ! turn thermostat room , work , huge window blind cold draught could feel . cold could sleep properly , morning report reception seem fluster people come & amp ; go . go breakfast & amp ; wait 20min get table , lady seating say 's busy morning , realise many guest come breakfast . breakfast lovely great & amp ; prompt tea & amp ; toast . presume heating fix due card room night say problem report sort , night freezing , get kitte jumper & amp ; legging well pj thing warmer & amp ; well night sleep . also note room ask go breakfast later busy , 9 - 10am . the hotel clean & amp ; staff friendly enough , expect well service 4 star hotel . admit not complain cold room breakfast queue , get , find disappointing ' ve stay hostel , tent etc & amp ; pay well hotel treat , not help rain hard 2nd night , street flood & amp ; soooo cold , make hotel room noticable . location wise hotel fault , would stay cheap , & amp ; thermal course ! 
 Nov 3 2009 	 Hotel great staff polite helpful ... 	 room great ( Suite 464 ) syae month . great view GPO Tower ( BT Tower ) - unfortunately public allow tower anymore . however , hotel 5 minite walk Charolette Street - good restaurant around mostly great value money . would also recommend Italian call Amaretto , door along hotel . hotel great spot nest public transport ( close Euston KingsCross station ) perfectly locate work location Harley Street . breakfast fantastic bar food pretty good . drink bar pretty expensive - place around London - although Northumberland Arm next hotel reasonable . 
 Nov 2 2009 	 friendly staff 	 nice spacious room , clean , friendly attetive staff . downside wi - fi slow time . 
 Nov 2 2009 	 1ST RATE HOTEL 	 Excellent place stay Business Pleasure . room comfortable clean , Hotel ideally situate London attraction . Staff go way helpful Breakfast would set anyone day . I would highly recommend anyone . 
 Oct 30 2009 	 really great StayClean Room Friendly Staff ! 	 locale hotel really excellent . practically next door Warren Street tube station 1 stop tube Victoria line Oxford Circus central shop Oxford Street ! ! hotel also really easy get anywhere tube . hotel clean room quite spacious . Breakfast delicious plentiful . room service one night well present well cook . find staff extremely helpful . 
 Oct 25 2009 	 Nice hotel : good loaction nice room bad shower 	 Radisson Edwardian Grafton hotel nice . upgrade free King suite pay double room nice surprise . although one expensive hotel London miss extra feel hotel price range ( especially expensive room hotel ) . lack flat screen television - one room quite antiquated . toiletry also lack . separate shampoo / conditioner / body wash - combine one lackluster soap . shower also good . temperature fluctuate pressure not great . however room quiet give central location . but nice hotel price location . 
 Oct 24 2009 	 clean efficient convenient 	 stay Grafton couple occasion business purpose . staff friendly helpful - hotel clean conveniently locate near Warren Street tube - definite bonus travel baggage not use taxi . highly recommend hotel business traveller . 
 oct 22 2009 	 ideal good value city centre hotel 	 good service staff . room bit dark side , decorate different shade beige brown . lighting downlight brutal switch morning ! room clean , towel soft fluffy bed linen fresh crisp . would like channel tv time watch ! breakfast feast everything could want offer . although not dinner occasion evening meal hotel business food service always good . the loction hotel ideal Warren Street Goodge Street underground within minute reach everything stop . feel energetic walk , Oxford Circus 10 - 15 away take much long stop shop way ! 
 Oct 21 2009 	 good hotel excellent location 	 ' ve stay Grafton number time business ' m impressed . staff friendly helpful , room clean 's virtually top Victoria Line tube station . highly recommend 
 Oct 20 2009 	 Brilliant hotel ! polite staff spotless 	 partner stay weekend shop Oxford Street visit London Zoo . location hotel great 10minutes tube away either location . arrive hotel kindly greet offer look bag go shopped , book we give we room key explain breakfast . come back go room glad see spotless everything . room little small side do not matter . morning go breakfast 7:30 , not busy , take table ask want tea toast . go buffet , go ever many time want . vast choice food , include fresh fruit tradditional english fry up . we great experience stay , would definately stay certainly reccomend hotel ! ! 
 Oct 19 2009 	 Excellent location 	 stop Grafton Mum one night go theatre . arrive early , hotel able accomodate give twin room 11.30 , although reception staff friendly people . room comfortable , trick short stay ( clean hot shower ! ) . eat ASK pizza around corner hotel go theatre , come back hotel night cap take forever ! ( note - drink expensive bar , service charge include refuse pay ) . early breakfast , busy . time finish say 9 am people line table . breakfast nice , make sure room rate ( close will find starbuck place breakfast ) . location hotel selling point , close Warren st Goodge street tube station , walk distance Oxford Street . less £ 10 taxi theatre district Covent garden etc ( close Euston St Panc train station ) . plenty coffee place , pizza restaurant pub nearby , well tesco 's always handy forget anything . busy hotel , staff friendly location / cost make . 
 Oct 16 2009 	 good business hotel excellent location 	 stay one night business . location fault . next door Warren Street station northern Line good restaurant door step . staff check check particularly helpful efficient . room small lack natural light otherwise perfectly adequate need . appear re - furbish clean comfortable . breakfast excellent particularly hotel seem busy . gripe unlike radisson coffee slow come small quantity minor gripe . would happily stay would recommend other business . 
 Oct 15 2009 	 can not wait visit grafton againfantastic serviceextremely friendly staff room spotless . 	 great location , everything need doorstep warren street tube station virtually next door . staff friendly helpful also could not enough we . the room spotless everything need provide , definately return grafton probably add couple night ! ! 
 Oct 15 2009 	 great hotel great location 	 nice hotel . clean room . nice , modern , clean bathroom . work airco & amp ; heating . very good breakfast service . great location . walk distance Oxford street , St Pancras station , Tussauds . Warren street underground 50 meter , Euston tube 200 meter . we stay 2 night . will return hotel visit London . 
 Oct 15 2009 	 mysterious dissappeare reappearing room 	 arrive 78 year old mother 8.30 pm evening . checking say book twin . tell twin room remain book double . mother not sleep well good time recently foot surgery . offer upgrade kingsize bed . insist either twin room two single . receptionist insist possible hotel full . produce confirmation email say book twin . receptionist say would phone colleague - conversation go like - give name , pause , & quot ; yes , tell confirmation e - mail & quot ; - pause , press computer key , & quot ; ok manage find twin room . & quot ; give we pay save elderly mother hassle ? ? terrible , unwelcome service . 
 Oct 13 2009 	 great hotel good location 	 partner stay 10th oct 09 nightit bad location , minute walk oxford street check quicklystayed king size suite find nice size , clean really comfortable bed , decor look great round back hotel peacefulloverall great hotel 
 Oct 11 2009 	 wonderful value 	 staff polite , clean , good room service . handy theatre shopping 
 Oct 10 2009 	 courteous Staff Clean Convenient 	 good location , easy walk distance Euston . good sized room , spotlessly clean . definitely stay would avoid breakfast tray service ask £ 1.50 upon delivery tray rather checkout - despite wrap towel get shower ! two follow ' phone call chase £ 1.50 not good way start day ruin would otherwise good experience . 's small thing trip . ! 
 oct 9 2009 	 Perfect business hotel 	 start finish staff , without exception , excellent , everything else Hotel . 
 Oct 8 2009 	 simple inexpensive overnight stay London 	 hotel conveniently locate directly Warren Street tube station , within 10 minute walk extensive Regents Park north city . single room small adequately present . discount price obtain web base hotel booking service . breakfast classic english breakfast bacon sausage mash egg lot . juice adequate , muesli run get there . Wifi available free room unsecured network , problem connection speed . 
 Oct 7 2009 	 enjoyable weekend 	 pleasant hotel excellent location . staff friendly helpful . good choice breakfast , fresh well present . 
 Oct 6 2009 	 Average Hotel overprice 	 hotel average 's decor staff , could improve bit attention . food good , expensive even Lomdon hotel . room tiny , even London standard . also , window not open heating always make stuffy atmosphere . overall , well hotel money . 
 Oct 5 2009 	 nice place stay ! ! ! ! 	 girlie friend stay weekend . actually book triple superbreak arrive double sofa bed , ask move attend straight away , however new room be not book either , one 2 single bed third still sofa bed , enquire hotel state do not actually triple room mistake superbreak , call blame travel agent ( funny cuz that s ! ! ! ! ! ) way run late theatre settle ! ! ! ! mishap fault Radisson Edwardian Grafton everything else great . room spacious usual facility ! ! ! ! check speedy let we check early ! ! ! breakfast lovely great choice , full english , cereal , pastry , fruite , juice coffee , tea etc ! ! ! ! restaurant lovely nice relaxed atmosphere ! ! ! ! Location ok , one end Tottenham Court Road , accesable bus tube ( warren street ) . 15 min walk Oxford Street , 25 min walk Covent Garden . I d stay would reccomend friend ! ! ! ! 
 Oct 5 2009 	 Average Hotel 	 good location right Warren Street tube northern line . Hotel ok , price opinion quite high consider nice London hotel stay money . 
 oct 2 2009 	 satisfied use underground 	 book Radisson Edwardian get tell overbooke ( see review ) get free taxi check room much large two friend also book Edwardian completely throw claim roomsnet never give booking , get stay . except long ride Tottenham Court Rd area usually hang , hotel serve purpose . breakfast fine staff courteous . room view wall quiet . safe , bathroom , tv , etc work fine location would not return . 
 Sep 26 2009 	 Bait Switch 	 room pay week advance trip . show Radisson Grafton , keep wait 10 minute even greet anyone , tell overbooke would send another one hotel London . keep wait another 15 minute , dump cab , take side city , give terrible room basement ! plan weekend screw select hotel location specific Underground line . Shame Radisson treat customer poorly ! apparently common practice . Lesson learn : never ever stay Radisson London ! worth time , money , hassle . 
 Sep 25 2009 	 Second Time 's Charm ... 	 first stay impressed , air con not work staff rude snobby . however give feedback pleasantly surprised stay month later . staff friendly , helpful room ( although rather small ) nice . bed comfy bathroom good size . free wifi great . location excellent convenient walk distance tube station Oxford St ( 15 min walk ) . lot eatery supermarket nearby ... laundromat ( happy 4 week travel ! ) . would definitely stay . 
 Sep 22 2009 	 good service big small room 	 first good : nice service check - in , Jacqui help we figure work around book mistake part . breakfast wonderful . two we share suite nice , big room . next Warren Street station plus . 10 minute walk put Leicaster square . downside group single room complain small size room . get great price single room be worth be go spend much time room . overall good experience would return hotel . 
 Sep 21 2009 	 great business hotel ideal location 	 stay regularly Grafton Tottenham Court Road business . hotel close central London office tube network easy walk Euston . I regularly upgrade upgrade room good purpose . the hotel bar restaurant always busy although tend eat hotel abundance venue close hotel . the staff vey friendly often willing help although service dip hotel maxe out . I would happily stay either business pleasure . 
 Sep 14 2009 	 Excellent Location Clean 	 stay excellent hotel four night delight cleanliness room , bedlinen bathroom . the staff without doubt helpful friendly hotel stay London . breakfast delightful enough variety suit everyone . hotel well place Euston Station - 10 minute walk . Tube Station 400 yard . bus Taxis right outside . plenty place buy snack lunch wide variety resturant nearby . could not make well choice stay . highly recommend ! 
 Sep 13 2009 	 could get well price pay ! 	 go London one night stay could watch Sister Act London Palladium ( fantastic ) . decide hotel location not close thought would . unfortunately , underground station right next hotel shut weekend otherwise would appreciate location much . however , area hotel ok ! arrive say book double infact wrong , ask twin . say ' luckily ' twin available come across bad customer service . quite disappointed get bedroom , small , old fashioned dull . also loud night ambulance drive past hospital across road . hotel would really benefit redecoration . we realise could definitely stay nice hotel well location price ! 
 Sep 13 2009 	 friendly comfortable nicely furnish clean . 	 well position within walk distance Euston , adjacent underground . walk distance main attraction theatre . friendly helpful staff . Room nicely furnish decorate crisp , clean bed linen gleam spacious bathroom . breakfast fabulous good service excellant choice . complaint room back hotel view small window , also street noise . 
 Sep 7 2009 	 good hotel stay central london . 	 stay raddisson edwardian grafton hotel , syaye one suite room ( 245 ) front hotel . review say noisey front , say quiet , 2 good night sleep . hotel staff friendly helpful .checkin quick.our room king size bed , sofa bed . room room large table 8 chair , fridge , air conditioning.the bathroom 1st class do marble seperare shower bath .the bed really comfortable , hotel spotless really clean.warren st tube station outside door . oxford st 2 stop away tube , excellant location.would highly recommend hotel anyone .read bad review hotel take , great hotel stay london .desi hunter n .ireland ................... 
 Sep 6 2009 	 Ghastly room - rockhard bed - excellent breakfast 	 husband book hotel location Camden Centre Euston Station arrive Friday 4th September 2009 two night bed & amp ; breakfast . check speedy staff friendly . allocate room 465 double room . room back hotel . bit disappointing four star . not like net window Roman Blinds . blind open feel like full view guest across way . bedside lamp lighter horrible use reading . bad bed - ok nice crisp clean cotton sheet mattress rock hard could feel spring really cheap nasty . altogether room want spend anytime . upside breakfast friendly efficient staff . 
 Sep 3 2009 	 wonderful Stay Grafton 	 fifteen year - old daughter spend five night Radisson Edwardian Grafton recent visit London . could please experience hotel . we arrive Grafton 10:00 Sunday morning long , overnight flight Grand Rapids via Chicago , follow tube ride Heathrow Airport . arrive hotel hope check luggage kill time city could check . pleasant surprise , informed room would ready minute could check . 10:30 room , freshen rest bit first day amazing city . our room large accustomed US , nice . view great small courtyard face room across way , ' fly London stay hotel look window ! bathroom exceptionally clean modern nice , hot shower . nice , big closet large enough hold luggage hang clothe . one unexpected feature room 110 volt outlet American electronic . nice could charge laptop , iPods , etc . would say downside room carpeting beginning look " tired " . even , room nice well anticipate . the british Breakfast include package good . fresh fruit , pastry , three kind egg , bacon , sausage , toast , juice , etc . available morning . staff friendly attentive need morning . the location Grafton fantastic . front three door Warren Street subway station . nice leave hotel step away tube . area around hotel feel safe time day . locate across street hotel Sainsbury ' grocery store , perfect pick snack item , back good , soda , etc . reasonable cost . business block include pharmacy , PC World computer store , Wasabi Sushi restaurant , Subway restaurant , McDonald ' , bank , several small , independent restaurant . one London ' hospital block north hotel . the hotel staff helpful friendly . attentive need always make we feel welcome hotel . in short , wonderful experience Grafton . return London – ( hope soon ! ) – would eagerly stay Grafton . 
 Sep 2 2009 	 Radisson Experience 	 stay 3 night Hotel , & quot ; BRILLIANT & quot ; . staff superb , room top quality , food great . 
 Aug 30 2009 	 good sized room great service breakfast time clean friendly 	 husband two child stay 2 night 19 - 21 August 2009 . check quick easy friendly staff . on day give free morning newspaper lift could operate room card , think good security point view . we stay B & amp ; b staff serve we resaurant breakfast quick friendly efficient , even two young child give hot chocolate think good . choice hot cold food vary well present plenty choose from . the room clean , add extra like iron ironing board plus use safe ( extra cost ) nice touch lot hotel charge . maid also nice friendly , bed turn every day get fresh towel also . check also quick easy , concierge put bag safe room we departure day could spend London without they . we please discover round corner hotel literally 25 yard tube station ( Warren St ) great we get around London . enjoyable stay ! would love stop would recommend hotel anyway especially family . 
 Aug 29 2009 	 quite good expect 4 start hotel . 	 book hotel location theatre , standard room , pay top price , use airmile . staff helpful friendly , Aston bar ok lack kind atmosphere , Breakfast excellent , sadly room standard , bed unconfortable , rock hard , creak slight movement , A / C noisey would impossible sleep run , room shabby , stain carpet , wallpaper peel wall . like read night , not bedside lamp , mean main light . not live expect 4 star hotel . stay room 230 second floor . overall hotel offer good service poor value comfort ... 
 Aug 26 2009 	 ok ok 	 far cleanliness & amp ; staff concern could not fault , money pay ( bear mind get travel agent staff discount ) expect room . small not cover , foot space end bed wall , can not see window frosted - probable privacy understand nontheless not like make room dark . breakfast ok plenty choice & amp ; not quibble turn hour allot check time excellent customer service . good connection anywhere London Warren Street station hop , skip & amp ; jump away . plenty food establishment & amp ; shop locally , also & amp ; e dept across road ..... cue nee nahs night ! would go back special offer ! ! ! PS . splash nice meal try ' rule ' Covent Garden - 's FAB ! 
 Aug 23 2009 	 expect 	 great location could not get well room dark small could not wait get bed hard breakfast nice service shocking . 
 Aug 22 2009 	 excellent value good location 	 stay hotel several time , recently August 09 . stay impressed level customer service . shortly arrive lady , think possibly head Housekeeping , knock door ask everything satisfaction . , except iron ironing board room . arrive back moment later item . the room bathroom spacious clean , subsequently clean thoroughly stay . breakfast buffet nice , usual offer include cook item . little bit quick take away plate though , barely finish eat . staff throughout hotel friendly yet professional . hotel good location next Warren Street tube station , bus stop right outside . security good hotel , key card require use lift gain access corridor lead room . complaint , although fault hotel , music pub across street stop 1 be one night . definitely return hotel would highly recommend . 
 Aug 19 2009 	 Good Hotel ideally place 	 stay 2 night find hotel expect reading review . clean , spacious room ( 4th floor ) , problem lighting room , seem nothing strong spot light bed sort make reading bit difficult . breakfast great , staff friendly would go back need central location . 
 Aug 18 2009 	 oh not like one 	 say , expect well thing hotel one bad hotel stay . 's date , air con work lift fast snail ! will not stay . 
 Aug 14 2009 	 V. small room outdate good location 	 great location busy euston station within 5mins walk Warren tube next door constant noisy Tottenham Court Road side street good unless back hotel offer view typical London . eat number cafe / pub / restaurant right outside much value money . staff ok overly polite checkin queue confusing . fairly petite find tiny bathroom struggle sink space shelf around shower . good thing clean bathroom nice bed linen . not think will back . 
 Aug 13 2009 	 functional friendly 	 stay weekend main purpose visit theatre see Lion King . location great , 10 min max Euston station want avoid undergroung . also taxis across road bus run frequently past door hotel . hotel clean fairly well maintain . lack something make enjoyable rather functional . breakfast good ( mmmm , crispy bacon ! ) plenty choice drum arrive early avoid que . 0830 spot go straight table . Staff & quot ; ok & quot ; . complaint compliment either , job nothing special . bar expensive zero atmosphere , go front door , turn right nice pub restaurant short walk away . room clean serve purpose . bathroom nice although fairly small . tv old terrible sound bother . bed comfortable , room well equip iron board , hairdryer , tea coffee wine glass . complaint 1 cup double room . rang reception ask another fancied coffee evening ( boring know ! ) wait hour one arrive give . one big plus concierge service great . leave luggage morning check day check , problem . also request quiet room put back hotel , view good quiet , street noise whatsoever . 
 Aug 11 2009 	 Great Hotel 	 stay wife 2 daughter long weekend . lovely hotel v friendly staff . great location tube station less 50 mtrs away . room fine . our daughter ' room slighter well equip ! ! lack storage space bathroom minus point . breakfast superb . great choice pipe hot . find arrangement use lift bit fiddle ( use room card operate ) , extent tend use stair . would definitely stay 
 Aug 8 2009 	 find room big single Euro standard nice accessory 	 book hotel directly across street London Underground station , Warrent Street Station , require one change line Heathrow one line station direct shot theatre district reservation & quot ; La Cage Aux Folles . & quot ; expect much consider review , find checkin quick easy staff pleasant knowledgeable . half dozen checkin stand flat panel monitor , crunch , guess could open morel . single room bed large two , believe small full . room new phone , tiny tv think spend time watch . wireless INTERNET free - always plus . bathroom shower , issue , guess would need contact hotel directly need tub , take shower anyway . bathroom clean , tiny - tiny expect . get special rate $ 115 usd substantially less next good rate . monitor rate , see disappear return Radisson web site multiple time . strictly single room , breakfast . hightly recommend , & quot ; La Cage & quot ; well . oh , area around hotel particular touristic significance , ground floor block contain hotel , find service need , pub , small restaurant , pharmacy , moderate size chain grocery store across street . 
 Aug 6 2009 	 Family freindly hotel noisy location 	 suite excellent family kid design room bath date , light nice . problem room Tottenham Court Road lot traffic among thing police car ambulance , turn unpleasant music also night time . location hotel central business leisure trip London , recommend hotel leisure purpose due fact price , room size understand kid seem slightly attractive family compare Radisson Edwardian hotel London 
 Aug 6 2009 	 good location tube 	 book hotel special deal theatre show . location good going see & quot ; rock & quot ; hotel right Warren street great tube access . Unfortunatley though get room dissappointe . book standard room small . stay Radisoon 's standard room size . husband 6 ft 5 lay bed foot could touh wall . visit special occasion upgrade deluxe would comfortable room . deluxe room much well alot spacious . Breakfast also include deal plenty variety . good location tube link shame standard room small . 
 Aug 3 2009 	 worth money 	 book Radisson last minute whim nice weekend london . ' ve stay lot 's radisson UK also stay Bloomsbury property london . not overly impress one comparison . arrive foyer nice presentable art deco feel . lady nice keep we stand check . go double standard room show way get , hotel overall layout not easy get head round . finally find room incredibally small . flatscreen TV 's & quot ; technology & quot ; seem rather date . rang reception ask could upgrade pay £ 97 standard room give executive suite £ 80 ! expect everything find not include breakfast unusual executive suite . get room 5th floor nice lady advise we dvd player flat screen not . little disappointed settle anyway spend half hour mess around check room . bed bit hard side furnishing bathroom need renew . seperate shower bath lovely plenty room - big selling point deck table chair balcony really nice . would probably choose somewhere else next time money pay . find staff pretty unhelpful stay . 
 Aug 2 2009 	 Lovely Hotel 	 hotel / room clean look , unfortunatlely find staff welcome . bar staff make we feel uncomfortable chatting amongst one another . 
 Aug 1 2009 	 Excellent Location . issue . take room back section . 	 ' ve stay hotel twice ( first time like well , reason will get moment ) . location , other mention review , excellent next Warren Street tube station . hotel split two half , front section back section apparently two separate building , connect floor medium length hallway . back section far preferable stay first visit . front section west side face Tottenham Court Road find noisy second floor night late night passerbys , maintenance truck 4 am , usual big city noise . also wireless internet ( free , good thing ) work perfectly first visit spotty last . like hotel would stay , however , would ensure stay back section hotel . 's close hotel reasonable price ' ve find easy tube ride Soho / Carnaby , daily destination town . 
 Jul 31 2009 	 lovely hotel - great location tube 	 neice stay hotel 1 night going see WICKED show . really nice hotel great location . staff really nice welcoming . room good size consider London nice decor . 
 Jul 27 2009 	 good ! 	 less 10 minute walk Euston Station . book deluxe room really please . reception staff great leave luggage facility ideal . worry noise road prove unfounded wonderful night sleep . downside Sunday breakfast . follow hotel advice avoid peak period 9 - 10 even 8.15 queue . half eat area open time although open later . coffee refill request toast butter meet long delay . leave breakfast queue snake eat area reception . chaotic ! feed back departure tell always like Sunday . having say would certainly stay would recommend ! avoid peak times breakfast . 
 Jul 24 2009 	 Excellent Contemporary Hotel convenient setting 	 stay daughter one night Superbreak order may collect wedding dress . it conveninet transportation right next Warren Street . staff friendly helpful . room comfortable , well furnish modern . bathroom lovely . everything could need clean . the breakfast extensive good quality ( cheap sausage etc ) .All would try stay . 
 Jul 24 2009 	 great hotel 	 arrive monday 13th july 2 night book double twin kid , request room rear reading review noise front hotel . when arrrive arrange hotel full take 317 319 , room ok double small , find street noise really bad hospital accross road wife kid sleep night problem , kid twin room much big double . next morning speak duty manager request change room rear do argument sleep fine next night , light sleeper request rear room face road . breakfast good great selection hot cold never busy staff accomodate complaint . go Disneyland Paris 5 day return hotel 19th 4 day . this time give upgrade king room 319 kid twin next door 317 big room face rear . once staff service great deal nice lady reception call Ranjin superb could enough help , always cheery smile return hotel hard day sightseeing . we eat food hotel breakfast whoch good eat different time range 7.30 one day 0950 sleep always get table always plenty food , restaurant manager also excellent . the issue barman serve flat champagne taste like wine return glass bar colleague change right away want argue despite clear blind man difference 2 glass like night day , way treat customer . apart one individual great time hotel would go back without question would qualm recommend other , light sleeper request room face main road . 
 Jul 20 2009 	 great weekend break 	 stay July 17th one night fault place . room slightly small job . adequate wardrobe space , iron need , tea / coffee make facility , tv hairdryer . bathroom shower gel provide take shampoo etc . we able check 2 pm bonus , breakfast good price , cereal , english breakfast fruit , buffet style . great location well right Warren Street Tube ( Tottenham Court Road tube right end ! ) perfect night stay . also leave luggage check hour sight see collect extra cost . 
 Jul 17 2009 	 friendly staff convenient location 	 receive great welcome hotel . room large , bit ' fade ' , pretty much need overnight stay . service restaurant evening breakfast excellent staff seem work well team provide good service . disappointed bathroom extra ( soap dispenser ) , biscuit tea / coffee make facility ! purpose stay conveniently locate almost doorstep Warren Street Underground Station . 
 Jul 14 2009 	 Brilliant stay 	 book 2 night 3 day break london choose hotel number other glad . 's central postion brill theatre land 100 mts tube get anywhere . brilliant breakfast include price , everything anyone would need . room hotel clean modern , staff helpfull , would stay 
 Jul 13 2009 	 second stay will not last 	 lovely quiet room back hotel , request . room ready dispite early arrival . staff helpful location fab ! 
 Jul 13 2009 	 great location small clean nice room . 	 stay allow catch friend London weekend live near Dover . I book single room allow check early ( say not ready get ask check one available without question ) .The room small , much cramp anything . room facility quite nice everything clean well - keep . view ( frosted window hide typical London back - window scene pipe , air - conditioning , etc ) not view . despite lot mechanical bit outside window perfectly quiet ( ' m light sleeper grateful . the room & quot ; please disturb & quot ; & quot ; please make room & quot ; electric button use , however glow brightly choose leave ... sure member staff open door next morning without even knock ! thankfully fully clothe , catch embarrassing situation . all - in - all good hotel experience . almost next door Warren St Tube Station handy . 
 Jul 13 2009 	 Excellent stay 	 return short stay hotel choose proximity theatre . impressed staff , come contact helpful polite . message leave room phone whilst hotel staff enquire ok could assistance . room spacious , clean comfortable . check automatically ask want luggage store whilst go Covent Garden rest day . know unique hotel offer service & quot ; security reason & quot ; . thoroughly enjoy stay . 
 Jul 13 2009 	 great quality / prica ration center London 	 hoteal provide excellent quality / price ration middle London . spacey room , good service great location , inmediate access Subway great surround lunch & amp ; dinner . it 3rd time stay hotel , continue come future . 
 Jul 11 2009 	 great choice 	 choose hotel within walk distance Soho theatreland disappointed . stay Friday till Sunday arrive around 10.30 hope leave bag concierge delighted room ready . Checkin quick friendly . allocate one back hotel ( relief forget ask ) . double room fairly roomy London standard , spotless every facility need city break . hear breakfast could problem , receive information door say 9 - 10 likely busy . arrive around 8.15 - 8.30 morning although slightly early would normally breakfast , appreciate missing rush . slight hitch first day three server seem problem bring white toast apart service food excellent . we disappoint Warren St station close Sat Sunday various station easy walk distance . good range shop , pub eat place around within reasonable walking distance Theatreland fancy exercise . hotel excellent 3 course pre - theatre meal not take advantage plan , would certainly consider stay . 
 Jul 7 2009 	 room 	 not actually stay , despite book directly hotel phone call confirm arrival time , arrive room . tell would arrive 9 11 pm actually arrive around 10 pm . wait 20 minute tell . book nearby hotel - Radisson apparently space - provide taxi new hotel , nonetheless lone female traveller unfamiliar London , fairly late Saturday night , find whole experience uncomfortable . point confirm book ignore ? 
 Jul 6 2009 	 Comfort city centre 	 hotewl well locate Tottenham Court Rd provide everything business traveller need . good room tasteful decoration facility work . staff friendly professional seemd genuinely pleased welcome . hotel good food like getout plentyl excellent restaurant area lot good pub . 
